LESSAT DES IEIRCED.	LÉSÂT DES IEIRCÉD.
PASCARIEI, Nas tu que cela aſe dire.	PASCARIEI, Nas -tu que cela a dire.
MEZETIN.	MEZETIN.
Pardonnés-moy, j’en ay bien d’autres, & pour ne vous point faire de galimatias, je vous appreud que uun uronoquirous paroît ſi beau vous n’en aurés que l’écorce.	Pardonnez-moi, j'en ai bien d'autres, et pour ne vous point faire de galimatias, je vous appréud que ou uronoquirous paraît si beau vous n'en aurez que l'écorce.
FASENRJEL.	FASENRJEL.
Que veux dire ce coquin.	Que veux dire ce coquin.
MEZETIN.	MEZETIN.
Suivant l’Ordre de datte vous n’eſtes que le troiſiéme Amant de Mademoiſelle Spinette, elle eſt ſoubçõnée d’avoir produit ſans avoir eü procés, cependant à ſa contenance il ſemble qu’elle ſoit dans la veſtalité, & que d’ouvrir la bouche pour nommer un teron c’eſt luy parler Arabe, Eſpagnol, Allemand, ou bas Breton.	Suivant l'Ordre de datte vous n'êtes que le troisième Amant de Mademoiselle Spinette, elle est soubçõnée d'avoir produit sans avoir eu procès, cependant à sa contenance il semble qu'elle soit dans la vestalité, et que d'ouvrir la bouche pour nommer un teron c'est lui parler Arabe, Espagnol, Allemand, ou bas Breton.
PASCARIEL.	PASCARIEL.
Comment Spinette n’eſt pas ſage, & a pluſieurs Amants.	Comment Spinette n'est pas sage, et à plusieurs Amants.
MEZETIN.	MEZETIN.
Il y a du feu immortel qui n’eſt gardé que par des pucelles, elle y a eſté, & ſi on ne I’eut retirée elle étoit brûlée comme une allumette.	Il y a du feu immortel qui n'est gardé que par des pucelles, elle y a été, et si on ne J'eut retirée elle était brûlée comme une allumette.
PASCARIEL.	PASCARIEL.
Miar erer que je iuis inameureux.	Miar Erer que je juis inameureux.
MEZETIN.	MEZETIN.
Il eſt permis de crier à qui perd ſon procés.	Il est permis de crier à qui perd son procès.
PASCARIEL.	PASCARIEL.
Mais Mezetin, cela eſt-il bien vray.	Mais Mezetin, cela est-il bien vrai.
MEZETIN.	MEZETIN.
Diable il n’eſt que trop vray, vous eſtes encor bien heureux de n’eſtre que le troiſiéme, les deux premiers comme à la tontine peuvent mourir, & puis ſe ſera à vous à gliſſer, parbleu c’eſt drôle qu’en amour les Coutumes, & les Arreſts ſoient en uſage.	Diable il n'est que trop vrai, vous êtes encor bien heureux de n'être que le troisième, les deux premiers comme à la tontine peuvent mourir, et puis se sera à vous à glisser, parbleu c'est drôle qu'en amour les Coutumes, et les Arrêts soient en usage.
A IESEIIeIEn.	À IESEIIeIEn.
Que veux-tu dire.	Que veux-tu dire.
MEZETIN.	MEZETIN.
C’eſt que vous ne pouvés pas être utilement colloqué dans l’ordre qui eſt à faire du prix du cœur de Mademoiſelle Spinette, que ſuivant l’ordre de vôtre hypoteque;	C'est que vous ne pouvez pas être utilement colloqué dans l'ordre qui est à faire du prix du cœur de Mademoiselle Spinette, que suivant l'ordre de votre hypoteque;
c’eſt à dire du jour que vous l’avés connuë.	c'est à dire du jour que vous l'avez connue.
PASCARIEL.	PASCARIEL.
Ceſſe ce diſcours, & fais en ſorte de m’y faire parler.	Cesse ce discours, et fais en sorte de m'y faire parler.
MEZETIN.	MEZETIN.
Il n’y a rien de plus facile.	Il n'y a rien de plus facile.
PASCARIEL.	PASCARIEL.
Et tomment lane :	Et tomment lane :
MEZETIN.	MEZETIN.
Il n’y a qu’a entrer dans la Chambre & vous lui parlerés.	Il n'y a qu'a entrer dans la Chambre et vous lui parlerz.
PASCARIEL.	PASCARIEL.
Tu me propoſe là une choſe impoſſible.	Tu me propose là une chose impossible.
MEZETIN.	MEZETIN.
Il faut vous habiller en Medecin, il ne vous reconnoîtra pas, il eſt déja indiſpoſé, vous lui ordonnerés une medecine où il y aura tant de caſſe de Sené, & de Rubarbe, qu’il gardera le lit plus de trois mois, pendant ce tems-là, dame c’eſt à vous à Spouſſer vôtre pointe, pout ce que je peux faire c’eſt de vous mettre le gibier à la porté du coup.	Il faut vous habiller en Médecin, il ne vous reconnaîtra pas, il est déjà indisposé, vous lui ordonnerez une médecine où il y aura tant de casse de Séné, et de Rubarbe, qu'il gardera le lit plus de trois mois, pendant ce temps-là, dame c'est à vous à Spousser votre pointe, pout ce que je peux faire c'est de vous mettre le gibier à la porté du coup.
PASC.	PASC.
PASCARIEL.	PASCARIEL.
Un Capitaine de Dragons, Medecin qu’importe je t’avoüe que tu eſt ingenieux.	Un Capitaine de Dragons, Médecin qu'importe je t'avoue que tu est ingénieux.
MEZET IN.	MEZET IN.
Ouï, parbleu principalement en amour, je veux au premier jour diſputer cette ſcience au plus grand ingenieur de France, ah!	Ouï, parbleu principalement en amour, je veux au premier jour disputer cette science au plus grand ingénieur de France, ah!
ah, dés que j’ay une fois pris les Lignes de citconvallatien d’un cœur, & que j’en ay attaqué l’ouvrage à corne, quand ſe ſeroit uu Diable, il faut qu’il ſe rende ou qu’il capitule, un Valet comme moy ne ſe ſauroit payer j’eſpere auſſi qu’aprés vôtre ſatisfaction la mienne s’en ſuivra.	ah, dès que j'ai une fois pris les Lignes de citconvalatien d'un cœur, et que j'en ai attaqué l'ouvrage à corne, quand se serait u Diable, il faut qu'il se rende ou qu'il capitule, un Valet comme moi ne se saurait payer j'espère aussi qu'après votre satisfaction la mienne s'en suivra.
PASCARIEL.	PASCARIEL.
Tu ſeras content.	Tu seras content.
Il s’habille en Medecin ſur le Theatre.	Il s'habille en Médecin sur le Théâtre.
SCENE IV.	SCÈNE IV.
LE DOCTEUR, PASCARIEL, MEZETIN.	LE DOCTEUR, PASCARIEL, MEZETIN.
MEZETIN.	MEZETIN.
JOſtre Serviteur, allons il faut ſe raV voir.	JOtre Serviteur, allons il faut se raU voir.
LE DOCTEUR.	LE DOCTEUR.
Il me ſemble que je me porte un peu mieux.	Il me semble que je me porte un peu mieux.
MEZETIN.	MEZETIN.
Les maladies de cette année ſont ſi traitres qu’elles chatoüillent de marques de ſanté quand on eſt prêt à mourir :	Les maladies de cette année sont si traîtres qu'elles chatouillent de marques de santé quand on est prêt à mourir :
tenés voilà le Medecin de nôtre Regiment qui eſt le premier homme du monde pour guerir toutes fortes de maux ſi vous ne voulés pas faire beaucoup de dépence, il vous donnera une Medecine de hazard, & un Lavement de rencontre.	tensez voilà le Médecin de notre Régiment qui est le premier homme du monde pour guérir toutes fortes de maux si vous ne voulez pas faire beaucoup de dépense, il vous donnera une Médecine de hasard, et un Lavement de rencontre.
PASCARIEL.	PASCARIEL.
rous étes ápparemment malade?	rous êtes ápparemment malade?
LE DOCTEUR.	LE DOCTEUR.
Je me ſens un peu ſoulagé.	Je me sens un peu soulagé.
PASCARIEL.	PASCARIEL.
Il faut y pourvoir, & empêcher que le mal ne recidive, car ſelon la Doctrine d’Hippocrate, Ariſtote & Gallien, ce n’eſt pas aſſés de guerir un mal preſent, il faut empecher qu’ir ne revienne à la churge?	Il faut y pourvoir, et empêcher que le mal ne récidive, car selon la Doctrine d'Hypocrate, Aristote et Galien, ce n'est pas assez de guérir un mal présent, il faut empêcher qu'ir ne revienne à la churge?
LE DOCTEUR.	LE DOCTEUR.
Eſtes vous Monſieur Medecin de l’Univerſité de Paris?	Êtes -vous Monsieur Médecin de l'Université de Paris?
PASCARIEL.	PASCARIEL.
Ouy Monſieur, & de certains Quidams factieux non receus en l’Univerfité, ont voulu changer l’état du corps humain;	Oui Monsieur, et de certains Quidams factieux non reçus en l'Univerfité, ont voulu changer l'état du corps humain;
mais par Arrêt du Parlement du 12.	mais par Arrêt du Parlement du 12.
Août 1674.	Août 1674.
il a été enjoint au cœur d’eſtre le principe des Nerfs, & à toutes perſonnes de le croire, tel;	il a été enjoint au cœur d'être le principe des Nerfs, et à toutes personnes de le croire, tel;
ordonné au chile d’aller droit au foye ſans plus paſſer par le cœur:	ordonné au chile d'aller droit au foie sans plus passer par le cœur:
fait deffenſe au Sang d’être plus vagabond ſur peine d’être livré à la faculté de Medecine:	fait défense au Sang d'être plus vagabond sur peine d'être livré à la faculté de Médecine:
deffenſe à la raiſon de s’ingerer à l’avenir de guerir les fiévres tierces, double tierces, quartes triple, quartes ny continües par mauvaiſe voye, comme vin pur, poudre, écorce de Quinquina, & autres Drogues non approuvées, ni connuës des Anciens, & en cas de gueriſon, permis aux Medecins de ladite faculté de rendre là nevre aux Malades, avec caſſe Sené, Sirop, Julep & autres remedes.	défense à la raison de s'ingérer à l'avenir de guérir les fièvres tierces, double tierces, quartes triple, quartes était continues par mauvaise voie, comme vin pur, poudre, écorce de Quinquina, et autres Drogues non approuvées, ni connues des Anciens, et en cas de guérison, permis aux Medecins de te faculté de rendre là neure aux Malades, avec casse Séné, Sirop, Julep et autres remèdes.
MEZETIN.	MEZETIN.
Sans cela la Medecine étoitte reau l'eau, & les trois quarts du monde vivroient une fois plus qu’ils ne font.	Sans cela la Médecine étoitte reau l'eau, et les trois quarts du monde vivraient une fois plus qu'ils ne font.
LE DOCIEUR.	LE DOCIEUR.
Si je ſuis malade ce ne peut-être que du Foye.	Si je suis malade ce ne peut-être que du Foie.
PASCARIEL.	PASCARIEL.
Gallien au treiſiéme irire de la Methode parlant du Scirrhe du foye, dit que l’indication curative qui ſe prend de la maladie, muique les Remedes emollians & reſolutifs.	Gallien au treizième irire de la Méthode parlant du Scirrhe du foie, dit que l'indication curative qui se prend de la maladie, muique les Remèdes emolliants et résolutifs.
LE DOCTEUR.	LE DOCTEUR.
Hippocrate, & Galien ne me gueriront pas, que fuue l faire.	Hypocrate, et Galien ne me guériront pas, que fue l faire.
PASCARIEL.	PASCARIEL.
na laradie eit une conſtitutfon contre nature, ainſi que le dit Gallien en ſon Commentaire.	na laradie eit une constituton contre nature, ainsi que le dit Galien en son Commentaire.
MEZETIN.	MEZETIN.
Et fait mourir le monde	Et fait mourir le monde
LE DOCTEUR.	LE DOCTEUR.
De grace Monſieur, dittes moy dequoy je fuis malade?	De grâce Monsieur, dites -mo y je fuis malade?
D ij	D ij
PASCARIEL.	PASCARIEL.
Hyppocrate dit que la nature guerit les maladies, Gallien que la gueriſon conſiſte en la temperature, & harmonie des quatre qualités Elementaires?	Hypocrate dit que la nature guérit les maladies, Galien que la guérison consiste en la température, et harmonie des quatre qualités Elementaires?
LE DOCTEUR.	LE DOCTEUR.
En Mionneur, les Eieiſens nont que faire à ma maladie, d’où vient.	En Mionneur, les Eieisens nont que faire à ma maladie, d'où vient.
PASCARIEL.	PASCARIEL.
C’eſt que comme dit Tagault, & Fernelle?	C'est que comme dit Tagault, et Fernelle?
LE DOCTEUR.	LE DOCTEUR.
Je vous demande que vous me gueriſſiés, de par tous les Diables?	Je vous demande que vous me guerissiés, de par tous les Diables?
PASCARIEL.	PASCARIEL.
Je n’ay d’autre but, j’en appelle à témoins Cornelius, Celſus chés les Latins, Porphyre, Canape, Aviſceſne, Rhaſis, Albucaſis chés les Arabes, Quintilien, le Docte Sennertus avec oribare;	Je n'ai d'autre but, j'en appelle à témoins Cornelius, Celsus chez les Latins, Porphyre, Canape, Avisces, Rhasis, Albucasis chez les Arabes, Quintilien, le Docte Sennertus avec oribare;
Equiette chés les Grecs.	Équiette chez les Grecs.
LE DOCTEUR.	LE DOCTEUR.
Que les Gres & les Paves te pulſſent entrer dans le corps.	Que les Gres et les Paves te pulssent entrer dans le corps.
PASCARIEL.	PASCARIEL.
Conſtantin, Vvidius, Dalechamp Guy-de.	Constantin, Vidius, Dalechamp Gui-de.
LE DOCTEUR Mais c’eſt un Demon que ce Medecin-là?	LE DOCTEUR Mais c'est un Démon que ce Medecin-là?
PASCARIEL.	PASCARIEL.
fabrice, Hildanus, l'igrée, Cumemeau, de marque.	fabrice, Hildanus, l'igrée, Cumeau, de marque.
LE DOCTEUR.	LE DOCTEUR.
Parle donc juſqu’à-ce que le Diable t’emporte?	Parle donc jusqu'à-ce que le Diable t'emporte?
PASCARIEL.	PASCARIEL.
Herophile, Aſclepiade, Varron, Elion, Archagatus.	Hérophile, Asclepiade, Varron, Élion, Archagatus.
LE DOCTEUR.	LE DOCTEUR.
Quoy enragé de Medecin, Chirurgien, Apotiquaire, tel que tu ſois, tu ne finiras pas.	Quoi enragé de Médecin, Chirurgien, Apothicaire, tel que tu sois, tu ne finiras pas.
PASCARIEL.	PASCARIEL.
C’eſt que je veux vous faire voir mon ſçavoir faire, & que comme dit Hyppocrate, & Ariſtote, l’experience eſt la mere de tous Arts.	C'est que je veux vous faire voir mon savoir faire, et que comme dit Hypocrate, et Aristote, l'expérience est la mère de tous Arts.
MEZETIN Alluremiene, de tenquerouoiuuojés, il vous feroit revenir au monde quand vous ſeriés pourri.	MEZETIN Alluremiene, de tenquerouoiuuojés, il vous ferait revenir au monde quand vous seriez pourri.
LE DOCIEUR.	LE DOCIEUR.
Voulés-vous me débarraſſer de vôtre diſcours, & ſortir d’icy.	Voulez-vous me débarrasser de votre discours, et sortir d'ici.
PASCARIEL.	PASCARIEL.
Les Cerfs Dains, & Chevres de Candie ont un inſting naturel que les hommes n’ont pas, ils cherchent le Dletam & en mangent pour faire ſortir les Fléches de leurs playes, ainſi que le recite Pline, Elion, Solin, Dioſcoride & Mathiolle, je veux vous guerir.	Les Cerfs Dains, et Chèvres de Candie ont un insting naturel que les hommes n'ont pas, ils cherchent le Dletam et en mangent pour faire sortir les Flèches de leurs plaies, ainsi que le recite Pline, Élion, Solin, Dioscoride et Mathiolle, je veux vous guérir.
LE DOCTEUR.	LE DOCTEUR.
Tu me feras plûtoſt mourir.	Tu me feras plutôt mourir.
PASCARIE Le Le mal deviendra plus grand, & vous en mourrés.	PASCARIE Le Le mal deviendra plus grand, et vous en mourrez.
MEZETIN.	MEZETIN.
Et puis vous en ſerés fâché.	Et puis vous en serez fâché.
PASCARIEL veut parler.	PASCARIEL veut parler.
LE DOCTEUR.	LE DOCTEUR.
Il va encor recommencer.	Il va encor recommencer.
D iij	 Dijà
PASCARIEL.	PASCARIEL.
A cauſe que la chaleur naturelle digeſtive eſt tellement debilitée, & amoindrie, & l’eſtomach ſi refroidy & indigeſte que ſon detion qur eſtpuonque manque à tout le reſte du corps.	À cause que la chaleur naturelle digestive est tellement débilitée, et amoindrie, et l'estomac si refroidi et indigeste que son détion qur estpuonque manque à tout le reste du corps.
LE DCCIEUR.	LE DCIEUR.
Si la langue te pouvoit manquer.	Si la langue te pouvait manquer.
MEZETIN.	MEZETIN.
Ne voit-on pas que vous avés mal à l’eſtomach, & que vous ne mourrés que par là.	Ne voit-on pas que vous avez mal à l'estomac, et que vous ne mourrez que par là.
LE DOCTEUR.	LE DOCTEUR.
Quand j’y aurois cinquante fois plus mal je ne veux pas quun babillard comme celuy- là me gueriſſe, il me feroit mourir par la teſte.	Quand j'y aurais cinquante fois plus mal je ne veux pas quun babillard comme celui- là me guérisse, il me ferait mourir par la tête.
PASCARIEL.	PASCARIEL.
Je vous laiſſe donc mourir mais.	Je vous laisse donc mourir mais.
MEZETIN.	MEZETIN.
Mourrés, mourrés, aprés cela vous verrés beau jeu, les Medecins ne ſont pas Medecins pour rien, & ne ſe donnent pas la peine de faire venir de la caſſe, du ſené, & de la rubarbe, pour ne pas s’en ſervir.	Mourrez, mourrez, après cela vous verrez beau jeu, les Médecins ne sont pas Médecins pour rien, et ne se donnent pas la peine de faire venir de la casse, du sené, et de la rubarbe, pour ne pas s'en servir.
PASCARIEL.	PASCARIEL.
Monſieur peut mourir.	Monsieur peut mourir.
MEZETIN.	MEZETIN.
Ouy mais non ſans la faculté.	Oui mais non sans la faculté.
LE DOCTEUR.	LE DOCTEUR.
Je ne demande pas mieux que vous me gueriſſiés, pourveu que vous ne vouliés plus parler.	Je ne demande pas mieux que vous me guerissiés, pourvu que vous ne vouliez plus parler.
MEZETIN.	MEZETIN.
Il n’y a rien de plus facile.	Il n'y a rien de plus facile.
PASCARIEL.	PASCARIEL.
La langue comme dit.	La langue comme dit.
LE DOCTEUR.	LE DOCTEUR.
Ah ciel je ſuis mort.	Ah ciel je suis mort.
MEZETIN.	MEZETIN.
Eh Monſieur gueriſſés-le, donnés-luy de ces pilules qui font reſuſciter tout le monde, & deſquelles il ſuffit de prendre une fois pour étre cinquante ans ſans étre malade.	Eh Monsieur guérissez-le, donne-lui de ces pilules qui font ressusciter tout le monde, et desquelles il suffit de prendre une fois pour être cinquante ans sans être malade.
PASCARIEL.	PASCARIEL.
Lire de ſa poche une medecine luy fourre dans la bouche, & tiby jall dioaler.	Lire de sa poche une médecine te fourre dans la bouche, et tibi jal dialer.
LE DOCTEUR.	LE DOCTEUR.
Ah de par le bon Dieu le voila en allé.	Ah de par le bon Dieu le voilà en allé.
MEZETIN.	MEZETIN.
Vôtre homme en tient', je vais preſentement parler à Spinette.	Votre homme en tient, je vais présentement parler à Spinette.
SCENE V.	SCÈNE V.
MEZETIN, SPINETTE.	MEZETIN, SPINETTTE.
MEZETIN.	MEZETIN.
Ademoiſelle mon Maitre de ra preVl miere famille de l’Europe, eſt comme vous ſçavés amoureux de vous, il attend la conqueſte de vôtre cœur pour ſe broüiller ayec la mort;	Ademoiselle mon Majaitre de ra preUl môtre famille de l'Europe, est comme vous savez amoureux de vous, il attend la conquête de votre cœur pour se brouiller ayec la mort;
Mezetin que vous voyés s’eſt chargé de cette ambaſſade.	Mezetin que vous voyez s'est chargé de cette ambassade.
Voila une lettre qui vous explique ſes ſentiments concevésen bien la lecture, & vous connoîtrés que depuis que Venus s’eſt mélée de faire des amoureux, elle n’en n’a pas encor produit un plus paſſionné, plus fidel, plus ſincere, plus tendre, plus diſcret, & plus emberlicoqué dans l’amour que luy;	Voilà une lettre qui vous explique ses sentiments concevésen bien la lecture, et vous connoîtrés que depuis que Venus s'est mêlée de faire des amoureux, elle n'en n'a pas encor produit un plus passionné, plus fidel, plus sincère, plus tendre, plus discret, et plus emberlicoqué dans l'amour que lui;
j’attends Mademoiſelle vôtre réponſe pour ravitailler ſon eſprit qui eſt déja à moitié chemin des petites maiſons.	j'attends Mademoiselle votre réponse pour ravitailler son esprit qui est déjà à moitié chemin des petites maisons.
SPINETTE.	SPINETTE.
Dis à ton Maître que je ne puis quand à preſent luy écrire que ſes manieres m’ont fait concevoir pour luy une eſtime particuliere, je ne ſçay pas méme ſi cela n’ira pas plus loin.	Dis à ton Maître que je ne puis quand à présent lui écrire que ses manières m'ont fait concevoir pour lui une estime particulière, je ne sais pas même si cela n'ira pas plus loin.
MEZETIN.	MEZETIN.
Ah Mademoiſelle il vous aime aſſés pour vous ſuivre juſque dans les antipodes, ſi vous y voulés aller, en amour il ne demande pas mieux que d’aller loin.	Ah Mademoiselle il vous aime assez pour vous suivre jusque dans les antipodes, si vous y voulez aller, en amour il ne demande pas mieux que d'aller loin.
SCENEVI.	SCENEVI.
PASCARIEL, MELETIN.	PASCARIEL, MELTIN.
PASCARIEL.	PASCARIEL.
A choſe a-t’elle reüſſi, as-tu parlé à SpiEhette as tu unc leltie.	À chose a-t-elle réussi, as-tu parlé à SpiEhette as tu unc eltie.
Non.	Non.
MEZETIN.	MEZETIN.
Pourquoy.	Pourquoi.
PASCARIEL.	PASCARIEL.
MEZETIN.	MEZETIN.
Parce qu’ell n’a pas voulu.	Parce qu'elle n'a pas voulu.
PASCARTEL.	PASCARTEL.
Tu ne luy a pas parlé.	Tu ne lui a pas parlé.
MEZETIN.	MEZETIN.
Pardonnés moy.	Pardonnez -moi.
PASCARIEL.	PASCARIEL.
Pa viens de me dhe que non.	Pa viens de me dhe que non.
MEZETIN.	MEZETIN.
Je vous dis non ſur la lettre.	Je vous dis non sur la lettre.
PASCARIEL.	PASCARIEL.
Que ta t’elle dit.	Que ta t'elle dit.
MEZETINJe ſçay bien qu’elle m’a dit quelque choſe pour vous dire.	MEZETINJe sais bien qu'elle m'a dit quelque chose pour vous dire.
il reve.	il réve.
PASCARIEL.	PASCARIEL.
Dis donc bourreau.	Dis donc bourreau.
MEZETIN.	MEZETIN.
Si vous me preſſés je vous diray des menteriés pour me debarraſſer de vous.	Si vous me pressez je vous dirai des menteriez pour me débarrasser de vous.
Dis donc.	Dis donc.
PASOMIEL.	PASOMIEL.
MEZETIN.	MEZETIN.
Ces diables de paroles paſſent dans ma teſte comme un courier qui s’arreſte un moment, & puis foüette coché.	Ces diables de paroles passent dans ma tête comme un courier qui s'arrête un moment, et puis fouette coché.
Ah attendés elle m’a, parlé.	Ah attendez elle m'a, parlé.
ma foy je ne ſçay fi c’eſt elle ou moy qui a parlé des antipodes.	ma foi je ne sais fi c'est elle ou moi qui a parlé des antipodes.
non.	non.
je crois que c’eſt moy.	Je crois que c'est moi.
fort bien.	fort bien.
je m’en ſouviens.	je m'en souviens.
diable ſoit de la memoire.	diable soit de la mémoire.
Je ne vous ay jamais celé que je n’en avois point ſi je pouvois ratraper les paroles qu’elle m’a ditte car elles ne doivent pas étre loin.	Je ne vous ai jamais celé que je n'en avais point si je pouvais ratraper les paroles qu'elle m'a ditte car elles ne doivent pas être loin.
PASCARIEL frappe dupied.	PASCARIEL frappe dupied.
MEZETIN.	MEZETIN.
A toute choſe il y a patience, elle étoit comſe cela en liſant votre lettre.	À toute chose il y a patience, elle était comse cela en lisant votre lettre.
, ah parbleu je les tiens.	, ah parbleu je les tiens.
mais ſes manieres honneſtes m’ont touché, je ne ſçay pas même ſi cela n’ira pas plus loin.	mais ses manières honnêtes m'ont touché, je ne sais pas même si cela n'ira pas plus loin.
PASCARIEL.	PASCARIEL.
Brie eaale ctia	Brie eaale ctia
MEZETIN.	MEZETIN.
Qu’y trouvés-vous d’avantageux.	Qu'y trouvez-vous d'avantageux.
PASCARIEL.	PASCARIEL.
Ah que cela veut dire de choſes.	Ah que cela veut dire de choses.
MEZETIN.	MEZETIN.
Cela veut dire un aramnbie pour antiller dans ſa poche tout l’argent de vôtre bourſe qui ſervira bien à autre choſe.	Cela veut dire un aramnbie pour antiller dans sa poche tout l'argent de votre bourse qui servira bien à autre chose.
PASCARIEL.	PASCARIEL.
Comment coquin je crois que tu veux raiſonner.	Comment coquin je crois que tu veux raisonner.
MEZETIN.	MEZETIN.
coint du tout vous eſtes le maître, & vous pouvez-vous laiſſer attraper.	coint du tout vous êtes le maître, et vous pouvez-vous laisser attraper.
PASCAAILL.	PASCAILLL.
Si tu ne ceſſe je te frotteray.	Si tu ne cesse je te frotterai.
MEZETIN.	MEZETIN.
Doucement;	Doucement;
les mains luy demangent qu’il ne m’aſſomme, une carrogne qui fait l’eſté proviſion d’Amans pour l’hyver, qui n’a d’autre merite que la coqueterie, & dont les beautes la fuit iont iur la tonette.	les mains lui démangent qu'il ne m'assomme, une carrogne qui fait l'été provision d'Amants pour l'hiver, qui n'a d'autre mérite que la coqueterie, et dont les beautés la fuit jont jur la tonette.
PASCARIEL.	PASCARIEL.
Tu parle encor.	Tu parle encor.
MEZETIN.	MEZETIN.
Si vous avés tant envie de me tuer, tuésmoy donc, & du moins laiſſés moy l’uſage de la parole.	Si vous avez tant envie de me tuer, tuésmoy donc, et du moins laissez moi l'usage de la parole.
PASCARIEL.	PASCARIEL.
Jet aſſommeray.	Jet assommerai.
MEZETIN.	MEZETIN.
Fouillés-moy plûtôt ſi je parle, vous l’avés cru, & les oreilles vous cornent.	Fouillez-moi plutôt si je parle, vous l'avez cru, et les oreilles vous cornent.
Encor.	Encor.
TASOARIEE.	TASOARIE.
MEZEIIN.	MEZEIN.
Ne voyés-vous pas que ce ſont ces Meſſieurs-là qui raiſonnent, & non pas moy.	Ne voyez-vous pas que ce sont ces Messieurs-là qui raisonnent, et non pas moi.
PASCARIEL.	PASCARIEL.
Mais ce coquin qui veut me reprimender.	Mais ce coquin qui veut me reprimender.
MEZETIN bas.	MEZETIN bas.
Pour étre maître on n’en a pas quelquefois plus de raiſon, & ſouvent celuy qui ſe fait rouler en Carroſſe eſt auſſi beſte que ceux qui le traînent.	Pour être maître on n'en a pas quelquefois plus de raison, et souvent celui qui se fait rouler en Carrosse est aussi bête que ceux qui le traînent.
PASCARIEL.	PASCARIEL.
Marbleu tu abuſe de ma patience, il le frappe.	Marbleu tu abuse de ma patience, il le frappe.
MEZETIN.	MEZETIN.
All Monſeur je iuis fiuet, je luis mu et, je ſuis muet.	All Eur je juis fivet, je luis mu et, je suis muet.
PASCARIEL.	PASCARIEL.
Avec ces coquins-là on n’en vient jamais à bout qu’à coups de bâtons.	Avec ces coquins-là on n'en vient jamais à bout qu'à coups de bâtons.
MEZETIN.	MEZETIN.
A iemde la center	A iemde la center
Je crois que PASCARIEL.	Je crois que PASCARIEL.
MEZETIN.	MEZETIN.
Je ſuis muet Monſieur, & méme ſourd ſi vous voulés, bas, quelle diable d’envie luy at’il pris de me faire muet, moy qui ay une ſi bonne langue.	Je suis muet Monsieur, et même sourd il vou lez, bas, quelle diable d'envie était at'il pris de me faire muet, moi qui ai une si bonne langue.
FAOCARIEL.	FACARIEL.
Coquin que tu merites d’étre frotté, retourne d’où tu viens, & trouve le moyen d’avoir réponſe, je l’attend à cette porte.	Coquin que tu mérites d'être froté, retourne d'où tu viens, et trouve le moyen d'avoir réponse, je l'attend à cette porte.
MEZETIN.	MEZETIN.
mumomneurque my entres-vous, j’apprehende les pavés, je crois que la maiſou en eſt couverte.	mumomneurque mi entres-vous, j'appréhende les pavés, je crois que la maisou en est couverte.
PASCARIEL.	PASCARIEL.
Je te frotteray.	Je te frotterai.
MEZET IN.	MEZET IN.
Monſieur je ſuis accoutumé de parler, & je ne ſonges pas que je ſuis muet.	Monsieur je suis accoutumé de parler, et je ne songes pas que je suis muet.
SCENE	SCÈNE
SCENE.	SCÈNE.
VII.	VII.
SPTNETTE, MELETIN.	SPTNETTE, MELETIN.
MEZETIN.	MEZETIN.
Ademoiſelle d’eſſipés par une réponſe Ml de vôtre main une nuée de coups de bátons qui formeut ſur moy un orage ſi impetueux que mes épaules en tremblent, mon cœur augmente ſa palpitation, le ſang dans mes veines ſe fige comme du beure ſur de la glace, mes cheveux commenc ent à heriſſer, & enfin ſi vous ne me donnés une lettre je vais mourir à vos pieds.	Ademoiselle d'essipez par une réponse Ml de votre main une nuée de coups de bâtons qui formeut sur moi un orage si impétueux que mes épaules en tremblent, mon cœur augmente sa palpitation, le sang dans mes veines se fige comme du beure sur de la glace, mes cheveux commenc ent à hérisser, et enfin si vous ne me donnez une lettre je vais mourir à vos pieds.
SPINETTE.	SPINETTE.
Il t’a donc menacé	Il t'a donc menacé
MELETIN.	MELETIN.
, Et même donné des herres.	, Et même donné des herres.
INETTE.	INETTE.
Comment ſe porte-t-il?	Comment se porte-t-il?
MEZETIN.	MEZETIN.
Toûjours bon bras, bon pied, bon œil, erec tela il ſe dit malade, je viens de le quitter comme il commençoit à perdre l’appetit il avoit mangé un Alloyau, & but ſix ou ſept Bouteille de vin;	Toujours bon bras, bon pied, bon œil, erec tela il se dit malade, je viens de le quitter comme il commençait à perdre l'appétit -il avait mangé un Alloyau, et but six ou sept Bouteille de vin;
ah!	ah!
pour cela il n’eſt pes grand mangeur.	pour cela il n'est pes grand mangeur.
INETT Tiens voila une Lettre que j’avois écrite.	INET Tiens voilà une Lettre que j'avais écrite.
SCENE VIII.	SCÈNE VIII.
PASCARIEL, MEZETIN, MEZETIN, ſans parler preſente une Lettre à Paſcariel.	PASCARIEL, MEZETIN, MEZETIN, sans parler présente une Lettre à Pascariel.
PASCARIEL, liſant la Lettre.	PASCARIEL, lisant la Lettre.
M'à t’elle.	M'à t'elle.
MEZETIN, fait de la tête.	MEZETIN, fait de la tête.
PASCANIEE.	PASCANIE.
Qui en à donc ce double Maraut, là A parieras-tu?	Qui en a donc ce double Maraud, là A parieras-tu?
MEZETIN, fait de la tête.	MEZETIN, fait de la tête.
PASCARIEL.	PASCARIEL.
