ARG MENT DE LATRAGICOMEDIE.	ARG MENT DE LATRAGICOMEDIE.
Salomon diſoit bien que la femme & le vin, Font broncher le plus ſage, & neantmoins enclin A ce ſexe laſcif, il s’empeſira luy meſme Aux filets embroüillez de ſon malheur extreſme:	Salomon disait bien que la femme et le vin, Font broncher le plus sage, et néanmoins enclin À ce sexe lascif, il s'empésira avait bien Aux filets embroüillez de son malheur extrême:
Les membres deſcouuerts, d’vne humaine heauté, N’ont ils pas de Dauid les eſprits enchanté?	Les membres découverts, d'une humaine heauté, N'ont ils pas de David les esprits enchanté?
Sanſon l’eſpouuentail de la gent Philistine Penſa perdre auec luy toute la Palestine, Pour auoir mis ſon cœur au cœur d’vne putain Qui traiſtreſſe enuerua ſon courage hautain.	Sanson l'espouventail de la gent Philistine Pensa perdre avec deux toute la Palestine, Pour avoir mis son cœur au cœur d'une putain Qui traîtresse enverva son courage hautain.
Mais veux ie de la mer tarir les ondes molles, I’ay trop ample argument & trop peu da pardes, Pour dechiffrer aſſez les mal-heurs enſuiuis A ceux qui ont eſté par les femmes ſuiuis.	Mais veux ici de la mer tarir les ondes molles, J'ai trop ample argument et trop peu da pardes, Pour déchiffrer assez les malheurs ensuivis À ceux qui ont été par les femmes suivis.
Doncques voyant du port des autres le naufrage, Par le mal-heur d’autruy ie me veux faire Jage, Mais voicy celle là qui cauſe mon ſoucy, Pleuſt à Dieu que ie fuſſe ores bien loin d’icy.	Donc voyant du port des autres le naufrage, Par le malheur d'autrui toujours me veux faire Jage, Mais voici celle -là qui cause mon souci, Plût à Dieu que je fusse ores bien loin d'ici.
Marfilie.	Marfilie.
Quand ſera-ce mon cœur, mes delices, mon ame, Que vous alenterez la flame qui m’enflame?	Quand sera-ce mon cœur, mes délices, mon âme, Que vous alenterez la flamme qui m'enflamme?
Quand aurez vous pitié de ma triſte langueur Quand amollirez vous l’acier de voſtre cœur?	Quand aurez -vous pitié de ma triste langueur Quand amollirez -vous l'acier de votre cœur?
Ces larmes dont la nuict ie vay trempant ma couche, Ces ſouſpirs enflamez, cet ſanglots que ma bouche Exalle entrecoupez & ce debile corps Que l'Amour tyranniſe & dedans & dehors, N’auront ils le pouuoir ſur vostre ame que i’aye Par vos embraſſemens vn remede à mã playe?	Ces larmes dont la nuit ie vais trempant ma couche, Ces soupirs enflamés, cet sanglots que ma bouche Exalle entrecoupez et ce débile corps Que l'Amour tyrannise et dedans et dehors, N'auront ils le pouvoir sur notre âme que j'aie Par vos embrassements un remède à mon plaie?
Playe non, ains vn feu bruſle inceſſamment, Vn feu non, vn vantour me liure ce tourment, Vn vautour, non, ie faux, vne rage amoureuſe, Rage, non, ains pluſtoſt vne vie ennuyeuſe, Vie, non, ains pluſtoſt vne cruelle mort, Mort, non, elle ne peut ſon dard n’eſt aſſez fort Pour faire tant de mal, ou bien c’eſt ce me ſemble Playe, vaultour, feu, rage, & vie, & mort enſemble.	Playe non, ains un feu brûle incessamment, Un feu non, un vantour me livre ce tourment, Un vautour, non, une vie, une rage amoureuse, Rage, non, ains plutôt une vie ennuyeuse, Vie, non, ains plutôt une cruelle mort, Mort, non, elle ne peut son dard n'est assez fort Pour faire tant de mal, ou bien çest ce me semble Plaie, vaultour, feu, rage, et vie, et mort ensemble.
Fabrice.	Fabrice.
Madame, ce grand Dieu qui des cachots d'vn rien Sceut eſclorre ce tout:	Madame, ce grand Dieu qui des cachots d'un rien Sut éclorre ce tout:
qui du rond terrien En moins d’vn tourne-main les fondemens esbranſle, Qui au bout de ſon doit ſoustient la terre enbranſle, Qui tout peut, qui tout ſçait, qui tout fait, qui tout Qui lit dedans nos cœurs qui nos penſers cognoit) veut Auant qu'ejire penſeZ.	qui du rond terrien En moins d'un tourne-main les fondements ébranle, Qui au bout de son doit soutient la terre enbranle, Qui tout peut, qui tout sait, qui tout fait, qui tout Qui lit dedans nos cœurs qui nos pensers connaît) veut Avant qu'éjire pensés.
Cet ceiuy-ta, Madame, Qui me va preſeruant du feu qui vous enflame, Qui me ſerre labride, & lequel ne veut pas Qu'indiſcret ie m’empeſtre au glu de vos appas.	Cet celui-ta, Madame, Qui me va préservant du feu qui vous enflamme, Qui me serre labride, et lequel ne veut pas Qu'indiscret end m'empêtre au glu de vos appas.
Marfilie.	Marfilie.
E9 tint ien jeu de paille à ia perdu ſa forcé.	E9 tint yen jeu de paille à ja perdu sa forcé.
Fabrice.	Fabrice.
Ie n’ay iamais ſenti ſon impudique amorce.	Je n'ai jamais senti son impudique amorce.
Marfilie.	Marfilie.
Que ne me laiſſois-tu mourir, quand le l’ay peu,	Que ne me laissais-tu mourir, quand le l'ai peu,
Fabrice.	Fabrice.
I’eſperoy que le temps amortiroit ce feu:	J'espérai que le temps amortirait ce feu:
Marfilie.	Marfilie.
Pourquoy me paiſſois-tu d'vne vaine eſperance?	Pourquoi me paissais-tu d'une vaine espérance?
Taonecs Il faut s’accommoder touſiours à l’occurence.	Taonçecs Il faut s'accommoder toujours à l'occurence.
Mariile.	Mariile.
Traistre donc tu te ris de mon aſpre tourment:	Traître donc tu te ris de mon âpre tourment:
Fabrice.	Fabrice.
Non, mais i’aimeroy mieux le ſalle embraſſement D'vne rage d’enfer, d’vn démon, d’vn cerbere, Que de ſoüiller laſcif la couche de mon pere, Ha!	Non, mais j'aimerais mieux le salle embrassement D'une rage d'enfer, d'un démon, d'un cerbère, Que de soüiller lascif la couche de mon père, Ha!
que pluſtost mon corps en cent mille morceaux Saoule l’auide faim des croaſſans corbeaux:	que plutôt mon corps en cent mille morceaux Saoule l'aude faim des croassants corbeaux:
Pluſtost en la nature on trouuera du vuide, La terre deuiendra tranſparente & lucide, Plustoſt l’ours vollera par la vague des airs, L’Aigle approche-ſoleil pluſtoſt fendra les mers, De coq yO ue ſou n auront d'untiputhie:	Plutôt en la nature on trouvera du vid, La terre deviendra transparente et lucide, Plutôt l'ours volera par la vague des airs, L'Aigle approche- tôt fendra les mers, De coq yO ue sou auront d'untiputhie:
La vigne auec l’ormeau n’aurà de ſympathie, Bref, tout retombera en l’antique chaos, Auant que vostre amour furette dans mes os.	La vigne avec l'ormeau n'aura de sympathie, Bref, tout retombera en l'antique chaos, Avant que votre amour furette dans mes os.
Marfilie.	Marfilie.
O des gouffres noircis dires eſpouuentables, Parques, manès, fureurs, rages inſatiables, Lares, larnes, lutins, lemures & demons.	Ô des gouffres noircis dires espouuentables, Parques, manques, fureurs, rages insatiables, Lares, larnes, lutins, lémures et démons.
Thomas.	Thomas.
O iambons ceruelas, pouteilles & flacons.	Ô jambons cervelas, pouteilles et flacons.
Marfilie.	Marfilie.
Marfilie.	Marfilie.
Venez tous, accourez pour venger mon iniure, Terre creue tes flancs, englouty ce pariure, Ce traiſtre, ce cruel, ce Soythe:	Venez tous, accourez pour venger mon injure, Terre crue tes flancs, englouti ce parjure, Ce traître, ce cruel, ce Soithe:
ce Gelon, Ce tigre qui n’arien de l’homme que le nom.	ce Gelon, Ce tigre qui n'arien de l'homme que le nom.
Thomas.	Thomas.
Ie croy que tout l’enfer ſoit ores dans ſa teſle.	Je crois que tout l'enfer soit ores dans sa télé.
Marfilie.	Marfilie.
O ciel eſcraſe-le d’vn eſclat de tempeſte, Et vous bourrelles ſœurs, pincetez, tenaillez, Le corps de ce meſchant puis apres le baillez, olu emen trors fois teſiu, que ue fes uents fanglantes, Il dechire à morceaux ſes entrailles relantes, Ah amour, ah amour que tu es inhumain!	Ô ciel écrase-le d'autre éclat de tempête, Et vous bourrelles sœurs, pincetez, tenaillez, Le corps de ce méchant puis après le baillez, olu emen trors fois tesiv, que ue fes utz sanglantes, Il déchire à morceaux ses entrailles relantes, Ah amour, ah amour que tu es main!
Thomas.	Thomas.
Ha, ha petit baboüin, petit fils de putain, 12 Si Thomas vne fois contre toy ſe courrouce, Il briſera tes traits, ton carquois & ta trouſſe, Tu as peur de ton feu ma maistreſſe enflammer, Mais ne penſe pourtant me contraindre d’aimer, I’ayme mieux m’enyurer de la liqueur Bachique, Que par ton fol poiſon deuenir frenetique, 10 Ouy i’ayme mieux humer & boire nuict & iour, Cinq ou ſix pots de vin qu’vne goutte d’Amour.	Ha, ha petit baboüin, petit fils de putain, 12 Si Thomas une fois contre toi se courrouce, Il brisera tes traits, ton carquois et ta trousse, Tu as peur de ton feu ma maîtresse enflammer, Mais ne pense pourtant me contraindre d'aimer, J'aime mieux m'enivrer de la liqueur Bachique, Que par ton fol oison devenir frénétique, 10 Oui j'aime mieux humer et boire nuit et jour, Cinq ou six pots de vin ou sixte d'Amour.
Marfilie.	Marfilie.
Nourrice ie me mœurs:	Nourrice Seigneur me mœurs:
Nourrice.	Nourrice.
Madame ayez courage.	Madame ayez courage.
Thomas, eſpancheZ toſt de l’eau ſur ſon viſage, Elle tombe en ſyncope,	Thomas, épanchez tôt de l'eau sur son visage, Elle tombe en syncope,
Thomas.	Thomas.
En luy verſant de l’eau ſur le viſage.	En avait versant de l'eau sur le visage.
Nourrice.	Nourrice.
Parlez à moy.	Parlez à moi.
Thomas.	Thomas.
Parlez à moy;	Parlez à moi;
Ha!	Ha!
que ne ſuis-ie autant aimé de ma maiſtreſſe Comme eſt noſtre Fabrice, en vn ſeul coup de feſſe, Bruſquement ſecoüé à bonds reïterez, Ie ramaſſeroy toſt ſes eſprits égarez .	que ne suis-je autant aimé de ma maîtresse Comme est notre Fabrice, en un seul coup de fesse, Brusquement secoué à bonds reïterez, Je ramasserai tôt ses esprits égarés .
12144 Appaiſant doucement ſon ardeur amoureuſe 2 Par le paillard dégout d’vne liqueur glueuſe.	12144 Apaisant doucement son ardeur amoureuse 2 Par le paillard dégout d'une liqueur glueuse.
Marfilſe.	Marfilse.
Nourrice, helas pourquoy troublez vous mon repos, Ià le ciz iau fatal de la douce Atropos, M’alloit priuer d’eunuis en me priuant de vie.	Nourrice, hélas pourquoi troublez -vous mon repos, Jà le ciz jau fatal de la douce Atropos, M'allait priver d'eunuis en me privant de vie.
Nourrice.	Nourrice.
Comment!	Comment!
celle par qui noſtre vie est rauie Peut elle receler en ſoy quelque douceur!	celle par qui notre vie est ravie Peut -elle receler en soi quelque douceur!
Maruler La mort au miſerable est vn azile ſeur.	Maruler La mort au misérable est un asile sûr.
Nourrice.	Nourrice.
La mort à tous humains est affreuſe & cruelle:	La mort à tous humains est affreuse et cruelle:
Marfilie.	Marfilie.
Elle est aux affligez douce plaiſante & belle.	Elle est aux affligés douce plaisante et belle.
Nvounice.	Novounice.
Nature n’a rien plus que la mort odieux,	Nature n'a rien plus que la mort odieux,
Marfilie.	Marfilie.
Et moy ie n’ay rien plus que la mort gratieux,	Et moi ie n'ai rien plus que la mort gratieux,
Thomas.	Thomas.
Et moy ie veux touſiours voir boüillir la marmite:	Et moi : veux toujours voir bannir la marmite:
Marfilie.	Marfilie.
Tant que le traistre cœur de mon feint hypocrite Du vent de ſes poulmons ira rafreſchiſſant, Tant que ſes yeux verront lé iour esblouyſſant De l’œil de l’vniuers, & tant que de ſa vie Les reſſors garderont leur iuſte ſymmetrie, Iune cunte mius uppuifer mna tunceur, Vn aigle de vengeance à charné ſur mon cœur S’en repaistra touſiours & ma douleur cruelle Renaiſſant en ſa mort deuiendra eternelle.	Tant que le traître cœur de mon feint hypocrite Du vent de ses poulons ira rafraîchissant, Tant que ses yeux verront lé jour éblouissant De l'œil de l'univers, et tant que de sa vie Les ressors garderont leur juste symettrie, June cunte mius uppier mna tunceur, Un aigle de vengeance à charné sur mon cœur S'en repaîtra toujours et ma douleur cruelle Renaissant en sa mort deviendra éternelle.
Nourrice.	Nourrice.
Il le faut donc, Madame, eclypſer de nos yeux, Il le faut enuoyer au mans,ryngiemr, Aux foreſts de Pluton faire la chaſſe aux ames Puis qu’au monde il ne veut faire la chaſſe aux dames	Il le faut donc, Madame, éclipser de nos yeux, Il le faut envoyer au mans,ryngiemr, Aux forêts de Pluton faire la chasse aux âmes Puis qu'au monde il ne veut faire la chasse aux dames
Marfilie.	Marfilie.
Nourrice ie perçoy maintenant ton amour, Außi tant que l’aurore ennoncera le iour, Tant qu’au Ciel baillera Hecate la cornuë, Et tant que languira ta vieilleſſe chenuë, I’auray touſiours au cœur engraué ce bienfait, muistus.	Nourrice Prince perçois maintenant ton amour, Aussi tant que l'aurore ennoncera le jour, Tant qu'au Ciel baillera Hecate la cornue, Et tant que languira ta vieillesse chenue, J'aurai toujours au cœur engravé ce bienfait, muistus.
pun quuimejenmeitons nous en effect Ton conſeil ſalutaire?	pun quuimejenmeitons nous en effet Ton conseil salutaire?
Nourrice.	Nourrice.
Vn boucon d’Italie, Finira voſtre mal en finiſſant ſa vie.	Un boucon d'Italie, Finira votre mal en finissant sa vie.
Marfilie.	Marfilie.
E piuitelumun poiſon vehement?	E pjuitelumun poison véhément?
Nourrice.	Nourrice.
A nomus nons feruinu u on fiueut inſtrument.	À nomus nons fervinu u on fiveut instrument.
Marfilie.	Marfilie.
L’entrepriſe me ſemble eſtre preſqu’impoßible:	L'entreprise me semble être presqu'impossible:
Nourrice.	Nourrice.
Par argent nous ferons l’impoßible poßible:	Par argent nous ferons l'impossible possible:
Baillez donc premierement cent eſcus à Thomas:	Baillez donc premièrement cent écus à Thomas:
Ni enen le meucem ituite de et pas, L’eſclat de ce bel or esbloüiſſant ſa veuë, Luy fera deliurer ou la froide ciguë, Le cauſtique arcenic, ou le prompt ſublimé.	Ni en le meucem ituite de et pas, L'éclat de ce bel or éblouissant sa vue, Lui fera délivrer ou la froide ciguë, Le caustique arcen, ou le prompt sublimé.
Marfilie.	Marfilie.
Mon Thomas, ſi tu veux eſtre de moy aimé, Embraſſe cet affaire, & monſire par adreſſe Que tu as au beſoin ſecouru ta maiſtreße.	Mon Thomas, si tu veux été de moi aimé, Embrasse cet affaire, et monsire par adresse Que tu as au besoin secouru ta maistresse.
Thomas.	Thomas.
Pour vous ie veux deteruu binuien perienet Iuſqu’aux eaux ou Phœbus va trempant ſes cheueux, Ie ramperay pour vous les monts inacceßibles, Pour vous ie deſcendray dans les enfers horribles, Et ſi le chien portier triplement aboyant S’oppoſe pour obſtacle à mon bras foudroyant, de ſautera ſurti, y luy jera paronsire, Que Thomas en enfer il conuient recognoiſtre.	Pour vous me veux détervu binuien périenet Jusqu'aux eaux ou Phœbus va trempant ses cheveux, Je ramperai pour vous les monts inaccessibles, Pour vous ie descendrai des ce enfers horribles, Et si le chien portier triplement aboyant S'oppose pour obstacle à mon bras foudroyant, de sautera surti, y avait jera paronsire, Que Thomas en enfer il convient reconnaître.
Marfilie.	Marfilie.
Ainſi le braue cœur tout range à ſon vouloir, Tien doncques pren ce ſac & fay bien ton deuoir, Fay voir qu’à ton parler l’effect eſt tout conforme, Le parler ſans effect est vn corps ſans ſa forme.	Ainsi le brave cœur tout range à son vouloir, Tien donc pren ce sac et fais bien ton devoir, Fais voir qu'à ton parler l'effet est tout conforme, Le parler sans effet est un corps sans sa forme.
ACTE IIII.	ACTE IIII.
THOMAS.	THOMAS.
EVe celuy eſt heureux qui libre comme moy, Ne ploye ſoubs le ioug de l’amoureuſe loy, Qui franc de paßion rechauffe ſa poictrine Du fumet ſauoureux d’vne graſſe cuiſine Qui gras & fafelu prend touſiours ſon repos, Deſſus vn banc ionché de taßes & de pots, En bref qui ayme mieux quand au vin il ſuccombe Se coucher vif au lict que mort dedans ſa tombe:	EUe celui est heureux qui libre comme moi, Ne ploie sous le joug de l'amoureuse loi, Qui franc de passion rechauffe sa poitrine Du fumet savoureux d'une grasse cuisine Qui gras et fafelu prend toujours son repos, Dessus un banc ionché de tasses et de pots, En bref qui aime mieux quand au vin il succombe Se coucher vif au lit que mort dedans sa tombe:
.	.
S’il n’a comme vn Adon les cheueux friſottez Le teint ſi delicat, les yeux ſi affetez S’il n’a le col fraizé, les moustaches dreßees, Le pied ſi trepignant, les leures ſi preßées, Le diſcours ſi charmeux, & s’il ne porte pas, Satin deſſus ſatin, & damas ſur damas, Il ne ſent pour le moins dans ſon ame großiere Du ſorcier Paphien la flammeche ſorciere, Si par fois ſon fuz il s’enflame doucement, Alors ſans paßion, ſans peine, ſans tourment, Au premier gué qu’il trouue il appaiſe ſa flame, Il nage à toutes eaux, de tous feux il s’enflame, Pour gouſter de tout vin il perce tout vaiſſeau, Mais voicy maiſtre André, ô l’heureuſe rencontre, Il faut que ie l’aborde, & ces eſcus luy monſire, Dieu vous gardmaiſtre André.	S'il n'a comme un Adon les cheveux frisés Le teint si délicat, les yeux si affétés S'il n'a le col fraizé, les moustaches dressees, Le pied si trépignant, les lèvres si pressées, Le discours si charmeux, et s'il ne porte pas, Satin dessus satin, et damas sur damas, Mo ne dans son âme moins son âme âme dernière Du sorcier Paphien la flamme sorcière, Si par fois son famme s'enflam me, Il s' en,fla peine, sans tourment, Au premier gué il trouue il appaise sa flame, Il nage toutes eaux, de tousfeux il enflame, Pour sans de tout vin il perce tout vaisseau, m voicy maître André, heureuse rencontre, Et faut qu' il taborde, et ces qu' il monsire, Ou vous , Y.
Le Medecin.	Le Médecin.
Ah Thomas, Dieu te gard, Uu vas-iu mon enfant qui te guide ſi tard?	Ah Thomas, Dieu te gard, Uu vas-ju mon enfant qui te guide si tard?
Thomas.	Thomas.
C’est pour vous conſulter vne grand maladie Qui depuis peu de iours s’eſt de mon corps ſaiſie.	C'est pour vous consulter une grand maladie Qui depuis peu de jours s'est de mon corps saisie.
Le Medecin.	Le Médecin.
Conte m’en ſeulement le principe, la fin, Les ſymptomes, la cauſe, & le motif, affin D'exhiber à ton mal vn ſalubre remede.	Conte m'en seulement le principe, la fin, Les symptômes, la cause, et le motif, afin D'exhiber à ton mal un salubre remède.
Thomas.	Thomas.
Monſieur ces iours paſſez mon maiſtre qui excede Les Perſes de coiſine & mets delicieux, Fait vn forbeau festin:	Monsieur ces jours passez mon maître qui excède Les Perses de coisine et mets délicieux, Fait un forbeau festin:
tel que celuy des dieux Aux nopces de Thetis, où moy le plus notable De tous les ſeruiteurs, ſeruois deſſus la table:	tel que celui des dieux Aux noces de Thétis, où moi le plus notable De tous les serviteurs, servais dessus la table:
Là par ordre i’allois tous les plats compaſſant, En loz ange, en quarré, en triangle, en croiſſant, Quand de fortune vn pet d’vne horrible furie Dans mon ventre grondoit pour trouuer ſa ſortie, Et plus pour l’empeſcher les feſſes ie ſerrois, Faiſant dans mes boyaux vn ſi grand tintamarre, Que ſur les hauts coupeaux des roches de tartare, Iupin me va ſi fort ſon tonnerre eſclattant, L’enfer s’en estonna, le palais chancelant Monstra ſes fondeniens, les tables en tomberent, Les conuiez außi de frayeur ſe troublerent, En ceſte extremité ie n’ay d’autre recours, Qu'à ce rapide vent laſcher vn peu le cours, Dilatant doucement & l’vne & l’autre feße Pour metamorphoſer vn pet en vne veße:	Là par ordre j'allais tous les plats compassant, En loz ange, en quarré, en triangle, en croissant, Quand de fortune un pet d'une horrible furie Dans mon ventre grondait pour trouver sa sortie, Et plus pour l'empêcher les fesses ie serrois, Faisant dans mes boyaux si grand tintamarre, Que sur les hauts coupeaux des roches de tartare, Iupin me va si fort son tonnerre esclattant, enfer en étonna, le palais chancelant Monstra ses fondeniens, les tables en tombèrent, Les conviez aussi de frayeur se troublèrent, En ceste extremité ie ay autre recours, Qu' ce rapide vent lâcher peu le cours, Dilatant doucement et et autre fesse Pour métamorphoser pet en vesse:
Lors fut en vn clin d’œil ce tumulte party, Mais ce pet demeurant en mon ventre applaty, Me cauſe vne douleur qu’on appelle colique, Fait dedans mes boyaux vn concert de Muſique Si bien que du depuis mon cul muſicien:	Lors fut en un clin d'œil ce tumulte parti, Mais ce pet demeurant en mon ventre applaty, Me cause quelque douleur qu'on appelle colique, Fait dedans mes boyaux un concert de Musique Si bien que du depuis mon cul musicien:
Semble garder les tons du troupeau Guoſien, Et par diuerſe voix on entend quand il pette, Lameze parameze, & l'hippate & la nette.	Semble garder les tons du troupeau Guosien, Et par diuerse voix on entend quand il pette, Lamése parameze, et l'hipte et la nette.
Le Medecin.	Le Médecin.
O l'extreſme danger!	Ô l'extrême danger!
ô l'estrange accident!	ô l'étrange accident!
Mais ſi tu es plaiſant, tu n’es moins impudent Ozes-tu bien, faquin, emparer ma ſcience, Can projijque ottonrde latonrde churance, Par bieu ſi ie te prens.	Mais si tu es plaisant, tu n'es moins impudent Ozes-tu bien, faquin, emparer ma science, Can projque otonrde latonrde churance, Par bieu si tu te prends.
Thomas.	Thomas.
Monſieur n’eſlancez pas L’eſclat de vos fureurs ſur le pauure Thomas Ce n’est là le ſubiet qui deuers vous m’attire, Voyez ces beaux eſcus dont l’aymant ſecret tire nocuui qui s en approcne, is font d’or & de poids, Madame, vous les donne, elle en a fait le choix Deſſus ſon threſor.	Monsieur n'élancez pas L'éclat de vos fureurs sur le pauvre Thomas Ce n'est là le sujet qui devers vous m'attire, Voyez ces beaux écus dont l'aimant secret tire nocuvi qui s en approcne, is font d'or et de poids, Madame, vous les donne, elle en a fait le choix Dessus son trésor.
Le Medecin.	Le Médecin.
Quoy Madame ſi ciche, Me Voudroit-elle bien faire vn preſent ſi riche, Sans attendre de moy vn reciproque don?	Quoy Madame si ciche, Me Voudrait-elle bien faire un présent si riche, Sans attendre de moi un reciproque don?
THotmas.	THotmas.
Elle ne veut de vous qu'vn bien peude poiſon,	Elle ne veut de vous qu'un bien peude poison,
Le Medeciñ.	Le Medeciñ.
Du poiſon & pourquoy?	Du poison et pourquoi?
n'eſt-elle aſſez malade?	n'est-elle assez malade?
Thomas.	Thomas.
C’’eſt pour faire [ dit-elle ] vne capilotade, Aux branſles d’Auignon auec vn chaußepied, Vn acre de monſlarde auec vn paßepied, Deux dragmes de courante, vnv once ue compote, Vn ſcrupule de ris, vne aulne de gauotte, Les tripes d’vn ciron, l’aiſle d’vn ſcorpion, Les cornes d’vn cocu, le cœur d’vn morpion, La ceruelle d'vn poüil, le ſperme d’vne puce, Le tout mettre infuſer où la taupe ſe muſſe Et apres auoir fait les triturations, Cuiſſons, calcinemens, ſinapiſations, Qui en voudra extraire vne humeur qui nourrice, Qu’il en aille empliſſants les brayes d’vn Suiſſe, Le laiſſant ſelon l’art lentement degoutter, Puis en la collature il conuient adiouſter La prudence d’vvn fol, d’vn begue l’eloquence, D'vn plaideur le repas, des femmes le ſilence, La foy d’vn procureur, d’vn ſergeant la pitié, Et la faire boüllir à perte de moitié, En la mouuant touſiours d’vne ſpatule faite Du bois d’vne Vielle, & la liqueur parfaicte, Don un purun uimutome ounemduc inuente, Aux pauures langoureux qui creuent de ſanté.	CUliest pour faire [ dit-elle ] un capilotade, Aux branles d'Avi site luite, Vier Papiste de monslarde avec un passepied, Deux dragne de courante, un once ue compote, Vn scrupule de ris, une aulne de gauotte, Les tripes d'un ciron, l'Île d'un scorpion, Les cornes d'un cocu, le cœur d'un morpion, La cervelle d'un poüil, le sperme and pur, Le tout mettre infuser la taupe se musse Et apres auoir fait les triturations, Cuissons, me, sinapisations, D' un voudra extraire pu qui ce, Touil en aille emplissants me braies Suisse, Le laissant selon art lentement dégoutter, Puis en la collature il convient adiouster La où fol, begue léloquence, D' a le ta, des femmes le silence, La foi v procureur, sergeant a pitié, Et la se boüllir met de moitié, En la mouuant tousiours n spatule faite Du bois Vielle, et la liqueur y, Don un purun uimutome du y, Aux pauures langoureux qui crèvent de santé,
Medeciſ.	Médecis.
Ce fol touſiours nous paiſt de ſa folie pure,	Ce fol toujours nous paît de sa folie pure,
Thomas.	Thomas.
Ie ſuis fol de beccare & luy fol denature.	Je suis fol de beccare et Seigneur fol denature.
Medecin.	Médecin.
Luy dois-ie deliurer ce funeſte poiſon, En ceſte extremité extreſme eſt ma raiſon, Le remords du peché frappe ma conſcience, D'autre part ces eſcus ſont à moy violence, I’ay ſongé vn moyen:	Lui dois-je délivrer ce funeste poison, En cette extrémité extrémité est ma raison, Le remords du péché frappe ma conscience, D'autre part ces écus sont à moi violence, J'ai songé un moyen:
mon amy, ce cachet Que tu as à ton doigt appoſe en ce ſachet, A l’endroit où ie vay reſpandre ceſte cire, Hola tien ce poiſon que Madame deſire, Diluy qu’il conutent juire i peu infuſer Dedans quelque liqueur auant que d’en vſer,	mon ami, ce cachet Que tu as à ton doigt appose en ce sachet, A l'endroit où je vais répandre cette cire, Holà tien ce poison que Madame désire, Dilvi qu'il conutent juire y ju infuser Dedans quelque liqueur avant que d'en vser,
THomas.	THomas.
Faut il faire, aualler la boette toute entiere.	Faut -il faire, avez la boète toute entière.
Medecin.	Médecin.
il s’en va Laboette, non vrayement ce n’eſt pas la matiere,	il s'en va Laboète, non vraiment ce n'est pas la matière,
Thomas.	Thomas.
Monſieur, le faut-il point chauffer quand il eſt pris,	Monsieur, le faut-il point chauffer quand il est pris,
Le Rledechih.	Le Rlèdeichih.
Ce lourdant hebeté me rompra les eſprits, (il s’en va) Fay comme ie t’ay dit & de plus ne t’enqueſte.	Ce lourdant hébeté me rompra les esprits, (il s'en va) Fais comme ie t'ai dit et de plus ne t'enquête.
Thomas.	Thomas.
Monſicur, lequel des deux, du cul ou de la teſte.	Monsieur, lequel des deux, du cul ou de la tête.
Sera mort le premier?	Sera mort le premier?
Le Medecin en s’en allant.	Le Médecin en s'en allant.
Au diable le vilain.	Au diable le vilain.
Thomas.	Thomas.
Pilain!	Pilain!
mon pere eſtoit de nobleſſe tour plain, Car il rompit ſa lance au cul d’vne truje, Mais ie crain que de moy Madame ne s’ennuye, Ie m’en vay la trouuer.	mon père était de noblesse tour plain, Car il rompit sa lance au cul d'une truje, Mais tu crain que de moi Madame ne s'ennuie, Je m'en vais la trouver.
1	1
Fabrice.	Fabrice.
Qu'il me ſoit reproché D’auoir commis laſcif ce ſordide peché,	Qu'il me soit reproché D'avoir commis lascif ce sordide péché,
O Dieu le ſeul penſer rend mon ame polluë.	Ô Dieu le seul penser rend mon âme polue.
Grand œil Latonien qui des rais de ta veuë Nous eſtances le iour, depuis le ſable mol Qui redore le front des ondes de Paſtol' Iuſqu’où le fort Athlas aux eſpaules courbees Souſtient de tous les cieux les pentes recourbees, Comment ne vas tu point ta paupiere fermant Au milieu de ton cours pour n’aller enflammant De tes rais paternels ceſle laye lubriques, Ceste orde Paſiphaé, ceſte Girce impudique, Terre, centre du tout nombril de l’vniuers, Pourquoy permettez-vous que ce monſtre peruers Preſſe ſi longuement vos entrailles nourrices!	Grand œil Latoniques qui des rais de ta vue Nous étances le jour, depuis le sable mol Qui redore le front des ondes de Pastol' Iusqu’où le fort Athlas aux épaules courbées Soustient de tous les cieux les pentes recourbes, Comment ne vas tu point ta paupière fermant Au milieu de ton cours pour n'aller enflammant De tes rais paternels cèle la lubriques, Cette orde Pasiphaé, cette Girce impudique, Terre, centre du tout nombril de vniuers, Pourquoy centre-vous Pape ce monstre pervers De si longuement ' il ie!
Que n’engloutiſſez-vous ceſte femme & ſes vices?	Que n'engloutissez-vous cette femme et ses vices?
Et toy iuſte vengeur des crimes, des humains, Trop long temps en ton ſein s’engloutiſſent tes mains Fay plouuoir ſur ſon chef vne horrible ſentence, Abbaiſſant pour vn temps l’ecluſe à ta clemence Las Seigneur pour touſiours à toy nous ramener, Tu es lent à punir & prompt à pardonner, Mais ne la voy-ie pas, ô louue infatiable!	Et toi juste vengeur des crimes, des humains, Trop long temps en ton sein s'engloutissent tes mains Fais plouvoir sur son chef une horrible sentence, Abaissant pour un temps l'écluse à ta clémence Las Seigneur pour toujours à toi nous ramener, Tu es lent à punir et prompt à pardonner, Mais ne la vois-je pas, ô louve insatiable!
Te voyant ſeulement ie m’eſtime coulpable Comme le baſilic infecte de ſes yeux, Tel yeux me regardant me rendent vicieux.	Te voyant seulement rien m'estime coulpable Comme le basilic infecte de ses yeux, Tel yeux me regardant me rendent vicieux.
il s’en	il s'en
Marfilie.	Marfilie.
va.	va.
