ERIE, COMEDIE.	ERIE, COMÉDIE.
Me LA CLOCHE.	Me LA CLOCHÉE.
Je l’aime à la folie cette Madame Sbrigany, elle a eſté femme de chambre de feu ma mere.	Je l'aime à la folie cette Madame Sambrigani, elle a été femme de chambre de feu ma mère.
d Bada dode do C’eſt bien de l’honneur pour elle, Madame, que.	d Bada dode do C'est bien de l'honneur pour elle, Madame, que.
Me LA CLOCHE.	Me LA CLOCHÉE.
A propos.	À propos.
Ne t’avile pas de ſortir de chez toi, Monſieur Sbrigany, on t’aſſommeroit, prens-y garde.	Ne t'avile pas de sortir de chez toi, Monsieur Sbrigani, on t'assommerait, prends-y garde.
MADETIE.	MADETIE.
Comment donc, Madame.	Comment donc, Madame.
Me LA CEOCHE.	Me LA CÉOCHÉE.
Tout Paris dit que tu les voles.	Tout Paris dit que tu les voles.
SBRIGANY.	SBRIGANY.
Madame.	Madame.
Me LA CLOCHE.	Me LA CLOCHÉE.
Que tu les pilles.	Que tu les pilles.
SBRIGANY.	SBRIGANY.
SBRIGANY.	SBRIGANY.
Ridii Madauie.	Ridi Madavie.
Me LA CLOCHE.	Me LA CLOCHÉE.
Que veux-tu, ce ſont des impertinens, des ridicules qui ne comprennent pas qu’il n’y a rien de plus juſte que ce ſoit aux dépens des dupes que les gens d’eſprit s’enrichiſſent.	Que veux-tu, ce sont des impertinents, des ridicules qui ne comprennent pas qu'il n'y a rien de plus juste que ce soit aux dépens des dupes que les gens d'esprit s'enrichissent.
LISETTE.	LISETTE.
tout le monden a pas reiprit n bien fait que vous, Madame.	tout le monden a pas reiprit n bien fait que vous, Madame.
Me LA CLOCHE.	Me LA CLOCHÉE.
Oh je me preſte fort à cela moy.	Oh je me prête fort à cela moi.
Je ſuis raiſonnable.	Je suis raisonnable.
As-tu fait mes boëtes, Monſieur Sbrigany.	As-tu fait mes boètes, Monsieur Sbrigani.
DERIGANI.	DERIGANI.
Vous les aurez quand il vous plaira, Madame.	Vous les aurez quand il vous plaira, Madame.
Me LA CLOCHE.	Me LA CLOCHÉE.
Ne t'aviſe pas de me traiter comme les autres;	Ne t'avise pas de me traiter comme les autres;
je prétens être privilegiée;	je prétends être privilegiée;
je ſuis de tes amies;	je suis de tes amies;
ſi tu me trompois je ferois pius de oimit que dui que ce lom	si tu me trompais je ferais pius de oimit que dui que ce lom
SBRIGANY.	SBRIGANY.
Je vous aſſure, Madame, que c’eſt avec toute la fidelité imaginable.	Je vous assure, Madame, que c'est avec toute la fidélité imaginable.
LISETTE.	LISETTE.
Oh pour cela ouy, Madame, il n’y a point de diſtinction, nous ne favoriſons perſonne.	Oh pour cela oui, Madame, il n'y a point de distinction, nous ne favorisons personne.
6 Me LA CLOCHE.	6 Me LA CLOCHÉE.
Helas, mes enfans, j’en ſuis perſuadée:	Hélas, mes enfants, j'en suis persuadée:
Mais je ne veux point de petits lots, je ue les aime pass je vous eſt avercis.	Mais je ne veux point de petits lots, je ue les aime pass je vous est avercis.
SBRIGANY.	SBRIGANY.
Voulez-vous que je vous donne vos boëtes, Madame.	Voulez-vous que je vous donne vos boètes, Madame.
Me LA CLOCHE.	Me LA CLOCHÉE.
Non, non, je ne les prendray que des dernieres, je veux te donner ſe temps de les faire bonnes.	Non, non, je ne les prendrai que des dernières, je veux te donner se temps de les faire bonnes.
LISETTE.	LISETTE.
C'eſt le pur hazard qui en decide, Madame.	C'est le pur hasard qui en décide, Madame.
Me LA CLOCHE.	Me LA CLOCHÉE.
Je ſçai bien, te dis-je, mais vous avez la fureur des petits lots dans ces commencemens-ci;	Je sais bien, te dis-je, mais vous avez la fureur des petits lots dans ces commencements-cy;
il faut laiſſer finir les petits mouchoirs, cela paſſera.	il faut laisser finir les petits mouchoirs, cela passera.
Il arrivera quelqu’avanture.	Il arrivera quelqu'aventure.
Mon ami Sbrigany n’eſt pas Alicultgai.	Mon ami Sbrigani n'est pas Alicultgai.
SBRIGANY.	SBRIGANY.
Ma foi, Madame, je n’y entens point de fineſſe.	Ma foi, Madame, je n'y entends point de finesse.
Me LA CLOCHE.	Me LA CLOCHÉE.
Oh pour cela non, tu es honneſte-homme, je te rens juſtice, garni bien mes boëtes.	Oh pour cela non, tu es honnête-homme, je te rends justice, garni bien mes boètes.
J’ai la langue bonne, & de bons amis, cu y feras reſlexion.	J'ai la langue bonne, et de bons amis, cv y feras rêlexion.
Adieu mon cher petit bontſomne, bonjour, Liſette,	Adieu mon cher petit bontsomne, bonjour, Lisette,
LISETTE.	LISETTE.
Vôtre ſervante, Madame.	Votre servante, Madame.
SCENE XVI.	SCÈNE XVI.
SBRIGANY, LISETTE.	SBRIGANY, LISETTE.
SBRIGANY.	SBRIGANY.
Iſette.	Isette.
LISETTE.	LISETTE.
Hrauura ferane la baeté de celle remnmelà, Monſieur.	Hrauura ferane la baété de celle remnelà, Monsieur.
Nous n'y avions mis que de la bagatelle.	Nous n'y avions mis que de la bagatelle.
SBRIGANY.	SBRIGANY.
Ouy je la referai:	Oui je la referai:
mais il n’en ſera ni plus ni moins, & puiſqu’elle le prend ſur ce ton-là elle n’aura parbleu que des ſouricieres.	mais il n'en sera ni plus ni moins, et puisqu'elle le prend sur ce ton-là elle n'aura parbleu que des souricières.
D ij Source gallicabnffr(t ce	 Déj Source gallicabnffrnt ce
SCENE XVII.	SCÈNE XVII.
DIONOLET, dDRICANT, EISETIE,	DIONOLET, dDRICANT, EISETIE,
SIGNOLET.	SIGNOLET.
H dame, Monſieur, venez donc là&bas, s’il vous plait, faire tenir ces nigauts-là qui ſont à vôtre porte.	H dame, Monsieur, venez donc làetbas, s'il vous plaît, faire tenir ces nigauds-là qui sont à votre porte.
LISETTE.	LISETTE.
A qui en as-tu, mon pauvre Signolet.	À qui en as-tu, mon pauvre Signolet.
t’ont-ils fait quelque choſe?	t'ont-ils fait quelque chose?
SIGNOLET.	SIGNOLET.
Voifement ouy, ils me donnent des taloches, & des coups de pied dans les os des jambes.	Voifement oui, ils me donnent des taloches, et des coups de pied dans les os des jambes.
SBRIGANY.	SBRIGANY.
Ils ne ſçavent donc pas que tu eſt du logis aparament.	Ils ne savent donc pas que tu est du logis apparament.
SIGNOLET.	SIGNOLET.
Si fait, Monſieur, Barbe leur a dit, ils l’avons itou un peu gouſpillée, ils m’en avont baillé davantage à moy & ils diſont que tout ça’eſt pouitous, ceque je vous l’apporte.	Si fait, Monsieur, Barbe leur a dit, ils l'avons itou un peu gouspillée, ils m'en avont baillé davantage à moi et ils disont que tout ça'est pouitous, ceque je vous l'apporte.
LISETTE.	LISETTE.
Cela tournera mal, Monſieur, je l’avois prevu.	Cela tournera mal, Monsieur, je l'avais prévu.
SBRIGANY.	SBRIGANY.
Il faut trouver moyen d'y mettre ordre.	Il faut trouver moyen d'y mettre ordre.
SIGNOLET.	SIGNOLET.
Ils feſont enrager vôtre Italien, ce Nicodeme de Petronille, ils lui jettont au nez les mouchoirs qu’il leur baille;	Ils fesont enrager votre Italien, ce Nicodeme de Pétronille, ils lui jetont au nez les mouchoirs qu'il leur baille;
ils diſont qu’iſs ne ſont que de tielze Toispiece, & ils en voulont d’autres.	ils disont qu'iss ne sont que de tielze Toispièce, et ils en voulont d'autres.
SBRIGANY.	SBRIGANY.
Il y en a de dix-huit & de vnigt que ne leur en donne-t’il le boureau qu’il eſt, que ne leur en donne-t’il.	Il y en a de dix-huit et de fligt que ne leur en donne-t-il le boureau qu'il est, que ne leur en donne-t-il.
SIGNOLET.	SIGNOLET.
Il dit comme ça qu’il n’eſt pas encore temps, qu’il faut debiter les plus moindres à cette heure, & que quand ils feront un peu plus de bruit, il baillera les auSdcos.	Il dit comme ça qu'il n'est pas encore temps, qu'il faut débiter les plus moindres à cette heure, et que quand ils feront un peu plus de bruit, il baillera les auSdos.
LISETTE.	LISETTE.
Il ſera cauſe de quelque deſordre, Monſieur.	Il sera cause de quelque désordre, Monsieur.
SIGNOLET.	SIGNOLET.
Je croi bien que ouy.	Je crois bien que oui.
Il y a itou des Madames dans des caroſſes qui juront quaſi cõmedes Monſieux, parce qu’alles n’avont eu que des ſavonnettes dans leurs boc̈tes.	Il y a itou des Madames dans des carosses qui juront quasi commedes Monsieur, parce qu'allés n'avon eu que des nettes dans leurs boctes.
LISETTE.	LISETTE.
Il falloit un peu diverſifier les lots, elles enc Ieſone	Il fallait un peu diversifier les lots, elles enc Jésone
SBRIGANY.	SBRIGANY.
C'eſt aujourd’hui le premier jour, on fait comme on peut, cela ſera mieux reglé dans la ſuite.	C'est aujourd'hui le premier jour, on fait comme on peut, cela sera mieux réglé dans la suite.
SIGNOLET.	SIGNOLET.
Deſcendez donc ſi vous voulez.	Descendez donc si vous voulez.
Ils voulont vous voir pour leur argent, & ly en a qui diſont qu’ils ſeront contens quand ils vous auront chanté poüille à vous-même.	Ils voulont vous voir pour leur argent, et li en a qui disont qu'ils seront contents quand ils vous auront chanté pouille à vous-même.
SHRIGANY.	SHRIGANY.
Cela commence mal, ma pauvre Liſette;	Cela commence mal, ma pauvre Lisette;
cela commence mal.	cela commence mal.
LISEIIC.	LISEIC.
Cela finira de même, Monſieur, cela finira de même.	Cela finira de même, Monsieur, cela finira de même.
SBRTGANT.	SBRTGANT.
Il ne faut pourtant pas quitter la partie, 'en vais tâcher.	Il ne faut pourtant pas quitter la partie, 'en vais tâcher.
LISETTE.	LISETTE.
Hé, Monſieur, à quoi vous expoſezvous, vous n'y ſongez pas.	Hé, Monsieur, à quoi vous exposezvous, vous n'y songez pas.
SBRIGANY.	SBRIGANY.
Laiſſe-moy faire, je ne ſortirai pas, & je ne paroîtrai qu’en dedans de la baricade,	Laisse-moi faire, je ne sortirai pas, et je ne paraîtrai qu'en dedans de la baricade,
LISETTE.	LISETTE.
Mais quel orage d’invectives.	Mais quel orage d'invectives.
,	,
SBRIGANY.	SBRIGANY.
Bon, bon, des invectives.	Bon, bon, des invectives.
Voila de belles bagatelles, je tiens le bon bout de mon côté.	Voilà de belles bagatelles, je tiens le bon bout de mon côté.
J’ai leur argent, je me moque de leurs injures.	J'ai leur argent, je me moque de leurs injures.
SIGNOLET.	SIGNOLET.
Je m’en vas donc leur dire que vous allez venir, afin qu’ils ſe prépariont, qu’ils allont être aiſes.	Je m'en vais donc leur dire que vous allez venir, afin qu'ils se prépariont, qu'ils allont être aises.
SCENE XVIII.	SCÈNE XVIII.
MARIANE, SBRIGANY, LISETTE,	MARIANE, SBRIGANY, LISETTE,
MARIANE.	MARIANE.
E vous alarmez point, mon pere, il T Vy a la bas du deſordre, mais il ſera bien-tôt calmé.	E vous alarmez point, mon père, il T Vi a la bas du désordre, mais il sera bientôt calmé.
Je viens de voir Eraſte par ma feneſtre, qui faiſoit aſſurément tout ce qu’on peut attendre d’un parfaitement honnelte-homme.	Je viens de voir Eraste par ma fenêtre, qui faisait assurément tout ce qu'on peut attendre d'un parfaitement honnelte-homme.
Il parloit de vous d’une maniere ſi avantageuſe, il embraſſoit vôtre défenſe avec une ardeur ſi vive & ſi ſincere.	Il parlait de vous d'une manière si avantageuse, il embrassait votre défense avec une ardeur si vive et si sincère.
SBRIGANY.	SBRIGANY.
Voila qui eſt bien, je lui ſuis fort obligé.	Voilà qui est bien, je lui suis fort obligé.
ma fille.	ma fille.
Je vous vois venir.	Je vous vois venir.
Je l’eſtime fort, mais je n’en veux point pour mon gendre;	Je l'estime fort, mais je n'en veux point pour mon gendre;
vous avez à l’heure qu’il eſt, grace au Ciel & a la Lotterie, vingt-cinq mille écus en mariage;	vous avez à l'heure qu'il est, grâce au Ciel et à la Lotterie, vingt-cinq mille écus en mariage;
j'ai pour vous des veuës qui vous paſſent.	j'ai pour vous des vues qui vous passent.
Je vous ay deffendu de voir Eraſte, ſi je ſçay que vous lui parliez, ni que vous lui donniez ſeulement de vos nouvelles, je prendrai des meſures qui vous feront bien voir que je ſuis le maître.	Je vous ai défendu de voir Éraste, si je sais que vous lui parliez, ni que vous lui donniez seulement de vos nouvelles, je prendrai des mesures qui vous feront bien voir que je suis le maître.
Liſette a dû vous expliquer mes petits ſentimens, ſi vous ne les avez pas aſſez bien entendus, qu’ene Iecomnence, je vous laſlle avec elle.	Lisette a dû vous expliquer mes petits sentiments, si vous ne les avez pas assez bien entendus, qu'ene Iecomnence, je vous laslle avec elle.
dLA AsPA LISETTE, MARIANE.	dLA AsPA LISETTE, MARIANE.
LISETTE.	LISETTE.
TE vous le diſois bien moi que cet homme-là ne ſonge qu’à vôtre avancement, vous le voyez.	TE vous le disais bien moi que cet homme-là ne songe qu'à votre avancement, vous le voyez.
MARIANE.	MARIANE.
Et moy je ne ſonge qu’à me deſeſperer.	Et moi je ne songe qu'à me désespérer.
Ouy vois-tu, ma pauvre Liſette, ſi tu n’entres un peu dans mes intereſts, ſi tu ne Mle Iais palntra Elauce .	Oui vois-tu, ma pauvre Lisette, si tu n'entres un peu dans mes intérêts, si tu ne Mle Y palntra Élauce .
.	.
LISETTE.	LISETTE.
Vous faire parler à Eraſte moi, vous voyez avec quelle ſe verité vôtre pere vous le défend.	Vous faire parler à Éraste moi, vous voyez avec quelle se vérité votre père vous le défend.
MARIANE.	MARIANE.
Il n’en ſçaura rien je te le promets, il va trouver la bas de l’oecupation.	Il n'en saura rien je te le promets, il va trouver la bas de l'ocupation.
Eraſte eſt vis-à-vis de là porte, fais-lui ſigne par la feneſtre qu’il monte, je t’en conjure, ou permets moi que je le lui faſſe moi-même, ma chere Liſette.	Eraste est vis-à-vis de là porte, fais-lui signe par la fenêtre qu'il monte, je t'en conjure, ou permets moi que je le lui fasse moi-même, ma chère Liste.
Je te le demande en grace, aurois-tu la dureté de me refuſer.	Je te le demande en grâce, aurais-tu la dureté de me refuser.
LISETTE.	LISETTE.
Non je ne l’aurai pas!	Non je ne l'aurai pas!
mort de ma vie que je ſuis malheureuſe d’eſtre ſi bonne.	mort de ma vie que je suis malheureuse d'être si bonne.
L’avarice du pere, l'amour de la fille, je me prête à tout dans cette maiſon-ci, ç’a toujours eſté mon défaut, je ſuis trop facile.	L'avarice du père, l'amour de la fille, je me prête à tout dans cette maison-cy, ç'a toujours été mon défaut, je suis trop facile.
MARIANE.	MARIANE.
Tu veux donc bien ma chere enfant.	Tu veux donc bien ma chère enfant.
LISETTE.	LISETTE.
Et quand je ne le voudre spas, cela dépendroit-il de moi;	Et quand je ne le voudre spas, cela dépendrait-il de moi;
ne le voila-t’il pas déja luy-même, les habiles gens n’ont que faire de ſignes, il a deviné vôtre peuſée.	ne le voilà-t-il pas déjà lui-même, les habiles gens n'ont que faire de signes, il a deviné votre peusée.
SCENE XX.	SCÈNE XX.
ARASIE,MARIANE,EISETIE.	ARASIE,MARIANE,EISETIE.
ERASTE.	ERASTE.
Ille pardons charmante Mariane, N d'oſer ainſi paroître devant vous, quand je ſçai les défenſes qu’on vous a faites, mais l’état où je ſuis ſemble de voir tout autoriſer.	Ille pardons charmante Mariane, N 'oser ainsi paraître devant vous, quand je sais les défenses qu'on vous a faites, mais l'état où je suis semble de voir tout autoriser.
Je vous adore;	Je vous adore;
vous m’avez dit que vous m’aimiez, on nous deſeſpere:	vous m'avez dit que vous m'aimiez, on nous désespère:
quelles reſolutions ſont les vôtres?	quelles résolutions sont les vôtres?
Na iiRriNDI De vous aimer toute ma vie, puiſqu’on m’a permis de le faire.	Na jRriNDI De vous aimer toute ma vie, puisqu'on m'a permis de le faire.
A la lleB On vous défend de me voir.	À la lèB On vous défend de me voir.
MARIANE.	MARIANE.
1Obeis mal comme vouf voyez.	1Obeis mal comme vouf voyez.
LISETTE.	LISETTE.
Ces pauvres enfans, cela fait pitié & envie même tout enſemble.	Ces pauvres enfants, cela fait pitié et envie même tout ensemble.
ERASTE.	ERASTE.
Ne changerez-vous uoint de ſentimens, belle Mariane, & ne vous laiſſerez-vous poie ebloul.	Ne changerez-vous ouvoint de sentiments, belle Mariane, et ne vous laisserez-vous poie ébloul.
.	.
MARIANE.	MARIANE.
Non, je vous le promets.	Non, je vous le promets.
La nouvelle fortune de mon pere eſt trop peu ſolide, & trop mal fondée pour me donner aucun ridicule, quand je ſerois capable d’en prenciei ee jeciame meme que la fauſſe démarche que ſon intereſt lui a fait faire.	La nouvelle fortune de mon père est trop peu solide, et trop mal fondée pour me donner aucun ridicule, quand je serais capable d'en prencie ce jeciame meme que la fausse démarche que son intérêt lui a fait faire.
LISETTE.	LISETTE.
La némarche n’eſt point fauſſe, ne vous y trompez point l’un et vautre.	La némarche n'est point fausse, ne vous y trompez point l'un et vautre.
Il y a quatre vingt mille bonne livres de profit, je vous en lepons.	Il y a quatre vingt mille bonne livres de profit, je vous en lepons.
Quel profit:	Quel profit:
LISETTE.	LISETTE.
Il eſt réel.	Il est réel.
Outre ce qu’il gagne ſur tous les petits lots, ce n’eſt pas lui qui donne les gros à ſes dépens au moins.	Outre ce qu'il gagne sur tous les petits lots, ce n'est pas lui qui donne les gros à ses dépens au moins.
ERASTE.	ERASTE.
Ce n’eſt pas lui.	Ce n'est pas lui.
ENSETIE.	ENSETIE.
Non, vous dis-je, il n’eſt pas ſi bête, il en a l’honneur & l’argeur, mais ce ſont dez dupes qui en font la dépenſe.	Non, vous dis-je, il n'est pas si bête, il en a l'honneur et l'argeur, mais ce sont dé dupes qui en font la dépense.
MARIANE.	MARIANE.
Comment donc, que veux-tu dire?	Comment donc, que veux-tu dire?
LISETTE.	LISETTE.
Que la belle toillette eſt deſtinée pout cette groſſe Treſoriere, par exemple, & que c’eſt un Juif de la place des victoires qui la lui donne.	Que la belle toillette est destinée pout cette grosse Trésorière, par exemple, et que c'est un Juif de la place des victoires qui la lui donne.
MARIANE.	MARIANE.
Ah Liſette!	Ah Lisette!
LISETTE.	LISETTE.
Ah vraîment.	Ah vraiment.
Il y en a bien d’autres.	Il y en a bien d'autres.
Cetre pendule de cinq cens écus qu’aura ce jeune Academiſte, qui penſez-vous qui l'ait payée.	Cer pendule de cinq cents écus qu'aura ce jeune Académiste, qui pensez-vous qui l'ait payée.
ERASTE.	ERASTE.
Mais je ne ſçai, ma pauvre Liſette, ce ne ſont pas la no affaires.	Mais je ne sais, ma pauvre Lisette, ce ne sont pas la nô affaires.
LISEIIL.	LISEIIL.
La veuve d’un Epicier de la ruë des Lombards qui eſt amoureuſe de lui à la folie	La veuve d'un Épicier de la rue des Lombards qui est amoureuse de lui à la folie
MARIANE.	MARIANE.
Que tu es extravagante avec tes contes.	Que tu es extravagante avec tes contes.
LISETTE.	LISETTE.
Ce ne ſont point des contes.	Ce ne sont point des contes.
Il y a un ſervice de vermeil qu’un jeune.	Il y a un service de vermeil qu'un jeune.
Je ne ſçais qui Conſeiller de.	Je ne sais qui Conseiller de.
Je ne ſçais ou nouvellement émancipé a fait faire pour une eſpece de Comteſſe Quimpercorentine.	Je ne sais ou nouvellement émancipé a fait faire pour une espèce de Comtesse Quimpercorentine.
Une croix de diamans de deux cent piſtolles, qu’un petit Notaire Bourgeois Gentilhomme a achettée pour une femme de qualité.	Une crois de diamants de deux cent pistoles, qu'un petit Notaire Bourgeois Gentilhomme a achettée pour une femme de qualité.
Voila un cofre de la Chine qu’on doit remplir d’étoffes des Indes, & qui eſt deſtiné peur un Partiſan, pour la femme d’un Raporteur, qui a fait prendre un bon tour à une mauvaiſe affaire.	Voila un cofre de la Chine qu'on doit remplir d'étoffes des Indes, et qui est destiné peur un Partisan, pour la femme d'un Rapporteur, qui a fait prendre un bon tour à une mauvaise affaire.
Que ſçais-je moi, c’eſt une nouvelle maniere qu’on a imaginée de faire des preſens, & de les recevoir avec bienſeance, & Momneur voure pele a le pront d le merite de l'invention	Que sais-je moi, c'est une nouvelle manière qu'on a imaginée de faire des présents, et de les recevoir avec bienséance, et Momneur voure pèle à le pront d le mérite de l'invention
MARIANE.	MARIANE.
Et nous avons le chagrin des injuſtes reſolutions que ſon trop de bonheur lui fait prendre.	Et nous avons le chagrin des injustes résolutions que son trop de bonheur lui fait prendre.
LISETTE.	LISETTE.
Ne vous en allarmez point pluſque de raiſon, les choſes peuvent changer, & pourvû que vous paroiſſiez dans ces commencemens ſoûmiſe & obéïſſante à ce que ſouhaite vôtre pere, & que vôtre Amant ne ſe rebutte point.	Ne vous en alarmez point plusque de raison, les choses peuvent changer, et pourvu que vous paraissiez dans ces commencements soumise et obéissante à ce que souhaite votre père, et que votre Amant ne se rebute point.
D I Mnos Lo Moy me rebutter.	D I Mnos Lo Moi me rebuter.
Il n’eſt point de difficultez, quelques inſurmontables qu’elles puiſſent être.	Il n'est point de difficultés, quelques insurmontables qu'elles puissent être.
LRSETIE.	LRSETIE.
Laiſſez faire, on vient à bout de touz, L’affaire la plus importante eſt qu’il ne vous voye point enſemble, puiſqu’il l’a dé	Laissez faire, on vient à bout de touz, L'affaire la plus importante est qu'il ne vous voie point ensemble, puisqu'il l'a dé
Sourcé E menddel y toncen ce Epammemdda	Sourcé E menddel y toncen ce Epammemdda
MARIANE.	MARIANE.
Ma pauvre Liſette, j’entens mon pere qui levient.	Ma pauvre Lisette, j'entends mon père qui levient.
LISETTE.	LISETTE.
Tout eſt perdu, comment allons-nous faire?	Tout est perdu, comment allons-nous faire?
la dld eMs N'ya-t-il point d’endroit où me cacher?	la digne eMs N'ya-t-il point d'endroit où me cacher?
LISETTE.	LISETTE.
Ie n’en ſçache point.	Je n'en sache point.
Mais vous êtes alerte, nous ſommes au premier étage, ſautez par la feneſtre.	Mais vous êtes alerte, nous sommes au premier étage, sautés par la fenêtre.
MARIANE.	MARIANE.
Par la feneſtre, es-tu folle, il y a là bas je ne ſçai combien de monde	Par la fenêtre, es-tu folle, il y a là bas je ne sais combien de monde
LISETIL.	LISETIL.
Vous avez raiſon, cela ne ſeroit pas ſecret.	Vous avez raison, cela ne serait pas secret.
ERASTE.	ERASTE.
Dongenuonoritoyquonviendray-je;	Dongenuonoritoyquonviendray-je;
LISETTE.	LISETTE.
Mettez-vous dans le coffre de la Chine, vous n’ylerez pasrort à votre aile, mais.	Mettez-vous dans le coffre de la Chine, vous n'ylerez pasrort à votre aile, mais.
ERASTE.	ERASTE.
Il n’importe pourvû qu’on ne me voye point.	Il n'importe pourvu qu'on ne me voie point.
LISETTE.	LISETTE.
Non, non, ne craignez rien.	Non, non, ne craignez rien.
Si l’on envoye ce lot là chez Monſieur le Raporteur, Madame ſa femme ne ſera pas la plus mal lorie.	Si l'on envoie ce lot là chez Monsieur le Raporteur, Madame sa femme ne sera pas la plus mal lorie.
SCENE XXI.	SCÈNE XXI.
SBRIGANY, MARIANE, LISETTE.	SBRIGANY, MARIANE, LISETTE.
SBRIGANY.	SBRIGANY.
Out va le mieux du monde, mes enI fans, le public eſt content de moi qu’on ne peut pas davantage.	Out va le mieux du monde, mes enI sans, le public est content de moi qu'on ne peut pas davantage.
Je te l’avois bien dit, Liſette.	Je te l'avais bien dit, Lisette.
Ils ſe moquent les uns des autres.	Ils se moquent les uns des autres.
Les uns rient, les autres plaiſantent, & il n’y a que des vilains & des ladres qui loient fâchez ſerieuſement.	Les uns rient, les autres plaisantent, et il n'y a que des vilains et des ladres qui loient fâchez sérieusement.
Encore n’oſeroient ils le paroître, de peur qu’on ne ſe moque d’eux.	Encore n'oseraient ils le paraître, de peur qu'on ne se moque d'eux.
LISETTE.	LISETTE.
Ma foi, Monſieur, vous êtes plus heureux que lage, & voiſa auſſi Mademoiſelle vôtre fille que je trouve dans des diſpoſitions tout-a-fait conformes à vos ſentimens.	Ma foi, Monsieur, vous êtes plus heureux que lage, et voisa aussi Mademoiselle votre fille que je trouve dans des dispositions tout-fait conformes à vos sentiments.
SBRIGANY.	SBRIGANY.
Tout de bon.	Tout de bon.
E ij	E ij
LISETTE.	LISETTE.
Ouy, ſsciltesis.	Oui, sciltesis.
MARIANE.	MARIANE.
Ce pauvre garçon étoufera dans ce coffre, Liſette.	Ce pauvre garçon étouffera dans ce coffre, Lisette.
Hé non, LISETTE.	Hé non, LISETTE.
SBRIGANY.	SBRIGANY.
Je ſuis ravy qu’elle ſoit raiſonnable;	Je suis ravi qu'elle soit raisonnable;
Je ne lais rien que pour ene, comme tu ſçais, & toute la peine que je me donne.	Je ne lais rien que pour ene, comme tu sais, et toute la peine que je me donne.
MARIANE.	MARIANE.
Prens bien garde qu’on ne mette rien dendo.	Prends bien garde qu'on ne mette rien dendo.
Ndons Ioil.	Nédons Joil.
LISETTE.	LISETTE.
SBRIGANY.	SBRIGANY.
Que dit-elle?	Que dit-elle?
LISETTE.	LISETTE.
Qu'elle vous eſt fort redevable, Monſieur, helas donc, répondez à Monſieur volu Peie.	Qu'elle vous est fort redevable, Monsieur, hélas donc, répondez à Monsieur volu Peie.
SBRIGANY.	SBRIGANY.
La voila toute je ne ſçai comment, qu’astu, parles.	La voilà toute je ne sais comment, qu'astu, parles.
MARIANE.	MARIANE.
Il vient de me prendre dans le moment un étourdiſſement épouvantable;	Il vient de me prendre dans le moment un étourdissement épouvantable;
trouvez bon, mon pere, que je retourne 23a Maay aMaaaless Pales	trouvez bon, mon père, que je retourne 23a Majà MÈre Pales
SBRIGANY.	SBRIGANY.
Va, mon enfant, je ne te veux pas contraindre.	Va, mon enfant, je ne te veux pas contraindre.
MARIANE.	MARIANE.
Ne laiſſes pas emporter le coffre au moins.	Ne laisses pas emporter le coffre au moins.
LISETTE.	LISETTE.
Hé non, non, ne craignez rien, il vous demeurera.	Hé non, non, ne craignez rien, il vous demeurera.
SCENE XXII.	SCÈNE XXII.
LISETTE, SBRIGANY.	LISETTE, SBRIGANY.
LISETTE.	LISETTE.
JOila une fille qui prend beaucoup ſur Clle de lse Mts	JOila une fille qui prend beaucoup sur Clle de lse Mts
SBRIGANY.	SBRIGANY.
Oüy je comprens bien que cela lui fait de ſa peine.	Oui je comprends bien que cela lui fait de sa peine.
LISETTE.	LISETTE.
Je vous en répons.	Je vous en réponds.
Si vous ſçaviez en quel état eſt ce pauvre Eraſte.	Si vous savez en quel état est ce pauvre Eraste.
SBRIGANY.	SBRIGANY.
Il l’aime beaucoup, j’en ſuis ſeûr.	Il l'aime beaucoup, j'en suis sûr.
LISETTE.	LISETTE.
Aſſurément.	Assurément.
Vous aurez peut-être quelque égard à cela dans la ſuite, vous êtes pon pere.	Vous aurez peut-être quelque égard à cela dans la suite, vous êtes pon père.
SBRIGANY.	SBRIGANY.
Non je ne prévoi pas que j’en faſſe mon gendre.	Non je ne prévois pas que j'en fasse mon gendre.
LISETTE.	LISETTE.
Lc pauvre garcon, je ne vouurois pas cire à ſa place.	Lc pauvre garçon, je ne vourais pas cire à sa place.
SBRIGANY.	SBRIGANY.
Ma Lotterie va bien, le peuple eſt doci1e;	Ma Lotterie va bien, le peuple est doci1e;
tont mie teunte, jo rorur mia aue prolle Dame.	tont mie teunte, jo rorur mia aue prolle Dame.
Nmnnas caco LE GASCON, SBRIGANY, LISETTE.	Namnas caco LE GASCON, SBRIGANY, LISETTE.
LE GASCON.	LE GASCON.
Ue je vous emorane, mon cnef Mon ſieur de Sbrigany, que je vous embraſſe, je ſuis vôtre tres-humble ſerviteur ou la peſte m’etoufe.	Que je vous emorane, mon cnef Mon sieur de Sbrigani, que je vous embrasse, je suis votre très-humble serviteur ou la peste m'étouffe.
SBRIGANY.	SBRIGANY.
Monſieur je ſuis le vôtre de tout mon cœur.	Monsieur je suis le vôtre de tout mon cœur.
Tu vois tout le monde me faire carene.	Tu vois tout le monde me faire carène.
LISETTE.	LISETTE.
Vous eltes furieulement ettimc.	Vous eltes furieulement ettimc.
LE GASCON.	LE GASCON.
Hé donc, mon cher, vous voila riche comme un Traitant en temps de guerre.	Hé donc, mon cher, vous voilà riche comme un Trait en temps de guerre.
dEsa s a se ad s.	dEsa s a se ad s.
Monſieur je ſuis.	Monsieur je suis.
LISETTE.	LISETTE.
