A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.
rance, Sur ce qui fait pour nous prenons plus d’aſſeuEt ſouffrons les douceurs d’vne iuſte eſperance.	rance, Sur ce qui fait pour nous prenons plus d'assèvEt souffrons les douceurs d'une juste espérance.
Quand la faueur du Ciel ouure à demy ſes bras, Qui ne s’en promet rien ne la merité pas, Il empeiene touuent ju'eſle ne ſe deſploye, Et lors qu’elle deſcend ſon refus la renuoye.	Quand la faveur du Ciel ouvre à demi ses bras, Qui ne s'en promet rien ne la mérité pas, Il empeiene touvent ju'éle ne se déploie, Et lors qu'elle descend son refus la renvoie.
CAMILLE Le Ciel agit ſans nous en ces euenemens, Et ne les regle point deſſus nos ſentimens.	CAMILLE Le Ciel agit sans nous en ces événements, Et ne les règle point dessus nos sentiments.
IVLIE.	IVLIE.
Il ne vous à fait peur que pour vous faire grace, Adieu, ie vay ſçauoir comme en fin tout ſe paſſe, Moderez vos frayeurs, i’eſpere à mon retour, Ne vous entretenir que de propos d’amour, Et que nous n’employerons la fin de la iournée Qu'uur doux preparatirs d’vn neureua Hymenée.	Il ne vous à fait peur que pour vous faire grâce, Adieu, je vais savoir comme en fin tout se passe, Modérez vos frayeurs, j'espère à mon retour, Ne vous entretenir que de propos d'amour, Et que nous n'emploierons la fin de la journée Qu'un doux préparatirs d'un neureua Hyménée.
ABINE.	ÀBINE.
Comme vous ie l’eſpere.	Comme vous ie l'espère.
CAMILLE.	CAMILLE.
Et ie n’oſe y ſonger.	Et ici n'ose y songer.
VLIE.	VLIE.
L’effet nous fera voir qui ſçait mieux en iuger.	L'effet nous fera voir qui sait mieux en juger.
CENE IV.	CÈNE IV.
SABINE, CAMILLE,	SABINE, CAMILLE,
ABINE.	ÀBINE.
Army nos deſplaiſirs ſouffrés que ie vous blaſme.	Armi nos déplaisirs souffrez que je vous blâme.
Ie ne puis approuuër tãt de trouble en voſtre ame, Que feriez vouz, ma ſœur, au point ou ie me voy ol vous auiez à craindre autant que ie le doy?	Je ne puis approuver tant de trouble en votre âme, Que feriez voulez, ma sœur, au point ou jour me vois ol vous aviez à craindre autant que personne le dois?
Et ſi vous attendiez de leurs armes fatales (les?	Et si vous attendiez de leurs armes fatales (les?
Des maux pareils aux miens, & des pertes eſga	Des maux pareils aux miens, et des pertes éga
CAMILLE.	CAMILLE.
Parlez plus ſainement de vos maux & des miens, Chacun voit ceux d’autruy d’vn autre œil que les ſiens, Mais à bien regarder ceux où le Ciel me plonge, Les voſtres aupres d’eux vous ſembleront vn ſonge.	Parlez plus sainement de vos maux et des miens, Chacun voit ceux d'autrui d'un autre œil que les siens, Mais à bien regarder ceux où le Ciel me plonge, Les vôtres auprès d'eux vous sembleront un songe.
La ſeule mort d’Horace eſt à craindre pour vous.	La seule mort d'Horace est à craindre pour vous.
Des freres ne ſont rien à l’égal d’vn eſpoux, L’Hymen qui nous attache en vn autre famille, Nous détache de celle où l’on a veſcu fille, On ne compare point des nœuds ſi differens, Et pour ſuiure vn mary l’on quitte ſes parens;	Des frères ne sont rien à l'égal d'Han époux, L'Hymen qui nous attache en un autre famille, Nous détache de celle où l'on a vécu fille, On ne compare point des nœuds si différents, Et pour suivre un mari l'on quitte ses parents;
pere Mais ſi prés d’vn Hymen l’amant que donne vn Nous eſt moins qu’vn eſpoux & non pas moins qu’vn frere, Nos ſentimens entre eux demeurent ſuipendus, No	père Mais si près d'un Hymen l'amant que donne un Nous est moins qu'un époux et non pas moins qu'un frère, Nos sentiments entre eux demeurent supendus, No
Voſtre choix impoſſible, & nos vœux confondus, Ainſi, ma ſœur, du moins vous auez dans vos plaintes, Où porter vos ſouhaits, & terminer vos craintes, Mais ſi le Ciel s’obſtine à nous perſecuter, Pour moy i’ay tout à craindre & rien à ſouhaiter.	Votre choix impossible, et nos vœux confondus, Ainsi, ma sœur, du moins vous avez dans vos plaintes, Où porter vos souhaits, et terminer vos craintes, Mais si le Ciel s'obstine à nous persécuter, Pour moi j'ai tout à craindre et rien à souhaiter.
SABINB.	SABINB.
Quandil faut que l’vn meure, & par les mains de l’autre.	Quandil faut que l'un meure, et par les mains de l'autre.
ſtre.	stre.
C’eſt vn raiſonnement bien mauuais que le voQuoy que ce ſoient, ma ſœur, des nœuds bien differens, C’eſt ſans les oublier qu’on quitte ſes parens;	C'est un raisonnement bien mauvais que le voQuoi que ce soient, ma sœur, des nœuds bien différents, C'est sans les oublier qu'on quitte ses parents;
L’Hymen n’efface point ces profonds caracteres, Pour aimer vn mary l’on ne haït pas ſes freres, La nature en tout temps garde ſes premiers droits, Aux deſpens de leur vie on ne faitpoint de choix, Auſſi bien qu’vn eſpoux, ils ſont d’autres nousmeſmes, (mes:	L'Hymen n'efface point ces profonds caractères, Pour aimer un mari l'on ne hait pas ses frères, La nature en tout temps garde ses premiers droits, Aux dépens de leur vie on ne faitpoint de choix, Aussi bien qu' Houx, ils sont d'autres nousmesmes, (mes:
Et tous maux ſont pareils alors qu’ils ſont exrréMais l’amant qui vous charme, & pour qui vousbruſlés Ne vous eſt apres tout que ce que vous voulez, Vne mauuaiſe humeur, vn peu de jalouſie, Le peuuent mettre hors de voſtre fantaiſie, Ce quelles font ſouuent, faites le par raiſon, Et laiſſés voſtre ſang hors de comparaiſon, C’eſt crime qu’oppoſer des liens volontaires A ceux que la naiſſance a rendus neceſſaires Si dont le Ciels’obſtine à lious perſeeuter, Seule i’ay tout à craindre & rien à ſouhaiter, Mais pour vous, le devoir vous donne dans vos plaintes Oû porter vos ſouhaits & terminer vos craintes.	Et tous maux sont pareils alors qu'ils sont exrréMais l'amant qui vous charme, et pour qui vousbrusez Ne vous est après tout que ce que vous voulez, Vaine mauvaise humeur, un peu de jalousie, Le peuvent mettre hors de votre fantaisie, Ce quelles font souvent, faites faites par raison, Et laissez votre sang hors de comparaison, C'est crime qu'opposer des liens volontaires À ceux que la naissance a rendus nécessaires Si dont le Ciels'obstine à lious perseuter, Seule j'ai tout à craindre et rien à souhaiter, Mais pour vous, le do vous donne dans vos plaintes porter termes sous vos terme vos termes.
CAMILLE.	CAMILLE.
Ie le voy bien, ma ſœur, vous n’aymaſles iamais.	Je le vois bien, ma sœur, vous n'aymasles jamais.
Vous Vous ne cognoiſſez point ny l’Amour ny ſes traits:	Vous Vous ne connaissez point ni l'Amour ni ses traits:
On peut luy reſiſter quand il commence à naiſtre, Mais non pas le bannir quand il s’eſt rendu maiſtre, Et que l’adueu d’vn pere engageant noſtre foy A faict de ce Tyran vn legitime Roy.	On peut autre résister quand il commence à naître, Mais non pas le bannir quand il s'est rendu maître, Et que l'aveu d'un père engageant notre foi A fait de ce Tyran un légitime Roi.
Il entre auec doueur, mais il regne par force, Et quand l’ame vne fois a gouſté ſon amorce, Vouloir ne plus aymer c’eſt ce qu’elle ne peut, Puiſqu’elle ne peut plus vouion que ce qu’il veut;	Il entre ici doueur, mais il règne par force, Et quand l'âme une fois a goûté son amorce, Vouloir ne plus aimer c'est ce qu'elle ne peut, Puisqu'elle ne peut plus vouion que ce qu'il veut;
Ses chaines ſont pour nous auſſi fortes que belles.	Ses chaines sont pour nous aussi fortes que belles.
SCENE V.	SCÈNE V.
Le vieil HORACE, SABINE, CAMILLE.	Le vieil HORACE, SABINE, CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
E viens vous apporter de faſcheuſes novelles;	E viens vous apporter de fâcheuses novelles;
TMes filles, mais en vain ie voudrois vous celer Ce qu’on ne vous ſçauroit long temps diſſimuler, Vos freres ſont aux mains, les Dieux ainſi l’ordonnent.	TMes filles, mais en vain Roi voudrais vous celer Ce qu'on ne vous saurait long temps dissimuler, Vos frères sont aux mains, les Dieux ainsi l'ordonnent.
ABINE.	ÀBINE.
Ie veux bien l’aduouër, ces nouuelles me’ſtonnent, Et je me m’imaginois dans la divinité Beaucoup moins d’injuſtice, & bien plus de bonté.	Je veux bien l'avouer, ces nouvelles me'stonnent, Et je me m'imaginais dans la divinité Beaucoup moins d'injustice, et bien plus de bonté.
Ne nous conſolez point, la raiſon importune Quand elle oſe combatre vne telle infortune, Nous auons en nos mains la fin de nos douleurs, Qui peut vouloir mourir, peut braver les malheurs.	Ne nous consolez point, la raison importune Quand elle ose combattre un telle infortune, Nous avons en nos mains la fin de nos douleurs, Qui peut vouloir mourir, peut braver les malheurs.
Nous pourrions aiſément faire en voſtre preſence De noſtre deſeſpoir vne fauſſe conſtance, Mais quand on peut ſans honte eſtre ſans fermeté La vouloir contre-faire eſt vne laſcheté, L’vſage d’vn tel art nous le ſamions aux nonnes,	Nous pourrions aisément faire en votre présence De notre désespoir un fausse constance, Mais quand on peut sans honte été sans fermeté La vouloir contrefaire est une lascheté, L'usage d'un tel art nous le samions aux nonnes,
it ne voulons paſſer que pour ce que nous ſommes.	it ne voulons passer que pour ce que nous sommes.
Sous ne demandons point qu’vn courage ſi fort J’abaiſſe à noſtre exemple à ſe plaindre du ſort;	Sous ne demandons point qu'Han nage si fort J'abaisse à notre exemple à se plaindre du sort;
Receuez ſans fremir ces mortelles alarmes, Voyés couler nos pleurs ſans y meſler vos larmes, Eni nu pour toute grace en de tels déplaiſirs, Gardés voſtre conſtance & ſouffrez nos ſouſpirs.	Recevez sans frémir ces mortelles alarmes, Voyez couler nos pleurs sans y mêler vos larmes, Eni nu pour toute grâce en de tels déplaisirs, Gardez votre constance et souffrez nos soupirs.
Le vieil HORACE.	Le vieil HORACE.
Loin de blaſmer les pleurs que ie vous voy reſpandre, Ie croy faite beaucoup de m’en pouuoir defendre, Et cederois peut-eſtre à de ſi rudes coups Si ie prenois icy meſme intereſt que vous, (freres, Non qu’Albe par ſon choix m’ait fait hayr vos Tous trois me ſont encor des perſonnes bien cheres, Mais en fin l’amitié n’eſt pas du meſme rang Et n’a point les effets de l’amour ny du ſang.	Loin de blâmer les pleurs que je vous vois répandre, Je cro faite beaucoup de m'en pouvoir défendre, Et céderais peut-être à de si rudes coups Si tu prenais ic y intérêt que vous, (frères, Non qu'Albe par son choix m'ait fait haïr vos Tous trois me sont encor des personnes bien chères, Mais en fin l'amitié n'est pas du même rang Et n'a point les effets de l'amour ni du sang.
Ie ne ſens point pour eux la douleur qui touïmẽte Sabine comme ſœur, Camille comme amanté, Ie puis les tegarder comme nos ennemis, Et donne ſans regret mes ſouhaits à mes fils.	Je ne sens point pour eux la douleur qui touïmẽte Sabine comme sœur, Camille comme amanté, Je puis les tegarder comme nos ennemis, Et donne sans regret mes souhaits à mes fils.
Ils ſont, graces aux Dieux, dignes de leur patrie, Aucun eſtonnement n’a leur gloire fleſtrie, Et i’ay veu leur honneur croiſtre de la moitié, Quand ils ont des deux camps refuſé la pitié.	Ils sont, grâces aux Dieux, dignes de leur patrie, Aucun étonnement n'a leur gloire flétrie, Et j'ai vu leur honneur croître de la moitié, Quand ils ont des deux camps refusé la pitié.
Si par quelque foibleſſe ils l’auoient mandiée, Si leur haute vertu ne l’euſt repudiée, Ma main bien toſt ſur eux m’eſt vangé hautement De l’affront que m’euſt fait ce mol conſentement.	Si par quelque faiblesse ils l'avaient mandiée, Si leur haute vertu ne l'eût répudiée, Ma main bien tôt sur eux m'est vengé hautement De l'affront que m'eût fait ce mol consentement.
Mais lors qu’en deſpir d’eux on en a voulu d’autres, Ie ne le cele point, i’ay joint mes vœux aux voſtres Si le ciel pitoyable euſt eſcouté ma voix, Albe ſeroit reduite à faire vn autre choix, Nous pourrions voir tantoſt triompher les Horaces, Sans voir leurs bras ſoûillés du ſang des Curiaces.	Mais lors qu'en dépir d'eux on en a voulu d'autres, Je ne le cèle point, j'ai joint mes vœux aux vôtres Si le ciel pitoyable eût écouté ma voix, Albe serait réduite à faire un autre choix, Nous ions voir tantôt triompher les Horaces, Sans voir leurs bras soûillés du sang des Curiaces.
Et de l’euenement d’vn combat plus humain Dependroit maintenant l’honneur du nom Romain.	Et de l'événement d'une combat plus humain Dépendrait maintenant l'honneur du nom Romain.
La prudence des Dieux autrement en diſpoſe, Sur leur ordre eternel mon eſprit ſe repoſe, Il s’arme en ce beſoin de generoſité, Et du bon-heur public fait ſa felicité, (nes, Taſchés d’en faire autant pour ſoulager vos peiEt ſongez toutes deux que vous eſtes Romaines, Vous l’eſtes deuenuë, & vous l’eſtes encor:	La prudence des Dieux autrement en dispose, Sur leur ordre éternel mon esprit se repose, Il s'arme en ce besoin de générosité, Et du bonheur public fait sa félicité, (nes, Tâchés d'en faire autant pour soulager vos péiÉt songez toutes deux que vous êtes Romaines, Vous l'êtes devenue, et vous l'êtes encor:
Vn ſi glorieux tiltre eſt vn digne treſor, Vn jour, vn iour viendra que par toute la terre, Rome ſe fera craindre à l’eſgal du tonnerre, Et que tout l’Vniuers tremblant deſſous ſes loix, Ce grand nom deuiendra l’ambition des Rois;	Un si glorieux titre est un digne trésor, Un jour, un iour viendra que par toute la terre, Rome se fera craindre à l'égal du tonnerre, Et que tout l'Univers tremblant dessous ses lois, Ce grand nom deviendra l'ambition des Rois;
Les Dieux à noſtre Ænée ont promis cette gloire.	Les Dieux à notre Ænée ont promis cette gloire.
SCENE VI.	SCÈNE VI.
Le vieil HORACE, SABINE, CAMILLE, IVLIE.	Le vieil HORACE, SABINE, CAMILLE, IVLIE.
VETE, Mais pluſtoſt du combat les funeſtes effets, Rome eſt ſuiette d’Albe, & vos fils ſont deffaits, Des trois les deux ſont morts, ſon eſpoux ſeul vous reſte.	VÊTE, Mais plutôt du combat les funestes effets, Rome est suite d'Albe, et vos fils sont défaits, Des trois les deux sont morts, son époux seul vous reste.
Le vieil HORACE.	Le vieil HORACE.
O d’vn triſte combat effet vrayment funeſte?	Ô d'un triste combat effet vraiment funeste?
Rome eſt ſuiette d’Albe, & pour l’en garantir Il n’a pas employé iuſqu’au dernier ſoupir!	Rome est suite d'Albe, et pour l'en garantir Il n'a pas employé jusqu'au dernier soupir!
Non, non, cela n’eſt point, on vous trompe, Iulie, Rome ame n’eſt point ſuiette, ou mon fils eſt ſans vie, cognois mieux mon ſang, il ſçait mieux ſon devoir.	Non, non, cela n'est point, on vous trompe, Julie, Rome âme n'est point suite, ou mon fils est sans vie, connais mieux mon sang, il sait mieux son devoir.
IVLIE.	IVLIE.
iille de nos ramparts comme moy l’ont peu voir.	jille de nos remparts comme moi l'ont pu voir.
s’eſt fait admirer tant qu’ont duré ſes freres, lais comme il s’eſt veu ſeul contre trois adverlaires, reſt d’eſtre enfermé d’eux ſa fuite l’a ſauué.	s'est fait admirer tant qu'ont duré ses frères, lais comme il s'est vu seul contre trois adverlaires, rest d'être enfermé d'eux sa fuite l'a sauvé.
Le vieil HORACE.	Le vieil HORACE.
it nos ſoldats trahis ne l’ont pas achevé!	it nos soldats trahis ne l’ont pas achevé!
traitel Dans leurs rangs à ce laſche ils ont donné re	traitel Dans leurs rangs à ce lâche ils ont donné re
VLIE.	VLIE.
Ch ay rieir vouid vont apres tette defaite.	Ch ai rie vouid vont après tette défaite.
O mes freres!	Ô mes frères!
CAMILLE.	CAMILLE.
Le vieil HORACE.	Le vieil HORACE.
Tout beau ne les pleurés pas tous, Deux iouyſſent d’vn ſort dont leur pere eſt ialoux.	Tout beau ne les pleurez pas tous, Deux jouissent d'un sort dont leur père est jaloux.
Que des plus nobles fleurs leur tombe ſoit couuerte, La gloire de leur mort m’a payé de leur perte, Ce bon heur a ſuiuy leur courage inuaincu Qu’ils ont veu Rome libre autant qu’ils ont veſcu, Et ne l’auront point veuë obeyr qu’a ſon Prince, Ny d’vn eſtat voiſin deuenit la Prouince.	Que des plus nobles fleurs leur tombe soit couverte, La gloire de leur mort m'a payé de leur perte, Ce bon heur a suivi leur courage in ils ont v Rome libre autant ils ont ç, Et ne auront point veuë obéir a son Prince, estat voisin deuenit la Prouince.
Pleurez l’autre, pleurez l’irreparable affront Que la fuite fonteule imprime à noſtre front, Pleurez le deshonneur de toute noſtre race, Et l’opprobre eternel qu’il laiſſe au nom d’Horace.	Pleurez l'autre, pleurez l'irréparable affront Que la fuite fonteule imprime à notre front, Pleurez le déshonneur de toute notre race, Et l'opprobre éternel qu'il laisse au nom d'Horace.
IVLIE.	IVLIE.
Que vourien vous qu’il fiſt contre trois?	Que vourien vous qu'il fît contre trois?
Le vieil HORACE.	Le vieil HORACE.
Qu’il mouruſt.	Qu'il mourût.
Ou qu’vn beau deſeſpoir alors le ſecouruſt N’euſt-il que d’vn moment reculé ſa deffaite, Rollie Rome euſt eſté du moins vn peu plus tard ſuiette.	Ou qu'un beau désespoir alors le secourût N'eût-il que d'un moment reculé sa défaite, Rollie Rome eût été du moins un peu plus tard suite.
Il euſt auec honneur laiſſé mes cheueux gris, Et c’eſtoit de ſa vie vn aſſez digne prix, Il eſt de tout ſon ſang comptable à ſa patrie, Chaque goute eſpargnée a ſa gloire fleſtrie, Chaque inſtant de ſa vie apres ce laſche tour, Met d’aut ant plus ma honte auec la ſienne au iout I’en rompray bien le cours, & ma iuſte colere Contre vn indigne fils vſant des droits d’vn pere oguura bren iane voif dans ſa punition L’eſclatant deſadueu d’vne telle action.	Il eût avec honneur laissé mes cheveux gris, Et c'était de sa vie un assez digne prix, Il est de tout son sang comptable à sa patrie, Chaque goute épargnée a sa gloire flétrie, Chaque instant de sa vie après ce lâche tour, Met d'aut ant plus ma honte avec la sienne au iout J'en romprai bien le cours, et ma juste colère Contre un indigne fils usant des droits d'un père ogura bren jane vois dans sa punition L'éclatant désaveu ne telle action.
SABINE.	SABINE.
Eſcoutez vn peu moins ces ardeurs genereuſes, Et ne nous rendez point tout à fait malheureuſes.	Écoutez un peu moins ces ardeurs généreuses, Et ne nous rendez point tout à fait malheureuses.
Le vieil HORACE.	Le vieil HORACE.
Sabine, voſtre cœur ſe conſole aiſement, (ment, Nos malheurs iuſqu’icy vous touchent foibleVous n’auez point encor de part à nos miſeres, Le Ciel vous à ſauué voſtre eſpoux & vos freres, Si nous ſommes ſuiets, c’eſt de voſtre pays (trahis, Vos freres ſont vainqueurs, quand nous ſommes Et voyant le haut point où leur gloire ſe monte (te:	Sabine, votre cœur se console aisément, (ment, Nos malheurs jusqu'ici vous touchent faible n'avez point encor de part à nos misères, Le Ciel vous à sauvé votre époux et vos frères, Si nous sommes sujets, c'est de votre pays (trahis, Vos frères sont vainqueurs, quand nous sommes Et voyant le haut point où leur gloire se monte (te:
Vous regardez fort peu ce qui nous vient de honMais voſtre trop d’amour pour cét infame eſpoux, Vous donnera bien toſt à plaindre comme à nousVos pleurs en ſa faueur ſont de foibles defenſes, I’atteſte des grands Dieux les ſupremes puiſſances Qu’auant ce iour finy ces mains, ces propres mains, Laueront dans ſon ſang la honte des Romains.	Vous regardez fort peu ce qui nous vient de honMais votre trop d'amour pour cet infâme époux, Vous donnera bien tôt à plaindre comme à nousVos pleurs en sa faveur sont de faibles défenses, J'atteste des grands Dieux les suprêmes puissances Qu'avant ce jour fini ces mains, ces propres mains, Laveront dans son sang la honte des Romains.
SABINE.	SABINE.
Suiuons-le promptement, la colere l’emporte.	Suivons-le promptement, la colère l'emporte.
Dieux!	Dieux!
verrons-nous touſiours des malheurs de la ſorte?	verrons-nous toujours des malheurs de la sorte?
grands, Nous faudra-t’il touſiours en craindre de plus Et touſiours redouter la main de nos parents?	grands, Nous faudra-t-il toujours en craindre de plus Et toujours redouter la main de nos parents?
Fin du troiſieſme Acte.	Fin du troisième Acte.
ACTE	ACTE
TRAGEDIE, ACTE IV.	TRAGÉDIE, ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le vieil HORACE, CAMEDHE.	Le vieil HORACE, CAMEDHÉE.
Le vieil HORACE.	Le vieil HORACE.
E me parlez iamais en faueur d’vn infame, (femme, Qu’il me fuye à l’eſgal des freres de ſa Pour conſeruer vn ſang qu’il tlent ſi precieux n’a rien fait encor s’il n’éuite mes yeux.	E me parlez jamais en faveur d'un infâme, (femme, Qu'il me fuie à l'égal des frères de sa Pour conserver un sang qu'il tint si précieux n'a rien fait encor s'il n'évite mes yeux.
abine y peut mettre ordre, ou derechef i’atteſte, e ſouuerain pouuoir de la troupe celeſte.	abine y peut mettre ordre, ou derechef j'atteste, est souverain pouvoir de la troupe céleste.
CAMILLE.	CAMILLE.
Ié!	Jé!
mon pere, prenez vn plus doux ſentiment, Jous verrez Rome meſme en vlel autrement, Et de quelque malheur que le Ciel l’ait comblée, Excuſer la vertu ſoubs le nombre accablée.	mon père, prenez un plus doux sentiment, Jous verrez Rome vient en veule autrement, Et de quelque malheur que le Ciel l'ait comblée, Excuser la vertu sous le nombre accablée.
Le vieil HORACE.	Le vieil HORACE.
Le iugement de Rome eſt peu pour mon regard, Camille, ie ſuis pere, & i’ay mes droits à part.	Le jugement de Rome est peu pour mon regard, Camille, Elle suis père, et j'ai mes droits à part.
Ie ſçay trop comme agit la vertu veritable, C’eſt ſans en triompher que le nombre l’accable, Et ſa maſle vigueur touſiours en meſme point Succombe ſoubs la force & ne luy cede point.	Je sais trop comme agit la vertu véritable, C'est sans en triompher que le nombre l'accable, Et sa mâle vigueur toujours en même point Succombe sous la force et ne lui déde point.
Taiſez-vous, & ſçachons ce que nous veut Valere.	Taisez-vous, et sachons ce que nous veut Valère.
SCENE II.	SCÈNE II.
Le vieil HORACE, VALERE, CAMILLE.	Le vieil HORACE, VALÈRE, CAMILLE.
VALERE.	VALÈRE.
Nuoyé par le Roy pour conſoler vn pere, LEt pour luy teſmoigner.	Nuoyé par le Roi pour consoler un père, LEt pour lui témoigner.
Le vieil HORACE.	Le vieil HORACE.
N’en prenez aucun ſoin, C’eſt C’eſt vn ſoulagement dont ie n’ay pas beſoin.	N'en prenez aucun soin, C'est C'est un soulagement dont personne n'ai pas besoin.
Et i’ayme mieux voir morts que couuerts d’inf mie Ceux que vient de m’oſter vne main ennemie:	Et j'aime mieux voir morts que couverts d'inf mie Ceux que vient de m'ôter une main ennemie:
Tous deux pour leur pays ſont mors en ges d’honneur, Il me ſuffit.	Tous deux pour leur pays sont mors en gez d'honneur, Il me suffit.
VALERE.	VALÈRE.
iuuis l'autre eit vh rare bon-heut De tous les trois chez vous il doit tenir la place.	juuis l'autre éit vit rare bonheut De tous les trois chez vous il doit tenir la place.
Le vieil HORACE.	Le vieil HORACE.
Euſt il fait auec luy perir le nom d’Horace.	Eût il fait avec lui périr le nom d'Horace.
VALERE.	VALÈRE.
Seul vous le mal traités apres ce qu’il a fait.	Seul -vous le mal traitez après ce qu'il a fait.
Le vieil HORACE.	Le vieil HORACE.
D enu moy leuraunr de pumir ion forfait.	D envois -moi leuraunr de pumir ion forfait.
A LERE.	À LERE.
Queriorfait trouez vous en ſa bonne conduite?	Quériorfait trouez -vous en sa bonne conduite?
Le vieil HORACE.	Le vieil HORACE.
Quel eſclat de vertu trouuez vous en ſa fuite?	Quel éclat de vertu trouvez -vous en sa fuite?
ALERE.	ALÈRE.
La fuite eſt glorieuſe en ceſte occaſion.	La fuite est glorieuse en cette occasion.
Devieil IORACE.	Devieil JORACE.
Vous redoublez ma honte & ma confuſion, Certes l’exemple eſt rare & digne de memoire De trouuer dans la fuite vn chemin à la gloire.	Vous redoublez ma honte et ma confusion, Certes l'exemple est rare et digne de mémoire De trouver dans la fuite un chemin à la gloire.
ALERE.	ALÈRE.
Quelle confuſion, & qu'elle nonte avous.	Quelle confusion, et qu'elle nonte avouous.
D’auoir produit vn fils qui nous conſerve tous, Qui fait triompher Rome, & luy gaigne vn empire?	D'avoir produit un fils qui nous conserve tous, Qui fait triompher Rome, et ton gagne un empire?
aſpire?	aspire?
A quels plus grands honneurs faut-il qu’vn pere	À quels plus grands honneurs faut-il qu'un père
Le vieil HORACE.	Le vieil HORACE.
Quels honneurs, quel triomphe, & quel empire enfin Lors qu’Albe ſoubs ſes loix range noſtre deſtin:	Quels honneurs, quel triomphe, et quel empire enfin Lors qu'Albe sous ses lois range notre destin:
VA	VA
VALERE.	VALÈRE.
Que parlez vous icy d’Albe, & de ſa victoire?	Que parlez -vous ici d'Albe, et de sa victoire?
lgnorez vous encor la foitie de rniſtoire?	Lgnorez -vous encor la foitie de moi?
Le vieil HORACE.	Le vieil HORACE.
Le combat par ſa fuite eſt il pas terffinie.	Le combat par sa fuite est il pas terffinie.
VALERE.	VALÈRE.
Albe ainſi quelque temps ſe l’eſt imaginé (me Mais êne à bien toſt veu que c’eſtoit fuir en homQui ſçauoit meſnager l’auantage de Rome.	Albe ainsi quelque temps se l'est imaginé (me Mais êne à bien tôt vu que c'était fuir en homQui savait ménager l'avantage de Rome.
Levieil HORACE.	Levieil HORACE.
Quoy, Rome donc triomphe?	Quoi, Rome donc triomphe?
VALERE, Apprenez, apprenez La valeur de ce fils qu’à tort vous condemnez Reſté ſeul contre trois, mais en ceſte auanture Tous trois eſtans bleſſez & luy ſeul ſans bleſſure, Trop foible pour eux tous, trop fort pour chacun d’eux.	VALÈRE, Apprenez, apprenez La valeur de ce fils qu'à tort vous condamnez Resté seul contre trois, mais en cette aventure Tous trois étant blessés et était seul sans blessure, Trop faible pour eux tous, trop fort pour chacun d'eux.
Il ſçait bien ſe tirer d’vn pas ſi hazardeux, (ruſe Il fuit pour mieux combatre, & cette prompte Diuiſe adroitement trois freres qu’elle abuſe, Chacun le ſuit d’vn pas ou plus ou moins preſſé, Selon qu’il ſe rencontre ou plus ou moins bleſſé, Ieur ardeur eſt eſgale à pourſuiure ſa fuite, Mais leurs coups inégaux ſeparent leur pourſuite, Horace les voyant l’vn de l’autre eſcartez, Se retourne, & deſia les croit demy domptez, Il attend le premier & c’eſtoit voſtre gendre:	Il nôtre bien se tirer d'un pas si hasardeux, (ruse Il fuit pour mieux combattre, et cette prompte Divise adroitement trois frères qu'elle abuse, Chacun le suit d'un pas ou plus ou moins pressé, Selon qu'il se rencontre ou plus ou moins blessé, Il ardeur est égale à poursuiure sa te, Mais leurs coups inégaux séparent leur poursuite, Horace les voyant l'un de l'autre écartés, Se retourne, et déjà les croit demi domptez, Il attend le premier et c'était votre gendre:
L’autre tout indigné qu’il ait oſé l’attendre, En vain en l’attaquant fait paroiſtre vn grand .	L'autre tout indigné qu'il ait osé l'attendre, En vain en l'attaquant fait paraître un grand .
cœur, Le ſang qu’il a perdu rallentit ſa vigueur.	cœur, Le sang qu'il a perdu ralentit sa vigueur.
Albe à ſon tour commence à craindre vn ſort contraire, Elle ctie au ſecond qu’il ſecoure ſon frere, Il ſe haſte & s’eſpuiſe en efforts ſuperflus, Il trouue en les joignant que ſon frers h’eſt plus.	Albe à son tour commence à craindre un sort contraire, Elle ctie au second qu'il secoure son frère, Il se hâte et s'épuise en efforts superflus, Il trouve en les joignant que son fruits h'est plus.
Iiciade CAMILLE.	Jiciade CAMILLE.
VALERE.	VALÈRE.
Et redouble bien toſt la victoire d’Horace, Son courage ſans force eſt vn debile appuy Voulant vanger ſon frere il tombe aupres de luy.	Et redouble bien tôt la victoire d'Horace, Son courage sans force est un débile appui Voulant venger son frère il tombe auprès de lui.
L’air reſonne des cris qu’au Ciel chacun enuoye, Albe en iette d’angoiſſe & les Romains de ioye.	L'air résonne des cris qu'au Ciel chacun envoie, Albe en jette d'angoisse et les Romains de joie.
Comme noſtre Heros ſe voit prés d’acheuer, C’eſt peu pour luy de vaincre, il veut encor brauer:	Comme notre Héros se voit près d'achever, C'est peu pour lui de vaincre, il veut encor braver:
