A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
SCENE IIII.	SCÈNE IIII.
TIIILANDNE, DIANE.	TIIILANDNE, DIANE.
PHILANDRE deuenu fol.	PHILANDRE devenu fol.
Voy cette paſſion ne me veut pas laiſſer, C'eſt trop languir, Philandre, & par trop s’abaiſſer, Toy qui ſçais maintenant gouuerner vn Emt ire, Commande que l’Amour de ton cœur ſe retire;	Vois cette passion ne me veut pas laisser, C'est trop languir, Philandre, et par trop s'abaisser, Toi qui sais maintenant gouverner un Emt ire, Commande que l'Amour de ton cœur se retire;
Ha!	Ha!
que ie ſuis heureux, quels riches veſtemens, Que d’odeurs, que de fleurs, & de contentemens, Vn nombre de Seigneurs en tous lieux m'enuironne, Voyez quels dioments brillent en ma couronne, Ce Sceptre glorieux qui regit les humains, Ne l’eſlimez-vous pas tres-digne de mes mains:	que ici suis heureux, quels riches vêtements, Que d'odeurs, que de fleurs, et de contentements, Un nombre de Seigneurs en tous lieux m'environne, Voyez quels dioments brillent en ma couronne, Ce Sceptre glorieux qui régit les humains, Ne l'élimez-vous pas très-digne de mes mains:
Mais quel affreux Lyon, heriſſant ſa criniere veut mettre dans ſes flancs Diane priſonniere, Courage amis, ie voy le monſtre qui s’enfuit, C’eſt aſſez, c’eſt aſſez, ma colere le ſuit, Mes maux croiſſent touſiours, & iamais ne finiſſent, Ne voy ie pas là bas des gens qui la rauiſſent:	Mais quel affreux Lyon, hérissant sa crinière veut mettre dans ses flancs Diane prisonnière, Courage amis, assez voy le montre qui s'enfuit, C'est assez, c'est assez, ma colère le suit, Mes maux croissent toujours, et jamais ne finissent, Ne voy ie pas là bas des gens qui la ravissent:
Demeurez aſſaſſins, indignes que ie croy  (Roy, De mourir bien-heureux par les mains d’vn grand Ie voyois maintenant qu'en ma iuſte colere Le Soleil ſe cachoit de peur de me deplaire;	Demeurez assassins, indignes que je crois (Roi, De mourir bienheureux par les mains d'un grand Je voyais maintenant qu'en ma juste colère Le Soleil se cachait de peur de me déplaire;
Tu fais bien beau Soleil d’apprendre à cette fois Aux hommes orgueilleux à redouter les Roys.	Tu fais bien beau Soleil d'apprendre à cette fois Aux hommes orgueilleux à redouter les Rois.
H a Bons Dieux!	H a Bons Dieux!
vne Bergere en ce beau payſage Reſſemble extrémement ma belle en ſon viſage, arbre pour Allons, il me la faut de ce pas aborder;	une Bergère en ce beau paysage Ressemble extrêmement ma belle en son visage, arbre pour Allons, il me la faut de ce pas aborder;
vne Berge-Bergere ces faueurs ſe doiuent accorder ſemble à ſa A ceux de mon pouuoir, c’eſt la vraye peinture.	une Berge-Bergère ces faveurs se doivent accorder semble à sa A ceux de mon pouvoir, c'est la vraie peinture.
maiſtreſſe De celle qui retient mon ame à la torture, Que ie treuue farouche à tout ce que ie veux, Le vent fait C’est de cette couleur que ſont ces beaux cheueux;	maîtresse De celle qui retient mon âme à la torture, Que tu trouve farouche à tout ce que femme veux, Le vent fait C'est de cette couleur que sont ces beaux cheveux;
En fin, ce nez, ce front, ces yeux & cette bouche, Ce ſont les meſmes traits qui ſont en ma farouche, Que ie ſerois heureux ſi ie l’oſois toucher, Si fauorablement ſans qu’on la vit faſcher, Mais d’où vient qu'vne nuict auec trop d’inſolence, Donne vn repos à tout auecque le ſilence, Et cache la clarté ſous vn noir veſlement.	En fin, ce nez, ce front, ces yeux et cette bouche, Ce sont les mêmes traits qui sont en ma farouche, Que ie serois heureux si ie jusais toucher, Si favorablement sans qu'on la vit fâcher, Mais d'où vient qu'une nuit avec trop d'insolence, Donne un repos à tout avec le silence, Et cache la clarté sous un noir vêlement.
Dieux!	Dieux!
que noſtre bon heur coule inſenſiblement:	que notre bon heur coule insensiblement:
Mais quoy?	Mais quoi?
l’oblcurité de cette nuict profane Ne ſçauroit reſiſler aux rayons de Diane;	l'oblcurité de cette nuit profane Ne saurait résisler aux rayons de Diane;
Elle s’en vient à nous.	Elle s'en vient à nous.
DIANE.	DIANE.
Tout a bien reüſſi, Dans peu ces deux Amans ſe trouueront icy.	Tout a bien réussi, Dans peu ces deux Amants se trouveront ici.
Amour, c'eſt à ce coup que malgré ton eſſence, L'on te na retirer de l’eſtat d’innocence:	Amour, c'est à ce coup que malgré ton essence, L'on te na retirer de l'état d'innocence:
Mais Dieux, voila Philandre?	Mais Dieux, voilà Philandre?
helas!	hélas!
euſt on pensé Que la force d’Amour le deuſt rendre inſensé.	Est on pensé Que la force d'Amour le dût rendre insensé.
PHILANDRE.	PHILANDRE.
Et bien, belle inhumaine, ingratie fugitiue, Venez il ne faut plus faire de la retiue, Tout Prince que ie ſois ie vous veux faire voir Que ie ſçay viure encor ſous les loix du deuoir, Receuez ma Deeſſe auec mon Diadême Mes ſouhaits, mes ſouſpirs, mõ eſpoir & moy-meſme, Aherceneite muuincenuaut toue tirouurqque qu'il eſt, S’offre de vous quitter ſon bon-heur s’il vous plaiſt.	Et bien, belle inhumaine, ingratie fugitive, Venez il ne faut plus faire de la rive, Tout Prince que sans sois encore vous veux faire voir Que tu sais vivre encor sous les lois du devoir, Recez ma Déesse avec mon Diadême Mes souhaits, mes soupirs, mon espoir et moi-même, Ahercèneite muuincenuaut toue tirouvrque qu'il est, S'offre de vous quitter son bonheur s'il vous plaît.
DIANE.	DIANE.
Helas:	Hélas:
pauure Berger, à uel pointt de folie T’a reduit à la fin cette melancholie.	pauvre Berger, à elle point de folie T'a réduit à la fin cette mélancolie.
PHILANDRE.	PHILANDRE.
Ceſte melancholie, ha!	Cette mélancolie, ha!
que ie ſuis content De ce qu’en ma grandeur ie ſuis touſiours conſtant;	que ici suis content De ce qu'en ma grandeur Rom suis toujours constant;
Glorieuſe beauté pour qui mon cœur ſouſtire, Dieux!	Glorieuse beauté pour qui mon cœur soutire, Dieux!
que vous auez bien vn plus puiſſant Empire:	que vous avez bien un plus puissants Empire:
Car mes traits ſeulement ſont des hõmes vainqueurs, Mais vos beaux yeux le ſont des hõmes & des cœurs;	Car mes traits seulement sont des hommes vainqueurs, Mais vos beaux yeux le sont des hommes et des cœurs;
Acceptez donc icy mes gracieuſes offres, Auec tous les treſors qui ſont dedans mes coffres, Car de cette grandeur quoy qu'elle vienne à tard le me jens oonge pona jairt queique part.	Accès donc ici mes gracieuses offres, Avec tous les trésors qui sont dedans mes coffres, Car de cette grandeur quoi qu'elle vienne à tard le me jens oonge pona jairt queique part.
VRANIE.	VRANIE.
Malgré le deſplaiſir que i'ay de ſon martyre, Ie ne ſçaurois pourtant m’empeſcher d’en ſourire.	Malgré le déplaisir que j'ai de son martyre, Je ne saurais pourtant m'empêcher d'en sourire.
PHILANDRE.	PHILANDRE.
M'empeſcher d’en ſourire?	M'empêcher d'en sourire?
DIANE.	DIANE.
Ha!	Ha!
Sire arreſtez-vous, Mais il faut ce dit-on tout accorder aux foux, vous m’excuſerez bien, grand Roy ſi ie vous laiſſe, Le reſpect que ie dois à mes parens me preſſe.	Sire arrêtez-vous, Mais il faut ce dit-on tout accorder aux foux, vous m'excuserez bien, grand Roi si ie vous laisse, Le respect que personne dois à mes parents me presse.
PHILANDRE.	PHILANDRE.
Allez, Madame, allez, cependant mon amour Ira voir les beautez qui brillent en ma Cour.	Allez, Madame, allez, cependant mon amour Ira voir les beautés qui brillent en ma Cour.
SCENE V.	SCÈNE V.
PACIIRIDJADORIEAME, DIANE.	PACIIRIDADORIEAME, DIANE.
VRANIE.	VRANIE.
J Oicy l’heure venuë où mon cher Florilame V Doit venir tout brûlant entretenir ſa Dame, Qu’il doit tout plein de feux en cét heureux ſeiour Me venir raconter l’excez de ſon amour;	 Jici l'heure venue où mon cher Florilorme V Ait venir tout brûlant entretenir sa Dame, Qu'il doit tout plein de feux en cet heureux séjour Me venir raconter l'excès de son amour;
Beau Soleil ſi le ſoin de noſtre aiſe te touche, Va treuuer ta Thetis qui languit en ſa couche, Va noyer tes chaleurs en ſon humide ſein, Si tu veux contenter noſtre amoureux deſſein:	Beau Soleil si le soin de notre aise te touche, Va treuuer ta Thétis qui languit en sa couche, Va noyer tes chaleurs en son humide sein, Si tu veux contenter notre amoureux dessein:
Mais qu’il eſt pareſſeux, Echo ie t’en coniure, Porte luy de ma part le reſte d’vne iniure, Qu'en ces diuerſitez ces lieux ſemblent charmants, Sans douie que le Ciel les feit pour des Amants:	Mais qu'il est paresseux, Écho assez t'en conjure, Porte lui de ma part le reste d'une injure, Qu'en ces diversités ces lieux semblent charmants, Sans douie que le Ciel les feyt pour des Amants:
Deſſus ces abriſſeaux d’vne voix lamentable Le Roſſignol nous dit ſon estat pitoyable, Pendant que le zephir a cette priuauté, Errant parmy les fleurs d’admirer leur beauté:	Dessus ces abrisseaux d'une voix lamentable Le Rossignol nous dit son état pitoyable, Pendant que le zéphyr à cette privauté, Errant parmi les fleurs d'admirer leur beauté:
Ces rameaux enlacez font cette voûte ſombre, Non pour autre deſſein que pour y garder l'ombre, Et ce ruiſſeau coulant fait murmurer ſes flots Pour charmer les ennuis d’vn aymable repos:	Ces rameaux enlacés font cette voûte sombre, Non pour autre dessein que pour y garder l'ombre, Et ce ruisseau coulant fait murmurer ses flots Pour charmer les ennuis d'un aimable repos:
Ce fut là qu’autrefois loin de la violence On vit la ſolitude auecque le ſilence.	Ce fut là qu'autrefois loin de la violence On vit la solitude avec le silence.
Bref le compartiment de cet heureux ſeiour Semble eſtre fait pour rire & pour faire l’amour:	Bref le compartiment de cet heureux séjour Semble avait fait pour rire et pour faire l'amour:
Toutefois puis qu’icy ie ne voy Florilame, Ie vay m’abandonner au ſommeil gratieux Dont l’vmide vapeur me vient clore les yeux,	Toutefois puis qu'ici nom ne vois Florilme, Je vais m'abandonner au sommeil gratieux Dont l'une vapeur me vient clore les yeux,
FLORILAME.	FLORILAME.
Que ie ſuis negligent, ha!	Que ie suis négligent, ha!
vrayment ma maiſtreſſe Me pourra iustement accuſer de pareſſe:	vraiment ma maîtresse Me pourra justement accuser de paresse:
Car le Soleil blâmant mon peu d’affection, Que ie crains qu’eſtant ſeule au milieu d’vn bocage Quelque glaçon de peur ne gele ſon courage:	Car le Soleil blammant mon peu d'affection, Que tu crains qu'étant seule au milieu d' bocage Quelque glaçon de peur ne gèle son courage:
Quelque part où ie ſois la mes affections M'entretiennent touſiours de ſes perfections.	Quelque part où grands sois la mes affections M'entretiennent toujours de ses perfections.
Toutes ſortes d’obiecis me deſcouurant leurs faces, Me font incontinent ſouuenir de ſes graces Qui la font eſtimer aymable en toutes parts, La clarié me fait voir l’eſclat de ſes regards, Le feu dans ſa chaleur le pouuoir de ſon ame Qui conſomme mon cœur par ſa diuine flame:	Toutes sortes d'objetcis me découvrant leurs faces, Me font incontinent souvenir de ses grâces Qui la font estimer aimable en toutes parts, La clarié me fait voir l'éclat de ses regards, Le feu dans sa chaleur le pouvoir de son âme Qui consomme mon cœur par sa divine flamme:
La glace, ſes froideurs, l'haleine des Zephirs, Le ſoufle precieux de ſes petits ſouſpirs, Ie m’imagine voir dans le brânle de l’onde Le battement d’vn ſein qui charme tout le monde.	La glace, ses froideurs, l'haleine des Zéphirs, Le souffle précieux de ses petits soupirs, Je m'imagine voir dans le brânle de l'onde Le battement d'un sein qui charme tout le monde.
Doncque pour bien ſeruir à mon contentement, Amour va l’informer de mon empeſchement, Dis iuy que de Bergers vne troupe enuieuſe M’a long-temps retenu d’vne affaire ennuieuſe.	Donc pour bien servir à mon contentement, Amour va l'informer de mon empêchement, Dis jui que de Bergers une troupe envieuse M'a longtemps retenu d'une affaire ennuyeuse.
DIANE.	DIANE.
tant de ſon Eſcoute beau Paſleur mon repos vient de toy.	tant de son Écoute beau Pasleur mon repos vient de toi.
FLORILAME.	FLORILAME.
Tres-librement, hé!	Très -librement, hé!
bien que voulez vous de moy?	bien que voulez -vous de moi?
DIANE.	DIANE.
Qu’aſſis ſous ces cypres à qui mon dueil reſſemble Nous puiſſions diſcourir vn peu de temps enſemble	Qu'assis sous ces cyprès à qui mon deuil ressemble Nous puissions discourir un peu de temps ensemble
FLORILAME.	FLORILAME.
Excuſe moy Diane il s’en va deſia tard, Et de plus mon deuoir me conuie autre part.	Excuse moi Diane il s'en va déjà tard, Et de plus mon devoir me convie autre part.
PIANE.	PIANE.
Helas!	Hélas!
ſi tu ne veux qu’au meſme inſtant ie meure Ne me refuſe pas la moitie d'vn quart d'beure, Certain que tel plaiſir emporte ſon loyer.	si tu ne veux qu'au avait instant Seigneur meure Ne me refuse pas la moitie d'un quart d'bure, Certain que tel plaisir emporte son loyer.
Qui ſera?	Qui sera?
FLORILAME.	FLORILAME.
DIANE.	DIANE.
Trois baiſers auecque ce laurier.	Trois baisers auecque ce laurier.
FLORILAME	FLORILAME
FLORILAME.	FLORILAME.
Obligé par deuoir à vous y ſatisfaire, Ie n’en veux d’autre fruict que celuy de nous plaire.	Obligé par devoir à vous y satisfaire, Je n'en veux d'autre fruict que celui de nous plaire.
DIANE.	DIANE.
Amour, Dieux tu me peints la honte ſur le front, Peux-tu me faire icyreceuoir vn affront:	Amour, Dieux tu me peints la honte sur le front, Peux-tu me faire icirecevoir un affront:
Obſtacles enuieux, pudeur, reſpect, ſilence, Voulez vous à mes ſens faire vne violence:	Obstacles envieux, pudeur, respect, silence, Voulez -vous à mes sens faire une violence:
Cruel ne vois tu point certains feux dans mes yeux, Qui ſemblent te parler de mon mal ſoucieux?	Cruel ne vois tu point certains feux dans mes yeux, Qui semblent te parler de mon mal soucieux?
Voy comme depuis peu ce languiſſant viſage Deſcouure malgré moy la douleur qui m'outrage:	Vois comme depuis peu ce languissant visage Découvre malgré moi la douleur qui m'outrage:
Conſidere inhumain comme ce teint defaict Teſmoigne afſez ie mat qu'un bet ovieci m'afaict, Et que par mes ſouſpirs qui s’enuollent ſans nombre Ie te dois faire voir que ie ſuis plus qu'vn ombre.	Considère inhumain comme ce teint défait Tesmoigne as in mat qu'un bet ovieci m'afait, Et que par mes soupirs qui s'envollent sans nombre Je te dois faire voir que je suis plus qu'un ombre.
FLORILAME.	FLORILAME.
Hé bient que voudrois tu que ie fiſſe à celà?	Hé bient que voudrais tu que ieclisse à celà?
DIANE.	DIANE.
Dieux!	Dieux!
le remede vain que tu me donnes là, Moy n'apperçou iu pas comme ie juus malade?	le remède vain que tu me donnes là, Moi n'apperçou ju pas comme un Ju malade?
FLORILAME.	FLORILAME.
Ouy, mais ie croy qu’icy ton ſens te perſuade Malgré la verité que ie ſuis Medecin.	Oui, mais rien crois qu'ici ton sens te persuade Malgré la vérité que je suis Médecin.
DIANE.	DIANE.
Tu peux guerir vn feu qui me bruſle le ſein, Vn feu qu'vn beau Paſteur allume dans mon ame.	Tu peux guérir un feu qui me brûle le sein, Un feu qu'un beau Pasteur allume dans mon âme.
FLORILAME.	FLORILAME.
Comme s’appelle t’il?	Comme s'appelle t'il?
DIANE.	DIANE.
le Berger Florilame.	le Berger Florilme.
FLORILAME.	FLORILAME.
Adieu ſi tu ne romps cét importun diſcours.	Adieu si tu ne romps cet importun discours.
DIANE.	DIANE.
Quoy donc, veux-tu laiſſer Diane ſans ſecours, Et veux-tu que l’Echo par tous ces lieux rediſe, Que trop iniuſtument ton orgueil me meſpriſe.	Quoi donc, veux-tu laisser Diane sans secours, Et veux-tu que l'Écho par tous ces lieux redise, Que trop injustument ton orgueil me méprise.
Appaiſe toy Berger;	Apaise toi Berger;
VRANIE.	VRANIE.
O ciel!	Ô ciel!
qu’ay ie apperceu?	qu'ai ici aperçu?
Florilame & Diane, ou mon œil eſt deceu, Ha!	Florilme et Diane, ou mon œil est déçu, Ha!
Dieux, il eſt trop vray, ie le voy le profane, Qu’il parle auec ardeur bouche à bouche à Diane;	Dieux, il est trop vrai, je le vois le profane, Qu'il parle avec ardeur bouche à bouche à Diane;
Ie vay chercher vn lieu pour ouyr leur propos Où ie puiſſe treuuer la crainte ou le repos;	Je vais chercher un lieu pour ouïr leur propos Où ie puisse trouver la crainte ou le repos;
Allons dans ce taillis miſerabier rame, La crainte & le ſoupçon t’y feront compagnie;	Allons dans ce taillis misérabier rame, La crainte et le soupçon t'y feront compagnie;
Cejvrey que le don aitenure de monjori, D’vne ſeule parole ou ma vie ou ma mort.	Cejvrey que le don aitenure de monjori, D'une seule parole ou ma vie ou ma mort.
FLORILAME.	FLORILAME.
Parlant à Ceſte grande ferueur merite bien qu'on t’ayme.	Parlant à Cette grande ferveur mérite bien qu'on t'aime.
iane.	jane.
VRANIE.	VRANIE.
Traitre au commencement tu m'en diſois de meſmne,	Taitre au commencement tu m'en disais de même,
DIANE.	DIANE.
Accorde moy de grace ou la mort ou ta foy.	Accorde moi de grâce ou la mort ou ta foi.
VRANIE.	VRANIE.
Garde bien de donner ce qui n'eſt pas à toy.	Garde bien de donner ce qui n'est pas à toi.
FLORILAME.	FLORILAME.
Ie ne ſuis plus à moy, ma franchiſe eſt rauie,	Je ne suis plus à moi, ma franchise est ravie,
VRANIE.	VRANIE.
Ha!	Ha!
que ne l’eſt auſſi ta criminelle vie.	que ne l'est aussi ta criminelle vie.
DIANE.	DIANE.
Oofette pius parfait qu'ait aymé la vertu, De grace, s’il te plaiſt, dis comment m'aymes tu?	Oouffette pius parfait qu'ait aimé la vertu, De grâce, s'il te plaît, dis comment m'aimes tu?
FLORILAME.	FLORILAME.
De tout mon cœur, apres l’objet.	De tout mon cœur, après l'objet.
VRANIE.	VRANIE.
Perfide infame, ces mois ineſperez, trueim arratpent lame, Non, tu ne l’aymes pas, que ton crime eſt vengé:	Perfide infâme, ces mois inespéré, trueim arratpent lame, Non, tu ne l'aimes pas, que ton crime est vengé:
Car tu n'as point de cœur, ne l’ayant engagé.	Car tu n'as point de cœur, ne l'ayant engagé.
DIANE.	DIANE.
Encor combien doit viure vne flâme ſi belle,	Encore combien doit vivre une flamme si belle,
FLORILAME.	FLORILAME.
Tout autant que mon ame,	Tout autant que mon âme,
YRANIE.	YRANIE.
ba!	ba!
l’ame eſt immortelle:	l'âme est immortelle:
Mais non, ton amitié qui tenant de la Cour, Sçait naiſtre, viure, croiſtre, & mourir en vn iour.	Mais non, ton amitié qui tenant de la Cour, Sait naître, vivre, croître, et mourir en un jour.
FLORILAME.	FLORILAME.
Adieu, le temps donné pour ton repos ſe paſſe.	Adieu, le temps donné pour ton repos se passe.
DHANE.	DHANE.
Adieu, ie vis pour toy,	Adieu, Seigneur vis pour toi,
VRANIE.	VRANIE.
pour vous deux ie treſpaſſe.	pour vous deux grands trépasse.
DIANE.	DIANE.
Permets que ie te baiſe,	Permets que ainsi te baise,
FLORILAME.	FLORILAME.
na:	na:
tume preſſes fort, I'atteſte que contraint ie ſouffre cét effort.	tume presses fort, J'atteste que contraint leurs souffre cet effort.
VRANIE.	VRANIE.
Il n’en faut plus douter, ie les voy qu’ils ſe baiſent, Auec les priuautez dont les flâmes s’appaiſent.	Il n'en faut plus douter, une les vois qu'ils se baisent, Avec les privautés dont les flammes s'apaisent.
DIANE.	DIANE.
Pitoyable Berger, ie iure qu’en tout lieu, I'auray ton ſouuenir, adieu doncques,	Pitoyable Berger, ie jure qu'en tout lieu, J'aurai ton souvenir, adieu donc,
FLORILAME.	FLORILAME.
adieu.	adieu.
Que i’ay cette iournee eſpreuué de contrainte:	Que j'ai cette journe espreuué de contrainte:
Mais voicy mon Soleil, lur mon ame i’ay crainte Qu no m’ait en ces lieux attendu longuement:	Mais voici mon Soleil, lur mon âme j'ai crainte Qu' ô m'ait en ces lieux attendu longuement:
Car ie lis ſur ſon front vn meſcontentement, Excuſe moy mon cœur, s’il n’eſt vray que ie meure, Vne imporiunte m'a tenu plus d’vne heure.	Car ie lis sur son front un mécontentement, Excuse moi mon cœur, s'il n'est vrai que ici meure, imporiunte m'a tenu plus d'une heure.
VRANIE.	VRANIE.
Berger, tous ces beaux noms ſont pour moy ſuperfli Vranie auiourd'huy ne les merite plus.	Berger, tous ces beaux noms sont pour moi superfli Vranie aujourd'hui ne les mérite plus.
FLORILAME.	FLORILAME.
Que tu fais la ferouche.	Que tu fais la ferouche.
VRANIE.	VRANIE.
ha!	ha!
l'ingrat, l’ame double,	l'ingrat, l'âme double,
FLORILAME.	FLORILAME.
Vray'ment ie ne ſçay pas le ſujet qui te trouble, Mauuaiſe apprens le moy, quel crime ſi ſoudain Peut auoir ſuſcité ce funeſte deſdain, Dy le moy ie te prie, il faut que ie l’entende, Ttnaun quor brnerayton chef d'vne guirlande, Qui ſera ſur ton front le prix de ta beauté,	Vraiment mieux ne sais pas le sujet qui te trouble, Mauvaise apprends le moi, quel crime si soudain Peut avoir suscité ce funeste dédain, Dis le moi ie te prie, il faut que ie l'entende, Tatnaun quor brnerayton chef d'une guirlande, Qui sera sur ton front le prix de ta beauté,
VRANIE.	VRANIE.
Mais pluſtoſt le teſmoin de ta deſloyauté:	Mais plutôt le témoin de ta déloyauté:
Eſt-ce-là cette foy que tu m’auois iuree!	Est-ce-là cette foi que tu m'avais jure!
Helas!	Hélas!
que ma frachiſe estoit mal aſſeuree, Et que i’ay mal cogneu ton cœur malicieux, Laiſſe moy deſloyal.	que ma fraîchise était mal assurée, Et que j'ai mal connu ton cœur malicieux, Laisse moi déloyal.
FLORILAME.	FLORILAME.
C’eſt tout de bon, ô Cieux!	C'est tout de bon, ô Cieux!
Fugitiue reuien, & me fais voir mon crime, Ie veux te deplaiſant que le foudre m’abyme:	Fugitive revien, et me fais voir mon crime, Je veux te déplaisant que le foudre m'abîme:
Reuien belle, reuien, helas!	Revien belle, revien, hélas!
ie parle à l’air:	Ne parle à l'air:
elle s’euanouyt plus viſte qu’vn eſclair Qu'à d’extremes malheurs noſtre vie eſt ſuiette, Qu’en d’extremes douleurs cette fureur me iette, Et que i’apprens icy par ces ſuccez diuers Qu’il n’eſt rien de durable en tout cét Vniuers, Que le ciel meſmement enuelopant le monde Souffre de la tourmente à l’exemple de l’onde:	elle s'eunanouit plus vite qu'un éclair Qu'à d'extrêmes malheurs notre vie est suite, Qu'en d'extrêmes douleurs cette fureur me jette, Et que j'apprends ici par ces succès divers Qu'il n'est rien de durable en tout cet Univers, Que le ciel mêmement enveloppant le monde Souffre de la tourmente à l'exemple de l'onde:
Ha!	Ha!
grand Dieu que tout eſt inconſtant icy bas Ce qu’on eſt auiourd’huy, demain on ne l’eſt pas.	grand Dieu que tout est inconstant ici bas Ce qu'on est aujourd'hui, demain on ne l'est pas.
Cheſnes ſi de l’amour vous ſentiſles les forces Faites luy voir mes vœux deſpeints ſur vos eſcor Cabinet où l’Amour faiſoit ſon Paradis Par tous les doux tranſports que tu cauſas iadis.	Chesnes si de l'amour vous sentîles les forces Faites lui voir mes vœux dépeints sur vos écor Cabinet où l'Amour faisait son Paradis Par tous les doux transports que tu causas jadis.
Nimphes qui deſcouurez les cerfs en leurs allures, Qui peignez ſur ces bords vos blondes chéuelures, Monſtrez à ma cruelle à ce cœur tout de fer, Comme ſa noire humeur eſt pire qu'vn enfer.	Nymphes qui découvrez les cerfs en leurs allures, Qui peignez sur ces bords vos blondes cheelures, Montrez à ma cruelle à ce cœur tout de fer, Comme sa noire humeur est pire qu'un enfer.
Mais quel nouueau ſuiect de nouuelle triſteſſe Vn arreſt par eſcrit donné par ma Princeſſe Dans ce billet plié me condamne à la mort, Qui ſert aux affligez d’vn ſalutaire port;	Mais quel nouveau sujet de nouvelle tristesse Un arrêt par écrit donné par ma Princesse Dans ce billet plié me condamne à la mort, Qui sert aux affligez d'être salutaire port;
Sus liſons l’a genoux, & qu’vn Dieu me l’explique, Victorieux papier, homicide relique.	Sus lisons l'a genoux, et qu'un Dieu me l'explique, Victorieux papier, homicide relique.
AV PLVS INGRAT'IMAN RESPIRE LE IOVR.	AU PLUS INGRAT-IMAN RESPIRE LE OUR.
Que ce nom conuient mal à mon extreme amour.	Que ce nom convient mal à mon extrême amour.
LETTRE SVPPOSEE PAR DIANE.	LETTRE SVPPOSEE PAR DIANE.
’Eſt en vain que ton inconſtance CTaſche encor de tromper mes ſens, Puis que i’ay trop de connoiſſance Du mal qui i’en prouient, du bien que i’en reſſens, Penſe que ton humeur legere Ne me pourra iamais toucher;	Est en vain que ton inconstance CTâche encor de tromper mes sens, Puis que j'ai trop de connaissance Du mal qui j'en provient, du bien que j'en ressens, Pense que ton humeur légère Ne me pourra jamais toucher;
Berger appren d’vne Bergere, Que le vent ne peut rien contre vn ferme rocher.	Berger appren d'une Bergère, Que le vent ne peut rien contre un ferme rocher.
Perfide, trompeur, & vollage, Ame double, eſprit captieux, Ne tire iamais d’auantage, D’auoir en me ſeruant eſté ſi glorieux, Va tromper ta nouuelle Dame, Ne te ſouuiens iamais de moy:	Perfide, trompeur, et volage, Âme double, esprit captieux, Ne tire jamais d'avantage, D'avoir en me servant été si glorieux, Va tromper ta nouvelle Dame, Ne te souviens jamais de moi:
tar ie te iure ſur mon ame, Qu'à peine en t’eſcriuant puis-ie ſonger à toy.	tar G te jure sur mon âme, Qu'à peine en t'écrivant puis-je songer à toi.
FLORILAME.	FLORILAME.
O ſort qui dés long temps tramez mon deſeſpoir, Dans ces funeſtes mots que m’auez vous fait voir, Quel Demon a conduit la main de ma Deeſſe?	Ô sort qui dès long temps tramez mon désespoir, Dans ces funestes mots que m'avez vous fait voir, Quel Démon a conduit la main de ma Déesse?
Quel riual a forcé la main de ma maiſtreſſe?	Quel rival a forcé la main de ma maîtresse?
Hé bien!	Hé bien!
il faut mourir apres auoir apris Le perfide motif d’vn iniuſte meſpris.	il faut mourir après avoir apris Le perfide motif d'amour injuste mépris.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE I.	SCÈNE I.
FLORILAME ſeul.	FLORILAME seul.
Mbres, craintes, borreurs, Demons, Larues, tenebres, Pour plaire à mes tourmens montrez vous plus funebres, Nuict ſois moy fauorable en ce dernier tranſport, Puis que c’eſt dans ton ſein que repoſe la mort:	Mèbres, craintes, borreurs, Demons, Larues, ténèbres, Pour plaire à mes tourments montrez -vous plus funèbres, Nuit sois moi favorable en ce dernier transport, Puis que c'est dans ton sein que repose la mort:
Effroyables deſerts, vous roches eſcarpees, Vous maſſes que l’horreur a ſans doute campees, Où regnent les malheurs auec le deſeſpoir.	Effroyables déserts, vous roches escarpées, Vous masses que l'horreur a sans doute campes, Où règnent les malheurs était le désespoir.
Que vos hoſtes affreux me viennent icy voir, Deſia de tous coſtez les rages me bourellent, Et ie voy les fureurs que mes tranſports appellent:	Que vos hôtes affreux me viennent ici voir, Déjà de tous côtés les rages me bourellent, Et ie vois les fureurs que mes transports appellent:
Deſia la mort par tout accompagne mes pas, Elle eſt aupres de moy, mais ie ne la voy pas, Ie ne ſuis plus viuant, ie ne ſers que de nombre, En ce terreſtre Enfer ouu pupe pour umbre, Antiques monumens où la charongne dort, Deteſtables Palais du ſilence & du ſort, Bieres qui faites peur au plus hardy courage, Tombeaus Tombeaux qui faites voir combien le temps à d’âge, Sepulcres démolis, quand ie viens à paſſer Prés de vous, ie voudrois auſſi toſt treſpaſſerz C’eſt en ces lieux qu’il faut que Florilame meure, Si c' eſt prés des cercueils que la parque demeure, Celle pour qui ie vis ne veut plus m’animer, Celle que ie cheris ne me veut plus aymer.	Déjà la mort par tout accompagne mes pas, Elle est auprès de moi, mais rien ne la vois pas, Je ne suis plus vivant, ie ne sers que de nombre, En ce terrestre Enfer ouu pupe pour umbre, Antique monuments où la charongne dort, Detestables Palais du silence et du sort, Bières qui faites peur au plus hardi courage, Tombeau Tombeaux qui faites voir combien le temps à d'âge, Sépulcres démolis, quand je viens à passer Prés de vous, quand voudrois voudrais aussitôt trespasserz C'est en ces lieux qu'il faut que Florilame ure, Si c' est prés des cercueils que la que demeure, Celle pour mai ie vis ne veut plus animer, Le que ie chéris ne me veut pou aimer.
