PREFACE	PRÉFACE
Ulyſſe, craignez moins pour l’honneur de mes Armes, Le Temps vous guerira de ces vaines alarmes, Je joindray dans mon cœur s’il ſe laiſſe enflammer La gloire de combattre à la douceur d’aimer.	Olysse, craignez moins pour l'honneur de mes Armes, Le Temps vous guérira de ces vaines alarmes, Je joindrai dans mon cœur s'il se laisse enflammer La gloire de combattre à la douceur d'aimer.
Si ce divin Objet captive ma franchiſe, J'en ſeray plus ardent à finir l’entrepriſe, Et d’un double intereſt mon courage engagé Vangera ſur Pâris Menelas outragé.	Si ce divin Objet captive ma franchise, J'en serai plus ardent à finir l'entreprise, Et d'un double intérêt mon courage engagé Vengera sur Pâtris Ménélas outragé.
Allez, qu’Iphigenie offrant ſon ſacrifice Nous rende la Mer libre & Diane propice, Si la voye une fois eſt ouverte aux combats Vlyſſe, mon devoir vous répond de mon bras,	Allez, qu'Iphigénie offrant son sacrifice Nous rende la Mer libre et Diane propice, Si la voie une fois est ouverte aux combats Vlysse, mon devoir vous répond de mon bras,
Fin du ſecond Acte,	Fin du second Acte,
I ITI	I ITI
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CLYTEMT LOTTLI ITITGENIE.	CLYTEMT LOTTLI ITITGENIE.
PHENISSE.	PHÉNISE.
CLYTIE.	CLYTIE.
CLYTEMNESSRE.	CLYTEMNESSRE.
LLE nous luit enfin cette grande journée A Qui va rendre ta vie à jamais fortunée, L Où le Fils de Thetis doit eſtre ton eſpoux, Où les Grecs pour partir n’attendent qu’aprés nous.	LLE nous luit enfin cette grande journée A Qui va rendre ta vie à jamais fortunée, L ù le Fils de Thétis doit être ton époux, Où les Grecs pour partir n'attendent qu'après nous.
Mais, ma Fille, d’où vient qu’avec ſi peu de joye Tu reçois le bonheur que le Ciel nous envoye?	Mais, ma Fille, d'où vient qu'avec si peu de joie Tu reçois le bonheur que le Ciel nous envoie?
IPHIGENIE.	IPHIGENIE.
D’un malheur inconnu le preſage ſecret M’a fait quitter Argos avec quelque regret.	D'un malheur inconnu le présage secret M'a fait quitter Argos avec quelque regret.
CLYTEMNESTRE.	CLYTEMNESTRE.
Diſſipe ce ſoupçon dont ton ame eſt atteinte, Et qu’un plus doux eſpoir ſuccede à cette crainte, Nous devons ſeulement rendre graces aux Dieux Qui font à ma famille un ſort ſi glorieux, O Dieux!	Dissipe ce soupçon dont ton âme est atteinte, Et qu'un plus doux espoir succède à cette crainte, Nous devons seulement rendre grâces aux Dieux Qui font à ma famille un sort si glorieux, Ô Dieux!
qu’Agamemnon aura l’ame contente, J’ay voulu le ſurprendie, il ſort de cette Tente, Mais d’où vient qu’il paroiſt ſi triſte & ſi réveur.	qu'Agamemnon aura l'âme contente, J'ai voulu le surprendie, il sort de cette Tente, Mais d'où vient qu'il paraît si triste et si réveur.
Nous allons appaiſer le trouble de ſon cœur, Courons à luy.	Nous allons apaiser le trouble de son cœur, Courons à lui.
SCENE II.	SCÈNE II.
CLYTEMNESTRE.	CLYTEMNESTRE.
IPHIGENIE.	IPHIGENIE.
unoumMom CLYTIE, PHENISSE.	unoumMom CLYTIE, PHÉNISE.
CLYTEMNESTRE.	CLYTEMNESTRE.
O Dgneur, que ma joye eſt extrême:	Ô Dgneur, que ma joie est extrême:
AGAMEMNON.	AGAMEMNON.
Clytemneſtre en ces lieux, Clytemneſtre elle-même?	Clytemnêtre en ces lieux, Clytemnêtre elle-même?
IPHIGENIE.	IPHIGENIE.
Seigneur que voſtre Fille.	Seigneur que votre Fille.
AGAMEMNON.	AGAMEMNON.
Et toy ma Fille auſſi.	Et toi ma Fille aussi.
CLYTEM	CLYTEM
CLYTEMNESTRE.	CLYTEMNESTRE.
D'où vient ce triſte accueil que l’on nous fait iey?	D'où vient ce triste accueil que l'on nous fait iey?
Quelle momne douſeur termt ce nont auguſte?	Quelle momne douseur termt ce nont auguste?
AGAMEMNON.	AGAMEMNON.
Ne la condamnez pas, elle n’eſt que trop juſte.	Ne la condamnez pas, elle n'est que trop juste.
IPHIGENIE.	IPHIGENIE.
Et quel ſujet, Seigneur, auriez-vous de pleurer?	Et quel sujet, Seigneur, auriez-vous de pleurer?
AGAMEMNON.	AGAMEMNON.
Le long éloignement qui va nous ſeparer.	Le long éloignement qui va nous séparer.
IIIGENIE.	IIIGENIE.
Souffrez qu’auprés de vous je ſois toute ma vie!	Souffrez qu'auprès de vous je sois toute ma vie!
AGAMEMNON.	AGAMEMNON.
Que ne peut ton deſtin répondre à ton envie.	Que ne peut ton destin répondre à ton envie.
IPHIGENIE.	IPHIGENIE.
Qui peut ſi vous voulez m’éloigner de vos yeux;	Qui peut si vous voulez m'éloigner de vos yeux;
Ne ſuis-je pas à vous?	Ne suis-je pas à vous?
AGAMEMNON.	AGAMEMNON.
Non, tu dépends des Dieux.	Non, tu dépends des Dieux.
IPHIGENIE.	IPHIGENIE.
Les Dieux s’oppoſent ils aux volontez d’un Pere?	Les Dieux s'opposent ils aux volontés d'un Père?
Aurions nous pû, Seigneur, meriter leur colere?	Aurions -nous pu, Seigneur, mériter leur colère?
Vous ne répondez rien, je vous vois ſoûpirer?	Vous ne répondez rien, je vous vois soupirer?
AGAMEMNON.	AGAMEMNON.
A tout ce qu’ils vouaront il faut le preparer.	À tout ce qu'ils vouaront il faut le préparer.
CLYTEMNESTRE.	CLYTEMNESTRE.
J’ignore quel ſecret cet entretien nous cache.	J'ignore quel secret cet entretien nous cache.
AGAMEMNON.	AGAMEMNON.
Il n’eſt pas à propos qu’une Fille le ſçache.	Il n'est pas à propos qu'une Fille le sçache.
IPHIGENIE.	IPHIGENIE.
Quelque part que je prenne à tous vos intereſts, Je ne veux pas, Seigneur, penetrer vos ſecrets, Peut-eſtre trouvez-vous qu’ils ſurpaſſent mon âges Mais pour voſtre repos, & pour voſtre avantage Veüillent les juſtes Dieux que tout ſuccede bien.	Quelque part que je prenne à tous vos intérêts, Je ne veux pas, Seigneur, pénétrer vos secrets, Peut-être trouvez-vous qu'ils surpassent mon âges Mais pour votre repos, et pour avoir avantage Vueillent les justes Dieux que tout succède bien.
AGAMEMNON.	AGAMEMNON.
Les Dieux ſont irritez, ne leur demande rien.	Les Dieux sont irrités, ne leur demande rien.
Laiſſe nous un moment, ta preſence me tuë, J’ay peine à rétablir ma conſtance abbatuë.	Laisse nous un moment, ta présence me tue, J'ai peine à rétablir ma constance abattue.
Il eſtoit neceſſaire au repos de mes jours Ou de ne te voir plus, ou de te voir toûjours.	Il était nécessaire au repos de mes jours Ou de ne te voir plus, ou de te voir toujours.
SCENE III.	SCÈNE III.
AGAMEMNON.	AGAMEMNON.
CETTEMNESTRE.	CETTEMNESTRE.
PHENISSE.	PHÉNISE.
CLYTEMNESTRE.	CLYTEMNESTRE.
SI vous l’aimez, Seigneur, vous ſçavez que je l’aime, Et que m’en ſeparer c’eſt l’oſter à moy-meſme;	SI vous l'aimez, Seigneur, vous savez que je l'aime, Et que m'en séparer c'est l'ôter à moi-même;
Mais lors qu’on luy deſtine un ſi charmant Epoux, Ce doit eſtre pour elle un changement bien doux, En vain vous lay montiez un hatuler n'tendre, Vous luy donnez des pleurs qu’elle ne peut vous rendre;	Mais lors qu'on était destine un si charmant Époux, Ce doit être pour elle un changement bien doux, En vain vous lay montiez un hattuler n'tendre, Vous avait donnez des pleurs qu'elle ne peut vous rendre;
Mais.	Mais.
AGAMEMNON.	AGAMEMNON.
Rendez ſur ce point mon eſprit éclaircy, Madame, quel ſujet vous a conduite icy?	Rendez sur ce point mon esprit éclairci, Madame, quel sujet vous a conduite ici?
CLYTAMNESTRE.	CLYTAMNESTRE.
Cet Hymen propoſé, mon amour, cette lettre Qu'Ulyſſe dans Argos en mes mains vint remettre.	Cet Hymen proposé, mon amour, cette lettre Qu'Ulysse dans Argos en mes mains vint remettre.
AGAMEMNON.	AGAMEMNON.
L'écriture en eſt fauſſe, & le ſein contrefait, Diſſimulons pourtant.	L'écriture en est fausse, et le sein contrefait, Dissimulons pourtant.
C’eſt ma lettre en effet, Mais je ne demandois icy qu’Iphigenie, Elle ſeule ſuffit pour la ceremonie.	C'est ma lettre en effet, Mais je ne demandais ici qu'Iphigénie, Elle seule suffit pour la cérémonie.
C ij	Ç ij
CLYTEMNESTRE.	CLYTEMNESTRE.
Ulyſſe par voſtre ordre a parlé comme vous;	Ulysse par votre ordre a parlé comme vous;
Mais pourquoy me priver d’un ſpectacie ſi doux?	Mais pourquoi me priver d'un spectacie si doux?
y uj cru qu’en cet Hymen je devois ia conduire.	y Ôj cru qu'en cet Hymen je devais ja conduire.
AGAMEMNON.	AGAMEMNON.
De mes intentions il devoit vous inſtruire, Et vous auriez appris qu’il eſtoit à propos De ne point s’éloigner de Mycene & d’Argos.	De mes intentions il devait vous instruire, Et vous auriez appris qu'il était à propos De ne point s'éloigner de Mycène et d'Argos.
Un tas de mécontens peut pendant voſtre abſence Y ſemer le venin qu’inſpire la vangeance, Un Peuple qui toûjours aime le changement, Qui ne ſauroit ſouffrir le joug le plus charmant, Qui ſans ceſſe gemit, qui ſans ceſſe ſoûpire, Peut d’un Prince étranger reconnoiſtre l’Empire.	Un tas de mécontents peut pendant votre absence Y semer le venin qu'inspire la vengeance, Un Peuple qui toujours aime le changement, Qui ne saurait souffrir le joug le plus charmant, Qui sans cesse gémit, qui sans cesse soupire, Peut d'un Prince étranger reconnaître l'Empire.
Qui laiſſe un thrône vuide invite à l’uſurper, Et qui connoiſt ſon prix doit toûjours l’occuper.	Qui laisse un trône vide invite à l'usurper, Et qui connaît son prix doit toujours l'occuper.
Prevenez des mutins l’ambitieuſe audace, De peur qu’on s’en ſaiſiſſe allez remplir ma place, Ne perdez point de temps & comme ſur vos bras J’oſe me repoſer du ſoin de vos Eſtats, oune que dans noitie campcet IIymnen vous retarde, Repoſez vous ſur moy du ſoin qui vous regarde, Et n’apprehendez point eſtant loin de ces lieux Que cet Hymen ne tourne à la gloire des Dieux.	Prévenez des mutins l'ambitieuse audace, De peur qu'on s'en saisisse allez remplir ma place, Ne perdez point de temps et comme sur vos bras J'ose me reposer du soin de vos États, oune que dans noitie campcet IIymnen vous retarde, Reposez -vous sur moi du soin qui vous regarde, Et n'appréhendez point étant loin de ces lieux Que cet Hymen ne tourne à la gloire des Dieux.
CLYTEMNESTRE.	CLYTEMNESTRE.
Qui vous fait me preſcrire une ley il iettre?	Qui vous fait me prescrire une lei il jettre?
Je connois les devoirs & d’Eſpouſe & de Mere, Je ſuis & l’une & l’autre, & ces deux qualitez D’un accord mutuel reglent mes volontez;	Je connais les devoirs et d'Espouse et de Mère, Je suis et l'une et l'autre, et ces deux qualités D'un accord mutuel règlent mes volontés;
Mais je ne voy que trop, que l’ordre qu’on m’impoſe Part d’un pretexte adroit dont on cache la cauſe, Qui lors que cet Hymen ſe celebre en ces lieux Ne ſçavroit m’en bannir ſans eſtre injurieux, Car doit-on dans le calme où repoſe l’Empire, Craindre que contre vous voſtre peuple conſpire, Cette Mer ſi tranquille eſt bien moms en repos que n’eit l’eitat preſent de Mycene & d’Argos.	Mais je ne vois que trop, que l'ordre qu'on m'impose Part d'un prétexte adroit dont on cache la cause, Qui lors que cet Hymen se célèbre en ces lieux Ne saurait m'en bannir sans être injurieux, Car doit-on dans le calme où repose l'Empire, Craindre que contre vous votre peuple conspire, Cette Mer si tranquille est bien moments en repos que n'éit l'éitat présent de Mycène et d'Argos.
AGAMEMNON.	AGAMEMNON.
Mauame, ſuivez mieux les avis qu’on vous donne.	Maume, suivez mieux les avis qu'on vous donne.
CLYTEMNESTRE.	CLYTEMNESTRE.
Ne me deffendez pas ce que le Ciel m’ordonne, Rien ne peut me forcer à partir de ces lieux Euſſay-je contre moy les hommes & les Dieux, Vous conduiſez les Grecs, moy je conduis ma Fille, Et j’y dois ſouſtenir l’éclat de ma Famille.	Ne me défendez pas ce que le Ciel m'ordonne, Rien ne peut me forcer à partir de ces lieux Eussai-je contre moi les hommes et les Dieux, Vous conduisez les Grecs, moi je conduis ma Fille, Et j'y dois soutenir l'éclat de ma Famille.
AGAMEMNON.	AGAMEMNON.
Demeurez donc, Madame & deſobeïſſez:	Demeurez donc, Madame et désobéissez:
Mais deſtinez ailleurs ces pleurs que vous verſez:	Mais destinez ailleurs ces pleurs que vous versez:
Jaloux de ma douleur moins que de voſtre joye, Je voulois au chagrin demeurer ſeul en proye, Mais pour voſtre malheur vous ne le voulez pas.	Jaloux de ma douleur moins que de votre joie, Je voulais au chagrin demeurer seul en proie, Mais pour votre malheur vous ne le voulez pas.
Je vous laiſſe, Madame, & je vay voir Calcas.	Je vous laisse, Madame, et je vais voir Calcas.
SCENE IV CLYTEMIILOPI IHENISSE.	SCÈNE IV CLYTEMILOPI JHENISE.
CLYTEMNESTRE.	CLYTEMNESTRE.
DE tout ce que je voy quelle ſera la ſuite?	DE tout ce que je vois quelle sera la suite?
Que dois-je Agamemnon juger de ta conduite?	Que dois-je Agamemnon juger de ta conduite?
Quay-je fait qui merite un ſi dur traitement?	Quais-je fait qui mérite un si dur traitement?
De ce grand Hymenée eſt-ce l’appreſt charmant?	De ce grand Hyménée est-ce l'apprêt charmant?
Je n’entens que ſoûpirs, que murmures, que plaintes, Que mots entrecoupez qui redoublent mes craintes, Et je ſens malgré moy ſe gliſſer dans mon cœur Je ne ſcay quels ſoupçons qui me comblẽt d’horreur, En queltuoneu du caup que je porte la veuë Je vois de tous coſtez la terreur répanduë?	Je n'entends que soupirs, que murmures, que plaintes, Que mots entrecoupez qui redoublent mes craintes, Et je sens malgré moi se glisser dans mon cœur Je ne sais quels soupçons qui me comblent d'horreur, En queltuoneu du caup que je porte la vue Je vois de tous côtés la terreur répandue?
’en ignore la cauſe, & veux m’en éclaircir, J’en cherche la raiſon & crains d’y reüſſir.	U'en ignore la cause, et veux m'en éclaircir, J'en cherche la raison et crains d'y réussir.
PHENISSE.	PHÉNISE.
Madame eſperez mieux.	Madame espérez mieux.
CLYTEMNESTRE.	CLYTEMNESTRE.
Hé!	Hé!
qu’eſperer Pheniſſe Quand mon Eſpoux me traite avec tant d’injuſtice, Et par un changement qu’on ne peut concevoir,	qu'espérer Phénisse Quand mon Époux me traite avec tant d'injustice, Et par un changement qu'on ne peut concevoir,
PHENISSE.	PHÉNISE.
Madame Achille vient.	Madame Achille vient.
CLYTEMNESTRE.	CLYTEMNESTRE.
Allons le recevoir.	Allons le recevoir.
CENE V CLYTEMNLOTRE.	CÈNE V LYTEMNLOTRE.
IGIFILLE.	IGIFILE.
PHENISSE.	PHÉNISE.
ACHILLE.	ACHILLE.
SI le calme obſtiné qui regne en ce rivage De tous les Grecs, Madame, eſtonna le courage, Je les voy raſſeurez à l’aſpect de vos jeux;	SI le calme obstiné qui règne en ce rivage De tous les Grecs, Madame, étonna le courage, Je les vois rassurés à l'aspect de vos jeux;
vontre aboru nous repond de la faveur des Cieux, Deſia dans tout le Camp le pouvoir de vos charmes Fait revivre la gloire & l’éclat de nos Armes, Et par le doux eſpoir qu’il met dans tous les cœurs,	vontre aboru nous répond de la faveur des Cieux, Déjà dans tout le Camp le pouvoir de vos charmes Fait revivre la gloire et l'éclat de nos Armes, Et par le doux espoir qu'il met dans tous les cœurs,
CLYTEMNESTRE.	CLYTEMNESTRE.
De grace baniſſons tous ces termes flateurs, Et ne ſongeons, Seigneur, qu’à benir la journée Qui doit par les beaux nœuds d’un charmant Hymenée De vous & de ma Fille unir le noble ſort.	De grâce bannissons tous ces termes flatteurs, Et ne songeons, Seigneur, qu'à bénir la journée Qui doit par les beaux nœuds d'un charmant Hyménée De vous et de ma Fille unir le noble sort.
D'où vient que ce diſcours vous étonne ſi fort?	D'où vient que ce discours vous étonne si fort?
ACHILLE.	ACHILLE.
Madame, ce diſcours que je ne puis comprendre A de quoy m’honorer & de quoy me ſurprendre.	Madame, ce discours que je ne puis comprendre A de quoi m'honorer et de quoi me surprendre.
CLYTEMNESTRE.	CLYTEMNESTRE.
D'Iijmen quon a tiaite de ma rme de de vous Ne vous plairoit-il plus?	D'Iijmen quon a tiaite de ma ramme de de vous Ne vous plairoit-il plus?
ACHILLE.	ACHILLE.
Il me ſeroit trop doux;	Il me serait trop doux;
Tout cede à la Princeſſe, & j’en garde, Madame, Le glorieux portrait juſques au fond de l’ame:	Tout cède à la Princesse, et j'en garde, Madame, Le glorieux portrait jusques au fond de l'âme:
A ſes charmes d’abord Achille aſſujeti Sentit ce que ſon cœur n’avoit jamais ſenti;	À ses charmes d'abord Achille assujet Sentit ce que son cœur n'avait jamais senti;
Mais quand de ſon Hymen on me promet la gloire Mon bonheur eſt ſi grand que je n’oſe le croire, Et comme il me ſurprend, j’ay peine à concevoir Par quel ſort je puis eſtre heureux ſans le ſçavoir.	Mais quand de son Hymen on me promet la gloire Mon bonheur est si grand que je n'ose le croire, Et comme il me surprend, j'ai peine à concevoir Par quel sort je puis chang heureux sans le savoir.
CLYTEMNESTRE.	CLYTEMNESTRE.
Je voy par vos diſcours, que dans cette avanture Quelque intereſt ſecret a meſlé l’impoſture.	Je vois par vos discours, que dans cette aventure Quelque intérêt secret a mêlé l'imposture.
L’accueil que j’ay receu de mon cruel Eſpoux Convertit en chagrin mon eſpoir le plus doux.	L'accueil que j'ai reçu de mon cruel Espoux Convertit en chagrin mon espoir le plus doux.
ACHILLE, Il faut s’en éclaircir.	ACHILLE, Il faut s'en éclaircir.
CLYTEMNESTRE.	CLYTEMNESTRE.
Ne vois-je pas Oronte?	Ne vois-je pas Oronte?
De tout cet artifice il peut nous rendre conte.	De tout cet artifice il peut nous rendre conte.
SCENE VI.	SCÈNE VI.
CLYTEMNESTRE.	CLYTEMNESTRE.
ACHILLE.	ACHILLE.
PHENISSE.	PHÉNISE.
ORONTE.	ORONTE.
ORONIE.	ORONIE.
O Reine infortunée où s’adreſſent vos pas?	Ô Reine infortunée où s'adressent vos pas?
CLYTEMNESTRE.	CLYTEMNESTRE.
Qu’eſt-ce?	Qu'est-ce?
écoûtons, Seigneur ne m’abandonnez pas.	écoutons, Seigneur ne m'abandonnez pas.
ORONTE.	ORONTE.
Ce ſecret revelé me coûtaſt-il la vie, Je ſerai trop heureux de vous avoir ſervie:	Ce secret révelé me coûtât-il la vie, Je serai trop heureux de vous avoir servie:
Le Roy conſent, Madame, à l’Oracle inhumain Qui porte à voſtre Fille un poignard dans le ſein, Par la voix de Calcas Diane la demande.	Le Roi consent, Madame, à l'Oracle inhumain Qui porte à votre Fille un poignard dans le sein, Par la voix de Calcas Diane la demande.
CLYTEMNESTRE.	CLYTEMNESTRE.
Dieux cruels!	Dieux cruels!
ACHILLE.	ACHILLE.
o d llema,	ô dès cléma,
ORONTE.	ORONTE.
Au coup qu’il apprehende Le Roy pour s’emparer feignoit de conſentir, Et j’allois en Argos pour vous en avertir;	Au coup qu'il appréhende Le Roi pour s'emparer feignait de consentir, Et j'allais en Argos pour vous en avertir;
Lors qu’au ſortir du Camp d’un effort temeraire Je me ſuis veu, Madame, arreſté par ſon frere, Qui ne m’euſt point encor rendu la liberté, Sans un ordre abſolu du Monarque irrité.	Lors qu'au sortir du Camp d'un effort téméraire Je me suis vu, Madame, arrêté par son frère, Qui ne m'eût point encor rendu la liberté, Sans un ordre absolu du Monarque irrité.
Sur l’amour du Pays, ſur celuy de ſa gloire Dans ſon cœur la Nature emportoit la victoire, Mais depuis que j’ay veu, que d’un eſprit ruſé Ulyſſe vous portant un écrit ſuppoſé Vous avoit obligée à ce triſte voyage, Il a crû ne pouvoir reſiſter davantage, Et que voſtre arrivée en ces funeſtes lieux Eſtoit moins le complot d’Ulyſſe que des Dieux:	Sur l'amour du Pays, sur celui de sa gloire Dans son cœur la Nature emportait la victoire, Mais depuis que j'ai vu, que d'un esprit rusé Ulysse vous portant un écrit supposé Vous avait obligée à ce triste voyage, Il a cru ne pouvoir résister davantage, Et que votre arrivée en ces funestes lieux Était moins le complot d'Ulysse que des Dieux:
Il vient de voir Calcas, & croiroit faire un crime S’il differoit encor à livrer le Victime.	Il vient de voir Calcas, et croirait faire un crime S'il différait encor à livrer le Victime.
ELTIEMNESIRE.	ELTIEMNESIRE.
Dieux!	Dieux!
ſi de l’innocent vous prenez l’intereſt.	si de l'innocent vous prenez l'intérêt.
Souffrirez-vous?	Souffrirez-vous?
ORONTE.	ORONTE.
Diane en a donné l’Arreſt, Calcas a prononcé que c’eſt la ſeule voye Qu'elle a marquée aux Grecs pour arriver à Troye, Ce triſte Sacrifice eſt l’Hymen glorieux 35 Qu’Ulyſſe vous a dit qu’on traitoit en ces lieux;	Diane en a donné l'Arrêt, Calcas a prononcé que c'est la seule voie Qu'elle a marquée aux Grecs pour arriver à Troie, Ce triste Sacrifice est l'Hymen glorieux 35 Qu'Ulysse vous a dit qu'on traitait en ces lieux;
Et vous ſerviez Seigneur d’inſtrument à ſa perte, Puiſque de voſtr nonmiu ciume eſtoit couverte.	Et vous serviez Seigneur d'instrument à sa perte, Puisque de vostr nonmivez civme était couverte.
ACHILLE.	ACHILLE.
Quoy, Menelas, Ulyſſe & meſme Agamemnon Pour faire un parricide ont employé mon nom?	Quoi, Ménélas, Ulysse et même Agamemnon Pour faire un parricide ont employé mon nom?
Ulyſſe avec quel front, avec quel artifice M’as-tu parlé tantoſt de ce noir ſacrifice:	Ulysse avec quel front, avec quel artifice M'as-tu parlé tantôt de ce noir sacrifice:
Tyran de mon repos, ſacrilege impoſteur, Mes mains mes propres mains t’arracheront le cœur.	Tyran de mon repos, sacrilège imposteur, Mes mains mes propres mains t'arracheront le cœur.
Madame, dans vos maux ma gloire s’intereſſe, Je partage avec vous la douleur qui vous preſſe, Et je feray bien voir peut-eſtre avec éclat Que je n’ay point de part à ce lâche attentat.	Madame, dans vos maux ma gloire s'intéresse, Je partage avec vous la douleur qui vous presse, Et je ferai bien voir peut-être avec éclat Que je n'ai point de part à ce lâche attentat.
CLYTEMNESTRE voulant ſe jetter Seigneur.	CLYTEMNESTRE voulant se jeter Seigneur.
à ſes genoux.	à ses genoux.
ACHILLE.	ACHILLE.
Que faites-vous?	Que faites-vous?
CLYTEMNESTRE.	CLYTEMNESTRE.
Une Reine affligée Qui par Achille ſeul ſe peut voir protegée, D’un Heros tel que luy dans ſon preſſant malheur Ne ſçauroit jamais trop honnorer la valeur:	Une Reine affligée Qui par Achille seul se peut voir protegée, D'un Héros tel que lui dans son pressant malheur Ne saurait jamais trop honorer la valeur:
Pour eſtre plus ſenſible aux douleurs d’une Mere, Songez, Seigneur, ſongez qu’une Fille ſi chere Qu'on deſtine à la mort, & qu’on veut m’arracher N’eſtoit venuë icy que pour vous y chercher.	Pour être plus sensible aux douleurs d'une Mère, Songez, Seigneur, songez qu'une Fille si chère Qu'on destine à la mort, et qu'on veut m'arracher N'était venue ici que pour vous y chercher.
Voſtre nom va ſervir de pretexre à ſa perte, On vous l’imputeroit ſi vous l’aviez ſoufferte, Et l’on diroit un jour apprenant ſon trépas, Aciie pour la peldre a pius lait que Calcas.	Votre nom va servir de prétexre à sa perte, On vous l'imputerait si vous l'aviez soufferte, Et l'on dirait un jour apprenant son trépas, Acijet pour la peldre à pius lait que Calcas.
ACHILLE.	ACHILLE.
Je ſens que pour combattre une injuſtice extréme Mon courage s’éleve au deſſus de luy-meſme;	Je sens que pour combattre une injustice extrême Mon courage s'élève au dessus de M-même;
Et plus j’oſe y ſonger, moins je puis concevoir Que le Ciel ſoit l’auteur d’un attentat ſi noir.	Et plus j'ose y songer, moins je puis concevoir Que le Ciel soit l'auteur d'un attentat si noir.
Madame, ſuſpendez ces mortelles alarmes, Attendez ce qu’on peut attendre de mes Armes, Ne croyez pas qu’en paix je laiſſe Agamemnon Pour perdre Iphigenie abuſer de mon nom.	Madame, suspendez ces mortelles alarmes, Attendez ce qu'on peut attendre de mes Armes, Ne croyez pas qu'en paix je laisse Agamemnon Pour perdre Iphigénie abuser de mon nom.
Non, de cet attentat le Roy perdra l’envie, Ou d’autles que la Pinle y jaincront la vie, Ie ſuis par tout Achille, & je n’attendray pas Que je ſois devant Troye à ſignaler mon bras.	Non, de cet attentat le Roi perdra l'envie, Ou d'autles que la Pinle y jaincront la vie, Je suis par tout Achille, et je n'attendrai pas Que je sois devant Troie à signaler mon bras.
CLYTEMNESTRE.	CLYTEMNESTRE.
oeur vons entes reipoir de toute mu Pamille, Et ce n’eſt qu’à vous ſeul que je devray ma Fille, N’oſant pas eſperer de vous voir ſon Epoux Je publiray par tout que je la tiens de vous.	oeur vons entre rejoir de toute mu Pamille, Et ce n'est qu'à vous seul que je devrai ma Fille, N'osant pas espérer de vous voir son Époux Je publirai par tout que je la tiens de vous.
ACHILLE.	ACHILLE.
Non, Ulyſſe en ces lieux ſous un feint Hymenée Ne l’aura pas Madame au ſupplice amenée, Son ſtratagême eſt vain, il n’en joüira pas, Et je feray menrir l’Oracle de Calcas.	Non, Ulysse en ces lieux sous un feint Hyménée Ne l'aura pas Madame au supplice amenée, Son stratagème est vain, il n'en joüira pas, Et je ferai menrir l'Oracle de Calcas.
Le ſoin de mon amour, l’intereſt de ma gloire Arreſteront le cours d’une action ſi noire, Vous Vous m’avez honnoré du nom de ſon Eſpoux, Et je conſerveray ce que je tiens de vous.	Le soin de mon amour, l'intérêt de ma gloire Arrêteront le cours d'une action si noire, Vous Vous m'avez honoré du nom de son Époux, Et je conserverai ce que je tiens de vous.
Heureux!	Heureux!
ſi de mon ſort la maiſtreſſe & l’arbitre Souffre que mon amour oſe prendre ce tître, Si je puis l’employant pour luy ſauver le jour Montrer à l’Univers juſqu’où va mon amour.	si de mon sort la maîtresse et l'arbitre Souffre que mon amour ose prendre ce tître, Si je puis l'employant pour lui sauver le jour Montrer à l'Univers jusqu'où va mon amour.
Non, non, elle ne peut tomber que par ia chûte, Et pour elle il n’eſt rien qu’Achille n’execute.	Non, non, elle ne peut tomber que par j' est, Rien qu' Achille il n'est rien qu'Achille n'exécute.
Il faut	Il faut
CLYTEMNESTRE.	CLYTEMNESTRE.
Avant qu’on faſſe un dangereux éclat Par douceur s’il ſe peut prevenons l’attentat, Et voyons ſi mes pleurs, ma plainte & ma priere En faveur de la Fille attendriront le Pere.	Avant qu'on fasse un dangereux éclat Par douceur s'il se peut prévenons l'attentat, Et voyons si mes pleurs, ma plainte et ma prière En faveur de la Fille attendriront le Père.
ACHILLE.	ACHILLE.
Il doit ſe joindre à nous pour ſon propre intereſt, Tout le Camp de Diane ignore encor l’Arreſt, Et le Ciel peut changer l’ordre du ſacrifice;	Il doit se joindre à nous pour son propre intérêt, Tout le Camp de Diane ignore encor l'Arrêt, Et le Ciel peut changer l'ordre du sacrifice;
Mais ſi ce cruel Pere en eſt toûjours complice, Si contre nos deſirs de l’Oracle inhumain Le Camp mieux informé ſeconde le denem, or Tooitine Calcas ne change de langage, On verra ce que peut un Amant qu’on outrage, Que les plus grands perils ne ſçauroient émouvoir, Et qui ne prend de loy que de ſon deſeſpoir.	Mais si ce cruel Père en est toujours complice, Si contre nos désirs de l'Oracle inhumain Le Camp mieux informé seconde le denem, or Tooitine Calcas ne change de langage, On verra ce que peut un Amant qu'on outrage, Que les plus grands périls ne sauraient émouvoir, Et qui ne prend de loi que de son désespoir.
CLYTEMNESTRE.	CLYTEMNESTRE.
O!	Ô!
dans ton infortune heureuſe Iphigenie D’avoir ce defenſeur contre la tyrannie, Qui du vouloir des Dieux cherche à s’autoriſer Et qu’un Pere barbare oſe favoriſer.	dans ton infortune heureuse Iphigénie D'avoir ce défenseur contre la tyrannie, Qui du vouloir des Dieux cherche à s'autoriser Et qu'un Père barbare ose favoriser.
ACHILLE.	ACHILLE.
Souffrez que je la voye, & que j’aille auprés d’elle Prendre pour la deleme une force ſou velle.	Souffrez que je la voie, et que j'aille auprès d'elle Prendre pour la délème une force sou elle.
CLYTEMNESTRE.	CLYTEMNESTRE.
