68 Qis Aſ	68 Qis As
MAXIME.	MAXIME.
Vn crime par qui Rome obtient ſa liberté:	Un crime par qui Rome obtient sa liberté:
EVPHORBE.	EUPHORBE.
Craignez tout d’vn eſprit ſi plein de lâcheté, L’intereſt duſ ays n’eſt point ce qui l’engage, Le ſien, & non la gloirr, anime ſon courage, Il aymeroit Céſar s’il n’eſtoit amoureux, Et n’eſt enfin qu’ingrat & non pas genereux.	Craignez tout d'vn esprit si plein de lâcheté, L'intérêt dus ais n'est point ce qui l'engage, Le sien, et non la gloir, anime son courage, Il aimerait César s'il n'était amoureux, Et n'est enfin qu'ingrat et non pas généreux.
Penſez-vous auoir leu iuſqu’ad fond de ſon ame?	Pensez-vous avoir lu jusqu'ad fond de son âme?
Sous la cauſe publique il vous cachoit ſa flame, Et peut cacher encõr ſous cette paſſion Les deteſtables feux de ſon ambition.	Sous la cause publique il vous cachait sa flamme, Et peut cacher encõr sous cette passion Les détestables feux de son ambition.
Peut eſtre qu’il pretend apres la mort d’Octaue Au lieu d’affranchir Rome en faire ſon eſclaue, Qu’il vous conte deſia pour vn de ſes ſuiets, Ou que ſur voſtre perte il fonde ſes proiets.	Peut été qu'il prétend après la mort d'Octave Au lieu d'affranchir Rome en faire son esclave, Qu'il vous conte déjà pour un de ses sujets, Ou que sur votre perte il fonde ses proisets.
MAXIME.	MAXIME.
Mais comment l’accuſer ſans nommer tout le reA tous nos coniurez l’aduis ſeroit funeſte, (ſte?	Mais comment l'accuser sans nommer tout le reA tous nos conjurés l'avis serait funeste, (ste?
Et par là nous verrions indignement trahis Ceux qu’engage auec nous le ſeul bien du pays.	Et par là nous verrions indignement trahis Ceux qu'engage avec nous le seul bien du pays.
D’vn ſi lâche deſſein mon ame eſt incapable, Il perd trop d’innocens pour punir vn coupable, I’oſe tout contre luy, mais ie crains tout pour eux.	D'un si lâche dessein mon âme est incapable, Il perd trop d'innocents pour punir un coupable, J'ose tout contre elle, mais un crains tout pour eux.
EVPHORBE.	EUPHORBE.
Auguſte s’eſt laſſé d’eſtre ſi rigoureux, B iiij En ces occaſions ennuyé de ſupplîces Avant puny les Chefs il pardonne aux compliees?	Auguste s'est lassé d'être si rigoureux, B ij à ces occasions ennuyé de supplîces Avant puni les Chefs il pardonne aux complices?
Si toutefois pour eux vous craignez ſon couroux, Quand vous luy parlerez, parlez au nom de tous	Si toutefois pour eux vous craignez son courroux, Quand vous lui parlerez, parlez au nom de tous
MAXIME.	MAXIME.
Nous diſputons en vain, & ce n’eſt que folie De vouloir par ſa perte acquerir Æmilie, Ce n’eſt pas le moyen de plaire à ſes beaux yeux Que de priuer du iour ce qu’elle ayme le mieux.	Nous disputons en vain, et ce n'est que folie De vouloir par sa perte acquérir Émilie, Ce n'est pas le moyen de plaire à ses beaux yeux Que de priver du jour ce qu'elle aime le mieux.
Pour moy i’eſtime peu qu’Auguſte me la donne, Ie veux gagner ſon cœur pluſtoſt que ſa perſonne,, 28 ne fais point d’eſtat de ſa poſſeſſion, Si ie n’ay point de part à ſon affection.	Pour moi j'estime peu qu'Auguste me la donne, Je veux gagner son cœur plutôt que sa personne, 28 ne fais point d'état de sa possession, Si grands n'ai point de part à son affection.
Puis-ie la meriter par vne triple offence?	Puis-je la mériter par une triple offense?
Ie trahis ſon amant, ie détruis ſa vangeance, Ie conſerue le ſang qu’elle veut voir perir, Et i’aurois quelque eſpoir qu’elle me peuſt cherit?	Je trahis son amant, une détruis sa vengeance, Je conserve le sang qu'elle veut voir périr, Et j'aurais quelque espoir qu'elle me pût chérit?
EVPHORBE.	EUPHORBE.
C’eſt ce qu’à dire vray ie voy fort difficile, L’artifice pourtant vous y peut eſtre vtile, Il en faut trouuer vn qui la puiſſe abuſer, Et du reſte, le temps en pourra diſpoſer.	C'est ce qu'à -dire vrai assez voy fort difficile, L'artifice pourtant vous y peut être utile, Il en faut trouver un qui la puisse abuser, Et du reste, le temps en pourra disposer.
a MAXIME.	à MAXIME.
Mais ſi pour s’excuſer il nomme ſa complice?	Mais si pour s'excuser il nomme sa complice?
S’il arriue qu’Auguſte auec luy la puniſſe?	S'il arrive qu'Auguste avec lui la punisse?
Puis-ie luy demander pour prix de mon rapport Celle qui nous oblige à conſpirer ſa mort?	Puis-je amour demander pour prix de mon rapport Celle qui nous oblige à conspirer sa mort?
EVPHORBE, Vous pourriez m’oppoſer tant & de tels obſtacles, Que pour les ſur monter il faudroit des miracles, I'eſpere toutefois qu’à force d’y reſuet.	EUPHORBE, Vous pourriez m'opposer tant et de tels obstacles, Que pour les sur monter il faudrait des miracles, J'espère toutefois qu'à force d'y resuet.
MAXIME.	MAXIME.
Va, deuant qu’il ſoit peu ie t’iray retrouuer, Cinna vient, & ie veux en tirer quelque choſe Pour t’aller dire apres ce que ie me propoſe.	Va, devant qu'il soit peu ie t'irai retrouver, Cinna vient, et et veux en tirer quelque chose Pour t'aller dire après ce que personne me propose.
SCENE II.	SCÈNE II.
CINNA, MAXIME.	CINNA, MAXIME.
MAXIME.	MAXIME.
Vous me ſemblez penſif.	Vous me semblez pensif.
CINNA.	CINNA.
Ce n’eſt pas ſans ſuiet,	Ce n'est pas sans sujet,
MAXIME.	MAXIME.
D’vn penſer ſi profond quel eſt le triſte obiet?	D'un penser si profond quel est le triste objet?
CINNA Emilie & Céſar, l’vn & l’autre me geſne, 2 L’vn me ſemble trop bõ, l’autre trop inhumaine.	CINNA Emilie et César, et autre me gêne, 2 ÇIN NA Emilie et César, l'autre trop maine.
Pleuſt aux Dieux que Céſar auecque tous ſes ſoins Ous’en fiſt plus aymer, ou m’aymât vn peu moins Que ſa bonté touchaſt la beauté qui me charme, Et la peuſt adoucir comme elle me deſarme.	Plût aux Dieux que César auecque tous ses soins Ous'en fit plus aimer, ou m'aimât un peu moins Que sa bonté touchât la beauté qui me charme, Et la pût adoucir comme elle me désarme.
:	:
Ie ſens dedans le cœur mille remords cuiſans.	Je sens dedans le cœur mille remords cuisants.
Qui rendent à mes yeux tous ſes bienfaits preſens, Cette faueur ſi pleine & ſi mal recognuë, Par vn mortel reproche à tous momens me tuë;	Qui rendent à mes yeux tous ses bienfaits presens, Cette faveur si pleine et si mal reconnue, Par un mortel reproche à tous moments me tue;
1- Il me ſemble ſur tout inceſſamment le voir Dépoſer en nos mains ſon abſolu pouuoir, Eſcouter nos aduis, m’applaudir & me dire, Cinna, par vos conſeils ie retiendray l’empires Mais ie le retiendray pour vous en faire part, Et ie puis dans ſon ſein enfoncer vn poignard?	1- Il me semble sur tout incessamment le voir Déposer en nos mains son absolu pouvoir, Escouter nos avis, m'applaudir et me dire, Cina, par vos conseils ainsi retiendrai l'empires Mais ainsi le retiendrai pour vous en faire part, Et ainsi puis dans son sein enfoncer un poignard?
Ah pluſtoſt.	Ah plutôt.
Mais helas!	Mais hélas!
i’idolatre Æmilie, Vn ſerment execrable à ſa haine me lie, L’horreur qu’elle a de luy me le rend odieux, Des deux coſtez i’offence & ma gloire & les Je deuiens ſacrilege, ou ie ſuis parricide, (Dieux, Et vers l’vn ou vers l’autre il faut eſtre petfide.	j'idolâtre Æmilie? Un serment exécrable à sa haine me lie, L'horreur qu'elle a de m me le rend odieux, Des deux côtés j'offense et ma gloire et les Je deviens sacrilège, ou sans suis parricide, (Dieux, Et vers l ou vers 'autre il faut être petfide.
MAXIME, Vous n’auiez point tantoſt ces agitations, Vous paroiſſiez plus ferme en vos intentions, Vous ne ſentiez au cœur ny remords ny reproche.	MAXIME, Vous n'aviez point tantôt ces agitations, Vous paraissiez plus ferme en vos intentions, Vous ne sentiez au cœur ni remords ne reproche.
CIINNA.	CIINA.
On ne les ſent auſſi que quand le coup approche, Et l’on ne recognoiſt de ſemblables forfaits Que quand la main s’apreſte à venir aux effets.	On ne les sent aussi que quand le coup approche, Et l'on ne reconnaît de semblables forfaits Que quand la main s'apprête à venir aux effets.
L’ame de ſon deſſein iuſques là poſſedée S’artache aueuglément à ſa premiere idée, Mais alors quel eſprit n’en deuient point troubléi Ou pluſtoſt quel eſprit n’en eſt point accablé?	L'âme de son dessein jusques -là possédée S'artache aveuglément à sa première idée, Mais alors quel esprit n'en devient point troubléi Ou plutôt quel esprit n'en est point accablé?
Ie croy que Brute meſme à quel point qu’on le Voulut plus d’vne fois rõpre ſon entrepriſe, Ipriſe Et qu’auant que frapper elle luy fit ſentir Plus d’vn remords en l’ame & plus d’vn repentir.	Je crois que Brute même à quel point qu'on le Voulut plus d'une fois rõpre son entreprise, Jrise Et qu'avant que frapper elle a fit sentir Plus d'être remords en l'âme et plus d'un repentir.
MAXIME.	MAXIME.
Il eut trop de vertu pout tant d'iquietule, Al ne ſoupçonna point ſa main d’ingratitude, Et fut contre vn tyran d’autant plus animé Qu’il en receut de biens, & qu’il s’en vit aymé.	Il eut trop de vertu pout tant d'iquiétule, Al ne soupçonna point sa main d'ingratitude, Et fut contre un tyran d'autant plus animé Qu'il en reçut de biens, et qu'il s'en vit aimé.
Comme vous l’imitez faites la meſme choſe, Et formez vos remords d’vne plus iuſte cauſe, De vos laſches conſeils qui ſeuls ont arreſté Le bon heur renaiſſant de noſtre liberté:	Comme vous l'imitez faites la même chose, Et formés vos remords d'une plus juste cause, De vos lâches conseils qui seuls ont arrêté Le bon heur renaissant de notre liberté:
C’eſt vous ſeul' auiourd’huy qui nous l’auez oſtée, De la main de Céſar Brute l’euſt acceptée, Et n’euſt iamais ſouffert qu’vn intereſt leger De vangeance ou d’amour l’euſt remiſe en dãger.	C'est vous seul aujourd'hui qui nous l'avez ôtée, De la main de César Brute l'eût acceptée, Et n'eût jamais souffert qu'elle intérêt léger Dé ance ou d'amour l'eût remise en dansger.
N’écoutez plus la voix d vn tyran qui vous ayme, Et vous veut faire part de ſon pouüoir ſupréme, Mais entendez crier Rome à voſtre coſté, Rends moy, rends moy, Cinna, ce que tu m’as Erſi tu m'as tantoſt preferé ta maiſtreſſe, (oſtéNe me prefere pas le tyran qui m’oppreſſe.	N'écoutez plus la voix dommes tyran qui vous aime, Et vous veut faire part de son pouvoir suprême, Mais entendez crier Rome à votre côté, Rends moi, rends moi, Cina, ce que tu m'as Ersi tu m'as tantôt préféré ta maîtresse, (ostéNe me préfère pas le tyran qui m'oppresse.
CINNA.	CINNA.
Amy, n’accable plus vn eſprit malheureux Qui meſme fait en lâche vn acte genereux.	Ami, n'accable plus un esprit malheureux Qui même fait en lâche un acte généreux.
Enuers nos citoyens ie ſçay quelle eſt ma faute, Et leur tendray bien-toſt tout ce que ie leur oſte, Mais pardonne aux àbois d’vne vieille amitié Qui ne peut expirer ſans me faire pitie, Et laint Moy, de grace, attendant Miiile Donner vn libre cours à ma melancolie, Mon chagrin t’importune, & le trouble où ie ſuis Veut de la ſolitude à calmer tant d’ennuis.	Envers nos citoyens était sais quelle est ma faute, Et leur tendrai bientôt tout ce que sans leur ôte, Mais pardonne aux àbois d'une vieille amitié Qui ne peut expirer sans me faire pitié, Et laint Moi, de grâce, attendant Miile Donner un libre cours à ma mélancolie, Mon chagrin t'importune, et le trouble où suis mille Veut de la solitude à calmer tant d'ennuis.
asne.	Une.
Vous voulez rêdre conte à l’obiet qui vous bleſſe De la bonté d’octaue, & de voſtre foibleſſe, L’entretien des amans veut vn entier ſectet:	Vous voulez rêdre compte à l'objet qui vous blesse De la bonté d'octave, et de votre faiblesse, L'entretien des amants veut un entier sectet:
Adieu, ie me retire en confident diſcret.	Adieu, Seigneur me retire en confident discret.
B vj	B vi
SCENE III.	SCÈNE III.
CINNA.	CINNA.
Ve tu ſçais mal nommer le glorieux emplre ODu noble ſentiment que la vertu m’inſpire, Et que l’honneur oppoſe au coup precipisé De mon ingratitude & de ma lâcheté!	Ve tu sais mal nommer le glorieux emplère ODu noble sentiment que la vertu m'inspire, Et que l'honneur oppose au coup précipisé De mon ingratitude et de ma lâcheté!
Mais pluſtoſt qu’à bon droit tu le nõmes foibleſſe, Puiſqu’il deuient ſi foible auprés d’vne maiſtreſſe, Qu’il reſpecte vn amour qu’il déuroit étouffer, Ou s’il l’oſe combatre, il n’oſe en triomfer!	Mais plutôt qu'à bon droit tu le nomme faiblesse, Puisqu'il devient si faible auprès d'une maîtresse, Qu'il respecte un amour qu'il devrait étouffer, Ou s'il l'ose combattre, il n'ose en triomfer!
En ces extremitez quel conſeil dois-ie prendre?	En ces extrémités quel conseil dois-je prendre?
De quel coſté pancher?	De quel côté pencher?
à quel party me rendre?	à quel parti me rendre?
Qu’vne ame genereuſe a de peine à faillir!	Qu'une âme généreuse a de peine à faillir!
Quelque fruit que par là i’eſpere de cueillir, Les douceurs de l’amour, celles de la vangeance, La gloire d’affranchir le lieu de ma naiſſance, N’ont point aſſez d’apas pour flatter ma raiſon S’il les faut acquerir par vne trahiſon, S’il faut percer le flanc d’vn Prince magnanime, Qui du peu que ie ſuis fait vne telle eſtime, Qui me comble d’honneurs, qui m’accable de biẽs, Qui ne prend pour regner de conſeils que les miẽs, O coup, ô trahiſon trop indigne d’vn homme!	Quelque fruit que par là j'espère de cueillir, Les douceurs de l'amour, celles de la vengeance, La gloire d'affranchir le lieu de ma naissance, N'ont point assez d'appas pour flatter ma raison S'il les faut acquérir par une trahison, S'il faut percer le flanc d'un Prince magnanime, Qui du peu que ie suis fait ton telle estime, Qui me comble d'honneurs, qui m'accable de biens, Qui ne prend pour régner de conseils que les men, POUR coup, ô trahison trop indigne d'un homme!
Dure, dure à iamais l’eſclauage de Rome, Periſſe mon amour, periſſe mon eſpoir Pluſtoſt que de ma main parte vn crime ſi noir.	Dure, dure à jamais l'esclavage de Rome, Périsse mon amour, périsse mon espoir Plutôt que de ma main parte un crime si noir.
Quoy?	Quoi?
ne m’offre-t’il pas tout ce que ie ſouhaite, Et qu’au prix de ſon ſang ma paſſion achepte?	ne m'offre-t-il pas tout ce que . souhaite, Et qu'au prix de son sang ma passion achette?
Pout iouyr de ſes dons faut-il l’aſſaſſiner?	Pout jouir de ses dons faut-il l'assassiner?
Et faut il luy rauir ce qu’il me veut donner?	Et faut -il était ravir ce qu'il me veut donner?
Mais ie dépends de vous, o lerment remeraire;	Mais ici dépends de vous, ô lerment remeraire;
O haine d’Æmilie, ô ſouuenir d’vn pere, Ma foy, mon cœur, mõ bras, tout vous eſt engagé, Et ie ne puis plus rien que par voſtre congé.	Ô haine d'Imilie, ô souvenir d'un père, Ma foi, mon cœur, mon bras, tout vous est engagé, Et ainsi ne puis plus rien que par votre congé.
C’eſt à vous à regler ce qu’il faut que ie face, C’eſt à vous.	C'est à vous à régler ce qu'il faut que votre face, C'est à vous.
Emilie, à luy donner ſa grace, Vos ſeules volontez preſident à ſon ſort, Et tiennent en mes mains & ſa vie & ſa mort.	Emilie, à quoi donner sa grâce, Vos seules volontés président à son sort, Et tiennent en mes mains et sa vie et sa mort.
O Dieux, qui comme vous la rendez adorable, Rendez-la comme vous à mes vœux exorable, Et puiſque de ſes loix ie ne puis m’affranchir, Faites qu’à mes deſirs ie la puiſſe fléchir.	Ô Dieux, qui comme vous la rendez adorable, Rendez-la comme vous à mes vœux exorable, Et puisque de ses lois atte puis m'affranchir, Faites qu'à mes désirs on la puisse fléchir.
Mais voicy de Ietour cette belle Innumaine.	Mais voici de Jétour cette belle Inumaine.
2	2
SCENE IV.	SCÈNE IV.
ÆMILIE, CINNA.	ÆMILIE, CINA.
FVLVIE.	FULVIE.
ÆMILIE.	NEMILIE.
Races aux Dieux, Cinna, ma frayeur eſtoie ¶ vaine, Tes amis genereux n’ont point manqué de foy, Et ne m’ont point reduite à m’employer pour toy, Octaue en ma preſence a tout dit à Liuie, Et par cette nouuelle il m’a rendu la vie.	Races aux Dieux, Cinna, ma frayeur étoie vaine, Tes amis généreux n'ont point manqué de foi, Et ne m'ont point réduite à m'employer pour toi, Octave en ma présence a tout dit à Livie, Et par cette nouvelle il m'a rendu la vie.
CINNA.	CINNA.
Le deſaduoürez-vous, & du don qu’il me fait Voudrez-vous retarder le bien-heureux effet?	Le desaduoürez-vous, et du don qu'il me fait Voudrez-vous retarder le bienheureux effet?
ÆMILIE.	NEMILIE.
L’effet eſt en ta main.	L'effet est en ta main.
CINNA.	CINNA.
Mais pluſtoſt en la voſtre.	Mais plutôt en la vôtre.
Æ MILIE.	NE MILIE.
Ie ſuis touſiours moy-meſme, & mon cœur n’eſt point autre, qe uoimner à Cinna, c’eſt ne luy dontier rien, O eit ſeurchent luy rane vn prerent de ron bien.	Je suis toujours moi-même, et mon cœur n'est point autre, qe oimner à Cinna, c'est neeste dontier rien, Ô eit seurchent de rane un prérent de ron bien.
CINNA.	CINNA.
Vous pouuez toutefois.	Vous pouvez toutefois.
O Ciel!	Ô Ciel!
l’oſay-je dire?	l'osai-je dire?
ÆMILIE.	NEMILIE.
Que puis-je, & que crains-tu?	Que puis-je, et que crains-tu?
CINNA.	CINNA.
Ie tremble, ie foûpire mt ii nos cæurscrcoron ouhxormes eis deſirs, Ie n’aurois pas beroiir d’expliquer mes ſoûpirs?	Je tremble, ie foûpire m' hui nos cæurscroron ouhxormes eis désirs, Je n'aurais pas beroiir d'expliquer mes soupirs?
Ainſi ie ſuis trop ſeur que ie vay vous déplaire, Mais ie n’oſe parler & ie ne me puis taire.	Ainsi ici suis trop sûr que ie sans vous déplaire, Mais tu n'ose parler et apprendre ne me puis taire.
Æ'MILIE.	Æ'MILIE.
C’eſt trop me geſner, parle.	C'est trop me gêner, parle.
CINNA.	CINNA.
Il faut vous obeyt, Ie vay donc vous déplaire, & vous m’allez haïr.	Il faut vous obéir, Je vais donc vous déplaire, et vous m'allez haïr.
Ie vous ayme, Æmilie, & le Ciel me ſoudroye Si cette paſſion ne fait toute ma joye, Et ſi ie ne vous ayme auec touté l’ardeur Que peut vn bel objet attendre d’vn grand cœur?	Je vous aime, Immilie, et le Ciel me soudroie Si cette passion ne fait toute ma joie, Et si bon ne vous aime avec touté l'ardeur Que peut un bel objet attendre d'un grand cœur?
Mais voyez à quel prix vous me donnez voſtre ame, En me rendant heureux, vous me rendez infame, Cette bonté d’Auguſte.	Mais voyez à quel prix vous me donnez votre âme, En me rendant heureux, vous me rendez infâme, Cette bonté d'Auguste.
ÆMILIE.	NEMILIE.
Il ſuffit, ie t’entends, Ielvoy ton repentir & tes vœux inconſtans, Les faueurs du tyran emportent tes promeſſes, Tes feux & tes ſermens cedent à ſes careſſes, Et ton eſprit credule oſe s’imaginer Qu’Auguſte pouuant tout peut auſſi me donner, Tu me veux de ſa main pluſtoſt que de la miẽne, Mais ne croy pas qu’ainſi iamais ie t’apartiennes Il peut faire trembler la terre ſous ſes pas, Ietter vn Roy du trône & donner ſes Eſtats, De ſes proſcriptions rougir la terre & l’onde, Et changer à ſon gré l’ordre de tout le monde:	Il suffit, Seigneur t'entends, Jelvoy ton repentir et tes vœux inconstôt, Les faveurs du tyran emportent tes promesses, Tes feux et tes serments cèdent à ses caresses, Et ton esprit crédule ose s'imaginer Qu'Auguste pouvant tout peut aussi me donner, Tu me veux de sa main plutôt que de la miène, Mais ne crois pas qu'ainsi jamais ie t'appartiennes Il peut faire trembler la terre sous ses pas, Jetter un Roy du trône et donner ses États, De ses proscriptions rougir la terre et l'onde, Et changer à son gré ordre de tout le monde:
Mais le cœur d’Æmilie eſt hors de ſon pouuoir.	Mais le cœur d'Apmilie est hors de son pouvoir.
CINNA.	CINNA.
Auſſi n’eſt-ce qu’à vous que ie le veux deuoîr;	Aussi n'est-ce qu'à vous que deux le veux deuoîr;
Ie ſuis toufiours moy-meſme, & ma foy touſiours pure, La pitié que ie ſens ne me rend point pariure, I’obey ſans reſerue à tous vos mouuemens, Et prends vos intereſts par dela mes ſermens.	Je suis toufiours moi-même, et ma foi toujours pure, La pitié que ie sens ne me rend point parjure, J'obéi sans réserve à tous vos mouvements, Et prends vos intérêts par déla mes serments.
I’ay pû, vous le ſçauez, ſans parjure & ſans crime, Vous laiſſer échapper cette illuſtre victime, Céſar ſe dépoüillant du pouuoir ſouuerain Nous oſtoit tout prétexte à luy perçer le ſeins La conjuration s’en alloit diſſipée.	J'ai pu, vous le savez, sans parjure et sans crime, Vous laisser échapper cette illustre victime, César se dépouillant du pouvoir souuerain Nous ôtait tout prétexte à lui perçer le seins La conjuration s'en allait dissipée.
Vos deſſeins auortez, voſtre haine trompée, Moy ſeul i’ay raffermy ſon eſprit eſtonné, Et pour vous l’immoler ma main l’à couronné.	Vos desseins avortez, votre haine trompée, Moi seul j'ai raffermi son esprit étonné, Et pour vous l'immoler ma main l'à couronné.
EMILIE.	EMILIE.
Pour me l’immoler, traiſtre!	Pour me l'immoler, traître!
& tu veux que moy.	et tu veux que moi.
meſme Ie retienne ta main!	même Je retienne ta main!
qu’il viue & que ie l’aymer Que ie ſois le butin de qui l’oſe épargner, Et le prix du conſeil qui le force a regner?	qu'il vive et que ici l'aimer Que on sois le butin de qui l'ose épargner, Et le prix du conseil qui le force a régner?
CINNA.	CINNA.
Ne me condamnez point quand ie vous ay ſeruie, Sãs moy vous n’auriez plus de pouuoir ſur ſa vie, Et malgré ſes bienfaits ie rends tout à l’amour Quand ie veux qu’il periſſe ou vous doiue le iour.	Ne me condamnez point quand ie vous ai servie, Sans moi vous n'auriez plus de pouvoir sur sa vie, Et malgré ses bienfaits sans rends tout à l'amour Quand Je veux qu'il périsse ou vous doive le jour.
Auec les premiers vœux de mon obeyſſance, Souffrez ce foible effort de ma recognoiſſance, Que ie tâche de vaincre vn indigne couroux, Et vous dõner pour luy l’amour qu’il a pour vous.	Avec les premiers vœux de mon obéissance, Souffrez ce faible effort de ma reconnaissance, Que ie tâche de vaincre un indigne courroux, Et vous donner pour lui l'amour qu’il a pour vous.
Vne ame genereuſe & que la vertu guide Fuit la honte-des noms d’ingrate & de perfide, Elle en hait l’infamie artachée au bon-heur, Et n’accepte aucun bien aux deſpens de l’hõneur.	Une âme généreuse et que la vertu guide Fuit la honte-des noms d'ingrate et de perfide, Elle en hait l'infamie artachée au bonheur, Et n'accepte aucun bien aux dépens de l'honneur.
ÆMILIE.	NEMILIE.
at lais grorte pour moy duuutuuquominie, La perfidie eſt noble enuers la tyrannie, Et quand il faut répandre vn ſang ſi malheureux, Les cœurs les plus ingrats ſont les plus genereux.	at lais grorte pour moi duutuquominie, La perfidie est noble envers la tyrannie, Et quand il faut répandre un sang si malheureux, Les cœurs les plus ingrats sont les plus généreux.
CINNA.	CINNA.
Vous faites des vertus au gré de voſtre haine.	Vous faites des vertus au gré de votre haine.
ÆMILIE.	NEMILIE.
Ie me fais des vertus dignes d’vne Romaine.	Je me fais des vertus dignes d'une Romaine.
CINNA.	CINNA.
Vn cœur vrayment Romain.	Un cœur vraiment Romain.
ÆMILIE.	NEMILIE.
Oſe tout pour rauïr Et le ſang & la vie à qui le fait ſeruir, Il fuit plus que la mort la honte d’eſtre eſclaue.	Ose tout pour ravir Et le sang et la vie à qui le fait servir, Il fuit plus que la mort la honte d'être esclaue.
CINNA.	CINNA.
C’eſt l’eſtre auec honneur que de l’eſtre d’Octaue, Et nous voyons ſouuent des Roys à nos genoux Implorer la faueur d’eſclaues tels que nous.	C'est l'être avec honneur que de l'être d'Octave, Et nous voyons souvent des Rois à nos genoux Implorer la faveur d'esclaves tels que nous.
Il abaiſſe à nos pieds l’orgueil des Diadémes, Il nous fait ſouuerains ſur leurs grandeurs ſuprémes, Il prend d’eux les tributs dont il nous enrichit, Et leur impoſe vn joug dont il nous affranchit,	Il abaisse à nos pieds l'orgueil des Diadèmes, Il nous fait souverains sur leurs grandeurs suprêmes, Il prend d'eux les tributs dont il nous enrichit, Et leur impose un joug dont il nous affranchit,
ÆMILIE.	NEMILIE.
L’indigne ambition que ton cœur ſe propoſe!	L'indigne ambition que ton cœur se propose!
Pour eſtre plus qu’vn Roy tu te crois quelque choſe !	Pour être plus qu'un Roi tu te crois quelque chose !
Aux deux bouts de la terre en eſt-il d’aſſez vain Pour pretendre égaler vn citoyen Romain?	Aux deux bouts de la terre en est-il d'assez vain Pour prétendre égaler un citoyen Romain?
Antoine ſur ſa teſte attira noſtre haine En ſe deshonorant par l’amour d’vne Reyne, Attale, ce grand Roy dans la pourpre blanchy Qui du peuple Romain ſe nommoit l’affranchy, Quand de toute l’Aſie il ſe fuſt veu l’arbitre, Euſt encor moins priſé ſon trône que ce-riltre.	Antoine sur sa tête attira notre haine En se déshonorant par l'amour d'une Reine, Atale, ce grand Roi dans la pourpre blanchi Qui du peuple Romain se nommait l'affranchi, Quand de toute l'Asie il se fût vu l'arbitre, Eut encor moins prisé son trône que ce-riltre.
Souuien-toy de ton nom, ſouſtien ſa dignité, it prenant d’vn Romain la generoſité.	Souvien-toi de ton nom, soutien sa dignité, it prenant d'un Romain la générosité.
sçache qu’il n’en eſt point que le Ciel n’ait fáit naiſtre Pour commander aux Roys, & pour viure ſans maiſtre.	sache qu'il n'en est point que le Ciel n'ait fit naître Pour commander aux Rois, et pour vivre sans maître.
CINNA.	CINNA.
Le Ciel a trop fait voir en de tels’attentats Qu’il hait les aſſaſſints, & punit les ingrats, Et quoy qu’on entreprẽne, & quoy qu’on execute, Quand il éleue vn trône il en vange la cheute, Il ſe met du party de ceux qu’il fait regner, Le coup dont on les tuë eſt long-temps à ſeigner, At qualld à les pum ira pa lereiouure, De pareils chaſtimens n’appartiennent qu’au foudre.	Le Ciel a trop fait voir en de tels'attentats Qu'il hait les assassints, et punit les ingrats, Et quoi qu'on entreprendre, et quoi qu’on exécute, Quand il élève un trône il en venge la chute, Il se met du parti de ceux qu'il fait régner, Le coup dont on les tue est longtemps à seigner, At quald à les pum ira le pare, De pareils châtiments n'appartiennent qu'au foudre.
ÆMILIE.	NEMILIE.
Dy que de leur party toy-meſme tu te rends, De te remettre au foudre à punir les tyrans, Ie ne t’en parle plus, va, ſers la tyrannie, Abandonne ton ame à ſon lâche Genie, Et pour rendre le calme à ton eſprit flottant, Oublie, & ta naiſſance, & la vie qui t’attend.	Dis que de leur parti toi-même tu te rends, De te remettre au foudre à punir les tyrans, Je ne t'en parle plus, va, sers la tyrannie, Abandonne ton âme à son lâche Génie, Et pour rendre le calme à ton esprit flottant, Oublie, et ta naissance, et la vie qui t'attend.
Ie ſçauray bien ſans toy dans ma noble colere, Vanger les fers de Rome & le ſang de mon pere;	Je saurai bien sans toi dans ma noble colère, Venger les fers de Rome et le sang de mon père;
I’aurois deſia l’honneur d’vn ſi fameux trépas, Si l’amour iuſqu’icy n’euſt arreſté mon bras.	J'aurais déjà l'honneur d'un si fameux trépas, Si l'amour jusqu'ici n'eût arrêté mon bras.
C’eſt luy qui ſous tes loix me tenant aſſeruie M’a fait en ta faueur prendre ſoin de ma vie, Seule contre vn tyran en le faiſant perir Par les mains de ſa garde il me falloit mourit, Ie t’euſſe par ma mort deſrobé ta captiue, Et comme pour toy ſeul l’amour veut que ie vlué I’ay voulu, mais en vain, me conſeruer pour toy, Et te donner moyen d’eſtre digne de moy.	C'est lui moyen sous tes lois me tenant asservie M'a fait en ta faveur prendre soin de ma vie, Seule contre un tyran en le faisant périr Par les mains de sa garde il me fallait mourit, Je t'eusse par ma mort dérobé ta captive, Et comme pour toi seul l'amour veut que ie tué J'ai voulu, mais en vain, me conserver pour toi, Et te donner moyen d'être digne de moi.
