NCTEVRS.	NCTEURS.
APRICE.	APPRICE.
ICE.	ICE.
Ouy tu deurois ſans doute, ô dernier des Chreſtiens!	Oui tu devrais sans doute, ô dernier des Chrétiens!
Perdre icy cette vie & ce ſang & ces biens.	Perdre ici cette vie et ce sang et ces biens.
CHRISTINE.	CHRISTINE.
Tama tæur, ie te prie encore vne priere.	Tama tæur, Seigneur te prie encore une prière.
CALISTE.	CALISTE.
He!	He!
Seigneur, faites nous la grace toute entiere.	Seigneur, faites -nous la grâce toute entière.
APRICE.	APPRICE.
Ie vous la fais, Madame, & ce iour eſt trop beau, Pour ſe voir obſcurci des ombres du Tombeau, Mais pour vous faire voir iuſques où peut s’eſtendre.	Je vous la fais, Madame, et ce jour est trop beau, Pour se voir obscurci des ombres du Tombeau, Mais pour vous faire voir jusques où peut s'étendre.
Vn amour toute forte, vne amour toute tendre, Va t’en, va, Flauien, rendre la liberté Aux gens de cette ieune & parfaite beauté.	Un amour toute forte, une amour toute tendre, Va t'en, va, Flavien, rendre la liberté Aux gens de cette jeune et parfaite beauté.
FLAVIEN.	FLAVIEN.
Mais, Seigneur.	Mais, Seigneur.
PRICE.	PRICE.
Va, te dis-ie, obeï ſans replique, Et s’il faut l’a deſſus encor que ie m’explique, Va t’en de ſon Palais retirer ſes ſoldats.	Va, te dis-je, obéir sans réplique, Et s'il faut l'a dessus encor que ie éclique, Va t'en de son Palais retirer ses soldats.
L’Amour le veut ainſi, va.	L'Amour le veut ainsi, va.
LAVIEN.	LAVIEN.
I'yway de ce pas.	J'yway de ce pas.
SCENE.	SCÈNE.
SCENE VII.	SCÈNE VII.
APRICE.	APPRICE.
ATHEMODORE.	ATHÉMODORE.
CHRISTINE.	CHRISTINE.
DOROTHE’E.	DOROTHÉÉE.
CALISTE.	CALISTE.
THEOPHILE.	THÉOPHILE.
APRICE.	APPRICE.
Our toy, ſuy ſi tu veux ta maiſtreſſe ou ton Y maiſtre;	Our toi, suis si tu veux ta maîtresse ou ton Y maître;
Mais taſche d’eſtre tel que le Ciel t’a fait naiſtre:	Mais tâche d'être tel que le Ciel t'a fait naître:
Di foit tomme diſciple ou comme ſeruiteur, Ceſſe d’eſtre ou pluſteſt redeuiens deſerteur.	Dis soit tomme disciple ou comme serviteur, Cesse d'être ou plaît receviens déserteur.
Quitte, quitte ton Dieu contraire à tous les autres.	Quitte, quitte ton Dieu contraire à tous les autres.
ATHEMODORE.	ATHÉMODORE.
Mais pluſtoſt, ô Seigneur!	Mais plutôt, ô Seigneur!
abandonneZ les voſtres, Qui ne ſont à vray dire.	abandonnez les vôtres, Qui ne sont à vrai dire.
CHRISTINE.	CHRISTINE.
Hé!	Hé!
de grace tay toy.	de grâce tai toi.
DORCOIHER Fay ce qu’elle te dit.	DORCOIHÉR Fay ce qu'elle te dit.
CALISTE.	CALISTE.
Il n'eſt pas bien a ſoy.	Il n'est pas bien à soi.
APRICÉ.	APRICÉ.
Excuſez le, Seigneur, ſouffrez que ie l’amene, Et teneZ deſſus luy ma v ctoire certaine.	Excusez le, Seigneur, souffrez que sans l'amène, Et tenez dessus aux ma ma vtoire certaine.
RICE.	RICE.
Uſez en, ô Madame!	Usez en, ô Madame!
ainſi au il vous plaira.	ainsi au il vous plaira.
CALISTE.	CALISTE.
Pour toutes ces faueurs l’amour ſatisfera Dorothée, Ma Sœur, Athemodore, Eliſe, Suiuez oniuez moy maintenum que lout nous fauoriſe.	Pour toutes ces faveurs l'amour satisfera Dorothée, Ma Sœur, Athémodore, Élise, Suivez onivez moi maintenum que lout nous favorise.
Allons.	Allons.
DOROTHE’E.	DOROTHÉÉE.
CHRISTINE.	CHRISTINE.
Eſloignons nous de ce lieu mal’heureux, Où tout eſt redoutable, où tout eſt dangereux,	Éloignons nous de ce lieu malheureux, Où tout est redoutable, où tout est dangereux,
A1PIAGODONE.	A1PIAGODONE.
Allons, aimable Eliſe, accroiſtre tes conqueſtes.	Allons, aimable Élise, accroître tes conquêtes.
ELISE.	ÉLISE.
Allons, puis que le Ciel eſpargne encor nos teſtes.	Allons, puis que le Ciel épargne encor nos têtes.
SCENE VIII.	SCÈNE VIII.
APRICE.	APPRICE.
THEOPHILE.	THÉOPHILE.
APRICE.	APPRICE.
E'!	E'!
bien, fidelle Ami, ſeachant ce que i’ay fait, d mcen connotsetu tu cunpe veufpe oten que l'effet?	bien, fidèle Ami, seachant ce que j'ai fait, d mécen connotsetu tu cunpe veufpe oten que l'effet?
THEOPHILE.	THÉOPHILE.
Si i’eſtois, cher Aprice, encore à la connoiſtre, Ie ne te ſerois pas ce que i'ay l'honneur d’eſtre.	Si j'étais, cher Aprice, encore à la connaître, Je ne te serais pas ce que j'ai l'honneur d'être.
PRICE.	PRICE.
Ha!	Ha!
tu deuois auoir vn peu mieux ajouſté Que ie ne ſerois pas ce que i’aurois eſté.	tu devais avoir un peu mieux ajouté Que je ne serais pas ce que j'aurais été.
THEOPHILE.	THÉOPHILE.
Si ie parlois ainſi ie ſerois tres-coûpable, Puis que de changement ie te crois incapable.	Si ici parlais ainsi Dieux serais très-coûpable, Puis que de changement ie te crois incapable.
PRICE.	PRICE.
O que ſur l’apparence on ſe trompe ſouuent, qu’vn tel fondement eſt freſle & deceuant!	Ô que sur l'apparence on se trompe souvent, qu'un tel fondement est fêle et décevant!
Quoy que c’en ſoit, dy moy, quelle eſt donc ta penJee ?	Quoi que c'en soit, dis -moi, quelle est donc ta penJee ?
Quel Dieu, qu'elle puiſſance à mon ame pouſſée?	Quel Dieu, qu'elle puissance à mon âme poussée?
Eſt ce l’amitié ſeule ou l’amour ſeulement?	Est -ce l'amitié seule ou l'amour seulement?
Ay-ie agy comme Ami pluſtoſt que comme amant?	Ai-je agi comme Ami plutôt que comme amant?
Parle, cher Tneophile, & dy ce qui t’en ſemble.	Parle, cher Tneophile, et dis ce qui t'en semble.
THEOPHILE.	THÉOPHILE.
L’Amour & l’amitié t’ont fait agir enſemble.	L'Amour et l'amitié t'ont fait agir ensemble.
Il eſt vray que l’Amour ſurmontant l’amitié, T y doit auoir pouſſé plus fort de la moitié;	Il est vrai que l'Amour surmontant l'amitié, T y doit avoir poussé plus fort de la moitié;
Noſtre inclination eſtant beaucoup plus lente A Seruir un Ami, qu’à ſeruir vne Amante;	Notre inclination étant beaucoup plus lente À Servir un Ami, qu'à servir une Amante;
En voila donc la cauſe, ô genereux Ami!	En voilà donc la cause, ô généreux Ami!
APRICE, Ha!	APPRICE, Ha!
tu ne la connois encore qu’à demi, Et quoy que t’on eſprit ſoit tout plein de lumiere, Et ne l’a pû pourtant découurir toute entiere.	tu ne la connais encore qu'à demi, Et quoi que t'on esprit soit tout plein de lumière, Et ne l'a pu pourtant découvrir toute entière.
En effet, puis qu’il faut te parler nettement, Huuone pruo ouanommon iuſe changement, Dy moy, ne crois-tu pas que l’amour de Caliſte M'au fait ſans m'emporter ſouffrir qu'on me reſiſte?	En effet, puis qu'il faut te parler nettement, Huone pruo ouanommon juse changement, Dis -moi, ne crois-tu pas que l'amour de Caliste M'au fait sans m'emporter souffrir qu'on me résiste?
Ie te l’auouë.	Je te l'avoue.
THEOPHILE.	THÉOPHILE.
APRICE.	APPRICE.
Et moy, ie t’auouë à mon tour, Que ce n’a point eſté cette apparente amour, Mais bien vn feu ſecret, qui ſans pouſſer de flame S’eſt tres-ſoudainement emparé de mon ame.	Et moi, Seigneur t'avoue à mon tour, Que ce n'a point été cette apparente amour, Mais bien un feu secret, qui sans pousser de flamme S'est très -soudainement emparé de mon âme.
THEOPHILE.	THÉOPHILE.
O Dieux!	Ô Dieux!
le doy-ie croire?	le dois-je croire?
ARSICE	ARSICE
APRICE.	APPRICE.
Oüy, oüy, que tu le dois, Puis qu’il n’eſt pas moins vray, qu’il l’eſt que tu me vois.	Oui, oui, que tu le dois, Puis qu'il n'est pas moins vrai, qu'il l'est que tu me vois.
THEOPHILE.	THÉOPHILE.
Ha!	Ha!
non ce changement me paroiſt impoſſible, Et ie croirois pluſtoſt que tu n’es pas viſible.	non ce changement me paraît impossible, Et tu croirais plutôt que tu n'es pas visible.
Quoy, Caliſte n’a plus nulle place en ton cœur?	Quoi, Caliste n'a plus nulle place en ton cœur?
Quoy quelque obiet nouueau s’en eſt rẽdu vainqueur?	Quoi quelque objet nouveau s'en est rendu vainqueur?
Non non, ie n’en crois rien, cela ne ſe peut faire;	Non non, Seigneur n'en crois rien, cela ne se peut faire;
L’amitié, la raiſon me diſent le contraire.	L'amitié, la raison me disent le contraire.
APRICE.	APPRICE.
O que tu connois mal, l’amour & ſon tiſon, Si tu crois l’amitié, ſi tu crois la raiſon!	Ô que tu connais mal, l'amour et son tison, Si tu crois l'amitié, si tu crois la raison!
TIIEOIHIE E.	TIIEOIHIE E.
Mais encor cher ami, d'où vient donc ta défaite?	Mais encor cher ami, d'où vient donc ta défaite?
Qui pourroit auoir fait cette illuſtre conqueſte?	Qui pourrait avoir fait cette illustre conquête?
RICE.	RICE.
Vn parfait racourci de toute la beauté, Un miracle, vn prodige, vne diuinité.	Un parfait racourci de toute la beauté, Un miracle, un prodige, une divinité.
Mais las!	Mais las!
vne Déeſſe, vn miracle, vn prodige, Que ie viens d'aſſiger & quil faut que i’afflige.	une Déesse, un miracle, un prodige, Que ie viens d'assiger et quil faut que j'afflige.
THEOPHILE.	THÉOPHILE.
L’on diroit ſans mentir à t’entendre parler, Que Dorothée enfin commence à te bruler.	L'on dirait sans mentir à t'entendre parler, Que Dorothée enfin commence à te brûler.
APRICE.	APPRICE.
Il eſt vray, que ſert-il que ie le diſſimule?	Il est vrai, que sert-il que je le dissimule?
C’eſt cette belle fille à preſent qui me brule.	C'est cette belle fille à présent qui me brule.
THEOPHILE.	THÉOPHILE.
C’eſt cette belle fille?	C'est cette belle fille?
Ha!	Ha!
non, en bonne foy Quand tu parles ainſi tu te ioües de moy.	non, en bonne foi Quand tu parles ainsi tu te joues de moi.
Quoy tu pourrois aimer, en n'aimant plus Caliſte, Celle qui dans ſa haine obſtinément perſiſte?	Quoi tu pourrais aimer, en n'aimant plus Caliste, Celle qui dans sa haine obstinément persiste?
Celle à qui tu voulois faire perdre le iour, Parce qu’elle vouloit te rauir ſon amour?	Celle à qui tu voulais faire perdre le jour, Parce qu'elle voulait te ravir son amour?
Celle qui touſiours fiere & touſiours plus rebelle N’a pour les immortels qu’vne haine immortelle?	Celle qui toujours fière et toujours plus rebelle N'a pour les immortels qu'une haine immortelle?
Celle que les Edits d’vn tres iuſte Empereur Condamnent à la mort pour punir ſon erreur?	Celle que les Édits d'autre très juste Empereur Condamnent à la mort pour punir son erreur?
Celle enfin qui d’amour n'eſt pas moins incapable, Qu'elle eſt viſiblement de cent crimes coûpable?	Celle enfin qui d'amour n'est pas moins incapable, Qu'elle est visiblement de cent crimes coupable?
He!	He!
genereux Ami, n’en vze pas ainſi, Si tu ne veux comme elle eſtre coûpable auſſi.	généreux Ami, n'en use pas ainsi, Si tu ne veux comme elle était coupable aussi.
Ce feu chocquant tes Dieux, ton Prince, ta maiſtreſſe, Seroit vn noir forfait pluſtoſt qu’vne foibleſſe.	Ce feu chocquant tes Dieux, ton Prince, ta maîtresse, Serait un noir forfait plutôt qu'une faiblesse.
APRICE.	APPRICE.
Ne t’imagine pas de me changer par là, Ie croisce que tu dis & plus que tout cela, Mais ce feu gregois croiſt plus on le veut eſteindre, Et loin de m'en blaſmer, ſonge, ſonge à m’en plaindre, Ou pluſtoſt ſi tu veux agir encore mieux, Sois moy plus fauorable & plus officieux.	Ne t'imagine pas de me changer par là, Je croisée que tu dis et plus que tout cela, Mais ce feu grégois croît plus on le veut éteindre, Et loin de m'en blâmer, songe, songe à m'en plaindre, Ou plutôt si tu veux agir encore mieux, Sois moi plus favorable et plus officieux.
Voyant bien qu’à mon mal il n’eſt point de remede, Du moins pour l’adoucir accorde moy ton aide.	Voyant bien qu'à mon mal il n'est point de remède, Du moins pour l'adoucir accorde moi ton aide.
Tàche de le charmer ne pouuant le guerir, Ce n’eſt qu’en me flattant qu’on me peut ſecourir.	Tache de le charmer ne pouvant le guérir, Ce n'est qu'en me flattant qu'on me peut secourir.
Pendant que i’auray ſoin des affaires publiques, menu uene jomnue uu mienne, & va par tes pratiques, Me gagner ſi tu peux cette ieune beauté, Renuerſer ſa creance, abatre ſa fierté.	Pendant que j'aurai soin des affaires publiques, menu uene jomnue mienne, et va par tes pratiques, Me gagner si tu peux cette ieune beauté, Renuerser sa créance, abatre sa fierté.
Va fléchir, rare Ami, cette ceune inflexible;	Va fléchir, rare Ami, cette ceune inflexible;
Pa la toucher au cœur cette belle inſenſible, Et puis que mon bonheur depend de ce ſuccez, Fay qu’en cela tes ſoins aillent iuſqu'à l’exceZ Ie ſçay que c’eſt agir auec bien peu d’adreſſe, D’employer vn ami pour perdre vne maiſtreſſe, Que ç’en eſt vn moyen & peu propre & peu ſœur;	Pa la toucher au cœur cette belle insensible, Et puis que mon bonheur dépend de ce succès, Fais qu'en cela tes soins aillent jusqu'à l'excès Ie sais que c'est agir ai bien peu d'adresse, D'employer un ami pour perdre une maîtresse, Que ç'en est un moyen et peu propre et peu sœur;
D'en faire vn confident de l’amant de ſa ſœur;	D'en faire un confident de l'amant de sa sœur;
Mais quoy?	Mais quoi?
noſtre amitié ce deſſein iuſtifie, Et malgré la raiſon fait qu’en toy ie me fie.	nos amitié ce dessein justifie, Et malgré la raison fait qu'en toi ie me fie.
Va donc, parfait amy, par ta fidelité:	Va donc, parfait ami, par ta fidélité:
Trauailler puiſſamment à ma felicité:	Travailler puissamment à ma félicité:
Si tu peux me gagner cette belle Chreſtienne, Croy qu’au meſme moment nous ferons bien la tiẽne.	Si tu peux me gagner cette belle Chrétienne, Crois qu'au même moment nous ferons bien la tienne.
SCENE IA.	SCÈNE IA.
THEOPHILE ſeul.	THÉOPHILE seul.
Uel coup ineſperé vient de pereer mon cœur!	Vel coup inespéré vient de percer mon cœur!
ZQuelle atteinte impreueuë, affligeante & mortelle!	ZQuelle atteinte imprévue, affligeante et mortelle!
A l'Amante, à l’ami faut-il eſtre infidelle, Pour vn objet tout beau, mais tout plein de rigueur?	À l'Amante, à l'ami faut-il être infidèle, Pour un objet tout beau, mais tout plein de rigueur?
Pourray-ie abandonner Chriſtine, Si Dorothée enfin s’obſtine A deteſter nos Dieux, à meſpriſer mes feux?	Pourrai-je abandonner Christine, Si Dorothée enfin s'obstine A détester nos Dieux, à mépriser mes feux?
Pourray-ie encor pour elle abandonner Aprice, Et luy faire cette iniuſtice, De rompre le beau nœud qui nous lie tous deux?	Pourrai-je encor pour elle abandonner Aprice, Et ton faire cette injustice, De rompre le beau nœud qui nous lie tous deux?
Oüy, ie ſuit inſenſible à l'amante, à l'ami,	Oui, Seigneur suit insensible à l'amante, à l'ami,
Hi 2 Laban	Hi 2 Laban
JO DOROTHEE TRAGEDIE, I'abandonne Chriſtine & i’abandonne Aprice, Ie leur fais à tous deux cette haute iniuſtice;	JO DOROTHÉE -TRAGÉDIE, J'abandonne Christine et j'abandonne Aprice, Je leur fais à tous deux cette haute injustice;
Mon cœur dans ce deſſein n’eſt que trop affermi.	Mon cœur dans ce dessein n'est que trop affermi.
Je ne peche qu’à leur exemple, Ils m’en donnent vn aſſez ample De vouloir apres eux courir au changement.	Je ne pèche qu'à leur exemple, Ils m'en donnent un assez ample De vouloir après eux courir au changement.
L’vn quitte ſon amante & l’autre ſon amie, Ils rompent le nœud qui les lie, L’vne en mauuaiſe amie & l’autre en lache amant.	L'un quitte son amante et l'autre son amie, Ils rompent le nœud qui les lie, L'une en mauvaise amie et l'autre en lache amant.
Quel ſort capricieux!	Quel sort capricieux!
Quel biZarre deſtin!	Quel bizarre destin!
4 uand ie ſuis innocent l'on m'eſtime coûpable, Et meſme auant le ſoir ie me trouue capable Du crime dont à tort l’on m’accuſe au matin.	4 ouvand Je suis innocent l'on m'estime coupable, Et même avant le soir ie me trouue capable Du crime dont à tort l'on m'accuse au matin.
Chriſiine ſe croyant quittée, Fait qu’on s’en prend à Dorõthée, Et me la fait connoiſire & me la fait aimer:	Chrisine se croyant quittée, Fait qu'on s'en prend à Dorõthée, Et me la fait connaisire et me la fait aimer:
Mais par meſme moyen au moment que ie l’aime, Cet ami, cet autre moy meſme, Au meſme feu que moy ſe laiſſe conſumer.	Mais par même moyen au moment que ainsi l'aime, Cet ami, cet autre moi -même, Au même feu que moi se laisse consumer.
Dieux voicy bien encor vn plus eſtrange effet!	Dieux voici bien encor un plus étrange effet!
Les deux ſœurs par nous deux laſchement delaiſſées, Se ſont ſans le ſrauoir, elles meſmes bleſſées, En tâchant de guerir, le mal qu’elles ont fait.	Les deux sœurs par nous deux lâchement délaissées, Se sont sans le sravoir, elles -mêmes blessées, En tâchant de guérir, le mal qu'elles ont fait.
L’vne & l’autre touſiours fidelle Tente de changer cette belle, Qui vient de nous changer par vn coup de ſes yeux:	L'une et l'autre toujours fidèle Tente de changer cette belle, Qui vient de nous changer par un coup de ses yeux:
Et par cette entr priſe à toutes deux fatale, Elles vont changer leur riuale, Et traua ller pour nous pluſioſt que pour nos Dieux Mais	Et par cette entr prise à toutes deux fatale, Elles vont changer leur rivale, Et trava ler pour nous plusiôt que pour nos Dieux Mais
CTE TROISIESME.	CTE -TROISIÈME.
Mais helas!	Mais hélas!
le deſordre eſt bien encor plùs graud, Entre les deux amants, qu’entre les deux amantes.	le désordre est bien encor plùs graud, Entre les deux amants, qu'entre les deux amantes.
I’ay peine à conceuoir ces choſes eſtonnantes, Et leur embrouïllement ſans mentir me ſurprend:	J'ai peine à concevoir ces choses étonnantes, Et leur embrouillement sans mentir me surprend:
Lors que ie change de maiſtreſſe, Aprice me prie & me preſſe D’agir pour luy gagner celle qui fait mon mal.	Lors que grands change de maîtresse, Aprice me prie et me presse D'agir pour ton gagner celle qui fait mon mal.
Mais daus l’aueuglement l’Amour vient de le mettre, Et ne luy laiſſe pas connoiſtre, Qu’il ne prend pour agent que ſon propre riual.	Mais daus l'aveuglement l'Amour vient de le mettre, Et ne lui laisse pas connaître, Qu'il ne prend pour agréent que son propre rivalu.
Fauorables deſtins, Dieux clemens, bel Amour, Debrouillez ce chaos & rompez cette glace.	Favorables destins, Dieux cléments, bel Amour, Débrouillez ce chaos et rompez cette glace.
Faites qu'à mon bonheur le malheur face place, SecondeZ mes deſirs, donnez leur quelque iour.	Faites qu'à mon bonheur le malheur face place, Secondez mes désirs, donnez leur quelque jour.
Dans vne affaire ſi meſlée Mon ame eſt ſi fort esbranlée Entre la perfidie & la fidelité, & ii fuut en coup vren fort de ia toute puiſſance, Pour fixer ſon peu d’aſſeurance, Et faire mon malheur ou ma felicité.	Dans une affaire si mêlée Mon âme est si fort ébranlée Entre la perfidie et la fidélité, et ji vut en coup vren fort de ja toute puissance, Pour fixer son peu d'assurance, Et faire mon malheur ou ma félicité.
O vous qui partagez mon cœur par la moitié, Ami trop amoureux, Amante trop aimable, Aprice malheureux, Chriſtine miſerable, Obiets de mon amour & de mon amitté, Souffrez que Dorothée emporte L’vn & l’autre que ie vous porte, Qu'elle ait cette amitié, qu’elle ait tout cet amour.	Ô vous qui partagez mon cœur par la moitié, Ami trop amoureux, Amante trop aimable, Aprice malheureux, Christine misérable, Obiets de mon amour et de mon amitté, Souffrez que Dorothée emporte L'un et l'autre que je vous porte, Qu'elle ait cette amitié, qu'elle ait tout cet amour.
Ie ne ſuiuray d’exemple en cela que le voſtre:	Je ne suivrai d'exemple en cela que le vôtre:
Vous luy donneZ & l’vn & l’autre, Pourquoy	Vous avait donnez et l'un et l'autre, Pourquoi
Pourquoy ne puis-ie pas les donner à mon tour?	Pourquoi ne puis-je pas les donner à mon tour?
Sans doute que ie puis iuſtement les donner A cette merueilleuſe & diuine perſonne;	Sans doute que je puis justement les donner À cette merveilleuse et divine personne;
Et ſi ie vous trahïs & ie vous abandonne, Ie puis & vous trahir & vous abandonner.	Et si ici vous trahis et Seigneur vous abandonne, Je puis et vous trahir et vous abandonner.
De quel biais que ie vous contemple;	De quel biais que personne vous contemple;
Vous me ſeruez touſiours d’exemple, Pour agir contre vous auecque liberté.	Vous me servez toujours d'exemple, Pour agir contre vous avec liberté.
Soit que vous offenſiez ou ſeruiez Dorothée, Mon ame eſt fortement portée, A vous faire touſiours cette infidelité.	Soit que vous offensiez ou serviez Dorothée, Mon âme est fortement portée, À vous faire toujours cette infidélité.
O qu’il faut qu’en cecy i’agiſſe finement O qu’il faut de ſecret!	Ô qu'il faut qu'en ceci j'agisse finement Ô qu'il faut de secret!
ô qu’il me faut d’adreſſes!	ô qu'il me faut d'adresses!
Pour paſſer dans l’eſprit d’vne de mes maiſtreſſes Pour ennemi de l’autre & non pas pour amant.	Pour passer dans l'esprit d'une de mes maîtresses Pour ennemi de l'autre et non pas pour amant.
Amour qui fais que ie l’adore, Cache le feu qui me deuore, Et ne le laiſſe voir qu’aux yeux qui l’ont produit.	Amour qui fais que rien l'adore, Cache le feu qui me dévore, Et ne le laisse voir qu'aux yeux qui l'ont produit.
Ie ne demande rien que tu ne puiſſes faire:	Je ne demande rien que tu ne puisses faire:
Ton flambeau n’eſt iamais contraire A celuy que ta main & ſouſtient & conduit.	Ton flambeau n'est jamais contraire À celui que ta main et soutient et conduit.
ACTE	ACTE
RCTE TV.	RCTE TV.
APRICE ATHEMODOR E.	APPRICE ATHÉMODOR E.
FLAVIEN.	FLAVIEN.
CHRISTINE.	CHRISTINE.
DOROTHE’E.	DOROTHÉÉE.
CALISTE.	CALISTE.
THEOPHILE.	THÉOPHILE.
SCENE I.	SCÈNE I.
APRICE.	APPRICE.
ATHEMODORE.	ATHÉMODORE.
APRICE.	APPRICE.
SA ſage Meſſager, va, ſeruiteur fidelle, &s Va, porteur bien-heureux d’vne heureuſe nouuelle:	SA sage Messager, va, serviteur fidèle, ets Va, porteur bienheureux d'une heureuse nouvelle:
Et fay que ma maiſtreſſe auant qu’il ſoit plus tard, Me confirme vn ſucceZ où ie prends tant de part.	Et fais que ma maîtresse avant qu'il soit plus tard, Me confirme un succès où ie prends tant de part.
Dy luy iuſqu’à quel point ſa victoire me tonche, Et comme i’en attends le recit de ſa bouche.	Dis autre jusqu'à quel point sa victoire me tonche, Et comme j'en attends le récit de sa bouche.
ATHEMODORE.	ATHÉMODORE.
Seigneur, dans vn moment vous les verrez icy, Et ſa ſœur & mon maiſtre & Dorothée auſſi.	Seigneur, dans un moment vous les verrez ici, Et sa sœur et mon maître et Dorothée aussi.
SCENE	SCÈNE
APRICE ſeul.	APPRICE seul.
Ve ie crains cette veuë & que ie la deſire!	Ve ici crains cette vue et que tu la désire!
JElle fait mon bonbeur, elle fait mon martire;	JElle fait mon bonbeur, elle fait mon martyre;
Et les diuers obiets qui s’offriront à moy, Sont des obiets d’extaZe & des obiets d’effroy.	Et les divers objets qui s'offriront à moi, Sont des objets d'extaze et des objets d'effroi.
Caliſte inſuportable, aimable Dorothée, Vous que i’ay preferée & toy que i’ay quittée, Me faiſant à la fois tant de bien & de mal, Pourray-ie toutes deux vous voir d’vn œil eſgal?	Caliste insupportable, aimable Dorothée, Vous que j'ai préférée et toi que j'ai quittée, Me faisant à la fois tant de bien et de mal, Pourrai-je toutes deux vous voir d'un œil égal?
Apres auoir ſi fort auancé ma fortune, Ha!	Apres avoir si fort avancé ma fortune, Ha!
Caliſte, pourquoy viens-tu m’eſtre importune?	Caliste, pourquoi viens-tu m'être importune?
Facheuſe, c’eſt aſſez:	Facheuse, c'est assez:
employe ailleurs tes ſoins.	emploie ailleurs tes soins.
Sçais-tu pas que l’Amour ne veut point de témoins?	Sais-tu pas que l'Amour ne veut point de témoins?
Qu’à peine ſouffre-t’il la moindre confidence?	Qu'à peine souffre-t-il la moindre confidence?
Qu’il cherit le ſecret?	Qu'il chérit le secret?
Qu’il aime le ſilence?	Qu'il aime le silence?
Que s’il couure ſon front & ſes yeux pleins d’apas, C’eſt pour n’eſtre pas vû plus que pour ne voir pas?	Que s'il couvre son front et ses yeux pleins d'appas, C'est pour n'être pas vu plus que pour ne voir pas?
Sans doute tu le ſcais de toute certitude Par ton experience autant que par eſtude.	Sans doute tu le sais de toute certitude Par ton expérience autant que par étude.
Mais las!	Mais las!
tu ne ſçays pos que ce Dieu tout puiſſant, Dont le coup le plus rude eſt le plus rauiſſant, Qui malgré ſon bandeau dans les ames rebelles.	tu ne sais pô que ce Dieu tout puissant, Dont le coup le plus rude est le plus ravissant, Qui malgré son bandeau dans les âmes rebelles.
Conduit ſi iuſtement ſes atteintes mortelles, Et ſtait ſi bien dreſſer ſon trait touſiours vainqueur, Qu'il ne frappe iamais de l’homme que le cœur, Non non tu ne ſȩais pas que ce Dieu dans mon ame En eſteignant la tienne allume vne autre flame.	Conduit si justement ses atteintes mortelles, Et stait si bien dresser son trait toujours vainqueur, Qu'il ne frappe jamais de l'homme que le cœur, Non non tu ne savoir pas que ce Dieu dans mon âme En éteignant la tienne allume une autre flamme.
Cependant il eſt vray qu’au meſpris de ma foy C’eſt ainſi qu’il en vze à preſent contre toy.	Cependant il est vrai qu'au mépris de ma foi C'est ainsi qu'ils en aise à présent contre toi.
Malgré ton bel auis ou pluſtoſt ton oracle La merueille apres tout doit ceder au miracle, Ta menace n’eſtoit qu’vn arreſt du deſtin, Quand tu me menaçois de la ſorte au matin.	Malgré ton bel avis ou plutôt ton oracle La merveille après tout doit céder au miracle, Ta menace n'était qu'H arrêt du destin, Quand tu me menaçais de la sorte au matin.
En penſant la ployer à noſtre amy extréme, Prenez garde qu’au ſien vous ne ployiez vous meſme:	En pensant la ployer à notre ami extrême, Prenez garde qu'au sien vous ne ployiez vous même:
Et qu’au lieu d’exercer voſtre iuſte rigueur, Uous n’eſprouuiez la ſiẽne & n’en perdiez le cœur Oüy, Caliſte, ie fais cette perte notable, Sa rigueur me fait peur, elle m’eſt redoutable.	Et qu'au lieu d'exercer votre juste rigueur, Uous n'éprouviez la sionne et n'en perdiez le cœur Oui, Caliste, je fais cette perte notable, Sa rigueur me fait peur, elle m'est redoutable.
Quoy que pour ton amour ie tente d’employer, Vainement ie le tente, au ſien il faut ployer.	Quoi que pour ton amour rien tente d'employer, Vainement tu le tente, au sien il faut ployer.
Cette belle, elle ſeule, eſt l’objet que i’adore, Vn feu ſecret pour elle auiourd’huy me deuore, Et celle que tu viens de gagner à nos Dieux M'a moy meſme gagné par vn coup de ſes yeux.	Cette belle, elle seule, est l'objet que j'adore, Un feu secret pour elle aujourd'hui me dévore, Et celle que tu viens de gagner à nos Dieux M'a moi -même gagné par un coup de ses yeux.
Coup mille fois heureux, ſi mon cher Tueophils Autant que toy ſur elle auoit pû m’eſtre vtile!	Coup mille fois heureux, si mon cher Tueophils Autant que toi sur elle avait pu m'être utile!
Dans la poſſeſſion de ce comble de biens, O que ie benirois & tes ſoins & les ſiens.	Dans la possession de ce comble de biens, Ô que je bénirais et tes soins et les siens.
Ciel, fay moy cette grace.	Ciel, fais moi cette grâce.
Oüy oüy, i’oZe l’atten lre Mais voicy Flauien, vient-il point me l'appren	Oui oui, j'oSe l'atten l' Mais voici Flavien, vient-il point me l'appren
dre?	dre?
SCENE	SCÈNE
SCENE III.	SCÈNE III.
HERIOR IERVIEN.	HÉRIOR IERVIEN.
APRICE.	APPRICE.
Lluſtre confident de ma nouuelle amour, I Homme qui fais toy ſeul l’ornement de ma Cour, Vnique & digne agent de ma plus grande affaire, D'un ſecret delicat ſage depoſitaire, Arbitre de ma vie & de ma paſſion, Aprend moy le ſuccez de ta commiſſion;	Llustre confident de ma nouuelle amour, I Homme qui fais toi seul l'ornement de ma Cour, Unique et digne agent de ma plus grande affaire, D'un secret délicat sage dépositaire, Arbitre de ma vie et de ma passion, Aprend moi le succès de ta commission;
