A MONSEIGNEVR MONSEIG.	À MONSEIGNEUR MONSEIG.
De la vint le deſordre, ou la premiere guerre, Qui fit d’vn fratricide enſanglanter la Terre;	De la vint le désordre, ou la première guerre, Qui fit d'un fratricide ensanglanter la Terre;
De là tous les humains à l’enuy débordez Virent Virent pleuoir les eaux qui les ont inondeZ.	De là tous les humains à l'envi débordez Virent Virent pleuoir les eaux qui les ont inondeZ.
Apres vn châtiment ſi triste & ſi funeſte, Le Ciel quoy qu’irrité fut émeu pour le reſte, Et graua ſur le marbre, & deſſus ſes Autels, Ce qu’il auoit graué dans le cœur des mortels, Mais enfin cette Loy n’estant pas accomplie Doit estre par la noſtre entierement remplie, Elle fuſt veritable & telle que tu dis, Mais, Saul, elle n’eſt plus ce qu’elle fuſt iadis.	Après un châtiment si triste et si funeste, Le Ciel quoi qu'irrité fut ému pour le reste, Et grava sur le marbre, et dessus ses Autels, Ce qu'il avait gravé dans le cœur des mortels, Mais enfin cette Lois n'étant pas accomplie Doit être par la vôtre entièrement remplie, Elle fût véritable et telle que tu dis, Mais, Saula elle n'est plus ce qu'elle fût jadis.
L.	L.
Aſtreſte, Barnabé, ie crains de trop entendre.	Astreste, Barnabé, Seigneur crains de trop entendre.
ARNABE'.	ARNABE'.
Tu vois la verité ſans la vouloir comprendre.	Tu vois la vérité sans la vouloir comprendre.
A VL.	À VL.
Va, ne me parle plus, vne vieille amitié Trouue en mon cœur pour toy quelque peu de pitié Pour plaindre ton mal-heur plûtoſt que le combaitre, Adorer pluſieurs Dieux n’es-tu pas idolatré?	Va, ne me parle plus, une vieille amitié Trouve en mon cœur pour toi quelque peu de pitié Pour plaindre ton malheur plutôt que le combaitre, Adorer plusieurs Dieux n'es-tu pas idolâtré?
BARNABE'.	BARNABE'.
Pernicieuſe erreur!	Pernicieuse erreur!
Estrange aueuglement!	Étrange aveuglement!
Ou s’eſt precipité ton foible iugement, Ie n'adore qu’vn Dieu, mais vn Dieu tout aymable.	Ou s'est précipité ton faible jugement, Je n'adore qu'un Dieu, mais un Dieu tout aimable.
Quel est-il?	Quel est-il?
AV Le	AU Le
BARNABE'.	BARNABE'.
Ce ſecret ne t’eſt pas conceuable, Oüy, Saul i'adore vn Dieu ſans multiplicité, Quoy qu’en fin ie l’adore en vne Trinité, De cette Trinité la perſonne ſeconde A voulu s’abaiſſer iuſqu’à venir au Monde.	Ce secret ne t'est pas concevable, Oui, Saul j'adore un Dieu sans multiplicité, Quoi qu'en fin assez l'adore en une Trinité, De cette Trinité la personne seconde A voulu s'abaisser jusqu'à venir au Monde.
C’eſt le Fils, c’eſt le Chriſt, qui s’eſt rendu mortel, Qu’on a veu conuerſer parmy nous comme tel, Pour ton ſalut, ingrat, du Ciel il vint en Terre, Et tu le ſuis par tout pour luy faire la guerre.	C'est le Fils, c'est le Christ, qui s'est rendu mortel, Qu'on a vu converser parmi nous comme tel, Pour ton salut, ingrat, du Ciel il vint en Terre, Et tu le suis par tout pour lui faire la guerre.
Numportes u ie paruonne,O ja vunté touſiours Te preſente ſa grace, & t’offre ſon ſecours.	Numportes u apprendre parvonne,O ja vunté toujours Te présente sa grâce, et t'offre son secours.
L.	L.
Ah!	Ah!
c’eſt trop, impofteur, quoy, tu veux me ſeduire ?	c'est trop, imposteur, quoi, veux tu me séduire ?
BARNABE'.	BARNABE'.
Ie deſire tonbien,uey conuron conduire.	Je désire tonbien,uei convron conduire.
A S Seigneur il eſt Chreſtien, il merite la mort.	À S Seigneur il est Chrétien, il mérite la mort.
B ARNABE'.	 BRNABE'.
Ie ne ſçaurois auoir vn plus illustre ſort, Il eſt vray, ie le ſuis, & fais gloire de l’estre, Mon amour en tout lieu le fera bien paroistre.	Je ne saurais avoir un plus illustre sort, Il est vrai, tu le suis, et fais gloire de l'être, Mon amour en tout lieu le fera bien paraître.
AVL.	AUL.
Ie ne puis plus ſouffrir vn ſi cruel affront, rum ie fenez, n'Ciet, reiallir ſur mon front, Ingrat, tu periras, ton extreme arrogance, Et ton peu de reſpect hasteront ma vangeance;	Je ne puis plus souffrir un si cruel affront, rum Je senez, n'Ciet, rejaillir sur mon front, Ingrat, tu périras, ton extrême arrogance, Et ton peu de respect hâteront ma vengeance;
Iule prenez le ſoin de le faire arrester.	Iule prenez le soin de le faire arrêter.
BARNABE’.	BARNABE'.
14.	14.
Que ta rage ſur moy puiſſe toute éclatter.	Que ta rage sur moi puisse toute éclater.
* L.	* L.
Ie hais la crauté mais tu m’y fais reſoudre.	Je hais la crauté mais tu m'y fais résoudre.
BARNABE'.	BARNABE'.
Icy deux VnChrestiẽ genereux ne peut craindre la foudre.	Ici deux VnChrestiẽ généreux ne peut craindre la foudre.
Soldats	Soldats
SCENE	SCÈNE
SCENE III.	SCÈNE III.
DARNADE,CREE	DARNADE,CRE
BARNABÉ.	BARNAB.
IIgre affamé de ſang, Va, n’épargne perſonne, âge, ſexe, ny rang.	IIgre affamé de sang, Va, n'épargne personne, âge, sexe, ni rang.
Acheue tes deſſeins, ie ne ſuis point timide, Voicy, voicy la fin de ta rage homicide, La foudre que la nuë eſt preſte de lancer Va par vn coup fatal, bien-toſt te renuerſer.	Achève tes desseins, ie ne suis point timide, Voici, voici la fin de ta rage homicide, La foudre que la nue est prête de lancer Va par un coup fatal, bientôt te renverser.
Elle peut arrester l’exceZ de cette rage, Et vanger les Chreſtiens en te faiſant outrage, Mais enfin, ſi mes vœux ont pouuoir prez de vous, Suſpendez, ie vous prie, vn ſi iuste courroux, Si vous voulez, Seigneur, vous vanger, d’vn coupable, Faites faites luy voir, ſon erreur deplarable, Et que celuy s’oppoſe à tous vos intereſts Qui contre voſtre Fils fait de ſanglans Arreſts;	Elle peut arrêter l'excès de cette rage, Et venger les Chrétiens en te faisant outrage, Mais enfin, si mes vœux ont pouuoir prez de vous, Suspendez, Seigneur vous prie, ainsi si juste courroux, Si vous voulez, Seigneur, vous venger, d'un coupable, Faites faites lui voir, son erreur déplarable, Et que celui s'oppose à tous vos intérêts Qui contre votre Fils fait de sanglants Arrêts;
Mais Iule executez ce que l’on vous commande.	Mais Iule exécutez ce que l'on vous commande.
L'E.	L'E.
Il faut vous auoüer que ma peine eſt bien grãde, L’on veut que i’obeïſſe, & ie ne le puis pas, Ie ne puis ſans regret vous conduire au trepas.	Il faut vous auoüer que ma peine est bien grande, L'on veut que j'obéisse, et été ne le puis pas, Je ne puis sans regret vous conduire au trépas.
BARNABEl.	BARNABEl.
Conduis moy ſeulement, Iule, auecque aſſeurance, Auſſi bien les Chrestiẽs n’ont que cette eſperãce, Ils n’aſpirent qu’au Ciel, la mort les y conduit, C’eſt la de leur trauaux qu’ils recüeillent le fruit, Ils n’ayment que la paix, & ſçaohans qu’en la Terre L’on n’a point de repos, qu’on eſt touſiours en guerre, Loin de ſes faux appas ils cherchẽt le bon-heur, Et par vn grand mépris ils mõtent à l’honneur, Qui croit apres cela que i’aſpire à la vie?	Conduis moi seulement, Iule, avec assurance, Aussi bien les Chrestiẽs n'ont que cette espérance, Ils n'aspirent qu'au Ciel, la mort les y conduit, C'est la de leur travaux qu'ils recueillent le fruit, Ils n'aiment que la paix, et sçaohans qu'en la Terre L'on n'a point de repos, qu'on est toujours en guerre, Loin de ses faux appas ils cherchẽt le bonheur, Et par un grand mépris ils m 'honneur, Qui croit après cela que i’aspire à la vie?
Que la peur de la mort me donne vne autre enuie, Et que la liberté que tulme oena oyrir, Soit preferable aux maux que mon corps doit demmeds	Que la peur de la mort me donne une autre envie, Et que la liberté que tulme oena oirir, Soit préférable aux maux que mon corps doit demméds
LE.	LE.
Que ce diſcourt me plaiſt.	Que ce discourt me plaît.
B ARNABE'.	 BRNABE'.
Ainſi dans les ſouffrances, Vn Chreſtien doit fonder toutes ſes eſperances, Qui pourroit croire auſſi qu’vn bon-heur eſt ſans fiel, Qu’heureux deſſus la Terre on eſt heureux au Ciel, Que des plaiſirs mondains, des banquets, & des vices, L’on paſſe incontinant aux celestes delices, Qu’on gaigne le combat ſans faire aucun effort, Qu’il n’eſt point de peril pour arriuer au port.	Ainsi dans les souffrances, Un Chrétien doit fonder toutes ses espérances, Qui pourrait croire aussi qu'un bonheur est sans fiel, Qu'heureux dessus la Terre on est heureux au Ciel, Que des plaisirs mondains, des banquets, et des vices, L'on passe incontinant aux célestes délices, Qu'on gagne le combat sans faire aucun effort, Qu'il n'est point de péril pour arriver au port.
Iule, il n’eſt point de ioye en la terre, & ſur l’onde Qui ne couste aux mortels des ſoupirs en ce monde, Et bien ſouuent la honte accompagne l’honneur, Lors que de l’infortune eſt ſuiuy le bonheur;	Iule, il n'est point de joie en la terre, et sur l'onde Qui ne coûte aux mortels des soupirs en ce monde, Et bien souvent la honte accompagne l'honneur, Lors que de l'infortune est suivi le bonheur;
Que Que puis-ie dire enfin?	Que Que puis-je dire enfin?
n’eſt-ce pas la couſtume Que tous les plus grands biens ſont mélez d’amertume?	n'est-ce pas la coutume Que tous les plus grands biens sont mêlés d'amertume?
Le Ciel ſeul a des biens ſolides, & conſtans Qui rendent nos eſpris de ce bon-heur contens;	Le Ciel seul a des biens solides, et constants Qui rendent nos épris de ce bonheur contents;
Et vous vous estonnez qu’en terre l’on endure, Pour poſſeder au Ciel vne gloire ſi pure.	Et vous vous étonnez qu'en terre l'on endure, Pour posséder au Ciel une gloire si pure.
Il vaut mieux l’acquerir icy par des mal-heurs, Que d’en ioüir apres auec des douleurt.	Il vaut mieux l'acquérir ici par des malheurs, Que d'en jouir après avec des douleurt.
LE.	LE.
Barnabé que pour moy ces diſcours ont de charmes Ie ne doi pius donter à vons rendre tes Mrmes, De cette verité mon eſprit eſt confus, S’il balançoit tantoſt, il ne balance plus.	Barnabé que pour moi ces discours ont de charmes Je ne dois pius donter à vons rendre tes Mrmes, De cette vérité mon esprit est confus, S'il balançait tantôt, il ne balance plus.
BARNABE' Ayez moins de pitié pour moy que pour vous meſme, S’aſſuiettir au Ciel c’eſt vn bon-heur ſupreme, Et le ioug glorieux qu’il impoſe à nos cœurs, Les rend bien moins captifs qu’il ne les rend vaincœurs, Ainſi c’eſt triompher que mourir auec gloire, Et reſpãdre ſon ſang pour ce que l’on doit croire, La nature de nous exigé ce tribut, Mes plus taſtes ſounaits ne tendent qu’à ce but, Venez, lule, venez, par ma mort vous inſtruire.	BARNABE' Ayez moins de pitié pour moi que pour vous rendre, S'assuiettir au Ciel c'est un bonheur suprême, Et le joug glorieux qu'il impose à nos cœurs, Les rend bien moins captifs qu'il ne les rend vaincœurs, Ainsi c'est triompher que mourir auec jour, Et respãdre son sang pour ce que l'on doit croire, La nature de nous exigé ce tribut, Mes plus tâtes souhaits ne tendent qu'à ce but, Venez, lule, venez, par ma mort vous instruire.
LE.	LE.
Tout autre qu'vn Chreſtien vous y pourroit conduire.	Tout autre qu'un Chrétien vous y pourrait conduire.
BARNABE.	BARNABÉ.
Va Chreſtien!	Va Chrétien!
IVLE.	IULE.
LE.	LE.
Ie le ſuis,	Je le suis,
BARNABE'.	BARNABE'.
L’ennemy des Chreſtiens.	L'ennemi des Chrétiens.
LE.	LE.
de ques eneſtien moy meſme, & teur vœux ſont les miens.	de ques enétien moi -même, et teur vœux sont les miens.
BARNABE'.	BARNABE'.
Ab!	Ab!
Iule s’il eſt vray que ce bon-heur t’arriue, Que mon plaiſir eſt grand, ſi ma douleur fuſt viue, Vien vien que ie t’embraſſe, afin que dans mon ſein;	Iule s'il est vrai que ce bonheur t'arrive, Que mon plaisir est grand, si ma douleur fût vive, Viens viens que je t'embrasse, afin que dans mon sein;
Tu liſestonumem s mn toye, & mon deſſein.	Tu lisétonumem s min toie, et mon dessein.
CENE IV.	CÈNE IV.
ANANIE.	ANANIE.
Juts-te?	Juts-te?
tuste Ciet, ett par qu'elles tendreſſes, Vois-ie deux ennemis ſe faire des cdreſſes?	tuste Ciét, ett par qu'elles tendresses, Vois-je deux ennemis se faire des cdresses?
Ne m'abuſe-ie point:	Ne m'abuse-je point:
BARNABE'.	BARNABE'.
Ai.	Ai.
que voſire retour Accroit fort à propos le plaiſir de ce iour.	que vos retour Acroit fort à propos le plaisir de ce jour.
ANANIE.	ANANIE.
Quoy, Barnabe, ſi toſt tombé dans l’inconſtance, Auec nos ennemis eſt-il d’intelligence?	Quoi, Barnabe, si tôt tombé dans l'inconstance, Avec nos ennemis est-il d'intelligence?
BARNABE’.	BARNABE'.
Ce bon-heur nous rauit quoy qu’il arriue tard, Nostre Noſtre plaiſir eſt grana, venez y prenare part.	Ce bonheur nous ravit quoi qu'il arrive tard, Notre Nostre plaisir est grana, venez y prenare part.
ANANIE.	ANANIE.
Comme ſe reſioüir?	Comme se réjouir?
quand tout eſt en alarmes, Qu'on n’entent que ſoûpirs, & qu’on ne voit qne turile 2 Et que tous nos Chreſtiens attendent le trepas.	quand tout est en alarmes, Qu'on n'entent que soupirs, et qu'on ne voit q turile 2 Et que tous nos Chrétiens attendent le trépas.
BARNADE.	BARNADE.
Apprenez vn bon-heur que vous ne ſçauez pas.	Apprenez un bonheur que vous ne savez pas.
ANANIE.	ANANIE.
Quel bon-heur, quel plaiſir en l’eſtat ou nous ſommes, Noms pourront urrintr ut ta tene, & des hõmes?	Quel bonheur, quel plaisir en l'état ou nous sommes, Noms pourront urrintr ut ta tene, et des hommes?
Si ce bien vient du Ciel que i’auray de plaiſir!	Si ce bien vient du Ciel que j'aurai de plaisir!
Dittes le promptement contentez mon deſir.	Dittes le promptement contentez mon désir.
BARNABE'.	BARNABE'.
Le Ciel en eſt l'Autheur, & la grace Diuine Des maux que nous ſouffrons doit couper la racine.	Le Ciel en est l'Auteur, et la grâce Divine Des maux que nous souffrons doit couper la racine.
Ie le preuois des-ja par ce prompt changement Qui fait naiſtre auiourd’huy tout mon contentement, Iule s’eſt fait Chreſtien, & par ce beau miracle Nous fait voir que l’amour ne trouue point d’obstacle.	Je le prévois déjà par ce prompt changement Qui fait naître aujourd'hui tout mon contentement, Iule s'est fait Chrétien, et par ce beau miracle Nous fait voir que l'amour ne trouve point d'obstacle.
4	4
ANIE.	ANIE.
Iule change ſa haine en de bons mouuemens?	Iule change sa haine en de bons mouvements?
Et c’eſtoit le ſujet de vos embraſſemens?	Et c'était le sujet de vos embrassements?
Ah!	Ah!
ie ne blâme plus ce que i’ay cru blâmable, Que ie l’embraſſe auſſi, lule, eſt-il veritable?	Je ne blâme plus ce que j'ai cru blâmable, Que tu l'embrasse aussi, lule, est-il véritable?
LE.	LE.
Vous ne pouues douter de ce bon-heur parfait, Quoy que dopuis long temps i'en retarde l'effet I’auois de mon erreur vn peu de connoiſſance, Et i’ay touſiours aymé des Chreſtiens l’innocence, Ie voulois donc changer mais mon eſprit flottant, Daus ce iuste deſſein n’auoit rien de conſtant.	Vous ne pouvez douter de ce bonheur parfait, Quoi que dopuiss long temps j'en retarde l'effet J'avais de mon erreur un peu de connaissance, Et j'ai toujours aimé des Chrétiens l'innocence, Je voulais donc changer mais mon esprit flottant, Daus ce juste dessein n'avait rien de constant.
Il craignoit en changeant le reproche & l’enuie, Auquel il expoſoit le reste de ma vie, Et mille autres penſers venant m’entretenir, Me faiſoient en l’aimant craindre de l’obtenir, Ainſi qu'vn voyageur incertain de ſa route, S’il trouue deux chemins il craint, il eſt en doute, Ny ſur l’vn, ny ſur l’autre il n’oſe s’aſſurer, Et n'en choiſit aucun de peur de s’égarer.	Il craignait en changeant le reproche et l'envie, Auquel il exposoit le reste de ma vie, Et mille autres pensers venant m'entretenir, Me faisaient en l'aimant craindre de l'obtenir, Ainsi qu'un voyageur incertain de sa route, S'il trouve deux chemins il craint, il est en doute, Ni sur l'un, ni de l'autre il n'ose s'assurer, Et n'en choisit aucun de peur de s'égarer.
De meſme, mon eſprit dans ſon incertitude Sur le choix qu’il doit faire eſt en inquietude;	De même, mon esprit dans son incertitude Sur le choix qu'il doit faire est en inquiétude;
Mais enfin, Barnabé, la grace, & vos diſcours, De mes deſſeins flottans ont arreſté le cours, Et moy meſme en ce cas ne m’eſtant plus conlaire Ie ſuis heureuſement la grace qui m’éclaire, Et ie change auiourd'huy pour ne changer iamais.	Mais enfin, Barnabé, la grâce, et vos discours, De mes desseins flottants ont arrêté le cours, Et moi -même en ce cas ne m'étant plus conlaire Je suis heureusement la grâce qui m'éclaire, Et ie change aujourd'hui pour ne changer jamais.
BARNABE.	BARNABÉ.
Que mon cœur eſt rauy du change que tu fais.	Que mon cœur est ravi du change que tu fais.
ANANIE.	ANANIE.
I'en reçois vn plaiſir auſſi grand que vous meſme, Fenez lule venez receuoir le Bapteſme.	J'en reçois un plaisir aussi grand que vous -même, Fenez lule venez recevoir le Baptême.
ACTE	ACTE
ACILIII	ÀCILII
DOINE PREMIERE.	DOINE PREMIÈRE.
SAVL, SILAS, MARSIAS.	SAUL, SILAS, MARSIAS.
SAVL.	SAUL.
VE Iule par ce coup ſe ſoit deshonnore!	VE Iule par ce coup se soit déshonore!
TLAS.	TLAS.
Tout ce que ie vous dis n’eſt que trop aſſuré.	Tout ce que je vous dis n'est que trop assuré.
Pou tit pus uttouneit en prenant leur deffence?	Pou tit pût utouneit en prenant leur défense?
Le ſecret important de ſon intelligence, Son cœur diſſimulé ſous ombre de pitié, Cachoit adroittement vne indigne amitié,	Le secret important de son intelligence, Son cœur dissimulé sous ombre de pitié, Cachait adroittement une indigne amitié,
AVL.	AUL.
Quoy, changer de party dans l'estat ou nous ſommes!	Quoi, changer de parti dans l'état où nous sommes!
O le plus criminel, & plus lache des hommes!	Ô le plus criminel, et plus lâche des hommes!
Croit-il en trahiſſant ſon pays, & ſa loy.	Croit-il en trahissant son pays, et sa loi.
De rompre nos deſſeins, & triompher de moy, Tu ne ioüiras pas trop long-temps de ton crime, Il faut pour l’effacer que tu ſois la victime, Qui ſatisface au Ciel.	De rompre nos desseins, et triompher de moi, Tu ne ioüiras pas trop longtemps de ton crime, Il faut pour l'effacer que tu sois la victime, Qui satisface au Ciel.
LAS.	LAS.
Si vous n’en doutes plus, Ne perdes point de temps en diſcours ſuperfus, Il les faut arrester, Seigneur, il les faut ſuiure, Et ne permettre pas à ces ingrats de viure.	Si vous n'en doutes plus, Ne perdes point de temps en discours superfus, Il les faut arrêter, Seigneur, il les faut suivre, Et ne permettre pas à ces ingrats de vivre.
AVL.	AUL.
Oüy ſuiuez les, Silas, & me les amenez.	Oui suivez -les, Silas, et me les amenez.
LAS.	LAS.
Ie feray s’il ſe peut ce que vous ordonnez.	Je ferai s'il se peut ce que vous ordonnez.
L.	L.
Suiuez le, Marſias, executeZ le reste;	Suivez le, Marsias, exécutez le reste;
Choiſiſſez des Solauts ta-irouppt ta prus leste, Et ſans rien épargner aux lieux circonuoiſins, Faites leur reſſentir t eſfet de nos deſſeins.	Choisissez des Solauts ta-iroupt ta prus leste, Et sans rien épargner aux lieux circonvaisins, Faites leur ressentir telle défet de nos desseins.
MARSIAS.	MARSIAS.
Ie vay vous obeïr.	Je vais vous obéir.
SAVL.	SAUL.
Muue uij voſtre gloire, De leur entier oubly depend nostre memoire, Il ne faut pas fouffrir qu’ils nous faſſent ce tort, I'attens voſtre retour à reſoudre leur mort.	Muve uij our gloire, à leur entier oubli dépend notre mémoire, Il ne faut pas souffrir qu'ils nous fassent ce tort, J'attends votre retour à résoudre leur mort.
SCENE II.	SCÈNE II.
SAVL.	SAUL.
E ne ſcay quoy pourtant dont i’ignore la cauſe, TFortement en mon cœur à ce deſſein s’oppoſe, Non non, ne permets pas qu’il en ſoit combattu.	E ne sais quoi pourtant dont j'ignore la cause, TFortement en mon cœur à ce dessein s'oppose, Non non, ne permets pas qu'il en soit combattu.
Cet indigne penſer ſoüilleroit ta vertu, Mais enfin, tout me nuit, moy meſme ie me ioüe,	Cet indigne penser soüilleroit ta vertu, Mais enfin, tout me nuit, moi -même toujours me jeté,
Ce que ma bouche dit mon cœur le deſauoüe, Que le ſort inconstant ſe plaiſt à m’affliger!	Ce que ma bouche dit mon cœur le désavoue, Que le sort inconstant se plaît à m'affliger!
Qu'il me rend malheureux, lors qu’il croit m’obliger!	Qu'il me rend malheureux, lors qu'il croit m'obliger!
Lors que ma paſſion a ce qu’elle ſouhaitte, Que ma felicité me ſemble estre parfaitte, Et que de cet employ que ſeul i’ay merité, Le plus ambitieux ſe ſeroit contenté, En diuers ſentimens mon ame partagée, Semble auoir du regret, de s’y voir engagée, Elle meſme combat ſes propres mouuemens, Et n’a iamais deux fois les meſmes ſentimens, Il eſt vray qu’vn remord qui dechire mon ame, Me fait oraindre le nom, de crael, ou d’infame, Quel estrange destin s’oppoſe à mon honneur?	Lors que ma passion à ce qu'elle souhaite, Que ma félicité me semble être parfaite, Et que de cet emploi que seul j'ai mérité, Le plus ambitieux se serait contenté, En divers sentiments mon âme partagée, Semble avoir du regret, de s'y voir engagée, Elle même combat ses propres mouvements, Et n'a jamais deux fois les mêmes sentiments, Il est vrai qu'un remord qui déchire mon âme, Me fait oraindre le nom, de crael, étrange destinfâme, Quel étrange destin s'oppose à mon honneur?
Et fait naistre mon mal de mon propre bonheur?	Et fait naître mon mal de mon propre bonheur?
Au point de tout oſer, & de tout entreprendre, Ie ſuis en doute enoor quel conſeil ie dois prẽdre;	Au point de tout oser, et de tout entreprendre, Je suis en doute enoor quel conseil apprendre dois prendre;
Si les ordres donnez ſont à mes yeux preſens, I’ay d’vn autre costé mille remords cuiſans, Mais quoy!	Si les ordres donnez sont à mes yeux presens, J'ai d'un autre côté mille remords cuisants, Mais quoi!
ce n’eſt pas tout, cette ſanglante image, D’vn parant que i’ay vû triompber de la rage, Repaſſe en mon eſprit ſans ceſſe à tous propos, Pour me perſecuter & troubler mon repos;	ce n'est pas tout, cette sanglante image, D'un parant que j'ai vu triomper de la rage, Repasse en mon esprit sans cesse à tous propos, Pour me persécuter et troubler mon repos;
Ie ne puis euiter l’horreur de ſes approches, Il me pourſuit par tout auec des reproches.	Je ne puis éviter l'horreur de ses approches, Il me poursuit par tout avec des reproches.
Si ie dors, ie le vois accablé de cailloux, Supporter constamment cette greſle de coups, Si ie veille, par tout malgré ma reſictance, Ie vois deuant mes yeux ma faute, & ſa conſtance, Et de meſme qu’vne ombre attachée à ſon corps, Ce fantoſme me ſuit auec mille remords, Ennemy de mon heur!	Si petit dors, Seigneur le vois accablé de cailloux, Supporter constamment cette grêle de coups, Si grande veille, par tout malgré ma résictance, Je vois deuant mes yeux ma faute, et sa constance, Et de même qu'une ombre attachée à son corps, Ce fantôme me suit avec mille remords, Ennemi de mon heur!
image courroucée, Ceſſe de me pourſuiure, & ſors de ma penſée, Laiſſe moy repoſer, car helas!	image courroucée, Cesse de me poursuivre, et sors de ma pensée, Laisse moi reposer, car hélas!
mes eſprits, ſe cou- Et mes yeux accablés du ſommeil ſont ſurpris, che ſur Que ie ſerois heureux ſi mon ame plus ſaine vn lit de Pouuoit dans ce ſommeil mettre fin à ſa peine, Et calmer tant d’ennuis;	mes esprits, se cou- Et mes yeux accablés du sommeil sont surpris, che sur Que ie serais heureux si mon âme plus saine un lit de Pouvait dans ce sommeil mettre fin à sa peine, Et calmer tant d'ennuis;
mais à quoy penſe-tu C’en eſt fait, ie me rends, mon eſprit abbatu.	mais à quoi pense-tu C'en est fait, une me rends, mon esprit abattu.
CENE III.	CÈNE III.
L’ANGE, dans vn Ciel ayant vn foudre en main.	L'ANGE, dans un Ciel ayant un foudre en main.
Vſqu'à quand cœur ingrât eſtre touſiours reI belle, Et touſiours reſiſter à la voix qui t’apelle, Iuſqu’à quand mépriſer mes inſpirations, Pour ſuiure aueuglement tes folles paſſions, Tant de ſoins que i’ay pris depuis ton plus bas aage, Ne les ay-ie employez cruel, qu’à ton dommage, Qui t’ayme tu le haïs, & par vn lache effort, Tu t’oppoſes au Ciel de qui depend ton ſort.	Vsqu'à quand cœur ingrât être toujours reI belle, Et toujours résister à la voix qui t'appelle, Jusqu'à quand mépriser mes inspirations, Pour suivre aveuglement tes folles passions, Tant de soins que j'ai pris depuis ton plus bas âge, Ne les ai-je employez cruel, qu'à ton dommage, Qui t'aime tu le haïs, et par un lache effort, Tu t'opposes au Ciel de qui dépend ton sort.
L’on ne voit les erreurs de ſon ame inſenſée, Que lors qu’il n’eſt plus temps, que la faute eſt paſſée;	L'on ne voit les erreurs de son âme insensée, Que lors qu'il n'est plus temps, que la faute est passée;
Apres l’on eſt rongé d’inutiles regrets, De remords ſuperflus, & de bourreaux ſecrets, Hela!	Après l'on est rongé d'inutiles regrets, De remords superflus, et de bourreaux secrets, Héla!
Helas!	Hélas!
crains que ce mal à la fin ne t’arriue, Crains que d’vn repentir la bonté ne te priue, Et que changeant pour toy tous ſes ſoins maternels, Elle ne te condamne aux tourmens eternels, Pendant qu’il t’eſt permis d’eſperer quelque choſe, Suis ce que la raiſon en ſecret te propoſe, Conſulte toy toy meſme, examine ton cœur, Quel eſt en tes deſſeins le but de ta rigueur, Si l’iniuſte fureur, que tu crois legitime, Selon ton ſentiment n’eſt pas l’effet d’vn crime, Si tu peux violer iuſques aux droits humains, Pour auoir le pouuoir, & les armes en mains, Mais, ie te parle en vain vne chaiſne inuiſible, Qui t'attâche à ce mal rend ton ame inflexible;	crains que ce mal à la fin ne t'arrive, Crains que d'un repentir la bonté ne te prive, Et que changeant pour toi tous ses soins maternels, Elle ne te condamne aux tourments éternels, Pendant qu'il t'est permis d'espérer quelque chose, Suis ce que la raison en secret te propose, Consulte toi y -même, examine ton cœur, Quel est en tes desseins le but de ta rigueur, Si l'injuste fureur, que tu crois légitime, Selon ton sentiment n'est pas l'effet crime, Si tu pas l' une aux droits humains, Pour si tu pô, et le armes h mains, Mais, ie te le en vain chaîne invisible, Qui t'attâche a ce mal rend ton mes inflexible;
Ainſi tu vois ta perte, & ſans nul ſentiment, Et ton eſprit ſe plaiſt en cet aueuglement.	Ainsi tu vois ta perte, et sans nul sentiment, Et ton esprit se plaît en cet aveuglement.
C'eſt aſſeZ t’aduertir, enfin, ie i’abandonne, Profite ſi tu veux des momens qu’on te donne, Sinon n’eſpere plus, Saul, ton malheur eſt preſt, Et la peine bien-toſt doit ſuiure ton Arreſt;	C'est assez t'avertir, enfin, ie S'abandonne, Profite si tu veux des moments qu'on te donne, Sinon n'espère plus, Saul, ton malheur est prêt, Et la peine bientôt doit suivre ton Arrêt;
Il ne ſera plus temps d’euiter la tempeste, Quand tu verras la foudre éclatter ſur ta teste.	Il ne sera plus temps d'éviter la tempête, Quand tu verras la foudre éclater sur ta tête.
CENE IV.	CÈNE IV.
S AVL, s’éueillant.	 SUL, s'éveillant.
Vel crime ay-ie commis?	Vel crime ai-je commis?
ah!	ah!
moderez ces coups;	modérez ces coups;
Qu'estes	Qu'êtes
Qu’estes vous deuenu?	Qu'êtes -vous devenu?
fantoſme, ou fuyez vous?	fantôme, ou fuyez -vous?
Helas!	Hélas!
quel ſonge, helas!	quel songe, hélas!
quel malheur, & quel trouble Mes ennuis ſont plus grands, & ma crainte redouble, Ie n’oſe executer ce que i’ay reſolu, Que faut-il que ie faſſe apres l’auoir conclu;	quel malheur, et quel trouble Mes ennuis sont plus grands, et ma crainte redouble, Je n'ose exécuter ce que j'ai résolu, Que faut-il que ie que pleines l'avoir conclu;
C’en eſt fait, ie me rends;	C'en est fait, Seigneur me rends;
