I v LECIEVN	I v LECIEUN
c’eſt vn vollage, il ma trop offencée, Qu'il ſoit hors de mon cœur, bany de ma penſée, Que ie n’y ſonge plus, qu’il me ſoit eſtranger, Puiſque legerement ilma doulu changer :	c'est un volage, il ma trop offensée, Qu'il soit hors de mon cœur, bani de ma pensée, Que je n'y songe plus, qu'il me soit étranger, Puisque légèrement ilma doulu changer :
Que diſ-je!	Que dis-je!
il n’a failly:	il n'a failli:
mais bien ceſte infidelle, Qui me l’a ſuborné, pour l’auoir aupres d’elle, Glycere!	mais bien cette infidèle, Qui me l'a suborné, pour l'avoir auprès d'elle, Glycère!
c’eſt à toy de m’en faire raiſon, I’yray te poignarder iuſques dans ta maiſon.	c'est à toi de m'en faire raison, J'irai te poignarder jusques dans ta maison.
LYDIE LA VOYANT ENTRER.	LYDIE LA VOYANT ENTRER.
Là voicy!	Là voici!
mais voyez comme eue faici la uame, Qui dira la voyant qu’elle eſt honneſte femme, C'eſt dequoy deſbaucher les jeunes eſuentez, Voyez la ſe mirer dedans ſes vanitez, Il la faut accoſter, bon iour la bien pourueuë, Vous rendez mal-heureux l’Amant de qui la veuë Ne regarde que vous, & n’a point d’autre object Que vos yeux clairs brillants, pour y voir ſon portraict C’eſt ſon vray naturel, car comme il eſt vollage, Vos yeux ſont comme eſclairs au milieu d’vn orage Touſiours en mouuement, & de nuict & de iour Pour taſcher d’attrapper quelque ſot en amour;	mais voyez comme eue faici la Îme, Qui dira la voyant qu'elle est honnête femme, C'est dequoy débaucher les jeunes éventez, Voyez la se mirer dedans ses vanités, Il la faut accoster, bon jour la bien pourvue, Vous rendez malheureux l'Amant de qui la vue Ne regarde que vous, et n'a point d'autre object Que vos yeux clairs brillants, pour y voir son portrait C'est son vrai naturel, car comme il est volage, Vos yeux sont comme éclairs au milieu d'vn orage Tousiours en mouvement, et de nuit et de iour Pour tâcher qattrapper autre sots en point ;
Celuy qui me voyoit, maintenant vous contemple, Vous l’auez attiré;	Celui qui me voyait, maintenant vous contemple, Vous l'avez attiré;
des vertus c’eſt l’exemple, L'vnique en fermeté qui n’a point ſon pareil, Beau, clair, brillant, bruſlant, vn miroir, vn ſoleil, Pourtant, ſans vanité, tu n’as rien que mon reſte, Il m’eſtoit à degouſt, ie le iure & proteſte, Il me ſuiuoit par tout, m’importunant ſi fort, Que pour ne l oon peus, et ſouhaittois la mort.	des vertus c'est l'exemple, L'vnique en fermeté qui n'a point son pareil, Beau, clair, brillant, brûlant, un miroir, un soleil, Pourtant, sans vanité, tu n'as rien que mon reste, Il m'était à dégoût, tu le jure et proteste, Il me suivait par tout, m'importunant si fort, Que pour ne oon pus, et souhaittois la mort.
Qu'en dis-tu?	Qu'en dis-tu?
MILERE, ie m’en ris	MILERE, Elle m'en ris
LYDIE.	LYDIE.
Dequoy?	Dequoy?
GLYCERE.	GLYCÈRE.
de ta ſotniſe, Tu dis l'vn penſant l’autre, & par telle feintiſe, Tu crois me bien faſcher, eſcoutant tes diſcours;	de ta sotnise, Tu dis l'un pensant l'autre, et par telle feintise, Tu crois me bien fâcher, écoutant tes discours;
Pour ne pouuoir le voir, tu te meurs tous les jours Tu bruſle à petit feu, ta grande jalouſie, Te l’imprime preſent dedans ta fanteſie, Tu ſers d’ombre à ſon corps, en adorant ſes pas, Et de t’auoir aymée il ne s’en ſouuient pas:	Pour ne pouvoir le voir, tu te meurs tous les jours Tu brûle à petit feu, ta grande jalousie, Te l'imprime présent dedans ta fantesie, Tu sers d'ombre à son corps, en adorant ses pas, Et de t'avoir aimée il ne s'en souvient pas:
Le chien gardant les fruicts, aux champs dans vn cloſage, De n’en pouuoir manger, il abboye de rage, Si l’on en veut cueillir, ſi l’on en veut manger, Ma foy tu es de meſme & ne m'en veux venger:	Le chien gardant les fruits, aux champs dans un closage, De n'en pouvoir manger, il aboie de rage, Si l'on en veut cueillir, si l'on en veut manger, Ma foi tu es de même et ne m'en veux venger:
Meſpriſant ton diſcours, ie te laiſſe tout dire;	Mesprisant ton discours, ie te laisse tout dire;
LYDIE.	LYDIE.
Vous m’offencez par trop, ie n’y treuue que rire, Vous aurez ſur le nez, i'auray l’eſcoiffion,	Vous m'offensez par trop, Seigneur n'y trouve que rire, Vous aurez sur le nez, j'aurai l'écoiffion,
Impudente, GLYCERE.	Impudente, GLYCÈRE.
LYDIE.	LYDIE.
Arragée.	Arragée.
– *	 *
SHICERE.	SHICERE.
O Dieu!	Ô Dieu!
miſericorde,	miséricorde,
LTDIE.	LTDIE.
Tes cheueux ſeruiront de lien & de corde, Ie te veux eſtrangler,	Tes cheveux serviront de lien et de corde, Je te veux étrangler,
GLYCERE.	GLYCÈRE.
Où me veux-tu mener?	Où me veux-tu mener?
YDIE.	YDIE.
Iuſques dans ta maiſon, ie m’en vay te traiſner:	Jusque dans ta maison, tu m'en vais te traîner:
ACTE SECONDE.	ACTE SECONDE.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
LE DVELLISTE ET DVRACIER SON SECOND ENTRERONT.	LE DUELLISTE ET DURACIER SON SECOND ENTRERONT.
LE DVELLISTE.	LE DUELLISTE.
La vengeance & l’amour, me bruſlent de leur ſlame, La rage, & la colere, ont aſſiegé mon ame, Ie ne ſuis plus à moy;	La vengeance et l'amour, me brûlent de leur slâme, La rage, et la colère, ont assiégé mon âme, Je ne suis plus à moi;
car ces deux paſſions, Tourne-virent mes ſens de mille affections, La vengeance m’emporte à beaucoup entreprendre, Et l’amour me retient, & ſuis ſorcé de rendre, Mes vœux à ſes Autels:	car ces deux passions, Tourne-virent mes sens de mille affections, La vengeance m'emporte à beaucoup entreprendre, Et l'amour me retient, et suis sotcé de rendre, Mes vœux à ses Autels:
& lors Mars plain d’horreur, Recueille mon courage, & me met en fureur:	et lors Mars plain d'horreur, Recueille mon courage, et me met en fureur:
Donne moy ton aduis, amy que dois-je faire, I’ay beſoin de conſeil à reſoudre l’affaire;	Donne moi ton avis, ami que dois-je faire, J'ai besoin de conseil à résoudre l'affaire;
Que ne ſuis-je aux deſerts des mortels incongnus, Où Mars & Cupidon, ne ſont iamais venus, I’y baſtirois vn Temple à faire ma demeure, Sans armes, ſans amours, iuſqu’à ma derniere heure:	Que ne suis-je aux déserts des mortels inconnus, Où Mars et Cupidon, ne sont jamais venus, J'y bâtirais un Temple à faire ma demeure, Sans armes, sans amours, jusqu'à ma dernière heure:
En pleurant les regrets qui m'affligent ſi fort, Que ie n’ayme rien tant que de baiſer la mort, Qu'il faille qu'vn riual de nature ſauuage, I'ay la force & le droict, luy la craimte & le tort:	En pleurant les regrets qui m'affligent si fort, Que je n'aime rien tant que de baiser la mort, Qu'il faille qu'un rival de nature sauvage, J'ai la force et le droit, Seigneur la craite et le tort:
Poſſede ma Maiſtreſſe & la tienne en ſeruage.	Possède ma Maîtresse et la tienne en servage.
Ie mourray mille fois pluſtoſt que l’endurer;	Je mourrai mille fois plutôt que l'endurer;
D'vn amy au beſoin on ſe peut aſſeurer, M’eſt tu pas de ce nombre?	D'un ami au besoin on se peut assurer, M'est tu pas de ce nombre?
à me rendre ſeruice!	à me rendre service!
Porte luy ce Cartel;	Porte eux ce Cartel;
rend moy ce bon office.	rend moi ce bon office.
DVRACIER SECOND.	DURACIER SECOND.
Monſieur;	Monsieur;
c’eſt le conſeil qu’euſſiez reçeu de moy, Ie ſuis du tout à vous ne douttez de ma foy;	c'est le conseil qu'eussiez reçu de moi, Je suis du tout à vous ne doutez de ma foi;
Ie vous demande vn poinct;	Je vous demande un point;
par tres-humble priere, De ne me tarſſer pas les daux bras ſans rien faire Ie vous ſerts de ſecond, & ne vous quitte point, Auſſi toſt comme vous i’auray l’eſpée au point.	par très-humble prière, De ne me tarsser pas les daux bras sans rien faire Je vous serts de second, et ne vous quitte point, Aussi tôt comme vous j'aurai l'épée au point.
LE DVELLISTE.	LE DUELLISTE.
Non!	Non!
ie ne doutte pas de ton braue courage;	On ne doute pas de ton brave courage;
L’amy, dans les perils iamais l’amy n’engage Ie te garde pour mieux, croy moy fidellement, Me battre ſeul à ſeul, c’eſt mon contentement:	L'ami, dans les périls jamais l'ami n'engage Je te garde pour mieux, crois moi fidèlement, M battre seul à seul, c'est mon contentement:
Va donc ſans plus tarder, dis-luy qu'en ceſte place, Ie l’attends pourpoint bas;	Va donc sans plus tarder, dis-lui qu'en cette place, Je l'attends pourpoint bas;
va promptement de grace;	va promptement de grâce;
ACIER.	ACIER.
Auſſi toſt faict que dit, i'y vay tout de ce pas, Ie tarderay bien peu ne vous ennuyez pas!	Aussi tôt fait que dit, j'y vais tout de ce pas, Je tarderai bien peu ne vous ennuyez pas!
Ie vous l’ameine icy;	Je vous l'amène ici;
s’il manque de courage, Vous m'en excuſerez, ayant faict mon meſſage.	s'il manque de courage, Vous m'en excuserez, ayant fait mon message.
LE DVELLISTE.	LE DUELLISTE.
Allez ſans plus tarder, il ſeroit deſia mort,	Allez sans plus tarder, il serait déjà mort,
LE M.	LE M.
D'HOSTEL ENTRANT.	D'HÔTEL ENTRANT.
LE DVELLISTE.	LE DUELLISTE.
Mais le voicy venir, c'eſt luy, comme il me ſemble, Luy meſme aſſeurement, ie voy bien comme il tremble, Mon ſeul regard le tuë, il le faut accoſter, Il me croit bien plus loin, ie m’en vay le taſter:	Mais le voici venir, c'est lui, comme il me semble, Lui même assurément, Elle vois bien comme il tremble, Mon seul regard le tue, il le faut accoster, Il me croit bien plus loin, Seigneur m'en vais le tâter:
LE DVELLISTE EN PRESENCE.	LE DUELLISTE EN PRÉSENCE.
vviet ejpee au poing, 'Ooiy la derniere peure, Que dans les voluptez tu feras ta demeure, Venus & Cupidon, ne ſont pas aſſez forts, Pour empeſcher ta courſe au Royaume des morts!	viét ejpee au point, 'Ooii la dernière peure, Que dans les voluptés tu feras ta demeure, Venus et Cupidon, ne sont pas assez forts, Pour empêcher ta course au Royaume des morts!
LE M.	LE M.
D’HOSTEL L’ESPE’E A LA MAIN.	D'HÔTEL L'ÉPE'E À LA MAIN.
Que veux tu Rodomont;	Que veux tu Rodomont;
tu combats de paroles, Mais tu manques d’effect:	tu combats de paroles, Mais tu manques d'effet:
ie ris de ces friuoles, Puiſque tu veux mourir, pare, bon pied, bon œil;	Les ris de ces frivoles, Puisque tu veux mourir, pare, bon pied, bon œil;
Rend l’eſpée & la vie, et va droict au cercueil:	Rend l'épée et la vie, et va droit au cercueil:
SORTIRA R'EMPORTANT SON ESPE’E	SORTIRA REMPORTANT SON ESPE'E
DISANT.	DISANT.
Qu'on le face inhumer:	Qu'on le face inhumer:
à Dieu belle mouſtache;	à Dieu belle moustache;
Tu n’eſt plus querelleux, Rodomont ny brauache, Tu pontillois par trop, te plaiſant d’offencer:	Tu n'est plus querelleux, Rodomont ici bravache, Tu pontillais par trop, te plaisant d'offenser:
LE M.	LE M.
D’HOSTEL SORTY.	D'HÔTEL SORTI.
LE DVELLISTE.	LE DUELLISTE.
Venez me ſecourir, & me faire penſer.	Venez me secourir, et me faire penser.
ACTE SECONDE.	ACTE SECONDE.
CENE SIXIESME LE MAISTRE D'HOSTEL TENANT GLYCERE PAR LA MAIN.	CÈNE SIXIÈME LE MAÎTRE D'HÔTEL TENANT GLYCÈRE PAR LA MAIN.
Ma Dame vos vertus, & vos rares merites, Vous donnent vne place au deſſus des Charites, Vos douceurs, vos attraits, la beauté de vos yeux, Ce ſont dons tous diuins, d’eſtinez pour les dieux:	Ma Dame vos vertus, et vos rares mérites, Vous donnent place au dessus des Charites, Vos douceurs, vos attraits, la beauté de vos yeux, Ce sont dons tous divins, d'étinez pour les dieux:
Et iuſtement peut-on tenir pour temeraire, Pardon doncques Madame, excuſez mon amour, Aux rayons de vos yeux, ie bruſle nuict & iour;	Et justement peut-on tenir pour téméraire, Pardon donc Madame, excusez mon amour, Aux rayons de vos yeux, ie brûle nuit et jour;
Ie ſçay voſtre beauté, d’eſſence eſtre immortelle, Qu'on permet d’adorer, non pas d’aprocher d’elle:	Je sais votre beauté, d'essence être immortelle, Qu'on permet d'adorer, non pas d'approcher d'elle:
Mais que feray-je, helas!	Mais que ferai-je, hélas!
amour ſans nul repos, M’afflge, me conſumme, & bruſle dans les os.	amour sans nul repos, M'afflège, me consumme, et brûle dans les os.
LYCERE.	LYCERE.
Monſieur, remettez-vous, ie n’ay tant de merites, Pour me vouloir placer au nombre des Charites, L’amour vous rend aueugle & vous bande les yeux, Faiſant que me croyez de meriter les dieux, Ie ſuis toute mortelle, & pauure creature, Imbecile de corps, d’eſprit & de nature, A la mercy d’vn homme, à qui mon amitié, N’a peu mollir le cœur, pour en auoir pitié Car meſpriſant mes ſeux, tout plain de jalouſie, Formant dans ſon eſprit, diuerſes fantezie, De ſoubçons, de ranqueurs, de craintes de deſdains, Me quitte, me celant, ſes funeſtes deſſains.	Monsieur, remettez-vous, je n'ai tant de mérites, Pour me vouloir placer au nombre des Charites, L'amour vous rend aveugle et vous bande les yeux, Faisant que me croyez de mériter les dieux, Je suis toute mortelle, et pauvre créature, Imbecile de corps, d'esprit et de nature, À la merci d'un homme, à qui mon amitié, N'a peu mollir le cœur, pour en avoir pitié Car méprisant mes seux, tout plain de jalousie, Formant dans son esprit, diverses santé, De soubons, de ranqueurs, de craintes de dédains, à quitte, à celant, me vou dessains,
LE M.	LE M.
D’HOSTEL.	D'HÔTEL.
Madame, en peu de mots vous en ſçaurez l’hiſtoire, Ce fanfaron auoit peu d’amour moins de gloire, Ie ne veux pas pourtant comme faux blaſonneur, Accuſer ſon Amour, & trahir ſon honneur:	Madame, en peu de mots vous en saurez l'histoire, Ce fanfaron avait peu d'amour moins de gloire, Je ne veux pas pourtant comme faux blasonneur, Accuser son Amour, et trahir son honneur:
Mais dire en verité, que ſon peu de ſeruice, N’auoit pour fondement que le blaſme & le vice, Se deffiant de vous;	Mais dire en vérité, que son peu de service, N'avait pour fondement que le blâme et le vice, Se défiant de vous;
ie me fonde en ce point, Qu’vn homme eſtant jaloux, d’amour n’a du tout point, Qu'eſt-ce que vray amour!	Elle me fonde en ce point, Qu'un homme étant jaloux, d'amour n'a du tout point, Qu'est-ce que vrai amour!
c’eſt vne claire flame, C’eſt vn ardant deſir, qui nous eſchauffe l’ame, C’eſt vne viue ardeur, vn feu que Promethé, Auoit comme l’on dit du Soleil emprunté, Dans ſes rayons dorez, d’vne clarté ſubtille, Pour y mieux animer, ſon ouurage d’argille.	c'est une claire flamme, C'est un ardant désir, qui nous échauffe l'âme, C'est une vive ardeur, un feu que Promethé, Avait comme l'on dit du Soleil emprunté, Dans ses rayons dorés, d'une clarté subtille, Pour y mieux animer, son ouvrage d'argille.
La paſſion jalouſe, eſt vne froide peur, Qui le ſang nous congelle, & nous glace le cœur;	La passion jalouse, est une froide peur, Qui le sang nous congelle, et nous glace le cœur;
C’eſt vn puiſſant poiſon, qui gliſſant dans nos veines, Nous oſtant le repos, nous donne mille peines, Nous faict ſuër, trembler, les fiebures en tout temps, Et qui faict naistre en nous, vn hyuer au printemps;	C'est un puissant poison, qui glissant dans nos veines, Nous ôtant le repos, nous donne mille peines, Nous fait suer, trembler, les fièbures en tout temps, Et qui fait naître en nous, un hiver au printemps;
Amoureux & jaloux;	Amoureux et jaloux;
c'eſt le feu & la glace, Deux contraires ne ſont iamais en meſme place;	c'est le feu et la glace, Deux contraires ne sont jamais en même place;
Il faudroit que le feu, y laiſſaſt ſon ardeur, Autrement:	Il faudrait que le feu, y laissât son ardeur, Autrement:
que la glace y perdit ſa froideur;	que la glace y perdit sa froideur;
Si c’eſtoit qu’en meſme heure vne ame fut ſaiſie, D'vn Amour tout ardant, & froide jalouſie;	Si c'était qu'en Un heure une âme fut saisie, D'un Amour tout ardant, et froide jalousie;
Doncques ce jeune Amant, qui s’offençoit de tout, Rendu jaloux de moy penſe en venir à bout, Me vient porter parole et croit comme il luy ſemble, Eſtre jaloux Amant, & courageux enſemble;	Donc ce jeune Amant, qui s'offensait de tout, Rendu jaloux de moi pense en venir à bout, Me vient porter parole et croit comme il lui semble, Être jaloux Amant, et courageux ensemble;
Il tire vne eſtocade, à ſon premier abord, Ie la pare, & paſſant, ie luy donnay la mort.	Il tire une estocade, à son premier abord, Je la pare, et passant, ie lui donnai la mort.
GLYCERE ESTONNE’E.	GLYCÈRE ESTONNE'E.
Eſt il mort?	Est -il mort?
LE MAISTRE D’HOSTEL.	LE MAÎTRE D'HÔTEL.
Peu s’en faut,	Peu s'en faut,
GLYCERE FASCHE’E.	GLYCÈRE FASCHÉT-E.
Hé!	Hé!
dictes moy de grace, Où fut laiſſé le corps,	dictes moi de grâce, Où fut laissé le corps,
LE MAISTRE D'HOSTEL.	LE MAÎTRE D'HÔTEL.
Eſtendu ſur la place, Ayant pris ſon eſpée & viens vous l’apporter, Vous offrir mon ſeruice, et mon cœur preſenter;	Étendu sur la place, Ayant pris son épée et viens vous l'apporter, Vous offrir mon service, et mon cœur présenter;
GLYCERE PLEVRAN Pour trop aymer mes yeux, il a perdu la vie, TE.	GLYCÈRE PLEURAN Pour trop aimer mes yeux, il a perdu la vie, TE.
Vn homme n'ayme pas qui meurt de jalouſie,	Un homme n'aime pas qui meurt de jalousie,
ELYCERE SORTANT.	ELYCERE SORTANT.
Monſieur juſqu’au reuoir, i'ay le cœur trop preſſé:	Monsieur jusqu'au revoir, j'ai le coeur trop pressé:
LE M.	LE M.
D’HOSTEL.	D'HÔTEL.
Madame il n’eſt pas mort, mais ſeulement bleſſé;	Madame il n'est pas mort, mais seulement blessé;
Que de maux pour aymer?	Que de maux pour aimer?
vne ame eſt bien heureuſe Qui la vertu cherit & s’en rend amoureuſe!	une âme est bien heureuse Qui la vertu chérit et s'en rend amoureuse!
C’eſt aymer la vertu d’aymer vne beauté, Ie vay la voir chez elle en toute priuauté,	C'est aimer la vertu d'aimer une beauté, Je vais la voir chez elle en toute privauté,
IN DV SECOND ACTE.	IN DU SECOND ACTE.
ACTE TROISIESME STENE PREMIERE.	ACTE -TROISIÈME STENE PREMIÈRE.
ARGVMENT.	ARGUMENT.
E Maiſtre d’Hoſtel ayant appaiſé & gaigné Glycere, jouyra d’elle ſoubs promeſſe de Mariage;	ELLE Maître d'Hôtel ayant apaisé et gagné Glycère, jouira d'elle soubs promesse de Mariage;
cependant vn Maiſtre d’Eſcrime nommé Gladiateur, ſon Preuoſt nommé Creat, & vn Soldat nommé la Verdure, tireront des Fleureſts & ſeront apportez vn Plaſtron & vne Cuiraſſe, le Duëlliſte y arriuant ſera bourré du Soldat qui de dépit l’appellera, duquel il ſera derechef battu;	cependant un Maître d'Escrime nommé Gladiateur, son Prévôt nommé Créat, et un Soldat nommé la Verdure, tireront des Fleur et seront apportez un Plastron et une Cuirasse, le Duelliste y arrivant sera bourré du Soldat qui de dépit l'appellera, duquel il sera derechef battu;
puis Glycere ſe plaignant du Maiſtre d’Hoſtel pour la perte de ſon honneur, par ſa jouyſſance dercenier iuy promttdu mariage.	puis Glycère se plaignant du Maître d'Hôtel pour la perte de son honneur, par sa jouissance dercenier jui promtdu mariage.
Et le Duëlliſte malheureux, quoy que touſiours battu, ayant faict Alliance auec l’Ordinaire nommé Arimand, faignant d’eſtre appellé pour voir ſon courage, l’Ordinaire picqué de ce doubte & de ſa fourbe, l’oblige de mettre l’eſpée à la main, & eſtbleſſé par Arimand.	Et le Duëlliste malheureux, quoi que toujours battu, ayant fait Alliance avec l'Ordinaire nommé Arimand, faignant d'être appelé pour voir son courage, l'Ordinaire piqué de ce doute et de sa fourbe, l'oblige de mettre l'épée à la main, et estblessé par Arimand.
Madame ſeruons nous du loiſir qu’on nous laiſſe Recompenſons les iours que par voſire ſimpleſſe Et ce faux poinct d’honneur, en vain i’ay conſammez:	Madame servons nous du loisir qu'on nous laisse Recompensons les jours que par vosire simplesse Et ce faux point d'honneur, en vain j'ai consammez:
Nous ne craignons plus rien, tous les huis ſont fermez, Voſtre mere eſt aux champs, i’ay gaigné la ſuiuante, Nous ne ſommes guettez d’aucune ame viuante;	Nous ne craignons plus rien, tous les huis sont fermés, Votre mère est aux champs, j'ai gagné la suivante, Nous ne sommes guettez d'aucune âme vivante;
Approche toy mon cœur, deſpeſchons viſtement, Donne fin à ma peine, allege mon tourment, Que I’imprime vn baiſer ſur ceſte belle bouche:	Approche toi mon cœur, dépêchons vitetement, Donne fin à ma peine, alège mon tourment, Que J'imprime un baiser sur cette belle bouche:
Tu refuſes mon cœur!	Tu refuses mon cœur!
quoy!	quoi!
tu faits la farouche?	tu faits la farouche?
A ceſte heure ie veux contenter mon deſir.	À cette heure Rom veux contenter mon désir.
Pour deux ans de trauaux, vne heure de plaiſir;	Pour deux ans de travaux, une heure de plaisir;
Quoy!	Quoi!
me repouſſe-tu;	me repousse-tu;
de ce point où i’aſpire?	de ce point où j'aspire?
Me l’accordant cent fois, il n’en deuiendra pire, Croyez le de certain, il n’amoindrit iamais, Pluſtoſt il agrandit;	Me l'accordant cent fois, il n'en deviendra pire, Croyez le de certain, il n'amoindrit jamais, Plutôt il agrandit;
ouy ie te le promets, Mantu faita fatneuſt, a quoy von tant de mine, Me l’as tu pas promis;	ou ie te le promets, Mantu a fatneust, à quoi von tant de mine, Me l'as tu pas promis;
pourquoy faicts tu la fine, Il eſt temps de cueillir la fleur de tes beautez Ma foy peut-elle point fleſchir tes cruautez?	pourquoi faits -tu la fine, Il est temps de cueillir la fleur de tes beautés Ma foi peut-elle point fléchir tes cruautés?
Ay-ie ſemé deux ans ſur vn champ infertile, Le laiſſant à preſent comme vn bien inutile?	Ai-je semé deux ans sur un champ infertile, Le laissant à présent comme un bien inutile?
LYCERE.	LYCERE.
Monſieur, ie ſuis à vous, mais ie crains mon honneur.	Monsieur, ie suis à vous, mais ainsi crains mon honneur.
Que dira-t’on de moy, viuante en des honneur?	Que dira-t-on de moi, vivante en des honneur?
Vne roſe cueillie eſt bien toſt meſpriſée, Quand la fille à faict faute elle ſert de riſée:	Une rose cueillie est bien tôt méprisée, Quand la fille à fait faute elle sert de risée:
Aymons nous ſans rien faire, & paſſons noſtre temps A voir les beaux Iardins dans la ville et aux champs, Allons au cours enſemble, & voir la Comedie, S’il ennuye à Paris, allons en Normandie Pour y faire vne beſte, & puis dancer au Bal, Nousſerons en eutnace aua tours uu ourneual;	Aimons -nous sans rien faire, et passons quelque temps A voir les beaux Jardins dans la ville et aux champs, Allons au cours ensemble, et voir la Comédie, S'il ennuie à Paris, allons en Normandie Pour y faire une bête, et puis dancer au Bal, Nousserons en eutnace ava tours u ourneuneu;
L’Amour auec l’honneur:	L'Amour avec l'honneur:
LE M.	LE M.
D'HOSTEL.	D'HÔTEL.
l'honneur n’eſt que chymere, C’eſt dequoy vous berçoit au maillot voſtre mere En vous faiſant maint conte à faute de diſcours;	l'honneur n'est que chimère, C'est dequoy vous berçoit au maillot votre mère En vous faisant maint conte à faute de discours;
Penſez-vous qu'vn Amant fut mort ſans ſon ſecours Sa vie deſpendant de coucher auec elle, Quand ieune elle bruſloit de chaleur naturelle?	Pensez-vous qu'Hô Amant fut mort sans son secours Sa vie dépendant de coucher avec elle, Quand jeune elle brûlait de chaleur naturelle?
Non non;	Non non;
elle eſtoit femme, & prenoit du plaiſir, A gouſter à longs traicts des Amants le deſir;	elle était femme, et prenait du plaisir, A goûter à longs traits des Amants le désir;
Haſtons nous petit cœur, le temps qui tout efface Ttinira ces beaux Lys qui parent voſtre face, Ces cheueux ondoyants tomberont quelque iour, Faiſons-en des liens aux delices d’Amour;	Hâtons nous petit cœur, le temps qui tout efface Ttinira ces beaux Lys qui parent votre face, Ces cheveux ondoyants tomberont quelque jour, Faisons-en des liens aux délices d'Amour;
Et puis que les ſaiſons courent d’vn pied ſi viſte, Ne perdons point le temps où l’Amour nous inuiſte, Si ne voulez venir, ie vous y veux porter!	Et puis que les saisons courent d'une pied si vite, Ne perdons point le temps où l'Amour nous inviste, Si ne voulez venir, ils vous y veux porter!
GLYCERE EMPORTE’E.	GLYCÈRE EMPORTE'E.
A l'ayde!	À l'aide!
à dieu l'honneur, ie n'y peux reſiſter.	à dieu l'honneur, ie n'y peux résister.
ACTE	ACTE
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
LE MAISTRE D’ESCRIME GLADIATEVR.	LE MAÎTRE D'ESCRIME GLADIATEUR.
LE PREVOST DE SALLE.	LE PRÉVÔT DE SALLE.
CREAT.	CRÉÂT.
LE SOLDAT.	LE SOLDAT.
LA VERDVRE.	LA VERDURE.
Creat prend tes fleurets, tire vn coup d’eſtoccade, Et bourre le pourpoint, à ce tien camarade, Viſte battez le fer, pouſſez, gardez les yeux, Piren, on pen puideus jaauantec de ju mioix, Mettez vous ſur la tierce, ayez la jambe drette, Tirez plus bas, parez, du tallon de la brette;	Créz prend tes fleurets, tire un coup d'étoccade, Et bourre le pourpoint, à ce tien camarade, Vite battez le fer, poussez, gardez les yeux, Piren, on pen puideus jaavantec de ju mioix, Mettez -vous sur la tierce, ayez la jambe drette, Tirez plus bas, parez, du tallon de la brette;
Aduancez, de pied ferme, & bomreEj on pourpoint, Bon:	Aduancez, de pied ferme, et bomreEj à pourpoint, Bon:
ceſte botte franche, a porté bion à point-	cette botte franche, a porté bion à point-
LA VERDVRE CROISANT LES ARMES Mon maiſtre excuſez moy, car faute d’exercice Ie n’ay rien faict qui vaille,	LA VERDURE CROISANT LES ARMES Mon maître excusez moi, car faute d'exercice Je n'ai rien fait qui vaille,
LE GLADIATEVR.	LE GLADIATEUR.
Accepte mon ſeruice, Ie m’offre à te monſtrer quand tu és de loiſir, Viens me voir tu ne peux meilleur maiſtre choiſir;	Accepte mon service, Je m'offre à te montrer quand tu ès de loisir, Viens me voir tu ne peux meilleur maître choisir;
Faute de t’exercer, ſi tu manque d’haleine, Ne t'en eſtonne pas;	Faute de t'exercer, si tu manque d'haleine, Ne t'en étonne pas;
en moins d'vne ſepmaine, Ie te faicts ſouſtenir toutes ſortes d’aſſauts, Aduancer l’estoccade, à bons, à petits ſauts;	en moins d'une spmaine, Je te faits soutenir toutes sortes d'assauts, Aduancer l'étoccade, à bons, à petits sauts;
Croy moy tu feras bien, ie te veux rendre maiſtre, Et dans bien peu de temps te le feray pareſtre.	Crois -moi tu feras bien, Seigneur te veux rendre maître, Et dans bien peu de temps te le ferai paraître.
LA VERDVRE.	LA VERDURE.
Vous m’obligez par trop, ie n’ay pas le pouuoir De vous recompenſer, à l’eſgal du vouloir;	Vous m'obligez par trop, je n'ai pas le pouvoir De vous récompenser, à l'égal du vouloir;
Mais ſi ie peux iamais vous rendre vn bon office, Tenez pour aſſeuré mon tres-humble ſeruice.	Mais si ici peux jamais vous rendre un bon office, Tenez pour assuré mon très-humble service.
LE GLADIATEVR.	LE GLADIATEUR.
Ie vous baiſe les mains, trefue de compliment, Ie vay monſtrer en ville, & reuiens promptement:	Je vous baise les mains, trouve de compliment, Je vais montrer en ville, et reviens promptement:
Cependant qu’on s’exerce, & tirez de meſure Bas:	Cependant qu'on s'exerce, et tirez de mes Bas:
car l’œil, où la dent, y courent aduenture.	car l'œil, où la dent, y courent aventure.
LE DVFILISTE.	LE DUFILISTE.
compagnon, tun ma uit que tu pais uſſtẽ bien, C’eſt ton ſeul exercice, & tout ton entretien, Voudrois-tu m’obliger de te mettre en deffence?	compagnon, tun ma uit que tu pais usstẽ bien, C'est ton seul exercice, et tout ton entretien, Voudrais-tu m'obliger de te mettre en défense?
Ie vay prendre vn fleuret pour te voir en preſence, Tirons vne eſtoccade, allorge, pouſſe fort.	Je vais prendre un fleuret pour te voir en présence, Tirons une étoccade, allorge, pousse fort.
LA VERDVRE LVY PORTANT.	LA VERDURE LUI PORTANT.
Puis que vous le voulez, de ce coup fuſſiez mort.	Puis que vous le voulez, de ce coup fussiez mort.
