PAR MONSIEVR BORÉE,	PAR MONSIEUR BORE,
Et ie ne doute plus, que ta belle prudence Ne nous faſſe dompter du Scythe l’impudence.	Et petit ne doute plus, que ta belle prudence Ne nous fasse dompter du Scythe l'impudence.
CROESVS.	CROESVS.
Ne doutez nullement d’en voir vn prompt effect, Vous le verrez nager dedans ſon ſang infect:	Ne doutez nullement d'en voir un prompt effet, Vous le verrez nager dedans son sang infect:
I ſuffit, voila trop pour appaſter nos beſtes, Juſqu'à tant que le foudre accrauãte leurs teſtes.	I suffit, voilà trop pour appâter nos bêtes, Jusqu'à tant que le foudre accravante leurs têtes.
ACHEMENE ESPION.	ÀCHÉMENE ESPION.
Meſſeigneurs, ſoyons preſts, l’ennemy trespuiſſant  dt vient ruer ſur nou de ſuren fremiſjaut.	Messeigneurs, soyons prêts, l'ennemi trépuissant dût vient ruer sur nou de suren frémisjaut.
N’entẽdez-vous le bruit de cent mille trõpettes?	N'entendez-vous le bruit de cent mille trépettes?
CROESVS.	CROESVS.
Jl entendra bien-toſt celuy de nos tempeſtes.	Il entendra bientôt celui de nos tempêtes.
Hyſtaspe, vous tienareZ iey le prenmen rung, Au ſeul bruit de ma voix tournez ſoudain le flanc.	Hystaspe, vous tiencez api le prenmen rung, Au seul bruit de ma voix tournés soudez le flanc.
HYSTASPE.	HYSTASPE.
Voſtre voix en tous lieux me ſeruira d’Oracle:	Votre voix en tous lieux me servira d'Oracle:
d Je vous obeïray, croyez-le, ſans obſtacle.	 Je vous obéirai, croyez-le, sans obstacle.
CROESVS.	CROESVS.
Uous autres, compagnons, des Perſes prote.	Uous autres, compagnons, des Perses prote.
cteurs, De vos Cheſs auiour d’huy ſoyez imitateurs, Ne les quittez iamais, au ſurplus que perſonne Ne remuë, attendant que la trompette ſonne.	cteurs, De vos Chess aujour d'hui soyez imitateurs, Ne les quittez jamais, au surplus que personne Ne remue, attendant que la trompette sonne.
TIISTASPE.	TIISTASPE.
Sus les voicy venir en foudres orageux.	Sus les voici venir en foudres orageux.
e ne edo vos.	Je ne édo vos.
Mes amis, ſoyons donc au beſoing courageux.	Mes amis, soyons donc au besoin courageux.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
Spargapiſe.	Spargapise.
Amaſtre.	Amâtre.
Scopaſe, Soldats Scythes.	Sopase, Soldats Scythes.
SPARGAPISE.	SPARGAPISE.
Es amis, ſuuez moy, ne quittés voſtre AVTPrince, Chaſſons ceſt affamé dehors de la Prouince.	Es amis, suvez -moi, ne quittez votre AUTPrince, Chassons cet affamé dehors de la Province.
1!	1!
AMASTRE.	AMASTRE.
Taſchons au moins ſur tout d’auoir l’honneur entier.	Tâchons au moins sur tout d'avoir l'honneur entier.
SPARGAPISE.	SPARGAPISE.
Auons aunt, mesumn,par ce braue ſentier.	Auons àunt, mesumn,par ce brave sentier.
CROESVS.	CROESVS.
Courage, ils ſont perdus.	Courage, ils sont perdus.
SPARGAPISE.	SPARGAPISE.
Vous ſentez voſtre Hercule.	Vous sentez votre Hercule.
Monſtres effeminez, la canaille recule, Alons, ils jom ueſfaitis, ia vicrencip unous.	Monstres efféminez, la canaille recule, Alons, ils jom uesfaitis, ja vicrencip unous.
Traiſtres vous en mourrez	Traîtres vous en mourrez
AMASTRE.	AMASTRE.
Temperez ce courroux, Ils ont aſſez payé leurs entrepriſes vaines Dans les torrẽs desãg, qui ſortẽt de leurs veines.	Tempérez ce courroux, Ils ont assez payé leurs entreprises vaines Dans les torrenée, qui sortẽt de leurs veines.
Les champs qui paroiſſoyent auparauant ſi vers, Flottent hydeuſement de ces monſtres couuerts.	Les champs qui paraissaient auparavant si vers, Flottent hideusement de ces monstres couverts.
SPARGAP.	SPARGAP.
Ne peuuent-ils reprendre Les Armes derechef?	Ne peuvent-ils reprendre Les Armes derechef?
AMASTRE.	AMASTRE.
& mefme t'entitprendre.	et même t'entitprendre.
SPARGAPISE.	SPARGAPISE.
Le deshonneur receu les pourroit animer, Suyuons, & les faiſons dans l’Araxe abyſmer.	Le déshonneur reçu les pourrait animer, Suyvons, et les faisons dans l'Araxe abîmer.
AMASTRE.	AMASTRE.
Iouyſſez du bon-heur, vne ſanglante rage Augmente maintefois aux vaincus le courage:	Jouissez du bonheur, une sanglante rage Augmente maintefois aux vaincus le courage:
Bref, vn grand deſespoir remet ſouuent celuy, Qui n’eſperoit plus rien que miſere & qu'ennuyScyons doncques contens, & pour ceſte conqueſte Celebrons deſormais vne eternelle feſte.	Bref, un grand désespoir remet souvent celui, Qui n'espérait plus rien que misère et qu'ennuyScyons donc contents, et pour cette conquête Célèbrons désormais une éternelle fête.
PARGAPISE.	PARGAPISE.
De ce bienfaict ingrat ie ne ſeray iamais:	De ce bienfait ingrat On ne serai jamais:
Mais d’où pourroiẽt venir tãt de ſortes de mets Serions-nous point charmez?	Mais d'où pourraient venir tant de sortes de mets Serions-nous point charmés?
bons Dieux!	bons Dieux!
quelle abondance?	quelle abondance?
Mais de grace voyez lagrande difference:	Mais de grâce voyez lagrande différence:
Sans doute l’ennemy deſiroit banqueter.	Sans doute l'ennemi désirait banqueter.
AMASTRE.	AMASTRE.
Voicy dequoy pouuoir ce iour heureux feſter, Ttu te meſpriſons pas, ceſte bonne fortune Ne ſçauroit à preſent nous eſtre qu'opportune.	Voici dequoy pouvoir ce jour heureux fester, Ttu te méprisons pas, cette bonne fortune Ne saurait à présent nous être qu'opportune.
SCOPASE.	SCOPASE.
Que differõs-nous dõc?	Que différons-nous dõc?
prenõs ce que les Dieux Nous donnent pour ayder nos deſſeins glorieux.	prenons ce que les Dieux Nous donnent pour aider nos desseins glorieux.
SPARGAPISE.	SPARGAPISE.
Mais que veulent ces fleurs, le lys, la violette, L’amaranthe, la roſe, vne cauſe ſecrette En a ionché le lieu.	Mais que veulent ces fleurs, le lys, la violette, L'amaranthe, la rose, une cause secrète En a ionché le lieu.
AYA MolMm C’eſt qu’apres nos malheurs Le Ciel nous preparoit des couronnes de fleurs.	AYA MolMm C'est qu'après nos malheurs Le Ciel nous préparait des couronnes de fleurs.
SPARGAPISE.	SPARGAPISE.
Dieux!	Dieux!
pourroit-on trouuer vn plus riche cõuiue?	pourrait-on trouver un plus riche couve?
Je me tiẽs pour certain le plus heureux qui viue	Je me tendres pour certain le plus heureux qui vive
SCOPASE.	SCOPASE.
dans roſe Qycomme tour juuoriſe a nos vœux.	dans rose Qycomme tour juorise a nos vœux.
SPARGAPISE.	SPARGAPISE.
Sus quittõs ceſt armet, couronnõs nos cheueux Courage, mes amis, çà qu’on nous verſe à boire, De nos trauaux paſſez effaçons la memoire.	Sus quittons cest armet, couronnons nos cheveux Courage, mes amis, çà qu'on nous verse à boire, De nos travaux passez effaçons la mémoire.
AMAS TRE.	AMAS TRE.
Aſpruncny tour a faivu de trainte &t de ſoucy A vous, mes compagnons, ie porte ceſtuy-cy.	Aspruniny tour a faitvu de trainte ett de souci A vous, mes compagnons, ie porte celui-cy.
CCOIASLO.	COCIASLO.
Jnſtruit à ce meſtier ie ſuis preſt à le prendre.	Instruit à ce métier ici suis prêt à le prendre.
SPAGAPISE.	SPAGAPISE.
Quoy doncques, mes ſoldats?	Quoi donc, mes soldats?
que voulez-vous attendre?	que voulez-vous attendre?
Que l’on hume à longs traits le Pere Bromien:	Que l'on hume à longs traits le Père Bromien:
Sus, que l’on boiue tous à l’Achemenien.	Sus, que l'on boive tous à l'Achemenien.
le vayrecommencer;	le vayrecommencer;
qu'on ſoit preſt à me ſuiure.	qu'on soit prêt à me suivre.
SOLDAT.	SOLDAT.
Ie ie ſuinruy pur tout, ou ceſforuiy us viure.	Je suis suinrui pur tout, ou cesfforui us vivre.
SCOPASE.	SCOPASE.
A vous, Perſes, ie bois, pour nous auoir laiſſez Ces mets delicieux, qui nous ont delaſſez.	À vous, Perses, votre bois, pour nous avoir laissez Ces mets délicieux, qui nous ont délassez.
SPARGAPISE.	SPARGAPISE.
Quel eſtourdiſſement me ſaiſit la ceruelle?	Quel étourdissement me saisit la cervelle?
Foible deſſus mes pas çà & là ie chancelle, Vn gros nuage eſpais ſe preſente à mes yeux, Le parler me defaut, ſigne contagieux:	Faible dessus mes pas çà et là on chancelle, Un gros nuage épais se présente à mes yeux, Le parler me défaut, signe contagieux:
Mais d’où vient que ie ſens les pauots de Morphée?	Mais d'où vient que ici sens les pauots de Morphée?
Leur force dans le corps a mon ame eſtouffée.	Leur force dans le corps à mon âme étouffée.
AMASTRE.	AMASTRE.
Quant à moy ie ne peux plus long-temps me tenir, Telle eſt la peſanteur que ie ſens ſuruenir.	Quant à moi rien ne peux plus longtemps me tenir, Telle est la pesanteur que ici sens survenir.
SCOPASE.	SCOPASE.
O bons Dieux, qu'est-cecy?	Ô bons Dieux, qu'est-ceci?
quelle image incogneue S’efforce maintenant de me troubler la veuë?	quelle image inconnue S'efforce maintenant de me troubler la vue?
Quels grãds chariots aiſlez voy-ie voler en l'airt La terre tourne:	Quels grands chariots aislez vois-je voler en l'airt La terre tourne:
& quoy ie voy tout reculer?	et quoi ici vois tout reculer?
Ay-ie deuant les yeux des chimeriques voiles?	Ai-je devant les yeux des chimériques voiles?
Comment?	Comment?
à plein midy paroiſſent les eſtoilles Les arbres des foreſts vont deuant moy bruſlant, Le Ciel en ſa ruïne eſt deſia tout branſlant.	à plein midi paraissent les étoilles Les arbres des forêts vont devant moi brûlant, Le Ciel en sa ruine est déjà tout branlant.
O les cruels dragons, voyez-vous ces Pantheres, Attendez ſeulement l’effort de mes coleres.	Ô les cruels dragons, voyez-vous ces Panthères, Attendez seulement l'effort de mes colères.
Et comment?	Et comment?
vous fuyez?	vous fuyez?
ahlie vous mõſtreray, Abordez, abordez, ie vous eſtoufferay, Monstres Tenariens:	ahlie vous montrerai, Abordez, abordez, Madame vous étoufferai, Monsieur Tenariens:
mais, voyez-moy de grace De ces hommes affreux l’intolerable audace.	mais, voyez-moi de grâce De ces hommes affreux l'intolérable audace.
Quoy doncques?	Quoi donc?
le Soleil a perdu ſa couleur?	le Soleil a perdu sa couleur?
Retirez-moy ces feux:	Retirez-moi ces feux:
ahlie meurs de chaleur.	ahlie meurs de chaleur.
CHOEVR	CHOEUR
CHOEVR DES SOLDATS SerIHES, ENVREA.	CHOEUR DES SOLDATS SerIHÉS, ENVREA.
PREM.	PREM.
SOLD.	SOLD.
H!	H!
que dedans mes veines AALes effects ſont puiſſants de ceſte lgrand'liqueur!	que dedans mes veines AALes effets sont puissants de cette lgrand'liqueur!
Jua pemepaince,.	Jua pèmepaince,.
Tant ſes efforts ſorciers me võt charmãt le cœur.	Tant ses efforts sorciers me vont charmant le cœur.
DEVX.	DEUX.
SOLD.	SOLD.
Suis-ie deßus les ondes?	Suis-je dessus les ondes?
Comment?	Comment?
des rouges flots me viennent aboyer!	des rouges flots me viennent aboyer!
Les Phoques vagabondes Courent à grands randons pour me faire noyer.	Les Phoques vagabondes Courent à grands randons pour me faire noyer.
TROIS.	TROIS.
SOLD.	SOLD.
Dieux!	Dieux!
vne aigle puiſſante M'emporte dans le Ciel aupres de Iupiter!	Ah aigle puissante M'emporte dans le Ciel auprès de Jupiter!
En ma gloire preſente Ie voudrois tous les Roys du Monde deſpiter.	En ma gloire présente Je voudrais tous les Rois du Monde dépiter.
QVATR.	QUATR.
SOLD.	SOLD.
Le braue Ganymede Ce 74 Me remplit de nectar le verre dans lès Cieux O le puiſſant remede, 121 Pour bannir de nos cœurs te chagrin ſoucieux	Le brave Ganymède Ce 74 Me remplit de nectar le verre dans lès Cieux Ô le puissant remède, 121 Pour bannir de nos cœurs te chagrin soucieux
PREM.	PREM.
SOLD.	SOLD.
Je ne ſuis plus que flame, Je m’en vay maintenant chaſtier les peruers, & ulin tooarreuen eme, Et me rendre Seigneur de tout ceſt vniuers.	Je ne suis plus que flamme, Je m'en vais maintenant châtier les pervers, et ulin toarreven eme, Et me rendre Seigneur de tout cet univers.
TROIS.	TROIS.
SOLD.	SOLD.
Où fuirons-nous?	Où fuirons-nous?
allarme, Comment?	alarme, Comment?
nous-nous perdons dãs vne rougemer Mijerdait Genaurmt, Hélle ſommeil me vient tout à faict aſſommer,	nous-nous perdons dans une rougemer Mijerdait Genaurait, Hélle sommeil me vient tout à fait assommer,
SCENE SIXIESME.	SCÈNE SIXIÈME.
Crœſus.	Crœsus.
Achemene.	Achemène.
Cybare.	Chybare.
Arſace.	Arsace.
Hyſtaſpe.	Hystaspe.
CROESVS.	CROESVS.
Jnſi nous couronnons de cent lauriers nos TY tefles, Les Perſes espargnez, nous ſurmõtons ces beſte Elles ſont dans nos rets:	Insi nous couronnons de cent lauriers nos TY tefles, Les Perses épargnez, nous surmõtons ces bête Elles sont dans nos rets:
tuez, tout eſt permis Selon Selon les loix de Mars contre ſes ennemis:	tuez, tout est permis Selon Selon les lois de Mars contre ses ennemis:
Gardez-vous toutesfois de tuer Spargapiſe, Ny ceux dont vous verrez profitable la priſe:	Gardez-vous toutefois de tuer Spargapise, Ni ceux dont vous verrez profitable la prise:
C'eſt aſſez, mes amis:	C'est assez, mes amis:
bridons ceſte fureur.	bridons cette fureur.
CYBARE.	CYBARE.
Ils n’apporteront plus aux Perſes de terreur:	Ils n'apporteront plus aux Perses de terreur:
En fin ils ſont defaits, leur arrogance vaine Les a precipitez dans l’Erebique plaine.	En fin ils sont défaits, leur arrogance vaine Les a précipités dans l'Erebique plaine.
ACHEMENE.	ÀCHÉMENE.
Si ie ne ſuis trompé, ce beau pauois doré, Ce viſage ſi blancde rouge coloré, Le ieune aage ſur tout, ceſte belle deuiſe, Nous aſſeure que trop de leur Roy Spargapiſe.	Si ici ne suis trompé, ce beau pavais doré, Ce visage si blancde rouge coloré, Le jeune aage sur tout, cette belle devise, Nous assure que trop de leur Roi Spargapise.
HYSTASPE.	HYSTASPE.
a voir ta mdleſte de cena lepiecro, Qu'ils ſeroyent volontiers quelques parens du Roy.	à voir ta médleste de cena lepiecro, Qu'ils seraient volontiers quelques parents du Roi.
ACHEMENE.	ÀCHÉMENE.
Mais voyés, s’il vous plaiſt, la richeſſe des armes.	Mais voyez, s'il vous plaît, la richesse des armes.
Cc 2	Cc 2
SCOPASE.	SCOPASE.
Je ne ſçauroy penſer, que ce ne ſoient des tharme?	Je ne saurais penser, que ce ne soient des tharme?
,	,
ARSACE.	ARSACE.
omepram attmiſ ces grands corps eſtendus, Tous mes ſens de plaiſir demeurent eſperdus.	omepram attmis ces grands corps étendus, Tous mes sens de plaisir demeurent éperdus.
CROESVS.	CROESVS.
Vous voyez maintenant l’effect de ma parolle,	Vous voyez maintenant l'effet de ma parole,
CYBARE.	CYBARE.
Le Ciel, preux Lydien, t'en vueille dans le Pole Recompenſer pour nous.	Le Ciel, preux Lydien, t'en veuille dans le Pole Recompenser pour nous.
CROESVS.	CROESVS.
Le Ciel guerdonnera Nos trauaux quelques iours, & les couronnera.	Le Ciel guerdonnera Nos travaux quelques jours, et les couronnera.
Or emportez ce Prince auec magnificence, Qu'on luy rende l’honneur qu’on doit à ſa naiſſance, Que les autres Seigneurs le ſuiuent quant & quant, Le plus hõneſtement qu’on pourra dans le camp.	Or emportez ce Prince avec magnificence, Qu'on lui rende l'honneur qu'on doit à sa naissance, Que les autres Seigneurs le suivent quant et quant, Le plus honnêtement qu'on pourra dans le camp.
Hyſtaſpe vous aurez le ſoing de faire mettre L'armure de ce Prince, où elle peut paroiſtré.	Hystaspe vous aurez le soin de faire mettre L'armure de ce Prince, où elle peut paroistré.
HYSTASPE.	HYSTASPE.
Cela vaut faict, amis, qu'vn baut arbre eſbranché Porte du ieune Roy le corps d’arme attaché:	Cela vaut fait, amis, qu'un baut arbre ébranché Porte du jeune Roi le corps d'arme attaché:
Que le bouclier y ſoit auec le Cimeterre, Dont il ſouloit aller valeureux à la guerre:	Que le bouclier y soit apprendre le Cimeterre, Dont il soûlait aller valeureux à la guerre:
Que l’on ſoubſcriue apres la teneur de ces vers, Dont la memoire viue autant que l’Vniuers.	Que l'on soubscriue après la teneur de ces vers, Dont la mémoire vive autant que l'Univers.
Les Scythes ſurmontez par vn coup memorable, Des Perſes l’Empereur du meilleur de ſon cœur Te conſacre, ôgrand Mars, ceſte armure honorable, Que leur Prince portoit, dont il eſt le vainqueur.	Les Scythes surmontés par un coup mémorable, Des Perses l'Empereur du meilleur de son cœur Te consacre, ôgrand Mars, cette armure honorable, Que leur Prince portait, dont il est le vainqueur.
de	de
ACTE TROISIESME.	ACTE -TROISIÈME.
Cryus.	Cryus.
Cybare.	Chybare.
Crœſus.	Crœsus.
Hyſtaſpe.	Hystaspe.
Spargapiſe.	Spargapise.
Soldar	Soldar
SCENE TKEMILRE.	SCÈNE TKEMILRE.
Cyrus.	Cyrus.
Cybare.	Chybare.
CYRVS.	CYRUS.
ſtes ce que voudrez, vous ne me ferez croire, Que ces ſpectres affreux n’en vueillent à ma gloire, Que le Ciel ennemy ne m’aille aduertiſſant, Quueeu oumuinen teſt Empirt puiſſant.	sites ce que voudrez, vous ne me ferez croire, Que ces spectres affreux n'en veuillent à ma gloire, Que le Ciel ennemi ne m'aille avertissant, Quueeu oumuinen test Empirt puissant.
L’homme plus hebeté le peut trop recognoiſtre, C’en eſt faict, il en veut deſormais à mon ſceptre.	L'homme plus hébeté le peut trop reconnaître, C'en est fait, il en veut désormais à mon sceptre.
CYBARE.	CYBARE.
Grãd Roy, ſouuenez-vous des ennemis cõquis, – – Q Que vous auez ſur eux tant de lauriers acquis, Que les Scythes domptez & reduits en feruage, Uous viennent maintenant proſternés rendre hommage:	Grand Roi, souvenez-vous des ennemis commis, âme – Q Que vous avez sur eux tant de lauriers acquis, Que les Scythes domptez et réduits en servage, Uous viennent maintenant prosternez rendre hommage:
Tous ces spectres ne ſont que des impietez, Indignes de tenir vos esprits arreſtez.	Tous ces spectres ne sont que des impiétés, Indignes de tenir vos esprits arrêtés.
CYRVS.	CYRUS.
Ie ne crains que du ſort l'inconſtance ordinairæ	Je ne crains que du sort l'inconstance ordinairæ
CYBARE.	CYBARE.
„ Le ſort, le voulut-il, ne vous ſçauroit mesfaire, „ Un eſprit animé d’vne maſle vertu »Rira de ſon effort, s’en voyant combattu, », Se mocquera de tout, quand meſme le tonnerre »Seroit preſt a tomber poureſeraſer la terre.	„ Le sort, le voulut-il, ne vous saurait messsaire, „ Un esprit animé d'une mâle vertu »Rira de son effort, s'en voyant combattu, ", Se moquera de tout, quand même le tonnerre »Seroit prêt a tomber poureseraser la terre.
Quittez dõc ceſte peur, qui vous trauaille à tort, Et ne vous ſouciez de ſonge, ny de ſort.	Quittez donc cette peur, qui vous travaille à tort, Et ne vous souciez de songe, ni de sort.
CYRVS.	CYRUS.
De mon peuple le bien, & celuy de l’Empire, - CCc A Me cauſe à tous momens ce renaiſſant martyre Là ſont tous mes pẽſers, c'eſt là mon dernier but, O nuiuno eupauu uumon propre ſalut,	De mon peuple le bien, et celui de Empire, - A Me cause tous momens ce De m on peuple le bien, c'est mon celui but, Ô l' eupauu m pire salut,
CYBARE.	CYBARE.
que deſres-iu pius ayant vn von Lcphyre,	que déju pius ayant un von Lyphyre,
CYRVS.	CYRUS.
C’eſt pourquoy ie crains tãt de perdre mõ nauire L’on remarque touſiours, que le nocher prudent Meſme le ciel ſerain, au timon eſt pendant:	C'est pourquoi votre crains tant de perdre mon navire L'on remarque toujours, que le nocher prudent Même le ciel serain, au timon est pendant:
