mniluil du Prveuca duxcer.	mniluil du Préveuca duxcer.
Je ſuis aſſez franche, comme vous voyez.	Je suis assez franche, comme vous voyez.
Mr GRIFON.	Mr GRISON.
C’eſt ce qui me ſemble.	C'est ce qui me semble.
Je veux eſtre de tes amis, & ſi le mariage ſe fait, ne te mets pas en peine:	Je veux être de tes amis, et si le mariage se fait, ne te mets pas en peine:
dis-moy un peu en confidence quelle ſorte de caractere eſt-ce que Leonore, & que faudroit-il que je fiſſe pour luy plaire.	dis-moi un peu en confidence quelle sorte de caractère est-ce que Leonore, et que faudrait-il que je fisse pour lui plaire.
MARINE.	MARINE.
Vous n’avez qu’à mourir, Monſieur, c’eit ie plus grand plaiſir que vous luy puiſſiez faire.	Vous n'avez qu'à mourir, Monsieur, c'éit apprendre plus grand plaisir que vous avez puissiez faire.
Mr GRIFON.	Mr GRISON.
Ce n’eſt pas là ce que je te demande.	Ce n'est pas là ce que je te demande.
De quelle humeur eſt-elle?	De quelle humeur est-elle?
MIIINE.	MIIINE.
Ah!	Ah!
de l’humeur du monde la plus douce.	de l'humeur du monde la plus douce.
je ne iuy comiois qu’un petit défaut.	je ne jui comiais qu'un petit défaut.
Mr GRIFON.	Mr GRISON.
Quel eſt-il.	Quel est-il.
MARINE.	MARINE.
C’eſt, Monſieur, que quand elle s’eſt mis quelque choſe en teſte, & qu’on s’avile de la contreune, ene erſe, eſle peſte.	C'est, Monsieur, que quand elle s'est mis quelque chose en tête, et qu'on s'avile de la contreune, ene erse, éle peste.
elle jure, elle bat, elle mord, elle égratigne, elle eſtropie meſme en cas de beſoin;	elle jure, elle bat, elle mord, elle égratigne, elle estropie même en cas de besoin;
mais dans le fond c’eſt une bonne enfant.	mais dans le fond c'est une bonne enfant.
Mr GRIFON.	Mr GRISON.
Voila une humeur bien douce vrayment, de uvec cela n’a-t’elle point quelque paſſion dominante.	Voilà une humeur bien douce vraiment, de ouvec cela n'a-t-elle point quelque passion dominante.
MARINE.	MARINE.
Non, Monſieur, rien ne la domine, ell e a du gouſt pour toutes les belles manieres elle vend pour joüer tout ce qu’elle a, elle met ſes nipes en gages pour aller à l’Opera & à la Comedie, elle court le Bal ſept fois la ſemaine ſeulement, elle feſſe ſon vin de Champagne à mervenie;	Non, Monsieur, rien ne la domine, ell e a du goût pour toutes les belles manières elle vend pour jouer tout ce qu'elle a, elle met ses nières en gages pour aller à l'Opera et à la Comédie, elle court le Bal sept fois la semaine seulement, elle fesse son vin de Champagne à mervénie;
& ſur la fin du repas elle devient fort tendre.	et sur la fin du repas elle devient fort tendre.
MFGRIFON.	MFGRIFON.
Tu crois donc qu’elle pourra m’aimer.	Tu crois donc qu'elle pourra m'aimer.
MARINE.	MARINE.
Ouy, Monſieur, ſur la fin d’un repas, & je vais luy faire entendre que pour un maLy vous vaiez cent rois iineux qu’un autre.	Oui, Monsieur, sur la fin d'un repas, et je vais lui faire entendre que pour un maLi vous vais cent rois jineux qu'un autre.
Mr GRIFON.	Mr GRISON.
Cela eſt vray au moins.	Cela est vrai au moins.
MARINE.	MARINE.
Aſſurément dans ce ſiecle-cy, quand un mary laiſſe faire à ſa femme tout ce qu’elle veut, c’eſt un homme adorable, on ne peut pas luy demander autre choſe.	Assurément dans ce siècle-cy, quand un mari laisse faire à sa femme tout ce qu'elle veut, c'est un homme adorable, on ne peut pas lui demander autre chose.
Mr GRIFON.	Mr GRISON.
Ah, mon enfant, tu peux l’aſſurer de ma part que ſi jamais elle eſt ma femme, je ne la contraindray jamais en la moindre bagatelle.	Ah, mon enfant, tu peux l'assurer de ma part que si jamais elle est ma femme, je ne la contraindrai jamais en la moindre bagatelle.
MARINE.	MARINE.
Commencez donc par ne point trop preſſer les affaires.	Commencez donc par ne point trop presser les affaires.
Je vay luy propoſer vos conventions;	Je vais lui proposer vos conventions;
& comme il n’y a rien dans ces articles là qui repugne à la coutume, je ne doute point qu’elle ne les accepte.	et comme il n'y a rien dans ces articles là qui répugne à la coutume, je ne doute point qu'elle ne les accepte.
Mr GRIFON.	Mr GRISON.
Cette fille là a quelque choſe de bon dans ſes manieres.	Cette fille là a quelque chose de bon dans ses manières.
Ah, ah, voila une plaiſante ngure d nomte.	Ah, ah, voilà une plaisante négure d nomte.
SCENE XII.	SCÈNE XII.
Mr GRIFON, SCAPIN dé guiſé, une emplaſtre ſur l’œil.	Mr GRISON, SCAPIN dé guisé, une emplâtre sur l'œil.
CAPIN.	CAPIN.
E pourriez-vous point, Monſieur, me IV faire le plaiſir & l’honneur de m’enſeigner le logis de Monſieur Grifon.	E pourriez-vous point, Monsieur, me IV faire le plaisir et l'honneur de m'enseigner le logis de Monsieur Grifon.
Mr GRIFON.	Mr GRISON.
Que luy voulez-vous à Monſieur Grifon.	Que quelque voulez-vous à Monsieur Grifon.
CAPIN.	CAPIN.
Avoir l’avantage de luy rendre un petit billet que Mr Mathieu m’a fait l’honneur de me donner, afin que ledit Sieur Grifon me faſſe la grace de me compter deux mille huit cens livres reſtant à payer pour un colier que ledit Sieur Grifon a acheté dudit Sieur Mathieu.	Avoir l'avantage de deux rendre un petit billet que Mr Mathieu m'a fait l'honneur de me donner, afin que ledit Sieur Grifon me fasse la grâce de me compter deux mille huit cens livres restant à payer pour un colier que ledit Sieur Grifon a cheté dudit Sieur Mathieu.
Mr GRIFON.	Mr GRISON.
C’eſt moy qui ſuis Monſieur Grifon, & où eſt le billet?	C'est moi qui suis Monsieur Grifon, et où est le billet?
APIN.	APIN.
Le voila Monſieur, je ne viens qu’a bonnegenteigneur ous dureny omnvods plaiſt, la bonté de m’expedier.	Le voilà Monsieur, je ne viens qu'a bonnegenteigneur ous dureni omnuods plaît, la bonté de m'expédier.
Mr GRIFON.	Mr GRISON.
Ouy, voila l’écriture de Monſieur Mathieu, mais je ne vous connois pas pour eſtre à luy.	Oui, voilà l'écriture de Monsieur Mathieu, mais je ne vous connais pas pour être à lui.
CAPIN.	CAPIN.
C’eſt une gloire que je ne merite pas Monſieur, je ſuis ſeulement ſon compere, Iſaac, Jerôme, Boiſme, Rouſſelet, Maiſtre Marchand Fripier ordinaire privilegié ſuivant la Cour.	C'est une gloire que je ne mérite pas Monsieur, je suis seulement son compère, Isaac, Jérôme, Boisme, Rousselet, Maître Marchand Fripier ordinaire privilègié suivant la Cour.
Si l’on peut vous y rendre quelque ſervice, vous n’avez qu’à diſpoſer de voſtre petit ſerviteur.	Si l'on peut vous y rendre quelque service, vous n'avez qu'à disposer de votre petit serviteur.
Mr GRIFON.	Mr GRISON.
Je vous ſuis obligé.	Je vous suis obligé.
N.	N.
J’ay des amis en ce païs-là, mon frere eſt aprentif partiſan chez le Commis du Secretaire de l’Intendant d’un homme d’affaire, & mon oncle eſt le Sous-portier de l’hoſtel des Fermes.	J'ai des amis en ce pays-là, mon frère est après partisan chez le Commis du Secrétaire de l'Intendant d'un homme d'affaire, et mon oncle est le Sous-portier de l'hôtel des Fermes.
Mr GRIFON.	Mr GRISON.
Ces amis-là ſont quelquefois plus utiles que d’autres.	Ces amis-là sont quelquefois plus utiles que d'autres.
AP IN.	AP IN.
Il eſt vray, Monſieur, j’ay autrefois par D iij leur moyen tiré mon parain des galeres, & je ſauvay l’année paſſée une amande honorable à Monſieur Mathieu;	Il est vrai, Monsieur, j'ai autrefois par D ij our en tiré mon parain des galères, et je sauvai l'année passée une amande honorable à Monsieur Mathieu;
c’eſt ce qui fait qu’il a beaucoup de confiance en moy.	c'est ce qui fait qu'il a beaucoup de confiance en moi.
Mr GRIFON.	Mr GRISON.
vona un garçon bien ingenu, c’eſt dommage qu’il luy manque un œil.	vona un garçon bien ingénu, c'est dommage qu'il nous manque un œil.
CAPIN.	CAPIN.
J’abuſe de voſtre loiſir Monſieur;	J'abuse de votre loisir Monsieur;
mais ce n’eſt pas ma faute, avec deux mille huit cenb ihrco vouoreren deburune de mes inpportunitez, & je prendray congé de vous quand il vous plaira.	mais ce n'est pas ma faute, avec deux mille huit cenb ihrco vouoreren deburune de mes inportunités, et je prendrai congé de vous quand il vous plaira.
Mr GRIFON.	Mr GRISON.
Quel original!	Quel original!
ouy, ouy, je vay vous aporcer donmigene, vouo nuren quu attendre.	oui, oui, je vais vous aporcer donmigène, vouo nuren quu attendre.
SCENE XIII.	SCÈNE XIII.
SCAPIN, VALERE, LEONORE, MARINE.	SCAPIN, VALÈRE, LEONORE, MARINE.
CAPIN.	CAPIN.
DAr ma foy voila qui ne va pas mal;	DAr ma foi voilà qui ne va pas mal;
mais I voicy mon Maiſtre avec ſa Maiſtreſſe, il ne me reconnoiſtra pas.	mais I voici mon Maître avec sa Maîtresse, il ne me reconnaîtra pas.
LEONORE.	LEONORE.
Contez, Valere, que rien ne me peut faire changer.	Comptez, Valère, que rien ne me peut faire changer.
VALERE.	VALÈRE.
Ah, charmante Leonore, que vous devez me parentre adorable avec de pareils ſentimens.	Ah, charmante Leonore, que vous devez me parentre adorable avec de pareils sentiments.
SCAPIN.	SACPIN.
Monſieur je vous donne le bon jour.	Monsieur je vous donne le bon jour.
Y at’il long-temps que vous eſtes en cette Ville?	Y at'il longtemps que vous êtes en cette Ville?
Vos affaires vont-elles bien, comment gouvernez-vous la joye avec cet aimable enfant?	Vos affaires vont-elles bien, comment gouvernez-vous la joie avec cet aimable enfant?
e la a ele ds Que me veut cet yvrogne-là?	Je la a éle ds Que me veut cet ivrogne-là?
qui eſtesvous mon amy?	qui estesvous mon ami?
CAPIN.	CAPIN.
Je ſuis un honneſte garçon, qui connois vos beſoins, & qui viens vous offrir deux cens piſtoles que me va donner Monſieur ventre perc.	Je suis un honnête garçon, qui connais vos besoins, et qui viens vous offrir deux cens pistoles que me va donner Monsieur ventre perc.
VALERE.	VALÈRE.
Scapin autant ſon amplâtre.	Scapin autant son amplâtre.
C eſt toy bcapin, qui t’auroit reconnu.	Ç est toi bapin, qui t'aurait reconnu.
APIN.	APIN.
Vous voyez, Monſieur, ce qu’on fait pour vous.	Vous voyez, Monsieur, ce qu'on fait pour vous.
4n i2 le liar.	4n i2 le liar.
Par ma foy voila un méchant borgne.	Par ma foi voilà un méchant borgne.
VALERE.	VALÈRE.
Et tu as trouvé le moyen de tirer deux cens piſtoles de mon pere?	Et tu as trouvé le moyen de tirer deux cens pistoles de mon père?
APIN.	APIN.
Il va me les livrer.	Il va me les livrer.
J’ay encore un colier à eſcarmoter, mais j’aurois beſoin tout-àl’heure de quelques gens de main.	J'ai encore un collier à écarmoter, mais j'aurais besoin tout-àl'heure de quelques gens de main.
VALERE.	VALÈRE.
rout-a-iieule, c out veux tu que je les cherche à preſent.	rout-a-jieule, ç out veux -tu que je les cherche à présent.
MARINE.	MARINE.
Monſieur je ſuis à voſtre ſervice.	Monsieur je suis à votre service.
Pour lamain je l’ay auſſi bonne que la langue.	Pour lamain je l'ai aussi bonne que la langue.
E AIANa Toy?	 EIANa -toi?
mais ſerois-tu fille à travailler de nuit.	mais serais-tu fille à travailler de nuit.
MARINE.	MARINE.
Pourquoy non?	Pourquoi non?
c’eſt dans ce temps-là que je triomphe.	c'est dans ce temps-là que je triomphe.
J’ay deux ou trois filles de mes amies qui ne m’abandonneront pas dans le beſoin.	J'ai deux ou trois filles de mes amies qui ne m'abandonneront pas dans le besoin.
CAPIN.	CAPIN.
Bon, bon, il ne me faut pas de plus vaillans champions pour mon deſſein.	Bon, bon, il ne me faut pas de plus vaillants champions pour mon dessein.
Mais j’entens Monſieur Grifon, allez m’atendre au prochain détour, je vous diray dans un moment ce qu’il faudra faire.	Mais j'entends Monsieur Grifon, allez m'atendre au prochain détour, je vous dirai dans un moment ce qu'il faudra faire.
CENE XIV.	CÈNE XIV.
MrGRIFON, SCAPIN.	MrGRIFON, SCAPIN.
Scapin remettant ſon emplaſtre ſur l’autre œil, voyant Monfieur Grifon arriver.	Scapin remettant son emplâtre sur l'autre œil, voyant Monfieur Grifon arriver.
Mr GRIFON.	Mr GRISON.
L y a deux cens louys neufs dans cette Ibourſe, voyons ſi je ne me ſuis point trompé.	L y a deux cens louis neufs dans cette Ibourse, voyons si je ne me suis point trompé.
APIN.	APIN.
Vous eſtes trop exact, & vous ſçavez trop bien compter.	Vous êtes trop exact, et vous savez trop bien compter.
Mr GRIFON.	Mr GRISON.
Il n’importe, Monſieur, pour plus grande leurete.	Il n'importe, Monsieur, pour plus grande leurete.
1 Je ne regarderay point aprés vous, Monſieur le compere Mathieu me l’a deffendu.	1 Je ne regarderai point après vous, Monsieur le compère Mathieu me l'a défendu.
Mr GRIFON.	Mr GRISON.
Vous eſtes le maiſtre, ſerviteur.	Vous êtes le maître, serviteur.
A IN.	À IN.
Voila dequoy payer la Serenade.	Voilà dequoy payer la Serenade.
SCENE XV.	SCÈNE XV.
Mr GRIFON ſeul.	Mr GRISON seul.
Onfieur Mathieu ne laiſſe point M moiſir l’argent entre les mains de ceux qui luy doivent.	Onfieur Mathieu ne laisse point M moisir l'argent entre les mains de ceux qui te doivent.
Je luy devois, me voila quitte.	Je avait devais, me voilà quitte.
Je ne ſçay ce que cela ſignifie, mais je n’ay point bonne opinion de mon mariage.	Je ne sais ce que cela signifie, mais je n'ai point bonne opinion de mon mariage.
Moy qui n’ay jamais rien aimé, je m’aviſe de devenir amoureux à mon âge.	Moi qui n'ai jamais rien aimé, je m'avise de devenir amoureux à mon âge.
O amour, amour.	Ô amour, amour.
La nuit devient obſcure, & le Muſicien devroit eſtre icy.	La nuit devient obscure, et le Musicien devrait être ici.
SCENE XVI.	SCÈNE XVI.
MT GRIPON, CHAMPAGNE yure	MT GRIPON, CHAMPAGNE y
CHAMPAGNE.	CHAMPAGNE.
LEra, lera, lera.	LÉra, léra, lera.
Mr GRIFON.	Mr GRISON.
’entends quelqu’un qui chante, ſeroitce luy?	’entends quelqu’un qui chante, seroitce luy?
CHAMPAGNE.	CHAMPAGNE.
Palaſambleu je ſuis bien nourry.	Palasambleu je suis bien nourri.
Ce Monſieur Scapin fait bien les choſes, ouy.	Ce Monsieur Scapin fait bien les choses, oui.
Mr GRIFON.	Mr GRISON.
Qui va la, eſt-ce vous Monſieur le Muſicien.	Qui va la, est-ce vous Monsieur le Musicien.
CHAMPAGNE.	CHAMPAGNE.
Ouy à peu prés, c’eſt un yvrogne.	Oui à peu prés, c'est un ivrogne.
MTGRITON.	MTGRITON.
Paſſey voſtre chemin mon amy.	Passei votre chemin mon ami.
CHAMPAGNE.	CHAMPAGNE.
Que je paſſe mon chemin.	Que je passe mon chemin.
C30 Mr GRIFON.	C30 Mr GRISON.
CHAMPAGNE.	CHAMPAGNE.
Ouy qui le pourroit.	Oui qui le pourrait.
Mr GRIFON.	Mr GRISON.
Quel maraut eſt-ce icy.	Quel marau est-ce ici.
CHAMPAGNE.	CHAMPAGNE.
Maraut, voila quelqu’un qui me connoiſt, je ſuis plus peſant que de coutume, & je ne ſçay ſi mes jambes pourront porter au logis tout le vin que j’ay bû.	Maraut, voilà quelqu'un qui me connaît, je suis plus pesant que de coutume, et je ne sais si mes jambes pourront porter au logis tout le vin que j'ai bu.
MrGRIFON.	MrGRIFON.
Ne ſeroit-ce point quelque emiſſaire de mon coquin de fils qui viendroit icy pour troubler la feſte, je veux m’en éclaircir.	Ne serait-ce point quelque émissaire de mon coquin de fils qui viendrait ici pour troubler la fête, je veux m'en éclaircir.
CHAMPAGNE.	CHAMPAGNE.
Hola l’amy, qui parlez tout ſeul, ſuis-je loin de chez moy, par parantheſe.	Holà l'ami, qui parlez tout seul, suis-je loin de chez moi, par paranthese.
Mr GRIFON.	Mr GRISON.
Où loges-tu!	Où loges-tu!
CHAMPAGNE.	CHAMPAGNE.
Hé parſambleu ſi je le ſçavois, je ne le demanderois pas.	Hé parsambleu si je le sçavois, je ne le demanderais pas.
Mr GRIFON.	Mr GRISON.
Que cherches-tu dans ce quartier.	Que cherches-tu dans ce quartier.
CHAMPAGNE.	CHAMPAGNE.
Je ne ſçay, je ne m’en ſouviens pas.	Je ne sais, je ne m'en souviens pas.
I.	I.
ſuis pourtant venu pour quelque choſe.	suis pourtant venu pour quelque chose.
Ah Monſieur Grifon, le connoiſſez.	Ah Monsieur Grifon, le connaissez.
vous ?	vous ?
Mr GRIFON.	Mr GRISON.
Je ne me trompois pas, c’eſt un fripon.	Je ne me trompais pas, c'est un fripon.
CiARERROIL.	CiARÈROIL.
Juſtement;	Justement;
un fripon, un vilain, un feſſe Mathieu.	un fripon, un vilain, un fesse Mathieu.
ME GKIFON.	ME GUIFON.
A qui penſes-tu parler?	À qui penses-tu parler?
C’eſt moy qui ſuis Monſieur Grifon.	C'est moi qui suis Monsieur Grifon.
CHARIPMORE.	CHARIPORE.
Le diable emporte ſi je l’aurois deviné.	Le diable emporte si je l'aurais deviné,
Or donc pour revem à nos moutons, Monſieur Mathieu, cer autre vilain, ce ladre.	Or donc pour revem à nos moutons, Monsieur Mathieu, cer autre vilain, ce ladre.
Mr GRIFON.	Mr GRISON.
Ce pendart-là me fera perdre patience.	Ce pendard-là me fera perdre patience.
CHAMPAGNE.	CHAMPAGNE.
Patience;	Patience;
ouy c’eſt bien dit, allons doucement:	oui c'est bien dit, allons doucement:
ce Monſieur Matiieu done, comme de vilain à vilain il n’y a que la main, il eſt arrivé que par la concomitance d’un colier;	ce Monsieur Matiieu donce, comme de vilain à vilain il n'y a que la main, il est arrivé que par la concomitance d'un colier;
enfin je ne me ſouviens pas bien de tout cela.	enfin je ne me souviens pas bien de tout cela.
Mr GRIFON.	Mr GRISON.
