A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
Ah pluſtoſt.	Ah plutôt.
Mais helas!	Mais hélas!
i’idolatre Æmilie, Vn ſerment execrable à ſa haine me lie, L’horreur qu’elle a de luy me le rend odieux, Des deux coſtez i’offence & ma gloire & les dieux, Ie deuiens ſacrilege, ou ie ſuis parricide, Et vers l’vn ou vers l’autre il faut eſtre perfide.	j'idolâtre Ôte? Un serment exécrable à sa haine me lie, L'horreur qu'elle a de m me le rend odieux, Des deux côtés j'offense et ma gloire et les dieux, Je deviens sacrilège, ou un suis parricide, Et vers l ou vers 'autre il faut être perfide.
MAXI	MAXI
MAXIME.	MAXIME.
Vous n’auiez point tantoſt ces agitations, Vous paroiſſiez plus ferme en vos intentions, Vous ne ſentiez au cœur ny remords ny reproche.	Vous n'aviez point tantôt ces agitations, Vous paraissiez plus ferme en vos intentions, Vous ne sentiez au cœur ni remords ni reproche.
CINNA.	CINNA.
On ne les ſent auſſi que quand le coup approche, Et l’on ne recognoiſt de ſemblables forfaits Que quand la main s’apreſte à venir aux effets.	On ne les sent aussi que quand le coup approche, Et l'on ne reconnaît de semblables forfaits Que quand la main s'apprête à venir aux effets.
L’ame de ſon deſſein iuſques là poſſedée S’attache aueuglément à ſa premiere idée, Mais alors quel eſprit n’en deuient point troublé?	L'âme de son dessein jusques -là possédée S'attache aveuglément à sa première idée, Mais alors quel esprit n'en devient point troublé?
Ou pluſtoſt quel eſprit n’en eſt point accablé?	Ou plutôt quel esprit n'en est point accablé?
Ie croy que Brute meſme à quel point qu’on le privouiut plus d’vne lois rompre ſon entrepriſe, (ſe Et qu’auant que frapper elle luy fit ſentir Plus d’vn remords en l’ame & plus d’vn repentir.	Je crois que Brute même à quel point qu'on le privouiut plus d'une lois rompre son entreprise, (se Et qu'avant que frapper elle a fit sentir Plus d'être remords en l'âme et plus d'un repentir.
MAXIME.	MAXIME.
Il eut trop de vertu pour tant d’inquietude.	Il eut trop de vertu pour tant d'inquiétude.
Il ne ſoupçonna point ſa main d’ingratitude, Et fut contre vn tyran d’autant plus animé Qu’il en reçeut de biens, & qu’il s’en vit aymé.	Il ne soupçonna point sa main d'ingratitude, Et fut contre un tyran d'autant plus animé Qu'il en reçut de biens, et qu'il s'en vit aimé.
Comme vous l’imitez, faites la meſme choſe, Et formez vos remords d’vne plus iuſte cauſe, De vos laſches conſeils qui ſeuls ont arreſté Le bon-heur renaiſſant de noſtre liberté:	Comme vous l'imitez, faites la même chose, Et formez vos remords d'une plus juste cause, De vos lâches conseils qui seuls ont arrêté Le bonheur renaissant de notre liberté:
C’eſt vous ſeul auiourd’huy qui nous l’auez oſtée, De la main de Céſar Brutel’euſt acceptée, Et n’euſt iamais ſouffert qu’vn intereſt leger De vengeance ou d’amour l’euſt remiſe en danger.	C'est vous seul aujourd'hui qui nous l'avez ôtée, De la main de César Brutel'eût acceptée, Et n'eût jamais souffert qu'à intérêt léger De vengeance ou d'amour l'eût remise en danger.
N’écoutez plus la voix d’vn tyran qui vous ayme, Et vous veut faire part de ſon pouuoir ſupréme, Mais entendez crier Rome à voſtre coſté, Rends moy, rends moy, Cinna, ce que tu m’as oſté, Et ſi tu m’as tantoſt preferé ta maiſtreſſe, Ne me prefere pas le tyran qui m’opreſſe.	N'écoutez plus la voix d'un tyran qui vous aime, Et vous veut faire part de son pouvoir suprême, Mais entendez crier Rome à votre côté, Rends moi, rends moi, Cina, ce que tu m'as ôté, Et si tu m'as tantôt préféré ta maîtresse, Ne me préfère pas le tyran qui m'opresse.
CINNA.	CINNA.
Amy, n’accable plus vn eſprit mal-heureux Qui meſme fait en lâche vn acte genereux.	Ami, n'accable plus un esprit malheureux Qui même fait en lâche un acte généreux.
Enuers nos citoyens ie ſçay quelle eſt ma faute, Et leur rendray bien-toſt tout ce que ie leur oſte, Mais pardonne aux abois d’vne vieille amitié Qui ne peut expirer ſans me faire pitié, Et laiſſe moy, de grace, attendant Æmilie Donner vn libre cours à ma melancolie, Mon chagrin t’importune, & le trouble où ie ſuis Veut de la ſolitude à calmer tant d’ennuis.	Envers nos citoyens était sais quelle est ma faute, Et leur rendrai bientôt tout ce que sans leur ôte, Mais pardonne aux abois d'une vieille amitié Qui ne peut expirer sans me faire pitié, Et laisse moi, de grâce, attendant Æmilie Donner libre cours ma mélancolie, Mon chagrin importune, et le trouble ie suis Veut de la solitude calmer tant ennuis.
MAXIME.	MAXIME.
Vous voulez rendre conte à l’obiet qui vous bleſſe De la bonté d’Octaue, & de voſtre foibleſſe, L’entretien des amans veut vn entier ſecret;	Vous voulez rendre conte à l'objet qui vous blesse De la bonté d'Octave, et de votre faiblesse, L'entretien des amants veut un entier secret;
Adieu, ie me retire en confident diſcret.	Adieu, Seigneur me retire en confident discret.
SCENE III.	SCÈNE III.
CINNA.	CINNA.
ue tu ſçais mal nommer le glorieux empire Du noble ſentiment que la vertu m’inſpire, Et que l’honneur oppoſe au coup precipité De mon ingratitude & de ma lacheté!	Que tu sais mal nommer le glorieux empire Du noble sentiment que la vertu m'inspire, Et que l'honneur oppose au coup précipité De mon ingratitude et de ma lacheté!
ſe, Mais pluſtoſt qu’à bon droit tu le nommes foibleſPuiſqu’il deuient ſi foible auprés d’vne maiſtreſſe, Qu’il reſpecte vn amour qu’il déuroit étouffer, Ou s’il l’oſe combatre, il n’oſe en triompher?	se, Mais plutôt qu'à bon droit tu le nommes foiblesPuisqu’il devient si faible auprès d'une maîtresse, Qu'il respecte un amour qu'il devrait étouffer, Ou s'il l'ose combattre, il n'ose en triompher?
En ces extremitez quel conſeil doi-ie prendre?	En ces extrémités quel conseil dois-je prendre?
De quel coſté pancher?	De quel côté pencher?
à quel party me rendre?	à quel parti me rendre?
Qu’vne ame genereuſe a de peine à faillir!	Qu'une âme généreuse a de peine à faillir!
Quelque fruit que par là i’eſpere de cueillir, Les douceurs de l’amour, celles de la vengeance, La gloire d’affranchir le lieu de ma naiſſance, N’ont point aſſez d’appas pour flater ma raiſon s’il les faut acquerir par vne trahiſon, S’il faut perçer le fane d'vn Prince magnanime, Qui Qui du peu que ie ſuis fait vne telle eſtime, Qui me cõble d’honneurs, qui m’accable de biens, Qui ne prend pour regner de cõſeils que les miens, O coup, ô-trahiſon trop indigne d’vn homme!	Quelque fruit que par là j'espère de cueillir, Les douceurs de l'amour, celles de la vengeance, La gloire d'affranchir le lieu de ma naissance, N'ont point assez d'appas pour flatter ma raison s'il les faut acquérir par une trahison, S'il faut perçer le fane d'un Prince magnanime, Qui Qui du peu que je suis fait ton telle estime, Qui me commble d'honneurs, qui m'accable de biens, Qui ne prend pour régner de consils que les miens, ÔTE miens, ôtrahison trop indigne d'un homme!
Dure, dure à iamais l’eſclauage de Rome, Periſſe mon amour, periſſe mon eſpoir Pluſtoſt que de ma main parte vn crime ſi noir.	Dure, dure à jamais l'esclavage de Rome, Périsse mon amour, périsse mon espoir Plutôt que de ma main parte un crime si noir.
Quoy!	Quoi!
ne m’offre-t’il pas tout ce que ie ſouhaite, Et qu’au prix de ſon ſang ma paſſion achepte?	ne m'offre-t-il pas tout ce que . souhaite, Et qu'au prix de son sang ma passion achette?
Pour iouyr de ſes dons faut-il l’aſſaſſiner?	Pour jouir de ses dons faut-il l'assassiner?
Et faut-il luy rauyr ce qu’il me veut donner?	Et faut-il Prince ravir ce qu'il me veut donner?
Mais ie dépends de vous, ô ſerment temeraire, O haine d’Æmilie, ô ſouuenir d’vn pere, Ma foy, mon cœur, mõ bras, tout vous eſt engagé, Et ie ne puis plus rien que par voſtre congé.	Mais était dépends de vous, ô serment téméraire, Ô haine d'Opmilie, ô souvenir d'un père, Ma foi, mon cœur, mon bras, tout vous est engagé, Et ainsi ne puis plus rien que par votre congé.
C’eſt à vous à regler ce qu’il faut que ie face, C’eſt à vous, Æmilie, à luy donner ſa grace, Vos ſeules volontez preſident à ſon ſort, Et tiennent en mes mains & ſa vie & ſa mort.	C'est à vous à régler ce qu'il faut que votre face, C'est à vous, Æmilie, à lui donner sa grâce, Vos seules volontés président à son sort, Et tiennent en mes mains et sa vie et sa mort.
O Dieux, qui comme vous la rendez adorable, Rendez-la comme vous à mes vœux exorable, Et puiſque de ſes loix ie ne puis m’affranchir, Faites qu’à mes deſirs ie la puiſſe fléchit.	Ô Dieux, qui comme vous la rendez adorable, Rendez-la comme vous à mes vœux exorable, Et puisque de ses lois atte puis m'affranchir, Faites qu'à mes désirs on la puisse fléchit.
Mais voicy de retour cette belle inhumaine.	Mais voici de retour cette belle inhumaine.
SCENE IV.	SCÈNE IV.
ÆMILIE, CINNA, FVLVIE.	ÆMILIE, CINA, FULVIE.
ÆMILIE.	NEMILIE.
ne, races aux Dieux, cmila, ma flayeur eſtoit vaïTes amis genereux n’ont point mãqué de foy, Et ne m’ont point reduite à m’employer pour toy Octaue en ma preſence a tout dit à Liuie, Et par cette nouuelle il m’arendu la vie.	ne, races aux Dieux, cmila, ma flatteur était vaïTes amis généreux n'ont point mãqué de foi, Et ne m'ont point réduite à m'employer pour toi Octave en ma présence a tout dit à Livie, Et par cette nouvelle il m'arendu la vie.
CINNA.	CINNA.
Le deſaduoürez-vous, & du don qu’il me fait Voudrez-vous retarder le bien heureux eſter;	Le desaduoürez-vous, et du don qu'il me fait Voudrez-vous retarder le bien heureux ester;
ÆMILIE.	NEMILIE.
L’effet eſt en ta main.	L'effet est en ta main.
CINNA.	CINNA.
Mais pluſtoſt en la voſtre.	Mais plutôt en la vôtre.
ÆMILIE.	NEMILIE.
Ie ſuis touſiours moy-meſme, & mon cœur n’eſt point autre, Mve domer a ehma, e ert ne ſuy domertien, C’eſt ſeulement luy faire vn preſent de ſon bien.	Je suis toujours moi-même, et mon cœur n'est point autre, Mue domer a euhma, e ert ne suis domertien, C'est seulement lui faire un présent de son bien.
CINNA.	CINNA.
Vous pouuez toutefois.	Vous pouvez toutefois.
O Ciel!	Ô Ciel!
l’oſay-ie dire!	l'osai-je dire!
FMILIE.	FMILIE.
Que puis-ie, & que crains-tu?	Que puis-je, et que crains-tu?
CINNA.	CINNA.
Ie tremble, ie ſoûpire, Et ſi nos cœurs eſtoient conformes en deſirs, Ie n’aurois pas beſoin d'expliquer mes ſoûpirs:	Je tremble, ie soûpire, Et si nos cœurs étaient conformes en désirs, Je n'aurais pas besoin d'expliquer mes soupirs:
Ainſi ie ſuis trop ſeur que ie vay vous déplaire, Mais ie n’oſe parler & ie ne me puis taire.	Ainsi ici suis trop sûr que ie sans vous déplaire, Mais tu n'ose parler et apprendre ne me puis taire.
ÆMILIE.	NEMILIE.
C’eſt trop me geſner, parle.	C'est trop me gêner, parle.
CINNA.	CINNA.
Il faut vous obeïr.	Il faut vous obéir.
Ie vay donc vous déplaire, & vous m’allez haïr.	Je vais donc vous déplaire, et vous m'allez haïr.
Ie vous ayme, Æmilie, & le Ciel me foudroye Si cette paſſion ne fait toute ma ioye, Et ſi ie ne vous ayme auec toute l’ardeut Que peut vn bel obiet attendre d’vn grand cœur:	Je vous aime, Immilie, et le Ciel me foudroie Si cette passion ne fait toute ma joie, Et si grande ne vous aime quelque toute l'ardeut Que peut un bel objet attendre d'un grand cœur:
Mais voyez à quel prix vous me dõnez voſtre ame, Et me rendant heureux, vous me rendez infame, Cette bonté d’Auguſte.	Mais voyez à quel prix vous me donnez votre âme, Et me rendant heureux, vous me rendez infâme, Cette bonté d'Auguste.
ÆMILIE.	NEMILIE.
Il ſuffit, ie t’entends, Ie voy ton repentir & tes vœux inconſtans, Les faueurs du tyran emportent tes promeſſes, Tes veux & tes ſermens cedent à ſes careſſes, Et ton eſprit credule oſe s’imaginer Qu’Auguſte pouuant tout peut auſſi me donner, Tu me veux de ſa main pluſtoſt que de la mienne, Mais ne croy pas qu’ainſi iamais ie t’appartienne:	Il suffit, Seigneur t'entends, Je vois ton repentir et tes vœux inconstants, Les faveurs du tyran emportent tes promesses, Tes veux et tes serments cèdent à ses caresses, Et ton esprit crédule ose s'imaginer Qu'Auguste pouvant tout peut aussi me donner, Tu me veux de sa main plutôt que de la mienne, Mais ne crois pas qu'ainsi jamais ie ondappartienne:
Il peut faire trembler la terre ſous ſes pas, Ietter vn Roy du trône & donner ſes Eſtats, De ſes proſcriptions rougir la terre & l’onde, Lechaiiger à fon gre rordre de tout le forle:	Il peut faire trembler la terre sous ses pas, Jetter un Roi du trône et donner ses États, De ses proscriptions rougir la terre et l'onde, Léchaiiger à son gré rordre de tout le forle:
Mais le cœur d’Æmilie eſt hors de ſon pouuoir.	Mais le cœur d'Apmilie est hors de son pouvoir.
CINNA.	CINNA.
Auſſi n’eſt-ce qu’à vous que ie le veux deuoir, Ie ſuis touſiours moy meſme, & ma foy touſiours pure, La pitié que ie ſens ne me rend point pariure, I’obey ſans reſerue à tous vos mouuemens, Et prends vos intereſts par-dela mes ſermens.	Aussi n'est-ce qu'à vous que ie le veux devoir, Je suis toujours -m même, et ma foi toujours pure, La pitié que je sens ne me rend point parjure, J'obéi sans réserve à tous vos mouvements, Et prends vos intérêts par-dela mes serments.
I’ay pû, vous le ſçauez, fans pariure & ſans crime Vous laiſſer échapper cette illuſtre victime, Céſar ſe dépoüillant du pouuoir ſouuerain Nous oſtoit tout prétexte à luy perçer le ſein, La comutacion s enanone dmmipee, Vos deſſeins auortez, voſtre haine trompée, Moy ſeul i’ay raffermy ſon eſprit eſtonné, Et pour vous l’immoler ma main l’a couronné.	J'ai pu, vous le savez, fans parjure et sans crime Vous laisser échapper cette illustre victime, César se dépouillant du pendant souuerain Nous ostoit tout prétexte à même perçer le sein, La comutacion s enanone dmipe, Vos desseins avortez, votre haine trompée, Moi seul j'ai raffermi son esprit étonné, Et pour vous l'immoler ma main l'a couronné.
ÆMILIE.	NEMILIE.
Pour me l’immoler, traiſtre!	Pour me l'immoler, traître!
& tu veux que moymeſme, Ie retienne ta main!	et tu veux que moymesme, Je retienne ta main!
qu’il viue & que ie l’ayme!	qu'il vive et que ici l'aime!
Que ie ſois le butin de qui l’oſe épargner, Et le prix du conſeil qui le force à regner!	Que le sois le butin de qui l'ose épargner, Et le prix du conseil qui le force à régner!
CINNA.	CINNA.
Ne me condamnez point quand ie vous ay ſeruie, Sans moy vous n’auriez plus de pouuoir ſur ſa vie, Et malgré ſes bienfaits ie rends tout à l’amour Quand ie veux qu’il periſſe ou vous doiue le iour.	Ne me condamnez point quand ie vous ai servie, Sans moi vous n'auriez plus de pouvoir sur sa vie, Et malgré ses bienfaits sans rends tout à l'amour Quand Je veux qu'il périsse ou vous doive le jour.
Auec les premiers vœux de mon obeïſſance couiles Souffrez ce foible effort de ma recognoiſſance, Que ie tâche de vaincre vn indigne couroux, Et vous donner pour luy l’amour qu’il a pour vous Vne ame genereuſe & que la vertu guide Fuit la honte des noms d’ingrate & de perfide, Elle en haï̃t l’infamie attachée au bon heur, Et n’accepte aucun bien aux deſpens de l’honneur.	Avec les premiers vœux de mon obéissance couiles Souffrez ce faible effort de ma reconnaissance, Que ton tâche de vaincre un indigne courroux, Et vous donner pour lui damour il a pour vous âme généreuse et que la vertu généreuse Fuit la honte des noms d'ingrate et de perfide, Elle en hait l'infamie attachée au bon heur, Et n'accepte aucun bien aux dépens de l'honneur.
ÆMILIE.	NEMILIE.
Ie fais gloire pour moy de cette ignominie, La perfidie eſt noble enuers la tyrannie.	Je fais gloire pour moi de cette ignominie, La perfidie est noble envers la tyrannie.
Et quand il faut répandre vn ſang ſi mal-heureux, Les cœurs les plus ingrats ſon les plus genereux.	Et quand il faut répandre un sang si malheureux, Les cœurs les plus ingrats son les plus généreux.
CINNA.	CINNA.
Vous faites des vertus au gré de voſtre haine.	Vous faites des vertus au gré de votre haine.
AMILIE.	AMILIE.
le me tais des veltus dignes d'vile Rcomnaine.	le me tais des veltus dignes d'une Rcomnaine.
CINNA.	CINNA.
Vn cœur vrayment Romain.	Un cœur vraiment Romain.
ÆMILIE.	NEMILIE.
Oſe tout pour rauir Et le ſang & la vie à qui le fait ſeruir, Il fuit plus que la mort la honte d’eſtre eſclaue.	Ose tout pour ravir Et le sang et la vie à qui le fait servir, Il fuit plus que la mort la honte d'être esclaue.
CINNA.	CINNA.
C’eſt l’eſtre auec honneur que de l’eſtre d’Octaue;	C'est l'être avec honneur que de l'être d'Octave;
Et nous voyons ſouuent des Roys à nos genour Implorer la faueur d’eſclaues tels que nous.	Et nous voyons souvent des Rois à nos genour Implorer la faveur d'esclaues tels que nous.
Frubuiie à nos pieus rorgueil des Diadémes, Il nous fait ſouuerains ſur leurs grandeurs ſuprémes, Il prend d’eux les tributs dont il nous enrichit, Et leur impoſe vn ioug dont il nous affrahchit.	Frubuiie à nos pieus rorgueil des Diadèmes, Il nous fait souverains sur leurs grandeurs suprémes, Il prend d'eux les tributs dont il nous enrichit, Et leur impose un joug dont il nous affrahchit.
APHTLIE.	APHTLIE.
L’indigne ambition que ton cœur ſe propoſe!	L'indigne ambition que ton cœur se propose!
ſe!	se!
Pour eſtre plus qu’vn Roy tu te crois quelque choAux deux bouts de la terre en eſt il d’aſſez vain Pour pretendre égaler vn citoyen Romain?	Pour ici plus qu'un Roi tu te crois quelque choAux deux bouts de la terre en est il d'assez vain Pour prétendre égaler un citoyen Romain?
Antoine Antoine ſur ſa teſte attira noſtre haine En ſe deshonorant par l’amour d’vne Reyne, Attale, ce grand Roy dans la pourpre blanchy Qui du peuple Romain ſe nommoit l’affranchy, Quand de toute l’Aſie il ſe fuſt veu l’arbitre, Euſt encor moins priſé ſon trône que ce tiltre.	Antoine Antoine sur sa tête attira notre haine En se déshonorant par l'amour d'une Reine, Atale, ce grand Roi dans la pourpre blanch Qui du peuple Romain se nommait l'affranchi, Quand de toute l'Asie il se fût vu l'arbitre, Eut encor moins prisé son trône que ce titre,
Souuien-toy de ton nom, ſouſtien ſa dignité, Et prenant d’vn Romain la generoſité, Sçache qu’il n'en eſt point que le Ciel n’ait fait naiſtre (maiſtre.	Souvien-toi de ton nom, soutien sa dignité, Et prenant d'un Romain la générosité, Sache qu'il n'en est point que le Ciel n'ait fait naître (maître.
Pour commander aux Roys, & pour viure ſans	Pour commander aux Rois, et pour vivre sans
CINNA.	CINNA.
Le Ciel a trop fait voir en de tels attentats Qu’ils haït les aſſaſſins, & punit les ingrats, Et quoy qu’on entreprẽne, & quoy qu’on execute, Quand il éleue vn trône il en venge la cheute, Il ſe met du party de ceux qu’il fait regner, Le coup dont on les tuë eſt long temps à ſeigner, Et quand à le punir il a pû ſe reſoudre.	Le Ciel a trop fait voir en de tels attentats Qu'ils hait les assassins, et punit les ingrats, Et quoi qu'on entreprendre, et quoi qu'on exécute, Quand il élève un trône il en venge la chute, Il se met du parti de ceux qu'il fait régner, Le coup dont on les tue est long temps à seigner, Et quand à le punir il a pu se résoudre.
De pareils chaſtimens n’appartiennent qu’au foudrẽ.	De pareils châtiments n'appartiennent qu'au foudr.
ÆMILIE.	NEMILIE.
Dy que de leur party toy meſme tu te rends De te remettre au foudre à punir les tyrans, Ie ne t’en parle plus, va, ſers la tyrannie, Abandonne ton ame à ſon lâche Genie, Et pour rendre le calme a ton eſprit flottant Oublie & ta naiſſance & le prix qui t’attend.	Dis que de leur parti toi -même tu te rends De te remettre au foudre à punir les tyrans, Je ne t'en parle plus, va, sers la tyrannie, Abandonne ton âme à son lâche Génie, Et pour rendre le calme a ton esprit flottant Oublie et ta naissance et le prix qui t'attend.
Ie ſçauray bien ſans toy, dans ma noble colere, Venger les fers de Rome & le ſang de mon pere;	Je saurai bien sans toi, dans ma noble colère, Venger les fers de Rome et le sang de mon père;
I’aurois deſia l’honneur d’vn ſi fameux trépas, Si l’amour iuſqu’icy n’euſt arreſté mon bras.	J'aurais déjà l'honneur d'un si fameux trépas, Si l'amour jusqu'ici n'eût arrêté mon bras.
C’eſt luy qui ſous tes loix me tenant aſſeruie M’a fait en ta faueur prendre ſoin de ma vie, Seule contre vn tyran en le faiſant perir Par les mains de ſa garde il me falloit mourir,	C'est lui qui sous tes lois me tenant asservie M'a fait en ta faveur prendre soin de ma vie, Seule contre un tyran en le faisant périr Par les mains de sa garde il me fallait mourir,
Ie t’euſſe par ma mort deſrobé ta captiue, Et comme pour toy ſeul l’amour veut que ie viue, I’ay voulu, mais en vain, me conſeruer pour toy, Et te donner moyen d’eſtre digne de moy.	Je t'eusse par ma mort dérobé ta captive, Et comme pour toi seul l'amour veut que ie clue, J'ai voulu, mais en vain, me conserver pour toi, Et te donner moyen d'être digne de moi.
pée Pardonnez-moy, grands Dieux, ſi ie me ſuis tromQuand i’ay penſé cherir vn neueu de Pompée, Et ſi d’vn faux-ſemblant mon eſprit abuſé A fait choix d’vn eſclaue en ſon lieu ſuppoſé.	pée Pardonnez-moi, grands Dieux, si je me suis tromQuand j'ai pensé chérir un neu de Pompée, Et si d'une faux-semblant mon esprit abusé A fait choix d'un esclaue en son lieu supposé.
Ie t’ayme toutefois, tel que tu puiſſes eſtre, Tu te plains d’vn amour qui te veut rendre traiſtre.	Je t'aime toutefois, tel que tu puisses être, Tu te plains d'un amour qui te veut rendre traître.
Mille autres à l’enuy receuroient cette loy S’ils pouuoient m’acquerir à meſme prix que toy:	Mille autres à l'envi recevraient cette loi S'ils pouvaient m'acquérir à même prix que toi:
Mais n’apprehende pas qu’vn autre ainſi m’obtienne, (ne, Vis pour ton cher tyran tandis que ie meurs tienMes iours auec les ſiens ſe vont precipiter Puiſque ta lâcheté n’oſe me meriter.	Mais n'appréhende pas qu'un autre ainsi m'obtienne, (ne, Vis pour ton cher tyran tandis que ainsi meurs tienMes jours avec les siens se vont précipiter Puisque ta lâcheté n'ose me mériter.
Vien me voir dãs ſon ſang & dans le mien baignée De ma ſeule vertu mourir accompagnée, Et te dire en mourant d’vn eſprit ſatisfait:	Viens me voir da son sang et dans le mien baignée De ma seule vertu mourir accompagnée, Et te dire en mourant d'H esprit satisfait:
N’accuſe point mon ſort, c’eſt toy ſeul qui l’as fait, Ie deicens dais la tombe ou tu m'as condamnée, Ou la gloire me ſuit qui t’eſtoit deſtinée, Ie meurs en détruiſant vn pouuoir abſolu, Mais ie viurois à toy ſi tu l’auois voulu.	N'accuse point mon sort, c'est toi seul qui l'as fait, Je deicens dais la tombe ou tu m'as condamnée, Ou la gloire me suit qui t'était destinée, Je meurs en détruisant un pouvoir absolu, Mais En vivrais à toi si tu l'avais voulu.
CINNA.	CINNA.
Et bien, vous le voulez, il faut vous ſatisfaire, Il faut afranchir Rome, il faut venger vn pere, Il faut ſur vn tyran porter de iuſtes coups, Mais aprenez qu’Auguſte eſt moins tyrã que vous s’il nous oſte à ſon gré nos biens, nos iours, nos femmes, 2 Il n’a point iuſqu’icy tyranniſé nos ames, Mais l’empire inhumain qu’exerçent vos beautez Force iuſqu’aux eſprits & iuſqu’aux volontez:	Et bien, vous le voulez, il faut vous satisfaire, Il faut afranchir Rome, il faut venger un père, Il faut sur un tyran porter de jusqu' ici, Mais apprenez qu'Auguste est moins tyrans que vous s'il nous ôte à son gré nos biens, nos jours, nos femmes, 2 Il n'a point jusqu'ici tyrannisé nos âmes, Mais l'empire inhumain qu'exerçent vos beautés Force jusqu'aux esprits et jusqu'aux volontés:
Vous me faites priſer ce qui me deshonnore, Vous Vous me faites haïr ce que mon ame adore, Vous me faites repandre vn ſang pour qui ie dois Expoſer tout le mien en mille & mille fois, Ie l’ay iuré, i’y cours, & vous ſerez vengée, Mais ma main auſſi toſt dedans mon ſein plongée Aux manes d’vn tel Prince immolant voſtre amãt A ce crime forçé ioindra le chaſtiment, Et par cette action dans l’autre confonduë Recouurera ſa gloire auſſi-toſt que perduë.	Vous me faites priser ce qui me déshonore, Vous Vous me faites haïr ce que mon âme adore, Vous me faites répandre un sang pour qui suis dois Exposer tout le mien en mille et mille fois, Je l'ai juré, j'y cours, et vous serez vengée, Mais ma main aussi tôt dedans mon sein plongée Aux mânes d'un tel Prince immolant votre amant A ce crime forçé joindra le châtiment, Et par cette action dans l'autre confondue Recouurera sa gloire aussitôt que perdue.
Adieu.	Adieu.
SCENE V.	SCÈNE V.
ÆMILIE, FVLVIE.	ÆMILIE, FULVIE.
FVLVIE.	FULVIE.
Vous auez mis ion ame au deſeſpoir.	Vous avez mis ion âme au désespoir.
ÆMILIE.	NEMILIE.
Qu’il ceſſe de m’aymer, ou ſuyue ſon deuoir.	Qu'il cesse de m'aimer, ou suive son devoir.
FVLVIE.	FULVIE.
Il va vous obeïr aux deſpens de ſa vie;	Il va vous obéir aux dépens de sa vie;
Vous en pleurez!	Vous en pleurez!
ÆMILIE.	NEMILIE.
Hielas:	Hielas:
cours apres luy, Fuluie, Et ſi ton amitié daigne me ſecourir, Arrâche-luy du cœur ce deſſein de mourir, Dy luy.	cours après femme, Fuluie, Et si ton amitié daigne me secourir, Arrâche-lui du cœur ce dessein de mourir, Dy Dis.
FVLVIE.	FULVIE.
Q onla laueun vous lainez viure nuguſte?	QU onla lavun vous lainez vivre nuguste?
ÆMILIE.	NEMILIE.
Ah!	Ah!
c’eſt faire à ma haine vne loy trop iniuſte.	c'est faire à ma haine une loi trop injuste.
Et quoy donc?	Et quoi donc?
FVLVIE.	FULVIE.
ÆMILIE.	NEMILIE.
Qu’il achéue & dégage ſa foy, Et qu’il choiſiſſe apres de la mort, ou de moy.	Qu'il achève et dégage sa foi, Et qu'il choisisse après de la mort, ou de moi.
Fin du troiſiéme Acte.	Fin du troisième Acte.
CINNA ACTE IV.	CINNA ACTE IV.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
AVGVSTE, EVPHORBE, POLYCLETE.	AUGUSTE, EUPHORBE, POLYCLETE.
AVGVSTE.	AUGUSTE.
pætap out ce que tu me dis, Euphorbe, eſt incroyable.	pætap ou ce que tu me dis, Euphorbe, est incroyable.
EVPHORBE.	EUPHORBE.
Seigneur, le recit meſme en paroiſt allleyacie;	Seigneur, le récit même en paraît allleyacie;
On ne conçoit qu’à force vne telle fureur, Et la ſeule penſée en fait fremir d’horreur.	On ne conçoit qu'à force une telle fureur, Et la seule pensée en fait frémir d'horreur.
AVGVSTE.	AUGUSTE.
Quoy, mes plus chers amis!	Quoi, mes plus chers amis!
quoy, Cima!	quoi, Cima!
quoy, Maxime!	quoi, Maxime!
Les deux que i’honorois d’vne ſi haute eſtime!	Les deux que j'honorais d'une si haute estime!
A qui i’ouurois mon cœur, & dont i’auois fait choix Pour les plus importans & plus nobles emplois!	À qui j'ouvrais mon cœur, et dont j'avais fait choix Pour les plus importants et plus nobles emplois!
Apres qu’entre leurs mains i’ay remis mon Empire, Pour m’arracher le iour l’vn & l’autre conſpire!	Après qu'entre leurs mains j'ai remis mon Empire, Pour m'arracher le jour l'un et l'autre conspire!
Encore pour Maxime, il m’en fait aduertir, Et s’eſt laiſſe toucher à quelque repentir, Mais Cinna?	Encore pour Maxime, il m'en fait avertir, Et s'est laisse toucher à quelque repentir, Mais Cinna?
EVPHORBE.	EUPHORBE.
Cinna ſeul dans ſa rage s’obſtine, Et contié vos bontez d’autant plus ſe mutine:	Cinna seul dans sa rage s'obstine, Et contié vos bontés d'autant plus se mutine:
Luy ſeul combat encor les vertueux efforts Que ſur les coniurez fait vn iuſte remords, Et malgré les frayeurs à leurs regrets meſlées Il tâche à raffetmit leurs ames eſbranlées.	Lui seul combat encor les vertueux efforts Que sur les conjurés fait un juste remords, Et malgré les frayeurs à leurs regrets mêlées Il tâche à raffetmit leurs âmes ébranlées.
Av	Av
AVGVSTE.	AUGUSTE.
Luy ſeul les encourage, & luy ſeul les ſeduit?	Lui seul les encourage, et avoir seul les séduit?
O le plus déloyal que l’Enfer ait produit!	Ô le plus déloyal que l'Enfer ait produit!
O trahiſon conceuë au ſein d’vne Furie!	Ô trahison conçue au sein d'une Furie!
O trop ſenſible coup d’vne main ſi cherie!	Ô trop sensible coup d'une main si chérie!
