RRII I TRAGEDIE.	RRII I TRAGÉDIE.
Si Pyrrhe ne rend toſt Hermione rauie, Conme à ſon pere, amour luy conſtera la vie.	Si Pyrrhe ne rend tôt Hermione ravie, Conme à son père, amour notre constera la vie.
Didaime.	Didaime.
Laira faiutiy uonnar iuus derehaſard.	Laira faiuti uonnar jusqu' hasard.
Helenin.	Hélenin.
Aduertiſſez-le donc, & pluſtoſt que plus tord	Aduertissez-le donc, et plutôt que plus tord
CHOEVR E peut il faire que peniles,  Qui vinent pardeſſus la mon, Dedans les vohtes belancéer Aux regler d'vn librereſſort, Iαde fanσurο ſe ſeiens placlos	CHOEUR E peut il faire que péniles, Qui vinent pardessus la mon, Dedans les vohtes belancéer Aux régler d' libreressort, Idéde fanσurο se seiens placlos
Rrera moſtre fagile ſort, Qn' elles d'en ſeiene poim eſſacíes Par acna criminel eſſert.	Rrera motre fagile sort, Qu' elles d'en seience poim essaces Par na criminel essert.
Se pons il fairs qu'un courags, Qui vit aſdæne du deſtin, Et qu’un porpetuel naufrage Paitſes erdinaire butin, Paiſſe conceuoir tant de rage Ceptre le mandenient dinin, Qne peur en appaiſer l’orage, Ses ſauers traueillens en vain.	Se pons il fairs qu'un courags, Qui vit asdæne du destin, Et qu'un porpétuel naufrage Paitses erdinaire butin, Paisse concevoir tant de rage Céptre le mandénient din, Qne peur en apaiser l'orage, Ses savers traueillens en vain.
La celeſle magnificence Decoule en noſtre ſein touſinirs, Ee la meriille ontrecridance Ramais ne deſtourne ſen cours:	La cèle magnificence Decle en notre sein tousinirs, Ée la meriille ontrecridance Ramais ne détourne sen cours:
Des l'heme de noſtre næiſſance Ls crimes ſe roulent noriours, Es naxxesfois à noſtre oſſence Les Dieux, ce ſemble, ont les bras gourds.	Des l'heme de notre næissance Ls crimes se roulent noriours, Es naxtefois à notre ossence Les Dieux, ce semble, ont les bras gourds.
Ils ſemblem cemme par contrairite S'armer d’ire, pour maras punir, Et font delſias nous pluas de crainre, Pre de panities venir:	Ils semblem cemme par contrairite S'armer d'ire, pour maras punir, Et font délsias nous pluas de crainre, Pre de panities venir:
Rt meſme de perr que l'anainee De leur coup mous face finir, Domud ils la fons voir dipeime Al nas yeux, porxr naris rcinteuir.	Rt même de perr que l'anainee De leur coup mous face finir, Domud ils la fonds voir dipeime Al nas yeux, porxr naris rcinteuir.
Tamtoaſt un crxene eſſroyable Nems en aduertit des hants cieur:	Tamtoât un crxene essroyable Nems en avertit des hants ciel:
Tauroſt vne éclipſe ſemablable Neu cit leſeleil radieax:	Taurôt une éclipse semablable Neu cit lesèleil radieax:
Tancoſt un ſenge veritable Læ nais ſe preſerure à nos yens,	Tancôt un senge véritable Læ nais se preservre à nos yens,
Nous dipeint le deſtin des Dieux.	Nous dipeint le destin des Dieux.
Didaime en ſçauroit bien que dire, A quila nuict a preſenté En ſonge le malheur de Pyrrhe Dépeins auecques verití:	Didaime en saurait bien que dire, À quila nuit a présenté En songe le malheur de Pyrrhe Dépeins auecques verití:
Mais Pyrrhe ſera touſiours pire En ſa méchante volonté, Tant que ſous le celeſte empire Il ſe troune du tont dompté, Et que le ſonge maniſeſte De Didaime luy ſoit pareil A ceux que iamais ne moleſte Le ſonge en leur oyſif ſonmeil, Simon vn ſeul coup:	Mais Pyrrhe sera toujours pire En sa méchante volonté, Tant que sous le céleste empire Il se trouvont du to dompté, Et que le songe maniste De Idaime lui soit pareil A ceux que jamais ne moleste Le songe en leur oissif songe, Simon un seul coup:
mais au reſte Quand ce coup il s'offre à leur cil, Il le cloſt d'vn ſome ſuneſte, Quine yon hauuen tenem	mais au reste Quand ce coup il s'offre à leur cil, Il le clôt d'un some suneste, Qu' on hauven tènement
La Nourrice.	La Nourrice.
Voy'l ne veulez-vous point à la parſin, Madame, Denner trine aux dorleurs qui tourmemem veſtre ame?	Vois-l ne veulez-vous point à la parsin, Madame, Denner trine aux dorleurs qui tourmemem vestre âme?
Qnoy?	Quoi?
ne voulez-uous poims un peu vous reſionyre Prrlez-vous langourenſe inceſſammemt ſorr D'vn courage ebfiint les donceurs de laioye?	ne voulez-vous poims un ne vou resionyre Lez-vous pô ie sorr D' courage ebfiint les donceurs de laioye?
preye Inſqu'à quand venlex vons domer vostre amo cu Au dueil & aux ſoncis qui naineut peu à puLe vigneur de vas ans, corome à ſon prapre ſeu Neus voyons conſexer la chandelle luiſante, duuu ils d juulmia dues	preye Insqu'à quand venlex vons domer votre amo cv Au véeil et aux soncis qui naineut peu à puLe vigneur de vas ans, corome à son prapre seu Neus voyons consexer la chandelle luisante, duuu ils d ûulmia dues
Hermione.	Hermione.
Qui pourroit an malheus où ie ſuis n'égayer?	Qui pourrait an malheus où tu suis n'égayer?
Neurrice, quel esbas me pourroit recréer?	Neurrice, quel ébas me pourrait recréer?
Seuſfrant en mon eſpris vne angoiſſe ſans ceſſe, Plus graude que iamais n’a ſais pauure Princeſſe?	Seusfrant en mon épris une angoisse sans cesse, Plus gravde que jamais n'a sais pauvre Princesse?
Nourrice.	Nourrice.
EEt vous rendez encor plus grand voflre ruælhes, Ln vous laiſſant ainſi aller à la douleur.	EEt vous rendez encor plus grand voflère ruælhes, Lenn vous laissant ainsi aller à la douleur.
Hermione.	Hermione.
A ſon gré malgri moy, cette deuleur m'emxperte:	À son gré malgri moi, cette dévuleur m'emxperte:
Ie n'y puit reſiſler, tant elle eſt grande & forte, Si ie noy efforçois, ce ſeroit perdre temps, Corame les nautonniers ſur les ondes fintans, Quandils voyent iharger au milieu de leur cererſi, Le veut qui les ſuiurit de l'Orient à l'Ourſe, Courbent premierement le voile trop tendu, Poœr tirer du biais aus cheniin pretendu:	Je n'y puit résisler, tant elle est grande et forte, Si je noy efforçais, ce serait perdre temps, Corme les nautonniers sur les ondes finans, Quandils voient jarger au milieu de leur cérersi, Le veut qui les suivrit de l'Orient à l'Ourse, Courbent premièrement le voile trop tendu, Pœr tirer du biais aussi cheniin prétendu:
Ils l'abaiſſent du tout:	Ils l'abaissent du tout:
fej lors à viue force Debras & d’auirous contre l'onde & le uans S'efforcent de pouſſer lerx næuire en auant, Iuſqu'àians qu'à la ſin la cruelle tormente S'enſle de pluus en plus, & ſe rend umhemcenu, Tau un grand tintamarre, &s leue à grosmceeux Ainſi amexonis boſſiu, les mugiſſantes eeux, Qui beurs nt le nauire, & de grands vagoes tortes Gaignens, peur l’enſendrer, deſel les guæres rrortts, Alors les mariniers voyan que leur eſſort flax peuus cpporter q uns prechaintruent, S'ils veulent plus long icmps aux vagues faire ieſt, Se laiſſent emporter au gré ae la tempeſte:	 lors à vive force Bras et d'avirous contre l'onde et le ans S'efforcent de pousser lerx nævire en avant, Jusqu'àians qu'à la sin la cruelle tormente S'ensle de plueuts en plus, et se rend umhècenu, Tau un grand tintamarre, ets lue à grosmceeux Ainsi amexonis bossiu, les mugissantes ceux, Qui beurs n le avire, et de grands vagoût le Navire, peur eensendrer, de les guæres rrortts, Alorsures Gagnes voyan que ur l' a peuus cpporter s les prechaintruent, Ails veulent plus long icmps aux les mar is, A laissent que leur grézane latempête:
Tout de meſine, Nourrier, ayant à riſiſter Contre vn mal trop puiſſent, ie m’y laiſſe erporter, Et ſans auoir iaantais de plus grand' ioye enius, It deteſte le ſort de na cruelle vie.	Tout de mesine, Nourrier, ayant à rister Contre un mal trop puissent, toujours m'y laisse erporter, Et sans avoir iaantais de plus grand' joie enius, It déteste le sort de na cruelle vie.
Nourrice.	Nourrice.
Peur vne ſi grand' dame, & derelle veniu, Veſtre ceurage au dueil eſt bien roſt abata, Peus auez peu de cœur, pardomez ruoy, nuadene, De vous monſirer ſi laſche au dueil qui vous entams Le ſein, de ſa rigueur, & à qui vous porrriez Tonterfois reſiſter, ſi vous veus rfforciez.	Peur une si grand' âme, et derelle veniv, Votre ceurage au deuil est bien tôt abata, Peu té peu de cœur, pardomez ru, nuadene, De vous monsirer si lâche au dueil qui vous entends Le sein, de sa rigueur, et à qui vous porriez Tonterfois résister, si vous veux résorciez.
Hermione.	Hermione.
Comment trop peus de cœur?	Comment trop pus de cœur?
que veux-tu queis ſace Ayant deuans mes yeux à ior propes la face De cet honums arrogant, qui fier n'eſtimoe paLa nerre digne aſſez pour ſoustetuir ſes paes Les loups gris ne ſont pas aux momans ſi perrillu, Les farouches Iyens ne ſont pas ſi horribles, Dans les deſers d'.	que veux-tu queis sace Ayant devants mes yeux à jor propes la face De cet honums arrogant, qui fier n'estimoe paLa nerre digne assez pour soutetuir ses paes Les loups gris ne sont pas aux momans si perrillu, Les farouches Jyens ne sont pas si horribles, Dans les désers d'.
Afique, au pelcrin tranſi Phorreur à leur abord, que m'eſt cet honime icy:	Afique, au point transi Phorreur à leur abord, que m'est cet honime ici:
Meſine il me ſemble aduis, alors qu’il me carqo?	Mesine il me semble avis, alors qu'il me carqo?
Qu'vn ſerpent contre moy pau-m’englontir ſe draſst:	Qu'un serpent contre moi pau-m'englontir se drast:
Taut ſon geſle, ſon port, ſon marcher & ſa veix Me fait bendir le cœur, ſi toſtque ie le vois.	Taut son gèle, son port, son marcher et sa veix Me fait bendir le cœur, si tôtque avec le vois.
Et ayans d’autre pars dans ron ame irprimſe De tuon Oreile cher la grace taus aynſs, L'æciable faſon, la donce prinæd, Les propos græcioux, la celeſte heauil, Dont helaς !	Et ayant d'autre pars dans ron âme irprimse De tuon Oreile cher la grâce taus ainss, L'æciable fason, la donse prinæd, Les propos græcioux, la céleste héla! Dont helaς !
aαinenent ce babare me priue, Qui pær fonce rreſclane enure ſes mains ccpino PRηταφ ie νiſιſtον à υη fιρνακδ παιhεπνι 2 Et tu dis cperddent que i ay fanie de ceror, Taureis farue de ceur lien d’anantage encerq Si ie ne ſenis peiur co mel qui me deοre.	aαinenent ce babare me prive, Qui pær fonce résclane en ses mains ç PRηταφ ie νisιstον fιρνακδ παιhεπνι 2 Et tu dis cperddent que y ay sanie de ceror, Taureis farue de ceur lon anantage encerq Pi ie ne ô PR mel qui me deοre.
L tardis qdvixra, vexx nepoumez ſauerimo Lac ecſ.	 Lardis qduixra, vex nez saverimo Lac ec.
vnare.	unare.
Herm.	Herm.
Il me tims veirmm Par ſtrce à ſia plaiſu, deù virs leurn semrnem, Hdes!	Il me tims veirmm Par strce à zia plais, de virs leur semrne, Hèdes!
delt de rout praxecheſe cecme ſatale εlux prixcε qiſerede l'eſtrc de Tamdle D'eſiretriſeνpæ ſerce, O ſenς vnſier destin, Sενμις à̓ lεμ hαιτεν deproyεε detiιa.	délût de rout praxechese cecme satale εlux prixcε qiserede l'estrc de Tamdle D'esiretriseνpæ serce, Ô senς vnsier destin, Sενμις hαιτεν deproyεε detiιa.
Aιηθπτεαις Pelεpe ſen atcie Hippdan, Ιeνς Ayrεlιle ſit em trahiſer inſame θεσ Sειππεπτ ομηοτας cοειν ſiις un eſiiση, Qui rec qu teſteis rim quede cire aa tailien.	Aιηθπτεαις Pelεpe sen atcie Hippdan, Ιeνς Ayrεlιle em trahiser insame Sειππεπτ ομηοτας cοειν siις un esiiση, À Pe l testeis sen a cire Hy tailien,
En la meſtit ſapn, ſu le ncile riunge D'υπεςtαιις lιοεπετν, fισδεσιο͂ͅ εωplτο Dνπσηστεllεηδιιδεκο σειιὲ τι Ιηριιπν δδſείνπανεἰπτπς εην δεδεις σαττ εηδακεια, Αατεηοτπειππασις, qi dePvn eſt ſerie, Nαεσιινανειτει αεες πει εητuς, Πεπ πecs à Ιηριη, cαr le ιτιο Tha, Iriers δe ſea aoux vιπσπεκς ααbλαά, De Sparrs lacmmacſenpaudεdic N ſes Peras menares vne ſerrde pra cque, Eci,.	En la mestit sapn, su le ncile riunge D'υπεςtαιις lιοεπετν, fισδεσιο͂ͅ εωplτο Dνπσηστεllεηδιιδεκο σειιὲ Ιηριιπν δδsείνπανεἰπτπς δεδεις σαττ εηδακεια, Αατεηοτπειππασις, dePvn est serie, Nαεσιινανειτει αεες εητuς, πecs Ιηριη, le ιτιο , Iriers En la vιπσπεκς sapin, De Su le N sesÎle menares D' serrde lum, é,.
i.	y.
auu que Thſtellas al tauom, Pareuu ſaαs cεαρſενιν laνεcεεανεν αlενα Nais elooſiκd:	auu que Thstellas al tauom, Pareu sa cεαρsενιν la αlενα Nais eloosiκd:
ρuυ priſe per llexende, Priſe, τικεποδεſαττα fαιι απτοσαdeeſp adω, F qui ayant esti funebre à tans de geus, Me charge auſui l'eſprit de ces ſoncis cuiſens.	ρuυ prise per llexende, Prise, τικεποδεsαττα ide απτοσαdeesp are, F ait étant éti funèbre à tans de geus, Me charge aussi l'esprit de ces soncis cuisens.
Car Monelas abſent neſçochant que Tyadere M'auoit prariſe aillerors, m accerde à ce barertt Qui de ſorce & de fait m'eſl ueunis erde;	Car Monélas absent nesçochant que Tyadere M'avait praris ailler, m accerde à ce barert Qui de sorce et de fait m'él ueunis erde;
Es dele chers arorir d Oreſto me pnuor:	Es dele chers arorir d Oréto me pénuor:
E penſe eucore Aresmemeir ſair cas ocuregs, Que prx l'airaer ie deius erlr anger renceenae De mon leyæl anærs que malgri ſa rigean, Lauran tars que ie uins augrars dars messcem, E qu peus eſtre en breſ prendrs lim levanxaanca Des peines que ns ſaut edrer l'errogance De ce ſier Scyrien.	ER pense eucore Aresmemeir sair cas ocuregs, Que près l'airaer ie déjus erl anger renceenae De mon leyæl anærs que malgri sa riguan, Lauran ards que sans ouvins augrars dars mscem, E qu pans être en bres prendrs lim levanxaanca Des peines que ns saut édrer l'errogance De ce sier Scyrien.
Nour.	Nour.
Cs il l'eſt fait deſc Coguoiſtre vælereux, à ſPενς ριι uenges:	Cs il l'est fait des Coguoistre vælereux, à sPενς aires:
De ſin pere merriri la reil G l'inſarcie, Il peurrabiemvοn ger lιIlIdeſeσ πιs	De sin père merriri la réil G 'insarcie, Il peurrabiemvοn ger lιIlIdeseσ 
Hermione.	Hermione.
là bοης Dιεκν!	là bοης Dιεκν!
πεοευισπασς ιεσισεςτιι	πεοευισπασς ιεσισεςτιι
Nourrice.	Nourrice.
Lors peuieſtre cα τοεισς il ſera eſteré:	Lors peuiestre cet τοεισς il sera esteré:
Mais vεισγ vετίς Pγννbe.	Mais vεισγ yens Pγννbe.
Herm.	Herm.
O daſellm Cexlie.	Ô dasellém Cexplie.
àeonire coux d eſtis ſicrerer cgrre:	àeonire coux d étis sicrérer cgrère:
Rim aauimns-dons indes manis1y,ny, Pecc ſdvmſiejea d'autre mon eſnoy?	Rim aauimns-dons indes manis1y,ni, Peccec sdvmsiejea d'autre mon énoi?
Mis RT , ie vous prie, auæ qi'ille díraarchu, rilleuux port, ces auogaus ſe mercel	Mis RT , je vous prie, auæ qi'ille díraarchu, rilleuux port, ces avogaus se mercel
Dex .	Dex .
Pynhe.	Pynhe.
ηδ Hενπαιοης ακςz νοuς ταειῖ υος as cς braßeς diſſela, Qui e.	 Hενπαιοης ακςz νοuς ταειῖ as brasseς dissela, Qui ét.
qαvoſtrt cœur, & peur lamex laſcire Di plus træiſire aſſaſtia qui ſur la terrevims, Vaus ſaittœn meſtriſer voptre loyal eſpoms, 22 Pnai legirirnumis eſt conioius auec vous?	qαvostrt cœur, et peur lamex lascire Di plus træisire assâtia qui sur la terrevims, Vaus saitœn métriser voptre loyal espoms, 22 Pnai legirirnumis est conioius aprè vous?
Chaſſez de voſtre eſprit cetre marie extrume, Seriez de veſtre erreαr, rενρατηεz eη væu rδιvο, Oubliez ec meuririer:	Chassez de votre esprit cré marie extrume, Seriez de vêtre errellr, ras eût væu rδιvο, Oubliez ec mûririer:
& penſez quanſi lim A vous en ſacierir veus ne gaiguerez rien:	et pensez quanti lim À vous en sacierir veux ne gaguerez rien:
Cæ cil, qui pens ſur vens poxs ce qebon luy ſerdle Veus eruciſclera bim d'eſtre iæais cſemble:	Cæ cil, qui pens sur vents poxs ce qebon tu serdle Veus ervisclera bim d'être jæais csemble:
Et ſi vos contræindra à la ſin queqe ieux De clangor ueſre ccux, per force, ex par amer.	Et si vos contræindra à la sin que jeux De clangor uère ccux, per force, ex par amer.
Hai, ßverx rd ex cryyez, neſorſfrez Herιcινπς, Queneus en veniems là, cimez-moy, ma raigneuns Mey qui à veris æimer ſuis ſi ſerme & conſlamt, Et qui peur ces aieur à tors eradire iant, N’amendez pas, uonceur aque vous ſoyez ſercle, Aais changez librenens veltre raic prurle, E pemmesz plaſhſt queieulls ſçache gri Ne ce τœ parcontαinte cαſuibie ie pradrí.	Hai, ssverx rud ex criiez, nesorsfrez Herιcινπς, Queneus en veniemais là, cimez-moi, ma raigneuns Mère qui à véris æimer suis si serme et conslammes, Et qui peur ces à tors adiré jant, N'amendez pas, onceur aque vous soyez sercle, Aais changez librenens veltre raic prurle, E pemmes plash queieulls sache gri Ne ce τœ parcontinte cαsuibie c' pradrí.
Hermione.	Hermione.
Teus ces propos hautaius ne me ſont plus de cræiure, Lu ce quui ſe pouuoit i'ay eſté l̀ contrainte:	Tus ces propos hautaius ne me sont plus de cræjure, Lu ce quui se pouvait j'ai été l contrainte:
Par ſorce ce mien cerps eſt en uaſtre poormrir, Iene puis Ia peſcher:	Par sorce ce mien cerps est en uastre poormir, Jène puis Ia pêcher:
mαις aαnι d̀ ποn vοαlοr, Soyez ſeuxr qIn eſtpasmy paveus, ny au reſte De mut le geure hœcacin de l'eftranger d’Orſſte, Pray qrez laan peu Ics rien corps arreſtl, L'eſpris eſt mαιgνί vοπς γαſτανς en liberet, Qui en rom, & par ious deſpie ceste audacs, Et qui n’a malle peur que i arais perr menace De ſeu, deſer, demer:	m' ajour que ποn voit, Soyez seuxr qIn estpasmi paveus, ni au reste De mut le geure hœcaccin de l'étranger d'Orsuite, Pray qrez laan peu Ics rien corps arrêt, L'épris est mαιgνίendre γαsτανς en libèret, Qui en rom, et par ious dépie cette audacs, Et qui n'a malle peur que j' a perr menace De seu, deser, demer:
cmiſſe taus ſoit pen Edrædler ſa conſtance hers de ſen premier lien	cmisse taus soit pen Edrædler sa constance hers de sen premier lien
Pyrrhe.	Pyrrhe.
Il ns ſau pas auſd querx ayez dorrance Queic urille, n'amour, ebnanler ta cenſtance, Ni coutraindre ismais la durté de ton ceur, Par l'effort irhumain d'vne telle rigueur:	Il ns sau pas ausd querx ayez dorrance Que ouvrille, n'amour, ébnanler ta centance, Ni coutraindre ismais la durté de ton ceur, Par l'effort irhumain d'une telle rigueur:
Inhumcine rigueur beaucoup plus couuenable Aux plus ſiers auimax du Taure inhaſpitable;	Inhumcine rigueur beaucoup plus couvenable Aux plus siers auimax du Taure inhaspitable;
, Et f urus prruions rien en l'eſprit conceuair Encores de plus dur, que non pas au deuair Dvn te Ror que ie ſuis enuers vne Princeſſe, Auß n’y veux-ie vſer d'une telle rudeſſe.	, Et f urus privons rien en l'esprit concevair Encores de plus dur, que non pas au devair Dieux te Ror que je suis envers une Princesse, Aussi n'y veux-je user d'une telle rudesse.
Hermior.	Hermior.
Pourcroy dence terez-vous Herrasbus en priſeui	Pourcrois denee teréz-vous Herrasbus en prisévi
Viſic.	Visic.
Aſin qu’auoc le terps vous ſorce la raiſon	Asin qu'avoc le terps vous sorce la raison
Hermione Ie fais auiant le temps ce qu'elle me commande:	Hermione Je fais aujant le temps ce qu'elle me commande:
Pyrrhe.	Pyrrhe.
oracilePona pae teuaueis quis dmande,	oracilePona paye teuaueis quis dmande,
Hermione.	Hermione.
Bay la rajuni iue Paamme point.	Bais la rajuni jue Paamme point.
Pyrrhe.	Pyrrhe.
Dimer voſtre mary la vaiſon vous euous.	Dimer votre mari la vaison vous évous.
Hermione.	Hermione.
Hà que moon cher eſpoux ſçait bien commeie l'eirs.	Hé que moon cher époux avait bien commeie l'irs.
*jlahe.	*jlahe.
Verus ne pouuez auoir d’eutre eſpux que moy meſme.	Verus ne pouvez avoir d'eutre espux que moi -même.
Hemionc.	Hémionc.
Peus pouuez lien chercher aurre ſemms que moy.	Peus pouvez lien chercher aurre sems que moi.
Pyrrhe.	Pyrrhe.
Peαrquoy?	Peαrquoy?
n'eſtes-vems pas à mνy ſelon la loy?	n'êtes-vems pas à mêni selon la loi?
Hermione.	Hermione.
Ouy bien ſelen la loy de fande & vielence.	Oui bien selen la loi de fande et vielence.
lynhe.	lynhe.
32 PYRRHE.	32 PYRHÉE.
Viyre pens ençela m’anoit donnélicrrce.	Vire pens ençela m'anait donnélicrrce.
Hermione.	Hermione.
Aaalpasſapulualdaune la Sanss.	Aapassapulualdaune la Sanss.
Pyrrhe.	Pyrrhe.
Eauas napanaſauapyiia	Eavas napanasauapyiia
Hermione.	Hermione.
A pe tous dlluis moy, qui ucau dis le terraire?	À pe tous dlluis -moi, qui ucau dis le terraire?
m'yrrhe.	m'irrhe.
Pa lm me dir uaus qu’il ne le pœrmeit ſairel:	Pa lm me dir Çus qu'il ne le pœrmeit sairel:
Hermione.	Hermione.
Dααtακας qυιι κε pereper deſſic líquit Iius qu'il ait deſſus πρν ρlαιεrε anτhοriεl.	Distant qυιι „ pèreper dessic li Iius qu'il ait dessus ρlαιεrε anτhοriεl.
Prrrhe.	Prrhe.
Sil diſpoſe lο ſση, lαcσοrέ eſt ιιριtωlα	Sil dispose le sση, l' est est
Hermione.	Hermione.
Equeble ſeit il, mais non peiutaue udeble.	Equeble seit -il, mais non péiutave udeble.
Hcimionc.	Hcimionc.
Mon ayeul, deno irers moy le purncie m'eſt pas moinda	Mon aïeul, deno irers moi le purncie m'est pas moinda
Hermione.	Hermione.
Hermione.	Hermione.
Jpep'aMMedoe.	JépépeaMMédoe.
Pyrrhe.	Pyrrhe.
auenaæomnu aundtuia mopopat;	avenaæomnu aunduia mopat;
Hermione.	Hermione.
Ns uaadez-vour ianax molilſerenmpat	Ns uadez-vour janax molilserenmpat
Pirrhe.	Pirrhe.
n uu pouZuupesounoiomeijo Quand mus nevondrez plus ſaire ainſi la mœnueiſe.	nu pouz pouZuupesounoiomeijo Quand mus nevondrez plus zaïre ainsi la mœnueise.
Hermione.	Hermione.
Et veυ eurez de mοσy duprepos pluc cocτtoi, Quαnd vouς m'aurez rendu celuy à quireſtois.	Et velez de mοσy duprepos pluc cocτtoi, Quαnd vouς m'aurez rendu celui à quirestois.
Pirrhe.	Pirrhe.
Cexment ce deſloyal & rιchans pærricide?	Cexment ce déloyal et rιchans pæricide?
Hermione.	Hermione.
La iuſtce peroet bien ſoment l'homicide.	La justce péroet bien soment l'homicide.
Pyrrhe.	Pyrrhe.
Siie vογεῖν, ποπεσκν, crοy ηη, q ιmο ſaltι Ddleiſſerιοη ππετ ρετσ υῆ τ̀ le vans, Et qui euſtplus qre rooy de guerriere uaillance, De bime, eu de bauilb, ie prendreicpætioncs Et à daxy cerxm ren corrſenyer iuis Decader à la ſ à eil qui le vaudbou:	Siie voit, ποπεσκν, crois, q saltι Ddleisserιοη ππετ ρετσ le sal, Été qui eustplus er à la guerrière ans, Et qui, eu de bauilb, us prendreicpætioncs Et ro daxy cerxm ren corrsenyer y Decader la e qui le vaudbou:
Hais cors eſt un regras ſaſchax enremeſirre Dere uair inuers loy ſ rauaſch anentdure Peax airaer varalchar d quienaine ſu Preuue de ſa vderren paire, myornſue.	Hais cors est un regras sâchax enremesirre Dere uair inuers loi rauasch anentdure Peax airaer varalchar quienaine su Preuue de sa vderren paire, myornsue.
Pyrrhe.	Pyrrhe.
Dohun mn iquruempiat,	Dohun mn iquruempiat,
Hermione.	Hermione.
aheudos nuumenua cus	aheudos nuumenua cvs
Pyrrhe.	Pyrrhe.
Non, il n’a ſerdemens quo maſſacré ſamcm.	Non, il n'a serdements quo massacré samc.
Hermione.	Hermione.
Mais c’eſtoit pour venger le meurire de ſonpere.	Mais c'était pour venger le meurire de sonpère.
BIines Pour vn meartre venger fantil eſtreirpieux?	BIines Pour un meartre venger fantil êtreirpieux?
IECTHHOIIC.	IECTHHOIIC.
Cduy-H ne l'eſt pas qui obeis aux Dieux.	Cédui-H ne l'est pas qui obéis aux Dieux.
Pyrrhe.	Pyrrhe.
Tare s'eu ſaut que lez Dieux cord̀lcns la mrie, Qu'ils eut tout an contraire agité de ſinie Ce tacurtrier tealheureux, pour vne telle horrems Sans ceſſe tourmenil de tanique terreur.	Tare s'eu saut que le Dieux cord̀lcns la mrie, Qu'ils eut tout an contraire agité de sinie Ce tacurtrier tealheureux, pour un telle horrems Sans cesse tourmenil de tanique ur.
I ne pous arreſter en pas vn lien du monde, Es ſerlle proprerent que l'air, la terre fej l’onde Apens peur ſes forfaits cerure luy ceuimré, De ne le ſeuſfrir onc rulle pært aſſurí.	I ne pous arrêter en pas un lien du monde, Es serlle proprerent que l'air, la terre séjour l'onde Apens peur ses forfaits cervre un ceuimré, De ne le seusfrir onc rulle pært assuré.
Es cependens l'ardeur & decstable ſlamme De non æmcur laſcif, (impadique Pej inſame) Me veus du plus aalcharu d'enire tous ler mortele Faire icy quelque Dieus meritæne des autels.	Es cepends l'ardeur et décstable slamme De non æmur lascif, (impadique Péjjonc) Me veux du plus acharu d'enire tous ler mortele Faire ici quelque Dieus meritæne des autels.
Es erorageαns apres ſans houmeur & ſeus honte, Ta neſes n'eſpriſer, ¶l ne ſaire aucna ceme Du ben Rey Herdles ion pere & tou Seigneur.	Es erorageαns après sans houmeur et zeus honte, Ta nés n'épriser, ne zaïre aucna ceme Du ben Herdles ion pere et Seigneur.
Maiie uoir lien quec eſt, ie s'ay fait d.	Majie ouvoir lien quec est, je s'ai fait d.
l’honmneur Plus quein nemerite, ecgucillenſe & ſareuchs, Daueir deiel sedcrureenma Reydle couche, Hr mmes ua dpie vαο ηy.	l'honmneur Plus quein nemerite, ecgucillense et sareuchs, Daveir deiel sedcrureenma Reidèle couche, Hr mêmes ua dpie v ie.
Il ne te ſalleirras vn grand Roy corrme noy, Pour legiiæs eſpeeax:	Il ne te salleirras un grand Roi corrme noi, Pour légiæs espeeax:
mais ainſi qu'à tamere, De qui tu enſiyuras l'éternel vitupers, Il ie ſallais auair quelque ieune tuignon, Pour acheuier de peirdre encor le beau renru, Lequel a tellemeni voſtre race ebellie, Paur l'adultera ſeul par le ruonde enueblie, Ie mie ſuis mais vers poy plus qu'an inſle deunir, I'ay par teute donceur eſſays de t'auris:	mais ainsi qu'à tamère, De qui tu ensiyuras l'éternel vitupers, Il avec sallais avair quelque jeune tuignon, Pour achevier de péirdre encor le beau renru, Lequel a tellemeni votre race ébelie, Paur l'aura seul par le ruonde enveblie, Je mie suis mais vers poi plus qu'an insle deunir, J'ai par tute donceur essais de t'auris:
Tu at ſuperberrent reietit roes prieres, Mais tu peux t’aſſurer que ce ſont les demieres.	Tu at superberrent rejetit roères prières, Mais tu peux t'assurer que ce sont les demières.
Et ſi te faus reſondre & dans bien pen de iours D'oublier de tous point tes laſciues amours, Et laiſſant la fureur de ta lubrique rage, Te ſaubmettre au deuoir d'vn iuſſe mariage:	Et si te faus ressondre et dans bien pen de jours D'oublier de tous point tes lasciues amours, Et laissant la fureur de ta lubrique rage, Te saubmettre au devoir d'un iusse mariage:
εutrεmeηt.	εutrεmeηt,
Herm.	Herm.
Auiraxent?	Aviraxent?
croy que i'en ay  3122 Queie te dmaandois long teu ey abien loin, Tant ie trouue en mon cœur ia proſence agrcalle.	crois que j'en ai 3122 Queie te dmandais long tu ei abien loin, Tant ie trouve en mon cœur ja prosence agralle.
Nourrice.	Nourrice.
Mademe vous denriez eſtre plus amieble Enuiers ce ieune Roy, de peuir que ſon courroux Ne luy ſace arteruer quelqs choſe ſur vons.	Mademe vous denriez être plus amieble Enviers ce jeune Roi, de peu que son courroux Ne lui sace arterver quelqs chose sur vons.
didfajamantur le ajamtatolrs, Tant i'aueus belle peur qu’il ne vous vint meffaire, Las!	didfajamantur le ajamtatrs, Tant j'aveus belle peur qu'il ne vous vint meffaire, Las!
