AT.	AT.
Lors que ce chaud braſier preſſe vn peu trop ſon Son troupeau tous les iours viẽt tõdre icy les prés, Et leur rauir les fleurs dont ils ſont diaprés.	Lors que ce chaud brasier presse un peu trop son Son troupeau tous les jours viennt tendre ici les près, Et leur ravir les fleurs dont ils sont diaprès.
Ie l’attens donc icy, mais quelcun ſous cette ombre Eue Repoſe, ſi me ſemble;	Je l'attends donc ici, mais quelcun sous cette ombre Eue Repose, si me semble;
ouï, ce bocage ſombre Ne le laiſſe pas voir.	ouï, ce bocage sombre Ne le laisse pas voir.
Benit ſois-tu Amour:	Bénit sois-tu Amour:
C’ét celle que Damon me montra l’autre iour;	C'est celle que Damon me montra l'autre jour;
C'ét Silaire, c’ét elle, à qui mon mauuais ange, Accorde iniuſtemant tant d’heur & de loüange:	C'est Silaire, c'est elle, à qui mon mauvais ange, Accorde injustemant tant d'heur et de louange:
Amour, que ie la tiens icy bien à propos;	Amour, que ici la tiens ici bien à propos;
Car cependant qu’elle ét ſous la loy du repos, Et que ſes yeux fermés d’vn acte ſi infame Ne ſeront point témoins, ie ne crains aucũ blâme;	Car cependant qu'elle est sous la loi du repos, Et que ses yeux fermez d'un acte si infâme Ne seront point témoins, ie ne crains aucun blâme;
Perſonne ne ſçaura l’autheur de cette mort, Si ce n'ét vous grãds Dieux, qui gouuernés mõ ſort.	Personne ne saura l'auteur de cette mort, Si ce n'est vous grands Dieux, qui gouvernez mon sort.
tourne iſis yeux vers Silairẽo Ha!	tourne isis yeux vers Silairẽo Ha!
Ha que ie ſuis timide!	Ha que personne suis timide!
& peu accoutumee Aux executions d’vne amour animee.	et peu accoutumée Aux exécutions d'une amour animée.
Ie tremble de frayeur:	Je tremble de frayeur:
Dieux, cõduiſez ma mair põme Et ioignez cette pomme à celles de ſon ſein.	Dieux, cõduisez ma mair pomme Et joignez cette pomme à celles de son sein.
poiso.	poiso.
Courage, c'en ét fait:	Courage, c'en est fait:
en s’eueillant Silaire, Comme c’ét vne choſe en ce cas ordinaire, Voudra prés de ſon nés porter ce fruict ſi beau, laire.	en s'éveillant Silaire, Comme c'est une chose en ce cas ordinaire, Voudra près de son nés porter ce fruit si beau, laire.
Et ainſi flairera les odeurs du tombeau.	Et ainsi flairera les odeurs du tombeau.
Tu tardes trop muje jen cestreuie on ron crime Contre toy le courroux des Immortels anime.	Tu tardes trop muje jen cêtreuie on ron crime Contre toi le courroux des Immortels anime.
SDSSDSSDSSSSSSS ACTE QVATRIE'ME, SCENE PREMIERE, & ſeconde, mélées.	SDSDSSDSSSSSS ACTE QUATRIE'ME, SCÈNE PREMIÈRE, et seconde, mêlées.
CLEOGENE, SILAIRE, DAMON, TIMANDR 2 CLEOGENE SEVL.	CLÉGENE, SILAIRE, DAMON, TIMANDR 2 CLÉGENE SEUL.
ON eſprit refleurit, & mon Astre laſſé Se De trauerſer mes iours d’vn regard cou roucé, Commence à ſupprimer ſa mauuaiſe influence, Le deſtin a pitié de ma longue ſouffrance, Le Soleil me ſouſrit, & le Ciel adoucy, Aprés tant de trauaux me reçoit à mercy:	ON esprit refleurit, et mon Astre lassé Se De traverser mes jours d'un regard cou cy, Commence à supprimer sa mauvaise influence, Le destin a pitié de ma longue souffrance, Le Soleil me sousrit, et le Ciel adouci, Après tant de travaux me reçoit à merci:
Mes maux ont acheué le temps de leur duree, La bonace pour moy ſi ſemble ét aſſeuree, Les vẽts qui me faiſoient craindre de m’abyſmer.	Mes maux ont achevé le temps de leur dure, La bonace pour moi si semble est assurée, Les vients qui me faisaient craindre de m'abîmer.
Appaiſez, ont laiſsé la paix deſſus la mer;	Apaisez, ont laissé la paix dessus la mer;
A la fin ma Bergere à mes ſouhaits ſe range, L'empire paternel abſolu ſur mon Ange, A diſpoſé ſans doute à mes intentions, Pour me rendre contant ſes inclinations.	À la fin ma Bergère à mes souhaits se range, L'empire paternel absolu sur mon Ange, A disposé sans doute à mes intentions, Pour me rendre contant ses inclinations.
8 Si cela eſt, grands Dieux, gardés vôtre Ambroſie, Qui ſi ſuauement vôtre eſprit raſſaſie, Ie ne l’enuie plus, Silaire en vn baiſer A bien plus de douceurs pour ma faim appaiſer.	8 Si cela est, grands Dieux, gardez votre Ambrosie, Qui si suavement votre esprit rassasie, Je ne l'envie plus, Silaire en un baiser À bien plus de douceurs pour ma faim apaiser.
Que cette viſion ét douce à ma penſee, Que le traict ét benin dont i’ay l’ame bleſſee?	Que cette vision est douce à ma pensée, Que le trait est bénin dont j'ai l'âme blesse?
Mais ie vay poſſeder vn trop rare bon-heur, Pour croire que les Dieux n'enuiẽt point mõ heur:	Mais ici vais posséder un trop rare bonheur, Pour croire que les Dieux n'enuiẽt point mon heur:
Iupiter autre fois ſous diuerſe figure, Prophane, deguiſa l’éclat de ſa nature, Pour iouir des beautés que la terre admiroit, Et que plus que les Dieux tout le monde adoroit.	Jupiter autre fois sous diverse figure, Prophane, déguisa l'éclat de sa nature, Pour jouir des beautés que la terre admirait, Et que plus que les Dieux tout le monde adorait.
Si quelque Dieu vouloit par la méme ſurpriſe Abuſer de Silaire, il lácheroit la priſe, Et mon bras, quoy qu’il eût vn deſtin immortel, Egaleroit ſa trame à celle d’vn mortel;	Si quelque Dieu voulait par la même surprise Abuser de Silaire, il lâcherait la prise, Et mon bras, quoi qu’il eût un destin immortel, Egaleroit sa trame à celle d'un mortel;
Car tandis que le ſang boüillira dans mes veines, On ne ſçauroit m'ôter ce loyer de mes peines, Cette beauté m'ét deuë, & la conceßion Que i'en ay des parens, ioint la condition Où ie ſuis éleué iuſtement me la donne, Et ce riche ioyau manquoit à ma couronne, Il ne me reſte plus qu'à ſonder les eſprits:	Car tandis que le sang boüillira dans mes veines, On ne saurait m'ôter ce loyer de mes peines, Cette beauté m'est deve, et la concession Que j'en ai des parents, joint la condition Où ie suis élevé justement me la donne, Et ce riche joyau manquait à ma couronne, Il ne me reste plus qu'à sonder les esprits:
Mais la voila qui dort, ou mes ſens ſont ſurpris.	Mais la voilà qui dort, ou mes sens sont surpris.
Apprõchons:	Apprõchons:
elle dort auec bien peu de peine;	elle dort avec bien peu de peine;
d il Cepen Cependant que ma Belle ét au pouuoir des ſonges, Volons deſſus ſa bouche vn baïſer tout de miel.	d il Cépen Cependant que ma Belle est au pouvoir des songes, Volons dessus sa bouche un baïser tout de miel.
1i is Dieux!	1i is Dieux!
ie me ſens raui iuſqu’au troiſiéme ciel, Ie crois, que pour payer ma conſtance & ma peine, Vous m’aués dépouillé de la nature humaine, Pour me faire aßiſter aux celeſtes feſtins, Ou i’auale à longs traits vos breuages diuins;	Les me sens ravi jusqu'au troisième ciel, Je crois, que pour payer ma constance et ma peine, Vous m'avez dépouillé de la nature humaine, Pour me faire assister aux célestes festins, Ou j'avale à longs traits vos brevages divins;
Außi ne crois-ie pas qu’vne bouche mortelle Peût goûter les douceurs, que la ſienne recelle:	Aussi ne crois-je pas qu'une bouche mortelle Put goûter les douceurs, que la sienne recèle:
Mais cette pomme iointe à celles de ſon ſein voudroir pien diſpurer de la peaute au rein;	Mais cette pomme jointe à celles de son sein voudroir pien dispurer de la peaute au rein;
Honteuſe elle rougit d’auoir eté vaincue.	Honteuse elle rougit d'avoir eté vaincue.
SILAIRE.	SILAIRE.
Le ſommeil m’abandonne, & l’ennuy qui me fue S'éueille auecque moy, pour offrir à mes yeux Cet object déplaiſant.	Le sommeil m'abandonne, et l'ennui qui me fue S'éveille avec moi, pour offrir à mes yeux Cet object déplaisant.
CLEOGENE.	CLÉGENE.
Deſtins malicieux, Pourquoy m’abuſiés-vous d’vne vaine eſperance, Pour me trahir apres?	Destins malicieux, Pourquoi m'abusiez-vous d'une vaine espérance, Pour me trahir après?
Ma preſence l’offance, Et vous perſuadiés à mes ſens enchantés, Que i’appriuoiſerois ſes farouches beautés.	Ma présence l'offance, Et vous persuadiez à mes sens enchantés, Que j'appriuoiserois ses farouches beautés.
Où fuyés-vous cruelle?	Où fuyez-vous cruelle?
attendés que mon ame Ait jetté deuãt vous ſes derniers traits de flâme, Voyés ce cœur ouuert à vôtre cruauté, Qui reclame la mort.	attendez que mon âme Ait jeté devant vous ses derniers traits de flamme, Voyez ce cœur ouvert à votre cruauté, Qui réclame la mort.
Implacable beauté Déchire moy le ſein, ſaoule ſur luy ta rage:	Implacable beauté Déchire moi le sein, saoule sur lui ta rage:
Mais garde d’offencer les traits de ton image.	Mais garde d'offenser les traits de ton image.
Voicy qui mettra fin à mes longs déplaiſirs,	Voici qui mettra fin à mes longs déplaisirs,
K Et qui ſatisfera tes barbares deſirs.	 Ne qui satisfera tes barbares désirs.
SILAIRE.	SILAIRE.
Miſerable attendés;	Misérable attendez;
que vos longues années poin- Depiaiſent a celuy qui fait les deſtinees.	que vos longues années poin- Dépiaisent à celui qui fait les destinées.
CLEOGENE, Toy ſeule, & non les Dieux ont pouuoir ſur mõ ſort, Et malgré les deſtins;	CLÉGENE, Toi seule, et non les Dieux ont pouvoir sur mon sort, Et malgré les destins;
pun quo tu cens ma mort.	pun quo tu cens ma mort.
ſaiſit Ie veus mourir außi.	saisit -Je veux mourir aussi.
SILAIRE.	SILAIRE.
Arretés-vous Silaire.	Arretez-vous Silaire.
Teut-etre mal-heureuſe, & non pas ſanguinaire, reur.	Teut-être malheureuse, et non pas sanguinaire, reur.
N’accusés que vous ſeul de vos noires fureurs.	N'accusez que vous seul de vos noires fureurs.
CLEOGENE.	CLÉGENE.
Tant de fois que i’ay dit, Silaire ie me meurs, Si tu n’euſſes iuré mon trépas & ma perte, eilre Lors ta pitié ſe fût à mon ſecours offerte, Tu m'euſſes proteſté dans mon dernier deſſein, dãs ie Que la compaßion t’auoit touché le ſein, Que tu plaignois le mal dõt i’auois l’ame attainte;	Tant de fois que j'ai dit, Silaire femme me meurs, Si tu n'eusses juré mon trépas et ma perte, eilre Lors ta pitié se fût à mon secours offerte, Tu m'eusses protesté dans mon dernier dessein, dans mon Que la compassion t'avait touché le sein, Que tu plaignais le mal dont j'avais l'âme attainte;
Que tu ne ſerois plus inſenſible à ma plainte, Que ta rigueur cedoit à mon affection, Bref que tu me donnois ton inclination.	Que tu ne serais plus insensible à ma plainte, Que ta rigueur cédait à mon affection, Bref que tu me donnais ton inclination.
TIMANDRE.	TIMANDRE.
Les arbres les plus forts cedent aux coups du vẽt, Le rocher ét creuſé par l’eau tombant ſouuant:	Les arbres les plus forts cèdent aux coups du vient, Le rocher ét reusé par l'eau tombant souvant:
Mais plus facilement la femme ét abbatue, De raiſons, de ſouſpirs, & de pleurs combattue.	Mais plus facilement la femme est abattue, De raisons, de soupirs, et de pleurs combattue.
Vn Prince ſouſpirant auec humilité, Flechiſſant les genoux deuant vne Beauté, Eblouiſſant Eblouïſſant ſes yeux de l’éclat d’vn Empire.	Un Prince soupirant avec humilité, Fléchissant les genoux devant une Beauté, Éblouissant Éblouissant ses yeux de l'éclat d'un Empire.
Mépriſé n'obtiendra ce que ſon cœur deſire.	Méprisé n'obtiendra ce que son cœur désire.
Abus, ta fermeté Silaire ne peut pas Reſiſter longuemant à de ſi doux appas;	Abus, ta fermeté Syilaire ne peut pas Résister longuemant à de si doux appas;
Moy-méme ie dirois en vn ſujet ſemblable Que la legereté n'ét pas beaucoup coulpable.	Moi-même grande dirais en un sujet semblable Que la légèreté n'est pas beaucoup coulpable.
Il faut payer le coup qui me va menaçant, Et diuertir ce Roy par quelque aduis preſſant.	Il faut payer le coup qui me va menaçant, Et divertir ce Roi par quelque avis pressant.
CLEOGENE.	CLÉGENE.
Außi bien tes parens m’ont donné leur parole, Les Dieux n’approuuët pas que nôtre eſprit viole Le reſpect que l’on doit à ceux dont nous tenons La naiſſance & le iour:	Aussi bien tes parents m'ont donné leur parole, Les Dieux n'approuvet pas que notre esprit viole Le respect que l'on doit à ceux dont nous tenons La naissance et le jour:
nous meſmes condamnõs, Quand nous auons atteint ce titre venerable, Ceux qui veulent choquer cette loy raiſonnable.	nous mêmes condamnons, Quand nous avons atteint ce titre vénérable, Ceux qui veulent choquer cette loi raisonnable.
SILAIRE.	SILAIRE.
Le deuoir des enfans n’ét pas ſi rigoureux, Alors qu’il s’agit d’étre à iamais malheureux, Et de choiſir pour nous vne façon de viure, Que tout le long de l’âge, on ét cõtraint de ſuiure, Qu'il ne nous reſte encor aßés de liberté, Pour former ce deſſein à nôtre volonté.	Le devoir des enfants n'est pas si rigoureux, Alors qu'il s'agit d'être à jamais malheureux, Et de choisir pour nous une façon de vivre, Que tout le long de l'âge, on est contraint de suivre, Qu'il ne nous reste encor aussi de liberté, Pour former ce dessein à notre volonté.
CLEOGENE.	CLÉGENE.
Mais ſi nos volontés peruerſes contrarient Aux profitables ſoings de ceux qui nous marient, Qu'encor que nôtre bien ſi rencontre certain, Nôtre obſtination s’oppoſe à ce deſſain, La raiſon en ce cas nos paſsions doit vaincre Et de nos ſentimans la lourde erreur conuainere:	Mais si nos volontés perverses contrarient Aux profitables soings de ceux qui nous marient, Qu'encor que notre bien si rencontre certain, Notre obstination s'oppose à ce dessain, La raison en ce cas nos passions doit vaincre Et de nos sentimants la lourde erreur conuainere:
Ioy Icy ſans contredit mon bon-heur ét le tien, Tu ne ſçaurois douter que ce ne ſoit ton bien:	Joi Ici sans contredit mon bonheur est le tien, Tu ne saurais douter que ce ne soit ton bien:
Commander tout vn peuple, & regir ſouueraine Vn païs qui reçoit ton empire ſans peine, Contente extrememant l’eſprit & le deſir:	Commander tout un peuple, et régir souveraine Un pays qui reçoit ton empire sans peine, Contente extrêmemant l'esprit et le désir:
Combien pour poſſeder ce glorieux plaiſir De voir deſſus le char d’vne telle fortuné Leurs enefs nuur eteues fur ceux de la commune, Se ſont ſacrifiés à leur ambition?	Combien pour posséder ce glorieux plaisir De voir dessus le char d'vne telle fortuné Leurs enefs nuvr es fur ceux de la commune, Se sont sacrifiés à leur ambition?
SILATRE.	SILATRE.
Ie ne veus point regner.	Je ne veux point régner.
CLEOGENE.	CLÉGENE.
Etrange auerſion.	Etrange aversion.
DAMON.	DAMON.
Damõ Ha!	Damon Ha!
ſpéctacle prrcux.	splectacle prrcux.
Iujesuene biune.	Iujesuene biune.
Pour quel ſujet?	Pour quel sujet?
SILAIRE.	SILAIRE.
DAMON.	DAMON.
Fuyés la commune miſere.	Fuyez la commune misère.
CLEOGENE.	CLÉGENE.
Qui a-t’il de nouueau?	Qui a-t-il de nouveau?
DAMON.	DAMON.
I'étois ſur vn rocher.	J'étais sur un rocher.
Qui ſemble auec orgueil des Astres s’approcher, Quand iettant fixément les yeux ſur Capiante, Ie l’ay veû tout en feu:	Qui semble avec orgueil des Astres s'approcher, Quand jetant fixément les yeux sur Capiante, Je l'ai vu tout en feu:
la flâme petillante, L’étincelle dardoit ſi haut, qu’on eut iuré, Qu'elle alloit embraſer le Palais azuré, Où demeurẽt les Dieux:	la flamme pétillante, L'étincelle dardait si haut, qu'on eut juré, Qu'elle allait embraser le Palais azuré, Où demeurẽt les Dieux:
dãs cette chaude alarme Vous Vous n’eußiez rien oüy qu’vn funeſte vacarme De hurlemens confus, d’épouuantables cris, Qui de crainte & d’horreur ſaiſirent mes eſpris;	dans cette chaude alarme Vous Vous n'eussiez rien oui qu'un este vacarme De hurlements confus, d'épouvantables cris, Qui de crainte et d'horreur saisirent mes esprit;
De là conſiderant tout le tour de la Ville, I'ay veu nombre de gens qui ſortoient file à file De derriere vn côtau, & puis leurs rãgs doubloiẽt;	De là considérant tout le tour de la Ville, J'ai vu nombre de gens qui sortaient file à file De derrière un côtau, et puis leurs rangs doublaient;
Dedans le chãp de Mars où trétous s’aſſembloiẽt, Et de là s’auançans vers la Ville en bon ordre, Profitant au malheur de ce commun deſordre, Ont échelé les murs, & forcé les rempars, Bien que les citoyens vinſſent de toutes pars.	Dedans le chans de Mars où trétous s'assemblaient, Et de là s'avançant vers la Ville en bon ordre, Profitant au malheur de ce commun désordre, Ont échelé les murs, et forcé les rempars, Bien que les citoyens vinssent de toutes pars.
I'n Courrier tout exprés depéché par Hermante, Pour auertir le Roy en cette affaire vrgeante Du malheureux debris de ce fameux Château, Effroyable pour l’heure, & autre fois ſi beau, na muit que tes ouianis uu Iypun de Meßine, Qui des Capiantains a iuré la ruïne, Auoient pillé la Ville.	Yn Courrier tout exprès depéché par Hermante, Pour avertir le Roi en cette affaire vrgeante Du malheureux débris de ce fameux Château, Effroyable pour l'heure, et autre fois si beau, na muit que tes oujanis u Iypun de Mesiine, Qui des Capiantains a juré la ruine, Avaient pillé la Ville.
CLEOGENE.	CLÉGENE.
O destins inhumains!	Ô destins inhumains!
[mains, Pourquoy m’auez-vous mis le Sceptre entres les Pour le couurir peiot ut nonte & d’infamie?	[mains, Pourquoi m'avez-vous mis le Sceptre entres les Pour le couvrir péiot ut nonte et d'infamie?
Auray-ie donc par tout la fortune ennemie?	Aurai-je donc par tout la fortune ennemie?
Adieu belle cruelle, & croyes que les Dieux Puniront vos dédains qui leur ſont odieux.	Adieu belle cruelle, et croyez que les Dieux Puniront vos dédains qui leur sont odieux.
TIMANDRE.	TIMANDRE.
Où fuis-tu ma Bergere?	Où fuis-tu ma Bergère?
SILAIRE.	SILAIRE.
Vne troupe inhumaine hananuu quepinbes omtnungenur ta plaine.	Une troupe inhumaine hananuu quepinbes omtnungenur ta plaine.
TIMANDRE.	TIMANDRE.
Cela te fait-il peur?	Cela te fait-il peur?
LAIRE.	LAIRE.
Tu le peus bien penſer.	Tu le peux bien penser.
TIMANDRE.	TIMANDRE.
Vn regard courroucé que tu leur peus lancer, niemmuenu paume jemmtepannde ja foudre, Reduira leurs deſſeins & leurs mẽbres en poudre	Un regard courroucé que tu leur pus lancer, nièmemuenu paume jemmtepannde ja leur, Reduira leurs desseins et leurs merbres en poudre
LAIRE.	LAIRE.
Tu as tort de railler en ce danger preſſant.	Tu as tort de railler en ce danger pressant.
TIMANDRE.	TIMANDRE.
Croy que pour tõ ſecours mõ bras ét tout-puiſſant Et que pour t’aßister ma fureur animee De tes beaux yeux preſens defairoit vne armee.	Crois que pour tendre secours mon bras est tout-puissant Et que pour t'aussi ma fureur animée De tes beaux yeux presens defairoit une armée.
LAIRE.	LAIRE.
Accompagné d'Amour, ce Dieu ſi redouté, A qui rien n'a iamais longuemant reſiſté, La victoire ſeroit certaine à ta naiſſance, Ie le croiray plutôt qu’en faire experiance:	Accompagné d'Amour, ce Dieu si redouté, À qui rien n'a jamais longuemant résisté, La victoire serait certaine à ta naissance, Je le croirai plutôt qu'en faire expériance:
Mais reſerue ton bras pour vne extremité, Et enprenens etpenaunt em tieaue feureté.	Mais réserve ton bras pour une extrémité, Et enprenens etpenaunt em tye sûreté.
TIMANDRE.	TIMANDRE.
Non, deſſus ma parole arrete en aſſeurance, Autremant tu n'as point en moy de confiance.	Non, dessus ma parole arrete en assurance, Autremant tu n'as point en moi de confiance.
SILAIRE.	SILAIRE.
Si tu le prens par là, demeurons, ie le veux;	Si tu le prends par là, demeurons, Seigneur le veux;
Fuſſe-ie menacee & de fers, & de feux:	Fusse-je menacée et de fers, et de feux:
Aux accens enchanteurs de ta douce parole Mon Mon ame ſe r’aſſeure, & ma crainte s’enuole:	Aux accends enchanteurs de ta douce parole Mon Mon âme se rassure, et ma crainte s'envole:
Comme l’on voit guerir au ſon d’vn inſtrumant Ceux que la Tarantule a point mortellemant, Encore ſur ce point veux-ie bien que tu croye, Qu'à ton abord mon cœur enyuré de ſa ioye, Iamais pour mon ſujet n’eût rien apprehendé, Si ton propre danger ne l’eût intimidé.	Comme l'on voit guérir au son d' Humant Ceux que la Tarantule a point mortellemant, Encore sur ce point veux-je bien que tu croie, Qu'à ton abord mon cœur enivré de sa joie, Jamais pour mon sujet n'eût rien appréhendé, Si ton propre danger ne l'eût intimidé.
IMANDRE.	JMANDRE.
Flateuſe;	Flateuse;
que dis-tu?	que dis-tu?
te pourrois-ie bien croire?	te pourrais-je bien croire?
Veus-tu de mieus aimer me diſputer la gloire?	Vous-tu de mieus aimer me disputer la gloire?
Ce Prince qui tantot t'entretenoit icy, Ne t’aimeroit plus tant, s’il entendoit cecy.	Ce Prince qui tantôt t'entretenait ici, Ne t'aimerait plus tant, s'il entendait ceci.
SILAIRE.	SILAIRE.
Si de pareils diſcours pouuoyent glacer ſon ame, Il y a fort long temps qu’il n’auroit plus de flâme, Au quu junt reoute on ſi puiſſuni riual, Deliuré de ſa peur, tu le ſerois du mal:	Si de pareils discours pouvaient glacer son âme, Il y a fort long temps qu'il n'aurait plus de flamme, Au quu junt reoute on si puissuni rival, Délivré de sa peur, tu le serais du mal:
Mais auec ſon amour mon ennuy perſeuere.	Mais avec son amour mon ennui persévère.
TIMANDRE.	TIMANDRE.
Que faiſoit-il tantôt en ce lieu ſolitaite?	Que faisait-il tantôt en ce lieu solitaite?
SILAIRE.	SILAIRE.
Amoureux comme il ét, me dois-tu demander Ce qui l’a ſi long-temps ici peû retarder?	Amoureux comme il est, me dois-tu demander Ce qui l'a si longtemps ici pu retarder?
deperavil auec moy ſon loiſir & ſa peine A me donner les noms d’ingrate & d’inhumaine, Eſtimant, aſsiſté de mes rudes parans, De pouuoir rendre égaux nos deſtins differans.	dépéravil avec moi son loisir et sa peine À me donner les noms d'ingrate et d'inhumaine, Estimant, assisté de mes rudes parants, De pouvoir rendre égaux nos destins différants.
TIMANDRE.	TIMANDRE.
Sa perſuaſion n'a rien peû ſur ton ame.	Sa persuasion n'a rien pu sur ton âme.
L 2	 2
ILAIRE.	ILAIRE.
erou eu u nuou fujer ue me conner ce olame s	erou eu nuou fujer ue me conner ce olame eu
TIMANDRE.	TIMANDRE.
Ie crains auec raiſon, que ton cœur ne ſoit pas Inſenſible aux douceurs de ces charmans appas, Qui deçoiuent l’eſprit par leur fauſſe apparance.	Je crains avec raison, que ton cœur ne soit pas Insensible aux douceurs de ces charmants appas, Qui déçoivent l'esprit par leur fausse apparance.
SILAIRE.	SILAIRE.
Tu voudrois donc douter de ma perſeuerance,	Tu voudrais donc douter de ma persévérance,
TIMANDRE.	TIMANDRE.
Ie penſe qu’en éfait les diſproportions, Que la Fortune a mis dans les conditions, D’vn Berger & d’vn Roy iuſtifient ma crainte.	Je pense qu'en éfait les disproportions, Que la Fortune a mis dans les conditions, D'un Berger et d'un Roy ustifient ma crainte.
SILAIRE, Icy tu me fournis iuſte ſujet de plainte, Ihus evc iomemte 5e jgauonca que poux moy Ie n’ay point ſoupçonné ton amour, ni ta foy;	SILAIRE, Ici tu me fournis juste sujet de plainte, Ihus évite juste 5 jauonca point soupçonné ton Ie ni ta point soupçonné ton amour, ni ta foi;
Me crois tu moins que toy amoureuſe & fidelle?	Me crois -tu moins que toi amoureuse et fidèle?
TIMANDRE.	TIMANDRE.
Oui:	Oui:
parce que mes yeux te cognoiſſent ſi belle Que les plus beaux objets, auprés de ta beauté, Difformes, ne ſçauroyent changer ma volonté:	parce que mes yeux te connaissent si belle Que les plus beaux objets, auprès de ta beauté, Difformes, ne sauraient changer ma volonté:
Mais vn Roy vaut bien mieux que le pauure TiSILAIRE.	Mais un Roi vaut bien mieux que le pauvre TiSILAIRE.
Imandre	Imandre
Tu me veus irriter.	Tu me veux irriter.
TIMANDRE.	TIMANDRE.
Non:	Non:
mais ie veus entendre, A quelle élection te porte ton amour.	mais ici vus entendre, À quelle élection te porte ton amour.
SILAIRE.	SILAIRE.
A uimer beaucoup mieux Timandre que le iour;	A uimer beaucoup mieux Timandre que le jour;
A perdré A perdre la clarté, qui nous parôit commune, nuuror que fepurer unuce toy ma fortune.	À perdré À perdre la clarté, qui nous parôit commune, nuvror que fépurer unuce toi ma fortune.
TIMANDRE.	TIMANDRE.
Le dois-ie croire, ô Dieux?	Le dois-je croire, ô Dieux?
SILAIRE.	SILAIRE.
Mais en peux-tu douter?	Mais en peux-tu douter?
TIMANDRE.	TIMANDRE.
Certes, voila dequoy mon erreur refuter;	Certes, voilà dequoy mon erreur réfuter;
mie ounx ciupirtoner covrnis ave lavronjes Où l’amour ma porté?	mie ounx ciupirtoner covrnis avis lavronjes Où l'amour ma porté?
SILAIRE.	SILAIRE.
Si ton ame ét ſaiſie Encor de cette peur, apres tant de ſermans, Tu es bien exceßif en tes reſſentimans.	Si ton âme était saisie Encor de cette peur, après tant de sermants, Tu es bien excessif en tes ressentimants.
TIMANDRE.	TIMANDRE.
A cette heure mon ame en ét deueloppe, Ta merueilleuſe foy la rendu detrompee.	À cette heure mon âme en est développe, Ta merveilleuse foi la rendu détrompée.
Tantôt i’étois icy quand ce Prince amoureux, Tâchoit par ſon babil à deuenir heureux, Lors mon timide amour apprehendant la ſuite De ce diſcours plauſible, a finy ſa pourſuite Par le trompeur aduis que Damon a donné, Ie eruignoi que vevtai de ce vnej couronne Ne t’éblouït les ſens:	Tantôt j'étais ici quand ce Prince amoureux, Tâchait par son babil à devenir heureux, Lors mon timide amour appréhendant la suite De ce discours plausible, a fini sa poursuite Par le trompeur avis que Damon a donné, Je eruignoi que veutai de ce vnej couronne Ne t'éblouit les sens:
ores que ta conſtance Si ferme m'a paru contre mon eſperance, I’auoüe mon erreur, & demande pardon.	ores que ta constance Si ferme m'a paru contre mon espérance, J'auoüe mon erreur, et demande pardon.
SILAIRE.	SILAIRE.
Tu n’auras pas grand peine à obtenir ce don, Car ie ne penſe pas, que les plus fortes geines	Tu n'auras pas grand peine à obtenir ce don, Car tu ne pense pas, que les plus fortes geines
Ne Ne ſoyẽt douces au prix des tourmãs & des peines Que donne à nôtre eſprit vn objet odieux, Qui nous entretenant de diſcours ennuyeux Irrite en méme temps nôtre œil & nôtre oreille;	Ne Ne soient douces au prix des tourmants et des peines Que donne à notre esprit un objet odieux, Qui nous entretenant de discours ennuyeux Irrite en même temps notre œil et notre oreille;
As-tu l’inquietude à la mienne pareille, Lors qu’il te faut parler à vn autre qu’à moy?	As-tu l'inquiétude à la mienne pareille, Lors qu'il te faut parler à un autre qu'à moi?
TIMANDRE, I’ay de l’auerſion pour ce qui n’ét pas toy, Apres que ie t’ay veû toute choſe m’offence, Les pius rures ovjeis, que loin de ta preſance Le ſort ôfre à mes yeux les font ſiller d’horreur.	TIMANDRE, J'ai de l'aversion pour ce qui n'est pas toi, Après que ici t'ai vu toute chose m'offense, Les pius rures ovjeis, que loin de ta presance Le sort ôfre à mes yeux les font siller d'horreur.
SILAIRE.	SILAIRE.
Eliſe ne t’ét pas vn objet de terreur.	Élise ne t'est pas un objet de terreur.
TIMANDRE.	TIMANDRE.
Bien qu’aux yeux du vulgaire elle paroiſſe belle, Parce que ſon amour me veut rendre infidelle, Elle ſemble à mes yeux plus laide qu’vn Lutin, Quelque neceßité qu’apporte le deſtin, S’il vouloit auec elle attacher mes annees, Ma haine forceroit l’arrét des deſtinees, I’abregerois mes iours, afin qu’en ce faiſant I’arrachaſſe à mes yeux cet objet déplaiſant.	Bien qu'aux yeux du vulgaire elle paraisse belle, Parce que son amour me veut rendre infidèle, Elle semble à mes yeux plus laide qu'un Lutin, Quelque necessité qu'apporte le destin, S'il voulait avoir elle attacher mes années, Ma haine forcerait l'arrêt des destinées, J'abregerois mes jours, afin qu'en ce faisant J'arrachasse à mes yeux cet objet déplaisant.
LATRE.	LATRE.
Sur cet autel du Dieu, qui preſide aux bocages, Dont la bonté maintient la paix dãs nos villages, Iurons de nous garder vne eternelle fo y.	Sur cet autel du Dieu, qui preside aux bocages, Dont la bonté maintient la paix dans nos villages, Jurons de nous garder ne éternelle fo y.
TIMANDRE.	TIMANDRE.
C’ét vn expediant inutile pour moy:	C'est un expédiant inutile pour moi:
Toutesfois ie le veus.	Toutefois Seigneur le veux.
SILAIRE.	SILAIRE.
