JOLIENNE, ia ſemme.	JOLIENNE, ja semme.
Mais vraiment, Charlos, tu perds l'eſprit, & tu ferois croire des choſes.	Mais vraiment, Charlos, tu perds l'esprit, et tu ferais croire des choses.
CHARLOT.	CHARLOT.
Paigue, je le lais expres;	Paigue, je le lais exprès;
je ſis bian-aiſe qu’on ſçache ce qui en eſt, & je ne veux pas que vous attrapiais parſonne:	je sis bianaise qu'on sçache ce qui en est, et je ne veux pas que vous attrapiais parsonne:
oh!	oh!
j’ai de la conſcience, moi.	j'ai de la conscience, moi.
LEPINE.	LEPINE.
Voilà un honnête garçon:	Voilà un honnête garçon:
COLETTEF'en ai auſſi, je t’aſſure;	COLETEF'en ai aussi, je t'assure;
& pour te tirer de ton erreur, je te dirai en bonne conſcience que je ne t’aime point, que je ne t’al lamais aimé, &t que jene tamelm de ma vle.	et pour te tirer de ton erreur, je te dirai en bonne conscience que je ne t'aime point, que je ne t'al lamais aimé, ett que jène tamelm de ma veule.
LEPINE.	LEPINE.
Cela eſt fort elair, Monſieur Charlot, & voilà.	Cela est fort elleair, Monsieur Charlot, et voilà.
une déclaration dans lee formes.	une déclaration dans lee formes.
CHARLOT.	CHARLOT.
Oh!	Oh!
palſanguenne, alle ne penſe point ça, c’eſt pour vous le lalte acclone, Moigule celt un anlmal bien trompeux que la femelle d’un homme k	palsanguenne, allé ne pense point ça, c'est pour vous le lalte acclone, Moigule celt un anlmal bien trompeux que la femelle d'un homme k
LEPINE.	LEPINE.
Il ne faut pas toujours ſe fier aux apparences, Monſieur Charlot.	Il ne faut pas toujours se fier aux apparences, Monsieur Charlot.
CHARLOT.	CHARLOT.
me traiter de la magmete t allez, cela n’eſt ni biau ni honnête, après tout ce qui s’eſt paſſé depis que je nous connoiſſons.	me traiter de la magmete ni allés, cela n'est ni biav ni honnête, après tout ce qui s'est passé dépis que je nous connaissons.
COLETTE.	COLETTE.
Hé!	Hé!
que s’eſt-il paſſe, dis maroufle, qui te faſſe pamur que papue pauloul paur toit	que s'est-il passe, dis maroufle, qui te fasse pamur que papue pauloul paur ait
CHARLOT.	CHARLOT.
Quoi!	Quoi!
je n’ons pas joue enſemble à la Madame.	je n'ons pas joue ensemble à la Madame.
à Colin-Maillard, à la Queu-leleu, à Petangueule?	à Colin-Maillard, à la Queu-lev, à Petangueule?
Hé bien!	Hé bien!
COLETTE.	COLETTE.
CHARLOT.	CHARLOT.
Ce n'eſt rien que ça, n’eſt-ce pas?	Ce n'est rien que ça, n'est-ce pas?
& quand je jouions à la Cleumiſette;	et quand je jouions à la Cleumisette;
acoutez, ne me faites pas parler.	acoutez, ne me faites pas parler.
Source gal ale de France	Source gal ale de France
COLETTE.	COLETTE.
Parle, parle, je ne te crains point:	Parle, parle, je ne te crains point:
quand noua jouions à la Cleumiſette;	quand noua jouions à la Cleumisette;
que veux-tu dire?	que veux-tu dire?
CHARLOT.	CHARLOT.
On nous trouvoit tous deux dans la même cacne.	On nous trouvait tous deux dans la même cacne.
Sont-ce des preuves que ça, Monſieur de Lépeine?	Sont-ce des preuves que ça, Monsieur de Lépeine?
LEPINE.	LEPINE.
Non vraiment.	Non vraiment.
COLETTE.	COLETTE.
Voyez le grand malheur !	Voyez le grand malheur !
Hé!	Hé!
pourquoi m’y venois-tu trouver, dis?	pourquoi m'y venais-tu trouver, dis?
Ii 1 l ſS Parce que je vous aime:	Ji 1 l lS Parce que je vous aime:
Mais pourquoi ne me chaſſiais-vous pas, vous?	Mais pourquoi ne me chasssiais-vous pas, vous?
COLEITE.	COLEITE.
Parce que je ne ſçavois pas que tu m’aimaſſes, & que je ne t’aimois pas, moi.	Parce que je ne savais pas que tu m'aimasses, et que je ne t'aimais pas, moi.
CHARLOT.	CHARLOT.
Alle ne m’aimoit pas!	Alle ne m'aimait pas!
qu’alle eſt trigaude!	qu'allé est trigaude!
Quanu je dalſlons au x clamions, alle étoit toujours la première à me prendre, & ſi alle auroit voulu pouvoir me tenir par les deux mains, tant alle étoit aſſotée de ma parſonne.	Quanu je dalslons au x clamions, allé était toujours la première à me prendre, et si allé aurait voulu pouvoir me tenir par les deux mains, tant allé était assotée de ma parsonne.
COLETTE.	COLETTE.
Tu t’es figuré cela, mon pauvre Charlot.	Tu t'es figuré cela, mon pauvre Charlot.
CHARLOT.	CHARLOT.
Oh!	Oh!
pargué non, je ſçai bian ce que je dis.	pargué non, je sais bian ce que je dis.
Te nez, Monſieu de Lépeino, alle faiſoit cont fois plus de eareſſe aux franes moigneaux que je ly dénichois, qu’à tous les marles que lui bailloient les autres.	Te nez, Monsieu de Lépeino, allé faisait cont fois plus de earesse aux franes moigneaux que je li dénichais, qu'à tous les marles que lui baillaient les autres.
Morgué, n’eſt-ce pas là de l’amour?	Morgué, n'est-ce pas là de l'amour?
je vous en fais juge.	je vous en fais juge.
LEPINE.	LEPINE.
Il'y a quelque choſe à dire à cela, vous avez raiſon:	Il'y a quelque chose à dire à cela, vous avez raison:
mais il n’y a pas de quoi rebuter mon maî.	mais il n'y a pas de quoi rebuter mon maît.
de, & ces bagatelles-la ne l’empêcheront pas de conclure le mariage.	de, et ces bagatelles-la ne l'empêcheront pas de conclure le mariage.
CHARLOT.	CHARLOT.
Ca ne l’en empêchera pas?	Ça ne l'en empêchera pas?
LEPINE.	LEPINE.
Non vraiment.	Non vraiment.
O li l n do r.	Ô li l y do r.
Tatigué, que je ſis.	Tatigué, que je sis.
fâché de ce qu’il n’y en as pas davantage.	fâché de ce qu'il n'y en as pas davantage.
COLETIE.	COLETIE.
J'en ſuis fort contente, moi.	J'en suis fort contente, moi.
Tu l’aurois dit de même?	Tu l'aurais dit de même?
CHARLOT.	CHARLOT.
Oh!	Oh!
pour ſti-là, oui, je vous en réponde:	pour sti-là, oui, je vous en réponde:
COLETTE.	COLETTE.
Où eſt votre maſtre, Monſieur de Lépine?	Où est votre mastre, Monsieur de Lépine?
LEPINE.	LEPINE.
Vous ne tarderez pas à le voir;	Vous ne tarderez pas à le voir;
je vais vous l’amener dans le moment même.	Je vais vous l'amener dans le moment même.
COLETTE.	COLETTE.
Et moi, je vais l’attendre avec impatience.	Et moi, je vais l'attendre avec impatience.
CHARLOT.	CHARLOT.
Hom, la maſque!	Hom, la masque!
SCENE XII.	SCÈNE XII.
COLETTE, CHARLOT.	COLETTE, CHARLOT.
COLETTE.	COLETTE.
Dieu, Charlot, ne te chagrine point;	Dieu, Charlot, ne te chagrine point;
le A Lt’aimes toujours un peu.	le À Lt-aimes toujours un peu.
Va, tiens, baiſe ma main.	Va, tiens, baise ma main.
CIMREGI.	CIMREGI.
.	.
Non, morgué, je n’en ferai rian, je cracherois plutôt deſſus.	Non, morgué, je n'en ferai rian, je crêcherais plutôt dessus.
Fy, pouas, la perfide, la vilaine.	Fi, pouas, la perfide, la vilaine.
COLETTE.	COLETTE.
Tu fais le mauvais, tant pis pour toi, je ne m’en ſoucie guéres.	Tu fais le mauvais, tant pis pour toi, je ne m'en soucie guère.
SCENE XIII.	SCÈNE XIII.
CHARLOT ſeul.	CHARLOT seul.
Es carognes de filles!	Es carognes de filles!
être déja traîtreſſes, à Ccet âge-là!	être déjà traîtresses, à Ccet âge-là!
Ça.	Ça.
ne s’apprend point, ça leur viant tout ſeul.	ne s'apprend point, ça leur viant tout seul.
Tians, baiſe ma main, le biau régal!	Tians, baise ma main, le biau régal!
C’eſt Madame Julianne qui ſait ce mariage	C'est Madame Julianne qui sait ce mariage
ACENT XIV.	ACENT XIV.
M AGATHE, CHARLOT.	M AGATHE, CHARLOT.
MAGATHE.	MAGATHÉ.
E!	E!
ou vas-tu Il vlue, Charlot?	ou vas-tu Il veulue, Charlot?
attens, atAt ail tens;	attends, atAt ail tens;
j’ai quelque choſe à te dire.	j'ai quelque chose à te dire.
M A n Ee E.	M À n Ee E.
Dépêchez-vous donc;	Dépêchez-vous donc;
car j’ai queuque choſe à ſaire, moi.	car j'ai queuque chose à zaïre, moi.
M AGATHE.	M AGATHE.
Golette va être mariée avee un Monſieur, ſçaistu bion evld l	Golette va être mariée ave un Monsieur, sçaistu bion évld l'
CHARLOT.	CHARLOT.
minauegummol gu luie puo brenoui, jy boutrons queuque empêchement, ou je ne pourtons.	minavegummol gu luie puo brenoui, ji boutrons queuque empêchement, ou je ne pourtons.
Ma AGATHE.	Ma AGATHE.
Hé!	Hé!
pourquoi cue qu’eſt-ec que ca te fait ?	pourquoi cue qu'est-elle que ca te fait ?
GRARLOT.	GRARLOT.
Comment morgué!	Comment morgué!
qu’eſtece que ça me fait?	qu'estece que ça me fait?
Ne ſeroit-ce point vous qui auriais baillé conſeil à notre maîtreſſe de me jouer ce tour-là?	Ne serait-ce point vous qui auriais baillé conseil à notre maîtresse de me jouer ce tour-là?
M AGATHE.	M AGATHE.
Moi!	Moi!
pur quelle raiſon?	pur quelle raison?
CHARLOT.	CHARLOT.
Morgué, que ſçais-je?	Morgué, que sais-je?
Pour m’avoir peut-être, car vous êtes folle de moi, Madame Agathe.	Pour m'avoir peut-être, car vous êtes folle de moi, Madame Agathe.
Me AGATHE.	Me AGATHE.
Je ſuis folle de toi, tu re le mérites guéres.	Je suis folle de toi, tu re le mérites guère.
CHARLOT.	CHARLOT.
uriait, pazgueme, n n'y a que colette que j’aime mieur que vous, la peſte m’étouſſe!	uriait, pazgueme, n 'y a que collette que j'aime mieur que vous, la peste m'étouffe!
M AGEIME.	M AGEIME.
Hé!	Hé!
pourquoi l’aimos tu mieux que moi, die!	pourquoi l'aimos tu mieux que moi, die!
2 dn la la d d a.	2 dès la la dîn la a.
s.	s.
Pargué, parce qu’alle me plaſt davantage.	Pargué, parce qu'allé me plât davantage.
Que voulez-vuus que pvous diie r	Que voulez-vus que pvous diie r
Me AGATHE.	Me AGATHE.
Elle to plaſt davantan!	Elle to plât davantan!
une pecite coquette!	une pécite coquette!
Ca eſt vrai.	Ça est vrai.
CHARLOT.	CHARLOT.
may al d d Mra Ms.	mais al dès Mra Mra Ms.
Qui te préſere un autre amoureux.	Qui te présere un autre amoureux.
CHARLOT.	CHARLOT.
Vous avez raiſon.	Vous avez raison.
Me AGATHE.	Me AGATHE.
Et cela ne tecorrige point de la paſſlon que tu as pour elle?	Et cela ne tecorrige point de la passon que tu as pour elle?
CHARLOT.	CHARLOT.
Fargué non;	Fargué non;
& je vous préfere biun Golette, moi, ça vous corrige-t-il?	et je vous préfère biun Golette, moi, ça vous corrige-t-il?
Cela le devroit bien faire.	Cela le devrait bien faire.
CHARLOT.	CHARLOT.
7 Oui, mais ça ne le fait pas, & pourquoi velezvous que je ne ſois pas auſſi mal-aiſé à corriger que vous, Madame Agathe?	7 Oui, mais ça ne le fait pas, et pourquoi velezvous que je ne sois pas aussi malaisé à corriger que vous, Madame Agathe?
Me AGATHE.	Me AGATHE.
Mais promets-moi donc que tu m’épouſeras, ſi tu ne peux empêcher le mariage de Colette.	Mais promets-moi donc que tu m'épouseras, si tu ne peux empêcher le mariage de Collette.
CHARLOT.	CHARLOT.
Oh!	Oh!
pour ce qui eſt d’en cas de ça, je le veux bian.	pour ce qui est d'en cas de ça, je le veux bian.
Si Colette m’échappe, je me baille à vous par déſeſpoir, vela qui eſt fini.	Si Colette m'échappe, je me baille à vous par désespoir, vêla qui est fini.
Me HGAPIIE.	Me HGAPIE.
Par déſeſpoir!	Par désespoir!
je ne te devrois qu’à ton déſeſpoir?	je ne te devrais qu'à ton désespoir?
CHARLOT.	CHARLOT.
Tatigué qu’importe à qui!	Tatigué qu'importe à qui!
Vous ne velez que m’avoir une fois, vous m’aurais, & je vous baillerat la preierence lur Mauanie oullaine qui me marchande itou.	Vous ne vêlez que m'avoir une fois, vous m'aurais, et je vous baillerat la preierence lur Mavanie oullaine qui me marchande itou.
Me.	Me.
AGATHE.	AGATHE.
La commêre Julienne eſt amoureuſe de toi!	La commère Julienne est amoureuse de toi!
CHARLOTR Oui, alle me mitonne pour en cas qu’alle ſoit veuve:	CHARLOTR Oui, allé me mitonne pour en cas qu'allé soit veuve:
mais queuque ſot, je ne m’y frote pas.	mais queuque sot, je ne m'y frotte pas.
Drès que je ſerions mariés alle en mitonneroit peut-être queuque autre pour être veuve de moi.	Drès que je serions mariés allé en mitonnerait peut-être queuque autre pour être veuve de moi.
Je n’aime	Je n'aime
morgue point ces pre voyeuſes là, Madame Agathe.	morgue point ces pré voyeuses -là, Madame Agathe.
Me AGATHE.	Me AGATHE.
Et tu as bien raiſon.	Et tu as bien raison.
CHARLOT.	CHARLOT.
Patigue y je iy en veux piua qu'a une autre, ſtelle-là, c’eſt elle qui fait le mariage de Colette.	Patigue y je ji en veux piva qu'a une autre, stelle-là, c'est elle qui fait le mariage de Colette.
Me AGATHE.	Me AGATHE.
Toujours Colette.	Toujours Collette.
Cela te tient bien au cœur, petit vilain.	Cela te tient bien au cœur, petit vil.
CHARLOT.	CHARLOT.
J'en ſerois plus d’à demi conſolé ſi alle épouſoit queuque autie que cet louberlau, & que je trouviſſe la magniere de me vanger de Madame Julianne.	J'en serais plus d'à demi consolé si allé épousait queuque autie que cet louberlau, et que je trouvisse la magnière de me venger de Madame Julianne.
Morguenne, aidez-moi à ça, Madame Agatho.	Morguenne, aidez-moi à ça, Madame Agatho.
Me AGATHE.	Me AGATHE.
Très-volontiers, mais comment s’y ptendre?	Très-volontiers, mais comment s'y ptendre?
CHARLOT.	CHARLOT.
Comment morguenne!	Comment morguenne!
Allons demander conſeil à Monſieur le Hailli, c’eſt bian le meilleur homme, le plus honnete, le plus habile homme, pour faire du mal à queuqu’un, dà.	Allons demander conseil à Monsieur le Hailli, c'est bian le meilleur homme, le plus honnête, le plus habile homme, pour faire du mal à qu'un, dà.
Il ſçait morgué ſur le bout du doigt toutes les rubriques de la Juſtice.	Il sait morgué sur le bout du doigt toutes les rubriques de la Justice.
Me AGATHE.	Me AGATHE.
Ca n’eſt pas mal imaginé.	Ça n'est pas mal imaginé.
Allons, viens.	Allons, viens.
CHARLOT.	CHARLOT.
Non, ne bougeons, le vela ly-même tout à point, comme ſi je l’avions mandé.	Non, ne bougeons, le vêla li-même tout à point, comme si je l'avions mandé.
Sarviteur, Monſieu le Bailli.	Sarviteur, Monsieur le Bailli.
SCENE XV.	SCÈNE XV.
Me AGATHE, LEBAILLI, CHARLOT.	Me AGATHE, LEBAILLI, CHARLOT.
LE BAILLI.	LE BAILLI.
D On-jour, Monſieur Charlor, bon-jour;	 On-jour, Monsieur Charlor, bonjour;
Me AGATHE.	Me AGATHE.
Monſieur le Bailli, je ſuis bien votre ſervante.	Monsieur le Bailli, je suis bien votre servante.
LE BAILLI.	LE BAILLI.
votre vaiot;	votre vaiot;
anatame Aigatnd.	anatame Aigatnd.
lag bien, qu’eſte ce, mes onfans ?	la bien, qu'este ce, mes onfants ?
Voilà d’étrangos nouvelles, cette ſcélerate de Julienne fetes	Voilà d'étrangos nouvelles, cette scélerate de Julienne fètes
DAARROT 4 3 li.	DARROT 4 3 li.
muu Morgué, bou ell onfourne blan, Faurons be ne iſſué.	mu Morgué, bou ell onfourne blan, Faurons b ne issué.
Vous ſçavez déla ça, Monſieu ls mill	Vous savez déla ça, Monsieu ls mill
d M's al s Md i Il y a plus de quinzé jours que je le ſoupçonne;	 D's al séd y y Il y a plus de quinzé jours que je le soupçonne;
mais je n’al point voulu faire d'éclat que je n’en eulle quelqueicertitude.	mais je n'al point voulu faire d'éclat que je n'en eulle quelqueicertitude.
.	.
v	v
* CHARLOT.	* CHARLOT.
Oh!	Oh!
parguenne, n’y a point à en douter à préſent, c’eſt une affaire sûre.	parguenne, n'y a point à en douter à présent, c'est une affaire sure.
Me AGATHE.	Me AGATHE.
On ne parle d’autre choſe cans tout le Village.	On ne parle d'autre chose cans tout le Village.
LE BAILLI.	LE BAILLI.
En ſçavez-vous quelque partieularité, & ne pourriez-vous point ſervir de témoins dans tout ceci, vous autres t’i	En savez-vous quelque partieularité, et ne pourriez-vous point servir de témoins dans tout ceci, vous autres t'y
CHARLOT.	CHARLOT.
Pargué vous en ſarvirez vous-même;	Pargué vous en sarvirez vous-même;
ils allont faire la nôce, & vela leà menêtriers qui allont venit.	ils allont faire la nôce, et vêla leà mentriers qui allont venit.
L I B'i dD Ie Comment des Menêtriers!	 I L'y dD Je Comment des Ménétriers!
la nôce de qui?	la nôce de qui?
Me AGATHE.	Me AGATHE.
La nôce de Colette, que Madame Julianne fait épouſet à ce Monſieur Clitandre.	La nôce de Colette, que Madame Julianne fait épouset à ce Monsieur Clitandre.
LE BAILLI.	LE BAILLI.
Vlaimene;	Vlaimène;
viaitiont, ene prenu bien ſon temps pour faire une nôce.	viaitiont, ene prenu bien son temps pour faire une nôce.
Oh!	Oh!
je troublerai la fetg, lli mlla paroles	je troublerai la fetg, li mlla paroles
CHARLOT.	CHARLOT.
Et vous foréz fort bian, Monſieur le Bailli.	Et vous foréz fort bian, Monsieur le Bailli.
LE BAILLI.	LE BAILLI.
e ma mauſauemn?	 Je mausavemn?
CHARLOT.	CHARLOT.
Acoutez, c’eſt une méchante ſemme.	Acoutez, c'est une méchante semme.
Eſt-ce que vous ſçauriais queuqu’une de ſes petites fredaines.	Est-ce que vous sauriais queuqu'une de ses petites fredaines.
LE BAILLI.	LE BAILLI.
Oui de ſes petites fredaines, une bagatelle;	Oui de ses petites fredaines, une bagatelle;
elle a fait noyer ſon mari ſeulement.	elle a fait noyer son mari seulement.
CHARLOT.	CHARLOT.
Alle a fait noyer Monſieur Julian!	Alle a fait noyer Monsieur Julian!
Vela pourquor diione Mitomlolt, voyeastons.	Vela pourquor diione Mitomlolt, voieastons.
Me AGATHE.	Me AGATHE.
Ca ne ſe peut pas, Monſieur le Bailli, je viens de le voir.	Ca ne se peut pas, Monsieur le Bailli, je viens de le voir.
LE BAILLI.	LE BAILLI.
Vous avez rêvé cela, Madame Agathe, il y a pius d’un mon qu’ireit deſunt, je le ſçal de bonne part.	Vous avez rêvé cela, Madame Agathe, il y a pius d'un mon qu'ireit désunt, je le savez de bonne part.
M AGATHE.	M AGATHE.
Il n’y a qu’un quart-d’heure que j’ai quitté Monſieur Julien, vous dis-je.	Il n'y a qu'un quart-d'heure que j'ai quitté Monsieur Julien, vous dis-je.
a a l dl sa u.	a a l dl sa u.
Oui, un faux Monſieur Julien qu’elle aura attitté pour faire prendre le change.	Oui, un faux Monsieur Julien qu'elle aura attitté pour faire prendre le change.
Me AGATHE.	Me AGATHE.
Oh!	Oh!
point du tout, c’eſt le véritable, elle l’a reęu comme un vrai mari, je l'ai aidée à le battre, moi, Monſieur le Bailli, puiſqu’il faut vous le dire.	point du tout, c'est le véritable, elle l'a revoir comme un vrai mari, je l'ai aidée à le battre, moi, Monsieur le Bailli, puisqu'il faut vous le dire.
1 D d.	1 D d.
l ladd.	l lad.
Bagatelle, je ne donne point là-dedans;	Bagatelle, je ne donne point là-dedans;
& noue avons, le Procureur Fiſcal & moi, commencé une procédure que nous ſoutiendrons vigoureuſement	et noue avons, le Procureur Fiscal et moi, commencé une procédure que nous soutiendrons vigoureusement
CHARLOT.	CHARLOT.
Je vous le diſois bian, Madame Agathe, c’eſt un bian honnête homme, un bian habile homme que notre Monſieur le Bailli.	Je vous le disais bian, Madame Agathe, c'est un bian honnête homme, un bian habile homme que notre Monsieur le Bailli.
Me AGATHE.	Me AGATHE.
Mais le compere Julien n’eſt point défunt, ce lont des contes.	Mais le compère Julien n'est point défunt, ce lont des contes.
CHARLOT.	CHARLOT.
Je crois pargué bian que ſi, moi, & s'il ne l'étoit pas, il faudroit qu’il le devenit, puiſque Monſieu le Bailli le dit.	Je crois pargué bian que si, moi, et s'il ne l'était pas, il faudrait qu'il le devenit, puisque Monsieu le Bailli le dit.
Eſt-ce que la Juſtice eſt une menteuſe, Madame Agathe!	Est-ce que la Justice est une menteuse, Madame Agathe!
LE BAILLI.	LE BAILLI.
Monſieur Charlot prend fort bien la choſe, & il n’eſt pas qu’il n’ait quelque connoiſſance du fait.	Monsieur Charlot prend fort bien la chose, et il n'est pas qu'il n'ait quelque connaissance du fait.
CHARLOT.	CHARLOT.
Moi, Monſiéur le Bailli	Moi, Monsieur le Bailli
LEBAIELI.	LEBAIELI.
Oui vous:	Oui vous:
votre témoignage ſera d’un grand poids dans cette affairo-ci.	votre témoignage sera d'un grand poids dans cette affairo-cy.
CHARLOT.	CHARLOT.
Mon témoignage ſera de poids?	Mon témoignage sera de poids?
LE BAILLI.	LE BAILLI.
Sans doute.	Sans doute.
OIIRLOI.	ÔIIRLOI.
Pargué bon, tant mieux, vela de quol me vanger de Madame Julianne.	Pargué bon, tant mieux, vêla de quol me venger de Madame Julianne.
Ca voyons, qu’eſt-ce qu’il faut que je témoigne, Monſieur le Bailli?	Ça voyons, qu'est-ce qu'il faut que je témoigne, Monsieur le Bailli?
L'E BAILLI.	L'E BAILLI.
Ce que vous ſçavez, on ne vous demande pas autre choſe.	Ce que vous savez, on ne vous demande pas autre chose.
CHARLOT.	CHARLOT.
Morgué je ne ſçairian, mais toutcoup vaille, Si	Morgué je ne sçairian, mais toutcoup vaille, Si
I LE MARIRE OUME.	I LE MARIRE OUME.
vous veulez que je nous aimions, il faut dire commo mory Mma dante lapjuend.	vous veulez que je nous aimions, il faut dire commo mory Mma dante lapjuend.
Me AGATHE.	Me AGATHE.
Je dirai la verſte.	Je dirai la verste.
CHARLOT.	CHARLOT.
Et moi itou;	Et moi itou;
mais aidez-nous à la dire, Monſieu le Bailll;	mais aidez-nous à la dire, Monsieu le Bailll;
ear ce que je ſçavons, nous, vous quasjanen touentauomaqen poue eus mieux que nous, par avanture.	éar ce que je savons, nous, vous quasjanen touentauomacen poue eus mieux que nous, par aventure.
LEBAILLI.	LEBAILLI.
Mais le Meûnier & la Meûniere vivoient en très.	Mais le Meûnier et la Meûniere vivaient en très.
mauvaiſe intelligence, premférement.	mauvaise intelligence, premférement.
CHARLOT.	CHARLOT.
Ohi pour itna oui, tous les jours ils ſe battiont ou ils ſe querelliont très-réguliérement à une darcaiſle heule, je lis temoin de çae	Ohi pour itna oui, tous les jours ils se battiont ou ils se querelliont très-réguliérement à une darcaisle heule, je lis témoin de çae
Me AGATHE.	Me AGATHE.
Et moi auſſi, Monſieur le Bailli.	Et moi aussi, Monsieur le Bailli.
LE BAILEI.	LE BAILEY.
Bon!	Bon!
le reſte eſt une ſuite de cela, mes enfans.	le reste est une suite de cela, mes enfants.
Le pauvre Ialien s’enyvroit quelquefois	Le pauvre Jalien s'enivrait quelquefois
SMAREOT.	SMAREOT.
3x Quelquefois;	3x Quelquefois;
pargué tres-ſouvent;	pargué très-souvent;
il étoit coûtumier de ça quaſiment autant que vous, Monſieu le Bailli!	il était coutumier de ça quasiment autant que vous, Monsieu le Bailli!
LE BAILLI.	LE BAILLI.
Voilà le fait;	Voilà le fait;
la femme aura pris le temps de l'yveſſo du mari, pour exeeuter ſon mauvais deſſein.	la femme aura pris le temps de l'yvesso du mari, pour exeeuter son mauvais dessein.
CHARLOT.	CHARLOT.
CNARLOF.	CNARLOF.
Vuſtement, il avoit trop bu de vin, alle l'y aura voulu faire boire de l’iau, il n’y a rien de plus naturel, ça parle tout ſeul.	Vitement, il avait trop bu de vin, allé l'y aura voulu faire boire de l'iau, il n'y a rien de plus naturel, ça parle tout seul.
Me AGATHE.	Me AGATHE.
Si ça eſt çã eſt comme ca, Monſieu le Bailli!	Si ça est çã est comme ca, Monsieu le Bailli!
LE FAILLI.	LE FAILLI.
Oui, on T'a jette dans larſviere, & Il ne ſe trouve point;	Oui, on T'a jette dans larsvière, et Il ne se trouve point;
voilà ce mri eſt d’embatraffant.	voilà ce mri est d'embatraffant.
CHARLOT.	CHARLOT.
On l'y a mis une piarre au cou.	On l'y a mis une piarre au cou.
Eſtece une chono mamo quala paure muamcomun groe tas cout proçhe du Moulin, où il m'eſt avis qu’il en manque quouqu’une.	Estece une chono mamo quala paure muamcomun groe tas coût proçhe du Moulin, où il m'est avis qu'il en manque quouqu'une.
LE AXLLEL Oui, il en manque quelqu'une?	LE AXLEL Oui, il en manque quelqu'une?
voila un bon indice;	voilà un bon indice;
mais elle n’aura pas fait cela toute ſeule:	mais elle n'aura pas fait cela toute seule:
GHAREOT.	GHAREOT.
Non volrertent, il faut ly bailler de, camarades Tier paigue;	Non volrertent, il faut li bailler de, camarades Tier paigue;
cet amouieux de Colette & ſon valer, Monfieur de, Lepine.	cet amouieux de Colette et son valer, Monfieur de, Lepine.
Le défunt né vouloit pas qu’il epousie ſa maue.	Le défunt né voulait pas qu'il épousie sa mave.
C’eſteux qui avont faſt ce coup, Monſieu ſe Bailli.	C'esteux qui avont fât ce coup, Monsieu se Bailli.
LE FATLLI.	LE FATLI.
Vous eroyez qu, Monſieur Charlot!	Vous irez qu, Monsieur Charlot!
CHARLOT.	CHARLOT.
Si je le croisi je l'y en veux morgué trop pour ne me pascioire, & vouie ſertoyez itou, vous, jegage;	Si je le croisy je l'y en veux morgué trop pour ne me pascioire, et vou sertoyez itou, vous, jegage;
C'eſt notre rival, Monſieur le Bailli, j'en jurerois, moi, en cas de beſoin;	C'est notre rival, Monsieur le Bailli, j'en jurerais, moi, en cas de besoin;
ça ſuffira-t-il pour le Malle pende l	ça suffira-t-il pour le Malle pende l
LE BAILLI.	LE BAILLI.
Voila une oruelle affaire pour ces gens-la!	Voilà une orvelle affaire pour ces gens-la!
CHARLOT.	CHARLOT.
J’allons, pargué, leur tailler de la beſogne.	J'allons, pargué, leur tailler de la besogne.
LE BAILLI.	LE BAILLI.
Je les forai arrêter ſur votre dépoſition, & je vais tout de ce pas faite chercher le Greflier pour la venir recevoir.	Je les forai arrêter sur votre déposition, et je vais tout de ce pas faite chercher le Greflier pour la venir recevoir.
1	1
CHARLOT.	CHARLOT.
Qu'il écrive ce qu’il voudra, je ſommes témoina de tout, ne vous boutez pas on peine.	Qu'il écrive ce qu'il voudra, je sommes témoina de tout, ne vous boutez pas on peine.
Pargué, je nous en allons bian rire.	Pargué, je nous en allons bian rire.
SCENE XVI.	SCÈNE XVI.
1 Vreuudaugn duhapme.	1 Vreuudaugn duhapme.
Me AGATHE.	Me AGATHE.
Ais ſçaisetu bien que tu fais-le une fort méchante action, mon pauvre Charlot?	Ais sçaisetu bien que tu fais-le une fort méchante action, mon pauvre Charlot?
SIAN l U.	SIAN l' V.
I.	I.
Bon'l queu conto!	Bon'l queu conto!
ce n’eſt pas par méchanceté, ce n’eſt que pour troubler la nôce, & faire enrager Madame Julianne.	ce n'est pas par méchanceté, ce n'est que pour troubler la nôce, et faire enrager Madame Julianne.
Me AGATHE.	Me AGATHE.
Ce no ſont pas-là des bagatelles s il y a lì de quol la ruiner tout au moine, & cela pourroit aller plue Aom memd.	Ce nô sont pas-là des bagatelles s il y a l ' abol la ruiner tout au moine, et cela pourrait aller plue Aom mémd.
CHARLOT.	CHARLOT.
Dh!	Dh!
que point, point, Madame Agathe, je nous dédirons quand on ſera prêt de la pendre.	que point, point, Madame Agathe, je nous dédirons quand on sera prêt de la pendre.
La voici:	La voici:
ſi vous m’aimez, laiſſez-moi faire, ou ſans ca la paille eſt rompué,	si vous m'aimez, laissez-moi faire, ou sans ca la paille est rompué,
SCENELL II.	SCENELL II.
JOLIENVNVE, Me MOMIIE.	JOLIENUNE, M OMIE.
JULIENNE.	JULIENNE.
Llons, gai, gai, mes enfans, allégreſſe.	Llons, gai, gai, mes enfants, allégresse.
L Ma commere, Julian eſt redécampé, je ly avons fait peur, & vela nos parens & nos amis qui s’en allont venir aux fiançailles;	 Ma commere, Julian est redécampé, je li avons fait peur, et vêla nos parents et nos amis qui s'en allont venir aux fiançailles;
je ferons notre nôce tout à gogo, ſans rabat-joie.	je ferons notre nôce tout à gogo, sans rabat-joie.
CHARLOE.	CHARLOE.
