Chez BARBIN, au Palais, vis à vis le grand Portail de lu Sainté Chapelle, au ſigne de la Croix.	Chez BARBIN, au Palais, vis -à -vis le grand Portail de lu Sainté Chapelle, au signe de la Croix.
lais puis qu’ouuertement, il tient pour l’iniuſtice, t que des criminels il ſe rend le complice, ois-ie encore eſperer qu’vn Peuple reuolté, uand le Ciel eſt iniuſte écoute l’équité?	lais puis qu'ouvertement, il tient pour l'injustice, t que des criminels il se rend le complice, ois-je encore espérer qu'un Peuple révolté, uand le Ciel est iniuste écoute équité?
ois-ie prendre pour Iuge vne troupe inſolente, ’vn fier vſurpateur miniſtre violente, ui ſert mon ennemy par vn laſche intereſt, qu’il anime encor tout éloigné qu’il eſt?	ois-je prendre pour Juge une troupe insolente, utrier usurpateur ministre violente, ui sert mon ennemi par un lâche intérêt, qu'il anime encor tout éloigné qu'il est?
t raiſon n’agit point ſur vne populace, e ce Peuple deſia, i’ay reſſenty l’audace, 'loin de me reprendre apres m’auoir chaſſé, Ciort vonr virtylan dans vn Princc offenſc.	t raison n'agit point sur une populace, e ce Peuple déjà, j'ai ressenti l'audace, 'loin de me reprendre après m'avoir chassé, Ciort vonr irtylan dans un Princc offensc.
omme ſur luy l’honneur n’euſt iamais de puiſſance;	omme sur notre l'honneur n'eût jamais de puissance;
croit que tout le monde aſpire à la vangeance, ?	croit que tout le monde aspire à la vengeance, ?
ſes inimitiez rien n’arreſte le cours, aand il hait vne fois il veut haïr touſiours.	ses inimitiés rien n'arrête le cours, aand il hait fois il veut haïr toujours.
IOCASTE.	JOCASTE.
ais s’il eſt vray, mon Fils, que ce Peuple vous carigne, Et que tous les Thebains redoutent voſtre regne, Pourquoy par tant de ſang cherchez-vous à regner eu cc Peuple endurcy que rien ne peut gaigner?	Elle s'il est vrai, mon Fils, que ce Peuple vous carigne, Et que tous les Thebains redoutent votre règne, Pourquoi par tant de sang cherchez-vous à régner eu ç Peuple endurci que rien ne peut gagner?
POLINICE.	POLINICE.
Eſt-ce au Peuple, Madame, à ſe choiſir vn Maiſtre?	Est-ce au Peuple, Madame, à se choisir un Maître?
Si-toſt qu’il hait vn Roy doit on ceſſer de l’eſtre?	Si-tôt qu'il hait un Roi doit on cesser de l'être?
Sa haine ou ſon amour ſont-ce les premiers droits, Qui font monter au Troſne ou deſcendre les Rois?	Sa haine ou son amour sont-ce les premiers droits, Qui font monter au Trône ou descendre les Rois?
Que le Peuple à ſon gré nous craigne ou nous cheriſſe, Le ſang nous met au Troſne, & non pas ſon caprice Ce que le ſang luy donne il le doit accepter, Et s’il n’aime ſon Prince il le doit reſpecter,	Que le Peuple à son gré nous craigne ou nous chérisse, Le sang nous met au Trône, et non pas son caprice Ce que le sang avait donne il le doit accepter, Et s'il n'aime son Prince il le doit respecter,
IOCASTE.	JOCASTE.
Vous ſerez vn Tyran haï de vos Prouinces.	Vous serez un Tyran haï de vos Provinces.
POLINICE.	POLINICE.
Ce nom ne conuient pas aux legitimes Princes, De ce titre odieux mes droits me ſont garands, La haine des Sujets ne fait pas les Tyrans.	Ce nom ne convient pas aux légitimes Princes, De ce titre odieux mes droits me sont garants, La haine des Sujets ne fait pas les Tyrans.
Appellez de ce nom Eteocle luy-meſme.	Appelez de ce nom Éteocle Seigneur-même.
Il eſt aimé de tous.	Il est aimé de tous.
IOCASTE.	JOCASTE.
POLINICE.	POLINICE.
C’eſt vn tyran qu’on aim Qui par cent laſchetez taſche à ſe maintenir, Au rang ou par la force il a ſceu paruenir, Et ſon orgueil le rend par vn effet contraire, Eſclaue de ſon Peuple, & Tyran de ſon Frere, Pour commander tout ſeul il veut bien obeïr, Eticlalt mcpiiſer pour me raire nair.	C'est un tyran qu'on aim Qui par cent lâchetés tâche à se maintenir, Au rang ou par la force il a su parvenir, Et son orgueil le rend par un effet contraire, Esclave de son Peuple, et Tyran de son Frère, Pour commander tout seul il veut bien obéir, Eticlalt mcpiiser pour me raire nair.
Ce n’eſt pas ſans ſujet qu’on me préfere vn traiſtre, Le Peuple aime vn Eſclaue, & craint d’auoir vn Maiſt Mais ie croirois trahir la Maieſté des Roys, Si ie faiſois le Peuple arbitre de mes droits.	Ce n'est pas sans sujet qu'on me préfère un traître, Le Peuple aime aime Esclave, et craint d'avoir un Mais Mais tu croirais trahir la Majesté des Rois, Si jour faisais le Peuple arbitre de mes droits.
IOCASTE.	JOCASTE.
Ainſi donc la diſcorde a pour vous tant de charmes?	Ainsi donc la discorde a pour vous tant de charmes?
ous laſſez vous déja d’auoir poſé les armes?	ous lassez vous déjà d'avoir posé les armes?
e ceſſerons nous point, apres tant de mal-heurs, ous de verſer du ſang, moy de verſer des pleurs?	eu cesserons nous point, après tant de malheurs, ous de verser du sang, moi de verser des pleurs?
’accorderez-vous rien aux larmes d’vne Mere?	accorderez-vous rien aux larmes d'une Mère?
Ia Fille, s’il ſe peut retenez voſtre Frere, e cruel pour vous ſeule auoit de l’amitié.	Ia Fille, s'il se peut retenez votre Frère, eu cruel pour vous seule avait de l'amitié.
ANTIGONE.	ANTIGONE.
h!	h!
ſi pour vous ſon ame eſt ſourde à la pitié, ue pourrois-je eſperer d’vne amitié paſſée, qu’vn long éloignement n’a que trop effacée?	si pour vous son âme est sourde à la pitié, éloigne pourrais-je espérer d'une amitié passée, qu'un long éloignement n'a que trop effacée?
peine en ſa memoire ay-je encor quelque rang, t ſon cœur n’aime plus qu’à reſpandre du ſang.	peine en sa mémoire ai-je encor quelque rang, t son cœur n'aime plus qu'à répandre du sang.
le cherchez plus en luy ce Prince magnanime, e Prince qui montroit tant d’horreur pour le crime, ont l’ame genereuſe auoit tant de douceur lui reſpectoit ſa Mere & cheriſſoit ſa ſœur.	le cherchez plus en lui ce Prince magnanime, e Prince qui montrait tant d'horreur pour le crime, ont l'âme généreuse avait tant de douceur lui respectait sa Mère et chérissait sa sœur.
a nature pour luy n’eſt plus qu’vne chimere, l méconnoiſt ſa Sœur, il meſpriſe ſa Mere, lt l’ingrat en l’eſtat où ſon orgüeil l’a mis, reuienit;	à nature pour lui n'est plus qu'une chimère, l méconnoist sa Sœur, il méprise sa Mère, l 'ingrat en l'état où son orgueil l'a mis, revienit;
illais ſelas:	illais selas:
c eſt pour nortie ſupplice, ue ne vois point mon Frere, en voyant Polinice;	ç est pour nortie supplice, ue ne vois point mon Frère, en voyant Polinice;
n vain il ſe preſente à mes yeux éperdus, e ne le connois point, il ne me connoiſt plus.	n vain il se présente à mes yeux éperdus, ne le connais point, il ne me connaît plus.
POLINICE.	POLINICE.
J’imputez point ce crime à mon ame affligée, Dites pluſtoſt, ma Sœur, que vous eſtes changée;	J'imputez point ce crime à mon âme affligée, Dites plutôt, ma Sœur, que vous êtes changée;
Dites que de mon rang le laſche vſurpateur, Mſ'a ſceû rauir encor l’amitié de ma Sœur.	Dites que de mon rang le lâche usurpateur, Ms'a su ravir encor l'amitié de ma Sœur.
De voſtre changement ce traiſtre eſt le complice, Parce qu’il me deteſte, il veut qu’on me haïſſe, Auſſi ſans imiter voſtre exemple aujourd’huy, Voſtre haine ne fait que m’aigrir contre luy.	De votre changement ce traître est le complice, Parce qu'il me déteste, il veut qu'on me haïsse, Aussi sans imiter votre exemple aujourd'hui, Votre haine ne fait que m'aigrir contrefois.
e vous connois touſiours & ſuis touſiours le meſme.	Je vous connais toujours et suis toujours le même.
26 ANTIGONE.	26 ANTIGONE.
Eſt-ce m’aimer, cruel, autant que ie vous aime, Que d’eſtre inexorable à mes triſtes ſouſpirs, Et m’expoſer encore à tant de déplaiſirs?	Est-ce m'aimer, cruel, autant que je vous aime, Que d'être inexorable à mes tristes soupirs, Et m'exposer encore à tant de déplaisirs?
POLINICE.	POLINICE.
Mais vous-meſme, ma Sœur, eſt-ce aimer voſtre F Que de luy faire enfin cette injuſte priere, Et me vouloir rauir le Sceptre de la main?	Mais vous-même, ma Sœur, est-ce aimer votre F Que de lui faire enfin cette injuste prière, Et me vouloir ravir le Sceptre de la main?
Dieux!	Dieux!
qu’eſt-ce qu’Eteocle à de plus fhidmain?	qu'est-ce qu'Éteocle à de plus fidmain?
C’eſt trop fauoriſer vn tyran qui m’outrage.	C'est trop favoriser un tyran qui m'outrage.
ANTIGONE.	ANTIGONE.
Non non vos intereſts me touchent d’auanta ge, Ne croyez pas mes pleurs perfides à ce point, Auec vos Ennemis ils ne conſpirent point.	Non non vos intérêts me touchent d'avant ge, Ne croyez pas mes pleurs perfides à ce point, Avec vos Ennemis ils ne conspirent point.
Cette Paix, que ie veux, me ſeroit vn ſupplice, S’il en deuoit couſter le Sceptre à Polinice, Et l’vnique faueur, mon Frere, ou ie prétens, C’eſt qu’il me ſoit permis de vous voir plus long-ten Seulement quelques jours ſouffrez que l’on vous voye.	Cette Paix, que ainsi veux, me serait un supplice, S'il en devait coûter le Sceptre à Polinice, Et l'unique faveur, mon Frère, ou ainsi prétends, C'est qu'il me soit permis de vous voir plus long-ten Seulement quelques jours souffrez que l'on vous voie.
Et donnez-nous le temps de chercher quelque voye Qui puſſe vous femſettre au rang de vos ayeux, Sans que vous reſpandiez vn ſang ſi precieux.	Et donnez-nous le temps de chercher quelque voie Qui pusse vous femsettre au rang de vos aïeux, Sans que vous répandiez un sang si précieux.
Pouuez-vous refuſer cette grace legere, Aux larmes d’vne Sœur, aux ſouſpirs d’vne Mere?	Pouvez-vous refuser cette grâce légère, Aux larmes d'une Sœur, aux soupirs d'une Mère?
IOCASTE.	JOCASTE.
Mais quelle crainte encor vous peut inquieter, rou quoy ii promptemene voulez-vous nous quittel Ce jour-cy tout entier n’eſt-il pas de la tréue, Dés qu’elle a commencé faut-il qu’elle s’acheue?	Mais quelle crainte encor vous peut inquiéter, rou qu' achy promptemène voulez-vous nous quittel Ce jour-cy tout entier n'est-il pas de la trêve, Dès qu'elle a commencé faut-il qu'elle s'achève?
Vous voyez qu’Etéocle à mis les armes bas, Il veut que ie vous voye, & vous ne voulez-pas.	Vous voyez qu'Etéocle à mis les armes bas, Il veut que je vous voie, et vous ne voulez-pas.
ANTIGONE.	ANTIGONE.
Oüy, mon Frere, il n’eſt pas comme vous inflexible Aux larmes de ſa Mere il a paru ſenſible, Nos pleurs ont deſarmé ſa colere aujourd’huy,	Oui, mon Frère, il n'est pas comme vous inflexible Aux larmes de sa Mère il a paru sensible, Nos pleurs ont désarmé sa colère aujourd'hui,
HEMON.	HÉMON.
igneur, rien ne vous preſſe, & vous pouuez ſans peine, iſſer agir encor la Princeſſe & la Reine, cordez-tout ce jour à leur preſſant deſir, yons ſi leur deſſein ne poura reuſſir, donnez-pas la joye au Prince voſtre Frere, dire que ſans vous la Paix ſe pouuoit faire, us aurez ſatisfait vne Mere, vne Sœur, vous aurez lur tout larisrait voſtre honneur.	Ôigneur, rien ne vous presse, et vous pouvez sans peine, isser agir encor la Princesse et la Reine, cordez-tout ce jour à leur pressant désir, ions si leur dessein ne pourra réussir, donnez-pas la joie au Prince votre Frère, dire que sans vous la Paix se pouvait faire, us aurez satisfait Mere, Sœur, vous aurez tout larisrait vôtre honneur.
ais que veut ce Soldat?	ais que veut ce Soldat?
ſon ame eſt toute émeüe.	son âme est toute émue.
SCENE V.	SCÈNE V.
IOCASTE, POLINICE, ANTIGONE, HEMON, VN SOLDAT Grec.	JOCASTE, POLINICE, ANTIGONE, HEMON, V SOLDAT Grec.
VN SOLDAT Grec.	UN SOLDAT Grec.
Eigneur on eſt aux mains, & la tréue eſt rompuë, neies Ihebais condunts par Créon, & leur Roy, taquent voſtre Armée & violent leur foy, :	Eigneur on est aux mains, et la trêve est rompue, neies Jhebais condunts par Créon, et leur Roi, taquent votre Armée et violent leur foi, :
braue Hippomedon s'efforce en voſtre abſence, e ſouſtenir leur choc de toute ſa puiſſance, ir ſon ordre, Seigneur, ie vous viens auertir.	brave Hippomedon s'efforce en votre absence, e soustenir leur choc de toute sa puissance, ir son ordre, Seigneur, ie vous viens avertir.
POLINICE.	POLINICE.
h les traiſtres!	h les traîtres!
Allons, Hemon, il faut ſortir, à la Reyne, adame vous voyez comme il tient ſa parole, C ij nhuioi teut le comoue, iliil aetuque, & j’y vole.	Allons, Hémon, il faut sortir, à la Reine, adme vous voyez comme il tient sa parole, Ç ajour nhui tut le comoue, il aétuque, et j'y vole.
IOCASTE.	JOCASTE.
Polinice, Mon Fils.	Polinice, Mon Fils.
Mais il ne m'entend plus Auſſi bien que mes pleurs mes cris ſont ſuperflus Chere Antigone allez, courez à ce Barbare, Du moins allez prier Hemon qu’il les ſepare, Le courage me mamquey de jeny paiucourir, Tout ce que je puis faire, helas!	Mais il ne m'entend plus Aussi bien que mes pleurs mes cris sont superflus Chère Antigone allez, courez à ce Barbare, Du moins allez prier Hémon qu'il les sépare, Le courage me mamquei de jeni paivcourir, Tout ce que je puis faire, hélas!
c’eſt de mourir.	c'est de mourir.
Tin un jetend Acte.	Tin un jetend Acte.
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
IOCASTE, OLYMPE.	JOCASTE, OLYMPE.
IOCASTE.	JOCASTE.
Lympe, va t’en voir ce funeſte ſpectacle, UVa voir ſi leur fureur n’a point trouué d’obſtacle, Si rien n’a pû toucher l’vn ou l’autre party, On dit qu’à ce deſſein Ménecée eſt ſorty.	Lympe, va -t-en voir ce funeste spectacle, UVa voir si leur fureur n'a point trouvé d'obstacle, Si rien n'a pu toucher l'Un ou l'autre parti, On dit qu'à ce dessein Ménecée est sorti.
OLIMPE.	OLYMPE.
Ie ne ſçay quel deſſein animoit ſon courage, Vne heroyque ardeur brilloit ſur ſon viſage, Mais vous deuez, Madame, eſperer juſqu’au bout.	Je ne sais quel dessein animait son courage, Une héroïque ardeur brillait sur son visage, Mais vous devez, Madame, espérer jusqu'au bout.
d e llo Li Va tout voir, chere Olympe, & me viens dire tout.	d e llo Li Va tout voir, chère Olympe, et me viens dire tout.
Eſclaircy promptement ma triſte inquietude.	Esclaircy promptement ma triste inquiétude.
OLYMPE.	OLYMPE.
Mais vous dois-je laiſſer en cette ſolitude?	Mais vous dois-je laisser en cette solitude?
IOCASTE.	JOCASTE.
Va, je veux eſtre ſeule en l'eſtat où ie ſuis, Si pourtant on peut l’eſtre auecque tant d’ennuis.	Va, je veux être seule en l'état où tu suis, Si pourtant on peut l'être auecque tant d'ennuis.
d e n adu d da	d eu n avu d a
TOCASTE ſeule.	TOCASTE seule.
Vreront-ils touſiours ces ennuis ſi funeſtes?	Vreront-ils toujours ces ennuis si funestes?
U N'epuiſeront-ils point les vangeances celeſtess Me feront-ils ſouffrir tant de cruels trépas, Sans jamais au tombeau précipiter mes pas?	V N'épuiseront-ils point les vengeances celestess Me feront-ils souffrir tant de cruels trépas, Sans jamais au tombeau précipiter mes pas?
O Ciel!	Ô Ciel!
que tes rigueurs ſeroient peu redoutables, Si la foudre d’abord accabloit les coupables, Et que tes chaſtimens paroiſſent infinis, Quand tu laiſſes la vie à ceux que tu punis!	que tes rigueurs seraient peu redoutables, Si la foudre d'abord accablait les coupables, Et que tes châtiments paraissent infinis, Quand tu laisses la vie à ceux que tu punis!
Tu ne l’ignores pas, depuis le iour infame, Ou de mon propre Fils je me trouuay la Femme, Le moindre des tourmens que mon cœur a ſoufferts, Egale tous les maux que l’on ſouffre aux Enfers.	Tu ne l'ignores pas, depuis le jour infâme, Ou de mon propre Fils je me trouvai la Femme, Le moindre des tourments que mon cœur a soufferts, Égale tous les maux que l'on souffre aux Enfers.
Et toutesfois, ô Dieux, vn crime inuolontaire, Deuoit-il attirer toute voſtre colere?	Et toutefois, ô Dieux, un crime involontaire, Deuait-il attirer toute votre colère?
Le connoiſſois-je, helas!	Le connaissais-je, hélas!
ce Fils infortuné, Lors que dedans mes bras vous l’auez amené ?	ce Fils infortuné, Lors que dedans mes bras vous l'avez amené ?
C’eſt vous dont la rigueur m’ouurit ce precipice.	C'est vous dont la rigueur m'ouvrit ce précipice.
Voila de ces grands Dieux la ſuprême iuſtice, Iuſques au bord du crime ils conduiſent nos pas, Ils nous le font commettre, & ne l’excuſeut pas.	Voilà de ces grands Dieux la suprême justice, Jusques au bord du crime ils conduisent nos pas, Ils nous le font commettre, et ne l'excuseut pas.
Prennent-ils donc plaiſir à faire des coupables, Afin d’en faire apres d’illuſtres miſerables, Et ne peuuent-ils point quand ils ſont en couroux, Chercher des criminels à qui le crime eſt doux?	Prennent-ils donc plaisir à faire des coupables, Afin d'en faire après d'illustres misérables, Et ne peuvent-ils point quand ils sont en courroux, Chercher des criminels à qui le crime est doux?
SCENE III.	SCÈNE III.
TOCASTE, ANTTGONE.	TOCASTE, ANTTGONE.
I IOCASTE.	I JOCASTE.
E bien en eſt-ce fait?	E bien en est-ce fait?
L'vn ou l’autre perſide, IVient-il d’executer ſon noble parricide?	L'un ou l'autre perside, IVient-il d'exécuter son noble parricide?
D’vn triomphe ſi beau vient-il de s’honorer?	D'un triomphe si beau vient-il de s'honorer?
Qui des deux dois-ie plaindre, & qui dois-ie abhorer?	Qui des deux dois-je plaindre, et qui dois-je abhorer?
Ou mont-na pomeious deux en mouranciur la place, Confirmé par leur ſang la celeſte menace?	Ou mont-na pomeious deux en mouranciur la place, Confirmé par leur sang la céleste menace?
Parlez, parlez, ma fille?	Parlez, parlez, ma fille?
ANTIGONE.	ANTIGONE.
Ah!	Ah!
Madame, en effet, L’Oracle eſt accomply, le Ciel eſt ſatisfait.	Madame, en effet, L'Oracle est accompli, le Ciel est satisfait.
IOCASTE.	JOCASTE.
Quoy mes deux Fils ſont morts?	Quoi mes deux Fils sont morts?
ANTIGONE.	ANTIGONE.
Vn autre ſang Madame, Rend la Paix à l’Eſtat & le calme à voſtre ame:	Un autre sang Madame, Rend la Paix à l'État et le calme à votre âme:
Vn ſang digne des Roys dont il eſt découlé Pour l’Eſtat & pour nous s’eſt luy-meſme immolé.	Un sang digne des Rois dont il est découlé Pour l'État et pour nous s'est lui-même immolé.
Ie ſortois pour fléchir Hémon & Polinice, Ils eſtoient dé-ja loin auant que ie fortiſſe, Ie leur crioys d’attendre & d’arreſter leurs pas;	Je sortais pour fléchir Hémon et Polinice, Ils étaient déjà loin avant que ie éclisse, Je leur criais d'attendre et d'arrêter leurs pas;
Mais loin de s’arreſter ils ne m’entendoient pas.	Mais loin de s'arrêter ils ne m'entendaient pas.
Ils ont couru tous deux vers le champ de bataille, Et moy je ſuis montée au haut de la muraille, D’où le Peuple eſtonné regardoit comme moy, L’approche d’vn combat qui le glaçoit d’effroy.	Ils ont couru tous deux vers le champ de bataille, Et moi je suis montée au haut de la muraille, D'où le Peuple étonné regardait comme moi, L'approche d'un combat qui le glaçait d'effroi.
A cet inſtant fatal le dernier de nos Princes, C liij	À cet instant fatal le dernier de nos Princes, Ç liij
L’honneur de noſtre ſang, l’eſpoir de nos Prouinces Ménecée en vn mot digne Frere d Hémon, Et trop indigne auſſi d’eſtre Fils de Créon, De l’amour du Pays monſtrant ſon ame atteinte, Au milieu des deux camps eſt auancé ſans crainte, Et ſe faiſant oüir des Grecs & des Thebains, Arreſtez, a t’il dit, arreſtez inhumains.	L'honneur de notre sang, l'espoir de nos Provinces Ménecée en un mot digne Frère d' Hémon, Et trop indigne aussi d'être Fils de Créon, De l'amour du Pays montrant son âme atteinte, Au milieu des deux camps est auancé sans crainte, Et se faisant ouïrir des Grecs et des Thébains, Arrêtez, a t'il dit, arrêtez inhumains.
Ces mots imperieux n’ont point trouué d’obſtacle, Les Soldats eſtonnez de ce nouueau ſpectacle, De leur noire fureur ont ſuſpendu le cours, Et ce Prince auſſi-toſt pourſuiuant ſon diſcours, Apprennez, a t’il dit, l’arreſt des deſtinées, Par qui vous allez voir vos miſeres bornées, Ie ſuis le dernier ſang de vos Roys deſcendu.	Ces mots impérieux n'ont point trouvé d'obstacle, Les Soldats étonnés de ce nouveau spectacle, De leur noire fureur ont suspendu le cours, Et ce Prince aussitôt poursuivant son discours, Apprennés, a t'ils dit, l'arrêt des destinées, Par qui vous allez voir vos misères bornées, Je suis le dernier sang de vos Rois descendu.
Qui par l’ordre des Dieux doit eſtre répandu, Receuez donc ce ſang que ma main va répandre, Et receuez la Paix où vous n’oſiez prétendre, Il ſe taiſt, & ſe frappe en acheuant ces mots, Et les Thebains voyant expirer ce Heros, Comme ſi leur ſalut deuenoit leur ſupplice, Regardent en tremblant ce noble Sacrifice.	Qui par l'ordre des Dieux doit être répandu, Récevez donc ce sang que ma main va répandre, Et recevez la Paix où vous n'osiez prétendre, Il se taît, et se frappe en achevant ces mots, Et les Thebains voyant expirer ce Héros, Comme si leur salut devenait leur supplice, Regardent en tremblant ce noble Sacrifice.
I’ay veû le triſte Hemon abandonner ſon rang Pour venir embraſſer ce Frere tout en ſang.	J'ai vu le triste Hémon abandonner son rang Pour venir embrasser ce Frère tout en sang.
Creon à ſon exemple a jetté bas les armes, Et vers ce Fils mourant eſt venu tout en larmes, Et l’vn & l’altre camp les vojant retiren, Ont quitté le combat & ſe ſont ſéparez.	Creon à son exemple a jeté bas les armes, Et vers ce Fils mourant est venu tout en larmes, Et l'H et l'altre camp les vojant retiren, Ont quitté le combat et se sont séparés.
Et moy le cœur tremblant, & l’ame toute émuë, D’vn ſi funeſte objet j’ay deſtourné la veuë, De ce Prince admirant l’héroïque fureur.	Et moi le cœur tremblant, et l'âme toute émue, D'un si este objet j'ai détourné la vue, De ce Prince admirant l'héroïque fureur.
IOCASTE.	JOCASTE.
Comme vous ie l’admire, & j’en fremis d’horreur.	Comme vous ie l'admire, et j'en frémis d'horreur.
Eſt-il poſſible, ô Dieux, qu’apres ce grand miracle, Le repos des Thebains trouue encor quelque obſtacle!	Est-il possible, ô Dieux, qu'après ce grand miracle, Le repos des Thebains trouve encor quelque obstacle!
Cet illuſtre trépas ne peut-il vous calmer, Puiſque meſme mes Fils s’en laiſſent deſarmer?	Cet illustre trépas ne peut-il vous calmer, Puisque même mes Fils s'en laissent désarmer?
La refuſerez-vous cette noble Victime?	La refuserez-vous cette noble Victime?
Si la vertu vous touche autant que fait le crime, Si vous donnez les prix comme vous puniſſe, Quels crimes par ce ſang ne ſeront effacez?	Si la vertu vous touche autant que fait le crime, Si vous donnez les prix comme vous punisse, Quels crimes par ce sang ne seront effacez?
ANTIGONE.	ANTIGONE.
Cuy, ouy cette vertu ſera recompenſée, Les Dieux ſont trop payez du ſang de Menecée, Et le ſang d’vn Heros aupres des Immortels, Vaut ſeul plus que celuy de mil criminels.	Cuy, oui cette vertu sera récompensée, Les Dieux sont trop payés du sang de Menecée, Et le sang d'un Héros auprès des Immortels, Vaut seul plus que celui de mille criminels.
Ce ſont eux dont la main ſuſpend la barbarie, De deux Camps animez d’vne égale furie, Et ſi de tant de ſang ils n’eſtoient point laſſez, A leur boüillante rage ils les auroient laiſſez.	Ce sont eux dont la main suspend la barbarie, De deux Camps animés d'une égale furie, Et si de tant de sang ils n'étaient point lassez, À leur boüillante rage ils les auraient laissez.
IOCASTE.	JOCASTE.
Connoiſſez-mieux du Ciel la vangeance fatale Touſiours à ma douleur il met quelque interualle, Mais hela s!	Connaissez-mieux du Ciel la vengeance fatale Toujours à ma douleur il met quelque intervalle, Mais héla s!
quand ſa main ſemble me ſecourir C’eſt alors qu’il s’appreſte à me faire perir.	quand sa main semble me secourir C'est alors qu'il s'apprête à me faire périr.
Il a mis cette nuit quelque tréue à mes larmes, Afin qu’à mon reueil je viſſe tout en armes, S’il me flate auſſi-toſt de quelque eſpoir de Paix, Vn Oracle cruel me l’oſte pour jamais.	Il a mis cette nuit quelque trêve à mes larmes, Afin qu'à mon réveil je visse tout en armes, S'il me flatte aussitôt de quelque espoir de Paix, Un Oracle cruel me l'ôte pour jamais.
Il m’ameine mon Fils, il veut que ie le voye, Mais combien cherement me vend il cette joye!	Il m'amène mon Fils, il veut que personne le voie, Mais combien chèrement me vend il cette joie!
Ce Fils eſt inſenſible, & ne m’écoute pas, Et ſoudain il me r'olte de renigage aux combats.	Ce Fils est insensible, et ne m'écoute pas, Et soudain il me résolte de renigage aux combats.
Ainſi touſiours cruel, & touſiours en colere, m'ieme ue s appaiſer & deuient plus ſeuere.	Ainsi toujours cruel, et toujours en colère, m'ième aise s appaiser et devient plus sévère.
Il n’interromp ſes coups que pour les redoubler, Et retire ſon bras pour me mieux accabler.	Il n'interromp ses coups que pour les redoubler, Et retire son bras pour me mieux accabler.
ANTIGONE.	ANTIGONE.
Madame, eſperons tout de ce dernier miracle.	Madame, espérons tout de ce dernier miracle.
IOCASTE.	JOCASTE.
La haine de mes Fils eſt vn trop grand obſtacle, En vain tous les mortels s’épuiſeroient le flanc, Ils ſe veulent baigner dedans leur propre ſang.	La haine de mes Fils est un trop grand obstacle, En vain tous les mortels s'épuiseraient le flanc, Ils se veulent baigner dedans leur propre sang.
Tous deux voulant regner, il faut que l’vn periſſe, L’vn a pour luy le Peuple, & l’autre la Iuſtice, Polinice endurcy n’écoute que ſes droits, Du Peuple & de Creon l’autre écoute la voix.	Tous deux voulant régner, il faut que l'un périsse, L'un a pour lui le Peuple, et l'autre la Justice, Polinice endurci n'écoute que ses droits, Du Peuple et de Creon l'autre écoute la voix.
Oüy du laſche Creon.	Oui du lâche Creon.
Cette ame intereſſée, Nous oſte tout le fruit du ſang de Ménecée, En vain pour nous ſauuer ce grand Prince ſe perd, Le Pere nous nuit plus que le Fils ne nous ſert.	Cette âme intéressée, Nous ôte tout le fruit du sang de Ménecée, En vain pour nous sauver ce grand Prince se perd, Le Père nous nuit plus que le Fils ne nous sert.
De deux jeunes Heros cét infidele Pere.	De deux jeunes Héros cet infidèle Père.
AIidalans Ah!	AIidalants Ah!
le voicy, Madame, auec le Roy mon Frere.	le voici, Madame, avec le Roi mon Frère.
SCENE IV.	SCÈNE IV.
IOCASTE, ETEOCLE, ANTIGONE, CREON.	JOCASTE, ETEOCLE, ANTIGONE, CREON.
IOCASTE.	JOCASTE.
On Fils, c’eſt donc ainſi que l’on garde ſa foy?	On Fils, c'est donc ainsi que l'on garde sa foi?
M ETEOCLE.	M ETEOCLE.
Madame ce combat n’eſt point venu de moy, Mais de quelques Soldats, tant des Grecs que des no ſtres.	Madame ce combat n'est point venu de moi, Mais de quelques Soldats, tant des Grecs que des nô stres.
Qui s’eſtant querellez les vns auec les autres, Ont inſenſiblement tout le corps ébranlé, Et fait vn grand combat d’vn ſimple démeslé.	Qui s'étant querellez les uns jours les autres, Ont insensiblement tout le corps ébranlé, Et fait un grand combat d'un simple démêlé.
La bataille ſans doute alloit eſtre cruelle, Et ſon éuenement vuidoit noſtre querelle, Quand du Fils de Créon le funeſte trépas, Des Thebains & des Grecs a retenu le bras, Ce Prince le dernier de la race Royale, S’eſt appliqué des Dieux la réponſe fatale, Et luy-meſme à la mort il s’eſt précipité, De l’amour du pays noblement tranſporté,	La bataille sans doute allait avoir cruelle, Et son événement vidait notre querelle, Quand du Fils de Créon le funeste trépas, Des Thébains et des Grecs a retenu le bras, Ce Prince le dernier de la race Royale, S'est appliqué des Dieux la réponse fatale, Et m-même à la mort il s'est précipité, De l'amour du pays noblement transporté,
IOCASTE.	JOCASTE.
Ah!	Ah!
ſi le ſeul amour qu’il eut pour ſa patrie, Le rendit inſenfible aux douceurs de la vie, Mon Fils ce meſme amour ne peut-il ſeulement, De voſtre ambition vaincre l’emportement?	si le seul amour qu'il eut pour sa patrie, Le rendit insensible aux douceurs de la vie, Mon Fils ce même amour ne peut-il seulement, De votre ambition vaincre l'emportement?
Vn exemple ſi beau vous inuite à le ſuiure, Il ne faudra ceſſer de regner ny de viure Vous pouuez en cedant vn peu de voſtre rang, Faire plus qu’il n’a fait en verſant tout ſon ſang.	Un exemple si beau vous inuite à le suivre, Il ne faudra cesser de régner quelque de vivre Vous pouvez en cédant un peu de votre rang, Faire plus qu'il n'a fait en versant tout son sang.
