A GENEROSITE ARESIILNNI TRAGEDIE.	À GÉNÉROSITÉ ARESILNNI TRAGÉDIE.
Mais pluſtoſt d’vne vaine & inſigne arro gance!	Mais plutôt d'une vaine et insigne arro gance!
Ha Seigneur c’en eſt trop, puniſſez, vengez vous, Laſche uio va ingrat les reſnes au courroux, Et ne duiq.	Ha Seigneur c'en est trop, punissez, vengez -vous, Lâche uio va ingrat les rênes au courroux, Et ne duiq.
D l’arreſt de ſon ſupplice.	 D'arrêt de son supplice.
APOLLINAIRE.	APOLLINAIRE.
Puiſque l’aueuglement le traiſne au precipice.	Puisque l'aveuglement le traîne au précipice.
Loing de preſſer ſa perte & lur haſter le pas, Nous deuons malgre luy l’arrather au trépas, Le tirer de la voye en laquelle il s’engage, Et guider ſe raiſon dont il n’a plus l’vſage.	Loin de presser sa perte et l' aster le pas, Nous devons malgréblés l'arrather au trépas, Le tirer de la voie en laquelle il s'engage, Et guider se raison dont il n'a plus l'usage.
MARTIAN.	MARTIAN.
Qu’il meure, ou ſacrifie	Qu'il meure, ou sacrifie
MAXIMIAN.	MAXIMIAN.
oüy i’ay trop pardonné, Il mourra l’inflexible, il mourra ll'ubſine.	oui j'ai trop pardonné, Il mourra l'inflexible, il mourra l'ubsine.
Mais dans vn long tourment qui tariſſant ſes veines, Par des coups redoublez fera viure ſes peines, Et luy rendra la mort le moindre de ſes maux.	Mais dans un long tourment qui tarissant ses veines, Par des coups redoublés fera vivre ses peines, Et lui rendra la mort le moindre de ses maux.
AAIeIIIRI.	ÀAIeIIIRI.
Vn homme armé de Dieu ne graint point les trauaux, Rien ne peut eſbranler ſon ame genereuſe, Son courage eſt plus grand que la mort n’eſt affreuſe, Et toutes vos rigueurs ne ſçauroient paruenis Au comble des douleurs que ie puis ſouſtenir.	Un homme armé de Dieu ne graint point les travaux, Rien ne peut ébranler son âme généreuse, Son courage est plus grand que la mort n'est affreuse, Et toutes vos rigueurs ne sauraient parvenis Au comble des douleurs que sans puis soutenir.
MAXIMIAN .	MAXIMIAN .
dlu eniejllen un eiguenta tenjiera la vie, Placide.	dlu enièjllen un éiguenta tenjiera la vie, Placide.
APOLLINAIRE.	APOLLINAIRE.
Helas Seigneur excuſez ſa manie, Ou puiſqu’il void le iour comme vn objet d’ennuy, Nẽ le paniſſez pas pour vous vanger de luy.	Hélas Seigneur excusez sa manie, Ou puisqu'il voit le jour comme un objet d'ennui, Né le panissez pas pour vous venger de lui.
MAXIMIAN.	MAXIMIAN.
Moy ſouffrir vn Chreſtient qu’vne inſolente ſecte, De ſa contagion toute la terre inſecte, Et que degenerant de mon auerſion, I’abandonne les Dieux à leur diſcretion, Que ie ſois ſoupçonné d’eſtre d’intelligence, Et deuant ſigualer mon nom par ma vengeance, Deuant noyer l’erreur dans des fleuues de ſang, pans peſpeci d'amtie, de ſext, ny de rang, Deuant à la pitié tenir mon amt cloſe, Qu'vne laſche tendreſſe à mes deſirs s’oppoſe.	Moi souffrir un Chrétient qu'une insolente secte, De sa contagion toute la terre insecte, Et que dégénérant de mon aversion, J'abandonne les Dieux à leur discrétion, Que ie sois soupçonné d'être d'intelligence, Et devant sigualer mon nom par ma vengeance, Deuant noyer l'erreur dans des fleuves de sang, pans especi d'amtie, de sext, ni de rang, Deuant à la pitié tenir mon amt close, Qu'une lâche tendresse à mes désirs s'oppose.
Seduiſe ma colere, & de ſarme ma main.	Séduise ma colère, et de sarme ma main.
MARTIAN.	MARTIAN.
O dignes ſentimens d’vn Empereur Romain!	Ô dignes sentiments d'une Empereur Romain!
Ainſi touſiours le Ciel à vos vœux fauorable Aux plus fiers ennemis vous rendra redoutable, Ainſi vous reccurez Ies tiltres glorieux, D’enneny des Chreſſiens & protecteur des Dieux.	Ainsi toujours le Ciel à vos vœux favorable Aux plus fiers ennemis vous rendra redoutable, Ainsi vous reccurez Jes titres glorieux, D'ennen des Chressiens et protecteur des Dieux.
ADRIAN.	ADRIAN.
Protecteur dites vous?	Protecteur dites -vous?
il eſt dont neceſſaire Qu'vn Empereur mortel ſoit le Dieu tutelaire, De vus Diuinitez, & vous offrez l’entens Aueugles mal-heureux a des Oieux impuiſſans.	il est dont nécessaire Qu'Hommes Empereur mortel soit le Dieu tutélaire, De vus Divinités, et vous offrez l'entends Augles malheureux a des Oieux impuissants.
Vous ueffendez des Dieux qui vous deuroient deffendre, Et leur faites vn bien qu’ils ne ſçauroient vous rendre, Car la protection qu’ils reçoiuent de vous, Nous montre clairement qu’is ſont moins Dieux que nous, Ceux-là ſeroient des Dieux auſquels l’homme peu nuire, Que le moindre Artiſan peut forger & deſtruire, Qui n’ont point d’action & ſans voſtre maintien, Se verroient renuerſez par le bras d’vn Chreſtien, Ia!	Vous veueffendez des Dieux qui vous devraient défendre, Et leur faites un bien qu'ils ne sauraient vous rendre, Car la protection qu'ils reçoivent de vous, Nous montre clairement qu'is sont moins Dieux que nous, Ceux-là seraient des Dieux ausquels l'homme peu nuire, Que le moindre Artisan peut forger et détruire, Qui n'ont point d'action et sans votre maintien, Se verraient renversez par le bras d'un Chrétien, Ja!
qu’ils ſont eſloignez de l’adorable eſſents, Qui tira l’Vniuers du ſiin de ſa puiſſance, Qui partage les temps à la nuict & au jour, Et conſerue pour nous des abyſmes d’amour, C’eſi l’eſtre ſouuerain, l’iſtre incomprehenſible, Qui ſçait tout qui peut tout, dont l’eſprit inu iſible An me tous les corps & d’vn concours eſgal, Donne l’eſtre à la pierre & l’ame à l’animal, Rend l’homme raiſonnabie & tomniulidat hux amt L' amourenſe chaitur de ſes dicines ſámes.	qu'ils sont éloignez de l'adorable essents, Qui tira l'Univers du siin de sa puissance, Qui partage les temps à la nuit et au jour, Et conserve pour nous des abîmes d'amour, Çesi l'être souverain, l'ître incompréhensible, Qui sait tout qui peut tout, dont l'esprit invisible An me tous les corps et d'un concours égal, Donne l'être à la pierre et l'âme à l'animal, Rend l'homme raisonnabie et raisonnât hux amt DONT amourense chaits de ses dicines sûmes.
29 O Dieu dãs quels trãſports n’entrent peint vos amans, Quand vous leur decouurez des objets ſi charmans, Quand vous leur preſentez ces attraits efficaces, Et abbreuuez leurs eœurs des torrens de vos graces!	29 Ô Dieu dans quels transports n'entrent peint vos amants, Quand vous leur découvrez des objets si charmants, Quand vous leur présentez ces attraits efficaces, Et abreuez leurs eœurs des torrens de vos grâces!
Alors la vie peze & pour s’vnir à vous Les plus cruils treſp as ſont des liens trop doux, E ine jautis auuteur vn amt poſſtaee, Vous ayme, vous deſire, & n’a plus d’autre idée.	Alors la vie pèse et pour s'unir à vous Les plus cruils tresp as sont des liens trop doux, ine jautis auuteur un amt posstaène, Vous aime, vous désire, et n'a plus d'autre idée.
MAXIMIAN.	MAXIMIAN.
Tu m'en apprendrois plus que ie n'en veux ſçauoir, Ceſſe de diſcourir & penſe à mon pouuoir;	Tu m'en apprendrais plus que je n'en veux savoir, Cesse de discourir et pense à mon pouvoir;
Ie ne t’allegue point les preuuts autentiques.	Je ne t'allègue point les preuuts autentiques.
Qui combaitent ta ſecte & ces Temples antiques, Qui pouroient contenir mille diuinitez, Il ſuffit que i’ordonne & que mes volontez Doiuent ſeruir de regle à tout ce qui reſpire Dans le vaſte circuit qu’embraſſe mon Empire, Obeis donc Chreſtien & ne t’obſtine plus.	Qui combaitent ta secte et ces Temples antiques, Qui pourraient contenir mille divinités, Il suffit que j'ordonne et que mes volontés Doivent servir de règle à tout ce qui respire Dans le vaste circuit qu'embrasse mon Empire, Obis donc Chrétien et ne t'obstine plus.
ADRIAN.	ADRIAN.
quuun pout meſoranter vus joins ſont ſuperſlus, l faut qu’auec la foy ie conſeque la vie, Ou qué dans les tourmens elle me ſoit rauie, Commandez l’vn ou l’autre & i'obeis.	quuun pout mesoranter vus joins sont superslus, l faut 'avec la foi aux conseque la vie, Ou qué dans les tourments elle me soit ravie, Commandés l'un ou l'autre et j'obéis.
MAXIMIAN.	MAXIMIAN.
L’effect Differe trop ſouuent des proiets qu’on a fait, Et cette fermeté qui fait ta reſiſtance Ius bien ſe tronuer courte au fort de ta ſoeſfiance.	L'effet Diffère trop souvent des proisets qu'on a fait, Et cette fermeté qui fait ta résistance Jus bien se tronuer courte au fort de ta soffiance.
attends que les douleurs qu’on te fera ſentir C’arracheront enfin vn triſte repentir, t que tuſois contraint dans ces tourmens extrimes D’implorer, quoy qu’en vain, les Dieux que tu blaſphemes.	attends que les douleurs qu'on te fera sentir C'arracheront enfin un triste repentir, t que sais contraint dans ces tourments extrimes D'implorer, quoi qu'en vain, les Dieux que tu blasphemes.
ADRIAN.	ADRIAN.
Et moy i’attends que Dieu me vienne ſecourir, Que ſa charmante voix m’encourage à mourir, et que ſou ffrant pour luy des peines ſans pareilles, Vous vous ſentiez contraint d’en croire les merueilles.	Et moi j'attends que Dieu me vienne secourir, Que sa charmante voix m'encourage à mourir, et que sou ffrant pour lui des peines sans pareilles, Vous vous sentiez contraint d'en croire les merveilles.
MAXIMIAN.	MAXIMIAN.
i’en verray le ſuccez.	j'en verrai le succès.
Placide approchez vous.	Placide approchez -vous.
an auſlainfn Seigneur encor vn coup moderez te courroux, Que voſtre Majeſté.	an aûlainfn Seigneur encor un coup modérez te courroux, Que votre Majesté.
MAXIMIAN.	MAXIMIAN.
Ceſſez Apollinaire, Ne m’importunez plus d’vne iniuſte priere, Ie l’ay trop ſapporté.	Cessez Apollinaire, Ne m'importunez plus d'une injuste prière, Je l'ai trop saporté.
Placide eſcoutez bien L’ordre que ie vous donne & n’en obmettez rien.	Placide écoutez bien L'ordre que je vous donne et n'en obmettez rien.
Ie veux que toute à l’heure on le meine à la hale, Ou s’il eſt plus de peuple en la place royalle, Qu’il y ſoit ſans délay traiſné par vn Bourreau, Là qu’il ſoit deſpoüillé, lié tomre vn poteau, Et tellement battu que ſa chair toute ouuerie, De gros boüillons de ſang ſoit largement ceuuerte, Preſſez-le cependant d’obeïr à mes loix, Et ſi ces cruautez pour la premiere fois, Ne peuuent ramener ſon ame opiniaſtre, Que quatre.	Je veux que toute à l'heure on le mène à la hale, Ou s'il est plus de peuple en la place royalle, Qu'il y soit sans délai traîné par un Bourreau, Là qu'il soit dépouillé, lié tomre un poteau, Et tellement battu que sa chair toute ouverie, De gros bouillons de sang soit largement cuverte, Pressez-le cependant d'obéir à mes lois, Et si ces cruautés pour la première fois, Ne peuvent ramener son âme opiniâtre, Que quatre.
hommés puiſſants ſe laſſent à le battre, Auec de gros baſtons gainus de nœud, preſſez, Qu'on luy briſe les nerfs, & ſi ce n'eſt aſſez, De ce nouueau tourment pour guarrir ſa ſollie.	hommès puissants se lassent à le battre, Avec de gros bâtons gainus de nœud, pressez, Qu'on avait brise les nerfs, et si ce n'est assez, De ce nouveau tourment pour garrir sa sollie.
MNqeu enimar funaer Que ſes bojaux ſortis loy donnent de l’horreur.	MNqeu enimar funacer Que ses bojaux sortis loi donnent de l'horreur.
ADRIAN.	ADRIAN.
Ie vous ſuis obligé fauorable empereur, Du ſoin que vous prinez d’ordonner pour ma gloire, Les combats dont i’eſpere vne entiere victoire, Vn violent deſir de ſignaler ma foy lac fait toi torligumis iumau d'ſſous de moy, Et ie meurs de plaiſir lors que ie conſidere, Que Diiu pour qui i'mnaun en mon riche ſalaire.	Je vous suis obligé favorable empereur, Du soin que vous prinez d'ordonner pour ma gloire, Les combats dont j'espère une entière victoire, Un violent désir de signaler ma foi lac fait toi torligumis iumau d'ssous de moi, Et ainsi mûrs de plaisir lors que deux considère, Que Dive pour qui j'mnaun en mon riche salaire.
Stigneur.	Stigneur.
APOLLINAIRE.	APOLLINAIRE.
MAXIMIAN.	MAXIMIAN.
Ha ie ſuis las d’en eſtre importuné, Placide executez l’ordre que i’ay donné, u me dulurie tun de tuis inquieinur.	Ha ie suis las d'en être importuné, Placide exécutez l'ordre que j'ai donné, u me dulurie tun de tuis inquieinur.
PLACIDE.	PLACIDE.
Tuyporteray Seigneur toute la promptitude, Qu'on ſçauroit demander en cette ot caſion.	Tuiporterai Seigneur toute la promptitude, Qu'on saurait demander en cette ot casion.
APOLLINAIRE.	APOLLINAIRE.
Sors erfin mal-henreux de ton illeſion, Puiſqu'il eſt temps entore & rentrant en toy meſme.	Sors erfin malhénreux de ton illesion, Puisqu'il est temps entore et rentrant en toi -même.
Crains pour l’amour de nous vn deſtonntur extreme, Si ton propre intereſt ne te peut eſmouboir.	Crains pour l'amour de nous un destonntur extrême, Si ton propre intérêt ne te peut émouboir.
Placide remeine Adrian en priſon.	Placide remène Adrian en prison.
MAXIMIAN.	MAXIMIAN.
I'eſpere que les foü ts auront plus de pouuoir, Auinbour nos diſcours & que les baſtonnades, Abbaiſſeront l’orgueil de ſes rodomontadts.	J'espère que les fût toujours auront plus de pouvoir, Avinbour nos discours et que les bastonnades, Abaisseront l'orgueil de ses rodomontadts.
Miniclidi.	Miniclidi.
Son courage & ſa chair auront vn grand procez.	Son courage et sa chair auront un grand procès.
MAXIMIAN.	MAXIMIAN.
Et tous les deux ſans doute vn fort mauuais ſuccez	Et tous les deux sans doute un fort mauvais succès
EBITT.	EBITT.
SLIT TREMIERE.	SLIT TREMIÈRE.
MAXIMIAN, PLACIDE, APOLLINAIRE, MARTIAN.	MAXIMIAN, PLACIDE, APOLLINAIRE, MARTIAN.
PLACIDE.	PLACIDE.
A tonſiance, Seigneur, eſtonne tout le monde, SIl n’a ſur tout le corps qu’vne playe profonde, Les foüets, & les baſtons ont eſpuiſé ſon flant, Maù il nage en la joye außi-bien qu’en ſon ſangGlorieux de ſou ffrir il rit de ſon ſupplice, Et laſſe les Bourreaux	A tonsiance, Seigneur, étonne tout le monde, SIl n'a sur tout le corps qu'une plaie profonde, Les fouets, et les bâtons ont épuisé son flant, Maù il nage en la joie aussi-bien qu'en son sangGorieux de sou ffrir il rit de son supplice, Et lasse les Bourreaux
MAXIMIAN.	MAXIMIAN.
Ha cruelle malice!	Ha cruelle malice!
Ha d'vne ame enragée introyable fureur?	Ha d'une âme enragée introyable fureur?
Qu'vn Chreſſien en ſou ffrant ſurmonte vn Empereur, Que toutes les rigueurs cedent à ſon courage, Et que tout mon pouuoir foit moirdre que ſa rage, Ha l'obſtination!	Qu'un Chressien en sou ffrant surmonte un Empereur, Que toutes les rigueurs cèdent à son courage, Et que tout mon pouvoir soit moirdre que sa rage, Ha l'obstination!
ha l’endurciſſ ment, Qui fait mon deſeſpoir & mon eſtonnement!	ha l'endurciss ment, Qui fait mon désespoir et mon étonnement!
Sa mort ſera pour moy trop tards ſue ou trop prompt S’il meurt en me brauant ou s’il vit à ma honte, Et de quelque coſté que it tourne les yeux, Tout tombat mes deſſeins & l’honneur de nos dieux	Sa Mort sera pour moi trop tards sue ou trop prompt S'il meurt en me bravant ou s'il vit à ma honte, Et de quelque côté que it tourne les yeux, Tout tombât mes desseins et l'honneur de nos dieux
MARTIAN.	MARTIAN.
Eſtouffez le venin dans le ſang de la beſte, Car l’vnique remede eſt d’abbattre ſa teſte, Außi-bien c’eſt en vain qu'on pretend l’esbranſler, Deut-il voir ſur vn gril ſes membres petiller, Ou de boüillons de plomb arrouſer ſes bleſſures, Deut-il finir ſa vie entre mille morſures De Tigres affamez, & ſouffriz en vn corps, Toutes les cruautez des plus horribles marts, Touſiours intaoranas, e gianuejey mennis Il paroiſtra ioyeux dans vn tourment extréme, Et vous reconnoiſtrez apres de longs combats, Qu’on ne pouuoit trop-toſt l’enuoyer au treſpas.	Étouffez le venin dans le sang de la bête, Car l'unique remède est d'abattre sa tête, Aussi-bien c'est en vain qu'on prétend l'ébranler, Deut-il voir sur un gril ses membres pétiller, Ou de bannons de plomb arrouser ses blessures, Deut-il finir sa vie entre mille morsures De Tigres affamés, et souffris en un corps, Toutes les cruautés des plus horribles marts, Tousieurs intaoranas, e gianuejey Dennis Il paroistra joyeux dans un tourment extrême, Et vous reconnaître après de long combats, on nemp trop-tôt çomau trépas.
APOLLINAIRE.	APOLLINAIRE.
Seigneur, ſans vous priuer d’vn ſi grand Capitain I’ay trouué le moyen de vous mettre hors de peine, La force ne peut rien contre vn homme de cœur, Daus les pias grads eſeues ſn coure ge eſt vainqueut Mau la volupté ſeule a droict de le corrompre, Il n’eſt point d’eſcadrons qu'elle ne puiſſe rompre, Et quelque fermeté qu'il teſmoigne aujourd huy, Ses attraits enchanteurs viendront à bout de luy, C’eſt elle qu’on a veu mettre Annibal en fuite, Qui vainquit Marc Antoine auet toute l’Egypte, Et qui contre Adrian vſant de trabiſon, Dans ſon eſprit tharmé verſera ſon poiſon, Qui fera voir vaineu par l'effort des delices Celuy qui ſurmontoit les plus bruels ſupplices.	Seigneur, sans vous priver d'un homme de Capitain J'ai trouvé le moyen de vous mettre hors de peine, La force ne peut rien contre un homme de cœur, Daus les pias grads eseues sour coure ge est vainqueut Mau la volupté seule a droit de le corrompre, Il n'est point d'escadrons qu'elle ne puisse rompre, Et quelque fermeté qu'il témoigne aujourd n, Puisse attraits enchanteurs viendront à bout de lui, C'est -elle qu'on a vu mettre Inibal en fuite, Qui vainquit Marc Antoine aut toute Egypte, Et au toute L' vsant de trabison, Dans son Et tharmé versera son poison, Qui fera voir vaineu par l'effort des délices Celuy qui surmontoit les plus bruels supplices,
MAXIMIAN.	MAXIMIAN.
Tout ce raiſonnement ne me ſatis fait pas, Prta plus tuuite rojt in etuena liijpaz, Car le moindre bourreau peat finir à ma veuë Le trauail importun qui m’accable & me tuë.	Tout ce raisonnement ne me satî fait pas, Préta plus tuuite rojout in etvena liijpaz, Car le moindre bourreau peat finir à ma vue Le travail importun qui m'accable et me tue.
APOLLINAIRE.	APOLLINAIRE.
Mais ſa cendre fertile en reproduira cent, Et bien loin de finir vn enuuy ſi preſſant Vous allez augmenter les ſujets de ves ptines.	Mais sa cendre fertile en reproduira cent, Et bien loin de finir un envi si pressant Vous allez augmenter les sujets de vez ptines.
MAXIMIAN.	MAXIMIAN.
Faint-il des huinatas tarir lonius lis ruines, Ne faire qu’vn tombeau de ce grand vniuers.	Faint-il des huinatas tarir lonius lis ruines, Ne faire qu'amour tombeau de ce grand univers.
Et me perdre en perdant tant de peuples diuers, Coutre tous les Chreſtiens t'eſtendray ma colere.	Et me perdre en perdant tant de peuples divers, Coutre tous les Chrétiens t'étendrai ma colère.
APOLLINAIRE.	APOLLINAIRE.
Ie vous diray.	Je vous dirai.
Seigneur, ce que ie ne puis taire;	Seigneur, ce que Seigneur ne puis taire;
L’eſprit, comme le corps, eſt ſujet au potſon, Les chaimes ſent pniſſans pour troubler la raiſon, Et celle d'Adrian eſt ſans doute affeiblie.	L'esprit, comme le corps, est sujet au potson, Les chaimes sent pnissans pour troubler la raison, Et celle d'Adrian est sans doute afféiblie.
Par les enchantemens dont ſe ſert Natalie, Cette magicienne adore Ieſus Chriſt, hupie treize mois afiegeant ſon eſpeit, L’a mal-heureuſement attiré dans ſa ſecte.	Par les enchantements dont se sert Natalie, Cette magicienne adore Jésus Christ, hupie treize mois affiègeant son espeit, L'a malheureusement attiré dans sa secte.
MARTIAN.	MARTIAN.
D'vne pure chimere elle vous eſt ſuſpecte, Ie connois Natalie & m’oſe faire fort Qu’on ne vous a pas fait vn fidele rapport, I qu’à peine Adrian aura laiſſé la teſte Que l’encenſoir aux mains, on la trouuerra preſte, De rendre aux immortels vn culte ſolemnel.	D'une pure chimère elle vous est suspecte, Je connais Natalie et m'ose faire fort Qu'on ne vous a pas fait un fidèle rapport, I J'à peine Adrian aura laissé la tête Que l'encensoir aux mains, on la trouvera prête, De rendre aux immortels un culte solennel.
MAXIMIAN.	MAXIMIAN.
Placide ſort.	Placide sort.
Placide amenez-moy ce couple criminel, Qu'vne derniere fois ie leur offre mes graces, Qu’vne derniere fois ie faſſe des menaces, Et leur donne le choix de la vie ou la mort, Miſerable Empereur auec combien d'effort Pourſuis-tu des Chreſtiens l’aſſemblée ſeduitte, Et combien s’en fait-il nonobſtant ta pourſuitte, Et quand ceſſerez vous?	Placide amenez-moi ce couple criminel, Qu'une dernière fois ie leur-moire mes grâces, Qu'une dernière fois ie fasse des menaces, Et leur donne le choix de la vie ou la mort, Misérable Empereur avec combien d'effort Poursuis-tu des Chrétiens l'assemblée séduite, Et combien s'en fait-il nonobstant ta poursuite, Et quand cesserez -vous?
grands Dieux de m’outrager, Et vous vanger de moy, quand ie vous veux vanger?	grands Dieux de m'outrager, Et vous venger de moi, quand tu vous veux venger?
Doncques cette beauté pour qui Nicomedie Nourriſſoit dans les cœurs vn public incendie, Cette image des Dieux par vn complot fatal, A déclaré la guerre à ſon original, Et ie me ſens forcé par vn excez de zele, D’eſſacer pour iamau cette image infidele, Au moins ſi tant de ſang que it vetſe en tous lieuxs Augmentoit mon repos ou le reſpect des Dieux,  Mais ma deuore ardeur loing ue leur eſtre veile, Contre eux & contre nous aigrit toute la Ville, Ie prepare aux Chreſtiens vn char pour triompher, di imile la mai ane ll tina qunjtrs N’importe Natalie, il faut que ie me vange.	Donc cette beauté pour qui Nicomédie Nourrissait dans les cœurs un public incendie, Cette image des Dieux par un complot fatal, A déclaré la guerre à son original, Et tu me sens forcé par un excès de zèle, D'essacer pour jamau cette image infidèle, Au moins si tant de sang que it vetse en tous lieuxs Augmentait mon repos ou le respect des Dieux, Mais ma dévore ardeur loin de leur change veile, Contre eux et contre nous aigrit toute la Ville, Je prépare aux Chrétiens charmes char pour triompher, di île la mai ane l tina qunjtrs TELimporte Natalie, il faut l' ie me vange.
MARTIAN.	MARTIAN.
Seigneur elle a changé ſans renoncer au change.	Seigneur elle a changé sans renoncer au change.
Le ſexe la condamne à l’inſtabilité, L’erreur luy déplaira comme la verité.	Le sexe la condamne à l'instabilité, L'erreur avait déplaira comme la vérité.
Et pour l’en retirer le temps eſt vn remede, Auquel apres l’amour tout autre moyen cede, L’vn & l’autre eſt puiſſant, mais ce dermier icy, Eſt pour y paruenir vn chemin racourcy, Que voſtre Majeſté va ſçauoir tout à l'heure, Moy ennant qu’auet nous perſonne ne demeure, Car il n’eſt pas beſoin de découurir à tous, Les myſleros d’amour.	Et pour l'en retirer le temps est un remède, Auquel après l'amour tout autre moyen cede, L'un et l'autre est puissant, mais ce dermier ici, Est pour y parvenir un chemin racourci, Que votre Majesté va savoir tout à l'heure, Moi ennant qu'auet nous personne ne demeure, Car il n'est pas besoin de découvrir à tous, Les mysler d'amour.
MAXIMIAN.	MAXIMIAN.
Εtbιεπππσιινεz-vouς, Et qu’on nous laiſſe ſeuls	Εtbιεπππσιινεz-voudre, Et qu'on nous laisse seuls
SCENE MAXIMIAN, MARTIAN.	SCÈNE MAXIMIAN, MARTIAN.
SEigneur vous allez eſtre Mon plus cher confident au ßi-tien que mon maiſtre, Et ie ne craindray peint d’expoſir à vos yeux, D’vn cœur tout deſebiré le portrait ennujeux.	SEigneur vous allez être Mon plus cher confident au ssi-tien que mon maître, Et toujours ne craindrai peint d'exposir à vos yeux, D'un cœur tout désebiré le portrait ennujeux.
Au temps que Natalie eſtois encore fille, Et l’objet des ſouſpirs de toute cette Ville, Parmy tous les Amants qui viuoient fous ſa loy.	Au temps que Natalie étais encore fille, Et l'objet des soupirs de toute cette Ville, Parmi tous les Amants qui vivaient fous sa loi.
Elle nefit eſtat que d'Adrian & moy, Son ame entre nous deux leuguement balaucée Eſtoit tantoſt vers luy, tantoſt vers mor pouſſée Et daus vne eſperance eſgalle à ſon emour, Vn chacun receuoit des faueurs à ſon touz!	Elle nefit état que d'Adrian et moi, Son âme entre nous deux leuguement balaucée Était tantôt vers lui, tantôt vers mór poussée Et daus une espérance égalle à son emour, Un chacun recevait des faveurs à son touz!
2 1 2 120 Mais helas ie la vis tout d’vn coup refroidie, Et quoy que ma pourſuitte en deuint plus bardie, Quoy que ma paßion fit vn dernier effort, Elle me pronon ça ma ſentence de mart, I'en appelle à l’amour, mais l’amour la reuere, Et trahit mon bon droict de peur de luy déplaire, De ſorte qu'Adrian eſt riceu dans ſon lict, Et moy plein de courroux, de honte, & de deſpit, D'vn changement ſoudain dont la ſuitte m'eſto une,	2 1 2 120 Mais hélas Seigneur la vis tout d'un coup refroidie, Et quoi que ma poursuite en devint plus bardie, Quoi que ma passion fit un dernier effort, Elle me pronon ça ma sentence de mart, J'en appelle à l'amour, mais l'amour la révère, Et trahit mon bon droit de peur de tant déplaire, De sorte qu'Adrian est riceu dans son lit, Et moi plein de courroux, de honte, et dé dépit, D'un changement soudain dont la suite m'éto une,
I'en cherche les motifs, ie reſus, ie ſoupçonne, Et d'vn œil eſpion examinant leurs mœurs, Par vn ſoin indiſeret ie nourris mes douleurs, La maiſon d'Adrian de Chreſtiens toufiours pleine Me détouurοit aſſez le ſujet de ma peine, Et i’aurois pû iuger dans vne autre ſaiſon, Qu’il s’eſtoient aſſemblez pour quelque trahiſon, Qu’ils auoieut conſpiré pour me dreſſir vn piego Et qu'enfin Natalie aimoit par ſortilege, Mais dans l’eſtounement ou l’amour m'auoit mis, Et duquel pour ce coup ie n’eſtois pas remis, Ie n’apperceuois pas les choſes les plus claires, Et les moindres obiects me ſembloient des myſteres, Il n’eſt point de douleur ſi forte que le temps, Ce grand conſolateur de tous les meſcontens, Adoucit la rigueur de mon ſort dé plorable, Et le bon-heur d’autray me deuint ſuportable, Deſia traize croiſſans ont aſſemblé leurs bouts, Depuis que Natalie eſt auec ſon eſpoux.	J'en cherche les motifs, Seigneur ressus, quelque soupçonne, Et d'un œux espion examinant leurs mœurs, Par un soin indiséreux Un nourris mes douleurs, La maison d'Adrian de Chrétiens toufjours pleine Me détouurοit assez le sujet de ma peine, Et j'aurais pu juger dans une autre saison, Qu'il s'étaient assemblez pour quelque trahison, Qu'ils avaient conspiré pour avaient dressir vn pour Me d'enfin Natalie aimait par sortilège, Mais dans l'estounement ou amour m'auoit mis, Et duquel pour ce coup ieanestois pas remis, Ie napperceuois pas les choses les plus claires, Et a moindres obiects m y des mystères, Il Eest point de douleur si forte que le temps, Ce grand pour ce coups les mescontens, Adoucit la rigueur de mon sort plorable' Et le bon-heur a ie deuint suportable, Desia re croissans ont assemblé leurs bouts, Depuis que Natalie est auec son époux.
Et ſous le deſeſpoir ma flame enſeuelie, N’auoit plus pour objet les yeux de Natalie, Lors que de mon riual la iuſte aduerſité, A rallumé mes feux & ma temerité, I'attendois qu’il mourroit & que i’aurois ſa femmue Et defia cet eſpoir auoit flatté men ame.	Et sous le désespoir ma flamme ensevelie, N'avait plus pour objet les yeux de Natalie, Lors que de mon rival la juste aduersité, A rallumé mes feux et ma témérité, J'attendais qu'il mourrait et que j'aurais sa femue Et défia cet espoir avait flatté men âme.
Deſia tout conſpiroit à mon contentement, Lors qu’on m'a menacé d’vn triſte éuenemeut,	Déjà tout conspirait à mon contentement, Lors qu'on m'a menacé d'un triste éuenemeut,
Vne accuſation dangereuſe & cruille.	Une accusation dangereuse et cruille.
Qui l’expoſeaux nigueurs d'vn lamentable fort.	Qui l'exposeaux nigueurs d'un lamentable fort.
Si pour s’en guarantir l'amour ne fait effort, Iene viens pas Seigneur, dans ue danger extrémt, Demander qu’elle viut à cauſe que ie l’ayme, Contre tous lex Chreſtiens ie ſais trap irrité.	Si pour s'en guérantir l'amour ne fait effort, Jène viens pas Seigneur, dans ue danger extrémt, Demander qu'elle viut à cause que je l'aime, Contre tous le Chrétiens un sais trap irrité.
