A MONSIEVR DE MOLIER, CHEF DE LA TROVPPE DES COMEDIENS DE MONSIEVR, FRERE VNIQVE DV ROY.	À MONSIEUR DE MOLIER, CHEF DE LA TROUPE DES COMÉDIENS DE MONSIEUR, FRÈRE VIQUE DU ROY.
’On peut dire que cette Scene en conUtient deux, puiſque Sganarelle fait vne eſpece de Monoloque, pendant que Celie, qui auoit veu ſortir ſon Amant d’auec luy, le conduit des yeux, iuſqu’à ce qu’elle l’ait perdu de veuë, pour voir ſi elle ne s’eſt point trompée.	Un peut dire que cette Scène en conUtient deux, puisque Séganarelle fait une espèce de Monoloque, pendant que Celie, qui avait vu sortir son Amant d'avec lui, le conduit des yeux, jusqu'à ce qu'elle l'ait perdu de veuë, pour voir si elle ne s'est point trompée.
Sganarelle de ſon coſté regarde auſſi en aller Lelie, & fait voir le dépit qu’il a de ne luy auoir pas fait inſulte, apres l’aſſeurance qu’il croit auoir d’eſtre Cocu de luy.	Socanarelle de son côté regarde aussi en aller Lélie, et fait voir le dépit qu'il a de ne lui avoir pas fait insulte, après l'assurance qu'il croit avoir d'être Cocu de même.
Celie luy ayant laiſſé jetter la plus grande partie de ſon feu, s’en approche pour luy demander;	Celie était ayant laissé jeter la plus grande partie de son feu, s'en approche pour lui demander;
ſi celuy qui luy vient de parler ne luy eſt pas connu;	si celui qui Seigneur vient de parler ne lui est pas connu;
mais il luy répond auec ſa naïueté ordinaire, que c’eſt ſa femme qui le connoiſt & découure peu à peu;	mais il était répond avec sa naïveté ordinaire, que c'est sa femme qui le connaît et découvre peu peu;
mais d’vne maniere tout à fait agreable, que Lelie le deshonore.	mais d'une manière tout à fait agréable, que Lélie le déshonore.
C’eſt icy que l’équiuoque diuertiſt merueilleuſement l’Auditeur, puiſque Celie deteſtant la perfidie de ſon Amant, jettant feu & flâmes contre luy, & ſortant à deſſein de s’en venger, Sganarelle croit qu’elle prend ſa deffence, & qu’elle ne court à deſſein de le punir que pour l’amour de luy.	C'est ici que l'équiuoque divertît merveilleusement l'Auditeur, puisque Celie détestant la perfidie de son Amant, jetant feu et flammes contre lui, et sortant à dessein de s'en venger, Séganarelle croit qu'elle prend sa défense, et qu'elle ne court à dessein de le punir que pour l'amour de Seigneur.
Comme les Vers de cette Scene donnent à l’Auditeur vn plaiſir extraordinaire, il ne ſeroit pas iuſte de vous priuer de ce contentement, c’eſt pourquoy en jettant les yeux ſur les lignes Auidances, vous pourez comontre que l’Autheur ſçait parfaitement bien conduire vn équiuoque.	Comme les Vers de cette Scène donnent à l'Auditeur un plaisir extraordinaire, il ne serait pas juste de vous priver de ce contentement, c'est pourquoi en jetant les yeux sur les lignes Avidances, vous pourrez comontre que l'Auteur Sait parfaitement bien conduire un équivoque.
SGANARELLE ſans voir Celie.	SGANARELLE sans voir Celie.
NE n’eſt point s’expliquer en termes ambigus, Cet eſtrange propos me rend auiſi confus Que s’il m’eſtoit venu des cornes à la teſte.	NE n'est point s'expliquer en termes ambigus, Cet étrange propos me rend avisi confus Que s'il m'était venu des cornes à la tête.
Allez, ce procedé n’eſt point du tout honneſte.	Allez, ce procédé n'est point du tout honnête.
Il ſe tourne du costé que Lelie s’en vient d’en aller.	Il se tourne du côté que Lélie s'en vient d'en aller.
CELIE à part.	CELIE à part.
Quoy, Lelie a parû tout à l’heure à mes yeux, Qui pourroit me cacher ſon retour en ces lieux?	Quoi, Lélie a paru tout à l'heure à mes yeux, Qui pourrait me cacher son retour en ces lieux?
SGANARELLE pourſuit.	SGANARELLE poursuit.
O!	Ô!
trop heureux, d’auoir vne ſi belle femme, Malheureux bien plutoſt de l’auoir cette infame, Dont le coupable feu trop bien verifié, Celie apSans reſpect ny demy nous a cocufié, proche peu à peu de luy, & attend que ſon tranſport ſoit finy pour luy perler.	trop heureux, d'avoir une si belle femme, Malheureux bien plutôt de l'avoir cette infâme, Dont le coupable feu trop bien vérifié, Celie apSans respect ny demi nous a cocufié, proche peu à peu de Seigneur, et attend que son transport soit fini pour lui perler.
41242 Mais ie le laiſſe aller apres vn tel indice Et demeure les bras croiſez comme vn Iocrice.	41242 Mais On le laisse aller après un tel indice Et demeure les bras croissez comme un Jocrice.
Ah!	Ah!
ie deuois du moins luy jetter ſon chapeau, Luy rüer quelque pierte, ou crotter ſon manteau, Et ſur luy hautement pour contenter ma rage Faire au larron d’honneur crier le voiſinage.	On devais du moins nom jeter son chapeau, Lui ruer quelque pierte, ou crotter son manteau, Et sur notre hautement pour contenter ma rage Faire au larron d'honneur crier le voisinage.
CELIE.	CELIE.
Cerdy qui maitenant deuers vous eſt venu Et qui vous a parlé, d’où vous eſt-il connu?	Cerdi qui maitenant devers vous est venu Et qui vous a parlé, d'où vous est-il connu?
SGANARELLE.	SGANARELLE.
Helas!	Hélas!
ce n’eſt pas moy qui le connoiſt Madame, C’eſt ma femme.	ce n'est pas moi qui le connaît Madame, C'est ma femme.
CELIE.	CELIE.
Quel trouble agite ainſi voſtre ame?	Quel trouble agite ainsi votre âme?
SGANARELLE.	SGANARELLE.
Ne me cõdamnez point d’vn deüil hors de ſaiſon, Et laiſſez moy pouſſer des ſoûpirs à foiſon.	Ne me comdamnez point d'un deuil hors de saison, Et laissez moi pousser des soupirs à foison.
CELIE.	CELIE.
D'où vous peuuent venir ces douleurs non communes?	D'où vous peuvent venir ces douleurs non communes?
SGANARELLE.	SGANARELLE.
Si ie ſuis affligé, ce n’eſt pas pour des prunes Et ie le donnerois à bien d’autre qu’à moy De ſe voir ſans chagrin au pomt ou le lne voy.	Si je suis affligé, ce n'est pas pour des prunes Et tu le donnerais à bien d'autre qu'à moi De se voir sans chagrin au pompt ou le lène .
Des maris mal-heureux, vous voyez le modele, en denobe r'homet ad pauure Sganarcile;	Des maris malheureux, vous voyez le modèle, en denobe rhomet ad pauvre Sganarcile;
Mais c’eſt peu que l’honneur dans mon affliction, L’on me deſrobe encor la reputation.	Mais c'est peu que l'honneur dans mon affliction, L'on me dérobe encor la réputation.
Comment?	Comment?
CELIE.	CELIE.
SGANARELLE.	SGANARELLE.
Ce Damoiſeau, parlant par reuerence, Me fait cocu Madame, auec toutelicence, Et i’ay ſçeu par mes yeux auerer auiourd’huy Lé commerce ſecret de ma femme & de luv.	Ce Damoiseau, parlant par révérence, Me fait cocu Madame, avec toutelicence, Et j'ai su par mes yeux auerer aujourd'hui Lé commerce secret de ma femme et de luv.
CELIE.	CELIE.
Celuy qui maintenant.	Celui qui maintenant.
SGANARELLE.	SGANARELLE.
Sujs cay, me ucunonore;	Sujs cai, me ucunonore;
Il adore ma femme, & ma femme l’adore.	Il adore ma femme, et ma femme l'adore.
CELIE.	CELIE.
Ah!	Ah!
i’auois bien iugé que ce ſecret retour Ne pouuoit me couurir que quelque laſche tour, Et i’ay tremblé d’abord en le voyant paroiſtre, Par vn preſſentiment de ce qui deuoit eſtre.	j'avais bien jugé que ce secret retour Ne pouvait me couvrir que quelque lâche tour, Et j'ai tremblé d'abord en le voyant paraître, Par un pressentiment de ce qui devait avoir.
SGANARELLE.	SGANARELLE.
Vous prenez ma deffence auec trop de bonté, Tout le monde n’a pas la meſme charité, Et pluſieurs qui tantoſt ont appris mon martire, Bien loin d’y prendre part, n’en ont rien fait que	Vous prenez ma défense avec trop de bonté, Tout le monde n'a pas la même charité, Et plusieurs qui tantôt ont appris mon martyre, Bien loin d'y prendre part, n'en ont rien fait que
rire.	rire.
CELIE.	CELIE.
Eſt-il rien de plus noir que ta laſche action, Et peut-on auy tiouuentne punitiom Dois-tu ne te pas croire indigne de la vie, Apres t’eſtre ſouille de cette perndie?	Est-il rien de plus noir que ta lâche action, Et peut-on a tiouuentne punitiom Dois-tu ne te pas croire indigne de la vie, Après t'être souille de cette perndie?
O Ciel!	Ô Ciel!
eſt-il poſſible?	est-il possible?
SGANARELLE.	SGANARELLE.
Il eſt trop vray pour moy.	Il est trop vrai pour moi.
D CELIE.	D CÉLIE.
Ah!	Ah!
traiſtre, ſcelerat, ame double & ſans foy.	traître, scélérat, âme double et sans foi.
SGANARELLE.	SGANARELLE.
La bonne ame.	La bonne âme.
CELIE.	CELIE.
Non, non, l’Enfer n’a point de geſne Qui ne ſoit pour ton crime vne trop douce peinc.	Non, non, l'Enfer n'a point de gêne Qui ne soit pour ton crime une trop douce peinc.
SGANARELLE.	SGANARELLE.
Que voila bien parler!	Que voilà bien parler!
CELIE.	CELIE.
Auoir ainſi traitté Et la meſme innocence & la meſme bonté.	Avoir ainsi traité Et la même innocence et la même bonté.
Hay.	Hais.
SGANARELLE.	SGANARELLE.
Il ſoûprle haut.	Il souprle haut.
CELIE.	CELIE.
n cteur, qui lamais n'a fait la moindre choſe.	n' teur, qui lamais n'a fait la moindre chose.
A merité l’affront où ton meſpris l’expoſe.	À mérité l'affront où ton mépris l'expose.
Il eſt vray.	Il est vrai.
SGANAKELLE.	SGANANALLE.
CELIE.	CELIE.
Qui bien loin .	Qui bien loin .
mais c’eſt trop, & ce cœur Ne ſçauroit y ſonger ſans mourir de douleur.	mais c'est trop, et ce cœur Ne saurait y songer sans mourir de douleur.
SGANARELLE.	SGANARELLE.
Ne vous faſchez pas tant, ma tres-chere Madame, Mon mal vous touche trop & vous me percez l’ame.	Ne vous fâchez pas tant, ma très-chère Madame, Mon mal vous touche trop et vous me percez l'âme.
CELIE.	CELIE.
Mais ne t'abuſepas iuſqu’à te figurer Qu'à des plaintes ſahs fiuit ren cume demeurer, Mon cœur pour le venger içait ce qu’il te faut faire Etiy couis de ce paoy mienme m'en peut diſtraire.	Mais ne t'abusepas jusqu'à te figurer Qu'à des plaintes sahs fiuit ren ume demeurer, Mon cœur pour le venger içait ce qu'il te faut faire Etiy couis de ce pay mienme m'en peut distraire.
SCENE XVII.	SCÈNE XVII.
SGANARELLE.	SGANARELLE.
ſeul.	seul.
I j’auois tantoſt beſoin de ces excelOlents Peintres que ie vous ay nommez, pour vous dépeindre le viſage de Sganarelle;	I j'avais tantôt besoin de ces excelOlents Peintres que je vous ai nommez, pour vous dépeindre le visage de Séganarelle;
j’aurois maintenant beſoin & de leur pinceau & de la plume des plus excellens Orateurs, pour vous deſcrire cette Scene.	j'aurais maintenant besoin et de leur pinceau et de la plume des plus excellents Orateurs, pour vous décrire cette Scène.
Iamais il ne ſe vit rien de plus beau, iamais rien de mieux joüé, & iamais Vers ne furent ſi generalement eſtimez.	Jamais il ne se vit rien de plus beau, jamais rien de mieux joué, et jamais Vers ne furent si généralement estimez.
Sganarelle joüe ſeul cette Scene, repaſſant dans ſon eſprit tout ce que l’on peut dire d’vn Cocu, & les raiſons pour leſquelles il ne s’en doit pas mettre en peine, s’en démeſle ſi bien, que ſon raiſonnement pourroit en vn beſoin conſoler ceux qui ſont de ce nombre.	Séganarelle joue seul cette Scène, repassant dans son esprit tout ce que l'on peut dire d'un Cocu, et les raisons pour lesquelles il ne s'en doit pas mettre en peine, s'en démêle si bien, que son raisonnement pourrait en un besoin consoler ceux qui sont de ce nombre.
Ie vous enuoye les Vers de cette Scene, afin que ſi vous connoiſſez quelqu’vn en voſtre païs qui ſoit de la ConfraiIle dont oganatene le croit eitre, vous le puiſſiez par là retirer de la melancolie où il pourroit s’eſtre plongé.	Je vous envoie les Vers de cette Scène, afin que si vous connaissez quelqu'un en votre pays qui soit de la ConfraiIle dont oganatène le croit eitre, vous le puissiez par là retirer de la mélancolie où il pourrait s'être plongé.
SGANARELLE.	SGANARELLE.
ſeul.	seul.
Ve le Ciel la préſerue à jamais de danger.	Ve le Ciel la préserve à jamais de danger.
Voyez quelle bonté de vouloir me vanger:	Voyez quelle bonté de vouloir me venger:
En effet;	En effet;
ſon courroux qu’excite ma diſgrace M’enſeigne hautement ce qu’il faut que ie faſſe, Et l’on ne doit iamais ſouffrir ſans dire mot De ſemblables affronts à moins qu’eſtre vn vray ſot.	son courroux qu'excite ma disgrâce M'enseigne hautement ce qu'il faut que sans fasse, Et l'on ne doit jamais souffrir sans dire mot De semblables affronts à moins qu'être v rai sot.
Courõs dõc le chercher cependant qu’il m’affrõte, Monſtrons noſtre courage à venger noſtre honte.	Courons donc le chercher cependant qu'il m'affrête, Monstrons notre courage à venger notre honte.
Vous apprendrez, maroufle;	Vous apprendrez, maroufle;
à rire à nos deſpens, Et ſans aucun reſpect faire cocus les gens.	à rire à nos dépens, Et sans aucun respect faire cocus les gens.
41 Doucement, s’il vous plaiſt, cét homme a bien la mine Il ſe retourne ayant fait trois ou quatre pas.	41 Doucement, s'il vous plaît, cet homme a bien la mine Il se retourne ayant fait trois ou quatre pas.
D’auoir le ſang boüillant & l’ame vn peu mutine, Il pourroit bien mettant affront deſſus affront Charger de bois mon dos, cõme il a fait mon frõt.	D'avoir le sang bannant et l'âme un peu mutine, Il pourrait bien mettant affront dessus affront Charger de bois mon dos, comme il a fait mon front.
Ie hay de tout mon cœur les Eſprits coleriques, Et porte grand amour aux hommes pacifiques:	Je hais de tout mon cœur les Esprits colériques, Et porte grand amour aux hommes pacifiques:
Ie ne ſuis point battant de peur d’eſtre battu Et l’humeur débonnaire eſt ma grande vertu.	Je ne suis point battant de peur d'être battu Et l'humeur débonnaire est ma grande vertu.
Mais mon honneur me dit que d’vne telle offence Il faut abſolument que ie prenne vengeance.	Mais mon honneur me dit que d'une telle offense Il faut absolument que personne prenne vengeance.
Ma foy laiſſons-le dire autant qu’il luy plaira, Au diantre qui pourtant rien du tout en fera:	Ma foi laissons-le dire autant qu'il lui plaira, Au diantre qui pourtant rien du tout en fera:
Quand i’auray fait le braue, & qu’vn fer pour ma peine M’aura d’vn vilain coup tranſpercé la bedaine, Que par la ville ira le bruir de mon treſpas, Dites-moy mon honneur, en ſerez vous plus gras?	Quand j'aurai fait le brave, et qu'un fer pour ma peine M'aura d'un vilain coup transpercé la bedaine, Que par la ville ira le bruir de mon trépas, Dites-moi mon honneur, en serez -vous plus gras?
La Bierre eſt vn ſejour par trop melancolique Et trop mal ſain pour ceux qui craignent la celique, Et quant à moy ie trouue, ayant tout compaſſé, Qu’il vaut mieux encor eſtre Cocu que Trépaſſé:	La Bierre est un séjour par trop mélancolique Et trop mal sain pour ceux qui craignent la celique, Et quant à mo ie grue, ayant tout compassé, Qu'il vaut mieux encor être Cocu que Trépassé:
Quel mal cela fait-il?	Quel mal cela fait-il?
la iambe en deuient-elle Plus tortuë apres tout, & la taille moins belle?	la jambe en devient-elle Plus tortue après tout, et la taille moins belle?
Peſte ſoit qui premier trouua l’inuention De s’affliger l'eſprit de cette viſion, Et d’attacher l’honneur de l'homme le plus ſage Aux choſes que peut faire vne femme volage;	Peste soit qui premier trouva l'invention De s'affliger l'esprit de cette vision, Et d'attacher l'honneur de l'homme le plus sage Aux choses que peut faire une femme volage;
Puis qu’on tient à bon droit tout crime perſonnel, Que fait là noſtre honneur pour eſtre criminel?	Puis qu'on tient à bon droit tout crime personnel, Que fait là notre honneur pour être criminel?
Des actions d’autruy l’on nous donne le blâme, Si nos ſemmes ſans nous ont vn cõmerce infame, Il faut que tout le mal tombe ſur noſtre dus.	Des actions d'autrui l'on nous donne le blâme, Si nos semmes sans nous ont un commerce infâme, Il faut que tout le mal tombe sur notre dus.
Elles font la ſottiſe, & nous ſommes les ſots, C'eſt vn vilain abus & les gens de Police, Nous deuroient bien regler vne telle iniuſtice.	Elles font la sottise, et nous sommes les sots, C'est un vilain abus et les gens de Police, Nous devraient bien régler une telle injustice.
N’auons nous pas aſſez des autres accidents, Qui nous viennent happer en deſpit de nos dents, Les querelles, procez, faim, ſoif, & maladie, Troublent-ils pas aſſez le repos de la vie, Sans s’aller de ſurcroiſt auiſer ſottement De ſe faire vn chagrin qui n’a nul fondement?	N'avons nous pas assez des autres accidents, Qui nous viennent happer en dépit de nos dents, Les querelles, procès, fait, soif, et maladie, Troublent-ils pas assez le repos de la vie, Sans s'aller de surcroît aviser sottement De se faire un chagrin qui n'a nul fondement?
Mocquons-nous de cela, mépriſons les allarmes.	Moquons-nous de cela, méprisons les alarmes.
Et mettõs ſous nos pieds les ſouſpirs & les larmes, Si ma femme a failly, qu’elle pleure bien fort.	Et mettõs sous nos pieds les soupirs et les larmes, Si ma femme a failly, qu'elle pleure bien fort.
Mais pourquoy moy pleurer, puiſque ie n’ay point tort ?	Mais pourquoi moi pleurer, puisque je n'ai point tort ?
En tout cas ce qui peut m’oſter ma faſcherie, Voir cajoler ſa femme & n’en témoigner rien Se pratique auiourd huy par force gens de bien:	En tout cas ce qui peut m'ôter ma fâcherie, Voir cajoler sa femme et n'en témoigner rien Se pratique aujourd hui par force gens de bien:
N’allons donc point chercher à faire vne querelle Pour vn affront qui n’eſt que pure bagatelle.	N'allons donc point chercher à faire une querelle Pour affront qui n'est que pure bagatelle.
L’on m’appellera ſot de ne me vanger pas;	L'on m'appellera sot de ne me venger pas;
Mais ie le ſerois fort de courir au treſpas.	Mais ie le serais fort de courir au trépas.
Ie me ſens là, pourtant remüer vne bile Mettans la main ſur ſon eſtomachQui veut me couſeiller quelque action virile:	Je me sens là, pourtant remuer une bile Mettants la main sur son estomachQui veut me couseiller quelque action virile:
Oüy le courroux me prend, c’eſt trop eſtre poltrô, Ie veux reſolument me vanger du Larron:	Oui le courroux me prend, c'est trop être poltrô, Je veux résolument me venger du Larron:
Deſia pour commencer dañs l’ardeur qui m’enflâme, Ie vais dire par tout qu’il couche auec ma femme.	Déjà pour commencer dañs l'ardeur qui m'enflamme, Je vais dire par tout qu'il couche avec ma femme.
Aduoüez moy maintenant la verité, eſt-il pas vray, Monſieur, que vous auez trouué ces Vers tout à fait beaux, que vous ne vous eſtes pû empeſcher de les relire encore vne fois, & que vous demeurez d’accord que Paris a eu raiſon de nommer cette Scene, la belle Scene?	Aduoüez toujours maintenant la vérité, est-il pas vrai, Monsieur, que vous avez trouvé ces Vers tout à fait beaux, que vous ne vous êtes pu empêcher de les relire encore une fois, et que vous demeurez d'accord que Paris a eu raison de nommer cette Scène, la belle Scène?
SCENE XVIII.	SCÈNE XVIII.
GORGIBVS, CELIE, LA SVIVANTE.	GORGIBUS, CÉLIE, LA SVIVANTE.
Elie n’ayant point trouué de moyen Oplus propre pour punir ſon amant que d’eſpouſer Valere, dit à ſon pere qu’elle eſt preſte de ſuiure en tout ſes volontez, dequoy le pon viemlard tenſoigne eſtre beaucoup ſatisfait, comme vous pouuez voir par ces Vers.	Élie n'ayant point trouvé de moyen Oplus propre pour punir son amant que d'épouser Valère, dit à son père qu'elle est prête de suivre en tout ses volontés, dequoy le pon viemlard tensoigne était beaucoup satisfait, comme vous pouvez voir par ces Vers.
CELIE.	CELIE.
y, ie veux bien ſubir vne ſi iuſte Loy, en Monput;	y, Seigneur veux bien subir une si juste Loi, en Monput;
dipoſez de mes vœux & de moy, Faites quand vous voudrez ſigner cette hymenée, A ſuiure mon deuoir ie ſuis déterminée, Ie pretends gourmander mes propres ſentimens Et me ſoûmettre en tout à vos commandemens.	diposez de mes vœux et de moi, Faites quand vous voudrez signer cette hyménée, A suivre mon devoir ie suis déterminée, Je prétends gourmander mes propres sentiments Et me soumettre en tout à vos commandements.
GORGIBVS.	GORGIBUS.
Ah!	Ah!
voila qui me plaiſt!	voilà qui me plaît!
de parler de la ſorte, Parbleu, ſi grande ioye à l’heure me tranſporte, 7  Csiiij Que mes jambes ſur l’heure en cabrioleroient Si nous n’eſtions point veus de gens qui s’en riroient.	de parler de la sorte, Parbleu, si grande joie à l'heure me transporte, 7 Csij à mes jambes sur l'heure en cabrioleraient Si nous n'étions point vus de gens qui s'en riraient.
Approche toy de moy, viens-çà que ie t'embraſſe:	Approche toi de moi, viens-ceà que deux t'embrasse:
Vne belle action n’a pas mauuaiſe grace, Vn pere quand il veut, peut ſa fille baiſer, Sans que l’on ait ſujet de s’en ſcandaliſer.	Une belle action n'a pas mauvaise grâce, Un père quand il veut, peut sa fille baiser, Sans que l'on ait sujet de s'en scandaliser.
Va, le contentement de te voir ſi bien née Me fera rajeunir de dix fois vne année.	Va, le contentement de te voir si bien née Me fera rajeunir de dix fois une année.
SCENE AIA.	SCÈNE AYA.
CELIE, LA SVIVANTE.	CELIE, LA SVIVANTE.
rOus pourrez dans les cinq Vets qui V ſuiuent, apprendre tout le ſujet de cette Scene.	rOus pourrez dans les cinq Vets qui V suivent, apprendre tout le sujet de cette Scène.
LA SVIVANTE.	LA SVIVANTE.
NI diangement m'eitonne.	NI diangement m'éitonne.
CELIE.	CELIE.
Et lors que tu ſçauras Par quel motif i’agis, tu m’en eſtimeras.	Et lors que tu sauras Par quel motif j'agis, tu m'en estimeras.
LA SVIVANTE.	LA SVIVANTE.
Cela pouroit bien eſtre.	Cela pourrait bien être.
CELIE.	CELIE.
Apprens donc que Belie, A pû bleſſer mon cœur par vne perfidie, Qu’il eſtoit en ces fieux ſans.	Apprends donc que Bélie, A pu blesser mon cœur par ces perfidie, Qu'il était en ces fieux sans.
LA SVIVANTE.	LA SVIVANTE.
Mais il vient à nous.	Mais il vient à nous.
SCENE XX.	SCÈNE XX.
CELIE, LELIE, LA SVIVANTE.	CELIE, LELIE, LA SVIVANTE.
Ans cette Scene, Lelie qui auoit Dfait deſſein de s’en retourner, vient trouuer Celie, pour luy dire vn eternel adieu, & ſe plaindre de ſon infidelité, dans la penſée qu’il a, qu’elle eſt mariée à Sganarelle;	Ans cette Scène, Lélie qui avait Dfait dessein de s'en retourner, vient trouver Celie, pour lui dire un éternel adieu, et se plaindre de son infidélité, dans la pensée qu'il a, qu'elle est mariée à Séganarelle;
lors que Celie, qui croit auoir plus de lieu de ſe plaindre que luy, luy reproche de ſon coſté ſa perfidie, ce qui ne donne pas vn mediocre contentement à l’auditeur, qui connoiſt l’innocente delvir d de l’auure, & coinfle vous la connoiſſez auſſi, ie croy que ces Vers vous pourront diuertir.	lors que Célie, qui croit avoir plus de lieu de se plaindre que lui, tu reproche de son côté sa perfidie, ce qui ne donne pas un médiocre contentement à l'auditeur, qui connaît l'innocente délvir dès de l'auvre, et coinfle vous la connaissez aussi, sans crois que ces Vers vous pourront divertir.
LELIE.	LELIE.
Vaut que pour iamais ie m’éloigne de vous;	Vaut que pour jamais rien m'éloigne de vous;
Ie veux vous reprocher au moins en cette place.	Je veux vous reprocher au moins en cette place.
CELIE.	CELIE.
Quoy me parler encor, auez vous cette audace?	Quoi me parler encor, avez -vous cette audace?
LELIE.	LELIE.
Il eſt vray qu’elle eſt grãde & voſtre choix eſt tel!	Il est vrai qu'elle est grand et votre choix est tel!
Qu’à vous rien reprocher ie ſerois criminel.	Qu'à vous rien reprocher ici serais criminel.
Viuez, viuez contente & brauez ma memoire Auec le digne Eſpoux qui vous comble de gloire.	Vivez, vivez contente et bravez ma mémoire Avec le digne Poux qui vous comble de gloire.
CELIE.	CELIE.
Ouy traiſtre i’y veux viure, & mon plus grand deſir Ce ſeroit que ton cœur en euſt du deſplaiſir.	Oui traître j'y veux vivre, et mon plus grand désir Ce serait que ton cœur en eût du déplaisir.
LELIE.	LELIE.
Qui rend donc conrre moy ce courroux legitime?	Qui rend donc conrre moi ce courroux légitime?
CELIE.	CELIE.
Quoy tu fais le ſurpris, & demande ton crime?	Quoi tu fais le surpris, et demande ton crime?
SCENE XXI.	SCÈNE XXI.
46 CELIE, LELIE, SGAN ARELLE LA SVIVANTE.	46 CELIE, LELIE, SGAN ARELE LA SVIVANTE.
Ganarelle, qui comme vous auez veu Odans la fin de la belle Scene, ( puis qu’elle n’a point à preſent d’autre nom dans Paris) a pris reſolution de ſe venger de Lelie, vient pour cet effet dans cette Scene, armé de toutes pieces:	Ganarelle, qui comme vous avez vu Odans la fin de la belle Scène, ( puis qu'elle n'a point à présent d'autre nom dans Paris) a pris résolution de se venger de Lélie, vient pour cet effet dans cette Scène, armé de toutes pièces:
& comme il ne l’apperçoit pas d’abord, il ne luy promet pas moins que la mort dés qu’ilſe rencontrera.	et comme il ne l'aperçoit pas d'abord, il ne lui promet pas moins que la mort dès qu'ilse rencontrera.
Mais comme il eſt de ceux qui n’exterminent leurs ennemis que quand ils ſont abſens, auſſi-toſt qu’il apperçoit Lelie, bien loin de luy paſſer l’eſpée au trauers du corps, il ne luy fait que des reuerences, & puis ſe retirant à cartier, il s’excite à faire quelque effort genereux & à le tüer par derriere:	Mais comme il est de ceux qui n'exterminent leurs ennemis que quand ils sont absents, aussitôt qu'il aperçoit Lélie, bien loin de même passer l'épée au travers du corps, il ne avait fait que des révérences, et puis se retirant à cartier, il s'excite à faire quelque effort généreux et à le tuer par derrière:
& ſe mettant apres en colere contre ſoy-meſme de ce que ſa poltronnerie ne luy permet pas ſeulement de le regarder entre deux yeux, il ſe punit ſoy-meſme de ſa laſcheté, par les coups & les ſoufflets qu’il ſe donne, & l’on peut dire, que quoy que bien ſouuent l’on ait veu des Scenes ſemblables, Sganarelle ſçait ſi bien animer cette action, qu’elle paroiſt nouuelle au Theatre.	et se mettant après en colère contre soi-même de ce que sa poltronnerie ne lui permet pas seulement de le regarder entre deux yeux, il se punit soi-même de sa lâcheté, par les coups et les soufflets qu'il se donne, et l'on peut dire, que quoi que bien souvent l'on ait vu des Scène semblables, Saille sçait si bien animer cette action, qu'elle paraît nouvelle au Théâtre.
Cependant que Sganarelle ſe tourmente ainſi luy-meſme, Celie & ſon Amant n’ont pas moins d’inquietude que luy, & ne ſe reprochent que par des regards enflammez de courroux, leur infidelité imaginaire, la colere quand elle eſt montée iuſqu’à l’exceds, ne nous laiſſant pour l’ordinaire que le pouuoir de dire peu de paroles.	Cependant que Séanarelle se tourmente ainsi ex-même, Celie et son Amant n'ont pas moins d'inquiétude que mille, et ne se reprochent que par des regards enflammés de courroux, leur infidélité imaginaire, la colère quand elle est montée jusqu'à l'excèds, ne nous laissant pour l'ordinaire que le pendant de dire peu de paroles.
Celie eſt la premiere qui à la veuë de Sganarelle dit à ſon Amant de jetter les yeux ſur luy, & qu’il verra dequoy le faire reſſouuenir, de ſon crime;	Celie est la première qui à la vue de Séganarelle dit à son Amant de jeter les yeux sur notre, et qu'il verra dequoy le faire ressouvenir, de son crime;
mais comment y trouueroitil dequoy le confondre, puiſque c’eſt par là qu’il pretend la confondre elle-meſme:	mais comment y trouveraitil dequoy le confondre, puisque c'est par là qu'il prétend la confondre elle-même:
Il ſe paſſe encore quantité de choſes dans cette Scene, qui confirment les ſoupçons de l’vn & de l’autre;	Il se passe encore quantité de choses dans cette Scène, qui confirment les soupçons de l'un et de l'autre;
mais de peur de vous ennuyer trop long temps par ma Proſe, j’ay recours aux Vers que voicy, pour vous les expliquer.	mais de peur de vous ennuyer trop long temps par ma Prose, j'ai recours aux Vers que voici, pour vous les expliquer.
2	2
SGANARELLE entre armé.	SGANARELLE entre armé.
nocauun puelte mnoscene,a ce reisen d’honneur Qui ſans miſericorde a ſoüillé noſtre honneur.	nocau puelte mnoscene,a ce reisen d'honneur Qui sans miséricorde a souillé notre honneur.
1 CELIE à LELIE.	1 CÉLIE à LELIE.
6910 Tourne?	6910 Tourne?
tourne les yeux?	tourne les yeux?
fans me faire reſpondre.	sans me faire répondre.
LELIE.	LELIE.
Ahl ie vois.	Ahlo ie vois.
CELIEIE Cét obiet ſuffit pour te confondre.	CELIEIE Cet objet suffit pour te confondre.
LELIE.	LELIE.
Mais pour vous obliger bien plûtoſt à rougir.	Mais pour vous obliger bien plutôt à rougir.
SGANARELLE.	SGANARELLE.
Ma colere à preſent eſt en eſtat d’agir, 7 Deſſus ſes granuo eneuaul eſt monté mon courags Et ſi ie le rencontre on verra du carnage:	Ma colère à présent est en état d'agir, 7 Dessus ses granuo enaveuaul est monté mon courags Et si ici le rencontre on verra du carnage:
