Q Source gallica.	Q Source galica.
Atabone Les meſpris faits des Roys ne ſont point pardonnables, Qu’ils ſoient ſuppliciez comme ils ont meritez.	Atabone Les mépris faits des Rois ne sont point pardonnables, Qu'ils soient suppliciés comme ils ont mérités.
La Bezace.	La Bezace.
Voudriez vous bien nous voir ſi rudement traittez?	Voudriez -vous bien nous voir si rudement traités?
Pourueu que vous ayez deux ou trois pucelages N’excuſerez vous point.	Pourvu que vous ayez deux ou trois pucelages N'excuserez -vous point.
Pluton.	Pluton.
Non, vos maquerelages N’auront point deſſus moy vn aſſez grand pouuoir Pour pardonner à vn qui manque à ſon deuoir.	Non, vos maquerelages N'auront point dessus moi un assez grand pouuoir Pour pardonner à un qui manque à son devoir.
Pour mon autorité qu’ils ont tant meſpriſée Ie veux qu’ils ſoient punis de toute leur riſée Oüy, vous reſſentirez les plus rudes tourmens Que l’on ait eſprouuée de tout mes iugemens I'armeray contre vous toutes mes trois furies Pour ſeruir de bourreaux à tant de railleries.	Pour mon autorité qu'ils ont tant méprisée Je veux qu'ils soient punis de toute leur risée Oui, vous ressentirez les plus rudes tourments Que l'on ait éprouvée de tout mes jugements J'armerai contre vous toutes mes trois furies Pour servir de bourreaux à tant de railleries.
44	44
La Broche.	La Broche.
Vous prendriez trop de peine, & i’aymerois bien mieux Vous dire nos deſſeins qui ſont myſterieux Que de vouloir ſouffrir qu’on memiſt à la geſne.	Vous prendriez trop de peine, et j'aimerais bien mieux Vous dire nos desseins qui sont mystérieux Que de vouloir souffrir qu'on memist à la gêne.
La Pointe.	La Pointe.
Voulez vous oublier toute l’ancienne haine Qu’auez eu autrefois contre trois Partiſans?	Voulez -vous oublier toute l'ancienne haine Qu'avez eu autrefois contre trois Partisans?
Pluton.	Pluton.
N’auois-ie pas bien dit que c’eſtoient mes galans?	N'avais-je pas bien dit que c'étaient mes galants?
Quoy?	Quoi?
vous croyez tromper, voleurs, fourbes, infames, Vn qui eſt eſclairé de mille & mille flames.	vous croyez tromper, voleurs, fourbes, infâmes, Un qui est éclairé de mille et mille flammes.
Vous auez donc douté de l’infiny pouuoir Qu'vn grand Prince & vn Dieu des enfers doit auoir, Apprenez que le vois clarrement qui vous eſtes, Et ie me vengeray de tout ce que vous faites, Ie veux dés maintenant pour voſtre chaſtiment Que Caron vous repaſſe en terre promptement.	Vous avez donc douté de l'infini pouvoir Qu'un grand Prince et un Dieu des enfers doit avoir, Apprenez que le vois clarrement qui vous êtes, Et personne me vengerai de tout ce que vous faites, Je veux dès maintenant pour votre châtiment Que Caron vous repasse en terre promptement.
La Broche.	La Broche.
Ah!	Ah!
donnez-nous pluſtoſt des peines eternelles Que de nous.	donnez-nous plutôt des peines éternelles Que de nous.
Pluton.	Pluton.
Non, ie veux qu’en terres naturelles Vous me ſatisfaſſiez pour vos crimes paſſez;	Non, Seigneur veux qu'en terres naturelles Vous me satisfassiez pour vos crimes passez;
en retournant aux lieux dont vous eſtes chaſſez.	en retournant aux lieux dont vous êtes chassés.
Nirãzam.	Nirãzam.
Grand Roy, excuſés les pouï l’inſigne ſeruice Qu’en France ils ont rendu à ma grande auarice, Ie croy que le ſujet de leur deſguïſement N’eſtoit que pour entrer chez vous plus aiſément, Et c’eſt pour vous ſeruir & vous eſtre agreables Qu’ils ont ainſi cherché des maſques fauorables;	Grand Roi, excusez les pouï c'insigne service Qu'en France ils ont rendu à ma grande avarice, Je crois que le sujet de leur desguïsement N'était que pour entrer chez vous plus aisément, Et c'est pour vous servir et vous chang agréables Qu'ils ont ainsi cherché des masques favorables;
Enfin ils n’ont iamais conceu d’autre deſſein Au meſme inſtant qu’ils ſont ſortis de S.	Enfin ils n'ont jamais conçu d'autre dessein Au même instant qu'ils sont sortis de S.
Germain, Que pour vous demander vn pardon de leurs crimes, Et ſe rendre à vos pieds volontaires victimes, S’aſſeurans toutesfois que voſtre Maieſté, Exerceroit ſur eux quelque traict de bonté.	Germain, Que pour vous demander un pardon de leurs crimes, Et se rendre à vos pieds volontaires victimes, S'assurants toutefois que votre Majesté, Exerceroit sur eux quelque trait de bonté.
A tout le moins ſouffrez que par voſtre puiſſance Ils ſe diſent ſujets ſous voſtre obeiſſance:	À tout le moins souffrez que par votre puissance Ils se disent sujets sous votre obéissance:
Donnez leur quelque employ qui approche du mien, Car c’eſt par leur moyen que i’ay acquis du bien.	Donnez leur quelque emploi qui approche du mien, Car c'est par leur moyen que j'ai acquis du bien.
Piuton.	Piuton.
Iules, i’aurois grand tort de faire reſiſtance A la priere d’vn qui m’a ſeruy en France 1.	Jules, j'aurais grand tort de faire résistance À la prière d'un qui m'a servi en France 1.
1).	1).
Allez, ie vous promets quel que condition;	Allez, Seigneur vous promets quel que condition;
Puis qu’ils out merité voitre protection, Et quand vous aurez eu quelque charge honnorable Que ſi quelqu’vne peut leur eſtre conuenable, anuIe la laiſſe à leur choix, touté ma paſſion, Cherchera ſeulement leur ſatisfaction:	Puis qu'ils out mérité voitre protection, Et quand vous aurez eu quelque charge honorable Que si quelqu'une peut leur être convenable, anuIe la laisse à leur choix, touté ma passion, Cherchera seulement leur satisfaction:
Et pour en peu de temps terminer cẽtte affaire, Ie veux en premier lieu tous trois vous ſatisfaire, Et quand vous aurez eu voſtre contentement, Meſſieurs nos deſguiſez en auront tout autant, Dictes, Iules, quel rang vouſez-vous qu’on vous donne?	Et pour en peu de temps terminer cẽtte affaire, Je veux en premier lieu tous trois vous satisfaire, Et quand vous aurez eu votre contentement, Messieurs nos déguisez en auront tout autant, Dictes, Jules, quel rang vousez-vous qu'on vous donne?
Nirazam.	Nirazam.
A voſtre volontéla mienne s’abandonne, Vous ſçauez mieux que moy ſi ie ſuis propre à rien.	À votre volontéla mienne s'abandonne, Vous savez mieux que moi si je suis propre à rien.
Pluton.	Pluton.
Vous n’eſtes quaſi bon qu’à deſrober du bien;	Vous n'êtes quasi bon qu'à dérober du bien;
Et moy comme ie ſuis le grand Roy des richeſſes Ny voleurs ny commis auecques leurs fineſſes Ne ſont pas bons chez moy pour auoir vn eſtat Qu'il puiſſent exercer auec vn peu d’eſclat, C’eſt pourquoy ſçachant bien que vous n’eſtes capables, D'auoir des qualitez qui ſofent conſſderables, Ie diray ce à quoy chacun me peüt ſeruir	Et moi comme tu suis le grand Roi des richesses Ny voleurs sens commis avec leurs finesses Ne sont pas bons chez moi pour avoir un état Qu'il puissent exercer avec un peu d'éclat, C'est pourquoi sçachant bien que vous n'êtes capables, D'avoir des qualités qui sofent considérables, Je dirai ce à quoi chacun me put servir
Yiemed.	Yiemed.
Peu de choſe nous peut plainement aſſouuir, Et ſans aller plus loing noſtre fortune eſt faicte Si nous pouuons chez vous auoir quelque retraicte.	Peu de chose nous peut plainement assouvir, Et sans aller plus loing notre fortune est faite Si nous pouvons chez vous avoir quelque retraite.
Pluton.	Pluton.
Ie commence par vous, & ce n’eſt pas en vain, Car c’eſt vous des voleurs, qui eſtiez ſouuerain, Ie n'ay iamais trouué aucune Creature Qui naturellement eut ſi bonne poſture Et qui euſt comme vous aſſez ample feſſier Pour ſouffler icy bas & en faire meſtier, Parquoy, ce ſera la voſtre honnorable office.	Je commence par vous, et ce n'est pas en vain, Car c'est vous des voleurs, qui étiez souverain, Je n'ai jamais trouvé aucune Créature Qui naturellement eut si bonne posture Et qui eût comme vous assez ample fessier Pour souffler ici bas et en faire métier, Parquoi, ce sera la vôtre honorable office.
Nirazam.	Nirazam.
Vous deués vous promettre vn fidele ſeruice, Car i'ay le trou ſi large & le ſeufflet ſi gros Que ie puis ayſément du vent qui eſt enclos R’allumer tout le feu que ce Royaume enſerre P t le reueierois le leu clementane, S’il ſe trouuoit eſteint par quelque grand malheur, Cependant grand-mercy d’vn ſi inſigne honneur.	Vous devez vous promettre un fidèle service, Car j'ai le trou si large et le seufflet si gros Que ie puis aisément du vent qui est enclos R'allumer tout le feu que ce Royaume enserre PÈre le reueierois le lu clémentane, S'il se trouvait éteint par quelque grand malheur, Cependant grand-merci d'un si insigne honneur.
Plu tonToy qui eſtant laquais a batu la ſemelle Tu ſeras icy bas vn porteur de nouuelle, Me Ieruiras par tout, & dans le neu ſecret Tu prendras ta demeure & le tiendras bien net, Tu portera l’eſponge à Dame Proſerpine Auecques le carreau de ma grand concubine.	Plu tonToi qui étant laquais a battu la semelle Tu seras ici bas un porteur de nouvelle, Me Jerviras par tout, et dans le neu secret Tu prendras ta demeure et le tiendras bien net, Tu portera l'éponge à Dame Proserpine Avec le carreau de ma grand concubine.
Lrasise de.	Lrasise de.
Grand Roy ie me reſſens viuement obligé De ſouffrir que chés vous ie me trouue logé Auec la dignité qui m'eſt plus conuenable, en quoy ie tacheray de vous eſtre agréable.	Grand Roy raison me ressens vivement obligé De souffrir que chez vous ie me trouve logé Avec la dignité qui m'est plus convenable, en quoi quelque tacherai de vous chang agréable.
Pluton.	Pluton.
Quand a vous raretac laurs inaitre vacher Il vous faut vn eſtat propre à ce beau meſtier:	Quand à vous raretac laurs inaitre vacher Il vous faut un état propre à ce beau métier:
Ie vous donne le foing de mon portier cerbere, Mon dragon, ma vautour, auecques ma vipere, Mes couleures, crapaux, anguilles & ſerpens Et generalement des beſtes de ceans.	Je vous donne le foin de mon portier cerbère, Mon dragon, ma vautour, avec ma vipère, Mes couleures, crapaux, anguilles et serpens Et généralement des bêtes de céans.
Naleiac.	Naleiac.
Grand Prince des Demons que par voſtre ſageſſe Vous vous accommodés à noſtre petiteſſe.	Grand Prince des Demons que par votre sagesse Vous vous accommodés à notre petitesse.
Pluton.	Pluton.
Il n’en reſte donc plus que trois à contenter	Il n'en reste donc plus que trois à contenter
G ij Et puis vous pourres tous moir Royaume habiter.	G ij Et puis vous pourrez tous moir Royaume habiter.
La Broche.	La Broche.
Sire, il n'eſt pas beſoing de nous donner d’office Nous ne meritons pas vn ſi grand benefice.	Sire, il n'est pas besoin de nous donner d'office Nous ne méritons pas un si grand bénéfice.
Pluton.	Pluton.
Tous ceux qui ont ſeruy le Seigneur Nirazam, Auront dans mon Royaume vn azile certain Et ie leur donneray quelque charge honnorable;	Tous ceux qui ont servi le Seigneur Nirazam, Auront dans mon Royaume un asile certain Et De leur donnerai quelque charge honorable;
Selon que chacun d’eux s’en trouuera capable.	Selon que chacun d'eux s'en trouvera capable.
Vous Meſſires la Proche autrefois Tabouret VOus reres le y pue Mlamre de Subarer Auſſi bien aymés vous à faire bonne chere:	Vous Messires la Proche autrefois Tabouret VOus reres le y pue Mlamre de Subarer Aussi bien aimez -vous à faire bonne chère:
Et vous prendrés le ſoing de ma cuiſine entiere.	Et vous prendrez le soing de ma cuisine entière.
La Bezace.	La Bezace.
Il eſt bien vray grand Roy qu’aſſez heureuſe I ay eſté dans Paris marchand de chair humaine Et ie vous promets bien que dans voſtre domainc I’en trafiqueray tant que de monopoleur On me ſur nommera le grand appareilleur, Ce pendant toutefois ie vous rend mille graces De nous auoir donné aux enfers bonnes places.	Il est bien vrai grand Roi qu'assez heureuse I ai été dans Paris marchand de chair humaine Et Très vous promets bien que dans votre domainc J'en trafiquerai tant que de monopoleur On me sur nommera le grand appareilleur, Ce pendant toutefois je vous rend mille grâces De nous avoir donné aux enfers bonnes places.
vous eſtes bien heureux que monſieur Nirazam.	vous êtes bien heureux que monsieur Nirazam.
A faict auec Pluton vn pacte clandeſtin.	A fait avec Pluton un pacte clandestin.
Car luy & vous & eux qui ont volé en France Seroient icy venus ſeulement a patence, Car tous les Pariſiens contre vous irtitez, Peut eſtre vous aurolent ſi rudement traictez Et auroient tellement mis vos membres en pieces Qu’en l’air il eut falu paſſer voſtre vielleſſe Pour vous mieux ſouſtenir, riez mes bons enfans Vous auez leur argent & vous eſtes conrens.	Car deux et vous et eux qui ont volé en France Seraient ici venus seulement à patence, Car tous les Parisiens contre vous irtitez, Peut été vous aurolent si rudement traitez Et auraient tellement mis vos membres en pièces Qu'en l'air il eut fallu passer votre viellesse Pour vous mieux soutenir, riez mes bons enfants Vous avez leur argent et vous êtes conrents.
