A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
85 Et quelle ſe retire » Pour ietter autre part, » Son aymable ſoubrire " Vn gracieux hazard.	85 Et quelle se retire " Pour jeter autre part, " Son aimable soubrire " Un gracieux hasard.
» Tout le monde auec elle Prend ſon vol incertain, 32 Et d’vne courſe iſnelle » Luy va tendre la main.	" Tout le monde avec elle Prend son vol incertain, 32 Et d'une course isnelle " Lui va tendre la main.
Quant le Prince Maurist L’auoit à ſes coſtez Heureuſement propice Exempt d'aduerſitez.	Quant le Prince Maurît L'avait à ses côtés Heureusement propice Exempt d'adversité.
Ceux luy faiſoient hommage, Qui maintenant luy font Rorter vout euſe ombruge Qui luy noirciſt le front.	Ceux lui faisaient hommage, Qui maintenant avoir font Rorter vout euse ombruge Qui Qui noircît le front.
L’enfant laiſſe le Pere En ſa calamité Cherchant du ſort proſpere L'heureuſe Deité.	L'enfant laisse le Père En sa calamité Cherchant du sort prospère L'heureuse Déité.
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Theodoſe fils de l’Empereur.	Théodose fils de l'Empereur.
5 Amais mon cœur fidel n’enfanta telle rage, Sle) Iamais ie ne porté ce ſinistre courage, De trahir mon Seigneur, mon bon Pere, mon Roy Enſon aduerſité luy violant la foy, Que plustoſt des enfers l’execrable Megere Sortant me precipite au profond de la terre, Me donnant les tourmens du viel Tantalean, Du iazard Ixion, ou du Prometheans.	5 Amais mon cœur fidel n'enfanta telle rage, Sle) Iamais M ne porté ce sinistre courage, De trahir mon Seigneur, mon bon Père, mon Roy Izon aduersité Seigneur violant la foi, Que plutôt des enfers l'exécrable Mégère Sortant me précipite au profond de la terre, Me donnant les tourments du viel Tantale, Du jasard Ixion, ou du Prométhéans.
O deſtin rigoureus, ô Parques infidelles, N'auiez vous pas aſſez dans voz trames mortelles, Enflé de malheurs tiſſus d’aduerſitez, Sans nous ourdir encor d’autres calamitez, Failloit il qu'vn ſoupçon d’vn deceuant image Aig riſſe contre moy de mon Roy le courage.	Ô destin rigoureus, ô Parques infidèles, N'aviez -vous pas assez dans voz trames mortelles, Enflé de malheurs tissus d'adversité, Sans nous ourdir encor d'autres calamités, Faillait -il qu'un soupçon d deceuant image Aig risse contre moi de mon Roi le courage.
De mon bien-aymé Pere, ah!	De mon bien-aymé Père, ah!
que pluſtost la mort Ne darda contre moy ſon violent effort, Alors qu'eſtant au champs mes gens me viendrent dires Que l'on m’auoit eſleu gouuerneur de l’Empires.	A plutôt la mort Ne darda contre moi son violent effort, Alors qu'étant au champs mes gens me viendrent dires Que l'on m'avait esleu gouuerneur de l'Empires.
Ceſtoit vers le my-iour quant le brillant Arches Au plus haut eſleué, vient ſes trets decocher, Et frappant ſes cheuaux d’vne forte houßine Faict auancer ſon char au droict de la marine, Mes chiens iappoient encor, & de meurtriere dent Tirans hachoient le Cerf qui ſ'en alloit mourant, Et n’ayant plus recours à ſes rameuſes armes, Faiſoit de ces deux yeux couler des rondes larmes, Moy ie me repoſois ſoubs les bras d’vn Ormeau Au tige haut & droict, au refriſé rameau Detournant la ſueur qui baignoit mon viſage, Cauſée par l’effort de ce plaiſir ſauuage, Quand i’entendis le ſon aux plaines d’alentour D’vne creuſe trompette, & d’vn bruyant tambour.	Certait vers le mi-jour quant le brillant Arches Au plus haut élevé, vient ses trets décocher, Et frappant ses chevaux d'une forte houssine Fait avancer son char au roit de la marine, Mes chiens jouaient encor, et de meurtrière dent Tirants hachaient le Cerf qui s'en allait mourant, Et n'ayant plus recours à ses rameuses armes, Faisait de ces deux yeux couler des rondes larmes, Moy ie me reposais soubs les bras d'un Ormeau Avait tige hauteur et droit, au refrisé rameau Oignant la sueur qui baignoit mon visage, Causée par effort de ce plaisir sauuage, Nan entendis le son a vis age creuse trompette, et bruyant tambour.
Et me leuant ſus pieds i’apperceu mes gendarmes, Qui tiroient droict vers moy, equippez de leurs armes a Prince me dirent ils, il eſt temps deſormais De laiſſer les bourgeois de ces ombreus palais, Laiſſez les Cerfs fuyars que tuez à la courſe, Et trampé voſtre acier dedans vn autre ſource Dans le ſein ennemy d’vn Phocas orgueilleus, Qui pour vous detroſner, eſmaille furieus, Du ſang de vos Soldats les prairies voiſines, Soubtenu par l’effort de ſes bandes mutines, Si vous euſtes iamais de couronne ſoucy, Si le ſoing paternel point vostre cœur aufei, Reprenez le harnois endocez la cuirace, Et monſtrez ce iourd’huy voſtre guerriere audace, Contre ce deſloyal qui pariurant ſa foy Se faict iniuſtement des Romulides Roy,	Et me levant sus pieds j'aperçu mes gendarmes, Qui tiraient droit vers moi, équipez de leurs armes à Prince me dirent ils, il est temps désormais De laisser les bourgeois de ces ombreus palais, Laissez les Cerfs fuyars que tuez à la course, Et trampé votre acier dedans un autre source Dans le sein ennemi d'un Phocas orgueilleus, Qui pour vous détrôner, émaille furieus, Du sang de vos Soldats les prairies voisines, Soubtenu par effort de ses bandes moindre, Si vous eût y de ne soucy, Si le soing paternel point vôtre cœur aufei, Reprenez le harnois endocez la cuirace, Et monstrez ce y vous guerrière audace, Contre ce déloyal qui pariurant sa foi Se y iniustement des Romulides Roy,
Son nom vole par tout, ſa forte renommée De peuples d’alentour augmente ſon armée Le Danube, le Rhin ſont à luy preſentez Et ceux qui ſont touſiours de la Biſe eſuentez, Iuy ont tendu la main, ceſte trouppe fidelle Seulette à refisté à ſa force rebelle Qui vous eſlit pour Roy, pour chef pour Empereux Vous leur eſtes außi legitime Seigneur Non pas c’eſt aſſaßin, qui ſe veut faire maiſtre En deplaçant les Roys de leur antique ſceptre.	Son nom vole par tout, sa forte renommée De peuples d'alentour augment son armée Le Danube, le Rhin sont à lui présentez Et ceux qui sont toujours de la Bise éventez, Juy ont tendu la main, cette troupe fidèle Tte à refisté à sa force rebelle Qui vous élit pour Roi, pour chef pour Empereux Vous leur êtes aussi légitime Seigneur Non pas c'est assassin, qui se veut faire maître En déplaçant les Rois de leur antique sceptre.
Ils auoient acheué quant la paſle frayeur, Faiſoit la froide ronde à l’entour de mon cœur Ie taſché toutesfois de rappeller l’audace Ie demandé ma lance, & mon corps de cuirace Qu'on me mit ſur le dos, i'eus l’acier dans la main, Et ayant la poitrine outrée de deſdain, Ie reſout d’achepter vne playe mortelle De mon ſang espandu pour ſi iuſte querelle, Mais comme i’entendis que ia de toutes pars Aux villes & citez bouffoient ſes eſtandars, Que nul humain pouuoir, n’auroit ceſte puiſſance D’arreſter le torrent de ſon outrecuidance Ie priay mes Soldats par les hoſtes des cieux, Par les Anges gardiens de ces terrestres lieux, Par le Ciel courroucé, à noz malheurs prospere, De ne vouloir iamais abandonner mon Pere Pour traiſtre le liurer à ſes fiers ennemis, Foulans aux pieds la foy qu’ils luy auoient promis.	Ils avaient achevé quant la pâle frayeur, Faisait la froide ronde à l'entour de mon cœur Je tâché toutefois de rappeler l'audace Je demandé ma lance, et mon corps de cuirace Qu'on me mit sur le dos, j'eus l'acier dans la main, Et ayant la poitrine outrée de dédire, Je résout d'achepter une plaie mortelle De mon sang épandu pour si juste querelle, Mais comme j'entendis que j' abu pars Aux villes et cités bouffaient ses étendards, Que nul ain ait, n'auroit ceste puissance arrêter le torrent de son outrecuidance Ie priay mes Soldats par les hôtes des cieux, Par les Anges gardiens de ces terrestres lieux, Par le Ciel courroucé, n malheurs prospere, De ne vouloir ' a mon Pere Ur ait le liurer se fiers vis, Foulans aux pieds la foi ils lui auoient promis;
Lors leur chef m’œilladant, me dict en ceſte ſorte, Prince, ſ'il vous plaiſt veoir le paquet que ie porte	Lors leur chef m'œilladant, me dit en cette sorte, Prince, s'il vous plaît veoir le paquet que ici porte
Vous y lirez dedans la ſaincte volonté De ce ſcadron icy aux armes indomté, Qui vous faict gouuerneur de la Romaine terre Ou a voſtre refus Germain voſtre beau Pere, » Ne le refuſez pas, il n’y a rien ſi cher 91 Vne couronne aſſez ne ſe peut achepter.	Vous y lirez dedans la sainte volonté De ce scadron ici aux armes indomté, Qui vous fait gouverneur de la Romaine terre Ou a quelque refus Germain votre beau Père, " Ne le refusez pas, il n'y a rien si cher 91 Vne couronne assez ne se peut acheter.
A ces mots ie m’enflame ainſi qu’en la fournaiſe Au ſoufler d’Aquilon on voit ardre la braiſe, Et pouſſant de ma bouche vn parler animé De fiel, & de courrous chaudement allumé, Ie luy dis en ce terme, ah!	À ces mots Seigneur m'enflamme ainsi qu'en la fournaise Au souffler d'Aquilon on voit ardre la braise, Et poussant de ma bouche un parler animé De fiel, et de courrous chaudement allumé, Je lui dis en ce terme, ah!
traiſtre plein d’audace, As tu oſé ietter ces mots deuant ma face?	traître plein d'audace, As tu osé jeter ces mots devant ma face?
Mots moüillez dans le iuz d’vne amere poiſon, Penſant de m’abreuer de lache trabiſon, Par le Prince du Ciel, par le Soleil ie iure Qua peine ie me tiens de vanger ceſte iniure, O Dieu qu'ay-ie forfaict ay-ie point irrité Par quelque horrible faict voſtre diuinité, De plaire à ces mutins, & de leur ſembler propre En trahiſſant mon Pere à vn ſi lache opprobre, Allés, allés trouuer mon beau Pere Germain, Et plantés ſ’il luy plaiſt le ſceptre dans ſa mainQuant à moy ie ſeré compagnon de conſtance, Et iamais le deſtin n’aura ſur moy puiſſance Pour me faire changer auec l’inſtable ſort, Que pluſtoſt ie ne ſois priſonnier de la mort.	Mots mouillez dans le juz d'une âme poison, Pensant de m'abreuer de lache trabison, Par le Prince du Ciel, par le Soleil avait jure Qua peine tu me tiens de venger cette injure, Ô Dieu qu'ai-je forfaict ai-je point irrité Par quelque horrible fait votre divinité, De plaire à ces mutins, et de leur sembler propre En trahissant mon Père à un si lache opprobre, Allz, allés trouver mon beau Per Main, Et plantés s'il avait plaît le re dans sa maintes à mo ie ser compagnon à mo, Et y se destin aura sur ô puissance Pour m faire gnon de çinstable sort, Et jamais le de sois non de la mort.
En diſant ces propos:	En disant ces propos:
i’apperceus que la bande Des traiſtres reuoltés, reportoit ſon offrande A mon Pere Germain, qui comme i’auois faict La reietta bien loing deteſtant ce forfaict,	j'aperçus que la bande Des traîtres révoltés, réportait son offrande À mon Père Germain, qui comme j'avais fait La reietta bien loin détestant ce forfait,
Prince vrayement fidel, qui ayme la fortune, D'vn amour tout egal, ſoit elle blanche ou brune, Tandis la renommée haut au Ciel ſ'eſleuant, Qui croiſt de plus en plus qu’elle va cheminant, Met ſes eſtes aux pieds, allume cent chandelles, Et par tous les quartiers annonce des nouuelles, Monſtre horrible, & cruel) qui ſe trouue touſious Pour troubler le repos dans les Royalles cours Qui dans vn mortier ſeul, inconſtante, & muablePile, l'erreur, le faux, auec le veritable, Va mon Pere trouuer qui ploroit ſon ennuy, Et luy dict que i’auois coniuré contre luy, Luy monſtrant vn paquet qui portoit teſmoignée La foy de mes Soldats d’vne lettre ſignée, Ceste lettre diſoit que i’eſtois Empereur, Et mon Pere estimant que pour ceſte grandeur, I'auois rompu la foy qu’vn enfant doit au Pere S'eſchaufa tellement de bruſlante colere, Contre Germain, & moy qu’encores à preſent, Il voudroit de nous faire à la mort vn preſent, Conſtamment reſolu de nous oſter la vie, Pleuſt au grand Dieu du Ciel qu'elle me fuſt rauis Moyennant que ie puiſſe auant que treſpaſſer De mon Pere irrité la grace meriter.	Prince vraiment fidel, qui aime la fortune, D'un amour tout égal, soit elle blanche ou brune, Tandis la renommée haut au Ciel s'esleuant, Qui croît de plus en plus qu'elle va cheminant, Met ses êtes aux pieds, allume cent chandelles, Et par tous les quartiers annonce des nouvelles, Montre horrible, et cruel) qui se trouve toujours Pour troubler le repos dans les Royales cours Qui dans un mortier seul, inconstante, et muablePile, l'erreur, le faux, avec le véritable, Va mon Pere trouuer qui ploroit son ennui, Et lui dict que a coniuré contreblé, monstrant V paquet qui rit tesmoignée a foi de mes Soldats e lettre signée, Ceste lettre disoitable estois Me, Et mon Pere estimant que mo ceste grandeur, auois rompu la foi enfant doit au Père S'eschaufa tellement de brûlante ô, Contre Germain, et moi uencores présent, Il voudroit de nous faire la mort présent, Constamment résolu de nous ôter la vie, Pleust a grand Dieu du Ciel qu'elle m fût ait Son que ie puisse en que trépasser De mon Pere irrité la grace méritery
C’eſt donc, c’eſt donc à toy, Innocence Deeſſe Aux veſtemens d’argent, à la dorée treſſe, Aux yeux rians & clers, au viſage riant Ornée par le front des ioyaux d’Orient C'eſt à toy que mes vœus, ſ'addreſſe & ma prieres Des palais eſtoillez hoſteſſe iournaliere, Chaſſe loing, tu le peus, le deceuant ſoupçon, Qui tient le cœur iré de mon Pere en priſon Et comme vn aſtre beau, darde vn tret de ta flame Afin qu’on puiſſe lire au dedans de mon ame.	C'est donc, c'est donc à toi, Innocence Déesse Aux vêtements d'argent, à la dorée tresse, Aux yeux riants et clers, au visage riant Ornée par le front des joyaux d'Orient C'est à toi que mes vœus, s'adresse et ma prières Des palais étoillez hôtesse journalière, Chasse loin, tu le pus, le décevant soupçon, Qui tient le cœur iré de mon Père en prison Et comme un maître beau, darde tret de ta flame De ta flamme lire au dedans de mon âme.
SCENE SECONDE On lenaimmmH dlos PHILIPIQVE.	SCÈNE SECONDE On lenaimmmH los PHILIQIQUE.
GERMAIN.	GERMAIN.
5 Rand Dieu qui cognoiſſez les ſecrets des morrelJNIS Qui percez clairement de vos yeux immortel, Par la lourde espaiſſeur de ceſte maſſe ronde, Et du plus haut du Ciel regardez tout le monde, Pourquoy ne rendez vous le forfaict euident Pour lequel on nous va à la mort pourſuiuant Dieu n’eſt-ce pas à vous, Dieu ô grand Dieu celeſte.	5 Rand Dieu qui connaissez les secrets des morreJlNIS Qui percez clairement de vos yeux immortel, Par la lourde épaisseur de cette masse ronde, Et du plus haut du Ciel regardez tout le monde, Pourquoi ne rendez vous le forfait évident Pour lequel on nous va à la mort poursuivant Dieu n'est-ce pas à vous, Dieu ô grand Dieu celeste.
De rendre des forfaicts l’autheur tout manifeſte, Vous œilladés par tout, & ſi cognoiſſez bien Quant les pauures humains font le mal ou le bien Vous allumez le iour au ſond d’vne poitrine, Et deſcouurés d’vn cœur l’entrepriſe maligne, Oſtés donc le bandeau, monstrés à deſcouuers Noſtre cœur innocent aux yeux de l’uniuers, Afin que le ſoupçon qui chaudement attiſe L'ire de l’Empereur, ia dans ſon ame espriſe Se puiſſe refroidir par l’innocent ruiſſeau, Qui laue noſtre cœur en l’argent de ſon eau, Mais n’eſt-ce pas icy, mon deplorable gendre, Son Dieu combien le C.	De rendre des forfaits l'auteur tout manifeste, Vous œilladez par tout, et si connaissez bien Quant les pauvres humains font le mal ou le bien Vous allumés le jour au sonds d'une poitrine, Et descouurés d'un cœur l'entreprise maligne, Ostés donc le bandeau, montrés à découverts Notre cœur innocent aux yeux de l'univers, Afin que le soupçon qui chaudement attise L'une de l'Empereur, j' un son âme éprise Se puisse refroidir par l'innocent ruisseau, Qui la nôtre ciel en largent de ' eau, Mais est-ce a ume, Maître le gendre, En L' combien pas Ç.
el verſe ſur nous deſclandre.	Elle verse sur nous déclandre.
THEODOSE.	THÉODOSE.
Pleuſt au maiſtre des Cieux que le bruſlant flambean De Iunon la Nopciere eut luict ſur mon tombeau, Iors quand de voſtre fille vne belle iournée, Me fiſt eſtre lespoux, & elle leſpouſée Ie ne ſerois helas à ceſte heure contrainct D'aualer la douleur dont ie me ſens attainct Ie n’aurois le ſoiscy de ſceptre ny couronne, Que l’auare grandeur des Royaumes nous donnt » La Royaiie grandeur paroist ſur vn rocher, 3 Qui ſemble de ſon chef les eſtoilles toucher " Ses palais ſourcilleux ſon brauache edifice nreu nen pour tous foſſez qu’vn profond precipice „ Abiſme de malheurs, ou les Roys plus ſouuent » Tombent precipités bouleuerſés du vent.	Plût au maître des Cieux que le brûlant flambean De Junon la Nopcière eut luict sur mon tombeau, Jors quand de votre fille un belle journée, Me fît chang lespoux, et elle lespousée Je ne serais hélas à cette heure contrainut D'avaler la douleur dont tu me Je attainct Le sois le soisci de sceptre ni couronne, Que l'avare grandeur des Royaumes nous donnée " La Roiaimie grandeur paraît sur un rocher, 3 Qui semble de son chef les étoilles toucher " Ses palais sourcilleux son brauache édifice nreu pour tous fossé profond précipice Abisme de malheurs, ou les Roys plus souuent » Tombent precipités bouleuersés du vent.
GERMAIN.	GERMAIN.
Ce qui feroit eſlire vne maiſon de chaume, Aulieu des toicts dorez d’vn ſuperbe Royaume, Eſt qu'à chaque moment aux Roys ſemblent de veoir Quelqu'vn qui veut tirer de leurs mains leur pouuoir, Le ſoucy n’y la peur ne leurs donnent relaſche Ib penſent que touſiours la couronne on arrache, Qui brille ſur leurs chefs, & iamais le ſommeil N'a ſçeu d’vn Roy craimtif fermer doucement l’œil, Qu'il n'aye au parauant trouué dedans ſa teste V'n millier de ſoupçons, qui bruyans y tempeſte, Iamais les flots baueus des palais azurés Accompagnés des vens auec eux coniuré,	Ce qui ferait élire une maison de chaume, Aulieu des toits dorés d'un superbe Royaume, Est qu'à chaque moment aux Rois semblent de voir Quelqu'un qui veut tirer de leurs mains leur pouvoir, Le souci n'y la peur ne leurs donnent relâche Ib pensent que toujours la couronne on arrache, Qui brille sur leurs chefs, et jamais le sommeil N'a su d'un Roy craimtif fermer doucement l'œil, Qu'il Qu'aie au parauant trouvé dedans sa tête VEn nier de soupçons, qui brûrant y tempête, Bots les bots bars bars d' eus Accompagnés des vens pu eux coniuré,
N’ont tant batus aux flancs d’vne rage mutine, Vn nauire agité ſur la bleüe marine, Que les Roys ſont batus d’ordinaires tourmens Qui vont deçà delà leurs esprits agitans Ainſi que quelquefois on voit la Paſtorelle Conduicte dans vn bois d’vn Berger infidelle Qui la hait, & qui veut d’elle ſe depetrer, Ayant fiché ailleurs ſon amoureux penſer, Alors qu’il l’apperçoit dormante ſur l’herbette Il ſ'eſcoule ſoudain, & la laiſſe ſeulette, Tandis le doux ſommeil qui luy ſille les yeux, Rameine au Ciel d’azur les medailles des Cieux Elle qui ſ'eſueillant n'apperçoit plus perſonne, Et regardant en baut la Lune qui rayonne Se leue ſur ſes pieds glacée de frayeur, Les ſouspirans Zephyrs ta font mourir de peur, Elle treſſailliſt toute, & toute deuient marbre Au moindre tremblement d’vne fueille ſur l’arbre Elle penſe de veoir ce qu’elle ne voit pas Chaque rameau tremblant luy eſt nouueau tresjas, De meſme vn Prince-Roy à chaque heure à chaque D’vne nouuelle mort nouuellement ſe meure:	N'ont tant batus aux flancs d'une rage mutine, Ven nauire agité sur la bleuer marine, Que les Rois sont battus d'ordinaires tourments Qui vont de là leurs esprits agitants Ainsi que quelquefois on voit la Pastorelle Conduite dans un bois d'un Berger infidèle Qui la hait, et qui veut d'elle se dépêtrer, Ayant fiché ailleurs son amoureux penser, Alors qu'il l'apperçoit dormante sur l'herbette Il s'écoule soudain, et la laisse seule, Tandis le doux re qui lui sille les yeux, Tan au Ciel dazur les medailles le Cieux Elle qui s'éveillant n'ô plusmme, Et regardant en baut la Lune qui rayonne Se lève sur ses pieds glacée de frayeur, Les souspirans Zephyrs ta font mourir de peur, Elle taît toute, et toute dévient marbre Au moindre tremblement fueille sur arbre Elle pense de ver ce elle ne voit pas Chaque rameau tremblant lui es nouueau tresjas, Re même Prince-Roy le heure chaque nouuelle mort nouuellement se meure:
heure Tantoſe ic ereum s effoindespenpresjes uoiſins Ou le cœur reuolté de ſes ſubiects mutins, Au front de ſes vaſſaulx il veut la peur empraincle, Et romesjonnumnet ſi de luy on a craincte.	heure Tantose ic ereum s effoindespenpresjes uaisins Ou le cœur révolté de ses sujets mutins, Au front de ses vassaulx il veut la peur empraincle, Et romesjonnumnet si de Seigneur on a crainte.
THEODOSE.	THÉODOSE.
Las!	Las!
nous ſentons combien les ialouſes fureurs Ammoncelent de maux enfielez de malheurs Qui ſommies par les vents des ſoupçons aduerſaires De l’innocente mort maintenans tributaires, De meſme que iadis le Prince ArcadienLe deſolé Phynée au lac Stymphalien Auoit pour compagnons de ſa vilaine table Les Harpyens oyſeaux au ventre inſatiable (Nourice des ſoupçons) qui ſi tost n’auoit pas Halené les vapeurs du Phyneen repas Que ces esprits gauchers, ces execrables beſtes Venoient deſſus ſes plats degorger mille peſtes, Tant que ce pauure Roy de ſa viellotte main A ſon ventre affamé n’ofoit donner du pain Qu'il ne ſoit pinceté de la bouche ennemie De ſes voleurs volans le ſupport de ſa vie, Ainſi les Roys vexés des ſoupçons odieux Ne voyent qu’a regret la lumiere des Cieux, Soit quand des le matin Apollon ſe reſueille Soit quand ſon char verſé dans les ondes ſommeille Ils ſentent les ſoupçons ça & la ſ'esbranler Et dedans leurs esprits comme mouſches voler.	nous sentons combien les jalouses fureurs Amoncelent de maux enfielez de malheurs Qui sommiez par les vents des soupçons adversaires De l'innocente mort maintenants tributaires, De même que jadis le Prince ArcadienLée désolé Phynée au lac Stymphalien Avait pour compagnons de sa vilaine table Les Harpyle oiseaux au ventre insatiable (Nourice des soupçons) qui si tôt n'avait pas Hal les a du Phyneen repas Que ces esprits pas, ces Hal bêtes Venoient dessus les va peur mille pestes, Tant du ce PhRoy de sa viellotte m A son ventre affamé ofoit donner du pain Qu'il ne soit pinceté de la bouche ennemie De ses voleurs volans le support de sa vie, Ainsi ces Roys ex desgnons ses Ne voient ua regret la le des Cieux, Soit quand des le matin Apollon se réveille Soit quand son char versé dans les sa vie Il sentent les soupçons Ta et la s'ébranler Et dedans leurs esprits ce rés voler.
PHILIPIQVE.	PHILIPIQUE.
Princes helas!	Princes hélas!
pour Dieu que vos pieds ſalutaires Derobent auiourd’huy les efforts ſanguinaires Du boüillant Empereur fierement depité, Qui branſlant ſur ſon chef un morion creté, Le coutelas au poing, endocé d’vne armeure Qui d’vn acier doré tout le corps luy emmeure.	pour Dieu que vos pieds salutaires Dérobent aujourd'hui les efforts sanguinaires Du bannant Empereur fièrement dépité, Qui branlant sur son chef un morion creté, Le coutelas au poing, endocé d'une armure Qui d'un acier doré tout le corps était emmeure.
Vous recherche à la mort, on bruict de toutes par, Le fer brille par tous en la maint des Soudars, Il eſt plus furieux qu’vne Ourſe montagnere Qui decoche l’horreur de ſa dent carnaciere Deſſus quelque chaſſeur qui à dans ſa maiſon Cautement derobé ſon plus cher nourriçon	Vous recherche à la mort, on bruit de toutes par, Le fer brille par tous en la maint des Soudars, Il est plus furieux qu'une Ourse montagne Qui décoche l'horreur de sa dent carnacière Dessus quelque chasseur qui à dans sa maison Cautement derobé son plus cher nourriçon
GERMAIN.	GERMAIN.
Bon Dieu que i’ay de peur, vray Dieu que i’ay de I’appelle à mõ ſecours la mere-vierge ſaincte, (craincte Et pour plus & ajſeurer en ce comodt mortel Ie m’en va de ce pas embraſſer ſon autel.	Bon Dieu que j'ai de peur, vrai Dieu que j'ai de J'appelle à mon secours la mère-vierge sainte, (crainte Et pour plus et ajurer en ce comodt mortel Je m’en va de ce pas embrasser son autel.
THEODOSE.	THÉODOSE.
Moy ie m’en va trouuer l’Empereur irrité.	Mo ie m'en va trouver l'Empereur irrité.
Vn Roy ne ſe fleſchiſt que par humilité, Ie pliray les genoux en adorant ſa face, S’il a pitié d’aucun ce ſera de ſa race.	Un Roi ne se fléchît que par humilité, Je plirai les genoux en adorant sa face, S'il a pitié d'aucun ce sera de sa race.
PHILIPIQVE.	PHILIPIQUE.
Ouy mais vous ſçauez que l’amere poiſon Du ſerpentin courrous, deſloge la raiſon Du cerueau ſon palais, puis l’ayant delogée I bruict plus que le feu dans Troye ſaccagée Tous les ſerpens eſlez des Hyrcaniques mons Tout ce qu’on voit és bois de Tigres vagabons Ne nous font tant de mal que ceſte ire eſchaufée Qui deſſus la raiſon emporte le trophée Ire, qui maintefois à par terre iettez Les plus ſuperbes murs des plus braues citez.	Oui mais vous savez que l'âme poison Du serpentin courrous, déloge la raison Du cerveau son palais, puis l'ayant délogée I bruit plus que le feu dans Troie saccagée Tous les serpens élez des Hyrcaniques mons Tout ce qu'on voit ès bois de Tigres vagabons Ne nous font tant de mal que cette ire échauffée Qui dessus la raison emporte le trophée Ire, qui maintefois à par terre jetés Les plus superbes murs des plus braves cités.
Mais le voicy venir prenez, prenez la fuite, Euitez ie vous pry ſa ſanglante pourſuite.	Mais le voici venir prenez, prenez la fuite, Euitez après vous pri sa sanglante poursuite.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
MAVRICE.	MAURICE.
PIERRE.	PIERRE.
TLODOGMHRDY,	TLODOGMHRDY,
MAVRICE.	MAURICE.
SVis que le iuste Ciel contre moy depité Cee Portant au front l’horreur de mon iniquité Ne me regarde plus que ſa celeſte toile Neprenne au lieu du pers, vne autre rouge voile.	SUis que le juste Ciel contre moi dépité Ce Portant au front l'horreur de mon iniquité Ne me regarde plus que sa celeste toile Neprenne au lieu du pers, une autre rouge voile.
Pour rougir de ma honte, & pour faire ſentir A mon ame adeulée vn poignant repentir Ie veus bien, ie veus bien que mon grand faux image, Aille esprit ſoubterrain ſur le triſte riuage N'eſtoit que ie n’ay pas, ô grand moteur des Cieux Encore ſatisfaict au dernier de mes vœux Donne moy, donne moy grand archer du tonnerre.	Pour rougir de ma honte, et pour faire sentir À mon âme adeulée un poignant repentir Je veux bien, je veux bien que mon grand faux image, Aille esprit souterrain sur le triste rivage N'était que sans n'ai pas, ô grand moteur des Cieux Encore satisfait au dernier de mes vœux Donne moi, donne moi grand archer du tonnerre.
La force auant ma mort d’y pouuoir ſatisfaire.	La force avant ma mort d'y pouvoir satisfaire.
Ie ne demande point que mon corps eſtendu Ne ſe baigne en ſon ſang fraichement espandu Tout ce que ie voudrois tout ce que ie demandes Eſt de pouuoir meurtrir ceſte traiſtreſſe bandeIe vous requiers en don d’vn iugement raßis Et la mort de Germain, & la mort de mon fils.	Je ne demande point que mon corps étendu Ne se baigne en son sang fraîchement épandu Tout ce que je voudrais tout ce que ici demandes Est de pouvoir meurtrir cette traîtresse bandeIe vous requiers en don d' Hugement rauss Et la mort de Germain, et la mort de mon fils.
PIERRE.	PIERRE.
Ostez de voſtre esprit ce trop boüillant courage, Etreprenez vn peu d’vn Pere le viſage Ne permettez iamais que ceſte aspre rigueur Vous eſchaufe le ſang, les membres, & le cœur, Voudries vous vous oster d’vne dextre meurtriere.	Ôstez de votre esprit ce trop boüillant courage, Étreprenez un peu d'un Père le visage Ne permettez jamais que cette âpre rigueur Vous échauffe le sang, les membres, et le cœur, Voudries vous vous ôter d'une dextre meurtrière.
t' vuaries vous vous oſter vous meſme la lumiere.	t' varies -vous vous ôter vous -même la lumière.
MAVRICE.	MAURICE.
Ie ne me l’oſte point, car ie ſçay que Phocas Par l’arreſt ſouuerain doit cauſer mon treſpas, Iuſtorauant que mourir ie veus que mon espée Soit au ſang de Germain, et de mon fils trempée,	Je ne me l'ôte point, car ainsi sais que Phocas Par l'arrêt souverain doit causer mon trépas, Justoravant que mourir Seigneur vus que mon épée Soit au sang de Germain, et de mon fils trempée,
LARDY.	LARDY.
Si vous voulez vos mains de voſtre ſang tacher En la ſorte il le faut d’vne espée toucher Voſtre ſang eſt le ſien, & le ſien eſt le voſtre 53 La vie d’vn enfant n’eſt autre que la noſtre.	Si vous voulez vos mains de votre sang tacher En la sorte il le faut d'une épée toucher Votre sang est le sien, et le sien est le vôtre 53 La vie d'un enfant n'est autre que la vôtre.
MAVRICE.	MAURICE.
Ouy bien d’vn enfant qui ne va traitrement D vn Pere dejote paſtir te monument Pour iouyr plus apres ce luy ſemble à ſon aiſe Des Royalles grandeurs que ſon trespas luy laiſſe,	Oui bien d'un enfant qui ne va traitrement D un Père déjoute pâtir te monument Pour jouir plus après ce homme semble à son aie Des Royales grandeurs que son trépas était laisse,
LARDY.	LARDY.
Il à l'eſprit trop doux pour telle cruauté,	Il à l'esprit trop doux pour telle cruauté,
MAVRICE.	MAURICE.
