ACT EVRS.	ACT EURS.
Au deffaut de ma vie, Que mille embraſſemens vous prouuent cette enuie:	Au défaut de ma vie, Que mille embrassements vous prouvent cette envie:
Mais le Roy va m’oſter mon vnique bon-heur, Carios vlem vousenciener.	Mais le Roi va m'ôter mon unique bonheur, Carios vlem vousenciener.
SCENE V.	SCÈNE V.
MONGIDE CEOTRIRE, D.	MONGIDE CEOTRIRE, D.
ALVAR, ELVIRE, LEONOR, CARLOS.	ALVAR, ÉLVIRE, LEONOR, CARLOS.
MONCADE.	MONCADE.
Ve fait le Roy?	Ve fait le Roi?
CARLOS.	CARLOS.
Seigneur Il eſt ſeul dans ſa chambre & par moy vous ordonne De quitter dans demain ſa Cour & Barcelonne, Et de vous retirer à voſtre autre maiſon Que ie viens de la part vous domer pour priſon.	Seigneur Il est seul dans sa chambre et par moi vous ordonne De quitter dans demain sa Cour et Barcelonne, Et de vous retirer à votre autre maison Que ie viens de la part vous domer pour prison.
ELVIRE bas.	ELVIRE bas.
Quoy Moncade exile:	Quoi Moncade exile:
LEONOR bas.	LEONOR bas.
Dieux!	Dieux!
CLOTAIRE bæ.	CLOTAIRE bæ.
Que viens-ie d’entendre!	Que viens-je d'entendre!
D.	D.
ALVAR.	ALVAR.
Diees vous vray Carlos?	Dières -vous vrai Carlos?
CARLOS.	CARLOS.
CARLOS.	CARLOS.
Ce coup doit vous ſurprendre Et i’en ay comme vous paru tout interdit:	Ce coup doit vous surprendre Et j'en ai comme vous paru tout interdit:
Mais mon ordre eſt expres,	Mais mon ordre est exprès,
MONCADE.	MONCADE.
C’eſt aſſez il ſuffit, De quelque rude coup dont ie ſente l’atteinte I'obeiray Carlos ſans murmure & ſans plainte, Vous pouuez de ma part en aſſeurer le Roy, Ie ne meritois pas le choix qu’il fit de moy, Il a connu du ſort l’erreur & le caprice Et ma diſgrace enfin témoigne ſa iuſtice.	C'est assez il suffit, De quelque rude coup dont Made l'atteinte J'obéirai Carlos sans murmure et sans plainte, Vous pouvez de ma part en assurer le Roi, Je ne méritais pas le choix qu'il fit de moi, Il a connu du sort l'erreur et le caprice Et ma disgrâce enfin témoigne sa justice.
Carlos ſort.	Carlos sort.
SCENEVI.	SCENEVI.
MONCADE, CLOTAIRE, D ALVAR, ELVIRE, LEONOR.	MONCADE, CLOTAIRE, D ALVAR, ÉLVIRE, LEONOR.
MONCADE.	MONCADE.
VOus Prince.	VOus Prince.
CLOTAIRE.	CLOTAIRE.
Piruinerent de deux de mes amis Et qu’ils m’ont auiourd’huy l’vn & l’autre remis, M’eſt depuis vn moment venu dans la memoire Ilfaut y donner ordre il y va de ma gloire, Ie dois les accorder, l’heure me preſſe adieu:	Piruinèrent de deux de mes amis Et qu'ils m'ont aujourd'hui l'un et l'autre remis, M'est depuis un moment venu dans la mémoire Ilfaut y donner ordre il y va de ma gloire, Je dois les accorder, l'heure me presse adieu:
ELVIRE.	ELVIRE.
Leonor oſtons nous promptement de ce lieu, On ne peut y durer tant le chaud eſt terrible Et dé-ja ie me ſens vne migraine horrible;	Leonor ôtons nous promptement de ce lieu, On ne peut y durer tant le chaud est terrible Et déjà grande me sens une migraine horrible;
O Dieux!	Ô Dieux!
quelle chaleur, ſauuons nous on y cuit.	quelle chaleur, sauvons nous on y cuit.
MONCADE.	MONCADE.
Voy là de ſes amys que la faueur produit, Dans le fragile cours d’vn bon-heur chymerique Tout porte ſon encens à l’Idole publique, Vne œillade, vn bien-fait, vne faueur du Roy, Entraîne auec éclat tous les cœurs apres ſoy;	Vois là de ses amis que la faveur produit, Dans le fragile cours d'un bonheur chymerique Tout porte son encens à l'Idole publique, œillade, était bienfait, une faveur du Roi, Entraine avec éclat tous les cœurs après soi;
On court où va la foule, on ſuit en abondance Le vent impetueux de cette bien-veillance:	On court où va la foule, on suit en abondance Le vent impétueux de cette bienveillance:
Ce rapide torrent apporte nuit & iour Aux pieds d’vn fauory tous les foins d’vne Cour;	Ce rapide torrent apporte nuit et jour Aux pieds d'un favori tous les foins d'une Cour;
Et dés le premier coup que le deſtin luy donne, Cét éclat ſe diſſipe, & chacun l’abandonne;	Et dès le premier coup que le destin ion donne, Cet éclat se dissipe, et chacun l'abandonne;
Et pour vnique fruit de ce vaſte bon-heur, Il ne luy reſte rien qu’vne iuſte douleur.	Et pour unique fruit de ce vaste bonheur, Il ne lui reste rien qu'une juste douleur.
Ah!	Ah!
que ie tiens, amy, celuy digne d’enuie, Qui ne met qu’en luy ſeul le bon-heur de ſa vie;	que ici tiens, ami, celui digne d'envie, Qui ne met qu'en luiprendre le bonheur de sa vie;
Qui fuyant des grandeurs l’appas pernicieux, Ne connoiſt que ſes ſens, ſon deuoir & les Dieux, Qu’vn homme ſans amis, & qui vit ſolitaire.	Qui fuyant des grandeurs l'appas pernicieux, Ne connaît que ses sens, son devoir et les Dieux, Qu'un homme sans amis, et qui vit solitaire.
D.	D.
ALVAR.	ALVAR.
Tout-beau, diſtinguez-moy d’Eluire & de Clotaire, Ie ne ſçay pas comme eux me regler fur le ſort, Et ie vous ſuy par tout, amy, iuſqu’à la mort.	Toutbeau, distinguez-moi d'Elvire et de Clotaire, Je ne sais pas comme eux me régler fur le sort, Et je vous suis par tout, ami, jusqu'à la mort.
MONCADE.	MONCADE.
Me ſuiure:	Me suivre:
ah!	ah!
que pluſtoſt la mort la plus cruelle.	que plutôt la mort la plus cruelle.
B ALVIIR.	 BLVIIR.
Vous refuſez en vain ces marques de mon zele;	Vous refusez en vain ces marques de mon zèle;
Ie vous ſuiuray.	Je vous suivrai.
MONCADE.	MONCADE.
Quoy donc, la diſgrace du Roy?	Quoi donc, la disgrâce du Roi?
DOM ALVAR.	DOM ALVAR.
I'en voy toute l’horreur, & la voy ſans effroy, Le Roy ne peut m’oſter que mes biens & ma vie, Ie vous dois l’vn & l’autre & vous les ſacrifie;	J'en vois toute l'horreur, et la voy sans effroi, Le Roi ne peut m'ôter que mes biens et ma vie, Je vous dois l'un et l'autre et vous les sacrifie;
Ne me reſiſtez plus?	Ne me résistez plus?
MONCADE.	MONCADE.
Mais au moins.	Mais au moins.
D.	D.
ALVAR.	ALVAR.
C’en eſt fait.	C'en est fait.
MONCADE.	MONCADE.
Ah!	Ah!
de tous les amis l’amy le plus parfait:	de tous les amis l'ami le plus parfait:
Et bien donc puiſqu’il faut que le deſtin m’accable, Et dans mes faux amis, & dans le veritable, Que l’excez de tendreſſe & l’excez de froydeur Déchirent tour à tour ẽgalement mon cœur:	Et bien donc puisqu'il faut que le destin m'accable, Et dans mes faux amis, et dans le véritable, Que l'excès de tendresse et l'excès de froideur Déchirent tour à tour dévalement mon cœur:
Il faut bien me reſoudre à ce dernier ſupplice, Et creuſer ſous vos pas moy-meſme vn precipice;	Il faut bien me résoudre à ce dernier supplice, Et creuser sous vos pas moi-même un précipice;
Le ſort le plus cruel m’auroit eſté trop doux, S’il n’auoit expoſé que moy ſeul à ſes coups:	Le sort le plus cruel m'aurait été trop doux, S'il n'avait exposé que moi seul à ses coups:
Il faut, pour adiouſter vn comble à ma miſere, Que tout ce qui m’eſt cher éprouue ſa colere:	Il faut, pour ajouter un comble à ma misère, Que tout ce qui m'est cher éprouve sa colère:
Puiſque vous m’arrachez ce dur conſentement, Sçachez ſi ie puis voir Lindamire vn moment, le reunia, dire adieu;	Puisque vous m'arrachez ce dur consentement, Sachez si personne puis voir Lindamire un moment, le reunia, dire adieu;
graces au Ciel mon cri ne Doit m’acquerir chez elle vne plus haute eſtime;	grâces au Ciel mon cri ne Doit m'acquérir chez elle une plus haute estime;
Et pour l’en informer venez ſçauoir de moy, D’où naiſt ce grand courroux que témoigne le Roy.	Et pour l'en informer venez savoir de moi, D'où naît ce grand courroux que témoigne le Roi.
Fin du ſecond Acte.	Fin du second Acte.
A I E I I I	À I E I I I
SCENE I.	SCÈNE I.
LINDAMIRE, D.	LINDAMIRE, D.
ALVAR.	ALVAR.
LINDAMIRE.	LINDAMIRE.
E que vous m’apprenez eſt à peine croyable, Cquoy eu dimil dont Moncade eſt coupable?	E que vous m'apprenez est à peine croyable, Cquoi eu dimil dont Moncade est coupable?
Ce grand counoux du Roy, cerenide la cour, N’a pour tout fondement que cẽt eſfet d’amour?	Ce grand counoux du Roi, cérénide la cour, N'a pour tout fondement que cent éfet d'amour?
Non Madame.	Non Madame.
D.	D.
ALVAR.	ALVAR.
LINDAMIRE.	LINDAMIRE.
A mon ſens la cauſe en eſt legere Et l’on met ayſement vn Monarque en colere.	À mon sens la cause en est légère Et l'on met aisément Un Monarque en colère.
D.	D.
ALVAR.	ALVAR.
Les Rois ſur leurs bien-faits ſont toûjours delicats, La faueur pour Moncade auoit trop peu d’appas;	Les Rois sur leurs bienfaits sont toujours délicats, La faveur pour Moncade avait trop peu d'appas;
Cette extréme froideur & cette indifference D’vn meſpris criminel ont ſouuent l’apparence, Les Princes ſont ialoux de leur authorité.	Cette extrême froideur et cette indifférence D'un mépris criminel ont souvent l'apparence, Les Princes sont jaloux de leur autorité.
Et veulent faire ſeuls noſtre felicité.	Et veulent faire seuls notre félicité.
2	2
LINDAMIRE.	LINDAMIRE.
I’ignorois iuſqu’icy que le pouuoir ſupréme D’euſt aſſeruir vn cœur aux droits du Diadéme, Je ſçauois qu’on doit craindre & qu’on doit obeïr, Mais pour la liberté d’aymer & de haïr;	J'ignorais jusqu'ici que le pouvoir suprême D'eût asservir un cœur aux droits du Diadème, Je savais qu'on doit craindre et qu'on doit obéir, Mais pour la liberté d'aimer et de haïr;
Ie croyois que les Rois la laiſſoient à nos ames, Et que l’amour deuſt ſeul ſe meſler de nos flames;	Je croyais que les Rois la laissaient à nos âmes, Et que l'amour dût seul se mêler de nos flammes;
Cette erreur ſe diſſipe, & ie commence à voir Qu’vn Roy peut ce qu’il veut, & n’a qu’à tout vouloir:	Cette erreur se dissipe, et notre commence à voir Qu'un Roi peut ce qu'il veut, et n'à qu'à tout vouloir:
Toutesfois ie ne ſçay s’il pert ſans repugnance Vn homme de ce poids, & de cette importance:	Toutefois rien ne sais s'il pert sans répugnance Un homme de ce poids, et de cette importance:
Son cœur deuroit du moins à Moncade vn combat, Il eſt depuis dix ans l’appuy de cét Eſtat;	Son cœur devrait du moins à Moncade un combat, Il est depuis dix ans l'appui de cet État;
Deux fois nous auons veu Barcelonne troublée, Et luy ſeul r’affermir la Couronne ébranlée;	Deux fois nous avons vu Barcelonne troublée, Et deux seul raffermir la Couronne ébranlée;
Tant de fameux exploits parlent en ſa faueur, Tant de fidelité, de reſpect, de ferueur, Ses biens, les vœux publics, ſon credit, ſa naiſſance, Rien n’a porté ſon cœur à la moindre licence, Il fut toûjours ſoûmis aux ordres de ſon Roy, Et de tous ſes deſirs il ſe fit vne loy;	Tant de fameux exploits parlent en sa faveur, Tant de fidélité, de respect, de ferveur, Ses biens, les vœux publics, son crédit, sa naissance, Rien n'a porté son cœur à la moindre licence, Il fut toujours soumis aux ordres de son Roi, Et de tous ses désirs il se fit une loi;
Se peut-il que ce Prince ait perdu la memoire De tant de grands exploits, de merite & de gloire.	Se peut-il que ce Prince ait perdu la mémoire De tant de grands exploits, de mérite et de gloire.
63	63
DOM ALVAR.	DOM ALVAR.
Quoy que faſſe vn ſujet ſon Roy ne luy doit rien, Nous luy faiſons toûjours vn preſent de ſon bien;	Quoi que fasse un sujet son Roi ne lui doit rien, Nous lui faisons toujours un présent de son bien;
Et l’on ne peut iamais ſans eſtre temeraire, En faiſant ſon deuoir eſperer vn ſalaire:	Et l'on ne peut jamais sans être téméraire, En faisant son devoir espérer un salaire:
Ne murmurons donc point, & voyez ſeulement i Moncade poulra vous parler virioment.	Ne murmurons donc point, et voyez seulement y Moncade poulra vous parler viroment.
LINDAMIRE.	LINDAMIRE.
Ouy, ie l’attens icy, vous pouuez l’y conduire, Dans mon appartement quelqu’vn nous pourroit nuire, On ſe peut des faſcheux icy mieux garantir.	Oui, Seigneur l'attends ici, vous pouvez l'y conduire, Dans mon appartement quelqu'un nous pourrait nuire, On se peut des fâcheux ici mieux garantir.
DOM ALVAR.	DOM ALVAR.
Ne vous éloignez pas, ie cours l’en aduertir.	Ne vous éloignez pas, ie cours l'en avertir.
D e unad a lo	D e ad a lo
LINDAMIRE ſeule.	LINDAMIRE seule.
IE m’importunez plus fierté trop écoutée, N Taiſez-vous voſtre force eſt enfin furmontée;	JE m'importunez plus fierté trop écoutée, N Taisez-vous vôtre force est enfin surmontée;
Orgueil, crainte, ſoupçons, déguiſemens, froideur, Sortez tous pour jamais de mon timide cœur;	Orgueil, crainte, soupçons, déguisements, froideur, Sortez tous pour jamais de mon timide cœur;
Vous auez trop long-temps tyranniſé mon ame, Eclattez, éclattez pure & ſecrette flame, Noble & fidele amour ſi long-temps combattu, Eſclaue infortuné d’vne auſtere vertu, Ne cache plus tes feux à qui les a fait naiſtre, Parle, innocent amour, il eſt temps de paroiſtre;	Vous avez trop longtemps tyrannisé mon âme, Eclattez, éclattez pure et secrète flamme, Noble et fidèle amour si longtemps combattu, Esclave infortuné d'une austère vertu, Ne cache plus tes feux à qui les a fait naître, Parle, innocent amour, il est temps de paraître;
Moncade eſt mal-heureux, dans cette extremité, Tu ſeras moins amour que generoſité;	Moncade est malheureux, dans cette extrémité, Tu seras moins amour que générosité;
Fais-toy voir tout entier, la pitié qui te monſtre, Derobe nua jeuxiurpects.	Fais-toi voir tout entier, la pitié qui te montre, Dérobe nua jeuxiurpects.
An:	An:
laicheure rencontre.	laichure rencontre.
SCENE III.	SCÈNE III.
LINDAMIRE, CLOTAIRE.	LINDAMIRE, CLOTAIRE.
CLOTAIRE.	CLOTAIRE.
Adame, ayant appris qu’vn long banniſſement IVl Dans ce iour vous alloit dérober vn amant, Ie viens pour reparer cette perte cruelle Apporter à vos pieds vn cœur tendre & fidelle;	Adame, ayant appris qu'un long bannissement IVl Dans ce jour vous allait dérober un amant, Je viens pour réparer cette perte cruelle Apporter à vos pieds un cœur tendre et fidèle;
Vn cœur, vn foible cœur tout percé de vos coups, Et qui n’auoit iamais ſoûpire que pour vous.	Un cœur, un faible cœur tout percé de vos coups, Et qui n'avait jamais soupire que pour vous.
LINDAMIRE.	LINDAMIRE.
Dieux, quelle lâcheté!	Dieux, quelle lâcheté!
l’offre eſt conſiderable, Et c’eſt prendre à propos le moment fauorable;	l'offre est considérable, Et c'est prendre à propos le moment favorable;
Vn cœur qui ſuit la hayne, ou la fureur du Roy, Eſt vn pre ent honneſte, & fort digne de moy;	Un cœur qui suit la haine, ou la fureur du Roi, Est un pré ent honnête, et fort digne de moi;
Qui pour les bons amis à ce point s’intereſſe, Perſuade aiſément l’eſprit d’vne maiſtreſſe;	Qui pour les bons amis à ce point s'intéresse, Persuade aisément l'esprit d'une maîtresse;
Et ie dois m’aſſeurer de l’ardeur de vos feux, Par l’air dont vous traittez Moncade mal-heureux.	Et grande dois m'assurer de l'ardeur de vos feux, Par l'air dont vous traitez Moncade malheureux.
CLOTAIRE.	CLOTAIRE.
Ouy, Madame, en effet ma hayne pour Moncade Vous découure ma flâme, & vous la perſuade;	Oui, Madame, en effet ma haine pour Moncade Vous découvre ma flamme, et vous la persuade;
Quand vn cœur ſçait haïr fortement vn riual, Il doit eſtre embraſé d’vn amour ſans égal;	Quand un cœur sais haïr fortement un rival, Il doit être embrasé d'un amour sans égal;
Et plus vous connoiſſez que ma hayne eſt extrẽme, Plus vous deuez iuger que Clotaire vous aime.	Et plus vous connaissez que ma haine est extrême, Plus vous devez juger que Clotaire vous aime.
LINDAMIRE.	LINDAMIRE.
voitre cœur à tenuee graldieu bientecree , S’il n’eſt de bonne foy, du moins il eſt diſcret;	voitre cœur à tenuée graldieu bientecree , S'il n'est de bonne foi, du moins il est discret;
Vous auez de l’eſprit, ſi vous n’eſtes ſincere, Et ſçauez feindre enfin ſi vous ne ſçauez plaire.	Vous avez de l'esprit, si vous n'êtes sincère, Et Savez feindre enfin si vous ne savez plaire.
CLOTAIRE.	CLOTAIRE.
Il eſt vray qu’vn reſpect contraire à mon ardeur A long-temps renfermé ce beau feu dans mon cœur;	Il est vrai qu'un respect contraire à mon ardeur A longtemps renfermé ce beau feu dans mon cœur;
I’ay caché mes ſoûpirs, i’ay retenu ma plainte:	J'ai caché mes soupirs, j'ai retenu ma plainte:
Mais enfin mon amour eſt plus rort que ma crainte;	Mais enfin mon amour est plus rort que ma crainte;
Il faut me declarer, c’eſt pour vous que ie meurs:	Il faut me déclarer, c'est pour vous que ici meurs:
A ce mot armez-vous de toutes vos rigueurs;	À ce mot armez-vous de toutes vos rigueurs;
Iiil Milporte, re hieurs auec moins de ſouffrance, Par voſtre cruauté, que par mon long ſilence.	Jiil Milporte, ré jeurs avec moins de souffrance, Par votre cruauté, que par mon long silence.
LINDAMIRE.	LINDAMIRE.
Le Roy pour voſtre mal eſt vn grand Medecin, Le reſpect eût dans peu tranché voſtre deſtin:	Le Roi pour votre mal est un grand Médecin, Le respect eût dans peu tranché votre destin:
.	.
B iiij Mais le prompt appareil d’vn moment de diſgrace Eſt contre le ſilence vn remede efficace, Et la fortune ſçait de merueilleux ſecrets Pour prolonger les iours des amans trop diſcrets,	 Bijà Mais le prompt appareil d'un moment de disgrâce Est contre le silence un remède efficace, Et la fortune sait de merveilleux secrets Pour prolonger les jours des amants trop discrets,
CLOTAIRE.	CLOTAIRE.
Quoy railler à mes yeux d’vne ardeur ſi ſincere, Ml.	Quoi railler à mes yeux d'une ardeur si sincère, Ml.
momirez-moy pluitoit toute voſtre colere, En amour le courroux eſt moins iniurieux.	momirez-moi pluitoit toute vôtre colère, En amour le moment est moins injurieux.
LINDAMIRE.	LINDAMIRE.
Ah!	Ah!
vous me demandez vn plus grand ſerieux, I’exauce auec plaiſir vne telle priere, Et veux bien vous monſtrer mon ame toute entiere;	vous me demandez un plus grand sérieux, J'exauce avec plaisir quelque telle prière, Et veux bien vous montrer mon âme toute entière;
Oſez-vous bien porter le nom que vous portez, Et monſtrer à mes yeux toutes vos laſchetez;	Osez-vous bien porter le nom que vous portez, Et montrer à mes yeux toutes vos lâcheté;
Eſclaue du deſtin, Prince indigne de l’eſtre, Apres la laſcheté que vous faites paraître, Oſez-vous bien m’offrir vos vœux & voſtre amour;	Esclaue du destin, Prince indigne de l'être, Après la lascheté que vous faites paraître, Osez-vous bien m'offrir vos vœux et votre amour;
Allez vil Courtiſan, Cameleon de Cour, Cachez-moy pour iamais vos feux & voſtre audace, Et faites vos preſens à quelqu’ame plus baſſe, Apprenez.	Allez vil Courtisan, Camèleon de Cour, Cachez-moi pour jamais vos feux et votre audace, Et faites vos présents à quelqu'âme plus basse, Apprenez.
CLOTAIRE.	CLOTAIRE.
C’en eſt trop, certe extreme fureur Va iuſques aux meſpris, & paſſe la rigueur, Vous laiſſant emporter à cette violence, Vous donnez vn champ libre à ma iuſte vengeance;	C'en est trop, certe extrême fureur Va jusques aux mépris, et passe la rigueur, Vous laissant emporter à cette violence, Vous donnez un champ libre à ma juste vengeance;
Ie ſçay plus d’vn moyen pour la bien exercer:	Je sais plus d'être moyen pour la bien exercer:
Ie ne dis rien de plus & vous laiſſe y penſer.	Je ne dis rien de plus et vous laisse y penser.
LINDAMIRÉ.	LINDAMIRÉ.
La haine ou l’amitié d’vn homme de ta ſorte.	La haine ou l'amitié d'un homme de ta sorte.
Ah-ye!	Ah-ie!
Eluire paroiſt.	Elvire paraît.
SCENE IV.	SCÈNE IV.
LINDAMIRE, ELVINE.	LINDAMIRE, ÉLVINE.
ELVIRE.	ELVIRE.
QVel courroux vous tranſporte?	QUel courroux -vous transporte?
LINDAMIRE.	LINDAMIRE.
La douleur de trouuer noſtre ſiecle infecté, Par tant de perhdie, & tant de laichete, De voir ſi peu d’amis dans le temps où nous ſommes, Et de voir l’intereſt le nieu de tous les hommes.	La douleur de trouver notre siècle infecté, Par tant de pérédie, et tant de laichète, De voir si peu d'amis dans le temps où nous sommes, Et de voir l'intérêt le nieu de tous les hommes.
ELVIRE.	ELVIRE.
Ceſtii voitie douieur, a ce que ie puis voir L’amour pour le prochain a ſur vous grand pouuoir:	Cestii voitie douieur, à ce que je puis voir L'amour pour le prochain a sur vous grand pouvoir:
Que vous importe ou non le mal qui ſe pratique, Reſpondez-vous aux pieux de la candeur publique?	Que vous importe ou non le mal qui se pratique, Respondez-vous aux pieux de la candeur publique?
LINDAMIRE.	LINDAMIRE.
Non, mais ſi noſtre ſiecle eſtoit plus genereux, On n’accableroit pas mes amis malheureux:	Non, mais si notre siècle était plus généreux, On n'accablerait pas mes amis malheureux:
Clotaire qui trahit Moncade en ſadiſgrace, pre citoit virrorraſt ir'en auron pas l’audace, Le nom de faux amy le combleroit d’horreur, S’il eſtoit abhorré parmy les gens d’honneur:	Clotaire qui trahit Moncade en sadisgrace, pré citait virrorrast iren ron pas l'audace, Le nom de faux ami le comblerait d'horreur, S'il était abhorré parmi les gens d'honneur:
Mais ſon ame à ce crime aiſement ſe diſpenſe, Parce qu’en general il paſſe pour prudence,	Mais son âme à ce crime aisément se dispense, Parce qu'en général il passe pour prudence,
ELVIRE.	ELVIRE.
C’en eſt vne en effet, & ie tiens quant à moy, Que c’eſt vn grand fardeau que le courroux d’vn Roy, Il le faut éuiter auec vn ſoin extreme, Et le premier amour eſt l’amour de ſoy-meſme.	C'en est une en effet, et ainsi tiens quant à moi, Que c'est un grand fardeau que le courroux d'un Roi, Il le faut éviter avec un soin extrême, Et le premier amour est l'amour de soi-même.
LINDAMIRE.	LINDAMIRE.
Vous vous aimez beaucoup?	Vous vous aimez beaucoup?
ELVIRE.	ELVIRE.
Quoy vous aimez-vous moins?	Quoi vous aimez-vous moins?
Pour moy monbon neur fait le premlier de mes ſoins;	Pour moi monbon neur fait le premier de mes soins;
Icy bas le bons ſens giſt à ſe rendre heureuſe.	Ici bas le bons sens gît à se rendre heureuse.
LINDAMIRE.	LINDAMIRE.
Certes ie vous croyois l’ame plus genereuſe;	Certes ie vous croyais l'âme plus généreuse;
Et ſçachant à quel poinct Moncade vous fut cher, Ie croyois que ſon ſort deuſt au moins vous toucher.	Et sachant à quel point Moncade vous fut cher, Je croyais que son sort dût au moins vous toucher.
ELVIRE.	ELVIRE.
Vous en iugez par vous à ce que i’en puis croire?	Vous en jugez par vous à ce que j'en puis croire?
LINDAMIRE.	LINDAMIRE.
Ouy ion mai-neur me toucne, & de plus i’en fais gloire, Ie pleins ſenſiblement l’eſtat où ie le voy.	Oui ion mai-neur me toucne, et de plus j'en fais gloire, Je pleins sensiblement l'état où tu le vois.
ELVIRE.	ELVIRE.
Le Ciel vous fit le cœur plus ſenſible qu’à moy?	Le Ciel vous fit le cœur plus sensible qu'à moi?
LINDAMIRE.	LINDAMIRE.
Clotaire en fait voir vn ſi fort ſemblable au voſtre, Que ie croy que les Dieux les ont fait l’vn pour l’autre;	Clotaire en fait voir un si fort semblable au vôtre, Que je crois que les Dieux les ont fait l'un pour l'autre;
Ie trouue en vos humeurs vn merueilleux rapport, Comme luy vous ſuiuez l’inconſtance du fort;	Je trouve en vos humeurs un merveilleux rapport, Comme lui vous suivez l'inconstance du fort;
Voſtre ſincerité l’vne à l’autre reſſemble, Et ce couple parfait eſt digne qu’on l’aſſemble.	Votre sincérité l'une à l'autre ressemble, Et ce couple parfait est digne qu'on l'assemble.
BEVTRE.	BEUTRE.
Auec iuſte raiſon voſtre eſprit eſt aigry, On vole avos bontez les ioins d’vn fauory;	Avec juste raison votre esprit est aigri, On vole avos bontés les joins d'un favori;
Grondez pour ſoulager vn ſi cruel martyre;	Grondez pour soulager un si cruel martyre;
Là ie ſuis voſtre amie, & vous pouuez tout dire.	 ie Là votre amie, et vous pouvez tout dire.
LINDAMIRE.	LINDAMIRE.
Oſez-vous ſans rougir?	Osez-vous sans rougir?
ELVIRE.	ELVIRE.
Dieux quel emportement!	Dieux quel emportement!
Voyez-vous ce que c’eſt que de perdre vn amant;	Voyez-vous ce que c'est que de perdre un amant;
I’ignorois que ce mal eût tant de violence, Ne l’ayant iamais ſceu par mon experience;	J'ignorais que ce mal eût tant de violence, Ne l'ayant jamais su par mon expérience;
On me l’auoit bien dit qu’il eſtoit fort preſſant:	On me l'avait bien dit qu'il était fort pressant:
Mais i’auois quelques vers pour vn amant abſent;	Mais j'avais quelques vers pour un amant absent;
Où font-ils?	Où font-ils?
Elicu ilanrleaa Iuſte Ciel!	Élicu ilanrlea Juste Ciel!
ELVIRE.	ELVIRE.
Ie les tiens, Elegie:	Je les tiens, Élégie:
Deſtins qui m'enleuez la moitié de ma vie;	Détins qui m'enlevez la moitié de ma vie;
Ouy ce les ſont ſans doute, eſcoutez:	Oui ce les sont sans doute, écoutez:
LINDAMIRE.	LINDAMIRE.
Ha, grands Dieux!	Ha, grands Dieux!
ELVIRE.	ELVIRE.
Ciel qui viens d’ordonner qu'vn taur viue en deux lieux:	Ciel qui viens d'ordonner qu'une taur vive en deux lieux:
Le ſtile en eſt fort tendre.	Le style en est fort tendre.
LINDAMIRE.	LINDAMIRE.
Ame double & volage!	Âme double et volage!
LECIRE.	LECIRE.
Quoy cela vous aigrit encore dauantage, Ie ne ſçay rien de mieux pour calmer voſtre ennuy, Ie voy bien qu’il vous faut laiſſer ſeule auiourd’huy.	Quoi cela vous aigrit encore davantage, Je ne sais rien de mieux pour calmer votre ennui, Je vois bien qu'il vous faut laisser seule aujourd'hui.
LINDAMIRE.	LINDAMIRE.
Hé bons Dieux dans le rang où cette femme eſt née!	Hé bons Dieux dans le rang où cette femme est née!
Son cœur peut-il.	Son cœur peut-il.
ELVIRE.	ELVIRE.
Adieu l’amante infortunée.	Adieu l'amante infortunée.
e du lan vo LINDAMIRE ſeule.	 Je lan vo LINDAMIRE seule.
I tu pouuois inger combien il eſt honteux O D’inſulter lâchement aux foibles malheureux, Quels que ſoient les tourmens que mon ame doit crain?	I tu pouuois inger combien il est honteux Ô D'insulter lâchement aux faibles malheureux, Quels que soient les tourments que mon âme doit crain?
dre, Tu croirois de nous deux eſtre la plus à plaindre:	dre, Tu croirais de nous deux être la plus à plaindre:
Mais Moncade paroiſt.	Mais Moncade paraît.
SCENE VI.	SCÈNE VI.
MONCADE, EINDAMIRE.	MONCADE, EINDAMIRE.
HElas, Seigneur, helas!	HÉlas, Seigneur, hélas!
Il eſt donc vray que rien n’eſt durable icy bas, Mes yeux m’apprennent donc que vous eſtes le meſme, Que ce iour ils ont veu dans vn bonheur extreme, Et que tout cét éclat, quand il plaiſt au deſtin, Paſſe comme vne fleur dans le cours d’vn matin;	Il est donc vrai que rien n'est durable ici bas, Mes yeux m'apprennent donc que vous êtes le même, Que ce jour ils ont vu dans un bonheur extrême, Et que tout cet éclat, quand il plaît au destin, Passe comme une fleur dans le cours d'Han matin;
par quel charme faut-il que ie me perſuade, Dé vous voir malheureux, & de vous voir Moncade.	par quel charme faut-il que ainsi me persuade, Dé vous voir malheureux, et de vous voir Moncade.
MONCADE.	MONCADE.
Par vn ſort dont mon cœur adore le courroux, Puiſqu’il peut ſe flatter de l’éprouuer pour vous:	Par un sort dont mon cœur adore le courroux, Puisqu'il peut se flatter de l'éprouver pour vous:
Ouy, Madame, le Ciel ne m’a paru propice, Qu’en vous offrant pour moy ce foible ſacrifice;	Oui, Madame, le Ciel ne m'a paru propice, Qu'en vous offrant pour moi ce faible sacrifice;
