TAVTE DETI MERMET	TAUTE DETI MERMET
ALCESTE.	ALCESTE.
Les Rieurs ſont pour vous Madame c’eſt tout dire;	Les Rieurs sont pour vous Madame c'est tout dire;
Et vous pouués pouſſer, contre, moy, la Satire.	Et vous pouvez pousser, contre, moi, la Satire.
PHILINTE.	PHILINTE.
Mais il eſt veritable, auſſi que voſtre eſprit Le gendarmes, touſiours, contre tout ce qu’on dit;	Mais il est véritable, aussi que votre esprit Le gendarmes, toujours, contre tout ce qu'on dit;
Et que, par vn chagrin, que luy-meſme il auouë, Il ne ſçauroit ſouffrir qu’on blâme, ny qu’on louë.	Et que, par un chagrin, que lui-même il avoue, Il ne saurait souffrir qu'on blâme, Seigneur qu'on loue.
ALCESE.	ÀLCESE.
C’eſt que iamais, morbleu, les Hommes n’ont raiſon, Que le chagrin, contr’eux, eſt touſiours de Sailons,	C'est que jamais, morbleu, les Hommes n'ont raison, Que le chagrin, contr'eux, est toujours de Sailons,
Et que ie voy qu’ils ſont, ſur toutes les A ffaires, noueurs impertinens, ou cenſeurs temeraires.	Et que ici vois qu'ils sont, sur toutes les A saires, noueurs impertinents, ou censeurs téméraires.
Mais.	Mais.
CELIMENE.	CELIMENE.
ALCESTE.	ALCESTE.
Non, Madame, non quand i’en deurois mourir, Vous auez des plaiſirs que ie ne puis ſouffrir;	Non, Madame, non quand j'en devrais mourir, Vous avez des plaisirs que je ne puis souffrir;
Le rona tori iey de Murii dana roile Miile, ce grand attachement aux Defauts qu’on y blâme.	Le rona tori ici de Muri dana royle Miile, ce grand attachement aux Défauts qu'on y blâme.
CLITANDRE.	CLITANDRE.
Pour moy, ie ne ſçay pas, mais i’auoûray tout haut, Que i’ay crû, iuſqu’icy, Madame ſans Defaut.	Pour moi, Seigneur ne sais pas, mais j'avourai tout haut, Que j'ai cru, jusqu'ici, Madame sans Défaut.
ACASTE.	ACACSTE.
De Graces, & d’Attrais, ie voy qu’elle eſt pourueuë;	De Grâces, et d'Attrais, je vois qu'elle est pourueuë;
Mais les Defauts qu’elle a, ne frapent point ma veuë.	Mais les Défauts qu'elle a, ne frappent point ma vue.
ALCESTE.	ALCESTE.
Ils frapent tous la mienne, & loin de m’en cacher, Elle ſçait que i’ay ſoin de les luy reprocher.	Ils frappent tous la mienne, et loin de m'en cacher, Elle sait que j'ai soin de les esprit reprocher.
Plus on aime quelqu’vn, moins il faut qu’on le flate;	Plus on aime quelqu'un, moins il faut qu'on le flatte;
A ne rien pardonner, le pur Amour éclate;	À ne rien pardonner, le pur Amour éclate;
Ru le damniuipanojseuuscensumicdſanalis;	Ru le damniuipanojseuuscensumicdsanalis;
Que ie verrois ſoûmis à tous mes Sentimens, Et dont, à tous propos, les moles complaiſances Donneroient de l’encens à mes extrauagances,	Que rendre verrais soumis à tous mes Sentiments, Et dont, à tous propos, les môles complaisances Donneraient de l'encens à mes extravagances,
CELIMENE.	CELIMENE.
enfin, s’il faut qu’à vous, s’en raportent les cœurs, On doit, pour bien aimer, renoncer aux douceurs;	enfin, s'il faut qu'à vous, s'en rapportent les cœurs, On doit, pour bien aimer, renoncer aux douceurs;
ui du parfait Amour?	Oui du parfait Amour?
mettre l’Honneur ſupreme, A bien iniurier les perſonnes qu’on aime.	mettre l'Honneur suprême, À bien injurier les personnes qu'on aime.
ELIANTE.	ÉLIANTE.
L’Amour, pour l’ordinaire, eſt peu fait à ces toix, Et l’on void les Amans vanter touſiours, leur chois:	L'Amour, pour l'ordinaire, est peu fait à ces toix, Et l'on voit les Amants vanter toujours, leur chois:
Iamais, leur Paſſion n’y void rien de blaſmable, Et dans l’Obiet aimé, tout leur devient aimable;	Jamais, leur Passion n'y voit rien de blâmable, Et dans l'Obiet aimé, tout leur devient aimable;
Ils comptent les defauts pour des perfections, Et ſçauent y donner des fauorables Noms, La Pâle, eſt aux Iaſmins, en blancheur comparable;	Ils comptent les défauts pour des perfections, Et savent y donner des favorables Noms, La Pâle, est aux Jasmins, en blancheur comparable;
La Noire, à faire peur, vne brune adorable;	La Noire, à faire peur, une brune adorable;
La Maigre, a de la taille;	La Maigre, a de la taille;
& de la liberté;	et de la liberté;
La Graſſe, eſt dans ſon port pleine de Maieſté;	La Grasse, est dans son port pleine de Majesté;
La Mal propre ſur ſoy, de peu d’attraits chargée, Eſt miſe ſur le nom de Beauté negligée;	La Mal propre sur soi, de peu d'attraits chargée, Est mise sur le nom de Beauté négligée;
La Géante, paroiſt vne Deeſſe aux yeux;	La Géante, paraît une Déesse aux yeux;
La Naine, vn Abregé des Merueilles des cieux;	La Naine, un Abregé des Merveilles des cieux;
L’Orgueilleuſe, à le cœur digne d’vne couronne;	L'Orgueilleuse, à le cœur digne d'une couronne;
La Fourbe a de l’Eſprit;	La Fourbe a de l'Esprit;
la Sotte, eſt toute bonne;	la Sotte, est toute bonne;
La trop grande Parleuſe, eſt d’aggreable Humeur;	La trop grande Parleuse, est d'agréable Humeur;
nou niuette y garue vne honneſte pudeur.	nouv nivette y garue une honnête pudeur.
c’eſt ainſi, qu’vn Amant, dont l’ardeur eſt extréme, Aime, luiqu aux Lelauts des Perlonues qu’il aime,	c'est ainsi, qu'un Amant, dont l'ardeur est extrême, Aime, luiqu aux Lelauts des Perlonves qu'il aime,
ALCESTE.	ALCESTE.
Et moy, ie ſoûtiens, moy.	Et moi, Seigneur soutiens, moi.
CELIMENE.	CELIMENE.
Briſons là, ce diſcours, Et daua la daiele, anons iale deua tvares Quoy!	Brisons là, ce discours, Et dava la daièle, ânons jale deva tares Quoi!
vous vous en allez, Meſſieurs?	vous vous en allez, Messieurs?
CLITANDRE & ACASTE.	CLITANDRE et ACASTE.
Non pas, Madame.	Non pas, Madame.
ALCESIE.	ÀLCESIE.
La peur de leur depait, occupe fort voſtre Ame, Seitib, qud vous voudrez, Meſſieurs;	La peur de leur dépait, occupe fort votre Âme, Seitib, qud vous voudrez, Messieurs;
mais i’auertis, Que ie ne ſors qu’apres que vous ſerez ſortis.	mais j'avertis, Que ie ne sors qu'après que vous serez sortis.
ACASTE.	ACACSTE.
A moins de voir Madame en eſtre importunée.	À moins de voir Madame en être importunée.
Rien ne m’appelle, ailleurs de toute la iournée.	Rien ne m'appelle, ailleurs de toute la journée.
CLITANDRE.	CLITANDRE.
Moy, pourueu que ie puiſſe eſtre au petir couché, Ie n’ay point d’autre Alrane, ou le lon annenê.	Moi, pourvu que ainsi puisse être au petir couché, Je n'ai point d'autre Alrane, ou le lon annenê.
CELIMENE.	CELIMENE.
C en pourmle, lecioy.	Ç en pourmle, leciai.
ALCESTE.	ALCESTE.
Non en aucune ſorte, Nous vellos, ne ert inoy, que vous vouurez qui ſorte.	Non en aucune sorte, Nous vellos, ne ert inoi, que vous vourez qui sorte.
SCENE V.	SCÈNE V.
BASQVE, ALCESTE, CELIMENE, EMVIL 5 ACOID 5 ILILNIES CLITANDRE.	BASQUE, ALCESTE, CELIMENE, EMVIL 5 ACOID 5 ILILNIES CLITANDRE.
BASQVE.	BASQUE.
Onſieur, vn Homme eſt là, qui voudroit vous 174 parler.	Onsieur, un Homme est là, qui voudrait vous 174 parler.
Pour Affaire, dit-il qu’on ne peut reculet,	Pour Affaire, dit-il qu'on ne peut reculet,
ALCESTE.	ALCESTE.
oj faj;	oj faj;
que le naj porut d'Ananes i preſſées.	que le naj orut d'Ananes y pressées.
BASQVE.	BASQUE.
Il porte vne Iaquette, à grand Baſques pliſſées, Auce du Dor deſſus,	Il porte une Iaquette, à grand Basques plissées, Auce du Dor dessus,
CELIMENE.	CELIMENE.
Allez voi ce que derel Ou bien, faites-le entrer.	Allez voi ce que derel Ou bien, faites-le entrer.
ALCESTE.	ALCESTE.
Qu’eſt-ce, donc, qu’il vous plaiſt.	Qu'est-ce, donc, qu'il vous plaît.
Venez Monſieur.	Venez Monsieur.
SCENE VI.	SCÈNE VI.
GARDE, ALCESTE, CELIMENE, ELIANTE, ACASTE, PHILINTE, CLITANDRE.	GARDE, ALCESTE, CELIMENE, ÉLIANTE, ACASTE, PHILINTE, CLITANDRE.
GARDE.	GARDE.
MOnſieur, i'ay deux mots à vous dire.	MOnsieur, j'ai deux mots à vous dire.
ALCESTE.	ALCESTE.
ſtruire.	struire.
GARDE.	GARDE.
Meſſieurs, les Marelchaux, dont i’ay cõmandement, Vous mandent de venir les trouuer promprement, Monſieur.	Messieurs, les Marelchaux, dont j'ai commandement, Vous mandent de venir les trouver promprement, Monsieur.
ALCESTE.	ALCESTE.
Qui?	Qui?
moy;	moi;
Monſieur;	Monsieur;
GANDL.	GANDL.
Vous meime.	Vous meime.
ALCESTE.	ALCESTE.
Et pourquoy faite?	Et pourquoi faite?
PHILINTE.	PHILINTE.
C’eſt d’Oronte, & de Vons, la ridicule Affaire.	C'est d'Oronte, et de Vons, la ridicule Affaire.
Comment » CELIMENE.	Comment " CÉLIMENE.
PHILINTE.	PHILINTE.
Oronte, & luy, ſe ſont tantoſt brauez, Sur certains petits Vers, qu’il n’a pas approuuez;	Oronte, et lui, se sont tantôt bravez, Sur certains petits Vers, qu'il n'a pas approuvez;
Et l’on veut aſſoupir la choſe, en ſa naiſſance.	Et l'on veut assoupir la chose, en sa naissance.
ALCESTE.	ALCESTE.
Moy, ie n’auray, iamais, de lâche Complaiſance.	Moi, Seigneur n'aurai, jamais, de lâche Complaisance.
PHILINTE.	PHILINTE.
Mais il raut Iuiure l’Ordre, alions, umpolez-vous.	Mais il raut Juivre l'Ordre, alions, umpolez-vous.
ALCESTE.	ALCESTE.
Quel accommodement veut-on faire entre nous?	Quel accommodement veut-on faire entre nous?
La Voix de ces Meſſieurs, me condamnera-t’elle A trouuer bons les Vers qui font noſtre Querelle?	La Voix de ces Messieurs, me condamnera-t-elle A trouver bons les Vers qui font notre Querelle?
Ie ne me dédis pome de te que ronay uiti Ie les trouue méchans.	Je ne me dédis pome de te que ronai uiti Je les trouve méchants.
PHILINIE.	PHILINIE.
Mais d’vn plus doux eſprit.	Mais d'autre plus doux esprit.
ALCESTE.	ALCESTE.
Ie n’en démordray point, les Vers ſont execrables,	Je n'en démordrai point, les Vers sont exécrables,
PHILINTE.	PHILINTE.
Vous deuez faire voir des Sentimens traitables;	Vous devez faire voir des Sentiments traitables;
Allons, venez.	Allons, venez.
ALCESIE.	ÀLCESIE.
I’iray, mais rien n’aura pouuoir.	J'irai, mais rien n'aura pouvoir.
De me ſaire dédire.	De me zaïre dédire.
PHILINTE.	PHILINTE.
Allons vous faire voir.	Allons vous faire voir.
ALCESTE.	ALCESTE.
Hors qu’vn Comandement expres du Rey me viene, De trouuer bons les Vers, dont-on ſe met en peine, Ie ſoutiendray, toûjours, morbleu, qu’ils sõt mauuais, Et qu’vn Homme eſt pendable, apres les auoir faits.	Hors qu'un Comandement exprès du Rei me viene, De trouver bons les Vers, dont-on se met en peine, Je soutiendrai, toujours, morbleu, qu'ils sont mauvais, Et qu'un Homme est pendable, après les avoir faits.
da entiinmna CMcnne squiM.	da entiinmna CMcne siquiM.
;	;
raniu lagolenmemeurs?	raniv lagolenmemeurs?
ie ne croyois pas eſtre Si plaiſant que ie ſuis.	Ne ne croyais pas être Si plaisant que tu suis.
CELIMENE.	CELIMENE.
Allez viſte pareſtre Où vous deuez.	Allez vite paraître Où vous devez.
ALCESTE.	ALCESTE.
I’y vais, Madame, &, ſur mes pas, Ie reuiens en ce Lieu, pour vuider nos Debats.	J'y vais, Madame, et, sur mes pas, Je reviens en ce Lieu, pour vider nos Débats.
Fin du Second Acte.	Fin du Second Acte.
D ij	D ij
ACTE III.	ACTE III.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CLITANDRE, ACASTE.	CLITANDRE, ACASTE.
CLITANDRE.	CLITANDRE.
O HER Marquis, ie te voy l’Ame bien ſatisfaite, route choſe t’égaye, & rien ne t’inquiete.	Ô HÉR Marquis, ie te vois l'Âme bien satisfaite, route chose t'égaie, et rien ne t'inquiète.
7 En bonne foy, crois tu, ſans t’éB bloüir les yeux, LEEY Auoir de grands ſuiets de paroi	7 En bonne foi, crois -tu, sans t'éB blouir les yeux, LEY Avoir de grands sujets de paraître
ſtre ioyeux.	stre joyeux.
ACASTE.	ACACSTE.
Parbleu, ie ne voy pas, lors que ie m’examine, Où prendre aucun ſujet d’auoir l’Ame chagrine, I’ay du bien, ie ſuis ieune, & ſors d’vne maiſon Qui ſe peut dire Noble, auec quelque raiſon;	Parbleu, Seigneur ne vois pas, lors que je m'examine, Où prendre aucun sujet d'avoir l'Ame chagrine, J'ai du bien, je suis jeune, et sors d'une maison Qui se peut dire Noble, avec quelque raison;
Et ie croy, par le Rang que me donne ma Race, Qu’il eſt fort peut d’emplois, dõt ie ne ſois en paſſe.	Et petit crois, par le Rang que me donne ma Race, Qu'il est fort peut d'emplois, do ie ne sois en passe.
Pour le cœur, dont, ſur tout, nous deuons faire cas, On ſçait ſans vanité, que ie n’en manque pas;	Pour le cœur, dont, sur tout, nous devons faire cas, On ait sans vanité, que notre n'en manque pas;
et l’on ma veu pouſſer, dans le monde, vne Affaire, D’vne aſſez vigoureuſe, & gaillarde maniere.	et l'on ma vu pousser, dans le monde, une Affaire, D'une assez vigoureuse, et gaillarde manière.
Pour l’eſprit, i’en ay, ſans doute, & du bon goû.	Pour l'esprit, j'en ai, sans doute, et du bon goû.
A iuger ſans Etude, & raiſonner de tout;	À juger sans Étude, et raisonner de tout;
A faire aux Nouueautez, dont ie ſuis idolâtre, Figure de Sçauant, ſur les Bans du Theatre;	À faire aux Nouveautés, dont ici suis idolâtre, Figure de Savant, sur les Bans du Théâtre;
Y décider, en Chef, & faire du Fracas A tous les beaux Endroits qui meritent des Has.	Y décider, en Chef, et faire du Fracas À tous les beaux Endroits qui méritent des Has.
Ie ſuis aſſez adroit, i’ay bon air;	Je suis assez adroit, j'ai bon air;
bonne mine,.	bonne mine,.
Les Dents belles, ſur tout, & la taille fort fine Quant à ſe mertre bien, ie croy, ſans me flater, Qu’on ſeroit mal venu, de me le diſputer.	Les Dents belles, sur tout, et la taille fort fine Quant à se montre bien, ie croy, sans me flatter, Qu'on serait mal venu, de me le disputer.
Ie me voy dans l’eſtime, autant qu’on y puiſſe eſtre Fort aimé du beau Sexe, & bien aupres du Maiſtre:	Je me vois dans l'estime, autant qu'on y puisse être Fort aimé du beau Sexe, et bien auprès du Maître:
Ie croy, qu’auec cela, mon cher Marquis, ie croy, Qu’on peut, par tout Pays, eſtre content de ſoy.	Je crois, qu'avec cela, mon cher Marquis, Elle crois, Qu'on peut, par tout Pays, notre content de soi.
CHITARDRE.	CHITARDRE.
Oüy, mais trouuant ailleurs, des conqueſtes faciles, Pourquoy pouſſer icy, des ſoûpirs inutiles;	Oui, mais trouvant ailleurs, des conquêtes faciles, Pourquoi pousser ici, des soupirs inutiles;
ACASTE.	ACACSTE.
Moy?	Moi?
parbleu, ie ne ſuis de taille, ny d’humeur, A pouuoir, d’vne Belle, eſſuyer la froideur.	parbleu, Seigneur ne suis de taille, ainsi d'humeur, A ussy, d'une Belle, essuyer la froideur.
c’eſt aux Gens mal tournez, aux Merites vulgaires, A brûler, conſtamment, pour des Beautez ſeueres;	c'est aux Gens mal tournés, aux Mérites vulgaires, À brûler, constamment, pour des Beautés sévères;
A languir à leurs piez, & ſouffrir leurs rigueurs, A chercher le ſecours des ſoûpirs, & des pleurs, Et tâcher, par des ſoins d’vne tres-longue ſuite, D’obtenir ce qu’on nie à leur peu de merite.	À languir à leurs pieds, et souffrir leurs rigueurs, A chercher le secours des soupirs, et des pleurs, Et tâcher, par des soins d'une très oblongue suite, D'obtenir ce qu'on nie à leur peu de mérite.
Mais les Gẽs de mon air, Marquis, ne ſont pas faits, Pour aimer à credit, & faire tous les frais.	Mais les Gens de mon air, Marquis, ne sont pas faits, Pour aimer à crédit, et faire tous les frais.
Quelque rare que ſoit le mérite des Belles.	Quelque rare que soit le mérite des Belles.
Ie penſe, Dieu mercy, qu’on vaut ſon prix, cõme elles;	Je pense, Dieu merci, qu'on vaut son prix, comme elles;
Que pour ſe faite hõneur d’vn cœur cõme le mien, Ce n’eſt pas la raiſon qu’il ne leur coûte riens Et qu’au moins, à tout mettre en de iuſtes Balances, Il faut, qu’à frais communs, ſe faſſent les auances.	Que pour se faite honneur d'un cœur homme le mien, Ce n'est pas la raison qu'il ne leur coûte rien Et qu'au moins, à tout mettre en de justes Balances, Il faut, qu'à frais communs, se fassent les avances.
CLITANDRE.	CLITANDRE.
Tu penſes, donc, Marquis, eltre fort bien icy?	Tu penses, donc, Marquis, eltre fort bien ici?
ACASTE.	ACACSTE.
I’ay quelque lieu, Marquis, de de le penſer ainſit	J'ai quelque lieu, Marquis, de de le penser ainsit
CLITANDRE.	CLITANDRE.
croy fioy juetuene toy de cette erreur extreme;	crois fioi juetuene toi de cette erreur extrême;
ru te flates, mon cher, & t’aueugles toy-méme.	ru te flatte, mon cher, et t'aveugles toi-même.
Aeno IE.	Ameno IE.
Il eſt vray, ie me flate, & m’aueugle, en effet.	Il est vrai, Seigneur me flatte, et m'aveugle, en effet.
CLTTANDRE Mais, qui te fait iuger ton bonheur ſi parfait?	CLTANDRE Mais, qui te fait juger ton bonheur si parfait?
le mie nater A CASTE.	le mie natter À CASTE.
CLITANDRE.	CLITANDRE.
sur quoy ionder tes conjectures?	sur quoi ionder tes conjectures?
Ie m’aueugle.	Je m'aveugle.
ACASTE.	ACACSTE.
CLITANDRE.	CLITANDRE.
En as- tu des preuues qui ſoient ſeures?	En as- tu des preuves qui soient sûres?
ACASTE.	ACACSTE.
de mabuie,te dis je	de mabuie,te dis -je
CLITANDR.	CLITANDR.
E.	E.
Eſt-ce que de ſes vœux, telimene t’a fait quelques ſecrets aueus?	Est-ce que de ses vœux, telimène t'a fait quelques secrets aveus?
ACASTE.	ACACSTE.
Romnoruis mal-traité.	Romannoruis maltraité.
CLITANDRE.	CLITANDRE.
Répond-moy, ie te prie.	Répond-moi, Seigneur te prie.
A CASTE.	À CASTE.
Ie n’ay que des rebuts.	Je n'ai que des rebuts.
CLITANDRE.	CLITANDRE.
Laiſſons la raillerie, it me dis quel eſpoir on peut t’auoir donné?	Laissons la raillerie, it me dis quel espoir on peut t'avoir donné?
ACASTE.	ACACSTE.
Ie ſuis le Miſerable, & toy le Fortuné, On a pour ma Perſonne, vne auerſion grande;	Je suis le Misérable, et toi le Fortuné, On a pour ma Personne, une aversion grande;
Et quelqu’vn de ces iours, il faut que ie me pende.	Et quelqu'un de ces jours, il faut que personne me pende.
CLITANDRE.	CLITANDRE.
O ça, veux tu Marquis, pour aiuſter nos vœux, Que nous tõbions d’accord d’vne choſe, tous deux?	Ô Ô, veux -tu Marquis, pour aiuster nos vœux, Que nous tombions d'accord d'une chose, tous deux?
Que qui pourra montrer vne marque certaine, D’auoir meilleure par au cœur de celimene.	Que qui pourra montrer une marque certaine, D'avoir meilleure par au cœur de celimène.
L’autre icy, fera place au Vainqueur prétendu, Et le deliurera d’vn Riual aſſidu?	L'autre ici, fera place au Vainqueur prétendu, Et le délivrera d'autre Rival assidu?
ACASTE.	ACACSTE.
niniparbleu, tu me plais, auec vn tel langage;	niniparbleu, tu me plais, avec un tel langage;
Et du bon de mon cœun,a cela le mengage.	Et du bon de mon cœur,a cela le mengage.
Mais chut.	Mais chut.
SCENE II.	SCÈNE II.
CELIMENE, ACASTE, CLITANDRE.	CELIMENE, ACASTE, CLITANDRE.
CELIMENE.	CELIMENE.
ENconiy,	ENconi,
CLTTANDRE.	CLTANDRE.
L’amour retient nos pas.	L'amour retient nos pas.
CELIMENE.	CELIMENE.
Ie viens d’oüir entrer vn caroſſe là-bas, Sçauez-vous qui c’eſt?	Je viens d'oüir entrer un carosse là-bas, Savez-vous qui c'est?
CLITANDRE.	CLITANDRE.
Non.	Non.
SCENE III.	SCÈNE III.
BASQVE, CELIMENE, ACASTE, CETTANDRE.	BASQUE, CÉLIMENE, ACASTE, CETANDRÉE.
BASQVE.	BASQUE.
TXRſinoé, Madame, Monte icy, pour vous voir,	TXRsinoé, Madame, Monte ici, pour vous voir,
CELIMENE.	CELIMENE.
Que me veut cette Femme!	Que me veut cette Femme!
BASQVE.	BASQUE.
Eliante, la bas, eſt à l’eutretenir.	Élyante, la bas, est à l'eutretenir.
CELIMENE.	CELIMENE.
Cequoy s’auiſe-telle, & qui la fait venir?	Cequoy s'avise-telle, et qui la fait venir?
ACASTE.	ACACSTE.
Pour Prude conſommée, en tous lieux, elle paſſe;	Pour Prude consommée, en tous lieux, elle passe;
Et l’ardeut de ſon zele.	Et l'ardut de son zèle.
CELIMENE.	CELIMENE.
Oüy, oüy, franche Grimace.	Oui, oui, franche Grimace.
Dãs l’Ame, elle eſt du mõde, & ſes ſoins tentẽt tout Pour acrocher quelqu’vn ſans en venir à bout.	Dans l'Âme, elle est du monde, et ses soins tentẽt tout Pour acrocher quelqu'un sans en venir à bout.
Elle ne ſçauroit voir, qu’auec vn œil d’enuie, Les amas declarez, dont vne autre eſt ſuiuie;	Elle ne saurait voir, qu'avec un œil d'envie, Les amas déclarez, dont une autre est suivie;
Et ſon triſte Merite, abandonné de tous, Contre le Siecle aueugle, eſt touſiours en courroux Elle tache à couurir, d’vn faux voile de Prude, Ce que, chez elle, on void d’affreuſſe Solitude;	Et son triste Mérite, abandonné de tous, Contre le Siècle aveugle, est toujours en courroux Elle tache à couvrir, d'un faux voile de Prude, Ce que, chez elle, on voit d'affreusse Solitude;
Et pour ſauuer l’honneur de ces foibles Appas, Elle attache du Ctime, au pouuoir qu’ils n’ont pas Cependant, vn Amant plairoit fort à la Dame, Et meſme, pour Alceſte, elle a tendreſſe d’Ame;	Et pour sauver l'honneur de ces faibles Appas, Elle attache du Ctime, au pouvoir qu'ils n'ont pas Cependant, un Amant plairoit fort à la Dame, Et même, pour Alteste, elle a tendresse d'Ame;
ce qu’il me rend de ſoins, outrage ſes Attraits, Elle veut que ce ſoit vn Vol que ie luy fais:	ce qu'il me rend de soins, outrage ses Attraits, Elle veut que ce soit un Vol que ie lui fais.
Et ſon jalous dépit, qu’auec peine, elle cache;	Et son jalous dépit, qu'avec peine, elle cache;
En tous endroits, ſous mains contre moy ſe détache.	En tous endroits, sous mains contre moi se détache.
Enfin, ie n’ay rien veu de ſi ſot, à mon gré, elle eſt impertinente au ſupreme Degré.	Enfin, Seigneur n'ai rien vu de si sot, à mon gré, elle est impertinente au suprême Degré.
SCENE IV.	SCÈNE IV.
ARSINOE', CELIMENE.	ARSINOE', CÉLIMENE.
CELIMENE.	CELIMENE.
AH!	AH!
quel heureux Sort, en ce Lieu, vous amene;	quel heureux Sort, en ce Lieu, vous amène;
Madame, ſans mentir, i’eſtois de vous en peine.	Madame, sans mentir, j'étais de vous en peine.
AlcolvE.	AlcolvE.
Ie viens, pour quelque auis que i’ay crû vous deuoir,	Je viens, pour quelque avis que j'ai cru vous devoir,
CELIMENE.	CELIMENE.
Ahlmon Dieu, que ie ſuis contente de vous voir!	Ahlémon Dieu, que ainsi suis contente de vous voir!
ARSINOE'.	ARSINOE.
Leur depart ne pouuuoit, plus à propos ſe faire.	Leur départ ne pouvait, plus à propos se faire.
GELIMENE.	GELIMENE.
Voulons-nous nous aſſeoir?	Voulons-nous nous asseoir?
ARSINOE’.	ARSINOE.
Il n’eſt pas neceſſaire, Madame;	Il n'est pas nécessaire, Madame;
l’Amitié doit ſur tout éclater Aux choſes, qui le plus, nous, peuuent importer;	l'Amitié doit sur tout éclater Aux choses, qui le plus, nous, peuvent importer;
Et cõme il n’en eſt point de plus grande importance, Que celles de l’Honneur, & de la Bienſeance.	Et comme il n'en est point de plus grande importance, Que celles de l'Honneur, et de la Bienseance.
Ie viens, par vn avis qui touche voſtre Honneur, Témoigner l’amitié que, pour vous, a mon cœur.	Je viens, par un avis qui touche votre Honneur, Témoigner l'amitié que, pour vous, à mon cœur.
Hier, i’eſtois chez des Gens;	Hier, j'étais chez des Gens;
de Vertu ſinguliere, Où ſur vous, du Diſcours, on tourna la matiere;	de Vertu singulière, Où sur vous, du Discours, on tourna la matière;
Et la, voſtre conduite, avec ſes grands éclats, Madame, eût le malheur qu’on ne la loüa pas.	Et la, votre conduite, avec ses grands éclats, Madame, eût le malheur qu'on ne la loua pas.
Cette foule de Gens dont vous ſouffrez viſite, Voſtre Galanterie, & les bruits qu’elle excite, Trouverent des cenſeurs plus qu’il n’auroit fallu, Et bien plus rigoureux que ie n’euſſe voulu.	Cette foule de Gens dont vous souffrez visite, Votre Galanterie, et les bruits qu'elle excite, Trouvèrent des censeurs plus qu'il n'aurait fallu, Et bien plus rigoureux que je n'eusse voulu.
Vous pouuez bien penſer quel Party ie ſçeus prẽdre;	Vous pouvez bien penser quel Parti ie sçeus prendre;
Ie fis ce que ie pûs, pour vous pouuoir defendre, Ie vous excuſay fort ſur voſtre intention, Et voulus, de voſtre Ame, eſtre la caution.	Je fis ce que Seigneur pus, pour vous pouvoir défendre, Je vous excusai fort sur votre intention, Et voulus, de votre Âme, une la caution.
Mais vous ſçauez qu’il eſt des choſes dans la vie, Qu’on ne peut excuſer, quoy qu’on en a enuie;	Mais vous savez qu'il est des choses dans la vie, Qu'on ne peut excuser, quoi qu'on en a envie;
Et ie me vis contrainte à demeurer d’accord.	Et grands me vis contrainte à demeurer d'accord.
Que l’air dont vous viuiez, vous faiſoit vn peu tort.	Que l'air dont vous viviez, vous faisait un peu tort.
Qu’il prenoit, dans le Monde, vne méchante face, Qu’il n’eſt cõte fâcheux que par tout on n’en faſſe;	Qu'il prenait, dans le Monde, une méchante face, Qu'il n'est compte fâcheux que par tout on n'en fasse;
Et que, ſi vous vouliez, tous vos déportemens Pouroient moins dõner priſe aux mauuais iugemens.	Et que, si vous vouliez, tous vos déportements Pouraient moins dõner prise aux mauvais jugements.
Non que i’y croye, au fonds, l’Honneſteté bleſſée, Me preſerve le Ciel d’en auoir la pensée;	Non que j'y croie, au fond, l'Honnêteté blessée, Me preserve le Ciel d'en avoir la pensée;
Mais, aux ombres du crime, on preſte aiſement foy, Et ce n’eſt pas aſſez, de bien viure pour ſoy.	Mais, aux ombres du crime, on prête aisément foi, Et ce n'est pas assez, de bien vivre pour soi.
madimherlerousemgmimodej Manable, Pour ne pas prendre bien, cet auis proſitable;	madimherlerousemgmimodej Anable, Pour ne pas prendre bien, cet avis prositable;
Et pour l’attribüer qu’au mouuemens ſecrets D’vn zele qui m’attache à tous vos intereſts.	Et pour l'attribuer qu'au mouvements secrets D'ils zele qui m'attache à tous vos intérêts.
CELIMENE.	CELIMENE.
Madame, i’ay beaucoup de graces à vous rendre, Vn tel auis m’oblige, & loin de le mal prendre,	Madame, j'ai beaucoup de grâces à vous rendre, Un tel avis m'oblige, et loin de le mal prendre,
I’en prétens reconnoiſtre à l’inſtant, la faueur, Par vn auis, auſſi, qui touche voſtre Honneur:	J'en prétends reconnaître à l'instant, la faveur, Par un avis, aussi, qui touche votre Honneur:
Et comme ie vous vois vous montrer mon Amie, En m’apprenant les bruits que de moy l’on publie, Ie veux ſuiure à mon tour, vn exemple ſi doux, En vous auertiſſant, de ce qu’on dit de vous.	Et comme ici vous vois vous montrer mon Amie, En m'apprenant les bruits que de moi l'on publie, Je veux suivre à mon tour, un exemple si doux, En vous avertissant, de ce qu'on dit de vous.
En vn lieu l’autre iour, où ie faiſois viſite, Ie trouuay quelques Gens, d’vn tres-rare merite, Qui parlent des vrais Soins d’vne Ame qui vit bien, Firent tomber, ſur vous Madame, l’entretien.	En un lieu l'autre jour, où je faisais visite, Je trouvai quelques Gens, d'un très -rare mérite, Qui parlent des vrais Soins d'une Âme qui vit bien, Firent tomber, sur vous Madame, l'entretien.
Là, voſtre Pruderie, & vos eclats de zele.	Là, votre Pruderie, et vos éclats de zèle.
