A PARIS, .	À PARIS, .
Tu chãges de couleur, & tes yeux ſont troublez, Quelque Berger volage apres t'auoir ſeruie Trouble-t’il maintenant le repos de ta vie?	Tu chãges de couleur, et tes yeux sont troublés, Quelque Berger volage après t'avoir servie Trouble-til maintenant le repos de ta vie?
Te faſches-tu de perdre vn infidele amant:	Te fâches-tu de perdre un infidèle amant:
CELIE.	CELIE.
Helas!	Hélas!
ne me fais point deſcouurir mõ tourment	ne me fais point découvrir mon tourment
SERPILLE.	SERPILLE.
Hal ie m'en doutois bien puiſqu'au ſiecle où nous ſommes Ce ſignalé defaut eſt ordinaire aux hommes.	Hal belle m'en doutais bien puisqu'au siècle où nous sommes Ce signalé défaut est ordinaire aux hommes.
Conſole toy ma fille, aujourd’huy nos Bergers Paraiſſent de la ſorte inconſtans & legers, Mais on voit qu’à la fin cette infidelle engeance Efpreuue iuſtement la celeſte vangeance.	Console toi ma fille, aujourd'hui nos Bergers Paraissent de la sorte inconstants et légers, Mais on voit qu'à la fin cette infidèle engeance Efpreuue justement la celeste ance.
Si l’Amour eſt ſans foy, c'eſt vn monſtre odieux Que noſtre impieté met au nombre des Dieux, C'eſt vn mauuais demon que l’enfer ſollicite, Que Megere a nourry ſur les bords du Cocite, Et qui pour enflammer les eſprits criminels Allume ſon flambeau dans les feux eternels.	Si l'Amour est sans foi, c'est un monstre odieux Que notre impiété met au nombre des Dieux, C'est un mauvais demon que l'enfer sollicite, Que Mégère a nourri sur les bords du Cocite, Et qui pour enflammer les esprits criminels Allume son flambeau dans les feux éternels.
Außi les inconſtans ſouffrent d’eſtranges peines ·.	Aussi les inconstants souffrent d'étranges peines .
Quand ils ſont deſcẽdus aux infernales plaines, Et les Fils de la terre en leur noire priſon Sont punis doucement à leur comparaiſon.	Quand ils sont desciendus aux infernales plaines, Et les Fils de la terre en leur noire prison Sont punis doucement à leur comparaison.
Mais dy moy le ſujet du mal qui te poſſede, Aſn que ie te plaignedumoins ſi ie netdide.	Mais dis -moi le sujet du mal qui te possède, Ân que tu te plaignedumoins si ie netdide.
CELIE.	CELIE.
Non nõ, quelquemalheur qui trauerſe mes iours Ie ne puis deſtrer ny pitié ny ſecours.	Non nomme, quelquemalheur qui traverse mes jours Je ne puis dêtrer Seigneur pitié ni secours.
SERPILLE.	SERPILLE.
Nomme moy ton amant, que ma ndinc aſſonuis Termine ſa rigueur par la finde ſa vie.	Nomme moi ton amant, que ma nédinc assonuis Termine sa rigueur par la finde sa vie.
CELIE.	CELIE.
C’eſt moy qui veux punir cet eſprit rigoureux Qui ſouffre en meſme temps deux braſiers amou SERPILLE.	C'est moi qui veux punir cet esprit rigoureux Qui souffre en même temps deux brasiers amou SERPILLE.
Ireux.	Ireux.
O Dieux!	Ô Dieux!
ne me fay plus lãguir en cette attente, Declare moy le nom de cette ame inconſtante.	ne me fais plus léguir en cette attente, Décare moi le nom de cette âme inconstante.
CELIE.	CELIE.
Et bien ie veux enfin contenter tes eſprits:	Et bien ici veux enfin contenter tes esprits:
Mais que ie ſuis douteuſe au deſſein que i'ay pris.	Mais que ici suis douteuse au dessein que j'ai pris.
Grands bois, chers cõfidents de ma peine infinie, Luy faut-il accorder vn bien que ie vous nies Rochers, antres ſecrets à qui i'ay tant parlé,	Grands bois, chers confidents de ma peine infinie, Lui faut-il accorder un bien que je vous nies Rochers, antres secrets à qui j'ai tant parlé,
Le doit-elle ſçauoir ſi ie vous l’ay celé?	Le doit-elle savoir si ici vous l'ai celé?
Ouy, l’amour ne veut plus que ie ſois ſi timide, Et ie ne puis cacher le nom de ce perfide.	Oui, l'amour ne veut plus que je sois si timide, Et tu ne puis cacher le nom de ce perfide.
Bergere, le voicy ce tyran de mes iours, Cet infidele cœur qui nourrit deux amours, Il eſt le ſeul autheur du tourment qui me tuë, Et qui tient ſi long temps maconſtance abbatuë.	Bergère, le voici ce tyran de mes jours, Cet infidèle cœur qui nourrit deux amours, Il est le seul auteur du tourment qui me tue, Et qui tient si long temps maconstance abattue.
SERPILLE.	SERPILLE.
O merueille incroyable!	Ô merveille incroyable!
amour plein de rigueur A ſous vn double empire aſſujetty ſon cœur.	amour plein de rigueur A sous un double empire assujetti son cœur.
Il fait dans ce beau ſein luire vne double flame, Et deux affections ont partagé ſon ame:	Il fait dans ce beau sein luire une double flamme, Et deux affections ont partagé son âme:
Mais ne me cele point qui ſont tes deux amans.	Mais ne me cèle point qui sont tes deux amants.
CELIE.	CELIE.
Imens.	Iments.
Sçache qu'Aminte & Niſe ont causé mes tour	Sache qu'Aminte et Nise ont causé mes tour
DERTILLE.	DERTILLE.
Quoy!	Quoi!
ces ieunes Bergers dõt l’effort incroyable Te remua des mains d’vn Centaure effroyable?	ces jeunes Bergers dont l'effort incroyable Te remua des mains d'un Centaure effroyable?
CELIE.	CELIE.
Ceux-là meſme, Serpille.	Ceux-là même, Serpille.
SERPILLE.	SERPILLE.
O quilmont ejo fauemi, Mais de quelle façon ce Dieu te bleſſa-t'il?	Ô quilmont éjo favemi, Mais de quelle façon ce Dieu te blessa-t'-il?
CELIE.	CELIE.
Il prit de la pitié le viſage & les armes Comme il ſe déſioit du pouuoir de ſes charmes, Et lors que dans le lict ces Bergers languiſſans A l’objet de leur peine occupoit tous mes ſens, Ce tyran déguise ſous ces deſpoüilles feintes Me trauerſa le cœur de deux viues atteintes?	Il prit de la pitié le visage et les armes Comme il se désioit du pendant de ses charmes, Et lors que dans le lit ces Bergers languissants A l'objet de leur peine occupait tous mes sens, Ce tyran déguise sous ces dépouilles feintes Me traversa le cœur de deux vives atteintes?
Helas!	Hélas!
en meſme temps mes eſprits affligez Virent tous mes esbats en ſupplices changez:	en même temps mes esprits affligés Virent tous mes ébats en supplices changez:
Ie voyois à regret la lumiere celeſte, Et le plus doux objet me paraiſſoit funeſte, Au lieu que tous les iours les allãt voir tous deux Ie n’auois plus d’ennui quãd i’eſtoit auprés d’eux, Et que ma paßion auec des ſoins fidelles Taſchoit de ſoulager leurs bleſſures mortelles.	Je voyais à regret la lumière celeste, Et le plus doux objet me paraissait funeste, Au lieu que tous les jours les allant voir tous deux Je n'avais plus d'ennui quand j'était auprès d'eux, Et que ma passion avec des soins fidèles Tâchait de soulager leurs blessures mortelles.
Außi ie creu d’abord que c’estoit la pitié Qui me ſollicitoit à ces traits d’amitie:	Aussi ici cru d'abord que c'était la pitié Qui me sollicitait à ces traits d'amitié:
Et puiſque ie plaignois leur douleur rigoureuſe Que i'eſtois pitoyable, & non pas amoureuſe.	Et puisque ici plaignais leur douleur rigoureuse Que j'étais pitoyable, et non pas amoureuse.
Mais ie connu ma flamme à l’éclat de la leur, Et leur propre tourment me fit voir mõ malheur.	Mais était connu ma flamme à l'éclat de la leur, Et leur propre tourment me fit voir mon malheur.
SERPILLE.	SERPILLE.
Ils t’ayment donc tous deux?	Ils t'aiment donc tous deux?
CELIE.	CELIE.
Eſcoute en quelle ſorte.	Écoute en quelle sorte.
I’ay connu leur amour ſi ſoudaine & ſi forte, Vn iour que i’inuitois au plaiſir du ſommeil Aminte qui ſouffroit vn tourment nompareil, Et que par la douceur de quelque air agreable Ie taſchois d’endormir ce Paſteur miſerable:	J'ai connu leur amour si soudaine et si forte, Un jour que j'inuit eu plaisir du sommeil Aminte qui souffrait un tourment nompareil, Et que par la douceur de quelque air agréable Je tâchais d'endormir ce Pasteur misérable:
Celie, helas ie meurs, me diſoit cet amant, Si ie ſuis eſloigné de tes yeux vnmoment, Et lors que ie puis voir leurs diuines lumieres Me veux-tu conſeiller de fermer les paupieres?	Celie, hélas -tu meurs, me disait cet amant, Si tu suis éloigné de tes yeux vnmoment, Et lors que je puis voir leurs divines lumières Me veux-tu conseiller de fermer les paupières?
Mon eſprit demeura confus à ces diſcours, Et Niſe en meſme temps implora mon ſecours:	Mon esprit demeura confus à ces discours, Et Nise en même temps implora mon secours:
Soudain que ie me fus de ſon lit approchée Ie vis du meſme feu ſa belle ame touchée, Ie portois à ſon mal & les yeux & la main, Lors qu’vn filet de ſang me iaillit dans le ſein, Außi toſt il me dit, Bel objet qui m’eſclaire Ne treuue point eſtrange vn effect ordinaire, Si toy ſeule es mon cœur, hé quoy!	Soudain que hommes me fus de son lit approchée Je vis du même feu sa belle âme touchée, Je portais à son mal et les yeux et la main, Lors qu'un filet de sang me jaillit dans le sein, Aussi tôt il me dit, Bel objet qui m'éclaire Ne trouve point étrange un effet ordinaire, Si toi seule es mon cœur, hé quoi!
ne ſçais-tu pas Que le ſang tire au cœur à l’heure du trépas:	ne sais-tu pas Que le sang tire au cœur à l'heure du trépas:
Ainſi leur paßion qui m'eſtoit inconnué, A mes ſens eſtonnez ſe monſtre toute nue, Et l’amour außi toſt eſtablit ma priſon, Dont ie ne puis iamais garentir ma raiſon:	Ainsi leur passion qui m'était inconnué, À mes sens étonnés se montre toute nue, Et l'amour aussi tôt établit ma prison, Dont pu ne puis jamais garentir ma raison:
Ie penſe quelquefois me ſauuer à la fuitte, Mais ie treuue touſiours cet aueugle à ma ſuite.	Je pense quelquefois me sauver à la fuite, Mais Elle trouve toujours cet aveugle à ma suite.
Il paſſe a me chercher & les iours & les nuits, Au bruit de mes ſoupirs il deſcouure où ie ſuis, Et lors que ie me cache il ſuit l’humide trace Des larmes que ie verſe en pleurãt ma diſgrace:	Il passe à me chercher et les jours et les nuits, Au bruit de mes soupirs il découvre où iesuis, Et lors que je me cache il suit l'humide trace Des larmes que sans verse en pleurant ma disgrâce:
En fin ie ne ſçaurois euiter ſon effort Si ie ne me deſtourne au ſentier de la mort.	En fin ie ne saurais éviter son effort Si personne ne me détourne au sentier de la mort.
It faut, cherc oerpiue, it faut ceſſentt vilre, Afin de le priuer des moyens de me ſuiure.	It faut, cherc oerpive, it faut cessentt vilre, Afin de le priver des moyens de me suivre.
SERPILLE.	SERPILLE.
O malheureuſe fillel hé quoy ne ſçaurois-tu Faire en ta paßion eſclatter ta vertu?	Ô malheureuse fillel hé quoi ne saurais-tu Faire en ta passion éclater ta vertu?
Ne donne qu’vn objet à ta flame amoureuſe, Fay choix de l’vn des deux, et tu ſeras heureuſe.	Ne donne qu'un objet à ta flamme amoureuse, Fay choix de l'Un des deux, et tu seras heureuse.
OELIE.	ÔELIE.
Que ie n’en aime qu’vn?	Que Elle n'en aime qu'vn?
hâ diſcours ſuperflus, Et qui ſera celuy que ie n'aimeray plus:	hâ discours superflus, Et qui sera celui que ici n'aimerai plus:
SERPILLE.	SERPILLE.
Le plus parfait des deux doit poſſeder ta grace.	Le plus parfait des deux doit posséder ta grâce.
CELIE.	CELIE.
mcatmutne prigius pinouuuu que ie faſſe,	matmutne prigius pinouve que sans fasse,
SERPILLE.	SERPILLE.
Adreſſe tes deſirs à celuy là des deux A qui tapaſsion donna ſes premiers veux,	Adresse tes désirs à celui là des deux À qui tapassion donna ses premiers veux,
CELIE.	CELIE.
Mes amours ſont iumeaux, ils ſont nez à meſme heure, Et font dedans mon ſein vne meſme demeure.	Mes amours sont jumeaux, ils sont nés à même heure, Et font dedans mon sein vne même ure.
SERPILLE.	SERPILLE.
Aumoms iddob amerceiny des den xamans En qui tu reconnois de meilleurs mouuemens.	Aumoms idob amerceiny des den xamants En qui tu reconnais de meilleurs mouvements.
CELIE.	CELIE.
Ils ont pareillement versé pour moy des larmes, Et leur flame eſt egale außi bien que leurs charOBMSE ALEB.	Ils ont pareillement versé pour moi des larmes, Et leur flamme est égale aussi bien que leurs charOBMSE ALEB.
Imes.	Imes.
Quoy que tu puiſſes dire, il faut bien toutesfois Que ton affection faſſe en fin quelque choix.	Quoi que tu puisses dire, il faut bien toutefois Que ton affection fasse en fin quelque choix.
CELIE.	CELIE.
Nonnon, quelque conſeil que ta raiſon m'inſpire Amour aura ſur moy toujours vn meſme empire, Ie veux que mon eſprit ſouffre ainſi deſormais, Et que ce double feu ne s’eſteigne iamais.	Nonnon, quelque conseil que ta raison m'inspire Amour aura sur moi toujours un même empire, Je veux que mon esprit souffre ainsi désormais, Et que ce double feu ne s'éteigne jamais.
O l’eſtrange fureur!	Ô l'étrange fureur!
ô la folle conſtancel A la fin ma raiſon cede à ta reſiſtance, Inſenſible Bergere, à la fin ie me rends, Aime ſi tu le veux deux objets differents, Conſerue vn double amour.	ô la folle constancel A la fin ma raison cède à ta résistance, Insensible Bergère, à la fin assez me rends, Aime si tu le veux deux objets différents, Conserve un double amour.
Mais i’apperçoy Nerée, Dont la ſage vieilleſſe eſt par tout reuerée:	Mais j'aperçois Nerée, Dont la sage vieillesse est par tout révérée:
Aminte l’accompagne.	Aminte l'accompagne.
CELIE.	CELIE.
Adieu Bergere, adieu, Ie ne puis dauantage arreſter en ce lieu.	Adieu Bergère, adieu, Je ne puis davantage arrêter en ce lieu.
O rigoureux Amour, faut-il pour te complaire Me cacher aux rayons du Soleil qui m'eſclaire?	Ô rigoureux Amour, faut-il pour te complaire Me cacher aux rayons du Soleil qui m'éclaire?
SERPILLE.	SERPILLE.
Reuien belle Celie.	Revien belle Célie.
hé Dieux!	hé Dieux!
ne t’en fuyt is.	ne t'en fuit is.
Elle ne reſpond rien, il faut ſuiure ſes p.	Elle ne répond rien, il faut suivre ses p.
s.	s.
ACTE II.	ACTE II.
SCENE III.	SCÈNE III.
Cel d ne e dved	Cel d ne é ved
NEREE.	NERE.
Minte, aſſeure-toy qu’il eſt bien difficile II De porter à l’amour cet eſprit indocile:	Minte, assure-toi qu'il est bien difficile II De porter à l'amour cet esprit indocile:
C’eſt le plus doux objet qui reſpire le iour, t le plus inſenſible aux attraits de l’amour.	C'est le plus doux objet qui respire le jour, t le plus insensible aux attraits de l'amour.
iſe eſt nouueau venu, ſa naiſſance eſt cachée, enſe-tu que Celie en puiſſe eſtre touchée?	ize est nouveau venu, sa naissance est cachée, ense-tu que Celie en puisse être touchée?
AMINTE.	AMINTE.
ergere, ce deſſein eſt aisé ſi tu veux ffrir ton aßiſtance à l’ardeur de mes vœux:	ergère, ce dessein est aisé si tu veux frir ton assistance à l'ardeur de mes vœux:
ans l’empire d’amour ta faueur eſt ſi grande, ue ie ne puis douter du bien que ie demande:	ans l'empire d'amour ta faveur est si grande, ue ici ne puis douter du bien que ie demande.
t ie croy qu’il a mis ſes treſors en tes mains, ue tu dois departir au deſtin des humains.	 tel crois qu'il a mis ses trésors en tes mains, ue tu dois départir au destin des humains.
NERFE.	NERFE.
[mes urant mes ieunes ans, il eſt vray que mes char	[mes urant mes jeunes ans, il est vrai que mes charmes
Relivre serrée	Relivre serrée
Ont quelquefois aidé le pouuoir de ſes armes, B	Ont quelquefois aidé le pouvoir de ses armes, B
AMINTE.	AMINTE.
Ta beauté toutefois mõſtre encor quelques traces Pendant que ton eſprit fait paraiſtre ſes graces, Ces cheueux autrefois de fin or eſclattans Blanchiſſent de prudẽce außi bien que du temps, Mrdeque cele veucavenda qouununde dofes Coule vn fleuue de miel qui rauit toutes choſes.	Ta beauté toutefois montre encor quelques traces Pendant que ton esprit fait paraître ses grâces, Ces cheveux autrefois de fin or esclattans Blanchissent de prudence aussi bien que du temps, Mrèque cèle veucavenda qouunde dofes Coule un fleuve de miel qui ravit toutes choses.
NER.	NER.
Laiſſons là ces diſcours, c’eſt aſſez, beau Paſteur, Chatoüiller mes eſprits d’vn langage flatteur.	Laissons là ces discours, c'est assez, beau Pasteur, Chatouiller mes esprits d'un langage flatteur.
Que me demande-tu?	Que me demande-tu?
me voila toute preſte De ne rien refuſer à ta iuſte requeſte:	me voilà toute prête De ne rien refuser à ta iuste requête:
Mais au lieu de ſeruir vn Paſteur eſtranger Que ie deſirerois de pouuoir t’obliger;	Mais au lieu de servir ainsi Pasteur étranger Que tu désirerais de pouuoir t'obliger;
Hà que tu manques bien & d’eſprit & de veuë A l’eſclat des attraits dont Celie eſt pourueuë, Ce ſoleil de beauté ne paraiſt en ces lieux Que pour faire adorer ſa lumiere à tes yeux:	Hà que tu manques bien et d'esprit et de vue À l'éclat des attraits dont Celie est pourvue, Ce soleil de beauté ne paraît en ces lieux Que pour faire adorer sa lumière à tes yeux:
Voy que ſa belle bouche a de petites fraiſes Qu'elle offre à tes regarus afin que in la baiſes, Et que ſes blonds cheueux ſont d’aimables liens Qui ſemblent deſirer de ſe meſler aux tiens:	Vois que sa belle bouche a de petites fraises Qu'elle offre à tes régarus afin que in la baises, Et que ses blonds cheveux sont d'aimables liens Qui semblent désirer de se mêler aux tiens:
Regarde ce beau ſein dont la neige offencée Se plaint de voir icy ſa blancheur ſurpaßée, Ne fait-il pas au tien vn deffy genereux De pouſſer auec luy des ſoupirs amoureux?	Regarde ce beau sein dont la neige offensée Se plaint de voir ici sa blancheur surpassée, Ne fait-il pas au tien un défi généreux De pousser avec lui des soupirs amoureux?
Et tu veux reſiſter à tant d’appas viſibles Qui pourroient animer des objets inſenſibles?	Et tu veux résister à tant d'appas visibles Qui pourraient animer des objets insensibles?
Tu veux inceſſamment meſpriſer les autels D'vn demon du jotn furc'eſprit des mortels?	Tu veux incessamment mépriser les autels D'vn démon du jotn furc'esprit des mortels?
O prophane Berger!	Ô prophane Berger!
AMINTE.	AMINTE.
Helas?	Hélas?
NER.	NER.
muuuotudire?	muvotudire?
AMINTE.	AMINTE.
e ne dis rien du tout, c’eſt mon cœur qui ſoupire.	Je ne dis rien du tout, c'est mon cœur qui soupire.
IVER.	IVER.
O Dieux, que d’artifice à ton diſcours eſt ioint, Pourquoy ſoupire-tu puiſque tu n'aimes points	Ô Dieux, que d'artifice à ton discours est joint, Pourquoi soupire-tu puisque tu n'aimes points
AMINTE.	AMINTE.
Et quoy, tant de ſoupirs que mon amour eſlance Ne peuuent donc iamais monſtrer ſa violence,	Et quoi, tant de soupirs que mon amour élance Ne peuvent donc jamais montrer sa violence,
Incredule Bergere, helas!	Incredule Bergère, hélas!
ſi tu pouuois Cappentspey hrumaeauecaecaua ve ma voix,	si tu pouuois Capentspé irumaeauecaecaua ve ma voix,
NERRE.	NERRE.
Amour, flame, ſoupirs, c’eſtbien là le langãge Que tiennent tous les cœurs lors qu’amour les engage.	Amour, flamme, soupirs, c'estbien là le lange Que tiennent tous les cœurs lors qu'amour les engage.
O Dieux, qu’il ſçait bien feindre & parler en amant:	Ô Dieux, qu'il sais bien feindre et parler en amant:
Il ſemble que ſon ame endure vn vray tourment	Il semble que son âme endure un vrai tourment
AMINTE.	AMINTE.
ueſeirdt dezaſermapaploneatrente, Puiſque ie ſuis contraint de confeſſer que i’aime?	Çueseird dezasermapaploneatrente, Puisque personne suis contraint de confesser que j'aime?
NEREE.	NERE.
Amour en ſoit loüé, ce vainqueur merueilleux, Qui range ſous ſes loix les eſprits orgueilleux, daind (puuuqudaundamueae duenfalre.	Amour en soit loué, ce vainqueur merveilleux, Qui range sous ses lois les esprits orgueilleux, daind (puuuqudaundamueae duenfalre.
AMINTE.	AMINTE.
O Dieux, i’en ay trop dit, il eſt tẽps de me taire.	Ô Dieux, j'en ai trop dit, il est temps de me taire.
NENEE.	NÉNÉ.
Quoy, tu ne reſpons rien:	Quoi, tu ne réponds rien:
aſſeure toy qu'vn iour Ie fermeray la bouche & l’oreille à mon tour.	assure toi qu'un jour Je fermerai la bouche et l'oreille à mon tour.
AMINTE.	AMINTE.
Halne me preſſe poimt, agreavie Iverte,	Halne me presse poimt, agréavie Jerte,
nupuions que de Niſe.	nupvions que de Nise.
REs	REs
NEREE.	NERE.
Et bien ie te promets Que mes fideles ſoins tendront là deſormais, Que ſes contentemens naiſtront de ta folie, Et que ie flechiray la rigueur de Celie:	Et bien je te promets Que mes fidèles soins tendront là désormais, Que ses contentements naîtront de ta folie, Et que sans fléchirai la rigueur de Célie:
Apres ne porte point d’enuie à leurs amours, Il ne ſera plus temps de chercher mon ſecours, L’excés de leurs plaiſirs accroiſtra tes ſupplices, Tu mouras de regret, ils viuront en delices, Et lors qu'ils touyront d'vn bonheur infiny	Après ne porte point d'envie à leurs amours, Il ne sera plus temps de chercher mon secours, L'excès de leurs plaisirs accroîtra tes supplices, Tu mouras de regret, ils vivront en délices, Et lors qu'ils touiront d'un bonheur infini
AMINTE.	AMINTE.
Tu crois donc aisément diſpoſercette belle Acherir ce Paſteur qui ſoupire pour elle.	Tu crois donc aisément disposercette belle Achérir ce Pasteur qui soupire pour elle.
NEREE.	NERE.
Berger n’en doute point, mõ pouuoir eſt ſi grand, Qu'à la fin toute choſe à mes charmes ſe rend.	Berger n'en doute point, mon pouvoir est si grand, Qu'à la fin toute chose à mes charmes se rend.
Ie puis d’vn cœur de roché en faire vn cœur de cire, Et rendre fortunez tous les amans de Scire.	Je puis d'un cœur de roché en faire un cœur de cire, Et rendre fortunés tous les amants de Scire.
Songe bien ie te prie aux diſcours que ie fais, Et croy que mes deſſeins ſont ſuiuis des effets.	Songe bien assez te prie aux discours que je fais, Et crois que mes desseins sont suivis des effets.
AMINTE.	AMINTE.
Non non, ie ſuis content, pourueu qu’il la poſſede, Eidenqupass ayfaneas y uulass	Non non, je suis content, pourvu qu'il la possède, Eidenqupass aifaneas y uulass
NER.	NER.
Mais puiſque tu la peux emporter deſſus luy, Prefere ta fortune aux intereſts d'autruy.	Mais puisque tu la peux emporter dessus te, Préfère ta fortune aux intérêts d'autrui.
AMINTE.	AMINTE.
Bergere, au nom d’Amour parle en faueur de Niſe, Einc ayjetepointiapiamereemmist, Oblige cet amant.	Bergère, au nom d'Amour parle en faveur de Nise, Éinc ayjetepointiapiamereemmist, Oblige cet amant.
NER.	NER.
C’eſt aſſez, ie le veux, Mais ſi ie la treuuois inſenſible à ſes vœux, Et qu’apres ie luy fiſſe agréer ton ſeruice, Me deſauouerois tu pour vn ſi bon office:	C'est assez, je le veux, Mais si je la trouvais insensible à ses vœux, Et qu'après ieande fisse agréer ton service, Me désavouerais tu pour un si bon office:
AMINTE.	AMINTE.
Dieux, que furmes eſprts tondiſcours eſt puiſſant:	Dieux, que furmes esprts tondiscours est puissant:
Mais que diroit alors ce Bergerlanguiſſant?	Mais que dirait alors ce Bergerlanguissant?
Aminte, diroit-il, mon ame eſt ſatisfaite De voir que ta victoire a ſuiuy ma défaite,	Aminte, dirait-il, mon âme est satisfaite De voir que ta victoire a suivi ma défaite,
DE SCINE.	DE SCINE.
17 Ie ne ſuis point faſché que tes veux ſoient receus, mut ſuffira-t’il?	17 Je ne suis point fâché que tes veux sue receus, mut suffira-t-il?
que dis-tu là deſſus?	que dis-tu là dessus?
AMINTE.	AMINTE.
Pardon ſage Bergere, il faut que ie te die, Hà traiſtre, oſes-tu bien monſtrer ta perfidie?	Pardon sage Bergère, il faut que sans te die, Hà traître, oses-tu bien montrer ta perfidie?
Trahis-tu l’amitié pour complaire à l’amour?	Trahis-tu l'amitié pour complaire à l'amour?
Adieu, parle de luy, i’attendray ton retour.	Adieu, parle de Seigneur, j'attendrai ton retour.
NER.	NER.
Il ne le peut celer, ie voy bien dans ſon ame Les nouueaux mouuemens de l’amour qui l’enflame, Et quoy que l’amitié le rende vn peudiſcret, On y voit neantmoins paraiſtre vn feu ſecret.	Il ne le peut celer, ie vois bien dans son âme Les nouveaux mouvements de l'amour qui l'enflame, Et quoi que l'amitié le rende un peudiscrét, On y voit néanmoins paraître un feu secret.
Aminte aime l’objet pour qui Niſe ſoupire, Et ſur tous deux Celie obtient vn meſme empire.	Aminte aime l'objet pour qui Nise soupire, Et sur tous deux Celie obtient un même empire.
Mais il faut de bõne heure accõplir mon deſſein, Ie m’en vay luy porter deux braſiers dãs le ſein, Au moins l’vn ſeruira ſi l’autre eſtinutile, Et ie pourray treuuer ſa conqueſte facile.	Mais il faut de bonne heure accõplir mon dessein, Je m'en vais était porter deux brasiers dans le sein, Au moins l'un servira si l'autre estinutile, Et grands pourrai trouver sa conquête facile.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
P1 CELIE.	P1 CÉLIE.
Moureuſes fureurs, importuns mouuemens, Helas permettez moy de finir mes tourmens.	Moureuses fureurs, importuns mouvements, Hélas permettez moi de finir mes tourments.
Aminte vnique objet du bonheur de ma vie, C’eſt de toy ſeulement que mon ame eſt rauie, Tu bornes mes deſirs, tu poſſedes mon cœur;	Aminte unique objet du bonheur de ma vie, C'est de toi seulement que mon âme est ravie, Tu ornes mes désirs, tu possèdes mon cœur;
Pourquoy le luy dõner ſi Niſe en eſt vainqueur?	Pourquoi le Roi donner si Nise en est vainqueur?
Pardon fidele amant, c’eſt à toy que i’adreſſe Les plus fideles vœux de l’amour qui me bleſſe, C'eſt à toy ſeulement que i’engage ma foy, Mais i’abandonne Aminte en viuãt ſous ta loy, Aminte machere ame, hâ Bergere inſenséel A quoy ſe reſoudra ta douteuſe pensée?	Pardon fidèle amant, c'est à toi que j'adresse Les plus fidèles vœux de l'amour qui me blesse, C'est à toi seulement que j'engage ma foi, Mais j'abandonne Aminte en vivant sous ta loi, Aminte machère âme, hâ Bergère insenséel A quoi se résoudra ta douteuse pensée?
Amour ne conſent pas que tu ſois à l’vn d’eux,	Amour ne consent pas que tu sois à l'un d'eux,
DE DCIEE.	DE DCIE.
Et le Ciel te defend de les aimer tous deux:	Et le Ciel te défend de les aimer tous deux:
Que fera ta raiſon incertaine & confuſe 95 Si la moindre allegeance à tes vœux on refuſe?	Que fera ta raison incertaine et confuse 95 Si la moindre allégeance à tes vœux on refuse?
O cruauté du ſort, il faut donc pour guerir Rechercher ſeulement les moyens de mourir.	Ô cruauté du sort, il faut donc pour guérir Rechercher seulement les moyens de mourir.
Malheureuſe Celie, amante infortûnée, Hé quoy tu veux mourir, tu n’es pas encor née, Non non, i'ay trop veſcu, confeſſez a mes yeux Que vous auez trop veu la lumiere des Cieux:	Malheureuse Célie, amante infortûnée, Hé quoi tu veux mourir, tu n'es pas encor née, Non non, j'ai trop vécu, confessez a mes yeux Que vous avez trop vu la lumière des Cieux:
Ne la regrettez point en ſa perte ſoudaine, Puiſque vous eſtes ſeuls les auteurs de ma peine:	Ne la regrettez point en sa perte soudaine, Puisque vous êtes seuls les auteurs de ma peine:
Außi bien ſi la mort ne finit mes douleurs Vous ne me ſeruirez qu’à reſpandre des pleurs.	Aussi bien si la mort ne finit mes douleurs Vous ne me servirez qu'à répandre des pleurs.
Mais quoy, c’eſt trop lõg tẽps retarder mõ enuie, Il ſemble à mes diſcours que i’eſtime ma vie, Lors que le deſeſpoir fait vn dernier effort, C’eſt vne laſcheté de parler de la mort.	Mais quoi, c'est trop lõg tẽps retarder mon envie, Il semble à mes discours que j'estime ma vie, Lors que le désespoir fait un dernier effort, C'est une lâcheté de parler de la mort.
Vien donc quãd tu voudras Deeſſe impitoyable, Ie ne redoute point ton viſage effroyable.	Viens donc quand tu voudras Deesse impitoyable, Je ne redoute point ton visage effroyable.
Quoy, deux pauures amans ſont reduits au trépas, Ie ſuis leur homicide, & ie ne mourray pas:	Quoi, deux pauvres amants sont réduits au trépas, Je suis leur homicide, et quelque ne mourrai pas:
L Helaslc'eſt dõc la mort qui doit guerir ma flame,	 Helaslc'est do la mort qui doit guérir ma flamme,
Que ce nom ſeulement eſpouuante mon ame:	Que ce nom seulement épouvante mon âme:
Foible & timide cœur, et quoy tu veux touſiours Euiter vne mort & ſouffrir deux amours:	Foible et timide cœur, et quoi tu veux toujours Éuiter une mort et souffrir deux amours:
Vains ſujets de frayeur qui tronblés mõcourage, Il faut que vous cediés aux trâſports de la rage, Et que le deſeſpoir poſſedant mes eſprits Teſmoigne contre vous vn genereux meſpris, Quoy, mõbras eſt armé, ma gorge eſt découuerte, Etie ſuis pareſſeuſe au deſſein de ma perte:	Vains sujets de frayeur qui tronblés moncourage, Il faut que vous cédiez aux trasports de la rage, Et que le désespoir possédant mes esprits Témoigne contre vous un généreux mépris, Quoi, mouvras est armé, ma gorge est découverte, Étie suis paresseuse au dessein de ma perte:
