RAPINIER OU L'INTERESSE', COMEDIE.	RAPINIER OU L'INTERÈSSE', COMÉDIE.
Mais comment diable faire, étant ſi mal d’accord Avec ce Controlleur :	Mais comment diable faire, étant si mal d'accord Avec ce Controlleur :
lui faire confidence De mon deſſein, ſeroit à moi grande imprudence.	lui faire confidence De mon dessein, serait à moi grande imprudence.
Cependant l'intéret unit ſouvent des gens, ui vhharoiens s ecicimeme muagmmpunes qem.	Cependant l'intéret unit souvent des gens, ui vharoyens s ecicime muagnemmpunes qem.
Avant que lui parler, il faut que je l’appaiſe.	Avant que lui parler, il faut que je l'apaise.
aus JASMIN, LA ROCHE', LA FLEUR e dapeincine.	aus JASMIN, LA ROCHÉE, LA FLEUR e apeincine.
JASMIN à l Fleur.	JASMIN à l Fleur.
U’avez-vous là-denoms, monneur, ne vous déplaiſe?	U'avez-vous là-denoms, monneur, ne vous déplaise?
LA FLEUR.	LA FLEUR.
Là deſſous?	Là -dessous?
j'ai ce dont vous n’avez pas beſoin, G liij	j'ai ce dont vous n'avez pas besoin, G liij
eyauu JASMIN.	eyauu JASMIN.
L.	L.
A FLEUR.	À FLEUR.
Laiſſez Monſieur, vous prenez trop de ſoin:	Laissez Monsieur, vous prenez trop de soin:
Nos jurez ſeuls ont droit de vſſiter nos drogues.	Nos jurez seuls ont droit de ussiter nos drogues.
LA ROCHE.	LA ROCHÉ.
On traitte mal ici les gens qui ſont ſi rogues.	On traite mal ici les gens qui sont si rogues.
Et quel homme êtes-vous, pour reſuſer ainſi?	Et quel homme êtes-vous, pour ressuser ainsi?
LA FLEUR.	LA FLEUR.
Je m’appelle Monſieur Sanſon Cacaroſſi, Fils aîné de Monſeur Cacaſon mon pere, Pharmacien fameux.	Je m'appelle Monsieur Sanson Cacarsiossi, Fils aîné de Monsieur Cacason mon père, Pharmacien fameux.
IASMIN.	JASMIN.
C’eſt un Apoticaire.	C'est un Apoticaire.
LA FLEUR.	LA FLEUR.
Je mieo ler, Memcois;	Je mieo ler, Memcais;
an ciitcle auodi.	an ciitcle avodi.
Ainſi qu’hier l’ordonna Monſieur le MédecinPour un pauvle Maichaua a lei prés, bien malade.	Ainsi qu'hier l'ordonna Monsieur le MédecinPour un pauvle Machaua a lei prés, bien malade.
JASMIN.	JASMIN.
Mais le miel doit des droits, eſt-ce pas Camarade?	Mais le miel doit des droits, est-ce pas Camarade?
LA ROCHE.	LA ROCHÉ.
En pouvez-vous douter?	En pouvez-vous douter?
LAFLEUR.	LAFLEUR.
Le miel 2	Le miel 2
LA ROCHE.	LA ROCHÉ.
Aſſurément, Donnez cinq ſols, ſinon rendez le lavement.	Assurément, Donnez cinq sols, sinon rendez le lavement.
LA ELEUR.	LA ÉLEUR.
Oui-dì, tres volontiers;	Oui-dix, très volontiers;
* tenez gardes-barriere, Vous en aurez, ma ſoi, par devant, par derriere, Par le haut, par le bas, & de tous les côtez.	* tenez gardes-barrière, Vous en aurez, ma soi, par devant, par derrière, Par le haut, par le bas, et de tous les côtés.
LA ROCHE.	LA ROCHÉ.
Ab!	Ab!
le traître, voila tous mes habirs gatez.	le traître, voilà tous mes habirs gâtez.
N leur tire le lavemens.	N leur tire le lavements.
A 1 E	À 1 E
SCENE PREMIERE.	SCÈNE PREMIÈRE.
IASMIN, LA ROCHE,	YASMIN, LA ROCHÉ,
JASMIN.	JASMIN.
ON, ne craignez de moi jamais vengeance aucune, Je ne garde pour vous, ny haine, ny rancune:	ON, ne craignez de moi jamais vengeance aucune, Je ne garde pour vous, ni haine, toujours rancune:
J'oublie avec plaifir toutes vos fauſſetez, Puiſque vous accordez toutes mes véritez.	J'oublie avec plaisir toutes vos faussetés, Puisque vous accordez toutes mes vérités.
Tel que fut un Céſar, dont l’auguſte mémoire S’eſt par tout tépanduë avecque tant de gloire, Je veux à la clémence auſſi m’abandonner, „ Et ne veux que l’honneur de vaincre & pardonner.	Tel que fut un César, dont l'auguste mémoire S'est par tout tépanduë avec tant de gloire, Je veux à la clémence aussi m'abandonner, „ Et ne veux que l'honneur de vaincre et pardonner.
Un ennemi ſoûmis eſt mon vainqueur lui-méme.	Un ennemi soumis est mon vainqueur lui-même.
LA ROCHE.	LA ROCHÉ.
admire avec plaiſir certe douceur extreme;	admire avec plaisir certe douceur extrême;
Et pour m’en acquitter ainſi que je le doy, Ie prétens augmenter les gains de vôtre employ, Autant que vous voudiez:	Et pour m'en acquitter ainsi que je le dois, Je prétends augmenter les gains de votre emploi, Autant que vous voudiez:
il ne faut que s’entendre, Et vous verrez juſqu’où nous pourrons les étendre.	il ne faut que s'entendre, Et vous verrez jusqu'où nous pourrons les étendre.
2 1 I Quand on vous donneroit par an, trois cens écus, Voyons, que pouvez-vous épargner là-deſſus?	2 1 I Quand on vous donnerait par an, trois cens écus, Voyons, que pouvez-vous épargner là-dessus?
C,a, ne nous ſlatons point, jamals un galant homme Peut-il s’entretenir d’une ſi mince ſomme?	Ç,a, ne nous slatons point, jamals un galant homme Peut-il s'entretenir d'une si mince somme?
Peut-on voir ſes amis, & manger avec eux?	Peut-on voir ses amis, et manger avec eux?
Il faudroit donc toûjours être fait comme un gueux, N'avoir que des habits de droguet & de ſerge, Sinon, aller manger à la petite auberge, A cinq ſols par iepas.	Il faudrait donc toujours être fait comme un gueux, N'avoir que des habits de droguet et de serge, Sinon, aller manger à la petite auberge, À cinq sols par iepas.
Tandis qu'’effrontément Vôtre femme occupant un bel appartement, Sans vous, à vôtre front ſera courir grand riſque:	Tandis qu'effrontément Votre femme occupant un bel appartement, Sans vous, à votre front sera courir grand risque:
Pour manger tous les jours la poularde & la biſque, Pour porter le brocard, le ſatin, le velours, Dantelles, franges d’or, & mille autres atours, A voir meubles dore juſques à l’antichambre, Et juiqu à les iouneis, ientit ie muſe & l'ambre;	Pour manger tous les jours la poularde et la bisque, Pour porter le brocard, le satin, le velours, Dantelles, franges d'or, et mille autres atours, À voir meubles dore jusqu' à l'antichambre, Et juiqu à les jouneis, jentit a muse et l'ambre;
Sçaura ſe ménager un galant obligeant, Qui ſoumira pour vous, I’ordinaiie & l’argent.	Saura se ménager un galant obligeant, Qui soumira pour vous, J'ordinaire et l'argent.
ASMIN à part.	ASMIN à part.
Où donc doit aboutir cette belle morale?	Où donc doit aboutir cette belle morale?
L12 M0 vôtre femme à ſon tour, ſe montrant libérale, xenx de vosic nomcur nrielc a ls Eeus, Je vous laiſſe à conclure à préſent là deſſus.	L12 M0 votre femme à son tour, se montrant libérale, xenx de vosic nomcur nrielc a Eeus, Je vous laisse conclure présent dessus.
ASMIN.	ASMIN.
He bien, pour éviter ce mal, que faut-il faire!	He bien, pour éviter ce mal, que faut-il faire!
LAROCHE.	LAROCHÉ.
Il faut avoir dequoi fournir à l’ordinaire, De ſon chef, ſans s’attendre à la bourſe d’autrui.	Il faut avoir dequoi fournir à l'ordinaire, De son chef, sans s'attendre à la bourse d'autrui.
ASMIN.	ASMIN.
Helas!	Hélas!
combien void-on de maris aujourd'hui, Qui fourniſſent dequoi faire une ample dépenſe, Et ſont par leurs moitiez, trahis pour récompenſe.	combien voit-on de maris aujourd'hui, Qui fournissent dequoi faire une ample dépense, Et sont par leurs moitiés, trahis pour récompense.
Si ſemme belle & pauvre, eſt un mal dangereux, La laide & riche en eſt encor un plus affreux:	Si semme belle et pauvre, est un mal dangereux, La laide et riche en est encor un plus affreux:
Et de ces deux malheurs, quoi que vous puiſſiez dire, A mon ſens, le dernier me ſemble être le pire.	Et de ces deux malheurs, quoi que vous puissiez dire, À mon sens, le dernier me semble être le pire.
L'une pour le beſoin, attire des chalands, L’autre pour le plaiſir, eutretient des galants;	L'une pour le besoin, attire des chalands, L'autre pour le plaisir, eutretient des galants;
Et faiſant toutes deux méme choſe en cacherte, L'une vend les douceurs, & l'autre les achetteEn peu de mots, voilà les hazards de ce têms.	Et faisant toutes deux même chose en cacherte, L'une vend les douceurs, et l'autre les achetteE peu de mots, voilà les hasards de ce tête.
Jeu voi;	Jeu voi;
qui du pleuier parontent tort contens:	qui du pleuier parontent tort contents:
En effet, le profit en fait la différence.	En effet, le profit en fait la différence.
LA ROCHE.	LA ROCHÉ.
Voulez-vous me donner un moment d’audience, Et profiter du têms favorable pour nous?	Voulez-vous me donner un moment d'audience, Et profiter du têms favorable pour nous?
ASMIN.	ASMIN.
Volontiers, ça voyons, quel ſecret avez-vous, Pout pouvon anemem vous iner delpiene:	Volontiers, ça voyons, quel secret avez-vous, Pout pouvon anemem vous iner délpiene:
Vous içavez le métier, vous avez de l’adreiſe;	Vous içavez le métier, vous avez de l'adréise;
Mais le Patron n’eſt pas ſi facile à tromper.	Mais le Patron n'est pas si facile à tromper.
LA ROCHE.	LA ROCHÉ.
Bon, c’eſt bien d’aujourd’hui, que j’ai ſçû l’attraper.	Bon, c'est bien d'aujourd'hui, que j'ai su l'attraper.
De nos nouveaux Fermiers la damnable avarice, Ne nous fait-elle pas une grande injuſtice, En nous ôtant le tiers de nos appointemens, Des contraventions, nos frais, nos logemens!	De nos nouveaux Fermiers la damnable avarice, Ne nous fait-elle pas une grande injustice, En nous ôtant le tiers de nos appointements, Des contraventions, nos frais, nos logements!
Et pourquoi voulez vous, que cruel à loi-même, On ſouffre impunément cette rigueur extreme?	Et pourquoi voulez -vous, que cruel à lois-même, On souffre impunément cette rigueur extrême?
Et que nous ne puiſſions, lorſqu’on nous le retient, cp-chare par nos mams ce qui nous appartient ?	Et que nous ne puissions, lorsqu'on nous le retient, cépare par nos mams ce qui nous appartient ?
On ne fait en cela, que ſe iendre juſtice.	On ne fait en cela, que se iendre justice.
JASMIN à par:	JASMIN à par:
Le ſiipon, qui voudroit me rendre le complice De ſon larcin.	Le siipon, qui voudrait me rendre le complice De son larcin.
LA ROCHE.	LA ROCHÉ.
Je ſçai certain tour de mêtier, Qui nous vaudra du moins cent écus par quartier,	Je sais certain tour de métier, Qui nous vaudra du moins cent écus par quartier,
LA RAPI 10couiebcu tus iorpule & ſaus crainte.	LA RAPI 10couiebu tus jorpule et saus crainte.
Tont de bon?	Tont de bon?
JASMIN.	JASMIN.
LA ROCHE.	LA ROCHÉ.
Sur ma foi, je vous parle ſans ſeinte.	Sur ma foi, je vous parle sans seinte.
ASMIN.	ASMIN.
Jamais dans les emplois fut-il plus grand fripon?	Jamais dans les emplois fut-il plus grand fripon?
à He bien, quel eſt ce tour?	à He bien, quel est ce tour?
part.	part.
a ll NColIE.	à ll NColIE.
C'eſt le tour du bâton.	C'est le tour du bâton.
IASMIN.	JASMIN.
Ce tour a quelquefois fait faire un tour de ville.	Ce tour a quelquefois fait faire un tour de ville.
LA ROCHE.	LA ROCHÉ.
Cela peut arriver, quand on eſt mal-habile.	Cela peut arriver, quand on est malhabile.
anta quund ondcurond dienyie fenoionte plus ſia Ne ſçauroit découvrir ce que l’on fait:	anta quund ondcurond dieniie fenoite plus zia Ne saurait découvrir ce que l'on fait:
enſin, Dites, le voulez-vous;	ensin, Dites, le voulez-vous;
JHSMIN.	JHÊMIN.
Moi?	Moi?
j'en ſerois bien aiſes Mais le peril.	j'en serais bien aises Mais le péril.
par fois.	par fois.
Arretez-la.	Artez-la.
LA ROCHE.	LA ROCHÉ.
voui voyer cedte chaiſe,	voui voyer cédte chaise,
LAOMIN.	LAOMIN.
Comment?	Comment?
LA ROCHE.	LA ROCHÉ.
Arrêtez, vous dit-on,	Arrêtez, vous dit-on,
JASMIN.	JASMIN.
Oui, mais.	Oui, mais.
gare l'endoſſe & le tour du bâton, Car.	gare l'endosse et le tour du bâton, Car.
LA ROCHE.	LA ROCHÉ.
Si vous avez feur, prenez en nuio le ſoals	Si vous avez seur, prenez en nuio le soals
SCENE	SCÈNE
SCENE II.	SCÈNE II.
LA ROCHE, JASMIN.	LA ROCHÉ, JASMIN.
LE ROTISSEUR en Marquis Cohons tone ensyo.	LE RÔTISSEUR en Marquis Cohons ton ensyo.
Rrêtez.	Rrêtez.
LA ROCHE aux porteurs.	LA ROCHE aux porteurs.
LE ROTISSEUR.	LE RÔTISSEUR.
Quoi, marauts ?	Quoi, marauds ?
arrête-t’on le monde, Sans raiſon, de la ſorte?	arrête-t-on le monde, Sans raison, de la sorte?
aſſommez-les, Torteurs.	assommez-les, Torteurs.
ASMIN tremblant.	ÀSMIN tremblant.
Avous iommes, Momeigneur, tous deux vos ſerviteurs, Et ſious ne voulons pas vous ſaire iei d’ourmge.	Avous jommes, Momeigneur, tous deux vos serviteurs, Et sious ne voulons pas vous zaïre toujours d'ourge.
Coquins!	Coquins!
LE ROTISSEUR.	LE RÔTISSEUR.
ASMIN.	ASMIN.
Nôtre devoir à cela nous engage;	Notre devoir à cela nous engage;
Enfin c’eſt ſeulement par curioſité.	Enfin c'est seulement par curiosité.
LE ROTISSEUR.	LE RÔTISSEUR.
Comment donc?	Comment donc?
arrêter les gens de qualité.	arrêter les gens de qualité.
Marche, marche.	Marche, marche.
LE ROMSSEUR découvert.	LE ROMSEUR découvert.
Ah!	Ah!
maudite canaille.	maudite canaille.
JASMIN.	JASMIN.
Il eſt de tous côtez entouré de volaille, Et pour ſa garniture, il n’a que du gibler.	Il est de tous côtés entouré de volaille, Et pour sa garniture, il n'a que du gibler.
LA ROCHE.	LA ROCHÉ.
Pon, c’eſt un rotiſſeur.	Pon, c'est un rôtisseur.
JASMIN d’un ton fierSans te ſaire prier, ilena, Das le pacquer, nuoll.	JASMIN d'un ton fierSans te zaïre prier, ilena, Das le pacquer, nuoll.
.	.
LE RATISSEUR.	LE RATISEUR.
Meſſieurs, de grace, e ſuis noble Genois, je reviens de la chaſſe, t j’ai chez moi ce ſoir, bien des gens à ſouper.	Messieurs, de grâce, e st noble Génois, je reviens de la chasse, t 'ai chez moi ce soir, bien des gens à souper.
LA ROCHE.	LA ROCHÉ.
ontes en l’air, eu vaiut tu preteus nous tromper:	ontes -en l'air, eu vay tu préteus nous tromper:
ous te connoiſſons bien.	ous te connaissons bien.
TASMIN.	TASMIN.
Vîte la bandoliere.	Vite la bandolière.
LE ROTISSEUR.	LE RÔTISSEUR.
uatre ducats pour vous.	uatre ducats pour vous.
e du drs d Souvent à la priere un honnere hommne, on fait queique cholc.	eu du drs d Souvent à la prière un honnere hommne, on fait queique cholc.
i	y
LE ROTISSEUR.	LE RÔTISSEUR.
Tenez.	Tenez.
LA ROCHE a Tſmin.	LA ROCHÉ a Tsmin.
e bien, qu'en dites-vous?	Je bien, qu'en dites-vous?
n'ai-je pas eu bon nez?	n'ai-je pas eu bon nez?
eux pour vous, deux pour moi.	eux pour vous, deux pour moi.
Monſieur la Raient.	Monsieur la Raient.
Bouche cloſe, au moins.	Bouche close, au moins.
piniere	pinière
ASMIN.	ASMIN.
Suffit, je ſçai me taire.	Suffit, je sais me taire.
A RAPINIERE, DORANTE, ASMIN.	À RAPINIERE, DORANTE, ASMIN.
LA RAPINIERE.	LA RAPINIERE.
Ui, je l’aurois oſé moi-même parier, Qu’on ne m’auroit jaronis vû me remarier:	Oui, je l'aurais osé moi-même parier, Qu'on ne m'aurait jaronis vu me remarier:
Pour jamais à l’hymen j’avois fait banqueroute.	Pour jamais à l'hymen j'avais fait banqueroute.
A cauſe de l’argent qu’une femme nous coûte;	À cause de l'argent qu'une femme nous coûte;
Mais les charmans appas de vôtre aimable ſœur, Me l'ont repréſenté tout rempli de douceur.	Mais les charmants appas de votre aimable sœur, Me l'ont représenté tout rempli de douceur.
J'enverrai dés ce ſoir à Rome en diligence, Pour en faire venir promptement la diſpenſe;	J'enverrai dès ce soir à Rome en diligence, Pour en faire venir promptement la dispense;
Cepeudant, l’on pourra faire tous les apprêts.	Cépeudant, l'on pourra faire tous les apprêts.
DORANTE.	DORANTE.
Monſieur, ſi l’on m’en croid, on fera peu de frais.	Monsieur, si l'on m'en croid, on fera peu de frais.
Que ſervent entre nous, tant de cérémonies, Ce faſte, ce fracas, toutes ces compagnies, Qu’à faire dépenſer ſottement de l’argent.	Que servent entre nous, tant de cérémonies, Ce faste, ce fracas, toutes ces compagnies, Qu'à faire dépenser sottement de l'argent.
Pour moi, je ne voi rien de plus extravagant, Que de ſe rendre ainſi de la coûtume eſclaves.	Pour moi, je ne vois rien de plus extravagant, Que de se rendre ainsi de la coutume esclaves.
En eſt-on moins époux, pour être un peu moins braves?	En est-on moins époux, pour être un peu moins braves?
Le Contract ſeroit-il ſans force & ſans vertu, Si l'on n'y mangeoit pas à bouche que veux-tu?	Le Contrat serait-il sans force et sans vertu, Si l'on n'y mangeait pas à bouche que veux-tu?
Et quand on a chez ſoi les choſes néceſſaires, A quelle ſin aller chercher tant de miſteres?	Et quand on a chez soi les choses nécessaires, À quelle sin aller chercher tant de misères?
à part.	à part.
Je feins, pour l'eudormir, de donner dans ſon ſens.	Je feins, pour l'eudormir, de donner dans son sens.
LA RAPINIERE Tembraſſant.	LA RAPINIERE -Tembrassant.
Je reconnois mon ſang, au diſcours que j’entens.	Je reconnais mon sang, au discours que j'entends.
Allez, vous n’êtes pas le fils de vôtre pere, C'étoit un dépenfier:	Allez, vous n'êtes pas le fils de votre père, C'était un dépensier:
l’eſprit de vôtre mere Vous inſpire aujourd’hui ces ſages ſentimers, Sans doute, & j’en connois les juſtes mouvemens.	l'esprit de votre mère Vous inspire aujourd'hui ces sages sentimers, Sans doute, et j'en connais les justes mouvements.
muais vonle ideur peucecue, aura d’autles peulecs.	muais vonle ideur peucecue, aura d'autles peulecs.
DORANTE.	DORANTE.
Les femmes d’aujourd'hui ſont toutes inſenſées En effet, & leur faſte eſt à tel poinct monté, Qu'on ne peut y fournir.	Les femmes d'aujourd'hui sont toutes insensées En effet, et leur faste est à tel point monté, Qu'on ne peut y fournir.
LA RAPINIERE.	LA RAPINIERE.
Oui, c’eſt la vérité.	Oui, c'est la vérité.
ii Car plus vous leur donnez, plus elles vous demandent, Preles Cecevoi toujouis, jamais ne leudent.	ji Car plus vous leur donnez, plus elles vous demandent, Pré Cevoi toujouis, jamais ne leudent.
DORANTE.	DORANTE.
Vous ſerez ſur ce poinct pleinement ſatisfait:	Vous serez sur ce point pleinement satisfait:
Léonore qui void ce que vous avez fait, Et ce que vous allez encor faire pour elle, Du moins pour Béatrix, ſa chere, ſa fidelle, Lout lou Comen cuuus femais ne mauquels, De faite aveuglément tout ce qu’il vous plaira.	Léonore qui voit ce que vous avez fait, Et ce que vous allez encor faire pour elle, Du moins pour Béatrix, sa chère, sa fidèle, Lout lou Comen cuus fais ne mauquels, De faite aveuglément tout ce qu'il vous plaira.
LA RAPINIERE.	LA RAPINIERE.
Tout de bon?	Tout de bon?
croyez-vous que ce petit ſervice, Me puiſſe dans ſon cœur reudre un ſi bon office?	croyez-vous que ce petit service, Me puisse dans son cœur revdre un si bon office?
{0.	§0.
Sans doute, & cette fille, à ce que chacun dit, s’eſt acquis, auprés d’elle un tout puiſſant cródit.	Sans doute, et cette fille, à ce que chacun dit, s'est acquis, auprès d'elle un tout puissant crédit.
LA RAPINIERE.	LA RAPINIERE.
s’il eſt ainſi, ce ſoir j'aurai dequoi lui plaire.	s'il est ainsi, ce soir j'aurai dequoi lui plaire.
Dorante ſans tarder, achevons cette aſfaire, Allez, devancez-les, & les faites hâter:	Dorante sans tarder, achevons cette asfaire, Allez, devancez-les, et les faites hâter:
Cepeudant, je vais faire ici tout apprêter.	Cépeudant, je vais faire ici tout apprêter.
OCEIVD Ay.	OCEIVD Ai.
LA RAPINIERE, JASMIN	LA RAPINIERE, JASMIN
LA RAPINIERE.	LA RAPINIERE.
A, Monſieur du Jaſmin, héros de nôtre ſete, Dont l’amour court la poſte, & dont l’hymeu s’aprête, Peut-on vous diie un mot, ſans vous être enauyeux?	À, Monsieur du Jasmin, héros de notre sete, Dont l'amour court la poste, et dont l'hymu s'apprête, Peut-on vous diie un mot, sans vous être enaveux?
JASMIN.	JASMIN.
Oui-dà, Monſieur, je ſuis tout oreilles, tout yeux,.	Oui-à, Monsieur, je suis tout oreilles, tout yeux,.
Tout maius, tout pieds, tout cœur, pour vous readre ſervice.	Tout maius, tout pieds, tout cœur, pour vous readre service.
Commandez, il n’eſt rien pour vous que je ne fiſſe.	Commandez, il n'est rien pour vous que je ne fisse.
Pourriez-vous n’être pas ſatisfait de mes ſoins?	Pourriez-vous n'être pas satisfait de mes soins?
Si fait.	Si fait.
CA RAPINIERE.	CA RAPINIERE.
ASMIN.	ASMIN.
je vens, Momeur, de fair certains poincts, Qui vous en donneront encor plus d’aſſurance.	je vends, Momeur, de fair certains points, Qui vous en donneront encor plus d'assurance.
LA RAFINTERE.	LA RAFINTERE.
Des poincts d’t ſpagne?	Des points d't spagne?
ASMIN.	ASMIN.
Non, ce ſont des poincts de France.	Non, ce sont des points de France.
Des ouvrages tout faits, ſçavoir un grand peignoir, A vecque la coinette, un taoller, un mouchoir, Des manchettes, eufin toute la garniture D’une Dame.	Des ouvrages tout faits, savoir un grand peignoir, A vecque la cointe, un taoler, un mouchoir, Des manchettes, eufin toute la garniture D'une Dame.
LA RAPINIERE.	LA RAPINIERE.
Voilà certes une avanture, e je ne pois Mer dan Que l’amour aujourd’hu reſt déclaré pour moi.	Voilà certes une aventure, eu je ne pois Mer dan Que l'amour aujourd'hu rest déclaré pour moi.
IASMIN à part.	JASMIN à part.
Bon, comme ſi l'amour ſe mêloit de maltôte.	Bon, comme si l'amour se mêlait de maltôte.
LA RAPINIERE.	LA RAPINIERE.
je n’avois jamais vû de recepte ſi haute, Ny jamais tant ſaiſir de choſes en un jour, Tout rit à mes deſſeins, tout flatte mon amour;	je n'avais jamais vu de reste si haute, Ni jamais tant saisir de choses en un jour, Tout rit à mes desseins, tout flatte mon amour;
Enfin, un tel bonheur me ſurprend, je l’avouë,	Enfin, un tel bonheur me surprend, je l'avoue,
ASMIN APaIS.	ASMIN APPaIS.
Le fat, qui ne void pas que c’eſt un jeu qu’en jouë,	Le fat, qui ne voit pas que c'est un jeu qu'en joue,
LA RATINIERE.	LA RATINIÈRE.
Avez-vous fait ici préparer ce qu’il faut, Peur ce ſoir?	Avez-vous fait ici préparer ce qu'il faut, Peur ce soir?
JASMIN.	JASMIN.
Oui Monſieur, le Notaire eſt là haut, Du moins duuidocicies	Oui Monsieur, le Notaire est là haut, Du moins duuidocicies
LA RAPINIERE.	LA RAPINIERE.
Et pourquoi non lui-même?	Et pourquoi non lui-même?
JASMIN.	JASMIN.
Il a fort attendu;	Il a fort attendu;
mais le péril extreme, Où ſe trouve un malade en ce même moment, L'a preſſé de ſortir, pour faire un teſtament.	mais le péril extrême, Où se trouve un malade en ce même moment, L'a pressé de sortir, pour faire un testament.
Cependant, pour ôter tout ſujet de diſpute, Iia vould cieuer lui iueme la Mmute Du Contract.	Cependant, pour ôter tout sujet de dispute, Ijà vould cieuer lui jueme la Mmute Du Contract.
LA RAPINIERE.	LA RAPINIERE.
C’eſt pour vous, en êtes-vous conteut?	C'est pour vous, en êtes-vous conteut?
Oui, Monſieur.	Oui, Monsieur.
JASMIN.	JASMIN.
LA RAPINIERE.	LA RAPINIERE.
C’eſt aſſez.	C'est assez.
JASMIN.	JASMIN.
Il m’a dit en ſortant, Qu'on n’avoit qu’à ſigner, & qu’étant ſans conteſte, Son Clerc en ſon abſence, acheveroit le reſte.	Il m'a dit en sortant, Qu'on n'avait qu'à signer, et qu'étant sans conteste, Son Clerc en son absence, achèverait le reste.
LA RAPINIERE.	LA RAPINIERE.
Et la collation?	Et la collation?
AMIN.	AMIN.
Tout eſt prêt, pain, vin.	Tout est prêt, pain, vin.
fruits, Confitures, liqueurs, maſſepains & biſcuits, Enfin pout ce qu’on a ſaiſi ſur la broüette, Soit dedans le baril, ou bien dedans la boette.	fruits, Confitures, liqueurs, massepains et biscuits, Enfin pout ce qu'on a saisi sur la brouette, Soit dedans le baril, ou bien dedans la boète.
Quoi tout?	Quoi tout?
LA RAPINIERE.	LA RAPINIERE.
AJMIN.	AUMIN.
Oui tont.	Oui tont.
LA RAPINIERE.	LA RAPINIERE.
Barbleu, vous vous mocquez de moi, Et voulez aujourd’hui me ruïner, je cioi.	Barbleu, vous vous moquez de moi, Et voulez aujourd'hui me ruiner, je cioi.
JASMIN.	JASMIN.
Vons ruiner, Monſieur?	Vons ruiner, Monsieur?
JASMIN.	JASMIN.
Dieu m’en garde.	Dieu m'en garde.
N’eſt-ce pas aux dépens du crieur de moutarde, Ou du moins de celui qui l’en avoit chargé?	N'est-ce pas aux dépens du crieur de moutarde, Ou du moins de celui qui l'en avait chargé?
LARA CINIERE.	LARA CINIÈRE.
Bon, je vous ſuis peut-être, encor fort obligé.	Bon, je vous suis peut-être, encor fort obligé.
D’avoir ſçû découvrir un fourbe qui me trompe.	D'avoir su découvrir un fourbe qui me trompe.
On doit donc célébrer vôtre accord avec pompe?	On doit donc célébrer votre accord avec pompe?
Vôtre raiſonnement certes, me fait pitié.	Votre raisonnement certes, me fait pitié.
Allez, retranchez-en tout au moins la moitié.	Allez, retranchez-en tout au moins la moitié.
LA RAPINIERE ſeul.	LA RAPINIERE seul.
Es perits Meſſieurs-cy, qui n’aiment que la Voudroient du cuir d’auti, munit iige couroye;	Es périts Messieurs-cy, qui n'aiment que la Voudraient du cuir d'auty, munit iige couroye;
Et diſſi pereient tout d’une prodigue main.	Et dissi pèreient tout d'une prodigue main.
Sans ſonger à garder rien pour le lendemain.	Sans songer à garder rien pour le lendemain.
Mais voici de retour toute la Compagnie.	Mais voici de retour toute la Compagnie.
SCENE VI.	SCÈNE VI.
LA RAPINIERE, DORANTE, LEONORE, FERNAND, 19ADELLE,DEATAIA.	LA RAPINIÈRE, DORANTE, LEONORE, FERNAND, 19ADELLE,DEATAIA.
LEONORE à Fernend.	LENORE à Fernend.
N ne peut trop loüer vôtre galanterie:	N ne peut trop louer votre galanterie:
Le tour en eſt plaiſant, autant que ſingulier.	Le tour en est plaisant, autant que singulier.
FERNAND.	FERNAND.
Il eſt vrai;	Il est vrai;
mais ce tour n'eſt pas fort ca valier, Madame, il ſent un peu ſon ſuppôt de gabelle.	mais ce tour n'est pas fort ca valier, Madame, il sent un peu son suppôt de gabelle.
LEONORE.	LEONORE.
Fernand, l’invention en eſt d’autant plus belle.	Fernand, l'invention en est d'autant plus belle.
C’étoit le ſeul moyen.	C'était le seul moyen.
LA RAPINIERF.	LA RAPINIERF.
Vettouy ihvbuyatteus.	Vertoui ihvbuyatteus.
Nos deux amans ſeront conjoints dans peu de temsEt j’en fais mon plaiſir, pour vous rendre contente:	Nos deux amants seront conjoints dans peu de tempsEt j'en fais mon plaisir, pour vous rendre contente:
Tout eſt prêt.	Tout est prêt.
LEORONE.	LEORONE.
Le ſuccés paſſera mon attente, Et ſi vous achevez, comme vous commencez, Vous m’allez obliger plus que vous ne penſez.	Le succès passera mon attente, Et si vous achevez, comme vous commencez, Vous m'allez obliger plus que vous ne pensez.
LA RAPINIERE.	LA RAPINIERE.
L'on m'a dit à quel poinct Béatrix vous eſt chere.	L'on m'a dit à quel point Béatrix vous est chère.
BEATRIX.	BEATRIX.
Vous me tenez tous deux lieu de pere & de mere.	Vous me tenez tous deux lieu de père et de mère.
On me l’avoit bien dit, que les ſecours divins Suivoient toûjours de prés les pauvres orphelins.	On me l'avait bien dit, que les secours divins Suivaient toujours de près les pauvres orphelins.
Heureux!	Heureux!
qui met en eux ſa plus ſerme eſpérance, Monſieur, ne jugez pas de moi ſur l’apparence;	qui met en eux sa plus serme espérance, Monsieur, ne jugez pas de moi sur l'apparence;
Vous connoîtrez un jour, avec plus de clarté, Etite que vous ſerveenvee ſaint de poue.	Vous connaîtrez un jour, avec plus de clarté, Étite que vous serveenvee saint de poue.
LA RAPINTERE.	LA RAPINTERE.
Je vous croi de famille & de haut parentape;	Je vous crois de famille et de haut parentape;
Mais le ſort vous a fait un tres-méchant partage:	Mais le sort vous a fait un très-méchant partage:
