A ROLEI.	À ROLEI.
auſſi bien qu’elles danſent.	aussi bien qu'elles dansent.
LE CHEVALIER.	LE CHEVALIER.
Comment!	Comment!
je croyois qu’il n’y avoit que les Symphoniſtes, & les Muſiciens, qui fuſſent débauchez !	je croyais qu'il n'y avait que les Symphonistes, et les Musiciens, qui fussent débauchez !
LA ROSE.	LA ROSE.
Oh, Monſieur, la Danſe a ſon merite la denus.	Oh, Monsieur, la Danse a son mérite la denus.
Quand vous aurez beſoin d’eux je les irai avertir, je ſçai où les trouver.	Quand vous aurez besoin d'eux je les irai avertir, je sais où les trouver.
LE CHEVALIER, C’eſt bien dit.	LE CHEVALIER, C'est bien dit.
LA ROSE.	LA ROSE.
Mon Officier, je n’ai point encore goûté le vin du Logis.	Mon Officier, je n'ai point encore goûté le vin du Logis.
LE CHEVALIER.	LE CHEVALIER.
Marton va t’en apporter.	Marton va -t-en apporter.
SCENE XIII.	SCÈNE XIII.
LA ROSE ſeul.	LA ROSE seul.
Onne parole:	Onne parole:
quand j’aurai bû cinq Dou ſix coups de chaque main, je ferai le Suiſſe à merveille.	quand j'aurai bu cinq Dou six coups de chaque main, je ferai le Suisse à merveille.
Morbleu je n’en puis plus, j’ai le goſier ſec comme Chantre de Lutrin;	Morbleu je n'en puis plus, j'ai le gosier sec comme Chantre de Lutrin;
ſi Marton ne vient bien-toſt.	si Marton ne vient bientôt.
Ah!	Ah!
la voici.	la voici.
SCENE XIV.	SCÈNE XIV.
EN ROSE, MARTON.	EN ROSE, MÁRTON.
MARTON.	MÁRTON.
renn, vona une Compagne que je te Y donne;	renn, vona une Compagne que je te Y donne;
elle eſt groſſe au moins.	elle est grosse au moins.
LA ROSE.	LA ROSE.
Oh morbleu je voudrois qu’elle en eût encore deux dans le ventre.	Oh morbleu je voudrais qu'elle en eût encore deux dans le ventre.
Il verſe raſade.	Il verse rasade.
La jolie couleur!	La jolie couleur!
Tiens boit un petit coap, Marton.	Tiens boit un petit coap, Marton.
Elle eſt partie!	Elle est partie!
A toi, la Roſe.	A toi, la Rose.
Il eſt ma foi fort bon.	Il est ma foi fort bon.
Allons, camarade Suiſſe, c’eſt à vous que je boi, tôpe.	Allons, camarade Suisse, c'est à vous que je boy, tôpe.
Voilà un agreable petit tê e à tête, un Dragon avee un Suiſſe!	Voilà un agréable petit têché à tête, un Dragon avée un Suisse!
Il verſe.	Il verse.
Le joli vin!	Le joli vin!
Donnez moi, Mr de la Roſe, que je vous faſſe raiſon?	Donnez -moi, Mr de la Rose, que je vous fasse raison?
Morbleu, point de tricherie.	Morbleu, point de tricherie.
Mr Suiſſe, bûvons tour à tour, je vous prie.	Mr Suisse, buvons tour à tour, je vous prie.
C’eſt à moi à boire!	C'est à moi à boire!
C’eſt à moi!	C'est à moi!
Vous en avez menti Vous êtes un y vrogne Vous en êtes un autre.	Vous en avez menti Vous êtes un y vrogne Vous en êtes un autre.
Allons, morbleu plus de ſocieté avec cét animal de Suiſſe là, bûvons en nôtre particulier:	Allons, morbleu plus de société avec cet animal de Suisse là, bûvons en notre particulier:
La, la, la, la, la:	La, la, la, la, la:
Je ſuis un peu gai franchement, mais çà ne paroît pas.	Je suis un peu gai franchement, mais çà ne paraît pas.
Allons, à la ſanté de mon Capitaine.	Allons, à la santé de mon Capitaine.
A la ſanté de mon Cornette.	À la santé de mon Cornette.
On frappe!	On frappe!
Attens, ſi tu veux, que j’aye bû la ſanté de tout le Regiment.	Attends, si tu veux, que j'aie bu la santé de tout le Régiment.
A la belle Aſſemblée.	À la belle Assemblée.
Vous me ferez raiſon?	Vous me ferez raison?
A preſent je ne crains plus les écorniffeurs:	À présent je ne crains plus les écorniffeurs:
Qui va là?	Qui va là?
Ami.	Ami.
Me SIMONET dehors.	Me SIMONET dehors.
LA ROSE.	LA ROSE.
Tu en as menti;	Tu en as menti;
tu me laiſſerois boire.	tu me laisserais boire.
Ouvrons.	Ouvrons.
Ah, ah, c’eſt vous!	Ah, ah, c'est vous!
vous êtes bien prenee.	vous êtes bien prène.
L XV.	 XV.
LA ROSE, Me SIMONET.	LA ROSE, Me SIMONET.
Me SIMONET.	Me SIMONET.
Ane de t’attendre chez mor, l’impaLtience m’a priſe de te venir chercher ici, pour ſçavoir ce que tu as à m’apprendre,	Âne de t'attendre chez mór, l'impaLtience m'a prise de te venir chercher ici, pour savoir ce que tu as à m'apprendre,
LA ROSE.	LA ROSE.
Ma foi.	Ma foi.
Madame, il ne m’en ſouvient ras, je ne m’attache plus à la bagatelle, moi.	Madame, il ne m'en souvient ras, je ne m'attache plus à la bagatelle, moi.
he SIMONEI.	hé SIMONEI.
On vient de me dire qu’on avoit vû décendre ici des Officires, n’eſt-ce point Eraſte?	On vient de me dire qu'on avait vu décendre ici des Officires, n'est-ce point Eraste?
LA ROSE.	LA ROSE.
C’eſt le Fils de Mr le Baron de Bois.	C'est le Fils de Mr le Baron de Bois.
vert.	vert.
Me SIMONET.	Me SIMONET.
Il me dira peut-être des nouvelles:	Il me dira peut-être des nouvelles:
Il faut que je le voye, mon pauvre Dragon.	Il faut que je le voie, mon pauvre Dragon.
LA ROSE.	LA ROSE.
Je ne ſuis plus Dragon, Madame, je ſuis devenu Suiſſe.	Je ne suis plus Dragon, Madame, je suis devenu Suisse.
Me SIMONET.	Me SIMONET.
Comment donc, Suiſſe?	Comment donc, Suisse?
LA ROSE.	LA ROSE.
manquine, & tres suiſſe;	manquine, et très suisse;
ne le voyez- vous pas bien?	ne le voyez- vous pas bien?
Me SIMONET.	Me SIMONET.
Il eſt yvre!	Il est ivre!
LA ROSE, 4 Y vre;	LA ROSE, 4 Y vre;
point, cert ie moneant, ia ſenteur.	point, cert lez moneant, ja senteur.
Me SIMONET.	Me SIMONET.
La ſenteur!	La senteur!
LA ROSE.	LA ROSE.
Ouï.	Ouï.
Je n’aime pas les odeurs, moi;	Je n'aime pas les odeurs, moi;
elles m’étourdiſſent.	elles m'étourdissent.
Me SIMONET.	Me SIMONET.
Ne nous tinuions pont à cét yvrogne, entrons.	Ne nous tinuyons pont à cet ivrogne, entrons.
LA ROSE.	LA ROSE.
On n’entre point ceans.	On n'entre point céans.
Me SIMONET.	Me SIMONET.
qui, moi ?	qui, moi ?
moi ?	moi ?
LA ROSE.	LA ROSE.
Ouï, vous, vous.	Oui, vous, vous.
Me SIMONET voulant entrer.	Me SIMONET voulant entrer.
Oh!	Oh!
j’entrerai pourtant.	j'entrerai pourtant.
Alte là.	Alte là.
LA ROSE.	LA ROSE.
Me SIMONET.	Me SIMONET.
Laiſſe-mol entrer, Dragon, od.	Laisse-mol entrer, Dragon, od.
LA ROSE.	LA ROSE.
Attendez, il faut aller à l’ordre, ſçavoir ſi vous pouvez entrer.	Attendez, il faut aller à l'ordre, sçavoir si vous pouvez entrer.
Me SIMONET.	Me SIMONET.
Encore!	Encore!
tu te railles de moi je penſe?	tu te railles de moi je pense?
LA ROSE.	LA ROSE.
Non, vous dis-je.	Non, vous dis-je.
il faut que j’aille à l’ordre.	il faut que j'aille à l'ordre.
Me SIMONET.	Me SIMONET.
Je me mocque de l’ordre, &.	Je me moque de l'ordre, et.
LA ROSE.	LA ROSE.
Ah, vous êtes du Regiment de Champagne, vous vous mocquez de l’ordre!	Ah, vous êtes du Regiment de Champagne, vous vous moquez de l'ordre!
Madame de Champagne, bas bruit, je crains que mon Cornette ne décende, & qu’il ne vous bruſque.	Madame de Champagne, bas bruit, je crains que mon Cornette ne décende, et qu'il ne vous brusque.
Me SIMONET.	Me SIMONET.
Me bruſquer, moi!	Me brusquer, moi!
ſuis-je une Femme à bruſquer?	suis-je une Femme à brusquer?
LA ROSE.	LA ROSE.
Ce ne ſeroit pas la premiere fois peutêtre;	Ce ne serait pas la première fois peutêtre;
ces petits Officiers ſubalternes ſont fort jolis, fort aimables, il eſt vrai;	ces petits Officiers subalternes sont fort jolis, fort aimables, il est vrai;
mais ils ſont mutins & emportez comme tous les diables, je vous en avertis.	mais ils sont mutins et emportez comme tous les diables, je vous en avertis.
Me SIMONET.	Me SIMONET.
Non, non, il fuffit d’être dans le Service pour être honnête;	Non, non, il fuffit d'être dans le Service pour être honnête;
& ſur tout avec les Dames.	et sur tout avec les Dames.
LA ROSE.	LA ROSE.
Vous êtes prevenuë en leur faveur;	Vous êtes prévenue en leur faveur;
mais croyez moi, ſe ſont de jeunes gens à qui il eſt dangereux de ſe confier;	mais croyez moi, se sont de jeunes gens à qui il est dangereux de se confier;
ils ſont ſcelerats en Ainour y d'unc ioree.	ils sont scélérats en Ainour y d'unc orée.
Ny auriez vous point encore été attrapée?	Ni auriez -vous point encore été attrapée?
MCOIMONET.	MOCIMONET.
Elle lui donne un ſouflet.	Elle lui donne un soufflet.
Tu es un impertinent de parler de la ſorte.	Tu es un impertinent de parler de la sorte.
LA ROSE.	LA ROSE.
Morbleu, Madame, prenez garde à ce que vous faite!	Morbleu, Madame, prenez garde à ce que vous faite!
Me SIMONET.	Me SIMONET.
Elle le pouſſe.	Elle le pousse.
A la fin je perds patience;	À la fin je perds patience;
ôtes toi, coquin.	ôtes toi, coquin.
LA ROSE.	LA ROSE.
Madame;	Madame;
ſi vous me forcez, je vous percerai.	si vous me forcez, je vous percerai.
Me SIMONET le prenant à la gorge.	Me SIMONET le prenant à la gorge.
Il faut que je t’étrangle.	Il faut que je t'étrangle.
LA ROSE criant.	LA ROSE criant.
Ahy, ahy, ahy.	Ahi, ahi, ahi.
SSEND AVI.	SSEND AVI.
BA ROSE, Me SIMONET, MARTON.	BA ROSE, Me SIMONET, MÁRTON.
MARTON.	MÁRTON.
Ui te fais crier de la ſorte?	Oui te fais crier de la sorte?
LA ROSE.	LA ROSE.
On étrangle la ſentiuelle Suiſſe, Marton!	On étrangle la sentivelle Suisse, Marton!
Me SIMONET.	Me SIMONET.
Il y a un heure que ce maraut m’empêche d’entren	Il y a un heure que ce marau m'empêche d'entren
LA ROSE.	LA ROSE.
Ah, la gorge !	Ah, la gorge !
MARTON.	MÁRTON.
ſrauaine, vona un momme que vous avez mis hors d’état de ſervir le Roy.	saurauaine, vona un momme que vous avez mis hors d'état de servir le Roi.
Me SIMONET.	Me SIMONET.
Bon une femme peut elle faire du mal à un homme?	Bon une femme peut elle faire du mal à un homme?
MARTON.	MÁRTON.
Hé ce ſont elles qui leur en font le plus.	Hé ce sont elles qui leur en font le plus.
LA ROSE.	LA ROSE.
Porcer un Sentinelle:	Porcer un Sentinelle:
le prendre au gozier!	le prendre au gozier!
oh morbleu, Madame, vous paſſerez par le Conſeil de Guerre.	oh morbleu, Madame, vous passerez par le Conseil de Guerre.
MARTON.	MÁRTON.
Il faut vous éloigner pour quelques jours, Madame.	Il faut vous éloigner pour quelques jours, Madame.
Me SIMONET.	Me SIMONET.
M eloigner, mol:	M éloigner, mol:
on je pretens bien faire châtiér cét inſolent, & qu’Eraſte me vange.	on je prétends bien faire châtier cet insolent, et qu'Eraste me venge.
MARTON.	MÁRTON.
Eraſte, Madame!	Eraste, Madame!
1 Me SIMONET haut.	1 Me SIMONET haut.
Ouï, ouï, Eraſte, ma mie, nous ſommes.	Ouï, ouï, Eraste, ma mie, nous sommes.
LA ROSE à part.	LA ROSE à part.
Elle va tout découvrir.	Elle va tout découvrir.
Retire-toi, Marton, qu’elle ne te prenne auſſià la gorge.	Retire-toi, Marton, qu'elle ne te prenne aussià la gorge.
MARTON ſe retirant eſt-ce que vous voulez aujourd’hui étraner tout le monde, Madame?	MÁRTON se retirant est-ce que vous voulez aujourd'hui étraner tout le monde, Madame?
Me SI MONET approchant de Marton.	Me SI MONET approchant de Marton.
Tu crois donc.	Tu crois donc.
MARTON uin.	MÁRTON uin.
ne m’approchez pas !	ne m'approchez pas !
merci de ma vie, ſortez d ici	merci de ma vie, sortez d ici
Me SIMONET.	Me SIMONET.
Fais-moi parler à ta Maîtreſſe?	Fais-moi parler à ta Maîtresse?
MARTON.	MÁRTON.
Helas bitu m engarde.	Hélas bitu m engarde.
Me SIMONET.	Me SIMONET.
voyons donc Mr le Baron ?	voyons donc Mr le Baron ?
MARTON.	MÁRTON.
Ileſt ſorti	Ilest sorti
Me SIMONET.	Me SIMONET.
Je veux parler à Mr ſon Fils,	Je veux parler à Mr son Fils,
LA ROSE.	LA ROSE.
Morbleu on n’entre point.	Morbleu on n'entre point.
Me SIMONET.	Me SIMONET.
Je reviendrai ici dans un moment avec Mr de la Richardiere, pour me plai dre à Mr le Baron & à Angelique de vo re procedé, ma mie;	Je reviendrai ici dans un moment avec Mr de la Richardière, pour me plai dre à Mr le Baron et à Angélique de vo re cédé, ma mie;
& pour toi, coquin, Eraſte ſçaura me vanger de ton inſolence.	et pour toi, coquin, Eraste Saura me venger de ton insolence.
SCENE XVII.	SCÈNE XVII.
AANTON, EA NOOL.	AANTON, EA NOL.
aua aa la d e dve A Roſe, ton Maître la connoît donc?	ava à la d dve A Rose, ton Maître la connaît donc?
LA ROSE.	LA ROSE.
Non Marton, c’eſt elle qui le connoît.	Non Marton, c'est elle qui le connaît.
MARTON.	MÁRTON.
Comment cela ?	Comment cela ?
LA ROSE.	LA ROSE.
nes jououies ne comoiſſent-elles pas tous les Joueurs?	nés jouies ne comaissent-elles pas tous les Joueurs?
mon maître eſt un drôle qui joue glos jed avec les Dalilce.	mon maître est un drôle qui joue glos jed avec les Dalilce.
MARTON.	MÁRTON.
Il perdra ſon petit fond.	Il perdra son petit fond.
LA ROSE, Oh point, il jouë ſur celui de Madame Simonet, il a beaucoup d’aſcendant ſur elle.	LA ROSE, Oh point, il joue sur celui de Madame Simet, il a beaucoup d'ascendant sur elle.
MARTON.	MÁRTON.
Le vin en a beaucoup ſur toi, il y paroît.	Le vin en a beaucoup sur toi, il y paraît.
LA ROSE.	LA ROSE.
Il faut bien ſe faire à tout, mon enfant, nous ſommes dans un ſiecle fâcheux, conſolons-nous enſemble des miſeres de la vie.	Il faut bien se faire à tout, mon enfant, nous sommes dans un siècle fâcheux, consolons-nous ensemble des misères de la vie.
Ah, tu fuis!	Ah, tu fuis!
hé, je t’attraperai au gîte.	hé, je t'attraperai au gîte.
On frape encore:	On frappe encore:
Qui va là?	Qui va là?
C’eſt moi.	C'est moi.
LE BARON dehors.	LE BARON dehors.
LA	LA
LA ROSE.	LA ROSE.
45 Voyons qui eſt ce martuvrri nir, c’eſt Mr le Baron!	45 Voyons qui est ce martuvri nir, c'est Mr le Baron!
SCENE XVIII.	SCÈNE XVIII.
LE BARON, ERASTE, AI LELIQ.	LE BARON, ERASTE, AI LELIQ.
MARTON, LIl ROSE, LE CHEVALIER.	MÁRTON, LIl ROSE, LE CHEVALIER.
LE BARON.	LE BARON.
U eſt ton Maître?	V est ton Maître?
LA ROSE.	LA ROSE.
Le voici qui vient en bonne compagnie.	Le voici qui vient en bonne compagnie.
LE BARON.	LE BARON.
Ma Fille, je vais vous unnoncer une nouvelle, à laquelle vous ne vous attendez pas.	Ma Fille, je vais vous unnoncer une nouvelle, à laquelle vous ne vous attendez pas.
ANODEIQUE.	ANODEIQUE.
Moi, mon Pere?	Moi, mon Père?
LE BARON.	LE BARON.
Ouï;	Ouï;
vôtre Mariage eſt rompu	votre Mariage est rompu
O Ciel!	Ô Ciel!
ANGELIQUE.	ANGELIQUE.
LE CHEVALIER.	LE CHEVALIER.
Que dites-vous, moir Pere?	Que dites-vous, moir Père?
ERASTE.	ERASTE.
ui pourroit empêcher!	Oui pourrait empêcher!
LE BARON.	LE BARON.
Vous, Monſieur.	Vous, Monsieur.
Moi.	Moi.
ERASTE.	ERASTE.
LE BARON.	LE BARON.
Vous même:	Vous -même:
on vient de m’avertir que vous aviez ſigné une Promeſſe de Mariage.	on vient de m'avertir que vous aviez signé une Promesse de Mariage.
ANTODUI CE s'en allant.	ANTODUI CE s'en allant.
Ah, quelle infidelité!	Ah, quelle infidélité!
ERASIE.	ERASIE.
Madame, écoutez-moi.	Madame, écoutez-moi.
ANGELIQUE s’en allant.	ANGELIQUE s'en allant.
Quelle perfidie !	Quelle perfidie !
MARTON s’en allant.	MÁRTON s'en allant.
Quent eraniron ?	Quent eraniron ?
LA ROSE.	LA ROSE.
Mon Capitaiſe, la Pongamle.	Mon Capitaise, la Pongamle.
ERASTE.	ERASTE.
Tais-toi, coquin.	Tais-toi, coquin.
LE CHEVALIER.	LE CHEVALIER.
Vous avez tort, & vous deviez m’avertir.	Vous avez tort, et vous deviez m'avertir.
LRIOREV Chevalier, je ne ſuis point coupable;	LRIOREU Chevalier, je ne suis point coupable;
ſuivez vôtre Sœur, diſpoſez-la à m’entendre me juſtifier, allez.	suivez votre Sœur, disposez-la à m'entendre me justifier, allez.
LE BARON.	LE BARON.
Que lui direz vous?	Que lui direz -vous?
vous ne pouvez nier d’avoir fait une Promeſſe de Mariage à une autre;	vous ne pouvez nier d'avoir fait une Promesse de Mariage à une autre;
on la montré à mon Nottaire pour ſçavoir ſi-elle étoit en bone lorine;	on la montré à mon Nottaire pour savoir si-elle était en bone lorine;
c'eſt lui qui vient de m’en avertir, ſçachant que je voulois vous donner ma Fille.	c'est lui qui vient de m'en avertir, sçachant que je voulais vous donner ma Fille.
ERASTE.	ERASTE.
Monſieur, c’eſt une ſurpriſe qu’on m’a faite, dont j’ai la preuve en main.	Monsieur, c'est une surprise qu'on m'a faite, dont j'ai la preuve en main.
LE BARON.	LE BARON.
Je le ſouhaite.	Je le souhaite.
ERASTE.	ERASTE.
vous connorne z peut-être cette folle de Me Simonet?	vous connaine z peut-être cette folle de Me Simonet?
LE BARON.	LE BARON.
Ouï, depuis peu de temps.	Ouï, depuis peu de temps.
ERASTE.	ERASTE.
nnie cieiriort entette de Guerre & d’Officiers, qu’il ſuffit d’être dans le Service pour idi plane.	nie cieiriort jette de Guerre et d'Officiers, qu'il suffit d'être dans le Service pour idi plane.
LE BARON.	LE BARON.
Cela eſt vrai.	Cela est vrai.
ERASTE.	ERASTE.
Elle s’eſt donc figurée que je l’aimois parce que j’allois ſouvent jouër chez elle, & que Ion iele mouigeoit de lui montrer de la complaiſance.	Elle s'est donc figurée que je l'aimais parce que j'allais souvent jouer chez elle, et que Ion Cle mouigeait de lui montrer de la complaisance.
Un ſoir que j’avois perdu tout mon argent au jeu, elle m’en préta, que je perdis encor.	Un soir que j'avais perdu tout mon argent au jeu, elle m'en prêta, que je perdis encor.
LA ROSE à part.	LA ROSE à part.
Il ne fût point amoureux ce ſoir-là.	Il ne fût point amoureux ce soir-là.
ERASTE.	ERASTE.
Quelques jours aprés etant ſur mon départ pour l’Armée, je fus pour m’acquitter wec elle.	Quelques jours après étant sur mon départ pour l'Armée, je fus pour m'acquitter ec elle.
LA ROSE à part.	LA ROSE à part.
ON.	ON.
netolt amoureux ce jour la.	nett amoureux ce jour la.
ERASTE.	ERASTE.
Mais, elle ne voulût point abſolument reprendre ſon argent quelques choſes que je pûſſe faire, me diſant que je lui rendrois aprés la Campagne faite;	Mais, elle ne voulût point absolument reprendre son argent quelques choses que je pusse faire, me disant que je lui rendrais après la Campagne faite;
& quelle recevroit volontiers un Billet de moi ſeulement, parce que j’allois à l’Armée;	et quelle recevrait volontiers un Billet de moi seulement, parce que j'allais à l'Armée;
je lui dis de le faire comme elle le ſouhaittoit;	je lui dis de le faire comme elle le souhait;
elle fut l’écrire, & me l’ayant apporté je le ſigné aveuglement.	elle fut l'écrire, et me l'ayant apporté je le signé aveuglement.
Hé bien!	Hé bien!
LE BARON.	LE BARON.
ERAMTE.	ERAMTE.
Il lii donnt la Lettre.	Il li donnait la Lettre.
Quelque temps aprés que je fus parti, elle m’écrivit cette Lettre:	Quelque temps après que je fus parti, elle m'écrivit cette Lettre:
liſez, s’il yous	lisez, s'il yous
plaiſt.	plaît.
LE BARON lit.	LE BARON lit.
Mon cher, un autre motif que l’intereſt m’a fait exiger un Billet de vous;	Mon cher, un autre motif que l'intérêt m'a fait exiger un Billet de vous;
l’Amour m'a forcé de vint junt nnt tromperie dont vous ne vous êtes point apperçù, puiſque vous m'avez figne unt Promeſſe de Mariage;	l'Amour m'a forcé de vint junt nônt tromperie dont vous ne vous êtes point apperçù, puisque vous m'avez figne unt Promesse de Mariage;
eroyant me figner un ſimple Billet.	eroyant me signer un simple Billet.
ERASTE.	ERASTE.
Vous voyez, Monſieur.	Vous voyez, Monsieur.
LE BARON.	LE BARON.
Voilà un joli tour.	Voilà un joli tour.
ERASTE.	ERASTE.
Pourſuivez, s’il vous plaiſt.	Poursuivez, s'il vous plaît.
LE BARON.	LE BARON.
J’en ai aſſez vû, pour nous vanger;	J'en ai assez vu, pour nous venger;
vous epouſerez dés aujourd hui ma Fille à ſa barbe,	vous épouserez dès aujourd' hui ma Fille à sa barbe,
ERASTE.	ERASTE.
Hé, Monſieur, épargons lui cette confuſion, &.	Hé, Monsieur, épargons lui cette confusion, et.
LE BARON.	LE BARON.
L’épargner!	L'épargner!
au contraire je veux que Mr de la Richardiere y ſoit auſſi preſent, pour lui faire plus de honte Entrons vîte de lubuier ma rine & iur montrer cette Lectre.	au contraire je veux que Mr de la Richardière y soit aussi présent, pour lui faire plus de honte Entrons vite de lubuier ma rine et jur montrer cette Lectre.
Hé, la Fleur, va querir mon Nottaire.	Hé, la Fleur, va quérir mon Nottaire.
SCENE XIX.	SCÈNE XIX.
LA ROSE, ſeul.	LA ROSE, seul.
H!	H!
morbleu que les Veuves en ſçaFA vent bien plus long que les Filles!	morbleu que les Veuves en sçaFA vent bien plus long que les Filles!
de toutes celles que mon Maître a attrapées, il n’y en a pas une qui dui ait joué un pareil tour.	de toutes celles que mon Maître a attrapées, il n'y en a pas une qui dui ait joué un pareil tour.
Voilà un commencement de Quarciomdviyver oien neuhieux:	Voilà un commencement de Quarciomdiver oyen neuhieux:
je crains bien que ce Financier & cette Simonette.	Je crains bien que ce Financier et cette Simonette.
Morbleu les voici.	Morbleu les voici.
SCENE XX.	SCÈNE XX.
Mr DE LA RICHARDIERE, Me SIMONET, LA RISE.	Mr DE LA RICHARDIERE, Me SIMONT, LA RISE.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
H, ah!	H, ah!
voila ce coq uin qui nous a anAA toſt inſulté l’un & l’autre!	voilà ce coq uin qui nous a anA tôt insulté l'un et l'autre!
Me SIMONET.	Me SIMONET.
Comment!	Comment!
oſes-tu te montrer encore, fripon, maraut.	oses-tu te montrer encore, fripon, maraud.
LA ROSE.	LA ROSE.
onont, paſſons les qualitez, vous faites rougir ma modeſtie.	onont, passons les qualités, vous faites rougir ma modestie.
Mie SUMONCET.	Mie SUMONCET.
Entendez vous cét impudent?	Entendez -vous cet impudent?
LA ROSE.	LA ROSE.
Encore!	Encore!
oh palſambleu, vos loüanges me déconcertent;	oh palsambleu, vos langes me déconcertent;
vous me ferez deſerter, AauumeONET.	vous me ferez déserter, AauvmeONET.
Il payera bien cher ſes mauvaiſes plaiſanteries;	Il payera bien cher ses mauvaises plaisanteries;
Monſieur, il faut.	Monsieur, il faut.
MT DE LA NICHARDIERE.	MT DE LA NICHARDIERE.
Choiſiſſez la vengeance, Madame, je m’offre à la payer;	Choisissez la vengeance, Madame, je m'offre à la payer;
voilà ma bource.	voilà ma bourse.
DI IOSE mettant l’épée à la main & voulant prendre la bource.	DI JOSÉ mettant l'épée à la main et voulant prendre la bourse.
ſeenas les armes, morbleu, rends les armes.	seenas les armes, morbleu, rends les armes.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
O voleur!	Ô voleur!
ô voleur!	ô voleur!
Me SIMONET.	Me SIMONET.
Ah, ah, ah, au ſecours !	Ah, ah, ah, au secours !
SCENE XXI.	SCÈNE XXI.
Me SiMONET,MI DEMICHAR LE BARON.	Me SiMONET,MI DEMICHAR LE BARON.
Vel bruit eſt ce là?	Vel bruit est ce -là?
Me SIMONET.	Me SIMONET.
C’eſt ce coquin, qui aprés nous avoir tantoſt inſultez ceans, a l’inſolence encore de mettre lépée à la main contre Monſieur.	C'est ce coquin, qui après nous avoir tantôt insultez céans, à l'insolence encore de mettre lépée à la main contre Monsieur.
LE BARON.	LE BARON.
Ceimene ;	Ceimène ;
luens, contre un homme qui n’en a point!	luens, contre un homme qui n'en a point!
que veux tu faire?	que veux tu faire?
LA ROSE.	LA ROSE.
Je voulois, morbleu, faire ſa bource pri ſonniere de Guerre.	Je voulais, morbleu, faire sa bource pri sonnière de Guerre.
LE BARON le menaçant.	LE BARON le menaçant.
Retire-toi, ou.	Retire-toi, ou.
Mr DE LA RICHARDIERE faiſant Ie brave, & allant quelques pas aprés la Roſe, Ah faquin!	Mr DE LA RICHARDIERE faisant Ie brave, et allant quelques pas après la Rose, Ah faquin!
tu fais bien de quitter la place;	tu fais bien de quitter la place;
je t’allois traitter comme tu le merite.	je t'allais traiter comme tu le mérite.
Mr DE LA RICHARDIERE fuyam derriere Ar te Baron, Monſieur le Baron, je n’ai point d’épés!	Mr DE LA RICHARDIERE fuyam derrière Ar te Baron, Monsieur le Baron, je n'ai point d'épés!
LE BARON.	LE BARON.
Monſieur, n’ayez pas peur.	Monsieur, n'ayez pas peur.
Mr DE LA RICHARDIERE, Moi!	Mr DE LA RICHARDIERE, Moi!
je ne crains rien, mais il n’y a pas d’honneur à un homme comme moi, de ſe commettre avec un goujat.	je ne crains rien, mais il n'y a pas d'honneur à un homme comme moi, de se commettre avec un goujat.
LE BARON.	LE BARON.
Aſſurément.	Assurément.
Je prétens qu’il vous faſſe	Je prétends qu'il vous fasse
une ample ſatisfaction de l’inſulte qu’il vient de faire.	une ample satisfaction de l'insulte qu'il vient de faire.
Mais ne ſongeons à preſent qu’à nous réjouïr Vous venez à propos l’un & Iautre pour prendre part à ma joye.	Mais ne songeons à présent qu'à nous réjouir Vous venez à propos l'un et Jautre pour prendre part à ma joie.
Me SIMONET Nous venions vous feliciter de l’arrivée de Mr võtre Fils	Me SIMONET Nous venions vous féliciter de l'arrivée de Mr votre Fils
ES LNNONV.	ES LNNONV.
Il faut me feliciter auſſi, du Mariage de ma Fille.	Il faut me féliciter aussi, du Mariage de ma Fille.
Me SIMONET.	Me SIMONET.
Vous mariez Angelique, Monſieur?	Vous mariez Angélique, Monsieur?
ah!	ah!
que j’en ai de joye.	que j'en ai de joie.
Mr DE LARICHARDIERE.	Mr DE LARICHARDIERE.
P ourinui, je ne puis vous exprimer le plaiſir que j’en reſſens Il me ſemble que nous allons auſſi nous marier, Madame.	 Pourinui, je ne puis vous exprimer le plaisir que j'en ressens Il me semble que nous allons aussi nous marier, Madame.
Me SIMONET, Monſieur, comme bonne amie, je ſignerai au Contract.	Me SIMONET, Monsieur, comme bonne amie, je signerai au Contrat.
ne allrau lao Je crains que vous ne manquiez de parole, Madame.	ne allrau lao Je crains que vous ne manquiez de parole, Madame.
Me SIMONET.	Me SIMONET.
J’y prends trop d’intereſt pour.	J'y prends trop d'intérêt pour.
LE BARON.	LE BARON.
Vous y en prenez encor plus que vous ne penſez Me SIMONET.	Vous y en prenez encor plus que vous ne pensez Me SIMONET.
Je n’en ſçaurois trop prendre, Monſieur.	Je n'en saurais trop prendre, Monsieur.
Mais qui vous fait douter.	Mais qui vous fait douter.
LE BARON.	LE BARON.
Comme tous les jeunes Officiers vous plaiſent, je crains que celui que ie donne à ma Fille ne vous cauſe du chagrin.	Comme tous les jeunes Officiers vous plaisent, je crains que celui que personne donne à ma Fille ne vous cause du chagrin.
Pour Monſieur, je ſuis ſûr qu’il en ſera bien aiſe.	Pour Monsieur, je suis suir qu'il en sera bien aise.
Mr DE LA RICHARDIERE.	Mr DE LA RICHARDIERE.
Je vous le dis encore ce Mariage me réjouïr ſifort, que je veux donner les Muſiciens & les Violons.	Je vous le dis encore ce Mariage me réjouir sifort, que je veux donner les Musiciens et les Violons.
