POLYEVCTE, Seigneur d’Armenie, gendre de Felix,	POLYEUCTE, Seigneur d'Arménie, gendre de Félix,
VASTRATONICE.	VASTRATONICE.
Ie ne preuoyois pas vne tellelinfortune.	Je ne prévois pas une tellelinfortune.
PAVLINE.	PAULINE.
1210 Auant qu’abandonner mon ame à mes douoleuis suaps xub do vmot o M M Il me faut eſſayer la foree de mes pleurs?	1210 Avant qu'abandonner mon âme à mes douolis suaps xub do volot ô M M Il me faut essayer la forée de mes pleurs?
En qualité de femme ou de ſille i’eſpere Qu’ils vaineront vn eſpoux ou fléchiront vn pere al anla e alo 1a Que ſi ſur l'vn & l’autre ils manquent de pouDapin inn ilr na ul Mien ae Ie ne prendtay confeil que de mon deſeſpoir.	En qualité de femme ou de sille j'espère Qu'ils vaineront un époux ou fléchiront un père al anla é lo 1a Que si sur l'un et l'autre ils manquent de pouDapin inn il na ul Mien ae Je ne prendtai conseil que de mon désespoir.
Apreu moy cependant ce qu’ils ont fait an Temple.	Apreu moi cependant ce qu'ils ont fait an Temple.
li ua ' sih d	li ' liva
STRATONICE.	STRATONICE.
C’eſt vne impieté qui n’euſt iamais d’exemplemo aab raoilale pmreraa ooii la  Ie ne puis y penſer ſans fremir à l’inſtant, Et orains de faire vn crime en vous la racon-tanti Lau vo Apprenez en deux mots leur brutale iuſolence.	C'est assez impiété qui n'eût jamais d'exemplemo aab raïlale prera ooi la Je ne puis y penser sans frémir à l'instant, Et orains de faire un crime en vous la racontanti Lau vo Apprenez en deux mots leur brutale jusolence.
Le Preſtre auoit à peine obtenn du ſilence, Et deuers l’Otient aſſeuré ſon aſpeſt,	Le Prêtre avait à peine obtenn du silence, Et devers l'Otient assuré son aspest,
TOLIEVCIEy Se jettant à ces mots lor ie vin d rencens, M iu Que l’on s’eſt apperçeu de ſon peu de reſpect, A chaque occaſion de la ceremonie, A l’enuy l’vn & l’autre eſtaloit ſa manie, Des myſteres ſacrez hautement ſe moquoit, Et traitoit de meſpris les Dieux qu’on inuoquoit.	TOLIEUCIEi Se jetant à ces mots lor d' vin sa rencens, LES Dieux Que 'on s'est aperçu de son peu de respect, À chaque occasion de la cérémonie, A l'envi l'un et l'autre étalait sa manie, Des mystères sacrés hautement se moquait, Et traitait de mépris les Dieux qu'on invoquait.
Tout le peuple en murmure & Felix s’en offence,  Mais tous deux s’emportans à plus d’irreuerence bn Ehit fomfldMML.	Tout le peuple en murmure et Félix s'en offense, Mais tous deux s'emportants à plus d'irrévérence bann Éhit fomflédML.
Quoy, luy dit Polyeucte en éleuant ſa voix, Adorez vous des Dieux, ou de pierre ou de bois?	Quoi, Seigneur dit Polyeute en élevant sa voix, Adorez -vous des Dieux, ou de pierre ou de bois?
V Icy diſpenſez-moy du recit des blaſphemes Qu’ils ont vomy tous deux contre Iupiter meſmes, L’adultere & l’inceſte en eſtoient les plus doux Oyez, Feſix, ſuit-il, oyez peuple, oyez tous, Le Dieu de Polyeucte & celuy de Nearque De la terre & du Ciel eſt l’abſolu Monarque.	V Ici dispensez-moi du récit des blasphères Qu'ils ont vomi tous deux contre Jupiter mêmes, L'adultère et l'inceste en étaient les plus doux Oyez, Fesix, suit-il, oyez peuple, oyez tous, Le Dieu de Polieute et celui de Nearque De la terre et du Ciel est l'absolu Monarque.
Seul maiſtre du deſtin, ſeul eſtre independent, 74 Subſtance qui iamais ne reçoit d’accident, C’eſt ce Dieu des Chreſtiens qu’il faut qu’on remercie Des victoires qu’il donne à l’Empereur Decie, Luy ſeul tient en ſa main le ſuccez des combats, Il le veut eſleuer, il le peut mettre bas, Sa bonté, ſon pouuoir, ſa iuſtice eſt immenſe, C’eſt luy ſeul qui punit, luy ſeul qui recompenſe, 2 Vous adorez en vain des monſtres impuiſſans,	Seul maître du destin, seul être indépendent, 74 Substance qui jamais ne reçoit d'accident, C'est ce Dieu des Chrétiens qu'il faut qu'on remercie Des victoires qu'il donne à l'Empereur Decie, Lui seul tient en sa main le succès des combats, Il le veut élever, il le peut mettre bas, Sa bonté, son pouvoir, sa justice est immense, C'est avoir seul qui punit, Seigneur seul qui récompense, 2 Vous adorés en vain des monstres impuissants,
Apres en auoir mis les ſaincts vaſes par terre Sans crainte de Felix, ſans crainte du tonnerre, D’vne fureur pareille ils courent à l’Autel.	Après en avoir mis les saints vases par terre Sans crainte de Félix, sans crainte du tonnerre, D'une fureur pareille ils courent à l'Autel.
Cieux, a-t-on veu iamais, a-t-on rien veu de tel?	Cieux, a-t-on vu jamais, a-t-on rien vu de tel?
Du plus puiſſant des Dieux nous voyons la ſtatuë Par vne main impie à leurs pieds abbatuë, Les myſteres troublez, le temple profané, La fuite & les clameurs d’vn peuple mutiné Qui craint d’eſtre accablé ſous le coutroux celeſte, Felix.	Du plus puissant des Dieux nous voyons la statue Par un main impie à leurs pieds abattue, Les mystères troublés, le temple profané, La fuite et les clameurs d'un peuple mutiné Qui craint d'être accablé sous le coutroux celeste, Félix.
mais le voicy qui vous dira le reſte:	mais le voici qui vous dira le reste:
PAVLINE.	PAULINE.
Que ſon viſage eſt ſombre & plein d’émotion?	Que son visage est sombre et plein d'émotion?
Qu’il monſtre de triſteſſe & d’indignation!	Qu'il montre de tristesse et d'indignation!
2 48 4 *6 6 8 2	2 48 4 *6 6 8 2
* L Cdod D EOIOIT ISC	* L Dod D OIIOIT ISC
day ne SCENE III.	dai ne SCÈNE III.
εdοων aHot Fhoid ael MHEHIU FELIX, PAVLINE, STRAFONTCE.	εdοων aHot Fhoid ael MHÉTHIU FELIX, PAULINE, STRAFONTCE.
EELIX l.	ÉLIX l.
i ν M18  i4 j Iae lene Miimience aumne pie pulontre!	j' une M18 i4 j' Ae lene Miimience aumène pie ulontre!
V En public!	V En public!
à ma veuë!	à ma vue!
il en mourra le laqnottraiile.	il en mourra le laqnottraiile.
1a nerliy no	1a nerli nô
PAVLINE.	PAULINE.
Souffrez que voſtre fille embraſſe vos genoux, Qu’elle implore à vos pieds grace pour ſon Eſpoux.	Souffrez que votre fille embrasse vos genoux, Qu'elle implore à vos pieds grâce pour son Époux.
FELIX.	FELIX.
Quelque indigne qu’il ſoit de ce doux nom de gendre.	Quelque indigne qu'il soit de ce doux nom de gendre.
Mon ame luy conſerue vn ſentiment plus tendre, La grandeur de ſon crime & de mon déplaiſir, N’a pas eſteint l’amour qui me l’a fait choiſir.	Mon âme était conserve un sentiment plus tendre, La grandeur de son crime et de mon déplaisir, N'a pas éteint l'amour qui me l'a fait choisir.
PAVLINE.	PAULINE.
Ie n’attendois pas moins de la bonté d’vn pere	Je n'attendais pas moins de la bonté d'un père
FELIX.	FELIX.
Ie pouuois l’immoler à ma iuſte colere, Car vous n’ignorez pas à quel comble d’horreur De ſon audace impie a monté la fureur, vous lauez puſçauon uu moms de Stratonice,	Je pouvais l'immoler à ma juste colère, Car vous n'ignorez pas à quel comble d'horreur De son audace impie a monté la fureur, vous lavez pusçauon u moments de Stratonice,
AVLINE.	AULINE.
Ie ſçay que de Nearque il doit voix le ſupplice,	Je sais que de Narque il doit voix le supplice,
FELIX.	FELIX.
Du conſeil qu’il doit prendre il ſera mieux inſtruit  Quand il verra punir celuy qui l’a ſeduit.	Du conseil qu'il doit prendre il sera mieux instruit Quand il verra punir celui qui l'a séduit.
Au ſpectacle ſanglant d’vn amy qu’il faut ſuiure La crainte de mourir & le deſir de viure Se ſaiſiſſent d’vne ame auec tant de pouuoir.	Au spectacle sanglant d'un ami qu'il faut suivre La crainte de mourir et le désir de vivre Se saisissent d'une âme était tant de pouvoir.
Que qui voit le trépas ceſſe de le vouloir.	Que qui voit le trépas cesse de le vouloir.
L’exemple touche plus que ne fait la menace.	L'exemple touche plus que ne fait la menace.
Cette indiſcrette ardeur tourne bien-toſt en grace ;	Cette indiscrète ardeur tourne bientôt en grâce ;
N’en ayez plus l’eſprit ſi fort inquieté.	N'en ayez plus l'esprit si fort inquiété.
Il ſe repentira de ſon impieté.	Il se repentira de son impiété.
PAVLINE.	PAULINE.
Quoy?	Quoi?
vous eſperez donc qu’il chauge de courage?	vous espérez donc qu'il chauge de courage?
aui Mo M M5	aui Mo M 5
FELIX.	FELIX.
I Aux deſpens de Nearque il doit ſe rendre ſage,	I Aux dépends de Narque il doit se rendre sage,
PAVLINE.	PAULINE.
Il le doit, mais helas !	Il le doit, mais hélas !
où me tenuoyez-vous, Et quels triſtes hazards ne court point mon Eſpoux.	où me tenvoyez-vous, Et quels tristes hasards ne court point mon Époux.
2 Si de ſon inconſtance il faut qu’enfin i’eſpere Le bien que i’eſperois de la bonté d’vn pere?	2 Si de son inconstance il faut qu'enfin j'espère Le bien que j'espérais de la bonté d'un père?
FELIX.	FELIX.
Ie luy fais trop de grace encor de conſentir Qu’il éuite la mort par vn prompt repentir, La meſme peine eſt deuë à des crimes ſemblables, M Et mettant difference entre ces deux coupables I’ay trahy la iuſtice à l’amour paternel, Ie me ſuis fait pour luy moy-meſme criminel, Et j’attendois de vous au milieu de vos craintes nide de remterolemens que ien'accenus ut plaintes.	Je lui fais trop de grâce encor de consentir Qu'il éuite la mort par un prompt repentir, La même peine est due à des crimes semblables, M Et mettant différence entre ces deux coupables J'ai trahi la justice à l'amour paternel, Je me suis fait pour lu y-même criminel, Et j'attendais de vous au milieu de vos craintes nide de remterolemens que ien' accenus ut plaintes.
PAVLINE.	PAULINE.
Dequoy remercier qui ne me donne rien?	Dequoy remercier qui ne me donne rien?
Ie ſçay quelle eſt l’humeur & l’eſprit d’vn Chreſtien,  Dans l’obſtination iuſqu’au bout il demeure, Vouloir ſon tepentir c’eſt ordonner qu’il Bieuit	Je sais quelle est l'humeur et l'esprit d'un Chrétien, Dans l'obstination jusqu'au bout il demeure, Vouloir son tepentir c'est ordonner qu'il Bieuit
FELIX.	FELIX.
Sa grace eſt en ſa main, c’eſt à luy d’y reſues,	Sa grâce est en sa main, c'est à lui d'y rêves,
PAVLINE.	PAULINE.
Faites-Ia toute entiere.	Faites-Ia toute entière.
Il la peut acheuer.	Il la peut achever.
PAVLINE.	PAULINE.
Ne l’abandonnez pas aux fureurs de ſa ſecte.	Ne l'abandonnez pas aux fureurs de sa secte.
FELIX.	FELIX.
Ie l’abandonne aux loix qu’il faut que ie reſpecte, 4	Je l'abandonne aux lois qu'il faut que Ne respecte, 4
PAVLINE.	PAULINE.
Eit-ce ainir que a vis gendre vn beau-pere eſt l’appuy?	Éit-ce ainir que a vis gendre un beau-père est l'appui?
on Ieop deid	on Jeop deid
FELIX.	FELIX.
Qu’il faſſe autant pour ſoy comme ie fais pour luy.	Qu'il fasse autant pour soi comme tu fais pour lui.
PAVLINE.	PAULINE.
Mais il eſt aueuglé.	Mais il est aveuglé.
FELIX.	FELIX.
Mais il ſe plaiſt à l’eſtre, Qui cherit ſon erreur ne la veut pas connoiſtre.	Mais il se plaît à l'être, Qui chérit son erreur ne la veut pas connaître.
PAVLINE.	PAULINE.
Mon Pere, au nom des Dieux.	Mon Père, au nom des Dieux.
FELIX.	FELIX.
Ne les reclamez pas Ces Dieux dont l’intereſt demande ſon trépas.	Ne les réclamés pas Ces Dieux dont l'intérêt demande son trépas.
PAVLINE.	PAULINE.
Ils eſcoutent nos vœnx.	Ils écoutent nos vœnx.
FELIX.	FELIX.
Et bien qu'il leur en faſſe.	Et bien qu'il leur en fasse.
PAVEIIVLO.	PAUEIVLO.
Au nom de l’Empereur dont vous tenez la place,	Au nom de l'Empereur dont vous tenez la place,
FELIX.	FELIX.
Tay ſon pouuoir en main, mais s’il me l’a commis C’eſt pour le deſployér contre ſes ennemis:	Tais son pouvoir en main, mais s'il me l'a commis C'est pour le déployer contre ses ennemis:
TAVLIN E.	TAULIN E.
Polyeucte l'eſt-il?	Polieute l'est-il?
FELIX.	FELIX.
Tous Chreſtiens ſont rebelles.	Tous Chrétiens sont rebelles.
PAVLINE.	PAULINE.
N’écoutez point pour luy ces maximes cruelles, En eſpouſant Pauline ii s eit fait toſtre ſang	N'écoutez point pour lui ces maximes cruelles, En épousant Pauline ji s it fait totre sang
FELIX.	FELIX.
Ie regarde ſa faute & ne voy plus ſon rang, Où le crime d’Eſtat ſe meſle au ſacrilege Le ſang ny l’amitié n’ont plus de priuilege.	Je regarde sa faute et ne vois plus son rang, Où le crime d'État se mêle au sacrilège Le sang ni Madamitié n'ont plus de privilège.
PAVLINE.	PAULINE.
Quelexcez de rigueur!	Quelexcès de rigueur!
FELIX.	FELIX.
Moindre que ſon forfait.	Moindre que son forfait.
PAVLINE, O de mon ſonge affreux trop veritable effet!	PAULINE, Ô de mon songe affreux trop véritable effet!
Voyez qu’auecque luy vous perdez voſtre fille.	Voyez qu'avec lui vous perdez votre fille.
FELIX.	FELIX.
Les Dieux de l'Empeleur iont pius que ma famille.	Les Dieux de l'Empeleur jont pius que ma famille.
PAVLINE.	PAULINE.
La perte de tous deux ne vous peut arreſter!	La perte de tous deux ne vous peut arrêter!
FELIX.	FELIX.
I’ay les Dieux & Decie enſembſe à redouter.	J'ai les Dieux et Décie ensembse à redouter.
Mais nous n’auons encor à craindre rien de triſte.	Mais nous n'avons encor à craindre rien de triste.
14 A10 2 - 10 1 Dans ſon aueuglement penſez-vous qu’il perſiſte?	14 A10 2 - 10 1 Dans son aveuglement pensez-vous qu'il persiste?
S’il nous ſembloit tantoſt courir à ſon malheur.	S'il nous semblait tantôt courir à son malheur.
C’eſt d’vn nouueau Chreſtien la premiere chaleur.	C'est d'un nouveau Chrétien la première chaleur.
Aal Md00 130	Aal Md0 130
PAVLINE.	PAULINE.
Si vous l’aymez encor, quittez cette eſperance Que deux fois en vn iour il change de croyance, Outre que les Chreſtiens ont plus de dureté Vous attendez de luy trop de legereté.	Si vous l'aimez encor, quittez cette espérance Que deux fois en un jour il change de croyance, Outre que les Chrétiens ont plus de dureté Vous attendez de lui même de légèreté.
Ce n’eſt point vne erreur auec le lait ſuccée Que ſans examiner ſon ame ait embraſſée, Polyeucte eſt Chreſtien parce qu’il l’a voulu, Et vous portoit au Temple vn eſprit reſolu.	Ce n'est point une erreur avec le lait succée Que sans examiner son âme ait embrassée, Polyute est Chrétien parce qu'il l'a voulu, Et vous portait au Temple un esprit résolu.
Vous deuez preſumer de luy comme du reſte, Le trépas n’eſt pour eux ny honteux, ny funeſte, Ils cherchent de la gloire à meſpriſer les Dieux, Aueugles pour la terre ils aſpirent aux Cieux, En croyant que la momcieurtu duut A porte, Tourmentez, déchirez, aſſaſſinez, n’importe, Les ſupplices leur ſont ce qu’à nous les plaiſirs.	Vous devez présumer de lui comme du reste, Le trépas n'est pour eux seulement honteux, sans funeste, Ils cherchent de la gloire à mépriser les Dieux, Aveugles pour la terre ils aspirent aux Cieux, En croyant que la momcieurtu duut A porte, Tour, cirez, assassinez, n'importe, Les supplices leur sont ce qu'à nous les plaisirs.
Et les menent au but où tendent leurs deſirs:	Et les mènent au but où tendent leurs désirs:
La mort la plus infame ils l’appelſent Martyre?	La mort la plus infâme ils l'appelsent Martyre?
FELIX.	FELIX.
Et bien donc, rorjeucte aura ce qu’il deſire, N'en parlons plus.	Et bien donc, rorjeute aura ce qu'il désire, N'en parlons plus.
PAVLINE.	PAULINE.
Mon pere.	Mon père.
SCENE IV.	SCÈNE IV.
FELIX, ALBIN, PAVLINE, STRATONICE.	FELIX, ALBIN, PAULINE, STRATONICE.
T ILbin, en eſt ce fait?	 TLbin, en est ce fait?
ALBIN.	ÀLBIN.
Ouy, Seigneur, & Nearque a payé ſon forfait.	Oui, Seigneur, et Nearque a payé son forfait.
FELIX.	FELIX.
Et noſtre Polyeucte a veu trancher ſa vie?	Et notre Polieute a vu trancher sa vie?
ALBIN.	ÀLBIN.
Il l’a veu, mais helas!	Il l'a vu, mais hélas!
auec vn œill d’enuie, Il brûle de le ſuiure au lieu de reculer, Et ſon cœur s'affermit au lieu de s’ébranler.	avec un œill d'envie, Il brûle de le suivre au lieu de reculer, Et son cœur s'affermit au lieu de s'ébranler.
PAVLINE.	PAULINE.
Ie vous le diſois bien, encor vn coup, mon pere, Si iamais mon reſpect a pû vous ſatisfaire, Si vous l’auez priſe, ſi vous l’auez chery.	Je vous le disais bien, encor un coup, mon père, Si jamais mon respect a pu vous satisfaire, Si vous l'avez prise, si vous l'avez chéri.
FELIX.	FELIX.
Vous aymez trop, Pauline, vn indigne mary.	Vous aimez trop, Pauline, un indigne mari.
PAVLINE.	PAULINE.
Ie l’ay de voſtre main, mon amour eſt ſans crime, Il eſt de voſtre choix la glorieuſe eſtime, Et i’ay pour l’accepter eſteint les plus beaux feux Qui d’vne ame bien née ayent merité les vœux Au nom de cette aueugle & prompte obeyſſance Que i’ay touſiours renduë aux loix de la naiſſance, Si vous auez pû tout ſur moy, ſur mon amour, Que ie puiſſe ſur vous quelque choſe à mon tour, Par ce iuſte pouuoir à preſent trop à craindre, Par ces beaux ſentimens qu’il m’a fallu contraindre, Ne m’oſtez pas vos dons, ils ſont chers à mes yeux, Et mrune anen coune pour m’eſtre precieux:	Je l'ai de votre main, mon amour est sans crime, Il est de votre choix la glorieuse estime, Et j'ai pour l'accepter éteint les plus beaux feux Qui d'une âme bien née aient mérité les vœux Au nom de cette aveugle et prompte obéissance Que j'ai toujours rendue aux lois de la naissance, Si vous avez pu tout sur moi, sur mon amour, Que Que puisse sur vous quelque chose à mon tour, Par ce juste pouvoir à présent trop à craindre, Par ces beaux sentiments qu'il m’, par contraindre, Ne m'ôtez pas vos dons, ils sont chaîne pour mes yeux, Si vous anen coute pour m'être précieux:
FELIX.	FELIX.
Vous m’importunez.	Vous m'importunez.
PAVLINE.	PAULINE.
Dieux!	Dieux!
que viens je d’entendre!	que viens je d'entendre!
FELIX.	FELIX.
Ie n’ayme la pitié qu’au prix que i’en veux prendre, Par tant de vains efforts malgré moy m’eu touchet C’eſt perdre auec le temps des pleurs à me fâcher 7017 M.	Je n'aime la pitié qu'au prix que j'en veux prendre, Par tant de vains efforts malgré moi m'eu touchet C'est perdre avec le temps des pleurs à me fâcher 7017 M.
Vous m’en auez donné, mais ie veux bien qu’on ſçache Que ie la deſauoüe alors qu’on me l’arrache, Preparez-vous à voir ce malheureux Chreſtien, Et faites voſtre effort quand j’auray fait le mien.	Vous m'en avez donné, mais ainsi veux bien qu'on sçache à voir ce malheureux alors qu'on me l'arrache, Préparez-vous à voir ce malheureux Chrétien, Et faites votre effort quand j'aurai fait le mien.
Allez, n’irritez plus vn pere qui vous ayme Et taſchez d’obtenir voſtre eſpoux de luymeſme, Tantoſt iuſques icy ie le feray venir, Cependant quittez-nous, ie veux l’entretenir.	Allez, n'irritez plus un père qui vous aime Et tâchez d'obtenir votre époux de luymesme, Tantôt jusques ic ie le ferai venir, Cependant quittez-nous, Seigneur veux l'entretenir.
20 PAVLINE.	20 PAULINE.
De grace permettez.	De grâce permettez.
ELIX.	ÉLIX.
Laiſſez-nous ſeuls, vous diſ je, Voſtre douleur m’offenſe autant qu’elle m’afflige, A gaigner Polyeucte appliquez tous vos ſoins, Vous auancerez plus en m’importunant moins.	Laissez-nous seuls, vous dis -je, Votre douleur m'offense autant qu'elle m'afflige, A gagner Polyeute appliquez tous vos soins, Vous avancerez plus en m'importunant moins.
SCENE V.	SCÈNE V.
TELIR, ALEIN.	TELIR, ALEIN.
FELIX.	FELIX.
ALbin, comme eſt-il mort?	ÀLbin, comme est-il mort?
ALBIN.	ÀLBIN.
.	.
En brutal, en impie, En brauant les tourmens, en dédaignant la vit, Sans regret, ſans murmure, & ſans eſtonnement, Dans l’obſtination & l'endurciſſement, ooumie dil Ourentien enn, re biaſpheme à la bouche.	En brutal, en impie, En bravant les tourments, en dédaignant la vit, Sans regret, sans murmure, et sans étonnement, Dans l'obstination et l'endurcissement, ooumie dil Ourentien enn, re jaspheme à la bouche.
FELIX.	FELIX.
Et l’autre?	Et l'autre?
ALBIN.	ÀLBIN.
24 Ie l’ay dit deſia, rien ne le touche, Loin d’en eſtre abbatu, ſon cœur en eſt plus hace y On l’a violenté pour quitter l’échaffaut, Il eſt dans la priſon où ie l’ay veu conduire, Mais vous n’eſtes pas preſt encor de le reduire.	24 Je l'ai dit déjà, rien ne le touche, Loin d'en être abattu, son cœur en est plus hace y On l'a violenté pour quitter l'échaffaut, Il est dans la prison où tu l'ai vu conduire, Mais vous n'êtes pas prêt encor de le réduire.
FELIX.	FELIX.
Que ie ſuis malheureux!	Que tu suis malheureux!
ALBIN.	ÀLBIN.
ALBIN.	ÀLBIN.
Tout le monde vous plaint.	Tout le monde vous plaint.
FELIX.	FELIX.
On ne ſçait pas les maux dont mon cœur eſt atteint.	On ne sais pas les maux dont mon cœur est atteint.
De penſers ſur penſers mon ame eſt agitée, De ſoucis ſur ſoucis elle eſt inquietée, Ie ſens l’amour, la haine, & la crainte & l’eſpoir, La joye & la douleur tour à tour l’émouuoir, I’entre en des ſentimens qui ne ſont pas croyables, I'en ay de violents, i’en ay de pitoyables, I’en ay de genereux qui n’oſeroient agir, I’en ay meſme de bas, & qui me font rougir.	De pensers sur pensers mon âme est agitée, De soucis sur soucis elle est inquiétée, Je sens l'amour, la haine, et la crainte et l'espoir, La joie et la douleur tour à tour l'émouvoir, J'entre en des sentiments qui ne sont pas croyables, J'en ai de violents, j'en ai de pitoyables, J'en ai de généreux qui n'oseraient agir, J'en a mesme de bas, et qui me font rougir.
I’ayme ce malheureux que i’ay choiſi pour gendre, Ie hay l’aueugle erreur qui le vient de ſurprendre, Ie déplore ſa perte & le voulant ſauuer I’ay la gloire des Dieux enſemble à conſeruer, le leuoute leul foudle e celuy de Decles Il y va de ma charge, il y va de ma vie, Ainſi tantoſt pour luy, ie m’expoſe au trépas, Et tantoſt ie le perds pour ne me perdre pas.	J'aime ce malheureux que j'ai choisi pour gendre, Je hais l'aveugle erreur qui le vient de surprendre, Je déplore sa perte et le voulant sauver J'ai la gloire des Dieux ensemble à conserver, le lute leeute foudle soudure celui de Decles Il y va de ma charge, il y va de ma vie, Ainsi tantôt pour vous, sans m'expose au trépas, Et tantôt ie le perds pour ne me perdre pas.
ALBIN.	ÀLBIN.
Decie excuſera l’amitié d’vn beau-pere, Et d’ailleurs Polyeucte eſt d’vn ſang qu’on reuere.	Decie excusera l'amitié d'un beau-père, Et d'ailleurs Polieute est d'un sang qu'on révère.
FELIX.	FELIX.
A punir les Chreſtiens ſon ordre eſt rigoureux, Et plus l’exemple eſt grand, plus il eſt dangereux On ne diſtingue point quaud l’offenſe eſt publique, Et lors qu’on diſſimule vn crime domeſtique Par quelle authorité peut-on, par quelle loy Chaſtier en autruy ce qu’on ſouffre chez ſoy?	À punir les Chrétiens son ordre est rigoureux, Et plus l'exemple est grand, plus il est dangereux On ne distingue point quaud l'offense est publique, Et lors qu'on dissimule un crime domestique Par quelle autorité peut-on, par quelle loi Châtier en autrui ce qu'on souffre chez soi?
ALBIN.	ÀLBIN.
Si vous a dion duuil d ogunu a la perionde, Eſcriuez à Decie afis qu’il en ordonne.	Si vous a dion duvil d ogunu a la périonde, Écrivez à Die afis qu'il en ordonne.
FELIX.	FELIX.
Seuere me perdroit ſi i’en vſois ainſi.	Seuère me perdrait si j'en usais ainsi.
Sa haine & ſon pouuoir font mon plus grand ſoucy.	Sa haine et son pouvoir font mon plus grand souci.
Si i’auois differé de punir vn tel crime.	Si j'avais différé de punir un tel crime.
Quoy qu’il ſoit genereux, quoy qu’il ſoit maegnanime, Il eſt homme, & ſenſible, & ie l’ay dédaigné, Et des mépris reçeus ſon eſprit indighé Que met au deſeſpoir cét Hymen de Pauline Du courroux de Decie obtiendroit ma ruine.	Quo qu’il soit généreux, quoi qu’il soit magnanime, Il est homme, et sensible, et ie ay dédaigné, Et des mépris reçeus son esprit indighé Que met au désespoir cét Hymen de Pauline Du courroux de Decie obtiendroit ma ruine.
Pour venger vn affront tout ſemble eſtre permis, Et les occaſions tentent les plus remis.	Pour venger un affront tout semble était permis, Et les occasions tentent les plus remis.
Peut-eſtre, (& ce ſoupçon n’eſt pas ſans apparence) Il r’allume en ſon cœur deſia quelque eſperance Et croyant bien-toſt voir Polyeucte puny Il t’appelle vn amour à grand peine banny.	Peut-être, (à ce soupçon n'est pas sans apparence) Il rume en son cœur déjà quelque espérance Et croyant bientôt voir Polyeucte puni Il t'appelle un amour à grand peine banni.
Inge ſi ſa colere en ce cas implacable Me feroit innocent de ſauuer vn coupables Et s’il m’épargneroit voyant par mes bontez Vne ſeconde fois ſes deſſeins auortez.	Inge si sa colère en ce cas implacable Me ferait innocent de sauver un coupables Et s'il m'épargnerait voyant par mes bontés Vne seconde fois ses desseins avortez.
Te diray-je vn penſer indigne, bas, & lâche?	Te dirai-je un penser indigne, bas, et lâche?
Ie l’eſtouffe, il renaiſt.	Je l'étouffe, il renaît.
il me flatte & me fâche.	il me flatte et me fâche.
L’ambition touſiours me le vient preſenter.	L'ambition toujours me le vient présenter.
Ei tout ce que ie puis c’eſt de le deteſter.	Ei tout ce que je puis c'est de le détester.
Polyeucte eſt icy l’appuy de ma famille, Mais ſi par ſon trepas l’autre eſpouſoit ma fille, I'acquerrois bien par là de plus puiſſans appuys Qui me mettroient plus haut cent fois que ie ne ſuis.	Polieute est ici l'appui de ma famille, Mais si par son trépas l'autre épousait ma fille, J'acquerrais bien par là de plus puissants appuis Qui me mettraient plus haut cent fois que je ne suis.
1609 e ah dhommelxentoat Mon cœur en prend par force vne maligne joye, Mais que plutoſt le Ciel à tes yeux me foudroye Qu'à des penſers ſi bas ie puiſſe conſentir, Que iuſques-là ma gloire oſe ſe démentir.	1609 e ah dommelxentoat Mon cœur en prend par force une maligne joie, Mais que plutôt le Ciel à tes yeux me foudroie Qu'à des pensers si bas ie puisse consentir, Que jusques-là ma gloire ose se démentir.
ALBIN.	ÀLBIN.
vone cœul ent tiop pon, e vonie mme trop haute;	vone cet ent iop pon, é onie même trop haute;
Mais vous reſoluez-vous à punir cette faute?	Mais vous résolvez-vous à punir cette faute?
FELIX, Ie vay dans la priſon faire tout mon effort A vaincre cét elprit par l’effroy de la mort, I’employeray puis apres le pouuoir de Pauline.	FELIX, Je vay dans la prison faire tout mon effort A vaincre cet elprit par l'effroi de la mort, J'emploierai puis après le pouvoir de Pauline.
ALBIN.	ÀLBIN.
Que ferez-vous enfn n'touſours il s’obſtine ?	Que ferez-vous enfn n'tous il s'obstine ?
FELIX.	FELIX.
Ne me preſſe point tant dans vn tel déplaiſir Ie ne puis que reſoudre & ne ſçay que choiſir.	Ne me presse point tant dans un tel déplaisir Je ne puis que résoudre et ne sais que choisir.
ALBIN.	ÀLBIN.
Ie dois vous aduertir en ſeruiteur fidelle Qu'en ſa faueur deſia la ville ſe rebelle, Et ne peut voir paſſer par la rigueur des loix Sa derniere eſperance & le ſang de ſes Roys:	Je dois vous avertir en serviteur fidèle Qu'en sa faveur déjà la ville se rebelle, Et ne peut voir passer par la rigueur des loix Sa dernière espérance et le sang de ses Rois:
Et meſmes ſa priſon n’eſt pas fort aſſeurée, I’ay laiſſé tout autour vne troupe éplorée, Ie crains qu’on ne la force.	Et mêmes sa prison n'est pas fort assurée, J'ai laissé tout autour une troupe éplorée, Je crains qu'on ne la force.
LIX.	LIX.
Il faut donc l’en tirer, Et l’amenenicy pour nous en aſſeurer.	Il faut donc l'en tirer, Et l'amenici pour nous en assurer.
ALBIN.	ÀLBIN.
Tirez-l’en donc vous-meſme, & d’vn eſpoir.	Tirez-l'en donc vous-même, et d'un espoir.
de et glateinl mnal mhau ainui mio Appaiſez la fureur de cette populace.	de et glateinl ménal mhau ainui mio Apaisez la fureur de cette populace.
LLE FELIX.	LLE FELIX.
3 Nous en diſpoſerons ſans qu’elle en ſçache rienonnb il slonila set si-letHud	3 Nous en disposerons sans qu'elle en sache rienonnb il slonila set si-letHud
