2 TuE LES TESEDROVL L Man.	2 TuE LES TESEDROUL L An.
La chaſſe gouuernoit ſi doucement mon aiſe, Qu’il m'eſt encores aduis que Diane me baiſe, Cette Nymphe des bois m'appellant ſon mignon, Me prenoit bien ſouuent pour ſon Endymion, Il m’eſt venu chercher pour m'en faire la guerre Partout où i'aduiſois de porter mon tonnerre, Ie dédaignois la terre en iouyſſant de tout, Et pour moy l’Vniuers ne trouuoit point de bour, A voir tous les honneurs que l'on me venoit vendre Oneust dit que i’eſtois le cadet d’Alexandre.	La chasse gouvernait si doucement mon aise, Qu'il m'est encore avis que Diane me baise, Cette Nymphe des bois m'appelant son mignon, Me prenait bien souvent pour son Endymion, Il m'est venu chercher pour m'en faire la guerre Partout où j'avisais de porter mon tonnerre, Je dédaignais la terre en iouyssant de tout, Et pour moi l'Univers ne trouvait point de bour, A voir tous les honneurs que l'on me venait vendre Oneust dit que j'étais le cadet d'Alexandre.
2	2
Calyante.	Calyante.
3ar ds iel Cour;	3ar ds iel Cour;
Guillaume.	Guillaume.
Qn'onn'a idmais rien ven d'eſgil a mon amour.	Qu'enn'a idmais rien ven d'gil a mon amour.
Calyante.	Calyante.
Comment, l'on voit en toy cette metamorphoſe?	Comment, l'on voit en toi cette métamorphose?
Guillaume.	Guillaume.
Ah, mon amy, qu'aimer eſt vne belle choſe, Si vous ſçauiez l’eſtat où ie vis maintenant, Ie ne fais plus de vœux à Careſme-prenanf, Bacchus m’eſt ennemy, ie fais geler les treilles, I’ay hanny les feſtins, i'ay rompu les bouteilles, Ie ne vis que d’amour, de cipre, & d’ambregris, Ie penſe que le Ciel eſt tombé dans Paris, Ne parlez plus de vous ny de vos Artenices, On n’a iamais rien ven d’eſgal à mes ſupplices, Comme elle vous trahit en quittant ce ſeiour.	Ah, mon ami, qu'aimer est une belle chose, Si vous saviez l'état où votre vis maintenant, Je ne fais plus de vœux à Carême-prenanf, Bacchus m'est ennemi, je fais geler les treilles, J'ai hanni les festins, j'ai rompu les bouteilles, Je ne vis que d'amour, de cipre, et d'ambregris, Je pense que le Ciel est tombé dans Paris, Ne parlez plus de vous tant de vos Artenices, On n'a jamais rien venger d'égal à mes supplices, Comme elle vous trahit en quittant ce seiour.
Ainſi le nieſme amour a trahy mon amour, Je ne ſuis plus à moy.	Ainsi le nième amour a trahi mon amour, Je ne suis plus à moi.
Calyante.	Calyante.
Ten vongse.	Ten vongse.
Dont tu veux honorer la vertu de mon ange?	Dont tu veux honorer la vertu de mon ange?
Tu me trahis toy-meſme, il faut que mon amour Te priue aut cque moy des lumteres du iour.	Tu me trahis toi-même, il faut que mon amour Te prive aut cque moi des lumtères du jour.
Guillaume.	Guillaume.
Amour me bleſſe aſſez, ſans que mes belles peines Profanent ſa rigueur par des choſes humaines.	Amour me blesse assez, sans que mes belles peines Profanent sa rigueur par des choses humaines.
I 1	I 1
Calyante.	Calyante.
Ta barbarie a-t’elle vn courage d’airin.	Ta barbarie a-t-elle un courage d'airin.
Guillaume.	Guillaume.
saut-it que Catyante aitte à Sainct Matharin,	saut-it que Catyante aitte à Saint Matharin,
Calyante.	Calyante.
Qui ne ſeroit attaint de la melancolie.	Qui ne serait attaint de la mélancolie.
Guillaume.	Guillaume.
Ie crots que voſtre humeur imite ma folie,	Je cross que votre humeur imite ma folie,
aijullco, Il est temps de venger tes noires trahiſons.	aijull, Il est temps de venger tes noires trahisons.
Guillaume.	Guillaume.
Voulez-vous qu'on vous mette aux Petites Masſons?	Voulez-vous qu'on vous mette aux Petites Massons?
Quand à moy i’aime mieux les palais de nos Princes, Et pour me contenir il faut bien trois Prouinces, Mais ſi la verité ſe fait bien aduoüer, Nos cerueaux ont aſſez de chambres à loüer.	Quand à moi j'aime mieux les palais de nos Princes, Et pour me contenir il faut bien trois Provinces, Mais si la vérité se fait bien avouer, Nos cerveaux ont assez de chambres à louer.
Calyante.	Calyante.
Artenice a erahy cette foy ſans ſeconde, Il ne faut plus chercher de conſtance en ce monde, Puiſque meſme le Ciel tombe dans des erreurs, La terre ne peut rien qu'auecque des fureurs:	Arténice a erahi cette foi sans seconde, Il ne faut plus chercher de constance en ce monde, Puisque même le Ciel tombe dans des erreurs, La terre ne peut rien qu'avec des fureurs:
Artenice, ah!	Artenice, ah!
beaux yeux n’auez-vous point d.	beaux yeux n'avez-vous point d.
larmes En vous reſſouuenant que ruubru) rosenarmes?	larmes En vous ressouvenant que rubru) rosenarmes?
Belimage des Dieux, faudra-t’il qu'vn mortel Rougiſſe deſormais de vous faire vn autel?	Belimage des Dieux, faudra-t-il qu'un mortel Rougisse désormais de vous faire un autel?
Faudra t’il que vos traits vous denoncent la guerre Par la punition de leur propre tonnerre?	Faudra -t-il que vos traits vous dénoncent la guerre Par la punition de leur propre tonnerre?
La gloire n'aura point de plus grands repentirs Que de vous conſeruer les vœux de vos Martirs?	La gloire n'aura point de plus grands repentirs Que de vous conserver les vœux de vos Martirs?
Mais vostre cruauté n'est pas mon ennemie, Ie veux faire des vœux à voſtre tyrannie, Ie veux vnir ma vie auecque vos appas, Bien que de vos rigueurs i’attende le trespas;	Mais votre cruauté n'est pas mon ennemie, Je veux faire des vœux à votre tyrannie, Je veux unir ma vie avec vos appas, Bien que de vos rigueurs j'attende le trépas;
Me precipiteray-je ais profond de certe onde?	Me précipiterai-je ais profond de certe onde?
Eſteindroit-elle bien le plus beau feu du monde?	Éteindrait-elle bien le plus beau feu du monde?
Mourray-je par le feu, mais te vois que mes pleurs Ne pourroient pas ſouffrir ces fidelles malheurs, Et te crois deſormais que tout ſera de glace, Puiſque le feu d’amour a ſorty de ſa place:	Mourrai-je par le feu, mais te vois que mes pleurs Ne pourraient pas souffrir ces fidèles malheurs, Et te crois désormais que tout sera de glace, Puisque le feu d'amour a sorti de sa place:
Mais ſi, beaux elemens, vous n’eſles mon tombeau, Faictes à mon destin vn viſage plus beau;	Mais si, beaux éléments, vous n'éles mon tombeau, Faites à mon destin un visage plus beau;
El touss fainctes faresis, ne poſteueZ puint d'arbrex Que mes juſtes regrets ne prennent pour des marbres.	Él touss saintes faréis, ne posteuez puint d'arbrex Que mes justes regrets ne prennent pour des marbres.
SCENE IV.	SCÈNE IV.
Agaritte attendant ſon Amant pour iouyr des faueurs d’eſpouſe.	Agaritte attendant son Amant pour jouir des faveurs d'épouse.
Enfin ie ſuis vaincuë, amour a des laurters, Mes bras vont captiuer le plus grand des guerriers, Puiſqu’il meriteroit l’empire de la terre, Ie ne puis rien auoir qui luy face la guerre, Mon Filandre eſt mon tout, & ie ſuts ſa moitié, C’eſt ainſi que le Ciel vnit noſtre amitie, C’eſt à vous ſeulement que i’annonce ma flamme, Rochers, arbres, ruiſſeaux, confidens de mon ame, A la condition que vous, ny ces foreſts, Ne reuelerez pas mes amoureux ſecrers;	Enfin ie suis vaincue, amour a des laurters, Mes bras vont captiver le plus grand des guerriers, Puisqu'il mériterait l'empire de la terre, Je ne puis rien avoir qui lui face la guerre, Mon Filandre est mon tout, et un suts sa moitié, C'est ainsi que le Ciel vnit notre amitié, C'est à vous seulement que j'annonce ma flamme, Rochers, arbres, ruisseaux, confidents de mon âme, A la condition que vous, ni les forêts, Ne révélerez pas mes amoureux secrers;
Encore cet Echo ne fait que me dejplaire, A cauſe qu’il n'a pas le pouuoir de ſe taire;	Encore cet Écho ne fait que me dejplaire, A cause qu'il n'a pas le pouvoir de se taire;
La honte est dans mes yeux, l’innocence en mes pleurs, Et deſia la pudeur me peint de ſes couleurs:	La honte est dans mes yeux, l'innocence en mes pleurs, Et déjà la pudeur me peint de ses couleurs:
Mais deuſſay-je encourir les eſclats du tonnerre, Tout ce qui vient du Ciel ſe doit dire à la terre, Luy-meſme est amoureux des choſes d’icy bas, Quand la vertu milite auecque des appas:	Mais dussé-je encourir les éclats du tonnerre, Tout ce qui vient du Ciel se doit dire à la terre, Lui-même est amoureux des choses d'ici bas, Quand la vertu milite avec des appas:
F'æime trop ſainctement pour ſouffrir de la honte, Le Soleil ne voit rien que luy qui me furmonte, dau feunimde eſt amfor pure s& pus te me pue amoue Qu’il a quand il deuient amoureux de ſon iour, I’ay tant diſsimile que tout m’eſt dificile.	S'æime trop sainte pour souffrir de la honte, Le Soleil ne voit rien que lui qui me furmonte, dau feunimde est amoureux de son jure s' ai pue amoue Qu'il a quand il devient amoureux de son jour, J'ai tant dissimile que tout m'est diicile.
Filandre caché à l’eſcart, ſans eſtre veu ny ou ?	Filandre caché à l'écart, sans être vu ni ou ?
C’eſt la ſubtilité dont nous duppe vne fille.	C'est la subtilité dont nous dupe une fille.
Agaritte.	Agaritte.
I'ay cent fois exhale mes feux en des ſouspirs.	J'ai cent fois exhale mes feux en des soupirs.
Filandre.	Filandre.
aceroyuto que ju cuuene imtuſa tes cepnirsa	aceroyoût que ju cuene imtusa tes cepnirsa
Agaritte.	Agaritte.
I'ay feint des crhautez dont ie n'eſtois capable,	J'ai feint des crhautés dont je n'étais capable,
Filandre.	Filandre.
Que de peur de donner vn ſoupçon de coupable.	Que de peur de donner un soupçon de coupable.
Agaritte.	Agaritte.
I’ay voulu deguiſer le feu de mes regards,	J'ai voulu déguiser le feu de mes regards,
EMALAEC.	EMALAC.
De peur de ſe bleſſer auec ſes propres dards.	De peur de se blesser avec ses propres dards.
Agaiſtte.	Agaistte.
En vn mot i’ay tout fait, afin de né rien faire.	En un mot j'ai tout fait, afin de né rien faire.
Filandre.	Filandre.
Mais ce que font les Dieux on ne le peut deffaire.	Mais ce que font les Dieux on ne le peut défaire.
Agaritte.	Agaritte.
lt fenss de jorenmeitier quunatt me fleut ouyjer y	lt sens de jorenmeitier quunatt me fleut ouïjer y
Filandrs.	Filandrs.
De peur que la pudeur la voulust accuſer.	De peur que la pudeur la voulût accuser.
Agaritte.	Agaritte.
Mon cœur a plus de ioye en cachant ſon hommagés	Mon cœur a plus de joie en cachant son hommagés
Filandre.	Filandre.
Que ie n'ay de plaiſir à baiſer ſon image.	Que ici n'ai de plaisir à baiser son image.
Agaritte.	Agaritte.
Et ſon ſouuenir ſeul me peut plus reſiouyr,	Et son souvenir seul me peut plus réjouir,
Filandre.	Filandre.
A--------- Que la fidelité quand elle veut iouïr.	A- Que la fidélité quand elle veut jouir.
Agaritte.	Agaritte.
Ie languis doucement d’vne choſe inſenſee, Que ie n’oſerois dire à ma propre penſee:	Je languis doucement d'une chose insensée, Que tu n'oserais dire à ma propre pensée:
Enfin ie n’en puis plas, & ma ioye a des pleurs Qui rendent mon ſommeil amoureux de ſes fleurs.	Enfin ici n'en puis plas, et ma joie a des pleurs Qui rendent mon sommeil amoureux de ses fleurs.
Elſe s’endort.	Else s'endort.
Filandre approche.	Filandre approche.
Mes ennuis ſont dans le tombaau, Le bonheur respire ma vie, Et pour me complaire, l’enuie Apris vn viſage plus beau.	Mes ennuis sont dans le tombaau, Le bonheur respire ma vie, Et pour me complaire, l'envie Apris un visage plus beau.
Le fruict quand il eſt meur ne fait plus que vieillir, Il faut le recueillir.	Le fruit quand il est meur ne fait plus que vieillir, Il faut le recueillir.
Enfin i’at de la recompenſe Apres tant de trauaux ſoufferts, Et mon Agaritte ne penſe Qu'à me deliurer de mes fers.	Enfin j'at de la récompense Après tant de travaux soufferts, Et mon Agaritte ne pense Qu'à me délivrer de mes fers.
Le fruict quand il eſt meur ne fait plus que vieillir!	Le fruit quand il est meur ne fait plus que vieillir!
Il faut le recueillir.	Il faut le recueillir.
8 I’arriue, ce me ſemble, à ces beaux monumens Qui vont enſeuelir nos meſcontentemens, Ie treßaille de ioye en ſongeant que la grace Me va faire vn preſent des artraits de ſa face, Tout combat à l’enuy pour faire mes plaiſirs, Et n'ay plus de ſujet de faire de deſirs;	8 J'arrive, ce me semble, à ces beaux monuments Qui vont ensevelir nos mécontentements, Je trouvaille de joie en songeant que la grâce Me va faire un présent des artraits de sa face, Tout combat à l'envi pour faire mes plaisirs, Et n'ai plus de faire de faire dé sirs;
Il ſemble que la nuict couure de ſa peinture Les traits plus amoureux de toute la Narure, Diane s’eſt cachee, & ie crois que les Cieux, De peur de regarder, ont perdu tous leurs yeux, Icy tout eſt aueugle auſsi bien que ma flamme, Et ie ne vots plus rien que des yeux de mon Ame,	Il semble que la nuit couvre de sa peinture Les traits plus amoureux de toute la Narre, Diane s'est cachée, et Seigneur crois que les Cieux, De peur de regarder, ont perdu tous leurs yeux, Ici tout est aveugle aussi bien que ma flamme, Et Seigneur ne vots plus rien que des yeux de mon Âme,
Agaritte en s’eſueillant.	Agaritte en s'éveillant.
C’eſt parce qu’vn fruict meur ne fait plus que vieilcer 2 Et qu’on ne ſeme point qu’afin de recueillir:	C'est parce qu'un fruit meur ne fait plus que vieilcer 2 Et qu'on ne seme point qu'afin de recueillir:
Filandre.	Filandre.
Ah, mon Ange, ie vois mon ante preüenu, C’eſt pour vous que Diane abandonne la nuë, Que tout deuient aueugle, & que le Roy des Cieux En voyant vos appas s’est fait oster les yeuxs	Ah, mon Ange, je vois mon ante prévenu, C'est pour vous que Diane abandonne la nue, Que tout devient aveugle, et que le Roi des Cieux En voyant vos appas s'est fait ôter les yeuxs
Agaritte.	Agaritte.
le reſuois en vos feux.	le rêvais en vos feux.
LTalldre.	LTalldre.
Le ſommeil n’eſt plus fable, Puiſqu’il vous entretient d’vn bien ſi veritable.	Le sommeil n'est plus fable, Puisqu'il vous entretient d'un bien si véritable.
Agaritte.	Agaritte.
Ie diſois dans le cœur que ce couple conſtant, De l’amitié duquel la glotre parle tant, N'est qu'vn petit portraict au prix de la duree De la fidelité que ie vous ay iurée, I’honorois Nostre image auecque des fouspirs 2 Qui faifoient violence au vœu de ces zephirs, Ie raiſonnois ainſi que le Ciel & ſes Anges, Facent tant qu’ils voudront des ſujets de loüanges, Que la grace s'espuiſe en voulant s’allier Aux œuures dont Apelle eterntze l’ouurier, Que ces fameux autels dont les moindres exemples Seroient de beaux deſſeins à bastir mille temples;	Je disais dans le cœur que ce couple constant, De l'amitié duquel la glotre parle tant, N'est qu'un petit portrait au prix de la dure De la fidélité que je vous ai jurée, J'honorais Notre image avec des fouspirs 2 Qui faisaient violence au vœu de ces zéphyrs, Je raisonnais ainsi que le Ciel et ses Anges, Facent tant qu'ils voudront des sujets de langes, Que la grâce s'épuise en voulant s'allier Aux œuvres dont Apelle éterntze l'ouvrier, Que ces fameux autels dont les moindres exemples Seroient à beaux desseins mille nô mille desseins;
Charment tant qu’ils voudrons la rigueur du tombeau, Ie trouue mon Amant touſiours vn peus plus beaut.	Charment tant qu'ils voudrons la rigueur du tombeau, Je trouve mon Amant toujours un pus plus beaut.
Filandre.	Filandre.
Qu'vn Amour vertueux a de belles loüanges, Vos diſcours deſormais feront plus que les Anges, Vous loüez vn mortel eſclaue de vos yeux, Et les Anges ne font que loüanger les Dieux:	Qu'un Amour vertueux a de belles louanges, Vos discours désormais feront plus que les Anges, Vous louez un mortel esclaue de vos yeux, Et les Anges ne font que langer les Dieux:
Il eſt bien vray qu'aimer au deſſus de la terre, C’eſt faire comme ceux qui portent le tonnerre, C’eſt eſtre au rang des Dieux, pour qui Nature & fait Les plus nobles efforts d’vn ouurage parfait, Ie tremble en approchant d’vne choſe ſi ſaincte:	Il est bien vrai qu'aimer au dessus de la terre, C'est faire comme ceux qui portent le tonnerre, C'est être au rang des Dieux, pour qui Nature et fait Les plus nobles efforts d'un ouvrage parfait, Je tremble en approchant d'une chose si sainte:
Er quoy, petit amour, tu n'es plus vne feinte, Qu’on aueugle à bon droict les portraits de l’amour, Puiſque ce ſont vos yeux qui poſſedent ſon iour, Vous auez des regards ou mon ame eſgaree Sans l’immortalire perdroit ſa duree.	Er quoi, petit amour, tu n'es plus une feinte, Qu'on aveugle à bon droit sa portraits de l'amour, Puisque ce sont vos yeux qui possèdent son jour, Vous avez des regards ou mon âme égarée Sans l'immortalire perdrait sa dure.
L Oerans ports amoureux!	L Oerants ports amoureux!
O charmes innocens, Ois voulez.	Ô charmes innocents, Ois voulez.
vous, beaux veux, que je trouue des fons?	vous, beaux veux, que je trouve des fons?
Rauiſſez-moy le cœur, mais laiſſez moy la vie:	Ravissez-moi le cœur, mais laissez -moi la vie:
Mais ce dernier regard me l’a deſia rauie, Ie penſe que l’amour deuenu mon jaloux, A meſlé vos douceurs auecque ſon couroux:	Mais ce dernier regard me l'a déjà ravie, Je pense que l'amour devenu mon jaloux, À mêlé vos douceurs auecque son courroux:
75 Ah, beau ſein, ie me meurs, l’Amant de Cleopastre Eut vn meſme rombeau de marbre & d’alebastre.	75 Ah, beau sein, je me meurs, l'Amant de Cleopastre Eut un même rombeau de marbre et d'allébastre.
Il trepaife de ioye dans ſon ſeiſte.	Il trepaipe de joie dans son seiste.
Agaritte.	Agaritte.
Si vous estes paſmé pour estre entre mes bras, Je crois que vous mourez eſtant entre mes draps, Si ce Roy des Amans dort auprez de ma bouche, Ie crois que l’Vniuers n’a plus rien qui le touche, Son cœur eſt languiſſant, & ſi ſon ame dort, C’eſt donc ſi doucement qu’on diroit qu’il eſt mort:	Si vous êtes pâmé pour être entre mes bras, Je crois que vous mourez étant entre mes draps, Si ce Roi des Amants dort auprez de ma bouche, Je crois que l'Univers n'a plus rien qui le touche, Son cœur est languissant, et si son âme dort, C'est donc si doucement qu'on dirait qu'il est mort:
Mais loin de moy ces mots, il ſoußpire vne vie Que les Dieux n’oſtent point ſi ce n'est par enuie, L’air deuenu plus doux dans ſes petets ſouspirs, Liure la jalouſie aux graces des Zephirs, Le Ciel est amoureux en l’honneur de ſa peine, Et l’air fait plus de bruit que ne fait ſon haleine, Amour en ſa faueur fait ennemy du iour, Compoſe ſon repos de ſommeil & d’amour, Ce vent bat les rameaux auecque moins de force, Cet arbre n'ozeroit regarder ſon eſcorce, La Lune qui s’enfuit euite le hazerd De troublerſon repos ſeulement d’vm regard,	Mais loin de moi ces mots, il soupire une vie Que les Dieux n'ôtent point si ce n'est par envie, L'air devenu plus doux dans ses petets soupirs, Livre la jalousie aux grâces des Zéphyrs, Le Ciel est amoureux en l'honneur de sa peine, Et l'air fait plus de bruit que ne fait son haleine, Amour en sa faveur fait ennemi du jour, Compose son repos de sommeil et d'amour, Ce vent bat les rameaux avec moins de force, Cet arbre moinsozeroit regarder regarderait écorce, La Lune qui s'enfuit eu le hazerd Eu le repos seulement d'on re,
1 Ces Estoilles qui n’ont qu’vne lumiere peintea De peur de l’eſueiller ne luiſent que par feinte, Le bruict de ce ruiſſeau s’arreſte bellement, Et l’eau, puiſqu’il luy plaist, n'a plus de tremblement.	1 Ces Étoilles qui n'ont qu'une lumière peintea De peur de l'éveiller ne luisent que par feinte, Le bruit de ce ruisseau s'arrête bellement, Et l'eau, puisqu'il a pt, n'a plus de tremblement.
Alcydor habillé en chaſſeur dit en paſſant & ſans rien troubler.	Alcidor habillé en chasseur dit en passant et sans rien troubler.
Qu'Amour deuient chaſſeur pour vne belle proye.	Qu'Amour devient chasseur pour une belle proie.
Agaritte pourſuit.	Agaritte poursuit.
Ie crois naifuement qu’il rend l’ame à la ioye;	Je crois naifuement qu'il rend l'âme à la joie;
O vengeurs de mes feux?	Ô vengeurs de mes feux?
deuenez-vous jalous De ce que ſa vertu meritte mieux que vous?	devenez-vous jalous De ce que sa vertu méritte mieux que vous?
Vrais idoles, faux Dieux, auez-vous vn tonnerre, Si vous en auez vn, faites vous-en la guerre?	Vrais idoles, faux Dieux, avez-vous un tonnerre, Si vous en avez un, faites vous-en la guerre?
O Dieux!	Ô Dieux!
Nature, Amour, falloit-il que les Cieux, Pour luire à mes malheurs, me donnaſſent des yeux?	Nature, Amour, fallait-il que les Cieux, Pour luire à mes malheurs, me donnassent des yeux?
I’en ternray l’eſclat, & ces charmes perfides N'auront plus de pouuoir que pour eſtre homicides, Auſsi bien leurs beautez, aueugles de l’amour, Apres cet accident doiuent perdre le iour, Ie maudis les attraits de mon traistre viſage, Amour, apres Filandre, en a perdu l’vſage.	J'en ternous que pourra, et ces charmes perfides N'auront plus de pouvoir que pour être homicides, Aussi bien leurs beautés, aveugles de l'amour, Apres cet accident doivent perdre le jour, Je maudis les attraits de mon traître visage, Amour, après Filandre, en a perdu l'usage.
Et vous, maudites mains, arrachez mes cheueux, Purſque le Roy des cœurs ne vous fait plus de vœux?	Et vous, maudites mains, arrachez mes cheveux, Pursque le Roi des cœurs ne vous fait plus de vœux?
Mais c'est faire trop peu que d’en auoir enuie, Il faut en meſme temps que vous m’ostiez la vies Ie meurs trop lentement, mon tout m'accuſera	Mais c'est faire trop peu que d'en avoir envie, Il faut en même temps que vous m'ôtiez la vies Je meurs trop lentement, mon tout m'accusera
D’inconſtance en amour, quand Charon le verra;	D'inconstance en amour, quand Charon le verra;
Il faut que la raiſon & la mort nous oſſemble, Car nous ne ſommes nez que pour mourir enſemble.	Il faut que la raison et la mort nous ossemble, Car nous ne sommes nez que pour mourir ensemble.
Ah!	Ah!
mon chaste Filandre, eſt-te auecque deſſein, Que tu voulus chercher vn tombeau dans mon ſein;	mon chaste Filandre, est-te auecque dessein, Que tu voulus chercher un tombeau dans mon sein;
Quel exemple d’amour est couché dans l’hiſtoire, Qui peut mieux meriter vne eternelle gloire?	Quel exemple d'amour est couché dans l'histoire, Qui peut mieux mériter une éternelle gloire?
Quand i'y penſe ie meurs, & n'oze plus pleurer, De peur que le regret m'empeſche d’adorer, Ie laiſſe toutefois au Ciel & à ſes aſtres Lamenter à iamais de ſi triſtes deſaſtres;	Quand j'y pense ie meurs, et n'ose plus pleurer, De peur que le regret m'empêche d'adorer, Je laisse toutefois au Ciel et à ses astres Lamenter à jamais de si tristes désastres;
Et puis ne mourir pas, c’est commettre vn peché, Puiſque Filandre eſtoit à mon ame attaché:	Et puis ne mourir pas, c'est commettre un péché, Puisque Filandre était à mon âme attaché:
Que la foudre me bruſle, & que mon innocence Ne monſtre ſon pouuoir que dans ſon impuiſſance?	Que la foudre me brûle, et que mon innocence Ne montre son pouuoir que dans son impuissance?
Mais le Ciel trop ingrat qui bannit le treſpas, Pour m’eſtre plus cruel, voudroit ne l’estre pas, Et ſa noire rigueur afin de me deſplaire, Vſe de la douceur quand ie n’en ay que faire:	Mais le Ciel trop ingrat qui bannit le trépas, Pour m'être plus cruel, voudrait ne l'être pas, Et sa noire rigueur afin de me déplaire, V de a douceur quand ie en ay que re,
La mort ſe fait touſiours d’vn viſage plus beau, Quand quelque deſeſpoir luy demande vn tombeau, Et l’immortalisé.	La mort se fait toujours d'un visage plus beau, Quand quelque désespoir tu demande un tombeau, Et l'immortalisé.
Alcydor.	Alcidor.
Belle Reine des charmes, I'oze vous demander qui vous cauſe ces larmes, Vos diuines beautez, à qui nous comparons Par la loy de l’amour ce que nous adorons, K iij La grace de ce teint merite des hommages Qui menace la mort d'y peindre ſes images:	Belle Reine des charmes, J'oze vous demander qui vous cause ces larmes, Vos divines beautés, à qui nous comparons Par la loi de l'amour ce que nous adorons, La grace de ce teint merite des hommages Qui menace la mort d'y peindre ses images:
Et puis te viens de voir vn regret aſſez beau, Ie crois que c'eſt aſſez d’aimer iuſqu'au tombeau, Si vous perdez vn cœur vous en recouurez mille, Et ſe deſesperer, c'eſt trop pour vne fille, L’amour que ie vous donne est auſt precieux Que du premier Amant, car ie le tiens des Cieux, Les Dieux ont vn vouloir ſur les choſes humaines, Et la perſeuerance eſt le prix de nos peines.	Et puis te viens de voir un regret assez beau, Je crois que c'est assez d'aimer jusqu'au tombeau, Si vous perdez un cœur vous en recouvrez mille, Et se désespérer, c'est trop pour une fille, L'amour que je vous donne est aussi précieux Que du premier Amant, car ie le tiens des Cieux, Les Dieux ont un vouloir sur les choses humaines, Et la persévérance est le prix de nos peines.
Agaritte.	Agaritte.
Mes reprets font vaincus, la mort oſte l’amour On prattique cela maintenant à la Cour, A la mode du temps, voilà comme l’on atme, Et la raiſon me dit qu’il faut faire de meſme, Alcidor ie reçois l’hommage de mes vœux, Voilà le monument que meritent tes feux.	Mes réprets font vaincus, la mort ôte l'amour On prattique cela maintenant à la Cour, À la mode du temps, voilà comme l'on atme, Et la raison me dit qu'il faut faire de même, Alcidor ie reois l'hommage de mes vœux, Voilà le monument que méritent tes feux.
Alcydor.	Alcidor.
Et moy qui ne vous puis plus donner que mon ame, Ie veux que ce baiſer eternize ma flamme.	Et moi qui ne vous puis plus donner que mon âme, Je veux que ce baiser éternize ma flamme.
SCENE I.	SCÈNE I.
Artenice priſonniere dans l’armee.	Artenice prisonnière dans l'armée.
Eduite à l’empire des fers R Le deſes poir me fait la guerre Dans vn modele des enfers, De qui le toict meſme eſt ſous terre.	Éduite à l'empire des fers R Le deses poir me fait la guerre Dansmme modèle des enfers, De qui le toit même est sous terre.
Calyante priſonnier en la ville.	Calyante prisonnier en la ville.
Reduit à l’empire des fers De deſespoir mejant fashene, Dans vn modele des enfers De qui le toict meſme eſt ſous terre.	Réduit à l'empire des fers De désespoir méjant fashène, Dans mille modèle des enfers De qui le toit même est sous terre.
Artenice.	Arténice.
Mes eris, mes ſouſpirs, & mes pleurs, Ne lamentent point les douleurs Bont in aſfrige l Dyanute ;	Mes eris, mes soupirs, et mes pleurs, Ne lamentent point les douleurs Bont in asfrige l Dyanute ;
Ie porte dans le ſetn Vn courage plus fort, Dont Calyante eſt le gente, Mais l’abſence eſt vn mal qui me donne la mort.	Je porte dans le setn Un courage plus fort, Dont Calyante est le gente, Mais l'absence est un mal qui me donne la mort.
Calyante.	Calyante.
Mes eris, mes ſouſpirs, & mes pleurs,	Mes eris, mes soupirs, et mes pleurs,
ASS 1 Ne lamentent point les douleurs Dont m'afflige la tyrannie, Ie porte dans le ſein vn courage plus fort, Dont Artenice eſt le genie, Mhats tauſence eſt vn mat qui me conne la mort.	AS 1 Ne lamentent point les douleurs Dont m'afflige la tyrannie, Je porte dans le sein un courage plus fort, Dont Artenice est le génie, Mhats tausence est un mat qui me conne la mort.
Artenice.	Arténice.
Dans ces lieux voüez au malheur, A qui des ſermens font hommage, Le Soleil a moins de chaleur Que l’on n’en peint à ſon image, Les feux de l’eternelle nuict Animent celuy qui pourſuit Le tyran d’vne ame rauie, De qui la cruauté penſe trouuer un porê Dans le naufrage de ma vie, Mais l’abſence est vn mal qui me donne la mort.	Dans ces lieux val au malheur, À qui des serments font hommage, Le Soleil a moins de chaleur Que l'on n'en peint à son image, Les feux de l'éternelle nuit Animent celui qui poursuit Le tyran d'une âme ravie, De qui la cruauté pense trouver un porêler Dans le naufrage de ma vie, Mais l'absence est un mal qui me donne la mort.
Calyante.	Calyante.
Mais l’abſence est vn mal qui me donne la mort.	Mais l'absence est un mal qui me donne la mort.
Artenice.	Arténice.
Aimant le Phœnix des Amans I’endure plus qu'vne autre Amante, Parce que mes reſſentimens Imittent ceux de Calyante.	Aimant le Phœnix des Amants J'endure plus qu'une autre Amante, Parce que mes ressentiments Imittent ceux de Calyante.
Calyante.	Calyante.
Le plus malheureux des Amans N’a rien au prix de mon ſupplice, Parce que mes reſſentimens Sont pareils à ceux d’Artenice, Loin de ſes yeux i'ay des ennuis, Qui parmy d’eternelles nuits Conſeruent encore ma vie, Afin de rourmenter auecque plus d’effout Vne ame eſclaue de l’enuie, Mais l’abſence eſt vn mal qui me donne la mort.	Le plus malheureux des Amants N'a rien au prix de mon supplice, Parce que mes ressentiments Sont pareils à ceux d'Artenice, Loin de ses yeux j'ai des ennuis, Qui parmi d'éternelles nuits Conservent encore ma vie, Afin de rourmenter auecque plus d'effout âme esclaue de l'envie, Mais l'absence est un mal qui me donne la mort.
Artenice.	Arténice.
.	.
Mais l’abſence eſt vn mal qui me donne la mort.	Mais l'absence est un mal qui me donne la mort.
Guillaume.	Guillaume.
