A v	À v
Ta qualité de marque, aucunement étrange A ſon ſang populaire & tiré de la fange, Nioit à ſon eſpoir les bien heureux accords, Qui ioignent ſous Himen deux eſprits & deux corps.	Ta qualité de marque, aucunement étrange À son sang populaire et tiré de la fange, Niait à son espoir les bien heureux accords, Qui joignent sous Hymen deux esprits et deux corps.
Et ce titre d’époux, honteux aux ames fortes, Que par dépit du Ciel & de l’Amour tu portes, Duiſoit mal à ton âge, & pour vous allier, Il euſt falu la terre au Ciel apparier.	Et ce titre d'époux, honteux aux âmes fortes, Que par dépit du Ciel et de l'Amour tu portes, Duisait mal à ton âge, et pour vous allier, Il eût fallu la terre au Ciel apparier.
Quelquefois en riant tu m’as compté la feſte, Que pour voſtre nopçage l’on penſoit toute preſte, Lors que ſa parenté ridicule, esperoit Qu’vn accord entre vous ferme demeureroit.	Quelquefois en riant tu m'as compté la fête, Que pour votre nopçage l'on pensait toute prête, Lors que sa parenté ridicule, espérait Qu'un accord entre vous ferme demeurerait.
Elle qui ſulement d’Amour fut incensée, Ne s’entretin iamais de ſi folle pensée:	Elle qui sulement d'Amour fut incensée, Ne s'entretin jamais de si folle pensée:
Mais contre le deſtin auec toy plaignoit, Qu'à vos deſirs égaux le rang ne ſe ioignoit:	Mais contre le destin toujours toi plaignait, Qu'à vos désirs égaux le rang ne se joignait:
Il eſt vray qu’en l’effort de ceſte rage extréme, Tu pouuois oblier, & ta race & toy meſme, Et l’amant qui troublé de tel empeſchement, Se détourne d’aimer, ayme trop lachement:	Il est vrai qu'en l'effort de cette rage extrême, Tu pouvais oblier, et ta race et toi -même, Et l'amant qui troublé de tel empêchement, Se détourne d'aimer, aime trop lèchement:
Qu’il nous trauaille plus, moins il a de licence, Qu'en des baiſers permis ceſte vertu s’endort, Et que le lict d’Hymen eſt le lict de ſa mort.	Qu'il nous travaille plus, moins il a de licence, Qu'en des baisers permis cette vertu s'endort, Et que le lit d'Hymen est le lit de sa mort.
21	21
ELEGIE.	ÉLÉGIE.
Eſia trop longuement la pareſſe me flatte, Et Et ie ſens qu’à la fin elle deuient ingratte, I’ay donné trop de emps à mon propre plaiſir, Pour trop de liberté i’ay manqué le loiſir, Ie veux effrontement auecques mon ſalaire, Nourrir à tes dépens le ſoucy de me plaire.	Esia trop longuement la paresse me flatte, Et Et ie sens qu'à la fin elle devient ingrate, J'ai donné trop de emps à mon propre plaisir, Pour trop de liberté j'ai manqué le loisir, Je veux effrontément avec mon salaire, Nourrir à tes dépens le souci de me plaire.
Ie ne puis eſtre eſclaue, & viure en te ſernant, Comme vn Maiſtre d’âtel, Secretaire, ou ſuiuant, Telle condition veut vne autre humeur ſeruile, Et pour me captiuer elle eſt vn peu trop vile:	Je ne puis être esclave, et vivre en te sernant, Comme un Maître d'âtel, Secrétaire, ou suivant, Telle condition veut une autre humeur servile, Et pour me captiver elle est un peu trop vile:
Mais puis que le deſtin a trahy mon eſprit, Et que loin du Perou la fortune me prit, Ie dois aimer mon ioug, m’y rendre volontaire, Et dedans la contrainte obeïr & me taire:	Mais puis que le destin a trahi mon esprit, Et que loin du Perou la fortune me prit, Je dois aimer mon joug, m'y rendre volontaire, Et dedans la contrainte obéir et me taire:
C’eſt d’vn iuſte deuoir ſurmonter la raiſon, Et trouuer la franchiſe au fonds d’vne priſon.	C'est d'un juste devoir surmonter la raison, Et trouver la franchise au fond d'une prison.
Or ie ſuis bien-heureux ſous ton obeïſſance, En ma captinité i’ay beaucoup de licence, Et tout autre que toy, ſe laſſeroit en fin, D’auoir ſi cherement vn ſerf ſi libertin:	Or ici suis bienheureux sous ton obéissance, En ma captinité j'ai beaucoup de licence, Et tout autre que toi, se lasserait en fin, D'avoir si chèrement un serf si libertin:
Le ſorn de te ſeruir, c’eſt ce que moias m'uſi ge,	Le sorn de te servir, c'est ce que moias m'uzi ge,
Et l’honneur de te voir eſt ce qui plus m’oblige, Tont entretien eſt doux, agreable & ſçauant, Aux plus doctes diſcours qu’on peut mettre en auant, Tes regards ſon courtois, tes propos amiables, Ton humeur agreable, & tes mœurs ſociables, Tes charges, tes maiſons, tes qualitez, on bien, Au prix de ta vertu, ie ne les priſe rien.	Et l'honneur de te voir est ce qui plus m'oblige, Tont entretien est doux, agréable et savant, Aux plus doctes discours qu'on peut mettre en avant, Tes regards son courtois, tes propos amiables, Ton humeur agréable, et tes mœurs sociables, Tes charges, tes maisons, té mités, on bien, On prix de ta vertu, ie ne les prise rien.
Eſtime ton merite il vaut mieux que le Gange, Tet richeſſes au prix ſont de terre & de fange:	Estime ton mérite il vaut mieux que le Gange, Test richesses au prix sont de terre et de fange:
Cela n’a point d’éclat auprés de ta valeur, Et mon Poëme auſſi n’emprunte rien du leur:	Cela n'a point d'éclat auprès de ta valeur, Et mon Poème aussi n'emprunte rien du leur:
La race, la grandeur, l’argent, la renommée, Aux iugemens bien clairs n’eſt qu’ombre & que fumée.	La race, la grandeur, l'argent, la renommée, Aux jugements bien clairs n'est qu'ombre et que fumée.
C’eſt vn luſtre pipeur, qui s’écoure & qui fuit, Auec l’entendement du brutal qui le ſuit.	C'est un lustre pipeur, qui s'écoure et qui fuit, Avec l'entendement du brutal qui le suit.
Ie ſçay que la nature a voulu que tu prinſſes, Et le ſang, & le nom d’vne race de Princes:	Je sais que la nature a voulu que tu prinsses, Et le sang, et le nom d'une race de Princes:
Mais quand bien les grãds Rois, dont çe nõ eſt fameux.	Mais quand bien les grands Rois, dont çe nôtre est fameux.
T’auroient laiſsé bien riche, & floriſſant comme eux.	T'auraient laissé bien riche, et florissant comme eux.
Si d’vn espeit commun le Ciel i’auoit fait naitre, Ie ſerois bien mary de t’auoir eu pour maiſtre.	Si d'un espéit commun le Ciel j'avait fait naître, Je serais bien mari de t'avoir eu pour maître.
Qu’vn homme ſans eſprit eſt rude & déplaiſant, Et que le ioug des ſots eſt faſcheux & peſani:	Qu'un homme sans esprit est rude et déplaisant, Et que le joug des sots est fâcheux et pesani:
Vn ſage à leur deſir ſans contrainte ne plie, Et iamais ſans regret d’vn tel nœud ne ſe lie:	Un sage à leur désir sans contrainte ne plie, Et jamais sans regret d'un tel nœud ne se lie:
Vn ſot il eſt cruel, ingrat, imperieux, Tantoſt on le voit morne, & tantoſt furieux, Oblige ſans ſubiet, mal à propos offence, Et qui ne fait iamais du bien quand il y penſe.	Un sot il est cruel, ingrat, impérieux, Tantôt on le voit morne, et tantôt furieux, Oblige sans sujet, mal à propos offense, Et qui ne fait jamais du bien quand il y pense.
Son eſprit ignerant ne peut rien eſtimer, Il n’a nulle raiſon, il ne ſçait rien aymer:	Son esprit ignerant ne peut rien estimer, Il n'a nulle raison, il ne sait rien aimer:
Or il veut qu’on le tance, & tanteſt qu’on le louë, Tantoſt il fait du bruit, & tantoſt il ſe ioue,	Or il veut qu'on le tance, et tantôt qu'on le loue, Tantôt il fait du bruit, et tantôt il se joue,
Il ne ſçait qu’il le fâche, ou qui luy fait plaiſir, Et luy meſme en ſon cœur n’entend point ſon deſir:	Il ne sait qu'il le fâche, ou qui lui fait plaisir, Et deux même en son cœur n'entend point son désir:
Mais d’vn orgniel farouche, & d’vne ame inſolente, Il force tout deuoir, toutes loix violente, Et ne peut accorder, tout ignorant qu’il eſt, Qu’vne choſe ſoit bien que quand elle luy plaiſt, Eſtre ſçauant chez luy c’eſt vne honte, vn crime, Il croit que c’eſt tout vn qu’un charme ou qu’vn rimé:	Mais d'vn orgniel farouche, et d'une âme insolente, Il force tout devoir, toutes lois violente, Et ne peut accorder, tout ignorant qu'il est, Qu'une chose soit bien que quand elle-même plaît, Être savant chez lui nest re honte, une crime, Il croit que c'est tout un un charme ou qu'un rimé:
Si Dieu m’auoit iamais à tel maiſtre donné, Ie pourois bien iurer que ie ſerois damné, Et croy que mes deſtins auroient moins de colere, De m’auoir attaché de fers d’vne galere, Bourellé comme ceux que tu voyois ramer, Quand vn ſi beau deſſein te porta ſur la mer:	Si Dieu m'avait jamais à tel maître donné, Je pourrais bien jurer que ici serais damné, Et crois que mes destins auraient moins de colère, De m'avoir attaché de fers d'une galère, Bourellé comme ceux que tu voyais ramer, Quand un beau si dessein te porta sur la mer:
Neptune eſt effroyable, il tempeſte, il écume, La feureur iuſqu’au Ciel vômit ſon amertume, Trahy les plus-heureux, & leur fait vn cercueil, Tantoſt d’vn banc de ſable, & tantoſt d'vn eſcueil:	Neptune est effroyable, il tempête, il écume, La fureur jusqu'au Ciel vômit son amertume, Trahi les plusheureux, et leur fait un cercueil, Tantôt d'un banc de sable, et tantôt d'un écueil:
Ses abois font horreur, & meſme en la bonace Par vn ſilence affreux ce trompeur nous menace.	Ses abois font horreur, et même en la bonace Par un silence affreux ce trompeur nous menace.
Il a deuant tes yeux fait bleſmir les nochers:	Il a devant tes yeux fait blêmir les nochers:
Obſcurcy le Soleil, & fendu les rochers:	Obscurci le Soleil, et fendu les rochers:
De ſes flots il fait naître & mourir le tonnere, Et de ſont bruit hydeux gemir toute la terre:	De ses flots il fait naître et mourir le tonnere, Et de sont bruit hideux gémir toute la terre:
L’image de la mort paſſe au trauers des flots, Dans les cœurs endurcis des plus fiers matelots:	L'image de la mort passe au travers des flots, Dans les cœurs endurcis des plus fiers matelots:
Ces frayeurs ne t’ont point ebranlé le courage, On i’a veu touſiours ferme au plus fort de l’orage, D’vn iugement robuſte au milieu du danger, Tenir indifferent vn ſepulchre étrancger;	Ces frayeurs ne t'ont point ébranlé le courage, On j'a vu toujours ferme au plus fort de l'orage, D'un jugement robuste au milieu du danger, Tenir indifférent un sépulcre étrancger;
Et les lâches accens d’vne voix étonnée.	Et les lâches accents d'une voix étonnée.
Ne t’ont point fait gemir comme faiſoit Anée, Biens que moins rudement Neptune l’aſſaillit,	Ne t'ont point fait gémir comme faisait Anée, Biens que moins rudement Neptune l'assaillit,
Tout Heros qu’il eſtoit le cœur luy defaillit, Il eut peur de la mort, & ſe remit en l’ame Ses compagnons bruſlez dans la Troyenne flâme, Enuia leur deſtiu, & d’vn eſprii heureux, Pour eſtre hors du peril, les nomma bien-heureux, Se fuſt voulu rebaitre auec l’ombre l’Achille, Ce plaignoit de ſuruiure aux cendres de ſa ville, Et de n’auoir l’honneur que ſes os fuſſent mis Dans le tombeau de Troye où gyſoient ſes amis, Iamais tes ſentimens n’auront tant de mal-aise, Quelque part de la terre où le Soleil te laiſſe.	Tout Héros qu'il était le cœur Seigneur défaillit, Il eut peur de la mort, et se remit en l'âme Ses compagnons brûlés dans la Troyenne flamme, Envia leur destiv, et d'un esprii heureux, Pour être hors du péril, les nomma bienheureux, Se fût voulu rebaitre avec l'ombre l'Achille, Ce plaignait de surviure aux cendres de sa ville, Et de n'avoir l'honneur que ses os fussent mis Dans le tombeau de Troie où gysoient ses amis, Jamais tes sentiments n'auront tant de mal-aise' Quelque part de la terre où le Soleil te laisse.
Tu tiens également, & propice, & fatal, Ou la ter e eſtrangere, ou le pays natal.	Tu tiens également, et propice, et fatal, Ou la ter e étrangère, ou le pays natal.
Ha!	Ha!
que i’ay du regret de n’auoir veu le monde, Par où ta ieune ardeur te promena ſur l’onde, I'eſcriros en beaux vers le climat, & le lieu, Ou ton bras at taqua les encemis de Dieu, Ie ſerois glorieux d’auoir pris ton image, A qui les mieux vantez viendroient faire vn hommage.	que j'ai du regret de n'avoir vu le monde, Par où ta jeune ardeur te promena sur l'onde, J'écriros en beaux vers le climat, et le lieu, Ou ton bras at taqua les encemis de Dieu, Je serais glorieux d'avoir pris ton image, À qui les mieux vantez viendraient faire un hommage.
Tu me dois accorder deux heures de loiſir, Pour contenter icy mon curieux deſir, Me faire vn long recit de toutes les trauterſes, Que t’ont fait tant de mers, & de terres diuerſes:	Tu me dois accorder deux heures de loisir, Pour contenter ici mon curieux désir, Me faire un long récit de toutes les trauterses, Que t'ont fait tant de mers, et de terres diverses:
Ie ſçauray iaſques où la ligne tu paſſas, Les homme que tu pris les lieux que tu forças, Et ce combas naual, où ton ardeur trop prompte Fit rougir tous les tiens de colere & de honte:	Je saurai jasques où la ligne tu passas, Les homme que tu pris les lieux que tu forças, Et ce combas naval, où ton ardeur trop prompte Fit rougir tous les tiens de colère et de honte:
I’ignore ces hazards, tu me diras que c’eſt, Tu me diras comment vn naufrage ſe fait, Le ſanglant deſe poir dont le vaincu ſe ronge, Et les dangers hydeux ou le ſoldat ſe plonge, L’eſtat qu’va homme libre aprés que le deſtin Au comite cruel l’a donné pour butin:	J'ignore ces hasards, tu me diras que c'est, Tu me diras comment un naufrage se fait, Le sanglant des poir dont le vaincu se ronge, Et les dangers hideux ou le soldat se plonge, L'état qu'va homme libre après que le destin Au comité cruel l'a donné pour butin:
Auec combien d’horreur il ſe range a la cheiue, Et force l’innocence a receuoir la peine.	Avec combien d'horreur il se range à la chey, Et force innocence a recevoir la peine.
A voir tous ces obiects d’horreur & de pitié, Ie croy qu’on en deuient plus deur de la moitié, C’eſt ce qui rend ainſi le marinier farouche, Du mal de ſon prochain moins émeu qu’vne ſouche:	À voir tous ces objets d'horreur et de pitié, Je crois qu'on en devient plus devr de la moitié, C'est ce qui rend ainsi le marinier farouche, Du mal de son prochain moins ému qu'une souche:
Et ſur nos paſſions noſtre deſir vainqueur, En fin diſpoſe à tout, & les yenx, & le cœur.	Et sur nos passions notre désir vainqueur, En fin dispose à tout, et les yenx, et le cœur.
Vne lente couſtume auec le temps emporte De noſtre naturel l’affection plus forte:	Une lente coutume avec le temps emporte De notre naturel l'affection plus forte:
Mais ta douce nature, & ton cœur ſeulement, De ces contagions n’eſt touché nullement, Tu reuins tout courtois, ſi bieu qu’en apparence, Tu n’auois point paſsé les riuages de France, Entre tes qualiteZ ceſte douceur d’eſprit, Qui ſi faoilement par l’oreille me prit.	Mais ta douce nature, et ton cœur seulement, De ces contagions n'est touché nullement, Tu revins tout courtois, si bieu qu'en apparence, Tu n'avais point passé les rivages de France, Entre tes qualités cette douceur d'esprit, Qui si failement par l'oreille me prit.
Oblige plus que tout, vn grand qui s’humilie, Fait vn ioug fort aisé dont le plus ſier ſe lie.	Oblige plus que tout, un grand qui s'humilie, Fait un joug fort aisé dont le plus sier se lie.
Il ne faut qu’vn ſouſris, il ne te faut qu’vn mot, A fin d’enſorceler, & le ſage, & le ſot, Ceux-là de leur grandeur, comme ie penſe abuſent, Qui leur ſalut au moindre inſolemment refuſent, Dans vne vanitez qui les tient tous contrains Ne voyant ce qu’ils ſont, qu’en léclat de leurs trains, Se trouuent eſtonnez perdans leur bonne mine, Si leur ſuite d’ordinaire auec eux ne chemine:	Il ne faut qu'un sousris, il ne te faut qu'un mot, A fin d'ensorceler, et le sage, et le sot, Ceux-là de leur grandeur, comme il pense abusent, Qui leur salut au moindre insolemment refusent, Dans une vanités qui les tient tous contrains Ne voyant ce qu'ils sont, qu'en léclat de leurs trains, Se trouvent étonnés perdants leur bonne mine, Si leur suite d'ordinaire avec eux ne chemine:
Pour montrer leur pouuoir de ſont accent irrité, Parlent à leurs ſuiuans auec autorité.	Pour montrer leur pouvoir de sont accent irrité, Parlent à leurs suivants apprendre autorité.
Il eſt bien raiſonable icy que ie te die, Que ton eſprit bien ſain n’a point leur maladies L’Aſtre qui te fit naiſtre éuita ce malheur, Et ſuiuit vn deſtin bien differend du leur:	Il est bien raisonable ici que votre te die, Que ton esprit bien sain n'a point leur maladies L'Astre qui te fit naître évitera ce malheur, Et suivit un destin bien différend du leur:
Ne crais point que ie mente à deſſein de te plaire,	Ne crais point que Seigneur mente à dessein de te plaire,
C’eſt ce que ie n’ay point accouſtumé de faire, Ie fais le plus ſouuent mes diſcours trop hardis.	C'est ce que ici n'ai point accoutumé de faire, Je fais le plus souvent mes discours trop hardis.
Et pource qu’on me croit, on hayt ce que ie dis:	Et pource qu'on me croit, on hait ce que effet dis:
Bien-heureux auiourd’huy, que te voulant dépeindre, Ie ne ſuis obligé de faillir ou de feindre, Pour toy ſeul mon humeur qui ſuit la verité, Trouue de l’aduantage en ſa ſeuerité.	Bienheureux aujourd'hui, que te voulant dépeindre, Je ne suis obligé de faillir ou de feindre, Pour toi seul mon humeur qui suit la vérité, Trouve de l'avantage en sa sévérité.
Vne iuſte amitié m’ecite le courage D’vne in royable ardeur en ce dernier ouurage:	Une juste amitié m'écite le courage D'une in royable ardeur en ce dernier ouvrage:
Mon eſprit glorieux s’atache à cet object, Et tire vanité d’vn ſi rare ſuiect.	Mon esprit glorieux s'atache à cet object, Et tire vanité d'un si rare sujet.
Ta vertu me rauit, & fait que mon Poëme Seruant à ton plaiſir, m’obligera moy-meſme.	Ta vertu me ravit, et fait que mon Poème Servant à ton plaisir, m'obligera moi-même.
Or pour le grand deſſein où i’engage mes vers, Il faut que tes destin me ſoient mieux découuers, Que i’entre dans ton ame, & que de là ie tire La matiere du liure où ie te veux décrire:	Or pour le grand dessein où j'engage mes vers, Il faut que tes destin me soient mieux découverts, Que j'entre dans ton âme, et que de là personne tire La matière du livre où tu te veux décrire:
Mon trauail ſera long, & depuis ton berceau, Poſſuble durera iuſques à mon tombeau.	Mon travail sera long, et depuis ton berceau, Possuble durera jusques à mon tombeau.
Au raport de mes vers, n’eſpere pas qu’on croye Que tu ſois deſcendu du fagitif de Traye:	Au rapport de mes vers, n'espère pas qu'on croie Que tu sois descendu du fagitif de Traie:
Car mes inuentions ſans prendre rien d’autruy, Te feront bien ſortir d’auſſi bon lieu que luy.	Car mes inventions sans prendre rien d'autrui, Te feront bien sortir d'aussi bon lieu que lui.
Il fut vn vagabond, & quoy qu’on le renomme, Ie ne ſçait s’il poſa les fondemens de Rome:	Il fut un vagabond, et quoi qu'on le renomme, Je ne sait s'il posa les fondements de Rome:
Le compte de ſa vie eſt fort vieux & diuers, Virgile par luy-meſme a démenti ſes vers:	Le compte de sa vie est fort vieux et divers, Virgile par lui-même a démenti ses vers:
Il le depeint deuot, & le confeſſe traître Vers l’amour que leurs Dieux recognoiſsẽt pour maître, Mais mon de ſſein n’eſt pas d’examiner icy Les défauts du Troyen, ny du Poëte auſſi.	Il le dépeint dévot, et le confesse traître Vers l'amour que leurs Dieux reconnaissent pour maître, Mais mon de ssein n'est pas d'examiner ici Les défauts du Troyen, ni du Poète aussi.
Pleuſt à Dieu que des miens nos écriuains ſe taiſent, Et qu’a leur gout tardif mes audeurs ne déplaiſent, Toutesfois mon renom l’aura que faire deux, Pourueu que mon trauail ſoit au gré de nous deux:	Plût à Dieu que des miens nos écrivains se taisent, Et qu'a leur goût tardif mes audeurs ne déplaisent, Toutesfois mon renom l'aura que faire deux, Pourvu que mon travail soit au gré de nous deux:
Si mes eſprits laſſez perdent iamais haleine, Ton agreable accueil r’animera ma veine, En me loüant vn peu, tu me feras plaiſir, Et me réchaufferas d’vn plus ardant deſir.	Si mes esprits lassez perdent jamais haleine, Ton agréable accueil ranimera ma veine, En me louant un peu, tu me feras plaisir, Et me réchaufferas d'un plus ardant désir.
Vn regard de mépris me rebutte & me laſſe, Dt mon ſang le plus chaud en deuient tout de glace, Donne moy du repors, & ne viens point choiſir A mes conceptions les lieux ny le loiſir.	Un regard de mépris me rebute et me lasse, Dépris mon sang le plus chaud en devient tout de glace, Donne moi du repors, et ne viens point choisir À mes conceptions les lieux ni le loisir.
Ores i’ayme la ville, ores la ſolitude, Tumiojt lu promentde, & tantoſt mon estude.	Ores j'aime la ville, ores la solitude, Tumiojout lu promentde, et tantôt mon étude.
Bref ſi tu ne me tiens pour vn faſcheux rimour, Tu ſouffriras vn peu de ma mauuaiſe humeur.	Bref si tu ne me tiens pour un fâcheux rimour, Tu souffriras un peu de ma mauvaise humeur.
A MONSIEVR DV FARGIS,	À MONSIEUR DU FARGIS,
R E ne m'y puis reſoudre, excuſe moy de grace, Ne Eſcriuant pour autruy-ie me ſens tout de glaces & Ie te promis cheZ toy des vers pour vn Amant, Qui ſe veut faire aider à plaindre ſon tourment:	 RE ne m'y puis résoudre, excuse moi de grâce, Ne Écrivant pour autrui-je me sens tout de glaces et Je te promis chez toi des vers pour un Amant, Qui se veut faire aider à plaindre son tourment:
Mais pour luy ſati faire, & bien plaindre ſa flâme, Ie voudrois parauant auoir conneu ſon ame:	Mais pour notre satî faire, et bien plaindre sa flamme, Je voudrais paravant avoir connu son âme:
Tu ſçais bien que chacun a des gouſts tout diuers, Qu'il fau à chaque eſprit vne ſorte de vers, Et que pour bien ranger le diſcours & l’eſtude, En matiere d’amour ie ſuis vn peu trop rude:	Tu sais bien que chacun a des goûts tout divers, Qu'il fau à chaque esprit une sorte de vers, Et que pour bien ranger le discours et l'étude, En matière d'amour ie va un peu trop rude:
Il faudvoit comme Quide auoir eſté piqué, On eſerit aisément ce qu’on a pratiqué, Et ie te iure icy ſans fame le ſarouche, Que de ce feu d’amour aucun traiſt ne me touche?	Il faudait comme Quide avoir été piqué, On espérit aisément ce qu'on a pratiqué, Et ie te jure ici sans famé le sarouche, Que de ce feu d'amour aucun traît ne me touche?
Ie n'entends point les loix ny les façons d’aymer, Ny commen (Cupidon ſe meſle de charmer:	Je n'entend point les lois Seigneur les façons d'aimer, Ni commen (Cupidon se mêle de charmer:
Ceſte diuinité des Dieux meſme adoree, Ces traits d’or & de plomb ceſte trouſſe doree, Ces aiſles, ces brandons, ces carquois, ces appas, Sont vray’ment des myſteres où ie ne penſe pas.	Cette divinité des Dieux même adorée, Ces traits d'or et de plomb cette trousse dorée, Ces aisles, ces brandons, ces carquois, ces appas, Sont vraiment des mystères où il ne pense pas.
La ſotte antiquité nous a laiſsé des fables Qu'vn homme de bon ſens ne croit point receuables, Et iamais mon eſprit ne trouuera bien ſain Celuy-là qui ſe paiſt d’vn fantoſme ſi vain, Qui ſe laiſſe emporter à des confus menſonges, Et vient meſme en veillant s’embaraſſer de ſonges, Le vulgaire qui n’eſt qu’erreur, qu’illuſion, Trouue du ſens caché dans la confuſion, Meſme des plus ſçauans:	La sotte antiquité nous a laissé des fables Qu'un homme de bon sens ne croit point recevables, Et jamais mon esprit ne trouvera bien sainte Celui-là qui se paît d' fantôme si vain, Qui se laisse emporter à des confus mensonges, Et vient rendre en veillant s'embarrasser de songes, Le vulgaire qui n'est qu'Our, qu'illusion, Trouve du sens caché dans la confusion, Même des plus savants:
mais non pas des plus ſages Expliquent auiourd’huy ces fabuleux ombrages.	mais non pas des plus sages Expliquent aujourd'hui ces fabuleux ombrages.
autrefois les mortels parloient auec les Dieux, On en voygit pleuuoir à toute heure des Cieux?	autrefois les mortels parlaient avec les Dieux, On en voygit pluvoir à toute heure des Cieux?
Quelquefois on a veu prophetiſer des beſtes, Les arbres de Dodonne eſtoient auſſi Prophetes, Ces comptes ſon facheux à des eſprits hardis, Qui ſentent autrement qu’on ne faiſoit iadis.	Quelquefois on a vu prophétiser des bêtes, Les arbres de Dodonne étaient aussi Prophètes, Ces comptes son fâcheux à des esprits hardis, Qui sentent autrement qu'on ne faisait jadis.
Sur ce propos vn iour i’eſpere de i’eſcrire, Et prendre vn doux loiſir pour nous donner à rire, Cependent ie te prie encore m’excuſer, Et me laiſer aiuſi libre à te refuſer, Me permettre touſiours de te fermer l’oreille, Quand tu me prieras d’vne faueur pareille:	Sur ce propos un jour j'espère de j'écrire, Et prendre un doux loisir pour nous donner à rire, Cépendent atteint te prie encore m'excuser, Et me laiser aiusi libre à te refuser, Me permettre toujours de te fermer l'oreille, Quand tu me prieras d'une faveur pareille:
Penſe tu quand i’aurois employé tout vn iour A bien imaginer des paſſions d’Amour, Que mes conceptions ſeroint bien exprimees En paroles de choix, bien miſes, bien rimees:	Pense tu quand j'aurais employé tout un jour A bien imaginer des passions d'Amour, Que mes conceptions seroint bien exprimées En paroles de choix, bien mises, bien rimées:
L’autre n’y trouueroit poſſible rien pour luy, Tant il eſt mal aisé d’étrire pour autruy.	L'autre n'y trouverait possible rien pour lui, Tant il est mal aisé d'étrire pour autrui.
Aprés qu’à ſou plaiſir i’aurois donné ma peine, Ie ſçay bien que poſſible il loüeroit ma veine, Vray’ment ces vers ſonr beaux, ils ſont doux & coulans, Mais pour ma paſſion ils ſont vn peu trop lents, I'euſſe bien deſité que vous euſſiez encore Mieux loué ſa beauté;	Après qu'à sou plaisir j'aurais donné ma peine, Je sais bien que possible il louerait ma veine, Vraiment ces vers son beaux, ils sont doux et coulants, Mais pour ma passion ils sont un peu trop lents, J'eusse bien déité que vous eussiez encore Mieux loué sa beauté;
car vray’ment ie l’honore;	car vraiment ainsi l'honore;
Vous n’aueZ point parlé du front, ny des cheueux, Ny de ſon bel eſprit ſeul obiet de mes vœux:	Vous n'avez point parlé du front, ni des cheveux, Ni de son bel esprit seul objet de mes vœux:
Tant ſeulement ſix vers encor ie vous ſepplie, Mon Dieu que de trauail vous donue ma ſolie!	Tant seulement six vers encor ie vous sepplie, Mon Dieu que de travail vous donner ma solie!
Il voudroit que ſon front fuſt aux aſtres pareil, Que i’écriue comment ſes regards ſont des armes, Comme il verſe pour elle vn ocean de larmes.	Il voudrait que son front fût aux astres pareil, Que j'écrive comment ses regards sont des armes, Comme il verse pour elle un ocean de larmes.
Ces termes égarez offencent mon humeur, Et ne viennent qu’au ſens du’vn nouice rimeur, Qui reclame Phœbus, quant à moy ie l’abiure, Et ne recognots rien pour tout que ma nature.	Ces termes égarés offensent mon humeur, Et ne viennent qu'au sens du nouice rimeur, Qui réclame Phœbus, quant à moi eût l'abjure, Et ne reconnots rien pour tout que ma nature.
ATYRE PREMIERE.	ATYRE PREMIÈRE.
Vt que tu ſois, de grace écoute ma Satyre, Si quelque humeur ioyeuſe autre part ne t’atire, Ayme ma hardieſſe, & ne t’offenſe point De mes vers, dont l’aigreur vtilement te point;	Vît que tu sois, de grâce écoute ma Satire, Si quelque humeur joyeuse autre part ne t'atire, Aime ma hardiesse, et ne t'offense point De mes vers, dont l'aigreur vtilement te point;
Toy que les elemens on fait d’air & da boue, O dinaire ſuiet où le mal-heur ſe iouë, Sçache que ton filet que le deſtin ourdit, Eſt de moindre importance encor qu’on ne te dis.	Toi que les éléments on fait d'air et da boue, Ô dinaire sujet où le malheur se joue, Sache que ton filet que le destin ourdit, Est de moindre importance encor qu'on ne te dis.
Pour ne le point flatter d’vne diuine eſſence, Voy la condition de ta ſale naiſſance, Que tiré tout ſanglant de ton premier ſeiour, Tu vois en gemiſſant la lumiere du iour, Ta bouche n’eſt qu'aux cris, & à la faim ouuerte,	Pour ne le point flatter d'une divine essence, Vois la condition de ta sa naissance, Que tiré tout sanglant de ton premier séjour, Tu vois en gémissant la lumière du jour, Ta bouche n'est qu'aux cris, et à la faim uerte,
Ta pauure chair naiſſance eſt toute couuerte, Ton eſprit ignorant encor ne forme rien, Et moins qu’vn ſens brutal ſçait le mal & le bien, A grand peine deux ans t’enſeignent vn langage, Et des pieds & des mains te font trouuer vſage, Heureux au prix de toy les animaux des champs Ils ſont les moins hays, comme les moins méchans.	Ta pauvre chair naissance est toute couverte, Ton esprit ignorant encor ne forme rien, Et moins qu'un sens brutal sait le mal et le bien, À grand peine deux ans t'enseignent apprendre, Et des pieds et des mains te font trouver usage, Heureux au prix de toi les animaux des champs Ils sont les moins hais, comme les moins méchants.
L’oyſelet de ſon nid à peu de temps s’échappe, Et ne craint point les airs que ſon aiſle il frappe;	L'oiselet de son nid à peu de temps s'échappe, Et ne craint point les airs que son aile il frappe;
Les poiſſons on naiſſant commencent à nager, Et le poulet éclos chante, & cherche à manger.	Les poissons on naissant commencent à nager, Et le poulet éclos chante, et cherche à manger.
Nature douce meré à ces brutales races, Ptus largemeut qu’à toy leur a donné des graces, Leur vie eſt moins ſubiet aux facheux accidens Qui trauaillent la tienne au dehors & dedans:	Nature douce méré à ces brutales races, Ptus largement qu'à toi leur a donné des grâces, Leur vie est moins sujet aux fâcheux accidents Qui travaillent la tienne au dehors et dedans:
