A PARIS, Chez TOVSSAINT QVINET, au Palais dans la petite Salle ſous la montee de	À PARIS, Chez TOUSSAINT QUINET, au Palais dans la petite Salle sous la monte de
Ergers vous me voyez preſte à vous receuoir, Maintenant ie vous fais offre de mon pou.	Ergers vous me voyez prête à vous recevoir, Maintenant je vous fais offre de mon pou.
oir, Suppliant lupiter que le Ciel vous beniſſe, Et que voſtre bon heur à iamais ne finiſſe.	oir, Suppliant lupiter que le Ciel vous bénisse, Et que votre bon heur à jamais ne finisse.
CELIDOR.	CELIDOR.
Interprete des Dieux & du ſacré deſtin, Qui cognois de nos iours la naiſſance & la fin:	Interprète des Dieux et du sacré destin, Qui connais de nos jours la naissance et la fin:
Mon compagnon & moyprieſteZ d'impatience Nous auons le recours à ta haute ſcience, Pardonne toutefois à la temerité.	Mon compagnon et moypriesteZ d'impatience Nous avons le recours à ta haute science, Pardonne toutefois à la témérité.
CI SIBILLE.	CY SIBYLLE.
Voſtre eſprit curieux n’a que bien merité, L’vn & l’autre cherchez maistreſſe ſecourable, Sur cela mon aduis vous ſera fauorable.	Votre esprit curieux n'a que bien mérité, L'un et l'autre cherchez maîtresse secourable, Sur cela mon avis vous sera favorable.
C 2 Sçachant tout le deſſein du voyage entrepris N’eſt ce pas en effet la fleche de Cypris?	Ç 2 Sacachant tout le dessein du voyage entrepris N'est ce pas en effet la flèche de Cypris?
Il n'eſt point de beſoing d’expliquer d’auantage, Melidor vous aurez ce portrait en partage, Dont l’image viuant n'eſt eſloigné d’icy, La conqueſte pourtant trop pleine de ſoucy Vous fera reſſentir combien la deſtinee Veut arreſter le cours d'vn ſi cher Hymenee Les diſcours mediſans, les orages diuers Menacent d’atterrer ce deſſein à l’enuers, Retenez le conſeil du paſteur Ariſtee, Afin de diſcerner le charme de Prothee.	Il n'est point de besoing d'expliquer davantage, Melidor vous aurez ce portrait en partage, Dont l'image vivant n'est éloigné d'ici, La conquête pourtant trop pleine de souci Vous fera ressentir combien la destinée Veut arrêter le cours d'un si cher Hymène Les discours médisans, les orages divers Menacent d'atterrer ce dessein à l'envers, Retenez le conseil du pasteur Ariste, Afin de discerner le charme de Prothe.
CELIDOR.	CELIDOR.
Puiſque ie ſuis certain du bien qui m’eſt promis, En vain tous les effors des aſtres ennemis, Contre les elemens ie declare la guerre, Ie le veux conquerir au centre de la terre.	Puisque ie suis certain du bien qui m'est promis, En vain tous les efforts des astres ennemis, Contre les éléments ie éclare la guerre, Je le veux conquérir au centre de la terre.
LA SIBILLE.	LA SIBYLLE.
Gardez vous d’irriter la volonté des Dieux, Qui ne peuuent ſouffrir vn cœur audacieux, Ce qui vient de leur main doit eſtre deſirable, Aauirememtt progrt Zeſt touſtouts periſſable.	Gardez vous d'irriter la volonté des Dieux, Qui ne peuvent souffrir un cœur audacieux, Ce qui vient de leur main doit être désirable, Aavirememt progrêt Zest tousouts périssable.
C E LIDOR.	Ç E LIDOR.
Qui peut faire perir vn image ſi beau, Si le meſme ſoleil luy cede ſon flambeau:	Qui peut faire périr un image si beau, Si le même soleil lui cede a flambeau:
Son œil à demi-clos bien que priué de flame, Me repreſente au vif la beauté de Madame, Comment pournay te donc tt reguruer pilant, Quand mort il me contraint que ie l’aille ſuiuant?	Son œil à demi-clos bien que privé de flamme, Me représente au vif la beauté de Madame, Comment pournai te donc tut reguruer pilant, Quand mort il me contraint que je l'aille suivant?
LE CAPITAINE.	LE CAPITAINE.
Tu ne fais qu’abuſer nos oreilles faciles, Et perdre ainſi le temps en propos inutiles:	Tu ne fais qu'abuser nos oreilles faciles, Et perdre ainsi le temps en propos inutiles:
Cependant que i’attens pour cognoiſtre mon ſort, Ie ſuis entre la vie & l’heure de la mort:	Cependant que j'attends pour connaître mon sort, Je suis entre la vie et l'heure de la mort:
LA SIBILLE.	LA SIBYLLE.
Non non eſpere mieux, ta fortune aſſuree Ie promet vn repos qui ſera de duree, Ne iuge le ſuccés par le commencement, Si tu veux meriter la gloire d’vn amant.	Non non espère mieux, ta fortune assurée Je promet un repos qui sera de dure, Ne juge le succès par le commencement, Si tu veux mériter la gloire d'un amant.
LE CAPITAINE.	LE CAPITAINE.
Arreſte vn peu tes pas, ne laiſſe ſuſpendue Mon ame qui languiſt de t’auoir entendueC iiuj	Arrête un peu tes pas, ne laisse suspendue Mon âme qui languît de t'avoir entendueC jiviuj
LA SIBILLE.	LA SIBYLLE.
Pourquoy tes pleurs vont ils ton viſage arroſant?	Pourquoi tes pleurs vont ils ton visage arrosant?
Ie ne preuoy ſinon vn bon heur tout preſent, Pourueu que les deſſeins d’vne ferme conſtance Soient guideZ de raiſon auecque reſiſtance:	Je ne prévois sinon un bon heur tout présent, Pourvu que les desseins d'une ferme constance Soient guidés de raison auecque résistance:
Le veritable bien ne ſe doit acquerir Que par vn qui ſe met au haZ ard de perir:	Le véritable bien ne se doit acquérir Que par un qui se met au has ard de périr:
Le trauail courageux à la vertu s’aſſemble, Ere ce jou denx ams qui ſont touſours euſemble.	Le travail courageux à la vertu s'assemble, Ere ce jou denx amis qui sont tousours eusemble.
LE CAPITAINE.	LE CAPITAINE.
Du moins s’il faut ſouffrir, dis moy pour qui tu veux, Et qui doit eſtre ainſi l’idole de mes vœux.	Du moins s'il faut souffrir, dis -moi pour qui tu veux, Et qui doit être ainsi l'idole de mes vœux.
LA SIBILLE.	LA SIBYLLE.
Va te ietter aux pieds de la vefue Celinde, Qui vaut comme tu ſçais tout le treſor de l’Inde:	Va te jeter aux pieds de la vefue Celinde, Qui vaut comme tu sais tout le trésor de l'Inde:
Bien toſt l’occaſion s’offre de la ſeruir, A cauſe que l’on veut ſa niepce rauir:	Bien tôt l'occasion s'offre de la servir, À cause que l'on veut sa niepce ravir:
Ie vous dis donc adieu, l’amoureuſe aduenture Fer--voir le ſubiet de ſa peine future.	Je vous dis donc adieu, l'amoureuse aventure Fer-voir le sujet de sa peine future.
CELINDE toute effrayee paroiſt en vn bocage.	CELINDE toute effraie paraît en un bocage.
Sus Bergers au ſecours, vn traiſtre ſuborneur P ienticy deaant vous enleuer noſtre honneur,	Sus Bergers au secours, un traître suborneur P entici deaant vous enlever notre honneur,
CELIDOR.	CELIDOR.
Quomuimbtuce bois, & quelle voix pleintiue?	Quomuimbtuce bois, et quelle voix pleintiue?
LE CAPITAINE.	LE CAPITAINE.
d demd apertenon Cclinde phkiline, Qui ſe iette au trauers du ſentier vmbrageux.	d demd apertenon Cclinde phkiline, Qui se jette au travers du sentier vmbrageux.
CELIDOR.	CELIDOR.
Que ſi quelque indiſcret d’vn courage outrageux L auout tant ſeulement de parote oſfencet, Ie punirois l’effort de ſa rage inſenſee.	Que si quelque indiscret d'autre courage outrageux L auout tant seulement de parote osfenset, Je punirais l'effort de sa rage insensée.
LE CAPITAINE.	LE CAPITAINE.
Maintenant il ne faut ſi long temps s’arreſter.	Maintenant il ne faut si long temps s'arrêter.
Mais bien la ſecourir, & viſte ſe haſter.	Mais bien la secourir, et vite se hâter.
CELIDOR.	CELIDOR.
SuiueZ ce fau fuyant, moy par cette coulee Ie la pourray treuuer au ſond de la valee.	Suivez ce fau fuyant, moi par cette coulée Je la pourrai trouver au sond de la vale.
LE CAPITAINE.	LE CAPITAINE.
Melidor, ſi quelqu'vn te vouloit arreſter, Marche legerement afin de l’euiter.	Mélidor, si quelqu'eu te voulait arrêter, Marque légèrement afin de l'éviter.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
LE POETE, ET LA SAGE.	LE POTE, ET LA SAGE.
MONDAINE.	MONDAINE.
EPIONIE.	EPIONIE.
V va ſans regarder d’vne courſe ſohdalle, 21N Le grand pas redoublé de la ſage Mondaine?	V va sans regarder d'une course souhdalle, 21N Le grand pas redoublé de la sage Mondaine?
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Ton apas doucereux ſous le piege tendu, Ta parole touſiours ſuſpecte m’a rendu, Ton ſoin eſt curieux, & croy que ſon enuie De malice eſt pluſtoſt que de bonté ſuiuie.	Ton appas doucereux sous le piège tendu, Ta parole toujours suspecte m'a rendu, Ton soin est curieux, et crois que son envie De malice est plutôt que de bonté suivie.
LE POETE.	LE POTE.
Me faut-il accuſer ſans auoir offensé?	Me faut-il accuser sans avoir offensé?
Bergere c’eſt à quoy ie n’ay iamais pensé;	Bergère c'est à quoi tu n'ai jamais pensé;
L’amour me donneroit vne peine infinie, Ne voulant pas laiſſer ceſte faute impunie:	L'amour me donnerait to peine infinie, Ne voulant pas laisser cette faute impunie:
Ie ſerois trop heureux ſi i’auoit merité, Que mon œil en paſſant eut ton cœur irrité.	Je serais trop heureux si j'avait mérité, Que mon œil en passant eut ton cœur irrité.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Ie ſoupçonne beaucoup cette fine acortiſe, Damphion le moqueur ainſi me galantiſe:	Je soupçonne beaucoup cette fine acortise, Damphion le moqueur ainsi me galantise:
Toutefois on m’a dit qu’il eſt aſſeZ diſcret, Et qu’il peut receler vn amoureux ſecret.	Toutefois on m'a dit qu'il est assez discret, Et qu'il peut receler un amoureux secret.
EE TOEIE.	CE TOEIE.
Tu me veux accuſer de par trop de langage, Et que fort rarement à l’amour ie m'engage.	Tu me veux accuser de par trop de langage, Et que fort rarement à l'amour homme m'engage.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Vn coulpable touſiours accuſe ſon forfait, Ne pouuant deguiſer la verite du fait.	Un coulpable toujours accuse son forfait, Ne pouvant déguiser la vérité du fait.
LE POETE.	LE POTE.
Ie ne ſeray iamais coupable de ce crime, Si tu veux accepter l’offre de ma victime.	Je ne serai jamais coupable de ce crime, Si tu veux accepter l'offre de ma victime.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Hé!	Hé!
quel braſier ardent te pourroit conſommer Ioy qui ne ſceus iamais ce que c'eſtque d'aymer.	quel brasier ardent te pourrait consommer Joi qui ne sus jamais ce que c'estque d'aimer.
LE POETE.	LE POTE.
Me voulant receuoir en eſclaüe fidelle, Ie mourray mille fois pour l’amour de ma belle.	Me voulant recevoir en esclàue fidèle, Je mourrai mille fois pour l'amour de ma belle.
CAONCE MOTDAINE.	CANÉE MOTDAINE.
Ie ſoupçonne beaucoup de ta fidelité.	Je soupçonne beaucoup de ta fidélité.
LE FOBIE.	LE FOBIE.
Ie ne merite point vne autre qualité.	Je ne mérite point une autre qualité.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Les eſcrits mediſans où ta muſe l’aplique, Font que ſans y penſer deuant toy ie m'explique.	Les écrits médisants où ta muse l'applique, Font que sans y penser devant toi que m'explique.
LE POETE.	LE POTE.
C’est à moy d’eſuiter ton foudre menaçant, Qui ne veut pas ſçauoir ſi ie ſuis innocent.	C'est à moi d'éviter ton foudre menaçant, Qui ne veut pas savoir si On suis innocent.
Dis moy donc le ſubiet dont la ville m’accuſe, Afin que librement ie treuue mon excuſe, S’il eſt vray ſans auoir le courage endurcy, Bien toſt i'auray recours à ta douce mercy:	Dis -moi donc le sujet dont la ville m'accuse, Afin que librement ie treuve mon excuse, S'il est vrai sans avoir le courage endurci, Bien tôt j'aurai recours à ta douce merci:
Tirſis m’auoit deſia fait reproche pareille, Mais ſoudain que de luy s’approche mon oreille Vn mouchard importun vient de l’autre coſté Par lequel à tous deux ce loiſir fut osté.	Tirsis m'avait déjà fait reproche pareille, Mais soudain que de peine s'approche mon oreille Un mouchard importun vient de l'autre côté Par lequel à tous deux ce loisir fut ôté.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Ce n’eſt luy ſeulement, ains toute l’Arcadie Vnanime retient ta muſe trop hardie, Les Bergers ſe ſont pleins que itu viens decouurir, Lors qu'vn ieune d’entr’eux a deſſein de ſouffrir, L’on ne ſçauroit cacher vne œillade eſlancee Que tu vas prediſant le but de leur penſee, Le baiſer à l’ecart ne peut eſtre donné, Que ton œil trop ialoux ayt iamais pardonné, Mille vers deguiſeZ en forme de Satyre Vont ainſi racontant leur amoureux martyre.	Ce n'est même seulement, ains toute l'Arcadie Unanime retient ta muse trop hardie, Les Bergers se sont pleins que itu viens découvrir, Lors qu'un jeune d'entr'eux a dessein de souffrir, L'on ne saurait cacher une œillade élance Que tu vas prédisant le but de leur pensée, Le baiser à l'écart ne peut être donné, Que ton œil trop jaloux ait jamais pardonné, Mille vers deguiseZ en forme de Satyre Vont ainsi racontant leur amoureux martyre.
LE POETE.	LE POTE.
C'eſt donc là le forfait qu’on dit que i’aycõmis, Le faiſant ie croyois faire pour mes amis.	C'est donc là le forfait qu'on dit que j'aycõmis, Le faisant apprendre croyais faire pour mes amis.
Que ſeruiroit vn feu caché deſſous la cendre, Außi bien vnamant le voudroit il apprendre, Si quelqu'vn l’ignoroit, la ſeule vanite Contente ſon amour & non la verité.	Que servirait un feu caché dessous la cendre, Aussi bien vnamant le voudrait -il apprendre, Si quelqu'un l'ignorait, la seule vanité Contente son amour et non la vérité.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Celle de qui l’honneur a ſeruy de conduite Ne ſe voit pas ſouuent en ce blaſme reduite:	Celle de qui l'honneur a servi de conduite Ne se voit pas souvent en ce blâme réduite:
L’innocence pareſt au milieu de ſon front, Meſme le mediſant n'en reçoit que l’affront.	L'innocence parêt au milieu de son front, Même le médisant n'en reçoit que l'affront.
LE POETE.	LE POTE.
C’eſt icy le ſeul poinct d’où despend le trophée dunuu femime Munte ſa pimemeerouffec.	C'est ici le seul point d'où dépend le trophée dunu femime Munte sa pimemeerouffec.
Lors que ſes actions teſmoignent ſa vertu.	Lors que ses actions témoignent sa vertu.
LA SAGE MONDAINE.	LA SAGE MONDAINE.
Depuis quel temps a-t’on pour elle comhattu?	Depuis quel temps a-t-on pour elle comhattu?
Ce fuſt au ſiecle d’or dont la ſaiſon perdue Ceſte chaste pudeur a publique renduë.	Ce fût au siècle d'or dont la saison perdue Cette chaste pudeur a publique rendue.
LE POETE.	LE POTE.
Il faut que ce diſcours ſoit à la fin graué Sur le marbre eternel d’vn temple releué:	Il faut que ce discours soit à la fin gravé Sur le marbre éternel d'Un temple relevé:
Car ie tiens qu’à preſent les filles de memoire N'ont point dans leurs cayers vne ſi belle hiſtoire.	Car ici tiens qu'à présent les filles de mémoire N'ont point dans leurs caïers une si belle histoire.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
CELINDE.	CELINDE.
A feconde Ceres trauerſant l’vniuers, En cherchant ſon ſoucy parles bocages vers:	À féconde Ceres traversant l'univers, En cherchant son souci parles bocages vers:
Lors que ſans y penſer le rauiſſeur inique Miſt l’amour & l’Hymen ſous ſa loy tyrannique, Biẽ qu’elle euſt deſcouuert & l’endroit & le lieu, Toutefois cognoiſſant que de la main d’vn Dieu Son plaiſir fut raui d’vne force contrainte, Le ſilence miſt fin à ſa funeſte plainte.	Lors que sans y penser le ravisseur inique Mît l'amour et l'Hymen sous sa loi tyrannique, Biẽ qu'elle eût découvert et l'endroit et le lieu, Toutefois connaissant que de la main d'vn Dieu Son plaisir fut ravi d'une force contrainte, Le silence mit fin à sa funeste plainte.
Sçachant bien qu’il eſtoit frere de lupiter, Et qu'en vain ſon effort luy voudroit reſiſter, De meſme l’accident de Francine rauie, Francine que i’aymois plus que ma propre vie Me fait voir clairement que mõ regret eſt vain, N’eſtant plus auiourd’huy ſous le pouuoir humain, Le Dieu Pan pour dõner la marque de ſa gloire Captiue la retient au temple de Victoire, Vn Saiyre Corſu le paſſage defent Qui nous rend interdit l’abort de ceſt enfant, Mais ie veux qu’vn berger de ma part le ſalue, Le ſuppliant au moins qu'elle ne ſoit polue, uauel anles nul dMja, Ie ſçay qu'en ma faueuril voudra s’arreſter.	Sachant bien qu'il était frère de lupiter, Et qu'en vain son effort te voudrait résister, De même l'accident de Francine ravie, Francine que j'aimais plus que ma propre vie Me fait voir clairement que mon regret est vain, N'étant plus aujourd'hui sous le pouvoir humain, Le Dieu Pan pour donner la marque de sa gloire Captive la révèrent au temple de Victoire, Un Saiyre Cors le passage défent Qui nous rend interdit l'abort de cet enfant, Mais l' veux berger de ma part le salue, Le suppliant au moins qu'elle ne soit polue, uauel ane nul dMja, Ie sçay qu'en ma faueuril voudra arrêter.
CELINDE continuë de parler.	CELINDE continue de parler.
Ha fidelle bergertu me vois demy morte, De ce que le Dieu l’an me traitte de la ſorte.	Ha fidèle bergertu me vois demi morte, De ce que le Dieu l'an me traite de la sorte.
Ma niepce rauie au plus beau du midy Par le bras indompté d’vn Satyre hardy Me force d implorer ton ayde ſecourable, Lle lepaiſe stau nion ceſei deiraoie.	Ma niepce ravie au plus beau du midi Par le bras indompté d'Un Satyre hardy Me force d implorer ton aide secourable, Lle lepaise stau nion cesei deiraoie.
CELIDOR.	CELIDOR.
Depuis deux iours entiers que ta pleintiue voix Fiſt entendre vn accent au milieu de ce bois, Que Timandre te vit en paſſant la ramee, Teclypſant de nos yeux ainſi qu’vne fumee, Mon compagnon & moy nous allions t’aſſeuTe13 Que rien pour le trauail ne pourra demeurer.	Depuis deux jours entiers que ta pleintive voix Fît entendre un accent au milieu de ce bois, Que Timandre te vit en passant la ramène, Teclypsant de nos yeux ainsi qu'une fumée, Mon compagnon et moi nous allions t'asseuTe13 Que rien pour le travail ne pourra demeurer.
CELINDE.	CELINDE.
A ſes offres ie n’ay de digne recompenſe, Si mon affection ne me ſert de dispenſe.	À ses offres Dieux n'ai de digne récompense, Si mon affection ne me sert de dispense.
Cendor porte au ter le portrait que la Sybille luy auoit donné.	Cendor porte au ter le portrait que la Sybille lui avait donné.
CELINDE parle encore.	CELINDE parle encore.
ls moy qui t’a donné ceſt aymable portrait, DCar ce viſage peint meſlé d’vn doux attrait Me va repreſentant l’image de Francine, On ne peut la voyant qu’on ne ſe l’imagine:	lois -moi qui t'a donné cet aimable portrait, DCar ce age peint mêlé d'un doux attrait Me va représentant l'image de Francine, On ne peut la voyant qu'on ne se l'imagine:
Son front, ſon neZ, ſon œil, ſon gracieux ſouſris Me font voir l’abrege de ma ieune Cypris.	Son front, son nez, son œil, son gracieux sousris Me font voir l'abrège de ma jeune Cypris.
CELIDOR.	CELIDOR.
Heureux ſi tu cognois ceſte douce peinture, Afin de mettre a bout mon eſtrange aduenture, Ed Sionlit naun que le dtonon on toui Malgré mes ennemis poſſeder ſon amour.	Heureux si tu connais cette douce peinture, Afin de mettre a bout mon étrange aventure, Ed Sionlit naun que le dton on toui Malgré mes ennemis posséder son amour.
CELINDE.	CELINDE.
Pleuſt aux Dieux qu’elle fuſt remiſe en ma puiſſance, n tijpant deſormais l’aſtre de ſa mujpance, Ie feray de vous deux vn Hymen fortuné, Puis apres que le Ciel ainſi l’euſt ordonné.	Plût aux Dieux qu'elle fût remise en ma puissance, n ijpant désormais l'astre de sa mujpance, Je ferai de vous deux un Hymen fortuné, Puis après que le Ciel ainsi l'eût ordonné.
CELIDOR.	CELIDOR.
Bien que tonintereſt me donne l’alegreſſe, Toutefois puis que c’eſt pour ma belle maiſtreſſe, Que ie fais ce deſſein du voyage entrepris, Si ce meſme Dieu Pan veut vſer de meſpris, Eſprouuant vne fois l’effet de ma priere, Ie luy mettray bien toſt ſon Satyre en arriere:	Bien que toninterest me donne l'allégresse, Toutefois puis que c'est pour ma belle maîtresse, Que ie fais ce dessein du voyage entrepris, Si ce même Dieu Pan veut user de mépris, Éprouvant une fois l'effet de ma prière, Je crainte mettrai bien tôt son Satyre en arrière:
Craintif on le verra ſous mes pieds abattu, Sans prendre le loiſir de m’auoir combattu, Non ie mets en deposts le gage de ma teſte, Que ie remporteray l’honneur de la conqueſte.	Craintif on le verra sous mes pieds abattu, Sans prendre le loisir de m'avoir combattu, Non promets en dépôts le gage de ma tête, Que je remporterai l'honneur de la conquête.
CRLINDE.	CRLINDE.
a our moyne deſtrant danamagt appranti, I'attendray ton retour au pied de ce rocher.	à our moine détrant danamagt appranti, J'attendrai ton retour au pied de ce rocher.
CELIDOR.	CELIDOR.
Sus, ſus, viſte marchons, voicy le Capitaine, Qui n’aguiere s'eſt fait compagnon de ma peine, Venir à meſme inſtant que ſi i'auois expres Enuoyé l’aduertir de ſe tenir tout prés.	Sus, sus, vite marchons, voici le Capitaine, Qui n'aguière s'est fait compagnon de ma peine, Venir à même instant que si j'avais exprès Envoyé l'avertir de se tenir tout prés.
LE CAPITAINE.	LE CAPITAINE.
N’as-tu rien deſcouuert, ie lis en ton viſage.	N'as-tu rien découvert, Seigneur lis en ton visage.
Que tu puis auoir veu la beaute du vefuage, Celinde t’a donné quelque ſoulagement, Le front eſt le miroir de nostre allegement.	Que tu puis avoir vu la beauté du véfuage, Celinde t'a donné quelque soulagement, Le front est le miroir de notre allégement.
CELIDOR.	CELIDOR.
Cher amy ie ne puis faire entendre mon aiſe, Impatient bruſlé d’vne Amoureuſe braiſe, Ie ſuis deſia rauy dans l’espoir aſſeuré, D’auoir la gueriſon de mon mal enduré.	Cher ami nous ne puis faire entendre mon aise, Impatient brûlé d'une Amoureuse braise, Je suis déjà ravi dans l'espoir assuré, D'avoir la guérison de mon mal enduré.
LE CAPITAINE.	LE CAPITAINE.
Dis moy donc Melidor quelle heureuſe fortune Pourra recompenſer noſtre courſe importune?	Dis -moi donc Melidor quelle heureuse fortune Pourra récompenser notre course importune?
CELIDOR.	CELIDOR.
Au fond de ce vallon où pareſt vn ruiſſeau Qui rauiſt le paſſant du criſtal de ſon eau, Me voulant rafraichir ſur vne couche verte I’appereus de fort loing Melinde deſcouuerte, Expoſant ſes cheueux ſur l’aiſle des Zephirs, Peu à peu m’aprochant au bruit de ſes ſouspirs, Ie l’allay conſoler, & ie luydis qu’Alcandre Va par tout la chercher afin de la defendre, Que ſuiuant iour & nuictla trace de ſes pas, Pour elle il veut ſouffrir mille fois le treſpas:	Au fond de ce vallon où parêt un ruisseau Qui ravit le passant du cristal de son eau, Me voulant rafraîchir sur une couche verte J'apèreus de fort loin Melinde découverte, Exposant ses cheveux sur l'Île des Zéphyrs, Peu à peu m'approchant au bruit de ses soupirs, Je l'allai consoler, et Seigneur luydis qu'Alecandre Va par tout la chercher afin de la défendre, Que suivant jour et nuita trace de ses pas, Pour elle il veut souffrir mille fois le trépas:
Que ſon ſoing n'est penchant qu’au gré de ſon ſeruice, N'eſt-ce pas en cela te faire vn bon office?	Que son soing n'est penchant qu'au gré de son service, N'est-ce pas en cela te faire un bon office?
LE CAPITAINE.	LE CAPITAINE.
Ie me ſens obligé iuſqu’au point ſouuerain, Ce ſouuenir graué dans la porte d’airain Fera que deſormais ingrat ie ne l’oublie, Conſeruant immortel l’amitie qui nous lie.	Je me sens obligé jusqu'au point souverain, Ce souvenir gravé dans la porte d'air Féra que désormais ingrat esprit ne l'oublie, Conservant immortel l'amitié qui nous lie.
CELIDOR.	CELIDOR.
Tu te mocque de moy, ie ſuis ton ſeruiteur, Quitte ce compliment qui fait honte à l’auteur, C eſt le moindre ſubjet ou mon deuoir m'oblige.	Tu te moque de moi, je suis ton serviteur, Quitte ce compliment qui fait honte à l'auteur, Ç est le moindre sujet ou mon devoir m'oblige.
LE CAPITAINE.	LE CAPITAINE.
Mais dis moy donc pourquoy ma bergere s’afflige?	Mais dis -moi donc pourquoi ma bergère s'afflige?
Tonuiſcout, norenau tom mes aeſiis contens, Le ſçachant c’eſt en vain que nous perdons le temps.	Tonuiscout, norenau tom mes aesiis contents, Le sachant c'est en vain que nous perdons le temps.
CELIDOR.	CELIDOR.
Pan le dieu des Bergers arauy ſa Francine, Et Tiran ſans raiſon la retient orpheline, C’est l’image viuant d’vn portrait attache, Par là i’ay rencontré ce qui m’eſtoit caché.	Pan le dieu des Bergers aravi sa Francine, Et Tyran sans raison la retient orpheline, C'est l'image vivant d'un portrait attache, Par là j'ai rencontré ce qui m'était caché.
LE CAPITAINE.	LE CAPITAINE.
Tu ne pouuois auoir vne plus douce amorce Pour l'aſter tonquenis par amonr ou par force.	Tu ne pouvais avoir une plus douce amorce Pour l'aster tonquenis par amonr ou par force.
CELIDOR.	CELIDOR.
Alcandre ſuy moy donc, tu verras promptement En la guerre d’amour ce que peut vnamant.	Alcandre suis -moi donc, tu verras promptement En la guerre d'amour ce que peut unamant.
De ce labeur ie ſuit ton fidelle Theſee, Preſque deſeſperé de Celinde abuſee.	De ce labeur Seigneur suit ton fidèle Thesee, Presque désespéré de Celinde abuse.
Le Dieu Pan fait ſortir Florize du Temple de Victoire, & la meine dans vn parterre delicieux, pour la conuier à la poneſlion de lon aiſour.	Le Dieu Pan fait sortir Florise du Temple de Victoire, et la mène dans un parterre délicieux, pour la convier à la poneslion de lon aisour.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
LE DIEV PAN.	LE DIEU PAN.
Inutile regret que tu vas conceuant Ne ſçauroit ſe nommer qu’vn ſonge deceuant:	Inutile regret que tu vas concevant Ne saurait se nommer qu'un songe décevant:
Mortelle tu te plains qu’vn Dieu te fauoriſe, Et que de ton bel œil ſon ame ſoit épriſe, Ne crains-tu d’offencer l’exces de ma bonté, Puiſque ton deſir eſt ma ſeule volonté.	Mortelle tu te plains qu'un Dieu te favorise, Et que de ton bel œil son âme soit éprise, Ne crains-tu d'offenser l'excès de ma bonté, Puisque ton désir est ma seule volonté.
Ne ſçais-tu pas que i’ay l’vnique obeiſſance, Sur les autres beauteZ touchant la iouïſſance?	Ne sçais-tu pas que j'ai l'unique obéissance, Sur les autres beautés touchant la jouissance?
FLORIZE.	FLORIZE.
Sans doute que ce corps captif en tes liens, Eſloigné de l’aspect & du ſecours des miens Dans l’effort violent ne le pourra defendre, Toutefois c’eſt en vain que tu me veux ſurprendre.	Sans doute que ce corps captif en tes liens, Esloigné de l'aspect et du secours des miens Dans l'effort violent ne le pourra défendre, Toutefois c'est en vain que tu me veux surprendre.
PAN.	PAN.
Que puis-tu ſouhaitter qu’vn aymable ſeiour, Vn printemps eternel, vn paradis d’amour, Te voir entre mes bras Deeſſe reueree, La compagne des Dieux & du peuple adoree.	Que puis-tu souhaiter qu'un aimable séjour, Un printemps éternel, un paradis d'amour, Te voir entre mes bras Deesse révérée, La compagne des Dieux et du peuple adorée.
FLORIZE.	FLORIZE.
Cela n’est ſuffiſant de me veincre à ce coup, Ceſte felicité trop commune à beaucoup Ne me ſemble vn nectar pour me rendre immortelle, Non pour moyie ne veux que l’on m'eſtime telle, Mon honneur embelli de ſon lys odorant, Iamais de la blancheur ne ſe va ſeparant, Crainte que le ſoleil ne l’estime coupable, L'atouchement terniſt ſa fleur inuiolable.	Cela n'est suffisant de me veincre à ce coup, Cette félicité trop commune à beaucoup Ne me semble un nectar pour me rendre immortelle, Non pour moiie ne veux que l'on m'estime telle, Mon honneur embelli de son lys odorant, Jamais de la blancheur ne se va séparant, Crainte que le soleil ne l'estime coupable, L'attouchement ternît sa fleur inviolable.
2-	2-
PAN.	PAN.
Quoy?	Quoi?
n’eſt-ce pas aſſeZ de l’auoir demandé, Qui me peut refuſer lors que i'ay commandé?	n'est-ce pas assez de l'avoir demandé, Qui me peut refuser lors que j'ai commandé?
De ma puiſſante main l’impetueux orage Doit donner la terreur au plus hardi courage:	De ma puissante main l'impétueux orage Doit donner la terreur au plus hardi courage:
Le tigre & le lion flechis deſſous mes loix Se rendent adoucis au doux ſon de la voix:	Le tigre et le lion fléchis dessous mes lois Se rendent adoucis au doux son de la voix:
Diane tous les iours ſe contente paſmee, Des diſcordans accords de ma fluſte animee.	Diane tous les jours se contente pâmée, Des discordants accords de ma flûte animée.
FLORIZE.	FLORIZE.
Diane le pourroit par ſon egalité, Florize n’aura pas cette facilité, Trop großiere d’esprit ne voulant recognoiſtre Ce qui ſemble à ſes yeux eſloigné de ſon eſtre.	Diane le pourrait par son égalité, Florise n'aura pas cette facilité, Trop grosière d'esprit ne voulant reconnaître Ce qui semble à ses yeux éloigné de son être.
