ARGVMENT SVR L’EMETIQVE PREPARE.	ARGUMENT SUR L'ÉMÉTIQUE PRÉPARE.
ans reſpecter vos loix il eſt d’intelligence lyec le Stibyon, & comme par vengeance la font les vagabonds ſans garder leur détroit.	ans respecter vos lois il est d'intelligence liec le Stibyon, et comme par vengeance la font les vagabonds sans garder leur détroit.
PLVTTON.	PLUTON.
Il faut à ſes dépens le loger à l’étroit, t tiouver cependant quelque nouveau ſupplice, our payer l’intereſt de ſa noire malice:	Il faut à ses dépens le loger à l'étroit, t tiouver cependant quelque nouveau supplice, our payer l'intérêt de sa noire malice:
purquoy nous amener du poiſon icy bas?	purquoy nous amener du poison ici bas?
LE MEDÉCIN Voulant prouver ainſi que ce n’en eſtoit pas, Vos luges animez m’ont fait vne querelle, Et iugé malgré moy comme ennemy rebelle;	LE MEDÉCIN Voulant prouver ainsi que ce n'en était pas, Vos luges animés m'ont fait une querelle, Et jugé malgré moi comme ennemi rebelle;
I’ay reſiſté d’abord pour mon rang de Docteus Qui ne peut compatir avec celuy d’Acteur:	J'ai résisté d'abord pour mon rang de Docteus Qui ne peut compatir avec celui d'Acteur:
On me fait ſans raiſon paſſer pour Empirique, Ayant pris le party du Divin Emetique, D’vn enfant innoc̈ent, d’vn remede à tou maux,0 Et pour recompenſer nos penibles travaux On nous punit tous deux, n’eſt-ce pas contre l’ordre?	On me fait sans raison passer pour Empirique, Ayant pris le parti du Divin Émetique, D'un enfant innocent, d'une remède à tou maux,0 Et pour récompenser nos pénibles travaux On nous punit tous deux, n'est-ce pas contre l'ordre?
2	2
PLVTTON.	PLUTON.
Non, c’eſt vous faire grace apres vn ta deſordre.	Non, c'est vous faire grâce après un ta désordre.
On amene l’Antimoine lié & garrotil Plutton ſe ſied, Mercure à coſté di luy, & Eacus ſe tiont débout pus faire le recuſateur.	On amène l'Antimoine lié et garrotil Pluton se sied, Mercure à côté dieau, et Éacus se tiont débout pus faire le recusateur.
Voila noſtre mutio, quoy petit champignon, Vous venez donc chez moy faire le compagnon Vous culbuttez mes gens ſans redouter leu Maiſtre, Ho, ho, ho, ie vois bien qu’il faut faire nroiſtre Quel eſt noſtre pouvoir, parlez donc, s’il vou plaiſt?	Voilà votre mutio, quoi petit champignon, Vous venez donc chez moi faire le compagnon Vous culbutés mes gens sans redouter le Maître, Ho, Ho, ho, Seigneur vois bien qu'il faut faire naître Quel est notre pouvoir, parlez donc, s'il vou plaît?
Il hoche la teſte.	Il hoche la tête.
MERCVRE.	MERCURE.
1 La, la, petit couſin ne fais point le benaiſt, Eſtant pris & repris, pour ſortir faut répondre.	1 La, la, petit cousin ne fais point le benaist, Étant pris et repris, pour sortir faut répondre.
Il hoche la teſte encore,	Il hoche la tête encore,
L EACVS.	 LACUS.
Nous avons des témoins qui le pouriont cofondre P.	Nous avons des témoins qui le pourriont cofondre P.
Par les maux qu'n a faits	Par les maux qu'n a faits
LE MEDECIN.	LE MÉDECIN.
Iamois il n’en a fait, Et ſi l’on doit iuger la rauſe par l’effet, Ne faiſant que du bien, ſon eſſence eſt fort bonne.	Jamais il n'en a fait, Et si l'on doit juger la rausse par l'effet, Ne faisant que du bien, son essence est fort bonne.
1 A	1 A
112 EACVS.	112 ÉCUS.
Parmy vos Medecins on ne trouve perſonne Qui diſe qu’il ſoit bon, niſi par accident.	Parmi vos Médecins on ne trouve personne Qui dise qu'il soit bon, nis par accident.
LE MEDECIN.	LE MÉDECIN.
S’il eſt entre les mains d’vn Medecin prudent, oyant reduit par art en l’eſtat qu’il doit eſtre on en peut au beſoin faire des coups de Maiſtre.	S'il est entre les mains d'état Médecin prudent, oyant réduit par art en l'état qu'il doit être on en peut au besoin faire des coups de Maître.
EACVS.	EACUS.
On n’en a que trop fait au profit d’Atropos.	On n'en a que trop fait au profit d'Atroppos.
LE MEDECIN.	LE MÉDECIN.
Pour ne pas m’eſloigner, il faut à ce propos, echercher ſes Autheuis, & qu’elle eſt ſa nature, Le divin Hipocrate en a fait la peinture, Lors qu’il nous l’a preſcrit pour le Miſereré Marcobe dit de luy qu’il n’a iamais erré:	Pour ne pas m'éloigner, il faut à ce propos, echercher ses Autheuis, et qu'elle est sa nature, Le divin Hipocrate en a fait la peinture, Lors qu'il nous l'a prescrit pour le Miséreré Marcobe dit de belle qu'il n'a jamais erré:
Donc s’il s’en eſt ſervy ſuivant ſa diſcipline, On le doit prendre auſſi comme Décritipline, oubs le nom de Stiby ſurnommé Tetragon, it d’vn peu d’arſenic le plus fin d’Aragon, eur ſoulſre, vn peu de ſel, Mereure Metallique, e tout mis en quarré guerit de la colique, non pas d’aujourd’huy, mais depuis deux mille ans  i Galien le met apres parmy les Aſtringeans Pour les yeux fiſtulez, & pour les vieur ceres.	Donc s'il s'en est servi suivant sa discipline, On le doit prendre aussi comme Décritipline, oubs le nom de Stibi surnommé Tetragon, it d'un peu d'arsenic le plus fin d'Aragon, eur soulsre, un peu de sel, Mère Metallique, tout mis en quarré guérit de la colique, non pas d'aujourd'hui, mais depuis deux mille ans y Jalien le met après parmi les Astringeans Pour les yeux fîtulez, et pour les vieur ceres.
EACVS.	EACUS.
Le ſeul nom d’Arſenic gaſtera vos ffaires, Et vous ne pouvez plus prouver ſans embains Qu’on pût guerir vn homme avec la me aux rats.	Le seul nom d'Arsenic gâtera vos saires, Et vous ne pouvez plus prouver sans embains Qu'on pût guérir un homme avec la me aux rats.
LE MEDECIN.	LE MÉDECIN.
Il n’eſt plus mort aux rats eſtant dans, phiole, Si nous en rapportors à ce ſçavant Mathiolle.	Il n'est plus mort aux rats étant dans, phiole, Si nous en rapportors à ce savant Mathiolle.
C’eſt, dit ce grand Autheur, c’eſt là la m de Dieu.	C'est, dit ce grand Auteur, c'est là la m de Dieu.
EACVS.	EACUS.
C’eſt donc lors qu’Attila fit poſſer en u lieu La moitié des mortels.	C'est donc lors qu'Attila fit posser en u lieu La moitié des mortels.
LE MEDECIN.	LE MÉDECIN.
Le grand'diſcorde Sous le nom de Steimy.	Le grand'discorde Sous le nom de Steimi.
EACVS.	EACUS.
Vous eſles vn perfide, Et vos diſcours trompeurs ſont ſans difficulté Contre voſtre Factum, puis que la faculté L’a proclamé veuin, & ſous ce fameux tiltre Il a paru ſeize ans couché dans le Regiſtre, Et l’on veut aujourd’huy ſans le changor e rien, Que ce qui fut vn mal devienne vn tres grand bien :	Vous éles un perfide, Et vos discours trompeurs sont sans difficulté Contre votre Factum, puis que la faculté L'a proclamé veuin, et sous ce fameux titre Il a paru seize ans couché dans le Registre, Et l'on veut aujourd'hui sans le changor e rien, Que ce qui fut un mal devienne un très grand bien :
Milgté ce d'ſtinguo preterté d’ignorance n découvre d’abord l’inepte difference, omme ſi le Statut contraire à celuy-cy ’ad reſſoit pour lors aux Medecins auſſi.	Milgté ce d'stinguo préterté d'ignorance n découvre d'abord l'inepte différence, omme si le Statut contraire à celui-cy ad ressait pour lors aux Médecins aussi.
PLVTTON.	PLUTON.
Il luy faut confionter ſon grand Maiſtre Hipocratte, u’on le faſſe venir	Il a faut confionter son grand Maître Hypocratte, on le fasse venir
MERCVRE.	MERCURE.
Il eſt pris par la patte, ce grand Medecin n’eſt pas de ſon advis, on Couſin Stibyon par forme de devis tes-nous quelque choſe!	Il est pris par la patte, ce grand Médecin n'est pas de son avis, on Cousin Stibyon par forme de devis tes-nous quelque chose!
avez-vous donc envie e demures icy rla Maman vous convie, voſtre bon Papa de tevenir chez vous Il hoche la teſte.	avez-vous donc envie est demures ici ra Maman vous convie, votre bon Papa de tevenir chez vous Il hoche la tête.
ame ſi vous voulez toûjours faire les fous, vay vous laiſſer là, t nez voyez la lettre ue m’on Onele m’eſcrit Il la repouſſe.	âme si vous voulez toujours faire les fous, vais vous laisser là, tnez voyez la lettre écrit Il la One m'écrit Il la repousse.
PLVTTON.	PLUTON.
Ca, nous le faut remettre, faut faire enfermer & garder ſeurement, r'on ne pourra pas le dompter autrement.	Ça, nous le faut remettre, faut faire enfermer et garder sûrement, ron ne pourra pas le dompter autrement.
EACVS.	EACUS.
Vos gardes periront, tous ceux de ſentinellent le crane vuide, chacun eſt ſans ſervelle les a tous perdus.	Vos gardes périront, tous ceux de sentinellent le crane vid, chacun est sans servelle les a tous perdus.
PLVTTON.	PLUTON.
Que faire donc de luy?	Que faire donc de soins?
toyant relâché, pour paſſer ſon ennuy va me broüiller tout s’il retourne ſur terre.	toyant relâché, pour passer son ennui va me brouiller tout s'il retourne sur terre.
Il recommencera toûjours la meſme guerre, s’il n’oſte de ſon corps tout le maudit venin Parlant à Hipocrace qui arrive, Nous ſommes ſur le ſujet du remede benin, Que vous avez trouvé ſoubs le nom d’Eme dique.	Il recommencera toujours la même guerre, s'il n'ôte de son corps tout le maudit venin Parlant à Hypocrace qui arrive, Nous sommes sur le sujet du remède bénin, Que vous avez trouvé sous le nom d'Eme dique.
110	110
HIPOCRATTE.	HIPOCRATTE.
Aphoriſme Grec expliqué en François	Aphorisme Grec expliqué en Français
pour l'entindre.	pour l'entindre.
Ie tuë en purgeant trop viſte, & ce qui artis tout à coup eſt ennemy de la nature, mais t qui ſe fait peu à peu eſt plus aſſeuré.	Je tuë en purgeant trop vite, et ce qui artis tout à coup est ennemi de la nature, mais t qui se fait peu à peu est plus assuré.
Mercatarſi apoctinè garte pole efiridion, te fuût polemion, gar de olipon aſgalís.	Mercatarsi apoctinè garte pôle éfiridion, te fût polemion, gar de olipon asgalís.
MERCVRE.	MERCURE.
Voila parler aſſez, en termes de pratique,	Voilà parler assez, en termes de pratique,
PLVTTON.	PLUTON.
Ne nous arreſtons point aux termes de voſtre ait.	Ne nous arrêtons point aux termes de votre ait.
141 1 Mais en diſ-ours communs découvrez nous ſan fard, Si vous auez vſé de ce preſent remede, Comme chez les Gaulois, depuis peu l’on s’et 70	141 1 Mais en dis-ours communs découvrez nous san fard, Si vous avez usé de ce présent remède, Comme chez les Gaulais, depuis peu l'on s'et 70
HIPOCRATTE.	HIPOCRATTE.
Non iamais, tant s’en faut, on voit dans mes eſcrits.	Non jamais, tant s'en faut, on voit dans mes écrits.
Qu’eſtant vn pur venin ie l’oſte & le proſcrits, Si ie me ſuis ſervy dars certaines coliques De Bithume, de ſel, & d’eſprits mettalliques, I’ay toûjours pris du laict qui l’a rendu benin, N’oſant pas comme on fait l’irriter par le vin:	Qu'étant un pur venin ie l'ôte et le proscrits, Si ie me suis servi dars certaines coliques De Bithume, de sel, et d'esprits mettalliques, J'ai toujours pris du lait qui l'a rendu bénin, N'osant pas comme on fait l'irriter par le vin:
Dans vn mal violent ſurprenant la nature, ay lâché quelquefois, non pas à l’avanture, lais à des hommes forts & ſurpris tout à coup, i pareil deffenſeur, comme vn chien vers le loup :	Dans un mal violent surprenant la nature, ai lâché quelquefois, non pas à l'aventure, lais à des hommes forts et surpris tout à coup, y pareil défenseur, comme un chien vers le loup :
3 our va malade au lict vn peu foible & debileuy donnant du Stiby pour provoquer ſa bile, ’eſt faire ſuffoquer la mêche du flambeau, t coucher iuſtement la victime au tombeau.	3 our va malade au lit un peu faible et débileui donnant du Stibi pour provoquer sa bile, 'est faire suffoquer la mêche du flambeau, t coucher justement la victime au tombeau.
PLVTTON.	PLUTON.
Cela joint aux efforts nous le fait bien connoiſtre.	Cela joint aux efforts nous le fait bien connaître.
LE MEDECIN à genoux.	LE MÉDECIN à genoux.
Ah!	Ah!
divin Hipocratte, ah!	divin Hypocratte, ah!
pardon, mon cher Maiſtre, e vous expliquez plus, laiſſez-le comme il eſt, ur le texte ambigu nous aurons noſtre Arreſt ;	pardon, mon cher Maître, e vous expliquez plus, laissez-le comme il est, ur le texte ambigu nous aurons nôtre Arrest ;
21 lis ſi vous l’expliquez, ſans doute que la gloſe ra des Medecins quelque Metamorphoſe, ſeront Triailleurs, oſtant leurs differends.	21 lis si vous l'expliquez, sans doute que la glose ra des Médecins quelque Métamorphose, seront Triailleurs, ôtant leurs différends.
HIPOCRATTE.	HIPOCRATTE.
L’on rencontre en tous lieux d’inſignes ignorans, le plus grand Docteur de voſtre Medecine riteroit trente ans d’avoir la diſcipline, n’eſt pas à l’écolle à vous rendre parfaits;	L'on rencontre en tous lieux d'insignes ignorants, le plus grand Docteur de votre Médecine riterait trente ans d'avoir la discipline, n'est pas à l'école à vous rendre parfaits;
s faut paſſer vingt ans pour en voir les eft riſquer ſur des chiens, u non pas ſur dehommes temedes douteux.	s faut passer vingt ans pour en voir les est risquer sur des chiens, u non pas sur dehommes temèdes douteux.
LE MEDECIN.	LE MÉDECIN.
Dans le ſiecle où nous ſommes Si l’on ne riſquoit rien faudroit mourit à faim.	Dans le siècle où nous sommes Si l'on ne risquait rien faudrait mourit à faim.
HIPOCRATTE.	HIPOCRATTE.
Ah!	Ah!
Medecin fatal, Empirique inhumain.	Medecin fatal, Empirique inhumain.
Quoy tu ne croirois pas avoir aſſez de vie, Si d’vn cœur criminel tu ne l’avois ravie?	Quoi tu ne croirais pas avoir assez de vie, Si d'un cœur criminel tu ne l'avais ravie?
Ne te reclame plus d’eſtre mon ſectateur.	Ne te réclame plus d'être mon sectateur.
PLVTTON.	PLUTON.
Qu’on renferme à iamais ce maudit in poſteur, Et qu’on invente auſſi quelques nouveaux ſe plices Pour puair avec luy tous les futurs complices	Qu'on renferme à jamais ce maudit in posteur, Et qu'on invente aussi quelques nouveaux se pliées Pour puair avec lui tous les futurs complices
Parlant à Mercure.	Parlant à Mercure.
Mercure vous voyez que ſans difficulté Faut tenir le Stiby loin de la faculté;	Mercure vous voyez que sans difficulté Faut tenir le Stibi loin de la faculté;
A moias qu’vn Dieu par corps luy-melæ ne réponde, Des maux qu’il peut cauſer à ſon retour monde, Ie vais le retenir priſonnier en ces lieux	À moias qu'un Dieu par corps Seigneur-melæ ne réponde, Des maux qu'il peut causer à son retour monde, Je vais le retenir prisonnier en ces lieux
MERCVRE.	MERCURE.
Ie n’en répondray pas, ie m’en retournen cieux.	Je n'en répondrai pas, Seigneur m'en retournén cieux.
PLVTTON.	PLUTON.
Trouver Monſieur ſon Pere, & vous pourrez dire que ie retiens ſon fils.	Trouver Monsieur son Père, et vous pourrez dire que ie retiens son fils.
MERCVRE.	MERCURE.
Le voila qui ſoûpir Ade dieu petit Couſin.	Le voilà qui soupir Ade dieu petit Cousin.
PLVTTON.	PLUTON.
Rentrons, & fuivez nous xendant caution qui réponde pour vous Do pourra chez Plutton élire domicille.	Rentrons, et suivez nous xendant caution qui réponde pour vous Do pourra chez Pluton élire domicille.
MERCVRE.	MERCURE.
Bottons-nous pour partir, il nous faut faire gille.	Bottons-nous pour partir, il nous faut faire gille.
Fin du ſecond Atte	Fin du second Atte
ACTE III.	ACTE III.
D MOMVS entre en tâtonnan, & tombe.	 DOMUS entre en tâtonnan, et tombe.
H le chien de pays, i'ay le nez fuA afe	H le chien de pays, j'ai le nez fuA afe
MER CVRE.	MER CURE.
Viens-tu chercher icy les droits de trépaſſe	Viens-tu chercher ici les droits de trépasse
MOMVS à terre.	MOMUS à terre.
Ie tentends, eſt-ce toy?	Je tentends, est-ce toi?
la main, la mais, Mercure.	la main, la mais, Mercure.
1	1
MERCVRE le relevant.	MERCURE le relevant.
Trouves- tu chez plutton que la terre ſoit dure?	Trouves- tu chez pluton que la terre soit dure?
As-tu Maiſtre à danſer, tu ne ſautes pas mal,	As-tu Maître à danser, tu ne sautes pas mal,
MOMVS.	MOMUS.
Dans ces lieux rabotteux le plus fort animal Broncheroit ſans manquer à l’éclat des tenebres que fais-tu ſi long-temps dans ces priſons funebres?	Dans ces lieux rabotteux le plus fort animal Broncherait sans manquer à l'éclat des ténèbres que fais-tu si longtemps dans ces prisons funèbres?
Le ſoleil eſt ſi las de conduire ſon char, qu’il peſte dans les cieux contre ce vieux Penar:	Le soleil est si las de conduire son char, qu'il peste dans les cieux contre ce vieux Pénar:
Faut partir au plûtoſt.	Faut partir au plûtost.
MERCVRE.	MERCURE.
Saturne le bou Pere ira du bout des dents n’ayant pû faire afillle*2 on fils eſt retenu, peu s’en faut qu’aujourd’huy- ne ſois demeuré priſonnier avec luy, a vouloit m’obliger de luy ſervir de pleige.	Saturne le bou Père ira du bout des dents n'ayant pu faire afillle*2 on fils est retenu, peu s'en faut qu'aujourd'hu- ne sois demeuré prisonnier avec lui, a voulait m'obliger de Se servir de pleige.
MOMVS.	MOMUS.
On t'autoit fait icy comme on fait au College, n tépondant, payant, avec vn certain joüet u Tauron denrt pour quelques coups de foüet.	On t'autait fait ici comme on fait au Collège, n tépondant, payant, avec un certain jet Auron denrt pour quelques coups de foncet.
a a ea	a a ea
MERCVRE.	MERCURE.
Ie me tire du pair, enfia m’en volla quitte, e n’y r’entreray plus, ſi ce n’eſt à la ſuitte De Madame Themys;	Je me tire du pair, enfia m'en volla quitte, e 'y rentrerai plus, si ce n'est à la suitte De Madame Thémis;
car ſans elle en ces lieux amais noſtre Couſin ne reverra les Cieux	car sans elle en ces lieux amais notre Cousin ne reverra les Cieux
MOMVS.	MOMUS.
1 I’ay procuration, peut-eſtre qu’en ta place utton en ma faveur accordera ſa grace.	1 J'ai procuration, peut-être qu'en ta place uton en ma faveur accordera sa grâce.
0 MERCVRE.	0 MERE.
Ce ſont des pas perdus, i’ay fait tout mon pouvoir, itton le tient luy-meſme.	Ce sont des pas perdus, j'ai fait tout mon pouvoir, itton le tient Seigneur-même.
MOMVS.	MOMUS.
quoy, ie ne pourrois voir tre petit fanfan?	quoi, Seigneur ne pourrais voir tre petit sansan?
MERCVRE.	MERCURE.
Ie me ſauve au plus viſte, Le lu ye de ces lieux va apptendre ſon giſte, Fais luy voir ton eſcrit, il te per nettra tout, Et ie vais chez Themys pouſſer l’aff ire à bout	Je me sauve au plus vite, Le lu ie de ces lieux va aptendre son gîte, Fais lui voir ton écrit, il te per nettra tout, Et personne vais chez Themys pousser l'as re à bout
RADAMANTE à Momus.	RADAMANTE à Momus.
Apres vous, mortels.	Après -vous, mortels.
MOMVS Dans ces demeures ſombres Chacun eſt déguiſé, tout paſſe pour des Ombres, Ie ne ſuis point mortel, Monſieur, regardermoy.	MOMUS Dans ces demeures sombres Chacun est déguisé, tout passe pour des Ombres, Je ne suis point mortel, Monsieur, regardermoi.
RADAMANTE.	RADAMANTE.
On n’entre point icy ſans vous dire pourquoy, qui vous a donc paſſé?	On n'entre point ici sans vous dire pourquoi, qui vous a donc passé?
MOMVS.	MOMUS.
Moy-meſme, & ſans Naſſilles I’ay nazé tout veſtu pour conſerver mes aiſles, Eſtant ſur voſtrs bord tout couvert de rubis, Ie me ſuis mis au vent pour ſeicher mes habits, Enfin donc me voila de la part de Saturne, qui vous baiſe les mains penſif & taciturne, Il marche à reculons, il ne ſçuit ce qu’il fait, Si ſon fils ne revient il ſera fous parfait.	Moi-même, et sans Nassilles J'ai nazé tout vêtu pour conserver mes ailes, Estant sur vostrs bord tout couvert de rubis, Je me suis mis au vent pour seicher mes habits, Enfin donc me voilà de la part de Saturne, qui vous baise les mains pensif et taciturne, Il marche à reculons, il ne sûres ce qu'il fait, Si son fils ne revient il sera fous parfait.
RADAMANTE.	RADAMANTE.
Voyons voſtre pouvoir, s’il eſt comme il doit eſtre.	Voyons votre pouvoir, s'il est comme il doit être.
MOMVS.	MOMUS.
La lecture, Monſieur, vous va faire connoi tre,	La lecture, Monsieur, vous va faire connais tre,
Que ie ſuis Procureur par procuration, Et non pas en effet, ny de vacation;	Que ie suis Procureur par procuration, Et non pas en effet, ni de vacation;
Il lit ſa procuration.	Il lit sa procuration.
Eſcoutez, s’il vous plaiſt.	Écoutez, s'il vous plaît.
Pardevant les Notaires, cætera, Momus agent de mes affaires, Et cætera, fera pour me tirer d’émoy, ?	Pardevant les Notaires, cætera, Momus agent de mes affaires, Et cætera, fera pour me tirer d'émoi, ?
cætera pour luy, par luy comme par moy!	cætera pour lui, par lui comme par moi!
t cætera, délois comme à preſent i’eſpere i’il doit payant les frais rendre le fils au pere, t extera.	t cætera, délois comme à présent j'espère j'il doit payant les frais rendre le fils au père, t extera.
RADAMANTE.	RADAMANTE.
Momus, tout cela ne dit rien	Momus, tout cela ne dit rien
MOMVS.	MOMUS.
Vous ne l’entendez-pas, & moy ie m’entens bien, eſt qu’il faut en payant me rendre l’Emet que.	Vous ne l'entendez-pas, et moi -moi m'entends bien, est qu'il faut en payant me rendre l'Emet que.
RADAMANTE.	RADAMANTE.
Cet écrit ſuranné ſent ſon ſtile Gotique, lous ne recevons plus tous ces, & cætera.	Cet écrit suranné sent son style Gotique, lous ne recevons plus tous ces, et cætera.
MOMVS.	MOMUS.
Donnez-moy quelque agent on e contentera, Chez lupiter, Monſieur, tous nos hommes d’affaires 1 ont de ce temps jadis, & nos pauvres Notaires e peuvent en cent ans rencontrer vn ſeul Clerc, out paſſe par deça, chez nous on voit trop clair;	Donnez-moi quelque agent on e contentera, Chez lupiter, Monsieur, tous nos hommes d'affaires 1 ont de ce temps jadis, et nos pauvres Notaires est peuvent en cent ans rencontrer un seul Clerc, out passe par deça, chez nous on voit trop clair;
e iout chez les fupiers gaſte la marchandiſe.	 eût chez les fupiers gâte la marchandise.
RADA	RADA
RADAMANTE.	RADAMANTE.
Cét eſcrit de Gaulois ne peut eſtre de miſe, C’eſt pourquoy vous pouvez retourner ſur ve pas.	Cet écrit de Gaulois ne peut être de mise, C'est pourquoi vous pouvez retourner sur ve pas.
MOMVS.	MOMUS.
Et noſtre priſonnier ne le verray-je pas?	Et notre prisonnier ne le verrai-je pas?
RADAMANTE.	RADAMANTE.
Vous luy pouvez parler, paſſez vers le Coucierge.	Vous y pouvez parler, passez vers le Coucierge.
MOMVS entrant.	MOMUS entrant.
Ie crois qu’il eſt logé dans vne triſte Auberge.	Je crois qu'il est logé dans une triste Auberge.
CARON entre avec vn Me decin Ombre.	CARON entre avec un Me décin Ombre.
Tout le malheur me ſuit, ayant remis ma bag, Ce vieux porte-guignon nous a fait faire erag Tout mon mal depuis peu vient de la Meds cine, C’eſt là quelque ſupoſt, il en a bien la mine.	Tout le malheur me suit, ayant remis ma bag, Ce vieux porte-guignon nous a fait faire érag Tout mon mal depuis peu vient de la Méds ciné, C'est là quelque suppôt, il en a bien la mine.
LE MEDECIN.	LE MÉDECIN.
Ie le ſuis en effet	Je le suis en effet
CARON.	CARON.
Ah!	Ah!
ſi ie l’avois ſçeu, Monſieur le Medecin, vous auriez ma foy beu Tout voſtre chien de ſou, ie vous aurois fa mettre Dans vn ſacq à charbon avec vn mot de lettre, Vn Serpent.	si ici l'avais su, Monsieur le Médecin, vous auriez ma foi beû Tout votre chien de sou, enfin vous aurais fa mettre Dans un sacq à charbon avec un mot de lettre, Un Serpent.
va Diagon, accompagné d' Et dans cét appareil Thetis vous eſtoit hoq.	va Diagon, accompagné d' Et dans cet appareil Thétis vous était hoq.
LEMEDECIN.	LEMEDECIN.
Ce chaſtiment n’eſt dû qu’aux cruels parricides.	Ce châtiment n'est dû qu'aux cruels parricides.
M	M
2 CARON.	2 CARON.
Que meritez-vous donc, celuy de Canicides.	Que méritez-vous donc, celui de Canicides.
RADAMANTE.	RADAMANTE.
1 Sçavez-vous ce que c’eſt que le Stiby nouveau ?	1 Savez-vous ce que c'est que le Stibi nouveau ?
LE MEDECIN.	LE MÉDECIN.
tombeau, ne ſetois pas là, s’il eſtoit ſur la terre, pour vn de nos Chefs qui nous livre la guerre, nn’en oſe parler ayant eſté ſouſtrait;	tombeau, ne sétais pas là, s'il était sur la terre, pour un de nos Chefs qui nous livre la guerre, n'en ose parler ayant été soustrait;
ſais nous le contraindrons d’en faire vn extraict :	sais nous le contraindrons d'en faire un extrait :
oicy noſtre Factum preſenté ſur Requeſtes, i nous fera bien-toſt remonter ſur nos beſtes.	oici notre Factum présenté sur Requêtes, jusqu' nous fera bientôt remonter sur nos bêtes.
RADAMANTE prend le Factum Mii dl & le lit.	RADAMANTE prend le Factum Mi dl et le lit.
Quoy Themys, aujourd’huy dans voſtre faculté?	Quoi Themys, aujourd'hui dans votre faculté?
e n’eſt pas là ſon fait, cette difficulté partenoit plûtoſt au Corps de Medecine.	eu n'est pas là son fait, cette difficulté partenait plutôt au Corps de Médecine.
LE MEDECIN.	LE MÉDECIN.
Il eſt vray, mais pluſieurs coupant cette racine ous coupant le goſier comme ce perdulcis, ui decide le faict en ſix cens ving-ſix En cestemmes:	Il est vrai, mais plusieurs coupant cette racine ous coupant le gosier comme ce perdulcis, ui décide le fait en six cents ving-six En cettemêmes:
Sunt qui temerè in morbis contumacibus tria quatuer grana Antimonij praparati uſurpant cum aliquo liquœe, quod varios humοres ſine delectu & cum magna corporis perturbatione vtrinque dejicits ſed horrenda quà independent ſimptomata, id tanquam venenum pernicioſum fugiendum eſſe hortantur.	Sunt qui temerè in morbis contacibus tria quatuer grana Antimonijpraparati usurpant cum aliquo liquœe, quod varios humres sine délectu et cum magna corporis perturbatione vtrinque déjicits zed horrenda quà indépendent simptata, id anquam venenum perniciosum fugiendum esse hortantur.
Et plus bas :	Et plus bas :
Antimonium non modo hypercatarſi enecat, ſes ſubſtantiam ventriculi & inteſtinerum contumasi Adheſu exulcerat & perfodit, atque poſt immodicas vomitiones & dejectiones cruentas cum ſrs quenti animi deliquio interimit.	Antimonium non modo hypercatarsi enecat, ses substantiam ventriculi et intestinerum contasi Adhesu exerçât et perfit, atque post immodicas vomitiones et dejectiones cruentas cum srs quenti animi deliquio interimit.
RADAMANTE.	RADAMANTE.
Ne faut pas autre choſe.	Ne faut pas autre chose.
Pour vous çondamner tous	Pour vous çondamner tous
LE MEDECIN.	LE MÉDECIN.
Faut entendre la gloſe, Le tous eſt contre nous, ie vay vous l’expliquer	Faut entendre la glose, Le tous est contre nous, Elle vais vous l'expliquer
CARON.	CARON.
Apres les contredits, il faudra repliquer, Demeurons là deſſus.	Après les contredits, il faudra répliquer, Demeurons là -dessus.
RADAMANTE cependant lit ba le Factum.	RADAMANTE cependant lit ba le Factum.
MOMVS ſort en renachant.	MOMUS sort en renachant.
Peſte le ſot Royaume.	Peste le sot Royaume.
Tout eſt noir comme vn four dans ce grand iet de Paume, Ou gemiſt à taſtons, on crie à grince dents.	Tout est noir comme un four dans ce grand jet de Paume, Ou gémît à tâtons, on crie à grince dents.
Mercure arrive.	Mercure arrive.
MOMVS.	MOMUS.
Mercure, ah cher amy!	Mercure, ah cher ami!
n’entre pas là dedans Ah le pauvre habitacle!	n'entre pas là -dedans Ah le pauvre habitacle!
Ah perte ſans ſeconde Ie n’ay veu par tout là que riches, que grant -onde I Iupin pius joly n’amaſſe parmy nous que des gueux, des poüilleux, des Critiques, des foux :	Ah perte sans seconde Je n'ai vu par tout là que riches, que grant -onde I Iupin pius joli n'amasse parmi nous que des gueux, des pouilleux, des Critiques, des foux :
uoy, Plutton le cadet aura toute l’elite, logera ſi mal tant d’hommes de merite?	Çuoi, Pluton le cadet aura toute l'élite, logera si mal tant d'hommes de mérite?
upites le ſçaura, l’ordre eſt bouleverſé, t voila iuſtement le monde renverſé.	upites le saura, l'ordre est bouleversé, t voilà justement le monde renversé.
MERCVRE Iupiter prend plaiſir dans les Metamorphoſes, I ſe ſert du neant pour les plus belles choſes, es grands hommes du temps qui s’eſtiment parfaits nt élevez trop haut pour luy ſervir d’objets.	MERCURE Iupiter prend plaisir dans les Métamorphoses, I se sert du néant pour les plus belles choses, es grands hommes du temps qui s'estiment parfaits nut élevez trop haut pour lui servir d'objets.
Tuemys amve.	Tuémis amue.
MOMVS.	MOMUS.
Voicy venir Themys.	Voici venir Thémis.
MERCVRE.	MERCURE.
our le petit Stiby.	our le petit Stibi.
Iupin a donné l’ordre	Jupin a donné l'ordre
MOMVS.	MOMUS.
C’eſt du ſil à retordre pur Monſieur le Bailly.	C'est du sil à retordre pur Monsieur le Bailly.
Ile Factum.	Ile Factum.
