R IRE, Y.	 IRE, Y.
Son ordre eſt qu’en ce lieu vous devez vous tenir, Aſſeuré que dans peu vous l’y verrez venir, Lors qu’elle aura quitté quelques provinciales, Aux perſonnes de Cour fâcheuſes animales.	Son ordre est qu'en ce lieu vous devez vous tenir, Assuré que dans peu vous l'y verrez venir, Lors qu'elle aura quitté quelques provinciales, Aux personnes de Cour fâcheuses animales.
ERASTE.	ERASTE.
Tenons-nous donc au lieu qu’elle a voulu choiſir:	Tenons-nous donc au lieu qu'elle a voulu choisir:
Mais, puiſque l’ordre icy m’offre quelque loiſir, Laiſſe moy mediter, j’ay deſſein de luy faire Quelques vers, ſur un air, où je la voy ſe plaire.	Mais, puisque l'ordre ici m'offre quelque loisir, Laisse moi méditer, j'ai dessein de donner faire Quelques vers, sur un air, où je la vois se plaire.
Iſe promene en revant.	Ise promène en rêvant.
SCENE IV.	SCÈNE IV.
ORANTE, CLIMENE, ERASTE.	ORANTE, CLIMENE, ERASTE.
ORANTE.	ORANTE.
I Out le monde ſera de mon opinion.	I Out le monde sera de mon opinion.
CLIMENE.	CLIMENE.
Croyez-vous l’emporter par obſtination?	Croyez-vous l'emporter par obstination?
e la drEs.	Je la drEs.
Je penſe mes raiſons meilleures que les voſtres.	Je pense mes raisons meilleures que les vôtres.
CLIMENE.	CLIMENE.
Je voudrois qu’on ouïſt les unes & les autres.	Je voudrais qu'on ouïst les unes et les autres.
ORANTE.	ORANTE.
J’aviſe un homme icy qui n’eſt pas ignorant;	J'avise un homme ici qui n'est pas ignorant;
Il pourra nous juger ſur noſtre different.	Il pourra nous juger sur notre différent.
Maiquis, de glate, un llot.	Maquis, de glate, un lot.
Soumez qu’on vous appelle, Pour eſtre, entre nous deux, juge d’une querelle, D’un debat, qu’ont émeu nos divers ſentimens, Sur ce qui peut marquer les plus parfaits Amants.	Soumez qu'on vous appelle, Pour être, entre nous deux, juge d'une querelle, D'un débat, qu'ont ému nos divers sentiments, Sur ce qui peut marquer les plus parfaits Amants.
ERASTE.	ERASTE.
C’eſt une queſtion à vuider difficile.	C'est une question à vider difficile.
Et vous devez chercher un Juge plus habile.	Et vous devez chercher un Juge plus habile.
ORAN.	ORAN.
ORANTE.	ORANTE.
Non, vous nous dites-là d’inutiles chanſſons :	Non, vous nous dites-là d'inutiles chansons :
Voſtre eſprit fait du bruit, & nous vous connoiſſons;	Votre esprit fait du bruit, et nous vous connaissons;
Nous ſçavons que chacun vous donne à juſte titre.	Nous Savons que chacun vous donne à juste titre.
ERASTE.	ERASTE.
Hé de grace,.	Hé de grâce,.
ORANTE.	ORANTE.
Ent un iliot vous ferez floſtre arbître, Et ce ſont deux momens qu’il vous faut nous donner.	Ent un iliot vous ferez flottre arbître, Et ce sont deux moments qu'il vous faut nous donner.
CLIMENE.	CLIMENE.
Vous retenez icy qui vous doit condamner:	Vous retenez ici qui vous doit condamner:
Car enfin, s’il eſt vray ce que j’en oſe croire, Monſieur, à mes raiſons, donnera la victoire.	Car enfin, s'il est vrai ce que j'en ose croire, Monsieur, à mes raisons, donnera la victoire.
E le lo RE.	E le lo RE.
Que ne puis-je à mon traiſtre inſpirer le ſoucy, D’inventer quelque choſe à me tirer d’icy!	Que ne puis-je à mon traître inspirer le souci, D'inventer quelque chose à me tirer d'ici!
ORANTE.	ORANTE.
Pour moy de ſon eſprit j’ay trop bon témoignage, Pour craindre qu’il prononce à mon deſavantage, Enfin ce grand debat qui s’allume entre nous, Eit de eguron sn laut qu'un Aiant ſoit jaſoux.	Pour moi de son esprit j'ai trop bon témoignage, Pour craindre qu'il prononce à mon désavantage, Enfin ce grand débat qui s'allume entre nous, Éit de éguron s ut qu'un Ajant soit jasoux.
CLIMENE.	CLIMENE.
Ou, pour mieux expliquer ma penſee & la voſtre, Lequel doit plaire plus d’un jaloux ou d’un autre.	Ou, pour mieux expliquer ma pensée et la vôtre, Lequel doit plaire plus d'un jaloux ou d'un autre.
ORANTE.	ORANTE.
Pour moy, ſans contredit, je ſois pour le dernier.	Pour moi, sans contredit, je sois pour le dernier.
e BIMEN E.	eu BIMEN E.
Et dans mon ſentiment je tiens pour le premier.	Et dans mon sentiment je tiens pour le premier.
ORANTE.	ORANTE.
je croy que noſtre cœur doit donner ſon ſuffrage A qui fait éclater du reſpect davantage.	je crois que notre cœur doit donner son suffrage A qui fait éclater du respect davantage.
CLIMENE.	CLIMENE.
Et moy, que ſi nos vœux doivent paroiſtre au jour, C’eſt pour celuy qui fait éclater plus d’amour.	Et moi, que si nos vœux doivent paraître au jour, C'est pour celui qui fait éclater plus d'amour.
ORANTE.	ORANTE.
Ouy, mais on voit l’ardeur dont une ame eſt faiſie, B 2 Bien uien mileux dalis le reipect, que dans la jalouſie.	Oui, mais on voit l'ardeur dont une âme est saisie, B 2 Bien uien mileux dalis le reipect, que dans la jalousie.
CLIMENE.	CLIMENE.
Et c’eſt mon ſentiment, que qui s’attache à nous, Nous aime d’autant plus, qu’il ſe montre jaloux.	Et c'est mon sentiment, que qui s'attache à nous, Nous aime d'autant plus, qu'il se montre jaloux.
ORANTE.	ORANTE.
Fy, ne me parlez point, pour eſtre Amans, Climene, De ces gens dont l’amour eſt fait comme la haine, Et qui, pour tous reſpects, & toute offre de vœux, Ne s’appliquent jamais, qu’à ſe rendre Fâcheux;	Fi, ne me parlez point, pour être Amants, Climène, De ces gens dont l'amour est fait comme la haine, Et qui, pour tous respects, et toute offre de vœux, Ne s'appliquent jamais, qu'à se rendre Fâcheux;
Dont l’ame, que ſans ceſſe un noir tranſport anime, Des moindres actions cherche à nous faire un crime;	Dont l'âme, que sans cesse un noir transport anime, Des moindres actions cherche à nous faire un crime;
En ſoûmet l’innocence à ſon aveuglement, Et veut, ſur un coup d’œil, un éclairciſſement:	En soumet l'innocence à son aveuglement, Et veut, sur un coup d'œil, un éclaircissement:
Qui de quelque chagrin nous voyant l’apparence, Se plaignent auſſi-toſt, qu’il naiſt de leur preſence;	Qui de quelque chagrin nous voyant l'apparence, Se plaignent aussitôt, qu'il naît de leur présence;
Et lors que dans nos yeux brille un peu d’enjoûment, Veulent que leurs Rivaux en ſoient le fondement:	Et lors que dans nos yeux brille un peu d'enjoument, Veulent que leurs Rivaux en soient le fondement:
Enfin, qui prenant droit des fureurs de leur zeles, Ne vous parlent jamais, que pour faire querelle;	Enfin, qui prenant droit des fureurs de leur zèles, Ne vous parlent jamais, que pour faire querelle;
Oſent deſſenure à tous t'approene de uoscœurs, Et ſe font les tyrans de leurs propres vainqueurs.	Osent dessenure à tous t'approène de oscœurs, Et se font les tyrans de leurs propres vainqueurs.
Moy je veux des Amans que le reſpect inſpire;	Moi je veux des Amants que le respect inspire;
Et leur ſoûmiſſion marque mieux noſtre empire.	Et leur soumission marque mieux notre empire.
CLIMENE.	CLIMENE.
Fy, ne me parlez point, pour eſtre vrais Amans, 1 De ces gens, qui pour nous n’ont nuls emporte.	Fi, ne me parlez point, pour être vrais Amants, 1 De ces gens, qui pour nous n'ont nuls emporte.
mens;	mens;
De ces tiedes Galans, de qui les cœurs paiſibles Tiennent deja pour eux les choſes infaillibles;	De ces tièdes Galants, de qui les cœurs paisibles Tiennent déjà pour eux les choses infaillibles;
N’ont point peur de nous perdre, & laiſſent chaque jour, Sur trop de confiance endormir leur amour;	N'ont point peur de nous perdre, et laissent chaque jour, Sur trop de confiance endormir leur amour;
Sont avec leurs Rivaux en bonne intelligeuce, Et laiſſent un champ libre à leur perſeverance.	Sont avec leurs Rivaux en bonne intelligeuce, Et laissent un champ libre à leur persévérance.
Un amour ſi tranquille excite mon courroux.	Un amour si tranquille excite mon courroux.
C’eſt aimer froidement que n’eſtre point jaloux;	C'est aimer froidement que n'être point jaloux;
2 Et je veux, qu’un Amant pour me prouver ſa flâme, Sur d’eternels ſoupçons laiſſe floiter ſon ame, Et par de prompts tranſports, donne un ſigne éclatant De l’eſtime qu’il fait de celle qu’il pretend.	2 Et je veux, qu'un Amant pour me prouver sa flamme, Sur d'éternels soupçons laisse flaiter son âme, Et par de prompts transports, donne un signe éclatant De l'estime qu'il fait de celle qu'il prétend.
On s’applaudit alors de ſon inquietude, Et s’il nous fait par fois un traitement trop rude, Le plaiſir de le voir ſoûmis à nos genoux, S’excuſer de l’éclat qu’il a fait contre nous, Ses pleurs, ſon deſeſpoir d’avoir pù nous deplaire, Eſt un charme à calmer toute noſtre colere.	On s'applaudit alors de son inquiétude, Et soumis à nous fait par fois un traitement trop rude, Le plaisir de le voir soumis à nos genoux, S'excuser de l'éclat qu'il a fait contre nous, Ses pleurs, son désespoir d'avoir puù nous déplaire, Est un charme à calmer toute notre colère.
ORANTE.	ORANTE.
Si pour vous plaire il faut beaucoup d’emportement, uiçaiotur vous pourroit domen cententenient;	Si pour vous plaire il faut beaucoup d'emportement, uiçaiotur vous pourrait domen cententenient;
Et je connois des gens dans Paris plus de quatre, Qui, comme ils le font voir, aiment juſques à batre.	Et je connais des gens dans Paris plus de quatre, Qui, comme ils le font voir, aiment jusques à battre.
CLIMENE.	CLIMENE.
Si pour vous plaire il faut n’eſtre jamais jaloux, jorjuis certaines gens fort commodes pour vous;	Si pour vous plaire il faut n'être jamais jaloux, jorjuis certaines gens fort commodes pour vous;
Des hommes en amour d’une humeut ſi ſouffrante, Qu’ils vous verroient ſans peine entre les bras deHente.	Des hommes en amour d'une humeut si souffrante, Qu'ils vous verraient sans peine entre les bras deHente.
ORANTE.	ORANTE.
Enfin, par voſtre arreſt vous devez declarer, Celuy de qui l’amour vous ſemble à preferer.	Enfin, par votre arrêt vous devez déclarer, Celui de qui l'amour vous semble à préférer.
NTASTE.	NTASTE.
Puiſqu’à moins d’un arreſt je ne m’en puis deffaire, Ioutes deux ala loisje vous veuslatisiale 3 Et pour ne point blâmer ce qui plaiſt à vos yeux, Le jaloux aime plus, & l’autre aime bien mieux.	Puisqu'à moins d'un arrêt je ne m'en puis défaire, Joutes deux ala loisje vous veulatisale 3 Et pour ne point blâmer ce qui plaît à vos yeux, Le jaloux aime plus, et l'autre aime bien mieux.
CLIMENE.	CLIMENE.
L’arreſt eſt plein d’eſprit;	L'arrêt est plein d'esprit;
mais.	mais.
ERASTE.	ERASTE.
Suffit, j’en ſuis quitte.	Suffit, j'en suis quitte.
Aprés ce que j’ay dit, ſoufftez que je vous quitte.	Après ce que j'ai dit, soufftez que je vous quitte.
SCE.	SCE.
SCENE V.	SCÈNE V.
ORPHISE, ERASTE.	ORPHISE, ERASTE.
ERASTE.	ERASTE.
De vous taruen, muuame, ee qde j’éprouve 8 bien.	De vous taruen, mume, ce q j'éprouve 8 bien.
ORPHISE.	ORPHISE.
Non, non, ne quittez pas un ſi doux entretien.	Non, non, ne quittez pas un si doux entretien.
A tort vous m’accuſez d’eſtre trop tard venuë, Et vous avez dequoy vous paſſer de ma veuë.	À tort vous m'accusez d'être trop tard venue, Et vous avez dequoy vous passer de ma vue.
ERASTE.	ERASTE.
camiujet contie moj vonleeseoue vous aigiir, Et me reprochez-vous ce qu’on me fait ſouffrir?	camivjet contie moj vonleeseoue vous aigiir, Et me reprochez-vous ce qu'on me fait souffrir?
Ha!	Ha!
de grace attandez.	de grâce attandez.
ORPHISE.	ORPHISE.
Laiſſez-moy, je vous prie, Et courez vous rejoindre à voſtre compaguie.	Laissez-moi, je vous prie, Et courez -vous rejoindre à votre compaguie.
Elle ſort.	Elle sort.
ERASTE.	ERASTE.
Ciel, faut-il qu’aujourd’huy Fâcheuſes, & Fâcheux, Compiſent anoubler les plus chers de mes vœux!	Ciel, faut-il qu'aujourd'hui Fâcheuses, et Fâcheux, Compisent anoubler les plus chers de mes vœux!
Mais allons ſur ſes pas, malgré ſa reſiſtance, Et faiſons à ſes yeux briller noſtre innocence.	Mais allons sur ses pas, malgré sa résistance, Et faisons à ses yeux briller notre innocence.
SCENE VI.	SCÈNE VI.
DORANTE, ERASTE.	DORANTE, ERASTE.
DORANTE.	DORANTE.
A Marquis, que l’on voit de Fâcheux tous les jours, Venir de nos plaiſirs intertompre le cours!	À Marquis, que l'on voit de Fâcheux tous les jours, Venir de nos plaisirs intertompre le cours!
Tu me vois enragé d’une aſſés belle chaſſe Qu’un fat.	Tu me vois enragé d'une assez belle chasse Qu'un fat.
C’eſt un recit qu’il faut que je te faſſe;	C'est un récit qu'il faut que je te fasse;
ERA	ERA
ERASTE.	ERASTE.
Je cheicne icy queiqu' un, & ne puismaffener.	Je cheine ici queiqu' une, et ne puismaffenser.
DORANTE le retenant.	DORANTE le retenant.
Parbleu chemin faiſant je te le veux conter.	Parbleu chemin faisant je te le veux conter.
Nous eſtions une troupe, aſſez bien aſſortie, Qui pour courir un Cerf avions hier fait partie;	Nous étions une troupe, assez bien assortie, Qui pour courir un Cerf avions hier fait partie;
Et nous fûmes coucher ſur le païs exprés, C’eſt à dire, mon cher, en fin fond de forets.	Et nous fûmes coucher sur le pays exprès, C'est à dire, mon cher, en fin fond de forets.
Comme cet exercice eſt mon plaiſir ſupréme, Je voulus, pour bien faire, aller au bois moy-même;	Comme cet exercice est mon plaisir suprême, Je voulus, pour bien faire, aller au bois moi-même;
Et nous conclûmes tous d’attacher nos efforts Sur un Cerf, qu’un chacun nous diſoit Cerſ-dixcors;	Et nous conclûmes tous d'attacher nos efforts Sur un Cerf, qu'un chacun nous disait Cers-dixcors;
Mais moy, mon jugement, ſans qu’aux marques j’arreſte, Fut qu’il n’eſtoit que Cerf à ſa ſeconde teſte.	Mais moi, mon jugement, sans qu'aux marques j'arrête, Fut qu'il n'était que Cerf à sa seconde tête.
Nous avions, comme il faut, ſeparé nos relais, Et déjeunions en haſte, avec quelques œufs frais;	Nous avions, comme il faut, séparé nos relais, Et déjeunions en hâte, avec quelques œufs frais;
Lors qu’un franc Campagnard, avec longue rapiere, Montant ſuperbement ſa Jument pouliniere, Qu’il honoroit du nom de ſa bonne Jument, S’en eſt venu nous faire un mauvais compliment, Nous preſentant auſſi, pour ſureroiſt de colere, Un grand beneſt de fils, auſſi ſot que ſon pere.	Lors qu'un franc Campagnard, avec longue rapière, Montant superbement sa Jument poulinière, Qu'il honorait du nom de sa bonne Jument, S'en est venu nous faire un mauvais compliment, Nous présentant aussi, pour sureroist de colère, Un grand benest de fils, aussi sot que son père.
Il s’eſt dit grand Chaſſeur, & nous a priés tous, Qu’il puſt avoir le bien de courir avec nous.	Il s'est dit grand Chasseur, et nous a priés tous, Qu'il pût avoir le bien de courir avec nous.
Dieu preſerve, en chaſſant, toute ſage perſonne, D’un porteur de huchet, qui mal à propos ſonne;	Dieu preserve, en chassant, toute sage personne, D'un porteur de huchet, qui mal à propos sonne;
De ces gens, qui ſuivis de dix Hourets galeux Diſent ma meute, & font les chaſſeurs merveilleux.	De ces gens, qui suivis de dix Hourets galeux Disent ma meute, et font les chasseurs merveilleux.
Sa demande receuë, & ſes vertus priſées, Nous avons eſté tous frapper à nos briſées.	Sa demande reçue, et ses vertus prisées, Nous avons été tous frapper à nos brisées.
A trois longueurs de trait, tayaut;	À trois longueurs de trait, taiaut;
voila d’abord Le Cerf donné aux chiens, J’appuye, & ſonne fort.	voilà d'abord Le Cerf donné aux chiens, J'appuie, et son fort.
Mon Cerf débuche, & paſſe une aſſez longue plaine, Et mes chiens aprés luy;	Mon Cerf débuche, et passe une assez longue plaine, Et mes chiens après femme;
mais ſi bien en haleine, Qu’on les auroit couverts tous d’un ſeul juſte-aucorps.	mais si bien en haleine, Qu'on les aurait couverts tous d'un seul justeaucorps.
Il vient à la Foreſt.	Il vient à la Forêt.
Nous luy donnons alors La vieille meute;	Nous était donnons alors La vieille meute;
& moy, je prens en diligence Mon Cheval Allezan.	et moi, je prends en diligence Mon Cheval Allezan.
Tu l’as veu?	Tu l'as vu?
Muua e e do Non je penſe.	Mua est do Non je pense.
DORANTE.	DORANTE.
Comment?	Comment?
c’eſt un Cheval auſſi bon qu’il eſt beau, Et que ces jours paſſez, j’achetay de Gaveau.	c'est un Cheval aussi bon qu'il est beau, Et que ces jours passés, j'achetai de Gaveau.
Marchand de Chevaux celebre à la Cour.	Marchand de Chevaux célèbre à la Cour.
Je te laiſſe à penſer, ſi, ſur cette matiere, Il voudroit me tromper, luy qui me conſidere:	Je te laisse à penser, si, sur cette matière, Il voudrait me tromper, Seigneur qui me considère:
Auſſije m’en contente, & jamais, en effet, Il n’a vendu Cheval, ny meilleur, ny mieux fait.	Aussije m'en contente, et jamais, en effet, Il n'a vendu Cheval, ni meilleur, ni mieux fait.
Une teſte de Barbe, avec l’eſtoile nette;	Une tête de Barbe, avec l'étoile nette;
L’encolure d’un cigne, effilée, & bien droite;	L'encolure d'un cigne, effilée, et bien droite;
Point d’eſpaules non plus qu’un liévre;	Point d'épaules non plus qu'un lièvre;
court jointé, Et qui fait dans ſon poit voir ſa vivacité.	court jointé, Et qui fait dans son poit voir sa vivacité.
Des piez, morbleu, des piez!	Des pieds, morbleu, des pieds!
le rein double:	le rein double:
à vray dire, J’ay trouvé le moyen, moy ſeul, de le reduire, Et ſur luy, quoy qu’aux yeux il montraſt beau ſemblant, Petit Jean de Gaveau ne montoit qu’en tremblant.	à vrai dire, J'ai trouvé le moyen, moi seul, de le réduire, Et sur notre, quoi qu’aux yeux il montrât beau semblant, Petit Jean de Gaveau ne montait qu'en tremblant.
Une croupe, en largeur, à nulle autre pareille;	Une croupe, en largeur, à nulle autre pareille;
Et des gigots, Dieu ſçait!	Et des gigots, Dieu sait!
breſ c’eſt une merveille, Et j’en ay refuſé cent piſtoles, croy moy, Au retour d’un cheval amené pour le Roy.	bres c'est une merveille, Et j'en ai refusé cent pistoles, crois moi, Au retour d'un cheval amené pour le Roi.
Je monte donc deſſus, & ma joye eſtoit pleine, De voir filer de loin les coupeurs dans la plathe;	Je monte donc dessus, et ma joie était pleine, De voir filer de loin les coupeurs dans la plathe;
Je pouſſe, & je me trouve en un fort à l’eſcart, A la queuë de nos chiens moy ſeul avec Drecar.	Je pousse, et je me trouve en un fort à l'écart, A la queue de nos chiens moi seul avec Décar.
Piqueur renommé.	Piqueur renommé.
Une heure là-dedans noſtre Cerf ſe fait battre.	Une heure là-dedans notre Cerf se fait battre.
J’appuye alors mes chiens, & fais le diable à quatre :	J'appuie alors mes chiens, et fais le diable à quatre :
Enfin jamais Chaſſeur ne ſe vit plus joyeux, Je le relance ſeul, & tout alloit des mieux;	Enfin jamais Chasseur ne se vit plus joyeux, Je le relance seul, et tout allait des mieux;
Lors que d’un jeune Cerf s’accompagne le noſtre, Une part de mes chiens ſe ſepare de l’autre, Et je les voy, Marquis, comme tu peux penſer, Chaſſer tous avec crainte, & Finaut balancer.	Lors que d'un jeune Cerf s'accompagne le nôtre, Une part de mes chiens se sépare de l'autre, Et je les vois, Marquis, comme tu peux penser, Chasser tous avec crainte, et Finfaut balancer.
Il ſe rabat ſoudain, dont j’eus l’ame ravie;	Il se rabat soudain, dont j'eus l'âme ravie;
Il empaume la voye, & moy je ſonne & crie, A Finaut, à Finaut:	Il empaume la voie, et moi je sonne et crie, A Inaut, à Finaut:
j’en revois à plaiſir, Sur une taupiniere, & reſonne à loiſir.	j'en revois à plaisir, Sur une taupinière, et résonne à loisir.
Quelques chiens revenoient à moy, quand pour diſgrace, Le jeune Cerf, Marquis, à mon Campagnard paſſe.	Quelques chiens revenaient à moi, quand pour disgrâce, Le jeune Cerf, Marquis, à mon Campagnard passe.
Mon eſtourdy ſe met à ſonner comme il faut, Et crie à pleine voix, tayaut, tayaut, tayaut.	Mon étourdi se met à sonner comme il faut, Et crie à pleine voix, taiaut, taiaut, taiaut.
Mes chiens me quittent tous, & vont à ma pecore, J’y pouſſe, & j’en revois dans le chemin encore;	Mes chiens me quittent tous, et vont à ma pécore, J'y pousse, et j'en revois dans le chemin encore;
Mais à terre, mon cher, je n’eus pas jetté l’œil, Que je connus le change, & ſentis un grand dœil.	Mais à terre, mon cher, je n'eus pas jeté l'œil, Que je connus le change, et sentis un grand dœil.
J’ay beau luy faire voir toutes les differences Des pinces de mon Cerf & de ſes connoiſſances;	J'ai beau lui faire voir toutes les différences Des pinces de mon Cerf et de ses connaissances;
Il me ſoûtient toûjours, en Chaſſeur ignorant, Que c’eſt le Cerf de meute, & par ce different Il donne temps aux chiens d’aller loin:	Il me soutient toujours, en Chasseur ignorant, Que c'est le Cerf de meute, et par ce différent Il donne temps aux chiens d'aller loin:
j’en enrage, Et peſtant de bon cœur contre le perſonnage, Je pouſſe mon cheval, & par haut, & par bas, Qui plioit des gaulis auſſi gros que les bras;	j'en enrage, Et pestant de bon cœur contre le personnage, Je pousse mon cheval, et par haut, et par bas, Qui pliait des gaulis aussi gros que les bras;
Je ramene les chiens à ma premiere voye, Qui vont, en me donnant une exceſſive joye;	Je ramène les chiens à ma première voie, Qui vont, en me donnant une excessive joie;
Requerir noſtre Cerf, comme s’ils l’euſſent veu :	Requérir notre Cerf, comme s'ils l'eussent vu :
Ils le relancent;	Ils le relancent;
mais, ce coup eſt-il preveu?	mais, ce coup est-il prévu?
A te dire le vray, cher Marquis, il m’aſſomme.	À te dire le vrai, cher Marquis, il m'assomme.
Noſtre Cerf relancé va paſſer à noſtre homme, Qui croyant faire un trait de chaſſeur fort vanté, D’un piſtolet d’arçon qu’il avoit apporté, Luy donne juſtement au milieu de la teſte;	Notre Cerf relancé va passer à notre homme, Qui croyant faire un trait de chasseur fort vanté, D'un pistolet d'arçon qu'il avait apporté, Lui donne justement au milieu de la tête;
Et de fort loin me crie, ah!	Et de fort loin me crie, ah!
j’ay mis bas la beſte.	j'ai mis bas la bête.
A-t on jamais parlé de piſtolets, bon Dieu !	A-t -on jamais parlé de pistolets, bon Dieu !
Pour courre un Cerf?	Pour courre un Cerf?
pour moy venant deſſus le lieu, J’ay trouvé l’action tellement hors d’uſage, Que j’ay donné des deux à mon cheval, de rage, nt iir en tuis tevend enez moy toujouis courant, Sans vouloir dire un mot à ce ſot ignorant.	pour moi venant dessus le lieu, J'ai trouvé l'action tellement hors d'usage, Que j'ai donné des deux à mon cheval, de rage, n' ir en tuis tevend en moi toujouis courant, Sans vouloir dire un mot à ce sot ignorant.
ERASTE.	ERASTE.
Tu ne pouvois mieux faire, & ta prudence eſt rare:	Tu ne pouvais mieux faire, et ta prudence est rare:
C’eſt ainſi, des Fâcheux, qu’il faut qu’on ſe ſepare;	C'est ainsi, des Fâcheux, qu'il faut qu'on se sépare;
Adieu.	Adieu.
DORANTE.	DORANTE.
aunld tu toudias, nous itons quelque part, Où nous ne craindrons point de chaſſeur Campagnard.	aunld tu toudias, nous itons quelque part, Où nous ne craindrons point de chasseur Campagnard.
1	1
ERASTE.	ERASTE.
Fort bien.	Fort bien.
Je croy qu’enfin je perdray patience.	Je crois qu'enfin je perdrai patience.
Cherchons à m’excuſer avecque diligence.	Cherchons à m'excuser avec diligence.
Fin du deuxiéme Acte.	Fin du deuxième Acte.
BA L	BA L
DEUXIEME ENTRE’E.	DEUXIÈME ENTRE.
De petits Frondeurs les viennent interrompre, qui ſont chaſſez enſuite.	De petits Frondeurs les viennent interrompre, qui sont chassés ensuite.
TROSIEME ENTRE’E.	TROSIEME ENTRE'E.
Ann nes ouoertera, Ceues ouvetieres, leurs peres, & autres, qui ſont auſſi chaſſez à leur tour.	Ann nés ouoertera, Ceues ouvetières, leurs pères, et autres, qui sont aussi chassés à leur tour.
QUATRIEME ENTREE.	QUATRIÈME ENTRE.
Par un Jardinier, qui dance ſeul, & ſe retire pour faire place au troiſióme Aete.	Par un Jardinier, qui dance seul, et se retire pour faire place au troisième Aète.
ACTE III.	ACTE III.
SCENE I.	SCÈNE I.
ENASTE, LA MONAGNE.	ENASTE, LA MONAGNE.
ERASTE.	ERASTE.
L eſt vray, d’un coſté mes ſoins ont reüſli :	L est vrai, d'un côté mes soins ont reüsli :
Cet adorable objet enfin s’eſt adouci:	Cet adorable objet enfin s'est adouci:
Mais d’un autre on m’accable, & les Aſtres ſeveres Ont, contre mon amour, redoublé leurs coleres.	Mais d'un autre on m'accable, et les Astres sévères Ont, contre mon amour, redoublé leurs colères.
Ouy, Damis ſon tuteur, mon plus rude fâcheux, Tout de nouveau s’oppoſe aux plus doux de mes vœux, A ſon aimable niece a deffendu ma veuë, Et veut d’un autre Eſpoux la voir demain pourveuë.	Oui, Damis son tuteur, mon plus rude fâcheux, Tout de nouveau s'oppose aux plus doux de mes vœux, À son aimable nièce a défendu ma vue, Et veut d'un autre Époux la voir demain pourvue.
Orphiſe toutefois, malgré ſon deſaveu, Daigne accorder ce ſoir une grace à mon feu;	Orphise toutefois, malgré son désaveu, Daigne accorder ce soir une grâce à mon feu;
Et j’ay fait conſentir l’eſprit de cette belle, A ſouffrir qu’en ſecret je la viſſe chez elle.	Et j'ai fait consentir l'esprit de cette belle, A souffrir qu'en secret je la visse chez elle.
L’amour aime ſur tout les ſecrettes faveurs, Dans l’obſtacle, qu’on force, il trouve des douceurs ;	L'amour aime sur tout les secrètes faveurs, Dans l'obstacle, qu'on force, il trouve des douceurs ;
Et le moindre entretien de la beauté qu’on aime, Lors qu’il eſt deffendu, devient grace ſupréme.	Et le moindre entretien de la beauté qu'on aime, Lors qu'il est défendu, devient grâce suprême.
Je vais au rendés-vous:	Je vais au rendez-vous:
c’en eſt l’heure à peu prés:	c'en est l'heure à peu près:
Puis, je veux m’y trouver plûtoſt avant qu’aprés.	Puis, je veux m'y trouver plutôt avant qu'après.
LA'MONTAGNE.	LAMONTAGNE.
ERASTE.	ERASTE.
Non, je craindrois que peut-eſtre A quelques yeux ſuſpects tu me nſſes connoiſtre.	Non, je craindrais que peut-être À quelques yeux suspects tu me nsses connoistre.
Mais.	Mais.
LA MONTAGNE.	LA MONTAGNE.
ERASTE.	ERASTE.
Je ne le veux pas.	Je ne le veux pas.
LA MONTAGNE.	LA MONTAGNE.
je dois luivre vox loix:	je dois luivre vox lois:
1.	1.
Mais au moins ſi de loin.	Mais au moins si de loin.
ERASTE.	ERASTE.
Te tairas-tu, vingt fois?	Te tairas-tu, vingt fois?
Et ne veux-tu jamais quitter cette methode, De te rendre, à toute heure, un valet incommode?	Et ne veux-tu jamais quitter cette méthode, De te rendre, à toute heure, un valet incommode?
SCENE II.	SCÈNE II.
CARITIDES, ERASTE.	CARITIDES, ERASTE.
CARITIDES.	CARITIDES.
Onſieur, le temps repugne à l’honneur de vous voir.	Onsieur, le temps répugne à l'honneur de vous voir.
Le matin eſt plus propre à rendre un tel devoir:	Le matin est plus propre à rendre un tel devoir:
Mais de vous rencontrer il n’eſt pas bien facile;	Mais de vous rencontrer il n'est pas bien facile;
Car vous dormez toûjours, ou vous eſtes en ville;	Car vous dormez toujours, ou vous êtes en ville;
Au moins, Meſſieurs vos gens me l’aſſeurent ainſyDe paſi pour rous tiouver, pits i neuie que voicy.	Au moins, Messieurs vos gens me l'assurent ainsyDe pazy pour rous touver, pits y jeuie que voici.
Encor eſt-ce un grand heur, dont le deſtin m’honnorc;	Encore est-ce un grand heur, dont le destin m'honorc;
Car deux momens plus tard, je vous manquois encore.	Car deux moments plus tard, je vous manquais encore.
ERASTE.	ERASTE.
Monſieur, ſouhaitez-vous quelque choſe de moy?	Monsieur, souhaitez-vous quelque chose de moi?
CARITIDES.	CARITIDES.
Je m’acquitte, Monſieur, de ce que je vous doy;	Je m'acquitte, Monsieur, de ce que je vous dois;
Et vous viens.	Et vous viens.
Excuſez l’audace, qui m’inſpire, Si.	Excusez l'audace, qui m'inspire, Si.
ERASTE.	ERASTE.
Sans tant de façons, qu’avez vous à me dire?	Sans tant de façons, qu'avez -vous à me dire?
CARITDES.	CARITDES.
Gomie le fanęrreſprit, la generoſité, Que chacun vante en vous.	Gomie le fanęrresprit, la générosité, Que chacun vante en vous.
ERASTE.	ERASTE.
Paſſons, Monſieur.	Passons, Monsieur.
