LES GALANTES JERTVEVSES.	LES GALANTES JERTUEUSES.
Ces adroicts complimens me peuuent bien contraindre, D’aduoüer aujourd’huy que vous ſcauez bien feindre, Mais voſtre cœur dement vos yeux & vos propos, Et ie ne trouble point l’heur de voſtre repos.	Ces adroits compliments me peuvent bien contraindre, D'avouer aujourd'hui que vous savez bien feindre, Mais votre cœur dément vos yeux et vos propos, Et grands ne trouble point l'heur de votre repos.
CLARIGENE.	CLARIGENE.
Si ma fidelité vous eſt ſi peu cogneuë, Faites-la par ce fer paroiſtre toute nuë, Cruelle ouurez mon ſein, & voyez ſi mon cœur, S’eſt ſoubsmis laſchement à quelqu’autre vaint queur, Voyez ſa perfidïe, ou bien ſon innocence, Et s’il vous a trahy puniſſez ſon offence, Mais vous n’ignorez point quel eſt voſtre poue uoit, Ce miroir tous les iours vous le fait aſſez voir, Entretenez ſa glace, & n’apprenez que d’elle, Si quand on vous a veuë, on peut eſtre infidelle:	Si ma fidélité vous est si peu connue, Faites-la par ce fer paroistre toute nue, Cruelle ouvrez mon sein, et voyez si mon cœur, S'est soubsmis lâchement à quelque autre vaint queur, Voyez sa perfidène, ou bien son innocence, Et s'il vous a trahi punissez son offense, Mais vous n'ignorez point quel est votre poue uoit, Ce miroir tous les jours vous le fait assez voir, Entretenez sa glace, et n'apprenez que d'elle, Si quand on vous a vue, on peut être infidèle:
Quel Amant ayant veu vos yeux ou ce beau ſeini Pourroit s’abandonner à quelqu’autre deſſein?	Quel Amant ayant vu vos yeux ou ce beau seini Pourrait s'abandonner à quelque autre dessein?
Et quand ſon cœur ſeroit de ce crime capable, Où pourroit-il treuuer vn objet preferable?	Et quand son cœur serait de ce crime capable, Où pourrait-il trouver un objet préférable?
Ah!	Ah!
ſi par vn celebre & diuin changement.	si par un célèbre et divin changement.
Le Ciel vous auoit fait Clarigene vn moment, Et qu’apres les effets de miracle eſtrange, Il vous eut mis au choix de Dorante, ou d’u Ange, Que Dorante bien-toſt auroit charmé vos ſens, Par les traits de ſes yeux auſſi doux que puiſſans?	Le Ciel vous avait fait Clarigène un moment, Et qu'après les effets de miracle étrange, Il vous eut mis au choix de Dorante, ou d'u Ange, Que Dorante bientôt aurait charmé vos sens, Par les traits de ses yeux aussi doux que puissants?
Vous connbiſtrez alors ſi mon amour eſt vraye, Si mon cœur eſt atteint d’vne legere playe, Et ſi le changement a des charmes aſſez, Pour guerir les eſprits que vous auez bleſſez, Non non, onne void lien qui vous Ioit comparable.	Vous connaîtrez alors si mon amour est vraie, Si mon cœur est atteint d'une légère plaie, Et si le changement a des charmes assez, Pour guérir les esprits que vous avez blessez, Non non, onne voit lien qui vous Ioit comparable.
DORANTE.	DORANTE.
On ſouffre ſans contrainte vne erreur agreable, Mais ie recois Monſieur, voſtre ciuilité;	On souffre sans contrainte une erreur agréable, Mais tu reçois Monsieur, votre civilité;
Si ce n’eſt ſans plaiſir, du moins ſans vanité:	Si ce n'est sans plaisir, du moins sans vanité:
Ouy ie me plais à voir l’addreſſe de vos feintes, De vous voir teſmoigner de ſenſibles atteintes, Encor que vous ſoyez de ces Amans de cour, Qui pour ſe faire aymer ne parlent que d’amour, Mais voſtre cœur ſe rit des fleſches qu’il vous tire, Vunounne comme tous prende euion empire, Et les plus beaux objets ſe tiennent glorieux, Quand ils ont ſeulement deux regards de vos yeux.	Ou ie me plais à voir l'adresse de vos feintes, De vous voir témoigner de sensibles atteintes, Encor que vous soyez de ces Amants de cour, Qui pour se faire aimer ne parlent que d'amour, Mais votre cœur se rit des flèches qu'il vous tire, Vunounne comme tous prende euion empire, Et les plus beaux objets se tiennent glorieux, Quand ils ont seulement deux regards de vos yeux.
CLARIGENE.	CLARIGENE.
Que voſtre eſprit eſt rare!	Que votre esprit est rare!
& ſcait adroictement, Faire vne raillerie auec vn compliment!	et sait adroitement, Faire une raillerie avec un compliment!
Mais ſi voſtre beauté dont l’eſclat me captiue, Ne veut plus deſormais que Clarigene viue, Conſeruez cette humeur, & par ces entretiens, Vous finirez ſes iours, & romprez ſes liens:	Mais si votre beauté dont l'éclat me captive, Ne veut plus désormais que Clarigène viue, Conservez cette humeur, et par ces entretiens, Vous finirez ses jours, et romprez ses liens:
Employez contre moy ces redoutables armes, Auſſi bien ie me ſens indigne de vos charmes, Et la mort me doit eſtre vn iuſte chaſtiment, D’auoir oſé ſur vous jetter l’œil ſeulement, Efle me tirera des fers où ie ſouſpire, Et ce dernier des maux finira mon martyre.	Employez contre moi ces redoutables armes, Aussi bienris me sens indigne de vos charmes, Et la mort me doit être un juste châtiment, D'avoir osé sur vous jeter l'œil seulement, Éfle me tirera des fers où ils soupire, Et ce dernier des maux finira mon martyre.
DORANTE.	DORANTE.
Ne crains pas ce malheur, ton eſprit amoureux, Tiendra plutoſt de moy le bien de viure heureux, Ouy Clarigene, enfin mon ame eſt ſatisfaite, Pardonne aux libertez d’vne humeur indiſcrette, D’vne humeur trop credule aux conſeils d’vn enfant, Et de qui ton eſprit eſt enfin triomphant:	Ne crains pas ce malheur, ton esprit amoureux, Tiendra plutôt de moi le bien de vivre heureux, Oui Clarigène, enfin mon âme est satisfaite, Pardonne aux libertés d'une humeur indiscrète, D'une humeur trop crédule aux conseils d'un enfant, Et de qui ton esprit est enfin triomphant:
Tu ne dois plus douter ſi mon ame eſt atteinte, Iuge de mon amour par l’excez de ma craintes Et ſi ie t’ay caché les flames de mon cœur, Que la diſcretion n’eſt pas vne rigueur:	Tu ne dois plus douter si mon âme est atteinte, Juge de mon amour par l'excès de ma craintes Et si grande t'ai caché les flammes de mon cœur, Que la discrétion n'est pas une rigueur:
De tant d’honneſtes gens dont cetteville abõde, I’ay fermé iuſqu’icy le cœur à tout le monde mais ie dieque aujouid nuy mon ſeruage ſ doux.	De tant d'honnêtes gens dont cetteville abond, J'ai fermé jusqu'ici le cœur à tout le monde mais un dieque aujouid nu mon servage s doux.
Que ie l’ouure a toy ſeul quand ie le ferme à tous.	Que quelque l'ouvre a toi seul quand je le ferme à tous.
CLARIGENE.	CLARIGENE.
Eſt-il bien vray, Madame?	Est-il bien vrai, Madame?
de unlelu Ouy, ton amour me dompte, Et cét adueû me fait plus d’honneur que de honte;	de unlelu Oui, ton amour me dompte, Et cet aveu me fait plus d'honneur que de honte;
Vne playe honorable a touſiours des appas.	Une plaie honorable a toujours des appas.
CLARIGENE.	CLARIGENE.
Quel bon-heuz eſt le mien!	Quel bonheus est le mien!
ô Dieux!	ô Dieux!
n’acheuez pas, De crainte d’eſprouuer que pour vne maiſtreſſe, On peut mourir de joye ainſi que de triſteſſe, Adieu, conſeruez-moy te bien-heufeux eſpoir.	n'achevez pas, De crainte d'éprouver que pour une maîtresse, On peut mourir de joie ainsi que de tristesse, Adieu, conservez-moi te bienheufeux espoir.
DORANTE.	DORANTE.
N’auray-je pas tantoſt le bien de vous reuoir?	N'aurai-je pas tantôt le bien de vous revoir?
CLARIGENE.	CLARIGENE.
Ouy:	Oui:
ſouffrez cependant que ie vous iure encore, Par les diuins rayons de vos yeux que i’adore, Et par ces traits puiſſans dont ie cheris les coups, Que ſi i’ay de l’amour c’eſt ſeulement pour vous.	souffrez cependant que je vous jure encore, Par les divins rayons de vos yeux que j'adore, Et par ces traits puissants dont grande chéris les coups, Que si j'ai de l'amour c'est seulement pour vous.
SCENE VI.	SCÈNE VI.
TYRINTHE, CLARIGENE.	TYRINTHE, CLARIGENE.
DM0 TYRINTHE, tenant vne lettre.	DM0 TYRINTHÉ, tenant une lettre.
La plus adorable & plus belle du monde.	La plus adorable et plus belle du monde.
AS CLARIGENE, l’abordant Qu'elle eſt cette beauté qui n’a point de ſeconde, re vous y prends Tyrinthe, aduoüez franchement, Que vous eſtes eſpris de quelqne objet charmãt, Et c’eſt aſſeurement où voſtre eſprit s’addreſſe, Mais ne peut on pas ſcauoir qu’elle eſt cette maiſtreſſe?	AS CLARIGENE, l'abordant Qu'elle est cette beauté qui n'a point de seconde, re vous y prends Tyrinthe, avouez franchement, Que vous êtes épris de quelqne objet charmant, Et c'est assurément où votre esprit s'adresse, Mais ne peut on pas savoir qu'elle est cette maîtresse?
Exc Exculez toutesrois ma curonte.	Exc Exculez toutesrais ma curonte.
TYRINTHE.	TYRINTHÉ.
Tu ne cognois que trop cette diuinité, Son marite par tout ſe fait aſſez paroiſtre, ou gracotu lans patolie de tu la dois connoiſtre.	Tu ne cognois que trop cette divinité, Son marite par tout se fait assez paraître, ou gracotu lans patolie de tu la dois connaître.
CLARIGENE.	CLARIGENE.
oi cu me ngurois queiques-vns de les traits, Ie la reconnoiſtrois ſans doute à ſes attraits.	oi cv me négurais queiques-mêmes de les traits, Je la reconnaîtrais sans doute à ses attraits.
TYRINTHE.	TYRINTHÉ.
Peints-toy dans ton eſprit toutes les belles choſes, Meſle confuſement & les lys & les roſes, Songe à tous les appas qu’ayent iamais empruntés, De nature ou de l’art les plus rares beautez, A ce ſuperbe amas adjouſtez-y l’Albatre, Et toutes les couleurs dont l’œil eſt idolatre, Si cela ne ſuffit tu peux y ioindre encor, me ejuucle Paindre les venes e ror, Et lors tu connoiſtras l’objet incomparable, Auſſi cher à mon cœur qu’à mes yeux adorable.	Peinte-toi dans ton esprit toutes les belles choses, Mêle confusément et les lys et les roses, Songe à tous les appas qu'aient jamais empruntés, De nature ou de l'art les plus rares beautés, À ce superbe amas tés-y l'Alebatre, Et toutes les couleurs dont l'œil est jolatre, Si cela ne suffit -tu peux y joindre encor, me éjucle Paindre les venes eût ror, Et lors tu connaîtras l'objet incomparable, Aussi cher à mon cœur qu'à mes yeux adorable.
CLARIGENE, Ie penſe la connoiſtre à ce haut appareii, Sans doute c’eſt l’aurore ou la ſœur du Soleil.	CLARIGENE, Je pense la connaître à ce haut apparei, Sans doute c'est l'aurore ou la sœur du Soleil.
TVRINTHE.	TURINTHÉ.
Prez d’elle ces beautez paroiſtroient à leur honte.	Prez d'elle ces beautés paraîtraient à leur honte.
CLARIGENE.	CLARIGENE.
il faut donc que ce ſoit la Reyne d’Amathonte,	il faut donc que ce soit la Reine d'Amathonte,
Nullement.	Nullement.
TYRINTHE.	TYRINTHÉ.
CLARIGENE.	CLARIGENE.
Ah i’y ſuis, c’eſt Minerue oy Junon.	Ah j'y suis, c'est Minerve oi Junon.
Moins encor.	Moins encor.
a lla llel ire.	à lêla lèl ire.
CLARIGENE.	CLARIGENE.
Dy moy douc la demeurt ou ſon nom, Et puis ie connoiſtray cette beauté charmante,	Dis -moi douc la demeurt ou son nom, Et puis ie connaîtrai cette beauté charmante,
TYRINTHE.	TYRINTHÉ.
O Dieux eſt-il beſoin de te nommer Dorante.	Ô Dieux est-il besoin de te nommer Dorante.
Dorante?	Dorante?
CLARIGENE.	CLARIGENE.
TYRINTHE.	TYRINTHÉ.
Et quel obiet ſoubs la voute des Cieux, Eut iamais des attraits ſi puiſſans que ſes yeux?	Et quel objet soups la voûte des Cieux, Eut jamais des attraits si puissants que ses yeux?
Ie ſcay que tu reſſens le pouuoir de ſes charmes, Qu’Ariomant pour elle a bien verſé de larmes, Mais toutes ces raiſons ne m’empeſcheront pas, D’aſpirer comme vous au bien de ſes appas, Chacun peut en amour ſu drc iu rantaie, re verray vos deſſeins meſme ſans jalouſie, Car ordinairement ces threſors amoureux, Sont moins pour les plus beaux que pour les plus heureux.	Je sais que tu ressens le pouvoir de ses charmes, Qu'Ariomant pour elle a bien versé de larmes, Mais toutes ces raisons ne m'empêcheront pas, D'aspirer comme vous au bien de ses appas, Chacun peut en amour su drc ju rantaie, re verrai vos desseins même sans jalousie, Car ordinairement ces trésors amoureux, Sont moins pour les plus beaux que pour les plus heureux.
CLARIGENE.	CLARIGENE.
il eſt vray qu’elle eſt belle amy, mais inhumaine, Et ie crains qu’en l’aimant tu ne perdes ta peine,	il est vrai qu'elle est belle ami, mais inhumaine, Et ne crains qu'en l'aimant tu ne perdes ta peine,
Rien ne la peut flechir ie l’aymois comme to Mais enfin ſes deſdains ont dégagé ma foy:	Rien ne la peut fléchir ainsi l'aimais comme to Mais enfin ses dédains ont dégagé ma foi:
Eſteins pareillement le feu qui te conſume;	Éteins pareillement le feu qui te consume;
Penſe-tu la dompter auec des traits de plume ?	Penses-tu la dompter avec des traits de plume ?
Tu te trompes Tyrinthe & ce cœur de rocher, A tiop de dutete pour s y lamer touener , Outre que ſon abord eſt aſſez difficile.	Tu te trompes Tyrinthe et ce cœur de rocher, A tiop de dutette pour s y la touener , Outre que son abord est assez difficile.
TYRINTHE.	TYRINTHÉ.
Cette lettre pourtant eſt rare, & d’vn beau ſtyle, inour me la aiooree mes affections, Y diſcourent ſi bien de ſes perfections, Qu'elle pouna touener cetre beaure diuine,	Cette lettre pourtant est rare, et d'un beau style, inour me la aiooree mes affections, Y discourent si bien de ses perfections, Qu'elle pouna touener cetre beau divine,
CLARIGENE.	CLARIGENE.
Mais qui la donnera ?	Mais qui la donnera ?
TYRINTHE.	TYRINTHÉ.
Ie vay trouuer Nerine, Qui touſi ours diſpoſé à me donner ſecours, Rẽdra ce bon office à meschaſtes amours, Il ſort,	Je vais trouver Nerine, Qui toujours disposé à me donner secours, Rendra ce bon office à méchâtes amours, Il sort,
CLARIGENE, ſeul.	CLARIGENE, seul.
Qu’il ſuiue ſon deſſein, ie voy ſans jalouſie, L’Amour impertinent dont ſon ame eſt ſaiſie.	Qu'il suive son dessein, je vois sans jalousie, L'Amour impertinent dont son âme est saisie.
Ses lettres, ſes tranſports, ſon mauuais entretien, Loin de nuire à ma flame aduanceront mon bien, Et ie ſuis aſſeué que ſa mauuaiſe mine, Acheptera bien cher la faueur de Nerine, Encor ne ſcay-je pas ſi cet eſprit ruſé, Apres l’auoir long-temps vainement abuſé, N’accompagnera pas de quelque raillerie, Les tours dont elle ſcait nourrir ſa reſuerie, Enfin quoy qu’il en ſoit il m’eſt indifferent, re me ris du deſſein que Tyrinthe entreend, Puis que Dorante agrée & cherit mon ſeru:	Ses lettres, ses transports, son mauvais entretien, Loin de nuire à ma flamme avanceront mon bien, Et ie tu asseué que sa mauvaise mine, Acheptera bien cher la faveur de Nérine, Encor ne sais-je pas si cet esprit rusé, Après l'avoir longtemps vainement abusé, N'accompagnera pas de quelque raillerie, Les tours dont elle sait nourrir sa rêverie, Enfin quoi qu'il en soit il m'est indifférent, re me ris du dessein que Tyrinthe entreprend, Puis que Dorante agrée et cherit mon seru:
re ne puis deſormais redouter cet orage.	re ne puis désormais redouter cet orage.
ACTE	ACTE
ACTE III SCENE I.	ACTE III SCÈNE I.
LILIANE, ſeule.	LILIANE, seule.
197 STANCES.	197 STANCES.
Veugles Tyrans de mes jours, B& Laches deſirs vaines amouts, Qui faites mon inquietude, Que vos feux dans mon eœur naiſſent hors de ſaiſon, Puis que l’objet que i’ayme a de l’ingratitude, Lors que ie n’ay plus de raiſon.	Veugles Tyrans de mes jours, BONS Laches désirs vaines amouts, Qui faites mon inquiétude, Que vos feux dans mon eœur naissent hors de saison, Puis que l'objet que j'aime a de l'ingratitude, Lors que Un n'ai plus de raison.
r’ay long temps ſondé ſon réſpect, Son eſprit qui m’eſtoit ſuſpect, Rendoit ma rigueur infinie;	rai long temps sondé son réspect, Son esprit qui m'était suspect, Rendait ma rigueur infinie;
nt maintenant qu’il void mon orgueil adoucy, Le ſuperbe me quitte.	nît maintenant qu'il voit mon orgueil adouci, Le superbe me quitte.
& l’inc onſtant me nie, Ce que ie luy niois auſſi.	et l'inc onstant me nie, Ce que ie cy niais aussi.
Les attraits d’vn œil plus charmant, Attirent ce perfide Amant, Il ſe taiſt lors que ie l’eſcoute;	Les attraits d' œil plus charmant, Attirent ce perfide Amant, Il se taît lors que ie écoute;
Quand ſa priſon me plaiſt, cét infidelle en ſort, Et l’aueugle qu’il eſt choiſit vn autre route, Quand ie luy preſente le port.	Quand sa prison me plaît, cet infidèle en sort, Et l'aveugle qu'il est choisit un autre route, Quand Je avait présente le port.
Que l’ineuicable deſtin Qui regit nos iours eſt mutin!	Que l'inévicable destin Qui régit nos jours est mutin!
Que mon aduanture eſt fatale!	Que mon aventure est fatale!
Ie ſuis eſclaue enfin de libre que j’eſtois, Et mon Amour me rend la honteufe Riuale, De qui ne la lut ine lois.	Je suis esclave enfin de libre que j'étais, Et mon Amour me rend la honteuse Rivale, De qui ne la lut iné lois.
rnutiles diſcours qui nourriſſez ma flame, Ceſſez de reuolter mes ſens contre mon ame, Employez-vous plutoſt a rompre mes deſſeins, Donnez à mon eſprit des mouuemens plus fains, Ne me parlez iamais de l’ingrat Clarigene, Que pour me figurer ſes deffaux, & ſa haine, Et pour tirer enfin mon cœur de ſa priſon, Mettez au front l’Amour les yeux de la raiſon.	rnutiles discours qui nourrissez ma flamme, Cessez de révolter mes sens contre mon âme, Employez-vous plutôt a rompre mes desseins, Donnez à mon esprit des mouvements plus fains, Ne me parlez jamais de l'ingrat Clarigène, Que pour me figurer ses défauts, et sa haine, Et pour tirer enfin mon cœur de sa prison, Mettez au front l'Amour les yeux de la raison.
Mais qu’inutilement ie taſche par ma plainte, D'eſtouffer le braſier dont mon ame eſt attainte, Le vent de mes ſouſpirs le rend plus violent, Et plus ie le combats, plus il eſt inſolent, A quoy donc ſe reſoudre?	Mais qu'inutilement apprendre tâche par ma plainte, D'étouffer le brasier dont mon âme est attainte, Le vent de mes soupirs le rend plus violent, Et plus grands le combats, plus il est insolent, À quoi donc se résoudre?
ah laſche!	ah lâche!
en cet outrage, Qu’vn reſte de prudence aſſiſte ton courage, Fuy le perfide autheur d’vn iniuſte ſoucy, Puis qu’il no te void plus, ne le volus prus auſſi;	en cet outrage, Qu'un reste de prudence assiste ton courage, Fui le perfide auteur d'un injuste souci, Puis qu'il nô te voit plus, ne le volus prus aussi;
La fuite d’vn ingrat eſt le meilleur remede.	La fuite d'être ingrat est le meilleur remède.
Que puiſſe vn atteint employer à ſon ayde, Car qui void le Soleil ſent touſiours ſa chaleur, Mais le voicy, fuyons.	Que puisse un atteint employer à son aide, Car qui voit le Soleil sent toujours sa chaleur, Mais le voici, fuyons.
SCENE II.	SCÈNE II.
CLARIGENE, LILIANE.	CLARIGENE, LILIANE.
CLARIGENE, ſeul.	CLARIGENE, seul.
Du bout du Theatre.	Du bout du Théeatre.
Ieux quel eſt mon mal-heurDiſſimulons pourtant:	Jeux quel est mon malheurDissimulons pourtant:
arreſtez Liliane, Quoy doncques ſans m’ouyr, voſtre orgueil me condamne, Ah pretez vn moment l’oreille à mes diſcours, Ie ne veux implorer ny pitié ny ſecours.	arrêtez Liliane, Quoi donc sans m'ouïr, votre orgueil me condamne, Ah prêtez un moment l'oreille à mes discours, Je ne veux implorer Seigneur pitiéagez secours.
LILIANE.	LILIANE.
ue te profiteroient de ſi laſches contraintes?	Que te profiteraient de si lâches contraintes?
Tu n’es plus en eſtat de m’addreſſer tes plaintes, Perfide laiſſe-moy.	Tu n'es plus en état de m'adresser tes plaintes, Perfide laisse-moi.
SCENE III.	SCÈNE III.
CEARIOENE, Ieuio	CEARIOENE, Jeuio
Ours ingratte beauté, Et fay plus que tes iours durer ta cruauté, Eſgale à tes attraits ta rigueur, inhumaine, Mais Dieux!	Ours ingrate beauté, Et fais plus que tes jours durer ta cruauté, Égale à tes attraits ta rigueur, inhumaine, Mais Dieux!
que ſa retraitte oblige Clarigene, Si l’altiere eut eſté d’humeur à s’arreſter, ?	que sa retraite oblige Clarigène, Si l'altière eut été d'humeur à s'arrêter, ?
Mon indiſcretion ioüoit à tout gaſter, son entretien faiſoit ma ruyne apparente, re perdrois tout enſemble, & le temps & Dorante, Qui me voyant icy faire le gratieux, Peut-eſtre pour iamais m’eut banny de ſes yeux, Me voila grace aux Dieux hors de ce labyrinthe, Mais vn autre mal-heur m'enuoye icy Tyrinthe;	Mon indiscrétion jouait à tout gâter, son entretien faisait ma ruine apparente, re perdrois tout ensemble, et le temps et Dorante, Qui me voyant ici faire le gratieux, Peut-être pour jamais m'eut banni de ses yeux, Me voila grâce aux Dieux hors de ce labyrinthe, Mais un autre malheur m'envoie ici Tyrinthe;
Ie ſcay bien que nos vœux ont vn objet commun, Eſloignons s’il ſe peut cet Amant importun.	Je sais bien que nos vœux ont un objet commun, Éloignons s'il se peut cet Amant importun.
SCENE IV.	SCÈNE IV.
ATRINTAE, CBARIOINE.	ATRINTAE, CBARIOINE.
L Voy Monſieur vous reſuez?	 Lois Monsieur vous rêvez?
d’où naiſt cette triſteſſe?	d'où naît cette tristesse?
CLA RIGENE.	CLA RIGENE.
ne Punogute numcur dvne igratte maiſtreſſe, Dont l’œil imperieux coniuré vainement, Ne mna pas honore a vn regard leuiement.	ne Punogute numcur dune igratte maîtresse, Dont l'œil impérieux conjuré vainement, Ne ména pas honore a un regard luiement.
YRINTHE, bas.	YRINTHE, bas.
Dieux!	Dieux!
voila des effets du ſecours de Nerine.	voilà des effets du secours de Nerine.
CLARIGENE.	CLARIGENE.
Mais cet ajuſtement, & cette bonne mine, Vous doiuent procurer vn plus courtois accueil, Cet nabit n pompeux rabartra ſon orgueil, Et ces cheueux poudrez ſeront de douces chaiſnes, Ou ſon cœur arreſté nartagera vos peines.	Mais cet ajustement, et cette bonne mine, Vous doivent procurer int plus courtois accueil, Cet nabit n pompeux rabartra son orgueil, Et ces cheveux poudrez seront de douces chaînes, Ou son cœur arrêté nartagera vos peines.
YRINTHE.	YRINTHÉ.
C’eſt là me reprocher aſſez ouuertement, Que mon merite eſt tout en mon habillement.	C'est là me reprocher assez ouuertement, Que mon mérite est tout en mon habillement.
CLARIGENE.	CLARIGENE.
Au contraire ie croy que par cette paruré, L’art en voſtre perſonne offence la nature.	Au contraire ie cy que par cette paruré, L'art en votre personne offense la nature.
TYRINTHE.	TYRINTHÉ.
Ah!	Ah!
tout beau cher Amy, ie ne puis t'eſcouter, Car chez moy.	tout beau cher Ami, Madame ne puis t'écouter, Car chez moi.
c’eſt tout vn que ttahir, & flatter;	c'est tout un que tahir, et flatter;
Croy plutoſt que le Ciel ne me luit qu’auec peine, ue ſuis de tous objets & l’horreur & la haine, Et ie n’acquis pourtd tola neccite, De déplaire à chacun & d’eſtre rebuté.	Croy plutôt que le Ciel ne me luit auec peine, ue suis de tous objets et horreur et la haine, Et ie Crois plut tola que, Le Ciel ne me luit qu'avec peine,
CLARIGENE.	CLARIGENE.
Tes qualitez pourtant ſont ſi conſiderables, Que par tout leuis appas ſe rendent adorables.	Tes qualités pourtant sont si considérables, Que par tout luis appas se rendent adorables.
TYRINTHE.	TYRINTHÉ.
Ly plutoſt que mon ſort eſt reduit à ce point, Qu’on adore mes biens, mais qu’on ne m’ayme point.	Ly plutôt que mon sort est réduit à ce point, Qu'on adore mes biens, mais qu'on ne m'aime point.
CLARIGENE.	CLARIGENE.
On ayme l’vn & ll’autre, & Dorante elle meſme, Tiendroit ta paſſion pour vn bon-heur extreme, N’eſtoit qu'Ariomant auee mille ſouſpirs, L’empeſche de t’ounrir ſon cœur, & ſes deſirs, Det maportan ninant eit encole auce ene, Et luy ſeul l’a renduë à mes vœux ſi rebelle.	On aime l'un et l'autre, et Dorante elle -même, Tiendrait ta passion pour un bonheur extrême, N'était qu'Ariomant auee mille soupirs, L'empêche de t'ounrir son cœur, et ses désirs, Det maportan ninant eit encole auce ene, Et mille seul l'a rendue à mes vœux si rebelle.
Ce que ie n’ay peu voir ſans beaucoup de dépit.	Ce que ici n'ai pu voir sans beaucoup de dépit.
TYRINTHE.	TYRINTHÉ.
Cet Amant auprez d’elle a donc bien du credit.	Cet Amant auprez d'elle a donc bien du crédit.
CLARIGENE.	CLARIGENE.
il eſt vray, mais Tyrinthe, vne prompte vengeance, Fera de nos mal-heurs la commune allegeance, Si le cœur dé te braue aux parolles reſpond, Peut-eſtre qu’il pourra te prendre pour ſecond.	il est vrai, mais Tyrinthe, une prompte vengeance, Fera de nos malheurs la commune allégeance, Si le cœur dé te brave aux paroles répond, Peut-être qu'il pourra te prendre pour second.
Cor i’ay deſia le mien, & i’attens ſa ſortie, Pour aller ſur le champ acheuer la partie, Sinon.	Cor j'ai déjà le mien, et j'attends sa sortie, Pour aller sur le champ achever la partie, Sinon.
TVRINTHE:	TURINTHÉ:
N’acheue point ce funeſte diſcours, Et croy qu’Ariomant n’aura point de ſecours, S’il l’attend de mon bras, puis qu’en fin mon eſpée, En faueur d’vn Riual ſeroit mal occupée, Mais de peur que par luy ie n’y ſois engagé.	N'achève point ce funeste discours, Et crois qu'Ariomant n'aura point de secours, S'il l'attend de mon bras, puis qu'en fin mon épée, En faveur d'un Este était mal occupée, Mais de peur que par nôie y rois engagé.
Et que par ce moyen) tu ne ſois pas vangé, Ie vay chez Liliane, & là pres de ſes charmes, aletendle quer laecendal din tec suneor Il ſort.	Et que par ce moyen) tu ne sois pas vengé, Je vais chez Liliane, et là pres de ses charmes, aletendle te laecendal d ec suneor Il sort.
SCENE V.	SCÈNE V.
ot CLARIGENE.	ot CLARIGENE.
Le parfait Amy-!	Le parfait Ami-!
qu’il eſt officieux!	qu'il est officieux!
& Mais plutoſt que la peur le rend ingenieux!	et Mais plutôt que la peur le rend ingénieux!
Hé bien pouuoit-on mioux conduire cette anitife?	Hé bien pouvait-on mioux conduire cette anitife?
Auec addreſſe enfin ay-je ſceu m’en deffaire?	Avec adresse enfin ai-je su m'en défaire?
re n’ay iamais douté de cet éuenement, Car s’il deuient mutin c’eſt fort mal-ayſement, Sa prudence touſiours modere ſon courage,	re n'ai jamais douté de cet événement, Car s'il devient mutin c'est fort mal-aisément, Sa prudence toujours modère son courage,
Et s’il n’eſt dans le port il craint vn peu l’orage Mais enuain cette peur le porte à me quitter, Ie prepare vn aſſaut qu’il ne peut éuiter, Par vne inuention qu’il n’a pas d eſcouuerte, Son azile lera la cauſe de ia perte, Ou du moins ſi ce lieu luy conſerue le iour, Le meſme rauira l’eſpoir à ſon Amour.	Et s'il n'est dans le port il craint un peu l'orage Mais envain cette peur le porte à me quitter, Je prépare un assaut qu'il ne peut éviter, Par un invention qu'il n'a pas dès escouuerte, Son asile lera la cause de ia perte, Ou du moins si ce lieu lui conserve le jour, Le même ravira l'espoir à son Amour.
Ne perdous poiet de temps, allons trouuer Dorante, Abuſons comme ſuy cette orgueilleuſe Amante, Pat drois, ou par addreſſe acquerons nous ce prix, Faiſons qu’enuers tout autre elle vſe de meſpris, Et que.	Ne perds poiet de temps, allons trouver Dorante, Abusons comme zvi cette orgueilleuse Amante, Pat drais, ou par adresse acquérons nous ce prix, Faisons qu'envers tout autre elle use de mépris, Et que.
Mais elle ſort, Dieux, le facheux obſtacle!	Mais elle sort, Dieux, le fâcheux obstacle!
Dorante paroiſt auec Ariemant, Tirons-nous à l’eſcart, leur voix ſera l’oracle, D’où ie puis aiſement apprendre ſi le ſort, Psepare à mon amour le naufrage, ou le port.	Dorante paraît avec Ariemant, Tirons-nous à l'écart, leur voix sera l'oracle, D'où ie puis aisément apprendre si le sort, Pépare à mon amour le naufrage, ou le port.
SCENE	SCÈNE
SCENE VI.	SCÈNE VI.
DORANTE, ARIOMANT, CLARIGENE, à leſcart.	DORANTE, ARIOMANT, CLARIGENE, à lescart.
DORANTE.	DORANTE.
QVe vous m’importunez?	QUe vous m'importunez?
ARIOMANT.	ARIOMANT.
Il eſt vray ma fortune, Moindre que mon amour rend ma flame importune, Cet outrage du ſort rend mes fers odieux, S’ils eſtoient d’or ( cruelle) ils plairroient à vos yeux, Leur eſclat terniroit celuy de tous les autres, Et ces rares faueurs m’acquereroient les voſtres;	Il est vrai ma fortune, Moindre que mon amour rend ma flamme importune, Cet outrage du sort rend mes fers odieux, S'ils étaient d'or ( cruelle) ils plaieraient à vos yeux, Leur éclat ternirait celui de tous les autres, Et ces rares faveurs m'acquereraient les vôtres;
